[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 財報公佈在即
[24:45] AI所造成的龍井
[24:47] 預估會在2026年形成傳統產業的全面復甦
[24:51] 臺灣已經有點開始了
[24:52] 那美國傳產製造也有可能開始復甦
[24:54] 如果開始復甦
[24:55] 通膨就更下不去了
[24:57] 所以在這樣的一段期間
[24:59] 它就迎來極為尷尬的情況
[25:00] 就是就業資料
[25:02] 這幾個月正在軟化
[25:03] 那就業資料軟化通膨
[25:05] 沒有往下掉
[25:07] 那麼聯總會寬鬆的力道就有限
[25:09] 加上聯總會現在又有政治上的壓力
[25:11] 亂降息
[25:12] 大家都會以為聯總會是不是妥協了
[25:14] 所以聯總會在操作
[25:16] 心理情緒的過程當中
[25:17] 就遇到更大的挑戰
[25:19] 這給投資朋友做一些思考
[25:20] 當然還有其他一些細節
[25:22] 比如說聯邦政府的成功受損
[25:24] 效率和功能同步受損
[25:26] 或者對外路線的轉向
[25:29] 從原本馬卡派標準的孤立主義
[25:31] 到現在強勢出擊
[25:33] 不管是針對敘利亞
[25:35] 伊朗
[25:35] 葉門
[25:36] 蘇馬利亞
[25:37] 委內瑞拉
[25:38] 到現在的格陵蘭
[25:38] 川普所採取的動作
[25:40] 完全不像是孤立主義會做的事情
[25:43] 反而更像是為了美國利益的霸權
[25:45] 而被迫所採取的動作
[25:47] 來形成全球對於美元霸權的尊重
[25:50] 在種種效果底下
[25:51] 最後會發現
[25:52] 不管是聯準會成為了新的戰場
[25:54] 還是支援度
[25:55] 基本上最終還是反映出
[25:58] 在其中選舉之前
[25:59] 種種政策的實施
[26:00] 並沒有造成選民的極度反對
[26:03] 或者極度的贊同
[26:05] 選民最在乎的一件事情
[26:06] 也是川普現在極力在推的
[26:08] 那就是我們看到的購買力問題
[26:10] 如果我們細看
[26:11] 目前針對選民當前的民調承諾
[26:15] 可以看得出來
[26:15] 當前其實民調水準
[26:17] 在過去幾個季度
[26:19] 開始陸續的下滑
[26:20] 選民大多數的反對意見
[26:22] 都並不是說
[26:23] 川普的非法移民政策失敗
[26:25] 或者川普的孤立主義
[26:26] 導致我決定投下反對票
[26:29] 大部分都是因為
[26:30] 目前的實體物價還沒有大幅下行
[26:33] 那川普所說的物價下行
[26:34] 主要集中在兩大部門
[26:36] 一個是蛋價
[26:37] 那是因為當時真的炒蛋
[26:38] 缺蛋
[26:39] 禽流感缺太兇
[26:40] 一個是天然氣價格
[26:42] 以及石油價格
[26:43] 那其他呢
[26:44] 像是飲食價格
[26:46] 咖啡價格漲了19%
[26:49] 牛肉價格漲了16%
[26:51] 房市漲了3.6%
[26:52] 傢俱漲了3.6%
[26:53] 汽車漲了3.4%
[26:55] 砸貨漲了2.4
[26:56] 幾乎大部分的民生物價都還在上漲
[26:59] 只有天然氣
[27:00] 能源資產價格在下跌
[27:02] 所以在這樣效果底下
[27:03] 川普最大的意圖
[27:05] 就是在今年控制住當前的通膨預期
[27:07] 那當然就不能夠引起地緣政治的緊張
[27:10] 所引發通膨的效果
[27:11] 所以一年過去
[27:12] 我們看到川普第一任任期的輪廓
[27:15] 已經很清楚了
[27:16] 世界不再只是一個單點的變化
[27:19] 而被他的治理方式推進了一步
[27:21] 對內美國是行政命令治國
[27:24] 高強度的實驗
[27:25] 全力快速集中到白宮
[27:26] 制度能夠配合就往前衝
[27:28] 你卡在法律
[27:29] 卡在國會
[27:30] 憲政邊界的
[27:31] 那就先擺著
[27:33] 經濟有亮點
[27:34] 但通膨很黏
[27:35] 就業轉落
[27:36] 債務攀升
[27:37] 但是至少AI托起了
[27:39] 名目上的GDP
[27:40] 對外方面
[27:41] 關稅 制裁 軍事威脅
[27:43] 都變成了日常語言
[27:44] 盟友的信任下滑
[27:46] 但是美國卻從制度型的領導者
[27:48] 變成了一個高強度的玩家
[27:51] 所以我們才講說
[27:52] 這是一個新的時代
[27:54] 才一年你就發現這個時代已經變了
[27:56] AI的大爆發
[27:57] 去年關稅戰
[27:59] 你聽到下詔吃手熟
[28:02] 今年還來
[28:03] 那我還不爆買股票
[28:05] 去年你聽到聯準會講說
[28:07] 可能通膨有問題
[28:09] 市場上可能就會緊張
[28:11] 現在即便降息一再延後
[28:13] 股市也先漲再說
[28:15] 去年中東一開火
[28:17] 油價就開始爆衝
[28:19] 現在紅海伊朗以色列輪流上新聞
[28:22] 委內瑞拉油價也走不動
[28:24] 通膨一高
[28:25] 在去年估值全面修正
[28:27] 現在通膨也黏住了
[28:28] 股市照樣給你很高的本益比
[28:30] 科技股估值高
[28:32] 叫做泡沫在去年
[28:33] 現在不碰AI
[28:35] 才被認為是最大的風險
[28:37] 這個就是我們看到
[28:38] 過去一年的情緒轉變
[28:40] 前兩天我才看到瓜吉發文
[28:42] 他說去年
[28:43] 你搜尋三上優雅
[28:46] 啦啦隊
[28:46] 你是在找一部A片
[28:48] 今年呢
[28:49] 如果你去搜尋三上優雅
[28:51] 那你真的就是在看啦啦隊
[28:53] 這個世界變化越來越快了
[28:56] 一年可以改變好多事情
[28:58] 所以市場和現實
[29:00] 它已經免疫
[29:00] 當壞訊息不再造成恐慌
[29:03] 本身就代表這個世界
[29:04] 已經換了一套運作邏輯
[29:06] 關稅還在打
[29:07] 戰爭也還在打
[29:09] 通膨也沒有正在消失
[29:10] 政治衝突看起來更赤裸了
[29:12] 但是市場跟現實
[29:14] 看起來卻明顯免疫了
[29:15] 也不是說風險變小了
[29:17] 而是因為大家已經不再用
[29:18] 舊時代的方式來解讀風險
[29:21] 過去每一次的政策威脅
[29:23] 都被視為系統性的風險
[29:25] 現在你只要不切斷流動性
[29:27] 你只要不摧毀生產力
[29:29] 你就會被視為背景的雜訊
[29:31] 大家都知道
[29:32] 真正讓股市回跌的根本緣由
[29:34] 一定是AI發展不如預期
[29:37] 不會因為川普的一個外部性政策
[29:39] 就導致股票市場忽現的下跌
[29:42] 這就說明著
[29:43] 他口交易的心理情緒仍然存在
[29:45] 新時代的核心
[29:46] 不是說風險消失了
[29:48] 而是我們看到人類投資人企業
[29:50] 他已經學會如何在風險當中持續運作
[29:54] 臺北股市下跌263點
[29:56] 收到31499點
[29:57] 看起來也跌不重
[29:59] 真的有一股手
[30:00] 到底是誰的手撐住了當前臺股呢
[30:03] 給投資朋友做一些思考
[30:04] 如果喜歡我們節目
[30:05] 記得幫我們訂閱按贊加分享
[30:06] 我們就明天早上8點半
[30:07] 早晨財經速解讀
[30:08] 再相見
[30:08] 祝各位投資朋友看盤順利
[30:10] 操盤愉快
