[00:01] 投資平緩修訂早晨財經速解讀
[24:54] 就是利率詢價
[24:55] 在外匯市場
[24:55] 這種動作通常被視為官方對匯率走勢太過頭的警告
[24:59] 意味著我們日幣現在有一點大波動
[25:03] 你美國應該配合著我們進行匯率波動的穩定
[25:06] 那結果就是美元急挫
[25:08] 日元順身導致波動來得又快又猛成交量明顯放大那這件事情影響的不止外匯因為還記得前兩年當時曾經在7月到8月
[25:19] 曾經形成日元套利平倉股災
[25:21] 日元和風險資產的聯動程度很高
[25:24] 因為日元實在太廉價了
[25:26] 很多人會借日元來投資美股資產
[25:29] 歐股資產
[25:29] 那日元一旦快速轉強
[25:32] 往往伴隨著美股波動率的上升
[25:34] 風險偏好的降溫
[25:35] 所以就有必要
[25:37] 即便我們再走一個長期的緊縮格局
[25:40] 仍然要保持日元的市場穩定
[25:43] 那也的確
[25:43] 現在針對日元
[25:46] 不管是長期壓住貶值
[25:48] 還是短期壓住升值的
[25:49] 大部分的參與者都只剩下對沖基金
[25:52] 而並不是日本散戶
[25:53] 我們看到黑色柱狀體
[25:54] 就槓桿基金對沖基金
[25:56] 長期都維持著一些偏攻立場
[25:58] 代表的國際資金還是壓住
[26:00] 日本在財務狀況應該不會太好
[26:03] 日元會持續落勢
[26:04] 利差交易可以繼續走下去
[26:06] 我們可以繼續玩
[26:07] 可是反觀局色區塊的散戶
[26:10] 這兩年已經開始縮首了
[26:11] 不像過去一樣一路的追空
[26:13] 這就使得
[26:14] 即便現在整個財政的方向是更為寬鬆
[26:17] 但是我們不知道
[26:18] 日元是否會一路的貶值下去
[26:21] 這可以投資朋友做些思考
[26:22] 因為日本過去
[26:23] 幾次實際出手舊日元的經驗
[26:25] 談開來看
[26:26] 日本不是沒有干預過
[26:28] 每一次都是真金白銀砸下去
[26:29] 但效果通常都是止血
[26:31] 而並不是反轉的效果
[26:35] 因為從過往條件來看
[26:37] 通常都是扁一扁
[26:38] 它稍微逐扁
[26:39] 結果又扁下去了
[26:40] 所以在這樣的效果底下
[26:41] 我們後續就要觀察
[26:43] 對內的態度而言
[26:44] 到底高市面臨的處境狀態為何
[26:47] 市場現在已經壓住
[26:48] 日盈在面對這種情況底下
[26:50] 4月份可能被迫還要再度升息
[26:53] 一方面是內部的購買力
[26:55] 正在高強度的侵蝕
[26:56] 我們看在過去10年當中
[26:59] 美元以人均GDP的排名計價
[27:01] 臺灣在過去10年
[27:03] 它是上升了接近有6名左右
[27:05] 可是日本是下滑了13名
[27:07] 而且美元人均GDP
[27:09] 還減少了5835塊
[27:12] 現在只有34713塊
[27:14] 那這很明顯就是日元貶值所形成的效果
[27:17] 那日央也不太可能放手不管
[27:19] 我們現在去日本玩得有多爽
[27:22] 日本人就有過得多痛苦
[27:24] 現在日本已經連續四年都站在
[27:26] 央行的通膨目標之上
[27:29] 這就代表著整個結構性的通膨
[27:31] 其實已經產生了
[27:32] 日央看起來只有持續緊縮的空間
[27:34] 在種種效果底下
[27:36] 這一次高市早苗上任不到三個月
[27:38] 因為支援度在70%以上
[27:40] 勇敢的在2月8號提前改選眾議院
[27:43] 競選期間就變成戰後最短的一個競選期
[27:47] 理想就是希望選民直接表態
[27:51] 是否支援他領導新一輪的執政聯盟
[27:53] 他主打的是強勢的產業政策
[27:56] 提升國防能力
[27:57] 減稅還有結束過度節約
[28:00] 其實一系列的動作就是要多花錢
[28:03] 那這種多花錢
[28:04] 我們就看眾議院到時候的選舉結束以後
[28:06] 會產生什麼樣的一個效果
[28:08] 不過的確
[28:09] 現在市場上認為
[28:11] 高市所採取的政策
[28:13] 也許是短期內有傷害
[28:15] 長期更有利於日本的經濟刺激
[28:18] 為什麼呢
[28:18] 因為這次大家聚焦的
[28:20] 就是日本大選
[28:21] 現在各黨都被迫跟著高市一起表態
[28:24] 即將進行大規模消費稅的前面
[28:27] 這一次尤其是把食品消費稅
[28:29] 預估大家都會降到零
[28:31] 高市是希望
[28:32] 現在是日本8%的消費稅
[28:33] 直接降到0
[28:35] 其他像維新國民
[28:36] 大概都降到0或者5%
[28:38] 也就是說
[28:39] 大家都預估
[28:40] 這一次眾議院選舉結束之後
[28:42] 日本會迎來大規模史詩級降稅
[28:45] 某種程度會有利於消費的刺激
[28:48] 但是另外一層來看
[28:49] 肯定也會增加
[28:50] 日本財政支付的一個負擔
[28:53] 其實從眾議院決戰以後
[28:54] 社會保障的改革
[28:56] 現在看起來已經被擱置了
[28:58] 選舉只談減負擔
[28:59] 但是已經不談結構性的痛點
[29:01] 其實也就意味著
[29:02] 日本整體的財務負擔壓力
[29:05] 只會越來越大
[29:06] 我們看最近福商社
[29:08] 所做的一些專題報道
[29:09] 像在日本各地
[29:10] 很多領取那種免費食物的隊伍
[29:13] 越來越長
[29:13] 大家去上野公園
[29:14] 其實有沒有看到
[29:15] 有一些隊伍裡面
[29:16] 那個越排越長
[29:18] 那不是單純街友
[29:19] 講的是那種穿普通外套
[29:21] 白天仍然有工作的人
[29:23] 很多上班族或者單親家庭
[29:25] 帶著孩子的家庭
[29:26] 都會開始出現在
[29:27] 發放物資的現場
[29:29] 之前研究日本階級不平等的社會學家
[29:33] 青野賢師就指出
[29:35] 這幾年我們看到尋求食物和生存協助的人
[29:39] 很多都是有固定工作的人
[29:41] 他只是因為房租又高
[29:43] 醫療物價同步上升的情況底下
[29:45] 他已經忍很久了
[29:47] 這種人他往往是撐到最後一刻才求助
[29:51] 這種貧窮他不是那種立刻被看見的街友
[29:54] 他也不是露宿街頭
[29:55] 他就每天精算到最後一塊錢
[29:58] 不敢生病
[29:59] 不敢失業
[30:00] 每天就準時7點到8點
[30:02] 出現在超市門口
[30:04] 等著超商店員貼那個折價的標籤
[30:07] 他也不太敢出意外
[30:09] 很多人就撐到極限
[30:10] 然後這兩年才第一次走進到物資的發放點
[30:13] 那每個公園平均可能有900到1000位
[30:16] 來領取相關的物資
[30:18] 我們要這樣理解
[30:19] 日幣貶成這樣
[30:20] 能源又靠進口
[30:21] 那人民當然會受到一系列的傷害
[30:24] 這其實答應著
[30:25] 順應著日本的中小型企業資料都看得出來
[30:28] 這是日本商工的調查
[30:30] 現在負債超過1000萬元的破產案件
[30:34] 隨著通膨和成本壓力開始拐頭上彎了
[30:37] 不過由於破產的大部分是中小型企業
[30:40] 破產的總負債金額也不是特別高
[30:42] 所以它反而現在總體破產金額低於08年
[30:46] 可是破產加速創下2015年10年來的新高了
[30:51] 這代表很多的小店或者中小型企業
[30:53] 正在日本產生大規模破產
[30:56] 那一系列的效果
[30:57] 就導致整體消費
[30:59] 到底是越來越收縮
[31:00] 還是可以藉由高市早苗的財政計劃
[31:03] 成功的反轉
[31:04] 給投資朋友做一些思考
[31:05] 那今天902分
[31:07] 咬稍微比較趕一點
[31:08] 我們主要跟投資朋友分享的
[31:10] 一方面是整個美債市場的概況
[31:12] 另外一方面是日債市場的概況
[31:14] 的確
[31:15] 日本現在最尷尬的地方在於
[31:17] 你要救日元
[31:18] 你就得忍受更高的利率
[31:20] 你要救經濟
[31:21] 你就必須要繼續接受日元更弱
[31:23] 那兩邊都會回頭打到自己
[31:25] 長端日債持利率一旦快速上升
[31:28] 第一時間壓倒
[31:29] 就是股票市值和金融機構的資產評價
[31:31] 企業融資成本也會跟著上來
[31:33] 那原本靠過去20年那種低利率
[31:36] 弱日元撐起來的景氣迴圈
[31:38] 你叫重新的進行定價
[31:40] 但如果日本央行為了穩住成長
[31:42] 刻意放慢升息
[31:43] 利差又會把日元給往下拉
[31:45] 那進口成本和通膨預期又抬頭
[31:47] 那政府呢
[31:48] 你又必須要面對更高的生活成本
[31:51] 或者更難收拾的民意壓力
[31:52] 更麻煩的是選舉的財政承諾
[31:55] 現在大家已經有預期
[31:56] 你是一定要減稅的
[31:57] 你一定要擴大財政支出
[31:59] 現在大家就會認為
[32:01] 國債的供給或者財政機率
[32:03] 就要更敏感
[32:04] 日債的波動就不單純是
[32:06] 我們過去看到的利率高低問題
[32:08] 而是把貨幣政策
[32:10] 財政的可信度
[32:11] 匯率的干預風險
[32:13] 它一次性的綁在一起
[32:15] 最後就變成利率一動
[32:17] 匯率就波動
[32:18] 匯率一動
[32:19] 政治就動
[32:19] 政治一動
[32:20] 債市又波動
[32:21] 這可以投資朋友作為一些參考
[32:22] 那麼今天主要是跟投資朋友分享
[32:24] 美國債券市場跟日本國債市場
[32:27] 同時面臨的挑戰和風險
[32:29] 但硬要講
[32:30] 現在美債的安全性
[32:31] 遠遠高於日債所面臨的挑戰
[32:34] 的確我們看到當前債券市場的重新聚焦
[32:38] 其實更類似於因為平盤波動太久了
[32:41] 現在稍微一波動大家就緊張
[32:43] 但美債緊張的程度遠遠低於日本或者歐洲國債
[32:48] 好那本週我們看的幾大方向
[32:50] 臺北股市上漲174點
[32:52] 則32142點
[32:54] 成功越過32000點了
[32:56] 這一次我們在本週會關注的幾大方向
[32:58] 一方面是聯準會即將公佈的利率決策
[33:00] 看起來是不會動了
[33:02] 不過由於鮑爾當前所受到的政治壓力
[33:05] 聯準會的獨立性
[33:06] 一定會引得市場上有進一步的聚焦和追蹤
[33:09] 來看看鮑爾怎麼說
[33:11] 另外一方面財報季總算要來了
[33:14] 本週蘋果、微軟、Meta、特斯拉
[33:17] 美股七雄當中的世家即將公佈
[33:20] 那到底納指疲軟了那麼久
[33:23] 是因為這些公司
[33:24] 會發出什麼樣悲觀的財報嗎
[33:26] 如果沒有
[33:27] 是否讓納指有開始持續輪動的空間
[33:30] 跟投資朋友做些觀察
[33:31] 我們節目到這邊
[33:32] 如果喜歡我們節目
[33:32] 記得幫我們訂閱按贊加分享
[33:34] 我們就明天早上半點半
[33:35] 早晨財經數學圖再相見
[33:36] 祝各位投資朋友看門順利
[33:38] 上班愉快
