[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 还是没有能够达成协议
[25:16] 0.1%
[25:16] 收在6,816点
[25:18] 费办这一波上涨幅度很高
[25:20] 上涨200点
[25:20] 2.31%
[25:21] 收在8,889点
[25:23] 这股市就是这样子
[25:24] 来来去去
[25:25] 反弹高了
[25:27] 现在又新一波的利空重新下杀
[25:29] 现在叫做风火系诸侯啊
[25:31] 川普一开始说
[25:32] 我可能做一些疯狂的事情
[25:34] 股票下跌
[25:35] 可能也不做又上涨
[25:36] 但是如果我做又下跌
[25:38] 啊算了
[25:38] 我开玩笑又上涨
[25:39] 其实我没在开玩笑又下跌
[25:41] 哈哈
[25:41] 我就在开玩笑又上涨
[25:42] 那行情本来就是这样子啊
[25:44] 所以这个时候你就了解啊
[25:45] 要根据川普的言论来产生新一轮的
[25:49] 自我的操作策略啊
[25:51] 是很有难度的
[25:52] 除非你原本就已经有中心逻辑的
[25:55] 所以我们才讲说
[25:55] 不能靠像我们每天
[25:56] 我们不能依据新闻来决定自身的操作
[26:00] 那我们过去操作模式是什么
[26:01] 为什么在三月份会选择开始重仓
[26:04] 为什么涨高以后就不愿意去追高
[26:06] 我们根据本益比或者周期投资
[26:09] 紧细估值修正投资法
[26:11] 事实上如果我们现在回过头看
[26:12] 整个标普的12个月前瞻本益比
[26:15] 因为到目前为止
[26:16] 其实整个标普的EPS
[26:18] 根本就没有出现多大的变动
[26:20] 个别企业当然会有估值的高低
[26:23] 比如说大家认为现在Google占了优势
[26:25] 微软的优势稍微变小了
[26:27] 所以可能前瞻本益比的预估值
[26:29] 会高或低有所变化
[26:30] 可是你看到
[26:31] 每一次这种12个月的前瞻本益比
[26:34] 做大幅度的回调
[26:35] 它都是有一些宏观冲击的
[26:37] 每一次宏观冲击
[26:38] 对于美国股市来看
[26:39] 因为美国股市三代牛
[26:40] 都是一个机会
[26:41] 15年的制造业衰退
[26:42] 18年的联总会议紧缩
[26:45] 20年的疫情衰退
[26:47] 22年的暴力升息
[26:49] 25年的关税预期
[26:50] 它都有充满这种
[26:52] 18到20%左右的本益比回调
[26:54] 这个很重要
[26:55] 这边我们讲的不是股价的回调
[26:58] 我们讲的是本益比的回调
[27:00] 那什么意思呢
[27:01] 就是有时候股价跌
[27:02] 那本益比不一定会因此下滑
[27:05] 为什么呢
[27:05] 因为可能EPS也跟着一起衰退
[27:07] 而且是瞬间联动
[27:09] 那这个时候你会发现
[27:11] 即便股价跌很凶
[27:12] 它的估值还是偏高
[27:13] 因为获利衰退更快
[27:14] 可是这一波有趣的事情就是
[27:16] 我们知道EPS在过去一个季度
[27:19] 完全没有任何下滑的迹象
[27:21] 整个26年的标普EPS
[27:22] 已经越来越清晰了
[27:23] 记忆体的爆单你已经了解
[27:25] 今年货已经吃完了
[27:26] 今年预估EPS323块
[27:28] 所以这样的一个效果就导致
[27:30] 本益比的修正幅度快速的拉大
[27:33] 现在又重新回到接近有18倍左右
[27:36] 高点跌下来
[27:37] 本益比跌幅也接近有两成左右了
[27:39] 所以在这样的一个状态底下
[27:41] 我们等同于
[27:42] 现在市场上进一步的去了解
[27:45] 自己的投资中心为何
[27:47] 而并不是在用
[27:48] 原本川普的讯息消息
[27:50] 来决定自己的投资步调
[27:52] 所以我们做个结论
[27:53] 市场上一边是用AI企业获利
[27:56] 来撑住基本面
[27:57] 一边是被能源和地缘政治
[27:59] 拉下估值
[28:00] 那两股力量同时存在
[28:02] 你可以同时相信
[28:03] 两边都是正在发生的事情
[28:05] 可是你要回过头说
[28:07] 那你到底投资的本质是什么呢
[28:09] 是你希望可以买到一个
[28:10] 相对低估值的区间
[28:12] 还是你希望能够依据
[28:14] 全球能源和地缘政治的晴朗化
[28:17] 来做更进一步的投资呢
[28:18] 那你投资是不是反而要在
[28:19] 地缘政治冲突引爆的时候进行投资
[28:22] 所以每个人的投资规模
[28:24] 投资预期策略
[28:25] 其实都并不太一样
[28:26] 这波回挡也并不是坏事
[28:28] 市场把过度乐观的预期给修正掉
[28:31] 重新对风险定价
[28:32] 我们讲过
[28:33] 对于长期投资者
[28:34] 最好的盘是什么
[28:35] 就是每个月都像三月四月
[28:38] 什么意思
[28:38] 一直盘
[28:39] 盘到所有人都离开
[28:41] 盘到所有人对于中东新闻不再关注
[28:44] 盘到大家开始兴趣全缺
[28:46] 本来行情都是在这样的一个状态底下
[28:49] 达成一个标准的中期修正
[28:51] 总结到最后
[28:52] 其实最后问题就一个
[28:53] 谁会是这场
[28:54] 新一轮地缘争执当中的赢家呢
[28:57] 在这场多重关系当中的
[28:59] 新世界当中
[29:00] 不再是谁强就能够赢
[29:02] 而是谁能够最适应不确定性
[29:05] 谁就能够活下来
[29:06] 过去我们那种
[29:07] 压住单一霸权
[29:09] 压住单一叙事的时代正在结束
[29:11] 取而代之的
[29:12] 很多人开始是
[29:13] 踩多条船
[29:14] 分散风险
[29:15] 灵活的转向能力
[29:16] 真正的赢家
[29:17] 也有可能不是最有力量的国家
[29:19] 是那些能够掌握关键节点的玩家
[29:22] 能源出口国
[29:24] 航道控制者
[29:25] 供应链的运输等等
[29:26] 那当然我们开始面临这种不确定性的时代
[29:30] 我们反而要去寻找那些长期就一直确定的事情
[29:34] 哪些事情是确定的呢
[29:36] 那就是我们虽然每隔几年都会遇到这种周期性的不确定性
[29:41] 可是周期是确定的
[29:43] 永远都会有市场乐观和市场悲观的时候
[29:46] 当然每一次乐观悲观的情绪
[29:49] 表达的方式
[29:50] 以及事件都不太一样
[29:51] 可是人性就是这样子
[29:53] 即便大家都知道
[29:55] 长期美国股市是三代牛
[29:56] 它一样会有相对悲观
[29:58] 它一样会有相对乐观的时候
[30:00] 也听给投资朋友了
[30:01] 所以最后
[30:02] 到底本场地缘政治冲突
[30:04] 谁会是赢家呢
[30:05] 到时候我们就拭目以待
[30:16] Nobody knows win better than me
[30:21] Nobody knows win win win win win better than me
[30:25] 像个飞手玩的夜空飞着无人机
[30:27] 每天比我更多多多张嘘气
[30:31] 花儿这段不飘荡的大神器
[30:37] 那黑色马克笔画是突破天际
[30:40] 这天是白色河巴非常酷
[30:42] You are fire 已经给我两途路
[30:44] You are fire 人生要break the golden rule
[30:46] But I just make them look like a fool
[30:48] What is the strategy
[30:49] I have no strategy
[30:50] I win the votes on the golf team
[30:54] Tell me if you won't quit
[30:55] But I just follow two paths
[30:56] 我不停止自大行为
[30:57] 任何世界发
[30:58] 听见了吗
[31:10] 夏天的街上全都在尖叫
[31:12] 我不停的隐隐的
[31:14] 你们都疯掉
[31:16] You are fire
[31:18] I am fake news
[31:21] We got the biggest numbers you cannot refuse
[31:25] 加倍的关 车辆你无处可逃
[31:29] 我一定只睡两小时 绝对不疲劳
[31:32] There is a high high high
[31:35] Reaching the sky
[31:36] Sleepy guy
[31:38] Waving goodbye
[31:46] 没人没有比我更懂得奇妙
[31:50] 听到掌声跟我一起跳
[31:55] We won
[31:58] We won
