[00:00] 投資變換收聽早晨財經速解讀
[24:21] 可以升級的硬體和軟體系統所以觀眾朋友連狗都要失業了連導盲犬現在都要失業了你就可以瞭解說這個時代的變遷到底有多快事實上我們看
[24:33] 最近有很多
[24:34] 針對整個AI
[24:35] 替代能力的效果的
[24:36] 陸續報告
[24:37] 在2026年
[24:37] 都廣泛出來
[24:38] 去年你已經感受到
[24:40] 那個文創工作者的
[24:41] 那個就業衝擊
[24:42] 有多大了
[24:42] 那在今年呢
[24:44] 看起來科技巨頭啊
[24:45] 可以在不招募
[24:46] 員工的人數底下
[24:48] 持續性的
[24:49] 放大獲利
[24:50] 營收走高
[24:51] 成本不上升
[24:52] 或者成本適度下滑
[24:53] 互利就會以非常驚人的速度放大
[24:56] 這就是華爾街的信心來源
[24:58] 我們看AI進入職場
[24:59] 勞工現在最擔心的就兩件事
[25:01] 一個就工作會不會被取代
[25:02] 另外一個就是
[25:03] 演演算法如果默默把你取代
[25:05] 你會不會連申訴物件都找不到
[25:08] 像也是研究所老師
[25:10] 新秉隆老師
[25:11] 這一次就提到說
[25:13] 現行的勞機法和就業服務法
[25:15] 對於失業補償再訓練已經有配套
[25:17] 那現在最大破口是什麼
[25:19] 如果僱主
[25:21] 他偷偷的匯入AI
[25:22] 勞工依法是沒有協商空間的
[25:25] 尤其團體協約法第15條
[25:29] 替新技術鋪好紅毯以後
[25:31] 他沒有幫員工留一條逃生門
[25:33] 就是AI取代人力已經是必然
[25:35] 那重點在於
[25:36] 什麼時候他的成本
[25:37] 跟你的薪資形成死亡交叉
[25:40] 對於勞工而言
[25:41] 如果你成本有一天算好了
[25:42] 搞不好已經收到通知了
[25:44] 差別只在於
[25:45] 這次不是主管找你談
[25:46] 而是系統直接幫你算好了
[25:48] 你會發現
[25:49] 怎麼我能夠做的
[25:50] AI都已經做好了
[25:51] 那你自己自行慚愧
[25:53] 搞不好就離開了
[25:54] 這沒辦法
[25:55] 我們過去跟投資朋友提過
[25:56] 微軟之前的研究
[25:57] Working with AI
[25:58] 他就有聊到說
[25:59] 生存是對於AI的就業衝擊
[26:01] 預估未來一段時間
[26:02] 像口譯研
[26:04] 歷史學家
[26:05] 城市設計師
[26:06] 都會遭受到
[26:07] 比較顯著的就業變動
[26:08] 不是全部失業
[26:09] 而是說他會遭受到
[26:10] AI所帶來的創造性的破壞
[26:13] 這也代表著
[26:14] 那AI時代來臨
[26:15] 有時候我們真的要掌握
[26:17] 一些核心的競爭力
[26:18] 有些工作
[26:19] AI是永遠取代不了的
[26:21] 我們過去提過
[26:21] 比如說像律師
[26:23] 會計師
[26:24] 政治人物的助理
[26:26] 讀懂
[26:28] 為什麼
[26:28] 因為AI不能坐牢
[26:30] 這年頭誰敢背黑鍋
[26:32] 才是核心競爭力
[26:33] 你要找AI無法做的事情
[26:36] AI根本無法坐牢
[26:37] 所以這件事情
[26:38] 一定有它的價值存在
[26:40] 當然在終端應用層面
[26:42] 我們還是看得清楚
[26:43] 陸續在做推出
[26:44] 像智慧介持
[26:46] 這個曾經是很小眾的系統
[26:48] 在25年其實已經爆發了
[26:49] 去年出貨量年增幅已經有49%
[26:52] 成長速度比智慧手錶的6%還來得快
[26:55] 那這個算是低存在感的長續航
[26:58] 能夠全天候追蹤睡眠
[27:00] 你像之前Meta眼鏡
[27:02] 它就是用這個小戒指來嘗試的
[27:05] 做更進一步的調控
[27:07] 那尤其很多人是把這個戒指
[27:10] 當成追蹤睡眠活動量和心率
[27:12] 不想戴手錶
[27:13] 但是願意戴戒指睡覺
[27:14] 資料甚至比手錶還來得更為精準
[27:17] 我們看到Ura Health
[27:19] 從15年推出新一代產品以後
[27:22] 已經把智慧戒指
[27:23] 從原本的少數玩家推向大眾市場
[27:26] 目前在今年的估值
[27:28] 已經上看200億美元
[27:29] 另外像Razer
[27:31] 這個是做電競產品的
[27:32] 它也是全面壓住AI
[27:34] 未來會投入6億美元來發展AI
[27:36] 同時間它在這次CES閃當中
[27:38] 也提到說
[27:39] 很多以消費者為主的概念論跡
[27:42] 會開始以AI作為導向
[27:44] 顯示這些AI裝置
[27:47] 它即將要提供給工程師
[27:49] 或者企業客戶
[27:50] 讓他們表示不再是賣硬體
[27:53] 而是賣一個新的AI的生態系
[27:55] 基本上你可以看到很多終端裝置
[27:58] 在過去一年到兩年
[28:00] 其實都在做大幅度的轉變
[28:02] 而這個轉變
[28:03] 正是我們看到
[28:04] 整個AI生產力爆發的緣由
[28:06] 好我們回過頭來看一下
[28:07] 沒有股市
[28:08] 四大指數表現
[28:09] 道瓊規指數上漲484.0.99%
[28:12] 收在49462點
[28:14] 標普上漲42.0.62%
[28:16] 收在6944點
[28:18] 納指上漲151點
[28:19] 0.65%
[28:20] 收在23547點
[28:22] 費辦上漲204點
[28:24] 2.75%
[28:25] 收在7650點
[28:26] 其實科技股漲幅並不大
[28:29] 昨天主要是靠美光
[28:30] 噴了10%
[28:32] 或者Sandisk漲了27%
[28:34] 不過在昨天
[28:35] 其實費辦向AMD回答
[28:38] 即便這麼亮麗的一些
[28:40] AI的終端的前景釋出情況底下
[28:42] 股價沒有大幅度的拉抬
[28:44] 其實某種程度
[28:45] 似乎也意味著
[28:46] 整個美國股市內部的輪動
[28:48] 已經開始產生
[28:49] 已經從原本的科技巨頭資金
[28:52] 開始向外擴散
[28:53] 所以道瓊標普仍然持續創下歷史新高
[28:56] 那大家知道
[28:58] 每年不管是股市年尾還是年初
[29:00] 我們都會花一點時間
[29:01] 沉下心來檢視自己的投資框架
[29:05] 反正現在對不對
[29:06] 右側嘛
[29:07] 你要追
[29:08] 你也沒有什麼太多追的空間
[29:10] 你可能等下一次左側的發生
[29:12] 但是呢
[29:13] 反而是一個很好的自我總結
[29:15] 看反思的時候
[29:16] 因為現在心情不錯
[29:17] 心情不錯
[29:18] 就特別適合思考
[29:19] 我們從進入股市以來
[29:21] 對於股票的研究
[29:22] 大概會有兩個階段
[29:23] 第一個階段
[29:24] 就是大而整
[29:24] 系統性的思維
[29:26] 講究宏觀的趨勢
[29:27] 指標的精準
[29:28] 就好像李小龍
[29:29] 剛進50的時候
[29:30] 每一個派系都想要學
[29:32] 學完永春
[29:33] 學臺拳
[29:33] 學完泰拳
[29:34] 學樓樹
[29:35] 把所有的派系學會以後
[29:37] 以為就能夠打遍天下無敵手
[29:39] 但第二個階段
[29:40] 就會慢慢取捨
[29:40] 對於市場認識的深入
[29:42] 瞭解自己理解的侷限性
[29:44] 我好像無法確定
[29:45] 自駕車最後誰會勝出
[29:47] 我好像無法確定
[29:48] 大元模型最後誰能夠勝出
[29:51] 沒有任何一門武術
[29:52] 能夠成功打天下
[29:53] 任何框架都有優點和缺點
[29:55] 關鍵是找到一個適合自己的
[29:57] 你經歷上面兩個階段
[29:59] 我相信大家都能夠在股市當中
[30:01] 找到自己的節奏
[30:02] 我們也沒有說
[30:04] 只有景氣投資法
[30:05] 才能夠戰勝市場
[30:06] 但是你有沒有自己的投資框架
[30:08] 還是隻是一昧的跟單
[30:09] 其實就很重要
[30:10] 也給投資朋友
[30:11] 做個人進一步的思維
[30:13] 其實我們講說
[30:14] 把投資換成感情
[30:16] 任何人生邏輯都一模一樣
[30:18] 很多人在感情初期
[30:19] 也總是想要
[30:20] 把正確的方法學一遍
[30:22] 想要研究什麼溝通技巧
[30:24] 心理學
[30:25] 什麼依附理論
[30:26] 紅要玩
[30:27] 藍要玩什麼的
[30:29] 期待什麼框架能夠完整以後
[30:31] 你就能夠一路幸福
[30:32] 但是其實真正
[30:34] 你能夠提升自我的方式
[30:36] 是進入第二個階段
[30:37] 開始懂取捨
[30:38] 承認自己的偏好和盲點
[30:40] 知道什麼樣的人是適合自己的
[30:43] 所以感情其實也一樣
[30:45] 我們一直常講
[30:46] 少操無用的心
[30:47] 多操心愛的人
[30:48] 就是你對於心愛的人
[30:50] 你多操心一點
[30:51] 你多喜歡他一點
[30:52] 管他你要學什麼技巧
[30:53] 你對他好就可以了
[30:55] 能者多勞
[30:56] 智者多慮
[30:57] 無能者無憂無慮
[31:00] 所以無能就是福
[31:02] 投資朋友
[31:03] 有能力者吃麥當勞
[31:05] 勞者多死
[31:06] 能力好不如關係好
[31:08] 我們不如放棄各股的選擇
[31:11] 你不覺得各股選擇
[31:12] 其實越來越困難了嗎
[31:13] 到底誰會勝出
[31:14] 很難講
[31:15] 但是你只知道
[31:16] 美國股市會創新高
[31:18] 那我要選擇美國股市
[31:20] 在很恐慌的時候
[31:21] 我要多買一點
[31:21] 大概就這樣的一個邏輯
[31:23] 所以我們還是要宣傳一下
[31:24] 本週六就是我們財經號叫
[31:26] 第一季的聽友會
[31:27] 在晚上10點鐘
[31:28] 會線上上直播
[31:29] 來跟投資朋友多接敘述
[31:30] 如果大家有興趣的話
[31:31] 可以點選我們底下網址來參加
[31:33] 或者來到我們的會員系統
[31:35] 裡頭有進一步的宏觀報告
[31:38] 來給投資朋友做更進一步的思維聯想
[31:41] 讓大家能夠在景氣的長期河流途當中
[31:44] 能夠尋找到適合自己的位置
[31:46] 我們今天聊的範圍很廣
[31:47] 從一開始整個臺股融資預約的創高
[31:50] 來看待市場的情緒
[31:52] 在推升但是也沒有到失控
[31:54] 而在推升的過程當中
[31:55] 大家檢視的是什麼呢
[31:57] 就是CES展推出的這些東西
[31:59] 這些東西能不能符合我們對於營收的回饋
[32:02] 你資料中心是投了很多
[32:04] 那你現在給我一點錢
[32:06] 回饋進來吧
[32:07] 賺一點錢
[32:07] 這些東西能不能創造進一步的產值呢
[32:10] 如果能
[32:11] 那就說明著AI的泡沫不會破
[32:13] 它只是最多估值修正
[32:16] 但是如果推出這麼多終端產品
[32:18] 沒有一個客戶買單
[32:20] 大家覺得終端的自家系統
[32:22] 還離我們好遠的時候
[32:23] 那也許對於股價的沉壓
[32:25] 就會稍微大一點
[32:25] 而這些都是一步一步
[32:27] 正在上演當中的
[32:29] 給投資朋友做一些思考
[32:30] 如果喜歡我們節目
[32:31] 記得幫我們訂閱按贊加分享
[32:32] 我們就明天早上八點半
[32:33] 早晨財經速點圖再相見
[32:34] 祝各位投資朋友
[32:35] 看完順利
[32:36] 超買快
