[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 极度亮丽的财报表现
[25:11] 跟在中国做的事情差很多
[25:12] 可是你至少可以观察到
[25:14] 整个24年到25年
[25:16] 美国的电网和电力升级幅度有多大
[25:18] 那第二件事情
[25:19] 中方的另外一层优势
[25:21] 在于我们清楚知道
[25:23] 政策连贯性的效率性
[25:25] 它会牺牲民众的权益
[25:27] 来换来国家政策的推进
[25:29] 而现在我们看黑石
[25:31] 才刚刚退出维吉尼亚州的
[25:33] 最大型超大资料中心开发案
[25:36] 这个开发案本来是接近2100英亩
[25:39] 大概是850公顷
[25:41] 预估要新建37座资料中心
[25:43] 结果黑石居然撤资了
[25:45] 撤资的原因并不是不看好AI
[25:47] 是因为维吉尼亚州
[25:49] 现在在过去两年
[25:50] 屡遭居民的抗议
[25:52] 法律诉讼
[25:53] 土地争议
[25:54] 那我们要知道
[25:54] 如果维吉尼亚州接下来
[25:57] 维州可能采取更进一步的
[25:59] 周监管政策
[26:00] 导致资料中心新建速度放慢
[26:02] 那你要知道
[26:03] 全美国现在的商用能源设施
[26:06] 剔除维吉尼亚州以后
[26:08] 几乎就跟疫情以前差不多了
[26:10] 所以维吉尼亚州
[26:11] 未来的表态就非常非常重要了
[26:13] 毕竟好像美中双方
[26:15] 还在国内上有所竞争
[26:16] 那当然这也说明着
[26:18] 未来的竞争要求
[26:20] 大家可能不会
[26:22] 只在本土上来做心剑
[26:23] 可能会往外
[26:24] 像美国的部分
[26:25] 到目前为止
[26:26] 几乎还锁定在美国本土
[26:27] 这是川普的要求
[26:28] 但是在南美洲的部分
[26:30] 我们看这一次抖音
[26:31] 字节跳动已经
[26:32] 赤字390亿美元
[26:34] 直接在巴西
[26:36] 打造中国最大的
[26:37] 海外资料中心
[26:38] 预估投资400亿美元
[26:40] 整座场区会有
[26:41] 20座的资料中心厂房
[26:42] 为什么呢
[26:43] 因为巴西有90%的
[26:45] 应该说90%来自于再生能源
[26:48] 有水力发电
[26:49] 有风力发电
[26:50] 太阳能发电
[26:51] 然后能源又过剩
[26:52] 所以阿里巴巴就租用巴西的大型AI资料中心
[26:56] 来吸引中美科技巨头来做进驻
[26:59] 那这些效果基本都是彰显着
[27:02] 未来双方的资料中心在国家队的一个帮助
[27:06] 可是我们往另外一个方向走
[27:09] 之所以大家会对于巨头
[27:11] 还是抱持着比较戒慎恐惧
[27:12] 敢买但是又不敢买太多
[27:14] 一个根本原因就来自于
[27:16] 目前AI token的支出指数
[27:18] 和云端巨头的股价
[27:19] 在过去几个月是高度的同步
[27:22] 这也反映出市场对于AI算力的需求
[27:24] 和科技估值之间存在的紧密关系
[27:27] 那现在两者同步回落
[27:29] 就说明着
[27:30] 企业在购买token
[27:32] 训练模型以及推理的需求
[27:34] 增速似乎稍微有点放缓
[27:35] 是增速放缓
[27:36] 不代表衰退
[27:37] 而是稍微缓了一点点
[27:39] 因为大家已经开始去聚焦
[27:41] 有没有更便宜的token
[27:43] 更便宜的AI模型
[27:44] 可以来让我做使用呢
[27:45] 我们把瑞银的报告拿出来看
[27:47] 现在中国的AI模型
[27:49] 在训练和推论上的成本优势
[27:52] 在训练端层面
[27:54] 大概仅仅只有美国的十分之一左右
[27:56] 那同时透过较小模型的规模
[27:59] 较低的GPU
[28:00] 使用成本和开源生态
[28:02] 它可以带来共享成果
[28:04] 所降低的训练支出
[28:06] 在这样效果底下
[28:07] 等同于除非你是要做
[28:09] 最先进的前沿模型的使用
[28:12] 但是如果是基本传统客服
[28:14] 真的不一定要完全考虑
[28:16] 用CitGPT或者Gemini
[28:18] 相关的导入件
[28:19] 你像彭博
[28:21] 我记得是跟OpenAI做合作
[28:23] 很多美系企业
[28:24] 都是选美国本土的
[28:25] 可是你像ABMB
[28:26] 或者部分的一些电商
[28:29] 或者一些旅游平台
[28:30] 基本上可能都是采用DeepSeq
[28:32] 或者采用阿里钦问模型
[28:35] 事实上我们看
[28:36] 中美双方的AI模型能力
[28:37] 还是有一定的落差
[28:39] 在城市编码当中
[28:40] Enthropy和OpenAI
[28:41] 基本上还是前半端
[28:43] 但中国模型也算是挤进了第一梯队
[28:46] 像阿里的千问
[28:47] DeepSick V4
[28:49] Kimi的2.6
[28:50] 还有智普V2.5 Pro
[28:52] GLM的5.1
[28:54] 所以看得出来
[28:55] 双方虽然还是有比较明显的差距
[28:58] 可是接下来就是性价比的选择
[29:00] 那这一些CP值的选择
[29:02] 未来可能就会形成市场上
[29:05] 下一轮在估值层面的投赦
[29:08] 就是市场来得更加精明了
[29:10] 我们对于非凡
[29:11] 我们不能够无条件看好了
[29:12] 我们要用合理的本益比
[29:14] 合理的增长预期
[29:15] 来判断三星海力士的评价该有多少
[29:18] 这是第一件事情
[29:19] 第二件事情
[29:20] 我们对于科技股的评价
[29:22] 尤其是巨头的评价
[29:23] 也来得更为审思
[29:25] 更为谨慎了
[29:26] 一方面我要知道
[29:28] 你投的这么多钱
[29:29] 你投一样的钱
[29:30] 跟投在中国市场一样的钱
[29:32] 谁能够有更进一步生产效率的回馈呢
[29:36] 除非你能够给我更多的生产力的提升
[29:39] 可能是自驾车
[29:40] 可能是机器人的运用
[29:41] 可能是我们需要某种
[29:43] 更爆发性的算力需求
[29:45] 那第三件事情
[29:46] 这也说明着
[29:47] 市场上不论针对硬体股
[29:49] 还是软体股
[29:50] 都有一个更公元的评价
[29:51] 那我们只要确保资本支出还在增长
[29:54] 但是上升幅度没这么快了
[29:56] 它始终是一个孤子回调
[29:58] 而并不是泡沫破灭的开始
[30:00] 所以行情走到这个地步
[30:02] 难免还是要睡公元的
[30:03] 可是公元睡了一阵子以后
[30:05] 终究还是要回饭店了
[30:07] 我们已经撑了这么多年了
[30:09] 记住要看对趋势
[30:11] 但是不要死在波动
[30:13] 不要死在波动的方式很简单
[30:15] 就是每一次睡公园
[30:16] 都有防蚊蚁
[30:18] 都有带雨具
[30:19] 不要受伤
[30:20] 不要睡了一次公园
[30:21] 就永远待在公园
[30:22] 要好好保养自己的身体
[30:24] 有一天我们要重返饭店
[30:26] 好不好
[30:26] 给投资朋友做一些思考
[30:27] 台股上涨290点
[30:29] 收在45769点
[30:31] 如果喜欢我们的节目
[30:32] 就帮我们订阅按赞加分享
[30:33] 我们就明天早上半一半
[30:34] 找成才新写写图
[30:36] 再相见
[30:36] 祝各位投资朋友
[30:37] 看完顺利
[30:38] 茶班愉快
