[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 已经在反映全球的地缘政治冲突
[25:59] 是不是能够把蓝煤发电比重
[26:02] 从原本现在只剩下20% 30%左右
[26:06] 一口气拉到35%到40%左右
[26:09] 看是否能够用这样的一个方式来稳住
[26:11] 因为煤价目前还没有失控
[26:13] 可是油价和天然气价格已经有点上涨幅度过快了
[26:17] 所以未来有没有可能奉旨重启蓝煤机组
[26:21] 这要值得观察
[26:22] 另外一方面采取的物价稳定
[26:24] 塑胶袋之乱已经开始了
[26:26] 所以政府端木目前在周末已经释放讯息
[26:29] 确保全台抢购和价格波动
[26:32] 由行政院直接进行管制
[26:34] 从上游端到零售端全面介入
[26:37] 在终端市场层面
[26:38] 政府是介入到分配和调度
[26:41] 协调零售通路稳定供货
[26:43] 你说现在只有油气端在涨
[26:48] 只有电液在涨
[26:49] 看起来中下游端
[26:50] 政府是有直接介入动涨
[26:52] 为什么塑胶袋也在涨
[26:54] 老板要涨价
[26:55] 总是找得到理由
[26:56] 这个是不得不所产生的压力
[26:58] 事实上我们看到
[26:59] 整个亚洲各国
[27:00] 目前都在疯狂抢煤
[27:03] 因为核能要回归
[27:04] 它有一段时间
[27:05] 但这一次冲击
[27:06] 全球1%的LNG几乎中断
[27:09] 日本南韩
[27:10] 目前在上个月
[27:12] 已经重新启动
[27:13] 原本要淘汰的燃煤电厂
[27:14] 孟加拉也增加进口
[27:16] 结果导致澳洲煤价
[27:18] 2月底也涨了25%
[27:20] 你说煤价也涨了
[27:21] 油价涨了快一倍
[27:23] 天然气涨了50%
[27:25] 煤价只涨25%
[27:27] 算便宜
[27:28] 所以现在市场上正在疯狂的采煤
[27:31] 这就是我们观察到的失职现象
[27:32] 我们看最后没有股市
[27:34] 是大家指数的表现
[27:35] 道琼上涨165.0.36%
[27:38] 算16,669点
[27:39] 标普上涨29.0.4%
[27:42] 算6611点
[27:43] 纳指上涨117.0.50%
[27:45] 算21996点
[27:46] 非半上涨87.1.06%
[27:49] 算7916点
[27:50] 都开始反弹了
[27:52] 那看起来第一只脚爆量
[27:55] 第二只脚有没有机会量缩
[27:57] 那这样的话就有可能打成W底了
[28:00] 第一只脚绝对底部
[28:01] 第二只脚按照技术逻辑
[28:03] 脚不破前底
[28:05] 要长短脚
[28:06] 标准长短脚
[28:07] 那当然我们并不是以技术分析为底来做分析
[28:10] 只是说他可能很多市场上
[28:12] 现在不敢追
[28:13] 产生的共识就在等第二只脚
[28:15] 事实上你从情绪怪力角度而言
[28:17] 不管在反弹还是V转的过程
[28:20] 或者第二只脚
[28:21] 第三只脚都是有可能的
[28:23] 很多男生很自豪自己有第三只脚
[28:25] 像我也有
[28:26] 但是这种东西就不要拆
[28:27] 所以股市有一句俗语
[28:29] 叫做新手死在摸顶
[28:31] 老手死在反弹
[28:33] 高手死在摸底
[28:35] 闲租手死在监视器
[28:38] 所以一般投资新手没有经验
[28:40] 在顶部的时候过度乐观
[28:42] 结果一下杀就毕业了
[28:44] 老手的部分抢反弹
[28:46] 一抢想赚个价差
[28:48] 结果套在反弹的波段高点上
[28:51] 死猫跳
[28:52] 投资经验丰厚的老手
[28:54] 觉得跌幅已经够了
[28:55] 逐步接刀市场反转的时候获利出场
[28:59] 但是有时候洗杀的幅度
[29:02] 不小心把你给洗出场了
[29:04] 所以有时候我们讲说
[29:05] 这不同投资逻辑
[29:06] 在面对当前的行情不太一样
[29:08] 但是如果是从单纯的情绪
[29:11] 或者本一笔回调幅度来看的话
[29:13] 我觉得情况就已经越来越明朗了
[29:16] 我们回过头看
[29:17] 整个标普500指数
[29:18] 在今年整体跌幅才跌4%左右
[29:21] 中型股还涨了3.4
[29:23] 我们看到的大型价值股涨了2.9%
[29:26] 其他像是国际股市涨了2.8%
[29:29] 小型股涨了2.3%
[29:30] 真正跌最重的是哪一些股票
[29:32] 我们看得很清楚
[29:33] 是七巨头
[29:34] 平均跌幅11.7%
[29:36] 看一下微软
[29:37] 微软的股价修正
[29:38] 从上面跌下来跌了四成
[29:40] 本益比从原本40倍掉到23倍
[29:43] 23倍是什么水准
[29:44] 23倍是2022年当时乌二战士的水准
[29:48] 它股价当然没有回到22年的水准
[29:51] 可是你看到的是
[29:52] 本益比已经有严重下滑段了
[29:54] 所以我们的逻辑
[29:55] 一直都是依循着基期的高低
[29:57] 本益比前瞻预期的高低
[30:00] 乖离的高低来抉择
[30:01] 很多人想要等第二只第三只脚
[30:03] 你必须学取去年四月份的经验
[30:06] 有时候市场杀得特别快
[30:08] 谈得也特别快
[30:10] 当然更有可能的
[30:11] 对于长期投资者来说
[30:13] 更希望的是当然长期盘整
[30:15] 盘到所有人都离开
[30:17] 这个时候往往是长期的底部逐步形成
[30:20] 市场上下还有一定的兴趣吗
[30:22] 等到我们直播从2万人变200人的时候
[30:25] 你就大概知道
[30:26] 大家已经兴趣缺缺了
[30:28] 那种盘是对于长期投资人来说
[30:31] 最轻松的
[30:32] 每个月就慢慢买
[30:33] 你也不会买特别贵
[30:34] 不会买特别便宜
[30:35] 但你知道现在市场很低迷
[30:37] 好我们看台北股市上涨549点
[30:39] 刷33122点
[30:41] 今天我们主要从几个角度
[30:43] 来跟投资朋友分享
[30:44] 第一个部分是全球在能源冲击底下
[30:47] 似乎利空不断
[30:49] 油价没回跌
[30:50] 但是股市要开始筑底了
[30:51] 这是我代表的
[30:52] 市场已经针对新的
[30:54] 中东地缘政治格局
[30:56] 产生新一轮的定价
[30:58] 也许航运不会断
[30:59] 也许美伊的冲突不会结束
[31:01] 但是航运也许一直以来
[31:03] 看起来会有越来越多的油轮
[31:05] 陆续的运出来
[31:06] 第二部分
[31:07] 亚洲的能源大乱
[31:08] 各国的补贴战已经开始了
[31:10] 大家都在期待
[31:11] 像日本的部分
[31:12] 甚至开始跟伊朗领导人
[31:14] 开始通话了
[31:15] 最后一件事情是
[31:16] 好在的事情是
[31:17] 全球股市其实本轮跌幅并不大
[31:19] 但是少数个股跌幅特别大
[31:21] 所以如果是依据基期投资
[31:23] 周期投资的
[31:24] 你会发现你的选择是非常有限的
[31:27] 不是每只股票都跌那么重
[31:28] 而是少数几只股票跌得特别重
[31:31] 哪些板块
[31:32] 只可以投资朋友多做一些关注
[31:34] 如果喜欢我们节目
[31:35] 记得帮我们订阅按赞加分享
[31:36] 我们就明天早上半半
[31:37] 早晨财经速解读
[31:38] 再相见
[31:39] 祝各位投资朋友看完顺利
[31:40] 操盘愉快
