[00:00] 從這邊歡迎收聽早晨財經速解讀
[25:09] 我們最希望的事情
[25:10] 不就是我們什麼事都不用做
[25:12] 靠AI來幫助我們達成物質生活的提升
[25:15] 所以說到底都是小事
[25:16] 我們雖然這一代買房是更痛苦了
[25:20] 感覺好像心裡也不是很平衡
[25:22] 可是我們這一代的物質生活
[25:24] 的確是比上一代上上代好過
[25:26] 好多一點
[25:27] 從物質生活條件來看的話
[25:29] 難道你希望回到100年前200年前嗎
[25:32] 這是給投資朋友的一些思考
[25:33] 好不管怎麼說
[25:34] 剛才聊到的第一件事情
[25:36] 是AI在定價上的核心矛盾
[25:38] 但另外一方面
[25:40] 我們看到市場上更進一步聚焦的
[25:42] 是AI的估值修正
[25:44] 它是從不同利空因子堆疊起來的
[25:47] 剛才針對AI對於產業的顛覆
[25:49] 只是其中一個
[25:50] 過去的主流思考和重點
[25:53] 但是另外一方面
[25:54] 第一個是
[25:55] AI已經外溢到其他
[25:58] 我們講說板塊當中
[25:59] 因為私募資產管理公司
[26:01] 最近股價也大跌
[26:02] 很多人會想
[26:03] 是不是錢不夠了
[26:04] 還是你的曝險過高了
[26:06] 像阿波羅
[26:07] 像黑石
[26:08] 像KKR
[26:09] 這一次大型機構
[26:11] 從2025年初以來
[26:12] 普遍跌幅已經超過了三成
[26:14] 比軟體
[26:15] 比私募信貸的基金
[26:17] 還要來得更慘
[26:18] 那當然
[26:18] 不只是剛才提到
[26:20] AI對於藍體業的衝擊
[26:21] 它有更深層的問題
[26:23] 就是槓桿降低
[26:24] 利率上升
[26:26] 投資退出變得更加困難
[26:28] 過去私募基金
[26:29] 它靠的是低利率和高負債
[26:31] 來收購企業
[26:32] 現在融資成本很高
[26:33] 估值有些產業已經停滯了
[26:36] 投資成功所需要的企業獲利
[26:39] 成長率從每年10到12%
[26:41] 已經開始有進一步的週期輪替
[26:45] 那這些資金
[26:46] 私募股權的修正
[26:48] 是否會影響到接下來AI的資金需求
[26:51] 銀行股的重挫也是如此
[26:53] 我們看到在今年以來
[26:55] 其實各大銀行價格跌幅都蠻重的
[26:58] 美銀花旗復國
[27:00] 總體跌幅今年跌幅大概在4%到5%
[27:02] 高盛摩根士坦利跌幅到6%
[27:05] KBW銀行指數
[27:07] 這個價格壓力也相對來的大
[27:09] 從二月份以後
[27:10] 價格就一直到市場的顯著蔓延
[27:13] 所以現在市場上會稍微比較擔心
[27:16] 想說總體資金來到這樣的一個位階
[27:19] 是否意味著
[27:21] 市場的這種系統性的輪替
[27:23] 已經準備開始
[27:24] 尤其我們後續再來觀察
[27:25] 七巨頭陸續都有一點盤頭的跡象
[27:28] 本來想說靠輝達這一次帶頭衝做突破
[27:31] 它沒突破
[27:32] 那七巨頭就沒有一隻在突破了
[27:35] 只剩下臺積電在漲
[27:36] 所以漂亮其姐妹
[27:38] 現在都不漂亮了
[27:39] 只剩下美股超級巴的臺積電
[27:41] 在網上帶動工
[27:42] 臺積電已經賣產值的
[27:44] 他的客戶每一家都在跌
[27:46] 只有他在漲
[27:47] 那不免覺得有點虛
[27:48] 所以這叫做表面平靜
[27:50] 但是內部市場的劇烈翻騰
[27:52] 我們看標普派指數
[27:54] 到目前為止
[27:55] 仍然接近歷史的高點
[27:56] 可是其實內部資金的產業流動速度
[27:59] 非常非常之快
[28:00] 如果我們細節觀察
[28:02] 現在在人工智慧對於商業模式的影響
[28:06] 對於股價而言
[28:06] 我們看到AI風險概念股
[28:09] 總體而言
[28:10] 其實整體跌幅已經跌了
[28:12] 大概有三成到四成
[28:13] 老牌科技公司也是如此
[28:15] 只有硬體股還在上漲
[28:17] 賣產值的一直漲
[28:18] 去挖金礦的一直跌
[28:20] 長久下來你也知道它會有問題的
[28:23] 另外一方面是美國高收益公司公司債
[28:26] 相對於美國公債的利差變化
[28:28] 其中科技公司的垃圾債
[28:30] 就紅色線的利差
[28:32] 這幾年來擴散幅度就蠻快了
[28:35] 你說適度上升可以理解
[28:37] 但已經重新回到五個百分點以上
[28:40] 顯著高於其他產業的債券
[28:42] 這件事情就說明著
[28:44] 大家對於科技公司
[28:45] 已經開始有點保守
[28:46] 利差擴大代表市場要求
[28:48] 更高的風險補償
[28:49] 也反映說
[28:50] 投資人針對科技企業的信心風險
[28:53] 和資金環境
[28:53] 趨於保守的態度
[28:55] 也意味著最佳投資標的
[28:58] 以前最佳投資標的
[28:59] 就是科技股的股票
[29:00] 還有科技股的債券
[29:02] 這些科技股的債券吸引力
[29:04] 正在瘋狂的下滑
[29:05] 那是否會總有一天
[29:07] 影響到這些科技股的實質股價
[29:10] 所以第二個結論就是
[29:11] 市場變了
[29:12] 資金變得更加聰明
[29:14] AI這條主線還在
[29:15] 但市場的定價已經不太一樣
[29:17] 資金不再全面的去追逐科技
[29:19] 而是集中到現金流比較強
[29:22] 負成額最深的龍頭
[29:23] 那這樣的一個趨勢一路分化
[29:25] 那代表著
[29:26] 現在的分化不是
[29:27] 傳產股和科技股的脫鉤
[29:29] 就變成AI股內部也在分化
[29:32] 最強的才能夠留下來
[29:34] 只要是第二強第三強的
[29:36] 都即將被淘汰
[29:37] 那第三點
[29:38] 是AI所造成的副作用
[29:40] 陸續的湧現
[29:41] 我們過去所提到的
[29:42] AI帶動記憶體的短缺
[29:44] 手機市場今年應該會進入到深度衰退
[29:47] 根據IDC最新的報告
[29:49] 記憶體實在太缺貨了
[29:50] 導致今年智慧型手機的記憶體不夠
[29:53] 可能會萎縮13%以上
[29:55] 創下歷年來最大跌幅
[29:57] 這件事情非常非常的不好
[29:59] 你不能因為AI的發展
[30:01] 結果把消費性電子市場全部打產
[30:04] 就是本來今年應該是要緩慢復甦的
[30:07] 結果因為記憶體太貴
[30:09] 手機大缺貨
[30:10] 手機大缺貨賣得更貴
[30:12] 即便你的總銷售額上升
[30:14] 也不是好事
[30:15] 因為總銷售量並沒有因此持續拉昇
[30:18] 所以這是第一個觀察重點
[30:20] 第二個是我們後續有機會再聊
[30:22] 因為時間差不多了
[30:23] Entropic跟五角大廈的衝突
[30:25] 也在劃定AI時代
[30:27] 針對國家權利的邊界等等
[30:29] 第三個是本週
[30:31] 剛才聊到
[30:32] 科技巨頭已經陸續抵達白宮
[30:35] 即將簽署一項承諾
[30:36] 來保證新建的AI資料中心
[30:39] 不會推高附近的居民電費
[30:41] 包括Amazon Google Meta Microsoft
[30:43] 都是如此
[30:43] 已經陸續到達
[30:45] 原因就在於
[30:46] 川普在國慶之文就提到
[30:48] 科技公司有義務要立即滿足
[30:50] 自身的用電需求
[30:52] 不要再導致社群電價上漲了
[30:54] 你必須要立即建電站
[30:56] 那這些事情
[30:57] 都會引得市場上
[30:58] 有進一步的估值壓力
[31:00] 會不會有了算力
[31:01] 沒有電力
[31:02] 那這個算力照樣算不出來呢
[31:04] 這些訊息
[31:05] 都導致整個科技國的估值
[31:08] 在短期內遇到極大挑戰
[31:09] 那我們總結來說
[31:10] 現在的市場也並沒有崩壞
[31:13] 但是也絕對不到狂熱
[31:14] 它是進入到一種高位的拉鋸的區間
[31:17] 戰爭本身對於股市的衝擊有限
[31:19] 真正牽動的是油價
[31:21] 殖利率以及黃金所反映的資金成本變化
[31:25] AI現在還是主軸
[31:26] 但資金已經從原本全面追逐
[31:29] 轉向精準挑選
[31:30] 市場變得更現實了
[31:32] 另外一方面
[31:33] 記憶體的瓶頸
[31:34] 政策的摩擦
[31:35] 電力成本
[31:36] 還有現實相關的約束
[31:37] 浮上臺面之後
[31:39] 它就對於高估值形成壓力了
[31:41] 指數看起來還很穩
[31:43] 但底層已經重新定價
[31:45] 接下來的關鍵就在於
[31:47] 利率方向和現金流
[31:48] 是否能夠撐得起這一輪的估值
[31:51] 也給投資朋友做些思考
[31:52] 如果喜歡我們節目
[31:53] 記得幫我們訂閱按贊加分享
[31:54] 我們就明天早上半點半
[31:55] 早晨財經四解讀
[31:56] 再相見
[31:57] 祝各位投資朋友看板順利
[31:58] 早上一塊
