[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 台湾时间的早上9点钟
[26:07] 帮助你摊低成本
[26:09] 所以本来从更宏观的格局来看
[26:12] 本轮的AI周期
[26:13] 跟半导体的周期
[26:14] 它是密切相关的
[26:15] 但以前半导体反映的是
[26:17] 消费性电子产品
[26:18] 现在我们要迎来了一个新的挑战
[26:20] 那就是反映
[26:21] AI的周期
[26:22] 它会是多长呢
[26:23] 一样是两到三年一个循环
[26:25] 还是五到十年呢
[26:27] 这就很难说
[26:27] 但是如果遇到重大跌幅
[26:29] 尤其是外部性冲击
[26:30] 大家都了解我们的态度
[26:32] 我们也是一路这样子待到现在
[26:33] 那一样
[26:34] 三月份
[26:35] 这种下跌
[26:36] 左侧我们不悲观
[26:38] 但是右侧就不会过度乐观了
[26:40] 如果股市即将开始反弹了
[26:42] 有一种说法是这样子
[26:44] 听说人一生
[26:46] 他会面对13到15个循环
[26:49] 和5到6个大循环
[26:50] 好这个大循环是什么
[26:52] 这是我们的父亲
[26:54] 母亲1960年的蓝筹股泡沫
[26:56] 1970年的两次石油危机
[26:59] 1980年的乌尔克升息
[27:02] 1990年波斯外战争
[27:03] 2000年的网络泡沫
[27:05] 08年的金融海啸
[27:07] 还有2020年的新冠疫情
[27:08] 好像每十年都遇到这种系统性的冲击
[27:11] 年轻时没有钱投入
[27:13] 20岁以前不算
[27:15] 70岁以后要想清福
[27:17] 大概就50年
[27:18] 所以人生就有五次大转折的这种投入点
[27:22] 其中你掌握一次循环
[27:24] 人生就从社畜变成中产
[27:26] 两次你就买到房了
[27:28] 三次你就晋升资产阶级
[27:30] 四次你就变巴菲特
[27:32] 第五次你就变成美国总统了
[27:35] 所以川普就是掌握了五次的循环
[27:37] 那小循环是什么呢
[27:38] 小循环就库存循环
[27:39] 25年的库存循环调整
[27:41] 22年的调整
[27:42] 18年美洲贸易战调整
[27:44] 15年上证股灾调整
[27:46] 第一年欧债危机调整
[27:47] 差不多了
[27:48] 大循环是10年一次
[27:50] 小循环3到4年
[27:53] 一轮的库存循环
[27:54] 有些人就用这样几个循环
[27:55] 来了解说
[27:56] 我又迎来了一个
[27:57] 比较大的压力
[27:58] 也许是一个投入点
[28:00] 所以时间到底是朋友
[28:02] 还是敌人
[28:02] 至少对于长期投资人来说
[28:04] 他都是朋友
[28:05] 对于巴菲特来说
[28:06] 他退休了
[28:08] 现在还是每天进办公室
[28:09] 可是总有几年
[28:11] 他总是要见上帝的
[28:13] 对于郭董来说
[28:15] 前几年
[28:15] 再不选总统来不及
[28:17] 对川普来说
[28:18] 这一届总统
[28:19] 是他最后能够
[28:20] 重振家族的机会
[28:21] 所以对于我们散户来说
[28:23] 时间是朋友
[28:24] 但是对于很多富豪
[28:26] 顶层阶级来说
[28:27] 时间变敌人了
[28:29] 因为再过几年
[28:30] 就要见上帝
[28:31] 看我们节目的投资朋友
[28:32] 不管你年龄多少
[28:34] 你都是长命百岁的
[28:35] 所以我们时间很长
[28:36] 我们现在最多的是什么
[28:37] 就是时间
[28:38] 好三月份买好了
[28:39] 那我们就一起慢慢变富
[28:41] 不是和你一起暴富
[28:42] 是和你一起致富
[28:44] 因为时间站在我们这一边
[28:46] 当然每一个人的时间尺度都不一样
[28:48] 三分钟可以很长
[28:50] 三年可以很短
[28:51] 五分钟可以很短
[28:54] 五十分钟有点长
[28:56] 会破皮
[28:57] 但是不管怎么说
[28:58] 每个人的时间尺度不同
[29:00] 你只要时间尺度放远一点
[29:02] 很多答案看起来就非常清晰
[29:04] 我们一直讲说
[29:05] 投资这件事情就像人生的列车
[29:07] 它不会因为你犹豫就停下来
[29:09] 很多人总是在等待一个
[29:11] 更好的时间点来进场
[29:13] 结果有时候是错过了低点
[29:15] 看着资产一路的上涨
[29:16] 自己在原地化圈圈
[29:18] 市场永远不会等人准备好之后
[29:20] 再启动
[29:21] 它只鼓励那些
[29:22] 即便充满着不确定性
[29:24] 它还是敢踏出那一步的人
[29:26] 与其等待完美时机
[29:28] 不如学会在不完美的
[29:30] 过程当中行动
[29:32] 因为这是让人真正后悔的事情
[29:34] 都是那些你什么都没做的
[29:36] 人家临终前想的都是
[29:39] 真正让人后悔的
[29:41] 往往不是做错什么
[29:42] 是什么都没做
[29:43] 所以回过头看你的成本价
[29:45] 差不多都会在你赚最多钱的时候
[29:48] 投资也永远不嫌晚
[29:51] 最终一句就讲
[29:53] 就是投资不等人
[29:54] 时间就是这样子不断的往前
[29:56] 之前看到一个段子
[29:58] 讲医生对病人说
[29:59] 我有一个好消息和一个坏消息
[30:01] 你想听哪一个
[30:02] 病人很紧张
[30:03] 还告诉我坏消息吧
[30:05] 医生叹了一口气
[30:07] 你只剩24小时的生命了
[30:09] 病人很震惊
[30:11] 那好消息呢
[30:12] 医生说
[30:13] 我找那里一整天了
[30:14] 终于找到你了
[30:16] 所以每个人时间尺度不同
[30:19] 他对于你的冲击就不一样
[30:21] 但是投资时间是不等的
[30:23] 你当然可以晚一点再投资
[30:25] 晚一点再来做
[30:26] 更进一步的财经思维
[30:28] 可是你往往需要付出更多的代价
[30:31] 对不对
[30:31] 年轻时青春没有售价
[30:34] 中年时青春没了
[30:38] 但有售价
[30:39] 但你要花钱
[30:40] 是不是压力很大
[30:41] 给投资朋友做一些思考
[30:43] 台北股市上涨1168点
[30:44] 收在34398点
[30:46] 盘了一个月又回到34000
[30:48] 这两个月真是无聊
[30:50] 对不对
[30:50] 但不管怎么说
[30:51] 我们今天主要跟投资朋友稍微梳理
[30:53] 停战两周
[30:55] 它是不是一个转折点
[30:56] 还是一个讯号的公布
[30:57] 我们要从通膨指标
[30:59] 从原物料价格
[31:00] 来做更进一步的发酵
[31:01] 那第二个部分
[31:02] 是观察在美国股市
[31:04] 内政问题层面
[31:06] 是川普接下来要处理的重点
[31:07] 而这些重点
[31:08] 有非常多利多政策的释放
[31:11] 4月份
[31:12] 报税季
[31:12] 对于美国股市来说
[31:14] 很快要来了
[31:14] 5月份是台股
[31:15] 接下来更影响的是
[31:17] 过去大人民法案的
[31:19] 财政刺激效果
[31:20] 是否会陆续出现
[31:21] 最后再回过头来看
[31:22] 整个台股美股的迹象
[31:24] 有没有发现
[31:25] 短期内我们每天
[31:26] 在讨论这些新闻
[31:27] 可是长期
[31:28] 它不过是
[31:29] 长长美国股市河流图当中的一个小黑K棒
[31:34] 一个大红K棒而已
[31:36] 在这样效果底下
[31:37] 有时候时间尺度一拉长
[31:39] 也许你该不该买
[31:40] 该不该卖
[31:41] 其实已经一览无遗了
[31:43] 可以给投资朋友多做一些思考
[31:44] 如果喜欢我们节目
[31:45] 记得帮我们订阅按赞加分享
[31:46] 我们就明天早上半夜半
[31:48] 早晨财经速解读再相见
[31:49] 祝各位投资朋友开盘顺利
[31:51] 操盘愉快
