[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 指数的规划遭受到重大影响
[24:46] 会发现同一套逻辑
[24:48] 同一套思维
[24:50] 大盘都还在创高
[24:51] 可是当时推动科技股创新的这些股票
[24:54] 似乎已经不在排行榜当中了
[24:56] 之前看到一个故事
[24:58] 讲结婚之前
[24:59] 男朋友说
[25:01] 我就抱抱你而已
[25:02] 我保证什么都不做
[25:04] 女朋友说不行
[25:05] 结婚之后
[25:07] 老公说
[25:08] 我就抱抱你而已
[25:10] 我保证什么都不做
[25:11] 太太说不行
[25:12] 给我过来
[25:14] 都是不行
[25:15] 但是一个是真的不行
[25:17] 另外一个是不行也得上
[25:19] 过去我们针对这些科技股
[25:21] 软体股的信心
[25:22] 每一轮的逻辑都是
[25:24] 重大外部利空
[25:26] 一定是买入的好时机
[25:28] 但这一轮居然不一样
[25:30] 过去总觉得科技总会发展
[25:32] 最后会带领资产价格创高
[25:34] 可是AI爆发以后
[25:35] 过去带领我们股价创高的
[25:37] 这些软体股
[25:38] 它的护城河却消失了
[25:40] 反而是台积电挥达基础建设概念股
[25:43] 在带领着我们创高
[25:45] 这就是一个新的时代
[25:46] 好8点56分
[25:47] 我们继续往下看
[25:48] 那这个时代该怎么做呢
[25:50] 还是有很多企业寻找到了一个新的模式和新的方式
[25:53] 我们还是要做一系列的乐观想象
[25:56] 的确产业周期造成了轮替
[25:58] 可是不是每家企业都像软铁股
[26:01] 也并不是每次科技巨头
[26:03] 都像OpenAI遭遇如此大的挑战
[26:05] 我们举例来说
[26:06] 目前AI其实在美国和台湾
[26:08] 各大商业模式都在多点开花
[26:10] 举一个比较直观的
[26:12] 这是我最近观察到的新闻
[26:13] 这家公司叫做Combo
[26:15] 是美国的人工智慧新创
[26:17] 它主要是因为美国有很多的病患
[26:20] 它被保险公司拒绝
[26:22] 给付医师开力的治疗
[26:24] 但是他们也很少提出申诉
[26:26] 因为在美国流程很复杂
[26:28] 耗时又充满着挫折
[26:30] 大家可以去看一下HBO的之前的剧
[26:33] 叫做《皮兹堡医魂》
[26:35] 里面就演这些事情
[26:36] 很复杂
[26:37] 然后急诊室永远爆满
[26:38] 新创公司Combo
[26:40] 他就想要改变这件事情
[26:41] 他利用人工智慧去协助病患
[26:43] 产生申诉性
[26:44] 引用医疗研究
[26:46] 保险法规
[26:47] 还有过往的案例
[26:48] 让一般人也能够用更有利的方式
[26:50] 挑战拒赔决定
[26:51] 什么意思
[26:52] 他就是创造一个
[26:53] 专属医疗申诉案的AI系统
[26:57] 里头他投资了相当大的资金
[26:59] 让最顶尖的律师
[27:01] 最顶尖的医师
[27:02] 最顶尖的保险人员
[27:03] 来教导AI
[27:05] 我们在过去的案例当中
[27:06] 遇到什么样的挑战
[27:07] 是有机会申诉的
[27:08] 到目前为止
[27:09] 这项公司去年推出以来
[27:11] 已经有超过4000人
[27:13] 4000人透过平台提出了申诉
[27:15] 有四分之三都成功让保险公司撤回巨赔
[27:19] 所以这套模式逻辑就很直接
[27:21] 保险公司因为越来越常用演算法
[27:24] 或制度流程来快速的拒绝给付
[27:26] 病患就要用AI去反击AI
[27:29] 那他收不收钱
[27:30] 他也收钱的
[27:31] 每次申诉收50美元
[27:33] 那也获得了大量的资金投入和支持
[27:36] 在这样的一个效果底下
[27:38] 某种程度也算是造福人类
[27:40] 如果你觉得你理赔金额
[27:42] 可能跟50美元差不多
[27:43] 就不一定要去
[27:44] 可是如果理赔金额是高达数万美元
[27:47] 那也许花个50美元
[27:48] 看看AI能不能帮助你升速
[27:51] 也是一种方式
[27:52] 在社群媒体上
[27:53] AI的天气预报也是如此
[27:55] 礼拜三礼拜四天气要变凉了
[27:57] 过去我们看到很多AI伪造的灾害影片
[28:00] 可能制造恐慌
[28:01] 但真正的气象预测已经开始登场了
[28:04] 我们看在过去一段时间
[28:06] Google所推出的Weatherlab
[28:07] 它所推出的数据
[28:09] 它是大量的结合准确路径
[28:12] 还有网路上的一些评论
[28:14] 以及强化预测
[28:15] 替防灾来争取时间
[28:17] 那这些模式
[28:18] 跟传统的中央气象署的预测模式
[28:20] 又不太一样
[28:21] 而是它让AI自由学习发展
[28:24] 研究显示
[28:25] AI在模拟低气压
[28:27] 热浪等现象的时候
[28:28] 它能够产生
[28:29] 跟真实大气高度一致的反应
[28:31] 挑战过去两周预报的极限
[28:34] 所以它这个软体
[28:35] 做了一个突破
[28:36] 就是他开始预测一个月两个月之后的气候现象
[28:39] 就大数据的运算
[28:40] 还有当下的民众的回馈
[28:43] 比如说有些人发文说今天天气好糟
[28:45] 今天天气好阴
[28:47] 今天好不舒服
[28:48] 这有更准确的这些网络数据
[28:50] 来做好更进一步的气候预测
[28:52] 再来中华电信的部分
[28:54] 这是本期商桌的报道
[28:56] 很有趣
[28:56] 我们在中华电信
[28:57] 四五年内
[28:59] 现在有数千人要老师傅退休了
[29:01] 有没有人要去做
[29:02] 没有人要去做
[29:03] 所以中华电信
[29:04] 最近把大量过去那些老师傅
[29:07] 讲不清楚写不出的经验
[29:09] 透过录音录影
[29:10] 教给AI学习
[29:12] 这很有趣
[29:13] 就是我们一直在想说
[29:14] 有一些我们讲的这种接地气的技能
[29:17] 到底要如何教给AI
[29:18] 看起来中华电信就很简单
[29:20] 拿一个录影机
[29:22] 拿一个手机去录影
[29:23] 来看这些老师傅
[29:26] 他们怎么处理遇到的物理挑战
[29:28] 然后教给AI来做知识库的维修
[29:31] 整体而言
[29:32] 至少从公布的数据来看
[29:33] 维修效率从三个小时缩短到半小时
[29:36] 教会了很多的新师傅
[29:38] 准确率也高达98%
[29:40] 这就是省能力
[29:40] 而且解决知识断层的问题
[29:42] 更重要的是
[29:43] 请中华电信把AI当成赚钱工具
[29:45] 现在开始做国安生意了
[29:48] 毕竟在台湾
[29:49] 我们明显了解有国安疑虑的问题
[29:53] 在AI的部件当中
[29:54] 说采用的技术都是非常重要的
[29:56] 后续不管是行动客服
[29:58] 还是国际的账户系统
[30:00] 都采取一系列的AI协助流程
[30:02] 其实台湾有非常多的AI企业
[30:05] 都在多点开花
[30:06] 举几只公司为例
[30:07] 这家公司叫硕网
[30:09] 硕网过去我们讲过
[30:10] 是做AI客服的
[30:11] 台湾有很多公司
[30:12] 现在开始做大圆模型
[30:14] 结合到企业既有的客服
[30:16] 可是你要说
[30:17] 还要特别跑去跟OpenAI
[30:18] 跟AnswerP来合作
[30:20] 还有语言的落差
[30:21] 很多中小型公司
[30:22] 也在做AI客服
[30:23] 那怎么办呢
[30:24] 就找台湾的AI客服公司
[30:26] 做一次性
[30:28] 也不能讲一次性
[30:29] 是可以跟客户规模成长
[30:31] 持续收费的服务性的生意
[30:33] 在AI浪潮底下
[30:34] 如何让台湾广大的企业
[30:36] 有AI的连接
[30:37] 所以一系列
[30:38] 我们看到这种AI的大爆发
[30:40] 它都引领着新一波行情
[30:42] 并不是所有产业
[30:44] 都好像美国的软鸡骨一样
[30:45] 一夕之间股价被颠覆
[30:47] 再举另外一个是秉硕
[30:49] 秉硕最过去我们提过了
[30:50] 多数的医疗机器人
[30:52] 都还卡在研发
[30:53] 秉硕呢
[30:53] 他是直接走到临床
[30:55] 走到医师身上
[30:56] 他也不是谈炫技
[30:57] 他是从脊椎手术
[30:59] 这些高度依赖经验
[31:00] 风情又高的场景来切入
[31:02] 把影像的导航
[31:03] 机械手臂
[31:04] 还有医师操作流程
[31:05] 做完整的结合
[31:06] 重点就在于
[31:07] 这个系统
[31:08] 它是能够缩短手术时间的
[31:11] 而且能够降低误差
[31:12] 让很多年轻医师
[31:13] 能够安全的上手
[31:14] 所以我们说
[31:15] 这种大量的AI
[31:17] 在台湾多点开花的趋势
[31:19] 某种程度而言
[31:20] 都意味着
[31:21] 有些公司
[31:22] 它被AI开始抛诸脑后了
[31:24] 有些公司
[31:25] 它贴近了AI
[31:26] 它让自己的市值放大了
[31:28] 这给投资朋友多一些思考
[31:29] 好台股下跌398点
[31:31] 回到39123点
[31:33] 应该不会有人这一下就睡公园吧
[31:36] 我们下礼拜公园再相见
[31:39] 现在这几天先去厂刊
[31:41] 多买点衣服
[31:42] 天气要变了
[31:44] 可是我们回过头说
[31:45] 到底变的原因
[31:46] 是因为AI要破灭了吗
[31:48] 还是变的原因
[31:49] 只是由于乖离拉高了
[31:51] 找一个理由让它回档呢
[31:53] 股价回档的时候
[31:54] AI就要泡沫破灭了
[31:56] 股价上涨的时候
[31:57] AI就要重新启动了
[31:59] 你会发现
[31:59] 历史周期就是如此
[32:01] 判断总会出事
[32:03] 可是周期永远都在
[32:05] 因为市场的情绪
[32:06] 总会有高有低
[32:08] 市场的乖离
[32:08] 总会有高有低
[32:10] 人性的贪婪和恐惧
[32:12] 它是不会结束的
[32:13] 可是每年的题材都会改变
[32:15] 这也给投资朋友
[32:16] 注意思考
[32:16] 如果喜欢我们的节目
[32:17] 记得帮我们订阅按赞加分享
[32:18] 我们就明天早上八点半
[32:20] 早晨财经速解读
[32:21] 再相见
[32:22] 祝各位投资朋友
[32:23] 看盘顺利
[32:23] 炒盘愉快
