[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 7月份的下杀
[26:12] 看到一段故事
[26:13] 他讲说
[26:15] 互有好感的男女同事
[26:18] 男同事跟女同事
[26:19] 一起出差
[26:20] 晚饭之后就回饭店
[26:22] 那预算原因
[26:23] 睡在同一间房
[26:25] 两张床
[26:26] 晚上女同事
[26:28] 穿着蕾丝睡衣
[26:30] 一边听歌
[26:31] 那男同事很紧张
[26:33] 后来那女同事就问那男同事
[26:36] 你知道海阔天空是谁唱的吗
[26:40] 男同事毫不犹豫地说
[26:42] 黄家居
[26:42] 那女同事摇了摇头
[26:45] 转身睡觉了
[26:47] 所以有些机会
[26:49] 就是被这种老实人亲自送走的
[26:52] 很多时候我们投资上最大的遗憾
[26:54] 也不是说你买贵了
[26:56] 是因为过度谨慎
[26:57] 一次又一次地把机会亲自送走
[26:59] 这并不是鼓励盲目追高
[27:01] 而是提醒自己
[27:02] 有时候长期趋势没有改变
[27:03] 你不能因为短期的价格波动
[27:06] 否定整个产业
[27:08] 不是黄家居是谁
[27:09] Beyond
[27:11] 所以真正值得关注的
[27:14] 并不是每天的股价涨跌
[27:16] 我们要继续关注
[27:17] AI需求是否持续在扩张
[27:19] AI是否提供了足够的生产力
[27:22] 还有算力是否已经迎来了过剩
[27:24] 只要这几个条件
[27:26] 你有清楚的理解
[27:27] 你会发现
[27:28] 我们还在标准的上行循环
[27:29] 所以我们一直把本轮的下跌
[27:32] 视为估值回调
[27:33] 估值回调不是跌到这边为止
[27:34] 如果跌到这边
[27:35] 然后马上融资都回来
[27:36] 那也不算是回调了
[27:38] 那只是形成下一轮回调的序幕而已
[27:41] 最好还是盘多久一点时间会比较好
[27:44] 甚至要有点破底
[27:45] 要不然我觉得现在
[27:46] 大家都已经有那种V转的心态
[27:49] 也不是特别好
[27:50] 那第二件事情
[27:51] 当然就是那估值回调
[27:52] 另外一个理由是什么呢
[27:53] 当然就是利率预期的变化
[27:55] 因为长天期公债值利率
[27:57] 对于市场的集体性卖压
[27:59] 其实还没有完全的展现
[28:01] 你会发现这一波十年期
[28:03] 三十年期公债殖利率的创高
[28:05] 好像跟股市的下压没什么关系
[28:07] 大家都是反映在财报前后的预期变化
[28:10] 反而真实利率上行之后
[28:12] 股价没有太大波动
[28:13] 可是这是一个真正的大问题
[28:15] 你看三十年期公债殖利率
[28:17] 最近已经来到5.27%
[28:19] 19年的新高了
[28:21] 市场已经压住十年期公债殖利率
[28:23] 要准备挑战4.9%了
[28:25] 如果未来两个月的通膨
[28:27] 居高不下
[28:28] 即便我们知道川普好像铁了心
[28:31] 就是要压油价
[28:32] 可是你也总不可能靠
[28:33] True Social
[28:34] 靠社交媒体来压住油价吧
[28:37] 真实美伊之间的停滞所导致的
[28:40] 原油供给压力
[28:41] 还是会持续展现
[28:43] 一个比较直观的
[28:45] 你看张图表是美国汽车协会
[28:47] 最新所公布的
[28:48] 全美普通汽油价格
[28:50] 整体而言
[28:51] 每家轮大概在4.09块
[28:53] 跟前几周相比
[28:55] 威士士品
[28:55] 可是还是比23年
[28:58] 24年
[28:58] 25年来的贵
[28:59] 比22年稍微好一点
[29:01] 这代表着汽油价格
[29:03] 仍然维持在高档显著的震荡
[29:05] 尤其我们也清楚知道
[29:07] 目前美国墨西哥湾的炼油价差
[29:10] 大概已经逼临到历史高点了
[29:12] 代表炼油厂家原油加工成汽油
[29:16] 或者柴油等成品后的获利空间
[29:18] 大幅扩张
[29:19] 即便原油价格波动
[29:21] 成品原油还是供给比较紧的
[29:24] 加上中东局势冲击了全球炼油和运输业
[29:27] 所以燃料价格还维持在相对高档
[29:29] 所以现在的航空燃油
[29:31] 其实还是比较贵的
[29:32] 涨幅相对于去年
[29:33] 还是有接近四成到五成
[29:35] 尤其美国原油的库存
[29:37] 在这一次战略原油储备释放以后
[29:39] 已经降到一个相对的危险水位
[29:42] 不只是商用的还是军用都是如此
[29:45] 因为战略石油储备SPR
[29:47] 现在在整个七月份预估
[29:49] 还会再减少380万桶
[29:51] 那等同于应该会迎来
[29:53] 本世纪以来的新低
[29:55] 那这对于美国可能是极大压力
[29:58] 我上次看了一个数据
[29:59] 应该是1980年以来的新低
[30:00] 大概只剩下3.07亿桶
[30:03] 所以在这样效果底下
[30:04] 等同于原油价格
[30:07] 对于通膨的拉弹
[30:08] 虽然不见得它会创下历史新高
[30:11] 可是它就一直保持在这个位阶
[30:14] 那照理来讲
[30:15] 债券应该要回过头来
[30:16] 抑制住股市的估值
[30:18] 这是我们市场上
[30:19] 比较观察的几大方向
[30:20] 但它最终就形成了一个
[30:22] 终极回调
[30:23] 估值压制的理由
[30:24] 好台北股市小跌136点
[30:27] 是在42,982点
[30:29] 一场空
[30:30] 但是不重要
[30:31] 因为最好的回调
[30:33] 是要洗盘洗到没有耐心会比较好
[30:36] 要不然它V转
[30:38] 已经V习惯了好不好
[30:39] 每个人都VVVV
[30:40] 当然我个人比较偏好升V
[30:43] 但是过去几次的浅V
[30:46] 它已经把杠杆斩
[30:47] 一次升V就洗出去了
[30:48] 所以我现在更期待的是
[30:50] AV
[30:51] 给你A下去对不对
[30:53] 但也不要一次A到底
[30:54] 要不然会断头
[30:55] 最好就是盘整盘盘盘
[30:57] 盘到你完全没耐心
[30:58] 成交量全部缩下来
[30:59] 大家对于股票市场
[31:00] 不再抱着年化报酬率
[31:03] 每年20到30%的幻想
[31:05] 最好这样是最健康的
[31:07] 这是我最希望看到的
[31:09] 但是似乎大家已经习惯了
[31:11] 一个更高波动的社会
[31:12] 但必须承认
[31:14] 现在的股票市场概况
[31:15] 的确跟2020年以来的疫情惯性
[31:18] 好像也有了一些区别
[31:20] 但是至少可以承认的事情是
[31:22] 持续留在市场
[31:23] 不会有太大的错误
[31:24] 尤其市场恐慌加剧的时候
[31:26] 不要错过一些机会
[31:27] 这给投资朋友做些借鉴
[31:29] 如果喜欢我们节目
[31:30] 记得帮我们订阅按赞加分享
[31:31] 我们就明天早上八点半
[31:32] 早晨财经速解读
[31:34] 再相见
[31:34] 祝各位投资朋友看完顺利
[31:35] 操盘愉快
