[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 但大多数的实质观点
[25:31] 可是资产或者说资金
[25:34] 正在共享不同的市场或者资产
[25:36] 那投资人有时候
[25:37] 只是被动承受这样的一个波动
[25:39] 感觉好像每天波动很大
[25:41] 但你会发现同一套资金
[25:42] 就这样子一直轮来轮去
[25:43] 油价一下占上100
[25:45] 一下跌破100
[25:45] 股市一下达到年限
[25:47] 一下又弹回来
[25:48] 那回答盘整已经盘了
[25:49] 有两个季度左右了
[25:51] 所以我们必须讲说
[25:52] 现在资金可能是同一套
[25:53] 大家降完杠杆以后
[25:55] 这套资金就是每天流来流去
[25:57] 其实总体波动并不大洗澡的时候你如果用的热水一下子凉一下子烫一下子大一下子小那肯定是你的家人同时开了其他水
[26:08] 不管是厨房的水龙头
[26:09] 还是他在洗衣服
[26:10] 你如果发现你的另外一半
[26:12] 对你一回冷
[26:14] 一下子又很热
[26:15] 那八成是有人跟你共享了
[26:17] 所以资金本来就是这样子
[26:19] 一大一小忽冷忽热
[26:21] 市场表面稳定
[26:22] 其实更进一步的
[26:23] 是对于长期体系
[26:25] 有了共识以后
[26:26] 短期资金的寻找博弈的机会
[26:30] 大家都知道结局会怎么样
[26:31] 可是短期内
[26:32] 大家其实都在对赌而已
[26:34] 亚洲市场也因为这样子
[26:35] 面临到开盘及风险的新时代
[26:38] 中东战争这一次
[26:39] 把亚洲市场变成了一个
[26:41] 每天新定价的时代
[26:42] 因为亚洲投资人
[26:43] 我们知道每天要去消化
[26:45] 隔夜的美股和油价
[26:47] 那问题就是那个波动幅度
[26:49] 越来越大
[26:49] 也越来越多人被洗出场
[26:51] 你像澳洲十年期公债殖利率
[26:53] 常常开盘这几周
[26:55] 几分钟就跳升10到20个基点
[26:59] 那等于把风险
[27:00] 把两天的风险一次反应完
[27:02] 那这种市场跳空式的重估
[27:05] 就导致很多交易被迫停顺
[27:06] 所以你发现这场交易
[27:08] 好像压力也不是特别大
[27:10] 那总体指数也没有跌幅这么重
[27:12] 怎么那么多人被洗出场了
[27:14] 这是亚洲结构性的弱点
[27:16] 因为一方面
[27:17] 亚洲经济本来就高度依赖中东能源
[27:19] 第二跟随着美国市场定价
[27:21] 那有时候一开盘
[27:23] 就会灌进到亚洲市场
[27:24] 最近台股也是如此
[27:25] 这个当日政府其实波动也蛮大的
[27:28] 所以我觉得我们还是要用更长远的格局来看待
[27:31] 怎么用更长远的格局来看待呢
[27:33] 其实就是要了解
[27:35] 当前的景气周期所遭受的供给面的影响
[27:38] 它会不会持续
[27:39] 真正影响的仍然是需求面
[27:41] 我们过去跟投资朋友提过了
[27:43] 根据过往经验
[27:44] 当油价上涨的时候
[27:46] 不代表股市一定得跌
[27:47] 重点在于为什么涨
[27:48] 如果接下来是由需求繁荣所带动
[27:51] 油价就保持在80块也不跌了
[27:53] 但是由于AI的爆发
[27:55] 对于市场的需求
[27:56] 能源推动
[27:57] 还有供应链充足所推动
[27:58] 那基本上
[27:58] 它仍然是以正面看待的
[28:00] 但是如果是由supply chain
[28:02] 也就是由供给面的冲击
[28:04] 所影响的长久性的变化
[28:06] 不好意思
[28:06] 中东战争要打一辈子
[28:08] 那很抱歉
[28:09] 那价格受到的抑制
[28:10] 结果幅度
[28:11] 价格就必须被迫往下修正
[28:13] 所以我们接下来观察的重点在于
[28:16] 油价不是不能维持在80到100美元
[28:18] 只要它上涨的原因
[28:20] 并不再是因为中东问题
[28:22] 而是由于全球的紧急需求带动
[28:25] 其实就可以了
[28:26] 所以我觉得这段时间
[28:27] 反而你应该用更长远的格局来做观察
[28:31] 不然有时候行情的变动
[28:34] 往往不小心就把人给洗出场了
[28:36] 其实我们都知道结果
[28:37] 我们都知道趋势
[28:39] 可是太多人死在波动
[28:40] 这就是真实迹象
[28:42] 如果是周期投资
[28:43] 其实从20年以来
[28:45] 疫情以来
[28:45] 什么看都是赚的
[28:47] 顶多就是赚多赚少的问题
[28:49] 也没那么严重
[28:50] 有时候多体会几轮的周期波动
[28:53] 我们就反而可以更淡然的
[28:54] 看待资本市场
[28:55] 市场波动就会教你
[28:56] 让你清楚
[28:57] 自己是怎么样的一个人
[28:58] 最经典的对话
[29:00] 那两个女子在聊天
[29:02] 一个说
[29:02] 我好像同时爱上两个人
[29:04] 怎么办
[29:05] 另外一个女孩说
[29:06] 当然是选择第二个人
[29:07] 如果你真的爱第一个人的话
[29:10] 第二个就不会出现了
[29:12] 爱情跟前途并不冲突
[29:15] 对的人一定会站在你的前途里
[29:17] 有时候我们要这样子
[29:18] 这是一种智慧
[29:20] 就是它不是一个单纯
[29:22] 你去定义
[29:24] 现在问题的智慧
[29:25] 而是你能够定义
[29:26] 自己面临这个
[29:27] 真实问题的智慧
[29:28] 你不要问自己该怎么选
[29:30] 该做多还是该做空
[29:31] 而是你要想
[29:32] 为什么自己会有
[29:33] 面对两难的问题呢
[29:35] 那一定是你某种
[29:36] 中心思想的改变
[29:37] 所以如果大家会纠结说
[29:39] 现在到底该投还是不投
[29:41] 那你要回想一下
[29:42] 那你以前买进股票的理由
[29:44] 是什么
[29:45] 是因为AI吗
[29:46] 那你卖出股票的理由
[29:47] 只有AI的基本面松动
[29:49] 才可以卖出
[29:50] 如果你买进的理由
[29:51] 纯粹是因为乖离回调幅度变大
[29:54] 除非现在乖离往上走了
[29:56] 要不然它就是一直是买入的一个好时机
[29:58] 情绪恐惧的时候你贪婪
[30:01] 这给投资朋友多些思考
[30:03] 当然了往下看
[30:04] 回过头来看
[30:05] 我们对于中长期的格局
[30:06] 始终不把中东战是视为一个长期性的外部性理由
[30:10] 始终把它视为一个短期性的
[30:12] 中长期而言
[30:13] 其实还是要回过头来看一下
[30:15] 私人信贷市场的变化
[30:17] 为什么这么说
[30:18] 因为我们都知道
[30:19] 目前私募信贷已经出现了
[30:21] 比较明显的挤兑现象
[30:22] 从一开始基金限制赎回
[30:25] 就只让投资人稍微拿一小部分
[30:27] 其实就已经爆发出这种
[30:29] 私人信贷部门的流动性围棋了
[30:31] 那更核心的关键在于
[30:32] 像联准会
[30:33] 不见得会如市场预期的宽松
[30:36] 代表的资产的流动性预期正在收缩
[30:39] 那你要知道
[30:40] 资产本身就是一种不流动的贷款
[30:43] 但资金是可以随时赎回的产品
[30:45] 一旦投资人开始恐慌提款
[30:47] 基金可能就要被迫变卖资产
[30:50] 那这个去杠杆的效果
[30:52] 跟银行起队也没有太大区别
[30:54] 所以市场上将就很担心
[30:56] 私人信贷股
[30:57] 现在快要跌到地狱了
[30:58] 到底年底
[31:00] 我们到时候看到的
[31:01] Anthropic或者OpenAI的上市计划
[31:03] 会不会受到影响
[31:04] 6月份很快SpaceX就要上市了
[31:06] 资金缺乏
[31:07] 私人信贷的资金
[31:09] 能不能填补本轮缺口
[31:11] 另外一方面
[31:12] 昨天新闻
[31:12] OpenAI现在不只是笔记术了
[31:15] 开始用资本开战了
[31:16] 居然开出了一个极高的私募基金
[31:21] 它是向私募基金开
[31:22] 应该不是向一般人开的
[31:24] 它向私募基金开了17.5%的最低回报
[31:28] 这种吸引资金的高报酬计划
[31:31] 目的很明确
[31:32] 要绑住这些企业客户
[31:34] 什么意思
[31:34] 就是它本身而言
[31:36] 等同于发行相关债务
[31:38] 以及相关的融资计划
[31:40] 那回报幅度居然以17.5%
[31:43] 有这么高的一个回报幅度
[31:46] 那其实就说明
[31:48] OpenAI真的有点缺钱了
[31:49] OpenAI这么顶尖的公司
[31:51] 照理来讲
[31:51] 它不用给它这么高的一个回报
[31:53] 好这件事情也就
[31:54] 你要想想看
[31:54] 如果有一天
[31:55] 这个台积电发行企业在
[31:57] 然后给你17.5%殖利率
[31:59] 那你会紧张
[32:00] 怎么这么高
[32:02] 台积电给我3%都算很多了
[32:04] 因为它是很优质的公司
[32:05] 那OpenAI 17.5%压力有点大
[32:08] 那第二条呢
[32:09] 是OpenAI在收缩战线
[32:10] 昨天宣布要关闭影片生成产品Sora
[32:14] 并且终止原本高达10亿美元的
[32:17] 迪士尼的合作案
[32:18] 这也代表着现在的策略出现重大转向
[32:21] 原本大家会认为
[32:23] 这是OpenAI进军内容产业的重要一步
[32:26] 甚至预计要让迪士尼角色
[32:28] 直接进入到生成内容的生态
[32:30] 结果并没有落地
[32:32] 原因很简单
[32:33] 因为它的用户成长不如预期
[32:34] 算力又很贵
[32:35] 成本过高
[32:36] 等同于未来我们要用
[32:38] 现在最主流的就是抖音
[32:39] 等同于OpenAI在收缩战线
[32:43] 因为成本太贵了
[32:45] 算力不够
[32:45] 从这些讯息都看得出来
[32:47] 似乎从私人信贷所引发的资金流紧张
[32:51] 一路到科技巨头
[32:52] 目前都在收缩战线
[32:54] 大家已经开始进入到
[32:56] 精打细算的时代了
[32:57] 这个压力就很大了
[32:59] 台股上涨914点
[33:00] 又回到33500点了
[33:02] 波动每天都这样子
[33:03] 所以我们才讲说有点无聊
[33:04] 短期内好像就一直盘在这边
[33:07] 怎么那么多人被洗出场了
[33:08] 整体来看
[33:09] 现在的市场表面
[33:10] 当然还在谈交易战争跟谈判
[33:12] 但本质是在交易不确定性本身
[33:15] 短线我们只要看到一句话
[33:17] 一次喊话
[33:18] 股市就能够瞬间大涨或大跌
[33:20] 典型的边打边谈
[33:21] 边谈边洗
[33:22] 那这种行情本质是没有方向的
[33:24] 只是在情绪和流动之间
[33:25] 反复的震荡
[33:26] 那这张开始产生压力的
[33:28] 对于中期而言
[33:29] 我个人的看法是
[33:30] 是撑不住的现实
[33:32] 是油价
[33:33] 是农业
[33:33] 是消费
[33:34] 是选票
[33:35] 战争变成一种政治负债
[33:37] 那政策势必要出现
[33:39] 比较大的一个摇摆
[33:40] 甚至反复
[33:41] 那市场上才能够重新定价
[33:43] 川普在短期内希望达到的方向
[33:46] 那如果把时间拉得更长
[33:48] 其实现在
[33:49] 等到中东战事落幕以后
[33:51] 我们才迎来了真正挑战
[33:52] 就是金融体系内部
[33:54] 私人信贷在高利率
[33:56] 环境底下的脆弱性
[33:57] 已经开始涌现了
[33:59] 连科技巨头
[34:00] 很多在估值高档下
[34:01] 面对的成长和监管的双重压力
[34:04] 都开始被迫做一些调整
[34:06] 那这些结构性调整
[34:07] 都变成中东局势落幕以后
[34:10] 真正的挑战才要来
[34:11] AI才是能够让本轮股市
[34:14] 能否撑在高位的重要关键
[34:16] 这个时候发现
[34:17] 战争好像也没这么可怕了
[34:18] 可怕的是我们一直以来
[34:20] 都不太想面对的东西
[34:22] 私人信贷的部分
[34:23] 流动性的问题
[34:24] 开始要浮上水面了
[34:26] 我们到时候在听语会当中
[34:27] 再做更进一步的追踪
[34:29] 来看待目前到底这个行业的水有多深
[34:32] 到底当前市场的系统性风险压力有多大
[34:35] 给投资朋友作为思考
[34:36] 如果喜欢我们的节目
[34:37] 记得帮我们订阅按赞加分享
[34:38] 我们就明天早上半半
[34:39] 早晨财经速解读
[34:40] 祝各位投资朋友开盘顺利
[34:42] 早安愉快
