[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 这就代表着费半也连续第九个交易日创下历史新高了
[25:05] 中国目前的核能电厂部分
[25:07] 大概是有接近29座正在兴建
[25:12] 核能重新回到核心地位
[25:14] 整体而言
[25:15] 中国在兴建当中的核电制装置
[25:18] 大概是美国的接近1.3倍左右
[25:21] 这一轮的核能扩张
[25:22] 本质就在解决两个问题
[25:24] 因为这次中东危机以后
[25:25] 能源安全很重要
[25:26] 成本稳定也很重要
[25:28] 现在核分裂
[25:29] 也就是现有的核电技术
[25:31] 还是主力
[25:31] 大概占全球10%的发电量
[25:33] 而现在的变化在于
[25:35] 小型模组反应炉SMR被大量投资
[25:37] 那股价跌了拖拉股
[25:39] 可是呢
[25:39] 至于合融合
[25:40] 虽然资金和技术稍微有点进展
[25:43] 可是大家都在为未来五年到十年
[25:45] 来提前进行准备
[25:47] 我们甚至看到中国资料中心
[25:49] 在2026年采取了大量
[25:51] 类似于资产证券化的公司
[25:53] 来进行筹资
[25:54] 我们在过去一整年当中
[25:57] 已经超过90亿人民币
[25:59] 这一类的产品
[26:01] 它是结合债券和不动产投资信托
[26:03] 那中国市场也缺钱
[26:05] 所以大量的资料中心和物流园区
[26:08] 年化报酬率4%到8%
[26:09] 希望可以因此来筹资
[26:11] 让民间来盖资料中心
[26:13] 等于把实体的资产重新的金融化
[26:16] 学习过去的美国市场
[26:18] 事实上晶片股
[26:19] 我们看到在最近
[26:21] 不管是元捷半导体
[26:24] 还是大量的半导体个股
[26:26] 这段时间在中国市值的快速扩张
[26:29] 甚至已经陆续超越了茅台
[26:31] 这也就意味着
[26:32] 一个新的中国AI供应链
[26:34] 即将来临
[26:35] 产生一系列冲击
[26:37] 我们过去提过
[26:38] 虽然这几个月
[26:39] 大家好像对于AI
[26:40] 有一点淡然
[26:41] 觉得好像大圆模型
[26:43] 也不过是如此
[26:44] 可是在各行各业当中
[26:46] 其实大家稍微去理解
[26:47] 很多AI的前沿科技
[26:49] 仍然在突飞猛进的突破当中
[26:51] 我们讲一个个人体感
[26:53] 温度最为直接的
[26:54] 南韩新创公司Galaxy Group
[26:56] 正在尝试的去颠覆
[26:58] K-pop的培训和偶像课程
[27:00] 目前大量结合了AI角色
[27:02] 和人形机器人
[27:03] 打造无需真人限制的娱乐内容
[27:06] 创办人崔荣浩
[27:08] 现在是计划用AI
[27:09] 完成音乐影像表演的整个流程
[27:12] 你想想看我们过去看的几支MV
[27:14] 完全没有任何人工
[27:16] 或者人力的拍摄阶段
[27:18] 它就可以呈现这样的一个品质
[27:20] 对于整个电影产业
[27:21] 对于整个影视产业的冲击有多大
[27:23] 甚至中国的Netflix
[27:24] 爱奇艺压住AI重塑影视产业之后
[27:28] 预估未来五年要投入大量资金
[27:30] 以AI作为生成内容的核心
[27:33] 主要做什么呢
[27:34] 把平台从原本的传统影音网站
[27:37] 从剧本分镜到画面
[27:39] 全部由AI来完成
[27:40] 而且大量的跟中国的艺人
[27:43] 购买相关的版权
[27:44] 声音或者外貌等等
[27:47] 来进行AI系统的一个训练
[27:49] 我们过去看到什么货区病
[27:51] 中国的神话
[27:53] 你要知道
[27:53] 去年中国的迷你剧才爆红
[27:56] 当时叫做树店
[27:58] 因为以前是对标横店
[28:00] 有很多那种迷你场景
[28:02] 从银行法院到医疗病院
[28:04] 私人飞机警察局等等
[28:06] 当时还是要靠很多人工的
[28:08] 结果今年你看脸书或者看IG
[28:10] 不是一堆都是中国的AI的
[28:12] 这些短影音吗
[28:14] 还其实蛮好看的
[28:15] 因为剧本蛮吸引人的
[28:17] 去年吸引人都是什么
[28:18] 顶级豪门总裁成了我的金丝雀
[28:22] 司令宠妻我转身出府驾哨帅
[28:27] 母贫子贵后被老板全家宠上天
[28:30] 都是这一类的
[28:32] 但是今年整个AI龙井
[28:33] 他就完全创造了一个新的微短剧
[28:36] 除了《货去病》
[28:37] 《中国神话》之外
[28:38] 很多短剧的内容情节很夸张
[28:41] 而且结构非常的快
[28:42] 擅长制作俊男美女的逼真场景
[28:45] 这个很多小说直接变动画了
[28:47] 审视很多
[28:48] 品质管控没有到很好
[28:50] 可是有多国配音
[28:52] 有生书都不用真人
[28:54] 新闻主播也不用真人
[28:55] 从降板一下开始爆红以后
[28:57] 你现在
[28:58] 现在我都忘记
[28:59] 那个电影的明星的名字了
[29:01] 我都记得叫小美小帅翠花
[29:03] 所以从这件事情
[29:04] 也就意味着
[29:05] 一系列的AI冲击
[29:07] 已经陆续影响到我们民间系统
[29:09] 这给投资朋友注意思考
[29:11] 好台北股市还在涨
[29:13] 439点
[29:14] 说在37,397点
[29:16] 伊朗跟我何关
[29:19] 所以台北股市
[29:20] 这种持续爆炸性的推升
[29:22] 加上金管会的助你一臂之力
[29:25] 似乎我们已经看到了遥远的未来
[29:28] 你说用4万点5万点去估台股合理吗
[29:32] 我们前几年也不过在1万2千点了
[29:35] 才刚创高
[29:36] 现在就已经3万7了
[29:37] 接下来的AI爆发期
[29:40] 它会不会比过去的半导体龙芹
[29:42] 更让人振奋呢
[29:44] 那就说明着
[29:45] 我们不能够再用一层两层的角度
[29:47] 来看待台股
[29:48] 我们要用一倍两倍的角度
[29:50] 来看待台股
[29:51] 未来三到五年的周期
[29:52] 给投资朋友做一些思考
[29:54] 当然我们今天聊的范围比较广
[29:55] 我们从一开始的中东问题
[29:57] 到台湾市场陆续传出好消息
[30:00] 均善伦的通过
[30:01] 对于台湾新能源板块的一个供应
[30:04] 形成第一大突破
[30:05] 那第二个突破来自于美国股市
[30:07] 到底现在是右侧追高
[30:09] 还是左侧不见
[30:10] 似乎都有各自有各自的理
[30:11] 但是最好的条件
[30:13] 当然是乖离下来了
[30:15] 市场恐慌了
[30:16] 同时基期又下滑了
[30:18] 这种大周期和小周期的交替
[30:21] 我认为是最好投入的时刻
[30:23] 也许可以再等等
[30:24] 第三点是我们看到
[30:26] AI的爆发期
[30:27] 仍然持续涌入到各大产业当中
[30:30] 我们可能觉得已经习以为常
[30:32] 但是它已经改变了非常多人的生计
[30:34] 行情或者技术都是这样的
[30:36] 它都是一点一点的慢慢的改变你
[30:39] 等到你发现你被冲击到的时候
[30:41] 基本上你已经完全丧失能力了
[30:44] 所以要如何拥抱AI
[30:46] 是这个时代最大的挑战
[30:47] 好台白股市
[30:48] 以上已经上涨600点了
[30:49] 37582点
[30:51] 台股的新位阶
[30:52] 千点以内都算正常波动
[30:54] 给投资朋友多多思考
[30:56] 如果喜欢我们节目
[30:57] 记得帮我们订阅按赞加分享
[30:58] 我们就明天早上八点半
[30:59] 早晨财经速解读
[31:01] 再相见
[31:01] 祝各位投资朋友看盘顺利
[31:02] 操盘愉快
