[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 或者说心态上就有点难承受了
[26:07] 因为整个AI基础建设的本身
[26:09] 本身就是在全球最耗电
[26:11] 最为耗能源的新产业
[26:12] 所以市场呢
[26:13] 现在压力就来自于
[26:15] 你以为AI跟石油无关
[26:17] 石油爆炸了
[26:18] 你AI也别想活下去
[26:20] 那当然了
[26:20] 很多人想法是
[26:21] 对好像是这样的
[26:22] SOXL
[26:23] 三倍型的杠杆型的费办ETF
[26:26] 最近出现了一根超级大黑K棒
[26:29] 那是不是说明
[26:30] 现在整个费办的集体行情
[26:32] 已经蠢蠢欲动
[26:33] 必须要小心了呢
[26:34] 我觉得这个就自己下自己
[26:36] 我们过去已经针对整个AI的利润
[26:38] 基本上就是只要算力不过
[26:40] 它就不会泡沫化
[26:41] 那么如果由于石油缺乏
[26:43] 由于能源缺乏所导致的估值价格下跌
[26:46] 那就叫估值回调
[26:47] 它不是泡沫扑面
[26:48] 泡沫扑面一定要供给过剩
[26:50] 一定要NFT很多的时候
[26:53] NPT才会泡沫破灭
[26:54] 预金箱一定要多到满出来
[26:56] 预金箱才会泡沫破灭
[26:57] 一样AI要泡沫破灭
[26:59] 一定要算力过剩
[27:00] 但是如果是因为石油不够
[27:03] 因为能源不够
[27:04] 所以AI资料中心
[27:05] 没办法盖这么多
[27:06] 所造成的价格回调
[27:07] 那就是估值回调
[27:09] 所以有时候我们
[27:09] 不要先有立场再教解释
[27:11] 你要了解根本的核心
[27:13] 投资市场也是一样
[27:14] 当一个人满脑子都是崩盘的时候
[27:16] 他看到任何新闻都会解读成利空
[27:18] 当一个人满脑子都是AI牛市
[27:20] 他连裁员泡沫估值过高
[27:22] 他都变成长期利多
[27:24] 所以利多利空
[27:25] 同一份财报
[27:26] 同一个联准会的谈话
[27:27] 在空头里都是危机
[27:29] 但是在多头就变成了上车机会
[27:32] 还是要了解自己的原则
[27:33] 市场最危险的是先有立场再找解释
[27:37] 而并不是做一个宏观的理解
[27:39] 依据自己的原则来做操作
[27:41] 昨天我看到廖一安医师
[27:43] 分享他的案例
[27:44] 他讲说一个病人来割包皮
[27:47] 在柜台签手术同意书
[27:49] 那柜台就说
[27:51] 因为这个手术比较严谨
[27:52] 这边帮我签个名
[27:54] 再帮我用印
[27:55] 那病人说好的
[27:57] 然后一讲完就转头走了
[27:58] 那柜台说
[27:59] 先生你要去哪里
[28:00] 您还没用印
[28:01] 我去厕所用印
[28:03] 这里不方便
[28:04] 所以我们讲说市场最危险的
[28:07] 不是说资讯不足
[28:09] 资讯每天都有
[28:10] 是你已经有了立场
[28:11] 你再找你要的资讯来解释
[28:13] 那你以为你自己在分析
[28:15] 其实你只是把所有的讯号
[28:17] 都翻译成自己想要相信的版本
[28:20] 当情绪开始主导认知
[28:21] 人就会慢慢的去失去
[28:23] 自己修正错误的能力
[28:25] 最后导致你亏钱的
[28:26] 就变成了
[28:27] 那是你内心原本就想好的剧本
[28:30] 因为你根本就是不在乎宏观的资讯
[28:32] 你只在乎自己的操作
[28:34] 先生我说的用印是用手印
[28:36] 我知道我知道
[28:38] 那你赶快在这边用
[28:39] 就算是用手在这边
[28:41] 我也是会害羞
[28:42] 所以不要先有立场再找解释
[28:44] 甚至连解释都不要了
[28:46] 你就完全依循着情绪的高低
[28:48] 周期的高低
[28:49] 每天听听黄段子
[28:51] 抱着科技股不好吗
[28:52] 疫情以来这么多年了
[28:54] 有哪一次废办
[28:55] 和纳指让你失望过
[28:57] 很多人想说
[28:58] 错过就没有了
[29:00] 其实每次都有机会
[29:01] 所以每天冲来冲去
[29:03] 这个市场上的情绪
[29:06] 你随时调动起的情绪
[29:07] 唯一的好处就一个
[29:09] 就可以防失智
[29:09] 脑筋一不清楚
[29:12] 我刚才是下多单和空单
[29:14] 三天你就赔完了
[29:15] 你也不用再玩下去了
[29:16] OK了
[29:17] 我们先做一个宏观上的说理
[29:18] 台股上涨460点
[29:20] 所在44,717点
[29:22] 台积电来到2350了
[29:24] 好
[29:24] 那我们就回过头看
[29:25] 整体而言
[29:26] 美国股市
[29:27] 台北股市
[29:28] 韩国股市
[29:29] 涨到现在的位阶
[29:30] 其实你会发现的事情是
[29:32] 总体指数其实并没有到过热
[29:34] 但是呢
[29:35] 以科技为主的指数
[29:36] 像是台韩就过热了
[29:38] 但是在美股
[29:39] 标普没有过热
[29:40] 费办有点过热
[29:41] 做一些适度拉回
[29:42] 适度的回调
[29:43] 反而是相对健康的
[29:44] 那第二个角度来自于
[29:46] 我们当然知道
[29:47] 由于大量的资金
[29:48] 正在往这方面来做倾斜
[29:50] 那就必须意识到
[29:51] 它是一个突破过去
[29:53] 消费性电子循环的新基建企业
[29:55] 而这一波基建企
[29:57] 它基本上真正到达尽头的关键
[30:00] 就来自于什么时候
[30:01] 黄文勋刚才讲的
[30:02] 什么时候起重机
[30:04] 什么时候台北的建设
[30:06] 不再盖下去了
[30:07] 那差不多就是
[30:08] 接近到算力过剩的时候了
[30:10] 那回过头来说
[30:11] 这就代表着
[30:12] 有时候我们看这些企业家
[30:13] 在AI的基建体怎么做
[30:15] 远远比我们看几个财报
[30:17] 来做分析来得更为贴切
[30:18] 他只要还敢投
[30:20] 他自己都真金白银的投下去
[30:22] 去买土地建厂的话
[30:24] 那说明着市场上
[30:25] 其实还有一股的基建潮行情
[30:28] 还要持续走下去
[30:29] 所以某种程度而言
[30:31] 有时候我们会做一个新突破
[30:32] 这个新突破就是
[30:33] 我们当然知道
[30:34] 有些股票本益比
[30:36] 最近开始有点高了
[30:37] 就有来到25倍
[30:38] 有来到30倍
[30:39] 那比美欧股市
[30:40] 很多大股票本益比都高
[30:42] 30倍凭什么继续涨呢
[30:44] 那你回想过来看
[30:46] 是不是很多人的
[30:47] 2027年的订单已经满载了
[30:49] 股价通常反映
[30:51] 9个月以后到12个月的EPS
[30:53] 算正常了
[30:54] 就我们现在的前瞻本意
[30:55] 比如说预估一年以后的
[30:56] 所以股价都预估一年以后
[30:59] 那如果明年产能满呢
[31:00] 为什么我不能先反映2028年呢
[31:02] 如果明年甚至后年
[31:05] 我们都知道
[31:06] 某些产业它的订单已经满了
[31:10] 我已经知道他的EPS了
[31:12] 为什么我不能先预估
[31:13] 2029年的股价呢
[31:15] 为什么股价不能够提前反映呢
[31:17] 这个就是市场上最大的歧见
[31:19] 其实我们早就知道
[31:21] 他们的产能已经满了
[31:22] 我们大概也估出他的EPS了
[31:24] 差别就在于
[31:25] 现在股价要反映
[31:26] 2027年的产能
[31:27] 还是要反映2029年呢
[31:29] 这就是不同思维了
[31:30] 也给投资朋友多做一些参考
[31:32] 如果喜欢我们的节目
[31:32] 记得帮我们订阅按赞加分享
[31:34] 或者也可以考虑
[31:35] 参加我们下礼拜六
[31:36] 财经号角第三季的听友会
[31:38] 或者参加我们的会议系统
[31:40] 里头除了一些专题影片
[31:41] 宏观报告
[31:42] 也会有一年的听友会收听选
[31:43] 给投资朋友做一些思考
[31:44] 我们主要是帮助各位
[31:46] 把讯息做梳理一遍
[31:47] 大家在这段行情当中
[31:49] 可以搜寻
[31:50] 搜索自己所需要的资讯
[31:52] 养成自己的投资决策
[31:54] 给投资朋友做一些参考
[31:55] 如果喜欢我们节目
[31:56] 记得帮我们订阅按赞加分享
[31:57] 我们就明天早上八点半
[31:59] 早晨财经四节读再相见
[32:00] 祝各位投资朋友
[32:01] 看盘顺利
[32:02] 长盘愉快
