[00:00] 投资变化 欢迎收听早晨财经速解读
[00:03] 现在是台北时间2026年8月10号礼拜一
[25:09] 还是说最后标普开始的时候
[25:11] 最后每家企业
[25:12] 他可能都实施库藏股
[25:14] 有可能
[25:15] 所以这是压力比较大的一点
[25:17] 我们举例来说
[25:18] 像巴菲特在过去一段时间
[25:20] 他相对于本轮的AI行情
[25:24] 初期还是比较保守的
[25:25] 可是当AI逐步成为财富效果以后
[25:28] 加上EPS的常年增高
[25:30] 然后科技巨头又在高位盘旋了一阵子
[25:33] 我们看最近巴菲特旗下的波克夏开始出手了
[25:38] 我们不能把它推给巴菲特
[25:39] 应该把它推给新任的执行长阿贝尔
[25:43] 比较适合
[25:43] 因为巴菲特是囤了接近有三年的现金
[25:46] 上一次他卖股票以后
[25:49] 基本上就没怎么做回补
[25:51] 所以现金水位一直在升高
[25:52] 他是在22年三季度到四季度
[25:54] 当时把台积电卖掉
[25:56] 然后就真的就一直在卖股票
[25:57] 他不是针对台积电
[25:58] 他是针对所有股票
[26:00] 结果阿贝尔在巴菲特囤了三年现金以后一个季度它就已经砸了200亿美元这个是过去三年来最大的进买股进入其中我们看到他买了100亿美元的Google普通股股票
[26:14] 还花了45亿美元回购自家股票
[26:17] 那你要知道
[26:18] 那很长一段时间
[26:19] 波克夏连自家股票都不愿意做回购了
[26:22] 你看第一季回购自家金额还不到3亿
[26:25] 第二季直接增加到45亿
[26:27] 以前巴菲特的说法都是
[26:29] 其他人的股票那么贵
[26:32] 我就愿意购买这家股票
[26:34] 后来过了一阵子
[26:35] 他说不行
[26:36] 我觉得我这家股票也很贵
[26:38] 我这家股票也不持有了
[26:40] 我就只买短债就好
[26:42] 专门领配息
[26:43] 所以他的现金水位
[26:44] 或者类短债部位
[26:45] 就不断的升高
[26:46] 结果阿贝尔今年
[26:48] 才正式接替波克夏
[26:49] 现在动作是非常非常的积极
[26:52] 又买了Google
[26:53] 然后又收购了
[26:54] 美国的住宅建商
[26:55] 这个就是波克夏
[26:57] 近年比较少见的大型交易
[26:58] 阿贝尔在去年股东会就表示
[27:01] 只要机会合适
[27:02] 他会果断的进行重大投资
[27:04] 所以不贵下会不会
[27:06] 他的投资哲学已经慢慢开始改变了
[27:08] 至少那一笔长期闲置的巨额资金
[27:11] 开始真正投入到市场
[27:13] 你说没有啊
[27:13] 股市跌了会买
[27:14] 六月份股市哪有跌
[27:16] 这是二季度的表现
[27:17] 所以可以肯定的是
[27:19] 三季度他肯定买更多
[27:21] 那为什么这一次大幅度的买入Google呢
[27:23] 从本一笔回调
[27:24] 我们也看得出来
[27:25] 我们早就已经跟投资朋友讲过
[27:27] Google在上一次跌回到年限的时候
[27:30] 本益比就已经下滑到16倍了
[27:32] 这个水位是比今年的美伊战士
[27:35] 比去年的关税战略来的低
[27:37] 它的水位从本益比角度来说
[27:40] 接近于新冠疫情
[27:42] 至少往好处想
[27:43] 我们以前买的点汇都比股神来的低
[27:45] 现在它都追在2026年的二季度
[27:49] 所以大家买的都比巴菲特便宜
[27:52] 这是好事
[27:53] 但这件事情也就说明了
[27:54] 投资哲学的重大改变
[27:56] 似乎在AIEPS追上的过程当中
[28:00] 波克夏尔的操作逻辑
[28:01] 价值投资者的思维
[28:02] 也开始转变了
[28:03] 你说那以前担心的巴菲特指标呢
[28:06] 我们讲过嘛
[28:07] 巴菲特指标是股票市场的总市
[28:09] 是处于GDP
[28:10] 可是最大的一个旗舰
[28:12] 你像现在已经高了
[28:13] 接近有两个标准差
[28:14] 其实估值还是很高
[28:16] 最大旗舰其实就来自于
[28:17] 那现在市场的集中幅度
[28:20] 因为资金高度在集中在美股
[28:22] 我也买美股
[28:23] 韩国人也买美股
[28:24] 日本人也买美股
[28:26] 那么股市增长的速度
[28:28] 当然会比美国本土GDP成长的速度来得快
[28:31] 尤其美国的AI巨头
[28:32] 他又不是只赚美国企业的钱
[28:35] 美国本土的钱
[28:36] 他也赚韩国人日本的钱
[28:37] 所以股市市值超过美国的GDP涨幅
[28:40] 本来就是很正常的
[28:42] 所以第一个是巴菲特
[28:43] 波克夏操作思维的转变
[28:45] 第二个是Michael Burry
[28:47] Michael Burry这一次不只是嘴上看空
[28:49] 他真的是真金白银去下跌
[28:51] AI和半导体股的空头
[28:54] 他在SOXX下了642块的美元
[28:58] 赴金建立空头部位
[28:59] 7月半导体重挫以后
[29:02] 他都说他没有获利了
[29:03] 也会继续看底
[29:04] 然后他也曾经建立过
[29:06] 辉达 硬财
[29:07] Parentier各股的空单
[29:09] 目前持续看空
[29:11] 当然从他的角度来看
[29:13] 他的思维也是很清晰
[29:15] 他始终认为
[29:17] 现在行情不断的纠错过程当中
[29:21] 你会发现资金链
[29:22] 完全投入到AI
[29:24] 那如果AI没有具体的生产力提升
[29:26] 那这些所有晶片股
[29:28] 所造成的获利上涨
[29:29] 它最终可能你赚到的钱是真的
[29:32] 可是股价上涨之后是虚的
[29:34] 它的策略很简单
[29:35] 一旦到时候的波动率反转
[29:38] 现在由于大量的资金
[29:39] 都是由动能交易所主导
[29:41] 一旦波动反转
[29:42] 资金都不用形成崩盘
[29:44] 同时间很有可能会类似出现
[29:46] 1987年的投资组合保险
[29:49] 集体卖出的回馈
[29:50] 换句话说
[29:51] 他赌现在的动能交易
[29:53] 随时一次性的下杀
[29:55] 都会形成人踩人
[29:57] 所以即便不崩盘
[29:58] 他也可以赚得盆满钵满
[30:00] 这是他的态度
[30:01] 从7月份的下修也看得出来
[30:03] 他在这场态度当中
[30:05] 也算是获利了一些
[30:06] 虽然后来标普又创高了
[30:08] 但是其实这两者
[30:09] 他们都有自己
[30:10] 比较坚持原则的初心和看法
[30:14] 真正我们看到本轮
[30:16] 最大挑战的并不是单纯看多
[30:18] 或者看空的人
[30:19] 真正的是看对趋势
[30:21] 但死在波动的人
[30:22] 我们才讲说
[30:23] 前OpenAI的研究员
[30:24] 20多岁的阿森布伦纳
[30:26] 你看他作为避险基金
[30:28] 人家说叫做新股神
[30:31] 他管理的避险基金
[30:32] 我们讲上礼拜
[30:33] 因为人工智慧股的股票暴跌
[30:35] 加上持股高度集中在大量的杠杆
[30:38] 逼近爆仓边缘
[30:40] 就在基金忙着处理危机之际
[30:43] 礼拜六
[30:43] 照常举办婚礼
[30:45] 为什么
[30:46] 因为危机过后
[30:47] 矽谷投资人没有逃跑
[30:49] 反而排队给他更多钱
[30:51] 本来他都觉得完蛋了
[30:52] 死定了
[30:53] 因为杠杆爆掉了
[30:54] 结果基金虽然现在是暂停的接受新资金
[30:58] 但红三资本一系列的矽谷大佬都开始力挺
[31:02] 这也反映出现在华尔街不太一样的文化
[31:04] 华尔街都逃了
[31:06] 看到的就是高度杠杆
[31:08] 高度拥挤资金都在撤资
[31:09] 矽谷反而支持他
[31:11] 因为他觉得只是中途被市场揍一拳的年轻天才
[31:15] 结果基金已经解除杠杆了
[31:18] 这一场爆仓为假
[31:19] 居然结束了
[31:20] 礼拜六还结婚了
[31:21] 很开心
[31:22] 所以工作跟生活的平衡
[31:24] 保持相当重要
[31:25] 可是不是所有人
[31:26] 都可以看对趋势
[31:27] 但是没死在波动
[31:28] 大多数人都死在波动了
[31:30] 所以我们才讲说
[31:31] 阿生布伦
[31:34] 他跟韩国散户
[31:35] 两个看起来是完全不同的故事
[31:37] 一边是矽谷天才基金
[31:39] 一个是追逐行情的散户
[31:42] 但背后一个特点
[31:43] 就是一个人真正相信什么
[31:45] 你不只要听他怎么说
[31:46] 还要看他长期重复做什么
[31:48] 嘴巴上
[31:49] 你可以强调自己很重视风险
[31:51] 相信长期投资
[31:53] 但如果遇到行情
[31:54] 选择高度集中增加杠杆
[31:56] 追逐最热门的标的
[31:57] 这些反复出现的行为
[31:59] 才是你投资嘴角的话
[32:00] 那挑战就很大了
[32:02] 所以有时候
[32:03] 不管是巴菲特
[32:04] 布克夏的投资初衷
[32:05] Michael Burry的投资初衷
[32:07] 或者阿森布伦纳的投资初衷
[32:10] 韩国股市散户的投资初衷
[32:12] 你不要只看他说什么
[32:14] 你要看他具体在做什么
[32:16] 能不能熬到最后
[32:17] 最近才看到一个故事
[32:19] 讲说猎人上山打熊
[32:22] 结果枪法太差
[32:23] 被熊抓到
[32:24] 熊就说你有两个选择
[32:27] 死或者伺候我
[32:30] 猎人为了活命
[32:31] 就忍辱答应伺候这只熊
[32:35] 第二天他又带枪上山报仇
[32:37] 结果又被抓
[32:37] 又被迫做同样的事情
[32:39] 到第三天
[32:40] 猎人就准备得更充足
[32:42] 再次上山
[32:43] 这只枪都还没有拿出来
[32:44] 就被熊抓到了
[32:45] 那熊就看着他
[32:46] 忍不住问
[32:47] 你老实说
[32:49] 你到底是来打猎的
[32:51] 还是来找我的
[32:52] 所以一个人真正想要什么
[32:55] 你不要听他怎么说
[32:57] 你要看他长期重复做什么
[32:59] 不克下长期重复的作为
[33:01] 已经让我们有一个心理的原则
[33:03] 可是在今年
[33:04] 似乎产生了重大转捩
[33:06] 那Michael Berry
[33:06] 你不要只听他怎么说
[33:08] 他真的选择在这个时间点去放空
[33:11] 他也符合他的投资原则
[33:13] 那一样
[33:13] 不同人
[33:14] 不同的股神
[33:15] 阿森布伦
[33:16] 他所经历危机之后
[33:18] 还仍然得到投资人的力挺
[33:20] 是什么原因
[33:21] 他真的很相信
[33:22] 他也许过程当中
[33:24] 开了很大的杠杆
[33:24] 但是不是华尔街
[33:26] 矽谷愿意给他新一轮的机会
[33:29] 他现在能够全身而退
[33:30] 还可以娶的太太
[33:31] 多开心
[33:32] 六月份的婚礼看起来很开心
[33:33] 礼拜六的婚礼很开心
[33:35] 久而久之
[33:36] 人不是从结果中学习
[33:38] 而是不断的寻找理由
[33:40] 来合理化原本的行为
[33:42] 你要了解
[33:43] 你当时所说
[33:44] 你要投资的原则
[33:45] 现在还能套用得上
[33:46] 9.05分
[33:47] 台北股市上涨507点
[33:49] 收在44773点
[33:52] 我们今天主要跟投资朋友
[33:53] 稍微梳理一方面
[33:54] 是在整个通膨预期
[33:56] 持续增温的情况底下
[33:57] 在中东战局
[33:59] 在川普所掀起新一轮的关税战
[34:02] 以及现在在非农就业数据的软化当中
[34:05] 能否互相冲销
[34:06] 至少保持不升息的决定
[34:09] 看看有没有机会
[34:11] 就业数据市场持续软化下去
[34:13] 联准会可能要被迫放隔
[34:14] 那第二大方面
[34:15] 是各大投资人
[34:17] 在本轮的行情波动当中
[34:19] 其实看空看多
[34:21] 都有他背后的理由
[34:22] 重点是
[34:23] 你能不能把自己的原则
[34:24] 套用在自己实质的操作策略上
[34:27] 要不然嘴巴讲一套
[34:29] 动作又是另外一套
[34:30] 那有时候反而能够
[34:32] 创造更高的获利
[34:34] 变成一个遥不可及的梦了
[34:36] 这给投资朋友
[34:37] 多做一些思维和观察了
[34:38] 那如果喜欢我们节目
[34:39] 记得帮我们订阅按赞加分享
[34:41] 我们就明天早上八点半
[34:42] 早晨财经缩解图再相见
[34:44] 祝各位投资朋友看完顺利
[34:45] 操盘愉快
