[00:00] 投资本欢迎收听早晨财经速解读
[26:19] 简单来讲就是这一波
[26:20] 借由融资加持押
[26:22] 然后又去买杠杆型ETF的散户
[26:25] 何时开始趋于平静
[26:27] 成交量下滑
[26:28] 也不一定要重叠
[26:29] 成交量下滑
[26:30] 市场开始沉寂
[26:31] 也许就是能够重新整理的关键
[26:34] 毕竟现在各大市场
[26:36] 开始蓬勃交易发展以后
[26:38] 都引得市场上有进一步的乐观情绪
[26:40] 散户的情绪是推高的
[26:42] 可是从资金流向来看的话
[26:44] 机构针对那些大型全职股
[26:46] 反而是比较保守的
[26:47] 我们举例来说
[26:48] 现在五大的云端业者
[26:50] 整体资本支出
[26:52] 今年是接近7000亿美元
[26:54] 现在GPU除了当作贷款的抵押品之外
[26:58] 市场也开始逐步建立
[27:00] 以GPU租赁价格
[27:02] 作为基础的指数期货型商品
[27:05] 这个企业就是过去把它当成
[27:08] 有点类似避险云游
[27:09] 利率或者汇率一项
[27:11] 就是先提前去锁定未来的算力成本
[27:14] 那你现在像是智商所
[27:15] 或者纽约的证件交易所
[27:18] 某公司ICE
[27:19] 都正在与新创公司合作
[27:21] 准备要推出首批全球的GPU算力期货市场
[27:26] 那以后就是追踪
[27:27] 挥打可能H100或者H200
[27:29] 高阶AI晶片的租赁价格
[27:31] 建立标准化的交易基础
[27:34] 那就代表着市场上对赌的工具
[27:36] 其实也越来越多了
[27:37] 那回过头来看
[27:39] 本轮算力只要还是稀缺的
[27:41] 基本就还可以导致于
[27:43] 泡沫不会立即破灭
[27:45] 可是市场的价格
[27:46] 至少半信半疑当中
[27:48] 会让本轮的牛市来得更加稳健
[27:50] 也没办法期待每个月的行情
[27:52] 像过去两个月一样
[27:53] 所以本来我们想说
[27:54] 每个月涨1万点
[27:55] 年底12万点
[27:56] 我们要打个八折
[27:58] 先目标8万点就好
[28:00] 不要过度乐观
[28:01] 看一下市场上
[28:02] 已经重新回到理性的框架
[28:04] 从巨头层面来看
[28:06] 股价的下跌
[28:06] 已经透露出一些方向了
[28:08] 但是你说会不会泡沫破灭
[28:10] 我相信是不会的
[28:11] 原因来自于因为算力是稀缺的
[28:14] 只要市场供给还是稀缺的
[28:16] 就不会形成泡沫破灭
[28:18] 预金箱泡沫破灭
[28:19] 一定要有足够的预金箱
[28:21] 预金箱一定要太多才会泡沫破灭
[28:24] 现在Google在上礼拜还传出
[28:26] 限制Meta使用Gemini的模型
[28:28] 不是因为双方竞争
[28:30] 是因为Meta所需要的算力
[28:32] 已经远远超过Google能够提供的资源
[28:36] 那感觉好像捐本来最近比较不好使用
[28:39] 那诈骗集团AS使用的最凶了
[28:42] 所以只要诈骗集团还在用
[28:44] AS算力永远都不够了
[28:46] 这也形成进一步的涨价潮往下延伸
[28:48] 事实上如果我们细节观察
[28:50] 目前苹果在进行进一步涨价幅度以后
[28:54] Mac涨价幅度大概是15到20%
[28:56] iPad是15到25%
[28:59] 入门款的MacBook Air价格一次调高200块
[29:03] Pro的部分是上涨了接近300美元
[29:06] 那这种持续性的上涨
[29:08] 基本就说明着
[29:09] 那很明显算力
[29:10] 或者说当前的AI资料中心的需求
[29:14] 完全没有缓解
[29:15] 对于终端价格的产品
[29:17] 拉动幅度来得越来越大
[29:18] 甚至我们看到
[29:19] 这一次根据金融时报的报道
[29:21] 苹果正在积极的游说川普政府
[29:23] 希望能够获准
[29:25] 获得中国记忆体大厂
[29:27] 长期存储
[29:28] 购买低润晶片
[29:29] 以降低近期记忆体价格
[29:31] 飙升所带来的成本
[29:33] 其实长期也没有便宜很多
[29:35] 低润可能5%到10%左右
[29:38] 可是这也就意味着
[29:39] 未来全球的大缺货
[29:42] 仍然在持续成立
[29:43] 如果连终端产品都还在缺
[29:45] 更不用讲
[29:46] AI资料中心到底有多缺了
[29:48] 那就为本轮
[29:49] 非泡沫破灭奠定的基础
[29:52] 只是估值回调
[29:53] 其实我们看到
[29:54] 中国最大的
[29:55] Net快闪记忆体
[29:57] 长期存储
[29:58] 目前
[29:58] 应该讲长江存储
[30:00] 目前市占率扩大也很快
[30:02] Counterpoint的预估
[30:04] 现在营收市占率
[30:06] 大概从去年一季度的8%
[30:09] 现在已经上行到13%
[30:11] 等于直逼全球前四强
[30:13] 当然离三星离SK海力士
[30:16] 还有一段距离
[30:16] 可是已经差不多接近
[30:18] 美光或者Sendis等级了
[30:20] 这说明着
[30:21] 现在这种市场记忆体的供给
[30:25] 持续吃紧底下
[30:26] 中国厂商也很快地
[30:28] 迎来快速扩张的机会
[30:30] 当然这是低润的部分
[30:32] 你说HBM
[30:33] 那未来能不能追上
[30:34] 那有技术门槛的问题
[30:35] 可是至少全球的涨价潮
[30:37] 只要它还在发生
[30:39] 说明供给本身是稀缺的
[30:41] 但是当然它会打破一个利润
[30:43] 就是过去由生产力
[30:45] 所引发的通缩逻辑
[30:46] 短期内看起来很难结束了
[30:48] 看起来是AI
[30:49] 塑造了更进一步的通膨
[30:51] 本来想说AI
[30:53] 可以创造更多生产力
[30:54] 那等同于通缩
[30:55] 用同样的产品
[30:56] 你可能只要用一半的成本
[30:57] 但现在看起来
[30:59] 这一波科技通膨时间线
[31:01] 会拉得相当长
[31:02] 那它对于市场
[31:03] 肯定会造成部分的利率沉压
[31:06] 这个是压力稍微比较大的部分
[31:07] 那因为时间因素
[31:09] 我们稍微聊这边就好了
[31:10] 来看看
[31:11] 未来有什么样的机会
[31:13] 能够解决当前的问题呢
[31:15] 其实从刚才长江存储
[31:17] 长兴存储的事件
[31:19] 已经看得出来
[31:19] 也许中国市场
[31:21] 它是可以扮演这样的一个角色的
[31:23] 我们最后做一张来做总结好了
[31:24] 基本上就是从大圆模型
[31:27] 和机器人的AI生产过程当中
[31:29] 也许是未来重新把通膨压回去的重要关键
[31:33] 现在看起来AI资料中心的支出
[31:35] 是停不下来了
[31:36] 在2030年以前
[31:37] 但是如果大语言模型
[31:39] 能够把每个Token的成本尽可能的压低
[31:43] 那也许就能够让市场上
[31:46] 在不用大幅度扩张资本支出的情况底下
[31:49] 能够有稳定的算力成长
[31:52] 或者说就是等同于另类的生产力提升
[31:54] 你像DeepSick到目前为止
[31:56] 仍然是最具破坏力的低价竞争者
[31:59] 在整体中国大元模型的API定价
[32:01] 你像V4的部分
[32:03] DeepSick的V4输入成本
[32:05] 每百万Token是一元人民币
[32:07] 美国的成本大概都至少要10块到20块
[32:11] 字节跳动旗下的豆包也维持极低定价
[32:15] 稍微比较贵一点的
[32:17] 像智普或者Kimi或者阿里巴巴的千文
[32:19] 它的确比较高阶
[32:21] 大概可能要接近8到10块人民币
[32:24] 但还是比整个美国市场
[32:26] 还来得便宜
[32:26] 那有没有可能
[32:27] 藉由AI技术
[32:28] 快速的普及化
[32:30] 让全球有进一步的
[32:32] 通膨降温作用呢
[32:33] 这是我一想到
[32:35] 能够解决当前
[32:36] 科技通膨的方式
[32:37] 要不然
[32:37] 这么缺货
[32:38] 都在盖资料中心
[32:40] 到底有什么办法
[32:41] 让接下来的报价下跌呢
[32:44] 几乎想不到
[32:45] 只有一个方式
[32:46] 科技进步
[32:47] 或者软体的编码能力
[32:49] 看能不能做更进一步的突破
[32:51] 在每消耗同一套电力
[32:54] 每消耗一块钱的资本支出
[32:55] 能不能创造更大的产出
[32:57] 它本身也是一种
[32:59] 抑制通膨的方式
[33:00] 那我们今天聊的范围比较广
[33:01] 从一开始
[33:02] 石油通膨的问题
[33:03] 其实虽然大家新闻还在聊
[33:06] 但它已经来到了尾声
[33:07] 而科技通膨成为了市场主流
[33:09] 但在科技通膨上升的过程当中
[33:11] 花钱的人越来越遭受到市场的质疑
[33:14] 股价层面已经透露出答案
[33:16] 可是如果你是科技乐观论者
[33:18] 他们一定得成功
[33:19] 不然卖产值的企业
[33:21] 迟早也得泡沫破灭
[33:23] 我们已经在这条船上
[33:24] 你只能硬着头皮走下去
[33:26] 看看有没有万要紧钻石的空间
[33:28] 台股上涨466点
[33:30] 收在45,038点
[33:32] 要从公园回家了
[33:34] 本周刚好
[33:35] 今天好像放晴了
[33:37] 地板还是实时的
[33:38] 还是要做好准备
[33:40] 先把帐篷背在背包上
[33:42] 好不好
[33:43] 给投资朋友做一些思考
[33:44] 如果喜欢我们节目
[33:45] 就帮我们订阅按赞加分享
[33:46] 我们就明天早上半一半
[33:47] 找成财经数据图再相见
[33:49] 祝各位投资朋友看完顺利
[33:50] 操盘快
