[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 记忆体资产价格的承压它是真的
[25:37] 和参与权力的保障
[25:38] 两者真的是有那种贫富落差
[25:42] 资本主义对于民主的伤害吗
[25:44] 也不会
[25:45] 我最近才看了一本书
[25:46] 讲的是美国财政史
[25:48] 它里面就讲汉密尔顿
[25:50] 汉密尔顿就开F1
[25:52] 不是
[25:52] 是美国第一任的财政部长
[25:55] 他是美国金融制度的奠基者
[25:57] 他对于民主政治一直很冒犯
[25:59] 他觉得多数人
[26:00] 美国刚开国的时候
[26:02] 多数人都容易受到
[26:04] 情绪或者短期利益的影响
[26:06] 所以投票权
[26:07] 不能够交给那些教育程度很低的
[26:09] 不懂通膨的
[26:11] 不懂金融制度的那些人至少要给那些有一点财产的人所以一开始美国的确你必须要有足够的财产权你才能够投资投入那你如果是黑人女人
[26:22] 甚至是低收入户
[26:23] 你都无法获得选票
[26:25] 所以一般美国的农民
[26:26] 他是一开始是无法投票的
[26:28] 可是独立战争结束之后
[26:30] 很多农民债务很沉重
[26:31] 就爆发了武装冲突
[26:33] 要求政府减轻债务压力
[26:35] 而且给予我投票权
[26:37] 后来我们才看到
[26:39] 杰弗逊他才决定
[26:41] 采取让一定资产的男性公民
[26:43] 能够参与政治
[26:44] 许多没有土地和财富的人
[26:46] 也陆续开始开放
[26:48] 开放的目的是什么
[26:50] 不是什么民粹化
[26:51] 做一些交换利益而已
[26:53] 重点是
[26:54] 当时汉明尔顿的担忧
[26:57] 后来并没有呈现
[26:58] 大家都很担心
[26:58] 票给这些人
[27:00] 资本主义就瓦解
[27:01] 因为汉明尔顿认为
[27:02] 你已经签约了贷款
[27:03] 就一定要缴
[27:03] 他把票给这些人之后
[27:05] 发现底层群众
[27:07] 开始买股票
[27:08] 开始买土地
[27:10] 从事生产
[27:11] 取得贷款
[27:12] 参与经济发展
[27:14] 他越来越重视美国的经济了
[27:16] 结果证明
[27:17] 民主和资本主义
[27:19] 并不会只有彼此对立
[27:21] 当一个人拥有更多的投票权
[27:23] 也能够取得资本
[27:24] 参与市场的时候
[27:25] 他不会摧毁这份制度
[27:27] 他会对于经济成长
[27:29] 形成重要力量
[27:30] 那为什么讲这个
[27:31] 就是
[27:31] 你说不民主的贫富差距扩大
[27:34] 那我给你钱去买
[27:36] 新清安
[27:37] 你去买房
[27:38] 我让你上车
[27:39] 我补贴你
[27:40] 你说台积电造成贫富不均
[27:42] 那我是国民儿童账户
[27:44] 你去买股票
[27:45] 去买ETF
[27:46] 你说老板是黑心的
[27:48] 那我大幅放宽台湾的企业成立门槛
[27:51] 创立大量的中小型企业老板
[27:54] 你去当老板
[27:55] 这就是台韩政府现在正在做的事情
[27:58] 把你跟我们的经济体绑在一块
[28:01] 所以当然补贴也是一块了
[28:03] 调涨基本性质也是一块了
[28:05] 那更重要的是什么
[28:06] 把你纳入到整条经济体系当中
[28:09] 让台湾的每增长一步
[28:11] 每后退一步
[28:12] 你都有起感的感觉
[28:13] 这样子大家就密不可分了
[28:15] 对这没什么梗
[28:17] 我们也是有点文化的
[28:18] 好那不管怎么说了
[28:19] 现在行情走到这个地步
[28:21] 代表的事情是
[28:22] 这个是投资狂潮的真正缘由
[28:24] 因为台湾和南韩政府
[28:25] 都在做同样的事情
[28:27] 好那回过头来看
[28:28] 这种投资狂潮
[28:29] 它有没有副作用呢
[28:30] 当然有
[28:31] 我们知道南韩股市
[28:32] 这一阵子估值
[28:33] 做一个比较大幅度的修正
[28:35] 而事实上
[28:36] 在最近外资针对韩国股市的卖潮
[28:39] 已经正式来到1000亿美元以上
[28:42] 散户反而买超了600亿美元
[28:44] 你从红色线就看得出来
[28:45] 外资针对韩国股市的调节
[28:47] 幅度到底有多大
[28:49] 与此同时我们看到的
[28:50] 杠杆型ETF
[28:52] 所造成的市场清洗
[28:53] 仍然在持续当中
[28:54] 事实上如果我们观察
[28:56] 在最新韩国
[28:57] 因为5月份当时是开放
[28:59] 最终三星和海力士的两倍杠杆
[29:02] 挂牌以后
[29:02] 现在价格的持续波动放大
[29:05] 在过去7天
[29:07] 因为保证金不足
[29:08] 而遭受到强制平仓的金额
[29:10] 已经高达4258亿韩元
[29:12] 有46万名散户杠杆账户爆仓被断头
[29:16] 为了避免杠杆交易
[29:18] 引发更大的金融和社会问题
[29:20] 韩国政府在本周紧急宣布
[29:21] 10月份会建立全球统一债务咨询专线
[29:26] 提供债务协商
[29:27] 个人更生
[29:28] 破产
[29:29] 或者一战式的服务
[29:31] 债务重整专线
[29:33] 而且为什么是10月
[29:35] 你稍微想一下
[29:36] 那该不会他的意思是跌到十月
[29:38] 尸体都烂了
[29:40] 但是呢
[29:41] 不管怎么说啦
[29:42] 我们看得出来
[29:43] 韩国市场
[29:44] 南韩政府大概也不知道
[29:45] 要如何收拾这个烂摊子
[29:46] 那时候急着把你拉入到整条体系
[29:48] 好了
[29:49] 大家都享受到AI的生产力啦
[29:50] 估值的波动的放大
[29:52] 就把你一次给搞死了
[29:54] 所以我们也了解说
[29:55] 开放的过程当中
[29:56] 把民众纳入到本条的资本循环当中
[29:59] 也必须要注重一些副作用
[30:01] 你像是这档
[30:02] 做多韩国ETF的Kurum
[30:05] 在韩国大涨期间
[30:06] 一路飙涨到1200美元
[30:08] 就短短几周
[30:09] 回档七成
[30:10] 你买大盘买三倍
[30:13] 短短一个月跌七成
[30:15] 你过得去吗
[30:16] 我们再看台湾市场也是如此
[30:18] 前阵子是国巨2600万的巨额违约交割
[30:22] 到昨天是和生堂
[30:24] 台药双双爆发违约交割
[30:26] 7月已经有四档翻车了
[30:28] 现在违约交割的金额
[30:29] 在6月份已经突破20亿新台币
[30:32] 这个是由统计以来的历史新高
[30:34] 7月份看起来就算台股没有中底
[30:37] 波动性的加大
[30:38] 也让很多人被洗出去了
[30:40] 我不愿让你一个人
[30:44] 我们一起违约交隔
[30:46] 人家行情波动到这个地步
[30:48] 你会发现
[30:49] 那股市即便没有进入到熊市
[30:52] 也一堆人被市场的波动给洗出去了
[30:55] 这件事情的压力其实是很大的
[30:57] 所以最后它形成的效果
[30:59] 那就变成市场的新兴
[31:01] 能够待在市场上的投资人
[31:02] 国家是很有意愿把你拉进来
[31:04] 这条体系的
[31:05] 但你要有自己的心性
[31:06] 和投资的哲学
[31:07] 所以台北股市
[31:08] 现在是持续炒股
[31:10] 买ETF
[31:10] 死报
[31:11] 不要被洗掉
[31:12] 南韩市场
[31:13] 最近开始流行佛教
[31:15] 重新吸引Z世代
[31:16] 今年亮相的机器人和尚
[31:18] 叫Gabi
[31:18] 叫做去冥想
[31:20] 闭嘴
[31:21] 周边相关产品
[31:22] 陆续爆红
[31:23] 现在南韩
[31:24] 很多年轻人都在拜佛
[31:25] 做冥想
[31:27] 为什么
[31:27] 因为高压
[31:28] 股票又赔很多
[31:29] 又很痛苦
[31:30] 追求内心的平静
[31:32] 南韩现在也很流行
[31:33] 这种正念
[31:34] 我们也知道南韩有AI和尚机器人
[31:38] 冥想派对已经成为了新潮流
[31:40] 美国的部分Z世代
[31:42] 现在有反AI浪潮了
[31:43] 不要Gemini
[31:44] 不要GBT
[31:45] 不要Gorg
[31:46] 最新叫做Summer of Lord活动
[31:48] 象征对于大型科技公司
[31:50] 和AI的反抗
[31:51] 不管如何说
[31:53] 说明的事情是
[31:54] 虽然经济的确是越来越好
[31:56] 资本创高的速度越来越快
[31:58] 可是大家的压力
[31:59] 心理情绪是越来越大
[32:01] 前两天我才看到那个
[32:03] 交大是不是一个教授
[32:05] 涉嫌杀害殷卿
[32:07] 那个教授看起来也很年轻
[32:10] 当然不是股市
[32:11] 台股也没跌多少
[32:12] 但是这个社会波动加大的时候
[32:14] 情绪也容易放大
[32:16] 我讲这个是因为
[32:17] 我没有关注这条新闻
[32:18] 但昨天有很多人一直标注我
[32:20] 他们说长得很像
[32:21] 我看了一下是有点像
[32:23] 但是跟寿司师傅还是有点差距
[32:26] 他也很年轻的一个教授
[32:28] 所以我们讲的物质生活是不断进步的
[32:30] 但精神是很不稳定的
[32:32] 我看到那个大学教授
[32:34] 第一个直觉
[32:34] 那研究生应该会很痛苦
[32:37] 以后研究生要胜选指导教授
[32:40] 因为meeting在会课室
[32:42] 教授我回归跑出来的
[32:44] 但是怪怪的
[32:45] 那你进来我跟你说
[32:47] 我是蛮有感的
[32:49] 大家知道那足科
[32:51] 清教校
[32:51] 你不要讲老师
[32:52] 学生互动
[32:53] 我都觉得比较特殊
[32:54] 男生比较多
[32:56] 因为我大学就在隔壁
[32:58] 我已经觉得
[32:59] 清大女生很少了
[33:00] 想不到交大更少
[33:02] 更多宅宅
[33:03] 少了女孩子
[33:04] 那环境又恶劣一点了
[33:06] 那交大自然是有点差了
[33:07] 我至少有三只雨伞
[33:09] 在那个二餐的小七门口
[33:11] 被干走过
[33:12] 那你放在清大小四部都没事
[33:15] 那交大不知道为什么
[33:16] 那边雨伞很容易被干走
[33:18] 去年有个新闻
[33:19] 不是讲那个二餐的茶叶蛋
[33:22] 两个月被偷了400多颗
[33:24] 那怎么会有人去偷茶叶蛋呢
[33:26] 所以这件事情真的是
[33:28] 以后面试官问说
[33:30] 怎么严弊
[33:31] 老师在监狱
[33:34] 让我想到之前很离谱的理由
[33:38] 中港电因为新冠三月是气爆
[33:41] 后来员工就到别家公司去面试
[33:44] 你为什么离职
[33:45] 公司爆炸了
[33:49] 906分
[33:49] 台股下跌430点
[33:51] 收在45210点
[33:53] 我们今天主要跟投资品稳稍微梳理
[33:55] PPI数据
[33:56] 由于市场预期以后
[33:58] 市场上针对整个利率预期的估值
[34:00] 还有在实体经济的表现
[34:02] 它都足以持续支撑
[34:04] 现在的AI荣景
[34:05] 可是不代表市场上
[34:07] 会给它无限的想想空间
[34:08] 我们对于这些巨头们
[34:10] 第一要求把钱花在刀口上
[34:13] 如何推出更廉价的AI算力
[34:15] 这是未来观察的重点
[34:16] 另外一方面
[34:17] 往物理AI
[34:19] 不管是音箱
[34:20] 眼镜
[34:21] 耳机
[34:22] 来做投送
[34:23] 这些都是巨头们
[34:24] 正在尝试扩大营收来源的
[34:26] 那台湾韩国市场
[34:28] 无疑都赚到了本轮的AI商机
[34:30] 可是呢
[34:31] 我们也知道
[34:32] 内部的贫富差距落差
[34:33] 就会急速的恶化
[34:35] 那政府是想着怎么做呢
[34:36] 当然不是做全面补贴
[34:38] 去抑制住目前的经济发展
[34:40] 一方面适度补贴
[34:42] 另外一方面
[34:42] 那我带着你加入本场资本游戏
[34:45] 当你加入以后
[34:46] 你就跟我们在同一条船上了
[34:48] 而在这样的过程当中
[34:50] 心性的放大
[34:51] 杠杆的加成
[34:52] 压力也就会越来越大
[34:53] 这给投资朋友多做一些思考
[34:55] 如果喜欢我们的节目
[34:55] 记得帮我们订阅按赞加分享
[34:57] 我们在明天早上半半
[34:58] 早晨财经缩解图
[34:59] 再相见
[34:59] 祝各位投资朋友
[35:00] 看完顺利
[35:01] 参谋愉快
