[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 在過去一週美國股市雖然波動沒有特別大
[26:09] 很明顯的
[26:10] 軟鐵股的崩盤已經開始
[26:12] 美股
[26:13] 我們看到財報級
[26:14] 現在接近尾聲了
[26:15] 其實本季財報也不算差
[26:16] 市場從賺多少錢
[26:18] 轉成會不會被AI打掉
[26:20] 那如果試一看
[26:21] 很多風險比較高的
[26:22] 像早期的軟體
[26:23] 媒體
[26:24] 人力派遣
[26:25] 一直到現在的金融服務
[26:27] 專業服務
[26:28] 和物流公司
[26:29] 很多家的投行
[26:30] 所整理的AI高風險股票
[26:33] 現在一年跌幅
[26:34] 都是四成到五成
[26:36] 而且放空的部位
[26:37] 還在明顯上升
[26:38] 我們現在從七巨頭看
[26:40] 好像還勉強支撐
[26:41] 在一個盤整區間
[26:42] 可是如果把它拿來
[26:44] IGV
[26:45] 也就是軟體股的ETF
[26:47] 拿來跟納斯達克100的QQQ
[26:49] 你會發現過去幾年都是同步上行
[26:52] 長期高度聯動
[26:53] 現在QQQ還在高漲震盪
[26:56] IGV已經提前率先轉弱
[26:59] 而且逼近了關鍵之爭區
[27:00] 現在已經跌到去年關稅戰的水準了
[27:03] 歷史經驗顯示
[27:04] 這種長期高度相關的資產
[27:07] 通常出現裂痕
[27:08] 也不會無聲無息的結束
[27:10] 那要麼就是IGV現在補漲
[27:12] 或者說止跌差不多了
[27:14] 要麼就QQQ被迫要回擋
[27:16] 還是說接下來的軟體股
[27:19] 跟美國的大型科技巨頭
[27:21] 已經出現了風格的結構轉向
[27:24] 也就是AI
[27:24] 讓巨頭們贏者全拿
[27:27] 但是中小型的軟體商
[27:28] 全部會因此而倒光
[27:30] 另外一個
[27:31] 現在波濤洶湧的
[27:33] 就是加密貨幣資產了
[27:35] 在本輪股票市場當中
[27:37] 看起來跟軟鐵股的IGV
[27:39] 聯動程度最高的就是BTC
[27:41] 比特幣
[27:42] 比特幣從高點重挫
[27:44] 市值也蒸發了數兆美元
[27:46] 雖然跌幅並不是歷史最慘
[27:48] 但這一次的市場氣氛特別怪
[27:50] 原因之一就是來自於對比效應
[27:52] 過去幣圈下跌的時候
[27:54] 科技股風險資產
[27:55] 往往也會同步的重挫
[27:57] 投資讓還有大家一起跌的心靈安慰
[27:59] 可是這一波是主流股市接近高位
[28:02] 只有加密貨幣資產明顯走弱
[28:04] 另外一個關鍵就是槓桿過高
[28:06] 跟連環的清算
[28:08] 先前用比特幣來做抵押的借貸規模暴增
[28:12] 價格一轉向就會觸發大量的強勢平倉
[28:15] 加上部分的高度槓桿化
[28:17] 專門囤幣的公司
[28:18] 現在股價暴跌
[28:19] 所以進一步放大了賣壓
[28:20] 現在更難消化的
[28:22] 我個人感覺
[28:23] 感覺是那個敘事氛圍
[28:25] 就是以前那個比特幣
[28:26] 是有它的新鮮感
[28:28] 和繁體制的形象
[28:29] 那你現在已經消退了嗎
[28:31] 因為連川普政治人物
[28:33] 都認為我們應該擴大比特幣
[28:36] 比特幣就少了那種
[28:38] 我們講的叛逆的光環
[28:40] 但是它又沒有真正被大型機構
[28:42] 全面納入到核心配置
[28:44] 多數專業經理人
[28:45] 現在也不願意增持加密貨幣
[28:47] 所以在各國面對不缺金的時候
[28:49] 加持的是什麼
[28:50] 是黃金
[28:51] 還並不是比特幣
[28:53] 代表數位資產過去
[28:55] 撐過了很多輪的熊市
[28:57] 沒錯
[28:57] 跌六成跌七成
[28:59] 但這一輪就特別冷
[29:00] 為什麼呢
[29:01] 因為這個冷
[29:02] 並不是大家一起死
[29:03] 是隻有我死
[29:05] 但是大家股市都還在高位
[29:07] 所以我們講說不做資產配置
[29:09] 單押資產其實還是蠻恐怖的
[29:11] 投資跟投機還是有所區別的
[29:13] 這年頭其實多數的資產都是大牛市
[29:16] 可是破產和大賠的人
[29:18] 居然還是這麼多
[29:20] 更不用講跑出給大盤的
[29:22] 我們剛才講到治安問題
[29:24] 那遊民的問題全世界都有
[29:26] 但源頭不一定是毒
[29:28] 反而因為流落街頭
[29:29] 讓他沾毒可能性更高
[29:32] 就是過去我們講的
[29:34] 讓人家散盡家產的黃賭毒
[29:38] 投資裡頭
[29:39] 通常投資是最容易破產的
[29:41] 你很少看到那個富二代買個跑車
[29:43] 買包包
[29:44] 然後散盡家產的
[29:46] 通常都是投資
[29:47] 賭是最容易讓人家破產的
[29:50] 也是很多人不是輸在第一把
[29:52] 想翻身
[29:53] 所以想翻本
[29:54] 你欠債
[29:55] 然後信任崩壞
[29:56] 那賭也是
[29:57] 賭的破壞是很直接的
[29:59] 它在資產的影響當中是慢性的
[30:01] 結構性的破壞
[30:02] 失去工作能力
[30:04] 失去判斷能力
[30:05] 失去長期規劃能力
[30:06] 所以這樣回過頭說
[30:08] 黃賭賭反而黃罪不嚴重
[30:10] 你花點錢
[30:11] 當然也是不好
[30:13] 可是很少聽到有人因為黃破產的
[30:16] 好像我們平時也是潔身之愛
[30:18] 投資一定分散風險
[30:20] 絕對不賭錢
[30:22] 更是不會碰毒
[30:23] 黃賭毒三樣
[30:26] 我們是堅決不賭不賭
[30:29] 我黃某與賭毒不共戴天
[30:31] 也可以投資朋友作為一些思考
[30:33] 好2.01分
[30:35] 我們後續要觀察的幾大條件
[30:36] 主要就是看
[30:37] 美股股市在這一波的盤整期
[30:40] 如何影響到臺股
[30:41] 臺股看起來
[30:42] 勢如破竹
[30:43] 收貸33,860點
[30:45] 又大漲了298點
[30:47] 貴買指數上漲了1.7%
[30:49] 新春開紅盤
[30:51] 臺積電ADR的效應
[30:52] 獨其的反映在臺股身上
[30:54] 那我們今天主要是跟投資朋友觀察
[30:57] 現在在關稅戰的陰霾底下
[30:59] 從各國的角度
[31:00] 以及從法理的角度
[31:02] 以及川普的意願
[31:03] 基本上都導致的
[31:05] 政策方向是不會停的
[31:06] 但是必須經過
[31:08] 適度的修改和調整
[31:09] 那後續會影響的
[31:11] 當然就是在這些細則的調整當中
[31:13] 東南亞各國他們面臨的處境
[31:16] 還有美中的關稅談判
[31:18] 即將在4月份重新登場
[31:20] 給投資朋友做一些觀察
[31:21] 另外一方面
[31:22] 美股股市看起來過去兩週
[31:24] 也沒什麼太大波動
[31:25] 但其實暗潮洶湧
[31:26] 很多小型股
[31:28] 看起來無法在本輪的AI浪潮當中活下去
[31:31] 那是否代表著
[31:32] 大型股就能夠一路向上呢
[31:35] 所以後續我們再來跟投資朋友觀察
[31:37] 在AI的時代底下
[31:38] 在過年期間
[31:39] 這些AI巨頭都有哪些突破
[31:41] 那中國是不是又拉近了一步呢
[31:44] 給投資朋友做一些思考
[31:45] 也祝大家馬年行大運
[31:47] 我們就明天持續跟投資朋友
[31:49] 早晨財經速解讀
[31:51] 如果喜歡我們節目
[31:52] 就幫我們訂閱按贊加分享
[31:53] 我們就明天早上半點半
[31:54] 早晨財經速解讀再相見
[31:56] 祝各位投資朋友開盤順利
[31:57] 超盤愉快
