[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 有一點偏弱
[25:53] 刷6966點
[25:54] 納指上漲222點
[25:56] 0.95%
[25:57] 刷23702點
[25:58] 費辦上漲211點
[26:00] 2.84%
[26:01] 刷7647點
[26:03] 禮拜五主要還是由英特爾股價大漲10%
[26:05] 因為陳立武跟川普會面
[26:07] 正式在美國設計製造漢封裝的最新晶片
[26:11] 已經正式推出
[26:13] 所以這一波的半導體的迴流潮
[26:15] 還是有非常明顯的變化
[26:17] 當然從股價層面來看
[26:19] 這個指數漲幅過快
[26:21] 就變成個股投資者極大的挑戰
[26:24] 所以也是認為有賺就好了
[26:27] 這本來市場上
[26:29] 其實很多時候
[26:30] 你買股票的時候你不緊張
[26:33] 你賣掉了反而會有各種反應
[26:36] 我們聽友會就有提到這一點
[26:37] 有時候買股票
[26:39] 你稍微賠了一點都沒那麼緊張
[26:42] 但是那種一賣掉或者賣飛了
[26:45] 各種懊惱程度還比較大
[26:47] 所以第一
[26:48] 大家過去一年還不一定賺錢
[26:51] 就算賺錢
[26:51] 也不是大家都投資大盤
[26:53] 也不一定都能夠跑得贏指數
[26:55] 所以投資自己跟自己比就好了
[26:57] 那有一句話怎麼講的
[26:59] 英雄不問出處
[27:00] 少富不問歲數
[27:03] 投資不問權益數
[27:05] 所以大家心裡有補就好
[27:07] 整個指數的報酬
[27:08] 的確是非常非常亮麗的
[27:10] 那當然我們往下看
[27:11] 剛才看的是內政
[27:13] 接下來看一下外交領域
[27:14] 川普現在預估在本週
[27:16] 就會進行委內瑞拉制裁的鬆綁
[27:19] 來為接下來的油業投資來進行鋪路
[27:21] 華府最快這一次鬆綁以後
[27:24] 馬上就要請美國的油氣廠
[27:27] 到委內瑞拉來進行設廠
[27:29] 那現在遇到的一個最大問題
[27:31] 其實就是這一次美國CEO
[27:33] 已經進入到高度警戒
[27:35] 從美國企業高層來看
[27:37] 這一次不管是過去我們提到的雷神
[27:41] 還是我們看到在黑石集團
[27:43] 或者雪佛龍
[27:44] 艾克森美孚等等
[27:45] 這一次到白宮
[27:46] 川普是宣稱說
[27:49] 要用他們的資本來投資委內瑞拉
[27:51] 可是場面一度是非常尷尬
[27:53] 尷尬到川普還跑去
[27:54] 看他的新的宴會廳
[27:56] 企業高層的普遍共識是
[27:58] 不一定要完全配合川普
[28:00] 但是首要任務是要避免
[28:02] 成為下一個被公開點名的物件
[28:04] 雪佛龍想說
[28:05] 你先點艾克森美孚
[28:07] 你先叫他去投
[28:08] 那X美國想說你先去點雪佛龍嗎
[28:11] 因為美國現在針對委內瑞拉的政局
[28:14] 雖然有軍事上的支援
[28:15] 可是委內瑞拉到底安不安全
[28:17] 會不會有新一輪的政治變數
[28:19] 如果下一任總統是民主黨旗
[28:22] 那我在那邊建的廠
[28:23] 搞不好等到下一任總統剛上任的時候
[28:26] 才剛建完
[28:26] 那會不會形成極大的風險
[28:28] 所以市場上就是儘量避免被川普點到名
[28:32] 但是川普的態度已經很明顯了
[28:35] 俗話說
[28:36] 食物放酒會長黴菌
[28:38] 石油放酒會長黴菌
[28:40] 所以我都已經採取軍事力量了
[28:43] 人家都要讓利益了
[28:44] 居然你們沒有一家企業要投
[28:46] 我無法接受
[28:47] 所以我們本週要觀察的幾項訊息就是
[28:49] 川普會點名誰呢
[28:51] 這是後續觀察的重點
[28:52] 那另外一方面大家更為關注的
[28:54] 是屬於格林蘭的問題
[28:56] 其實剛才有提到
[28:57] 那委內瑞拉之後
[28:58] 大家其實最挫的
[29:00] 目前還不是格林蘭
[29:02] 因為中間還隔著一個加拿大
[29:04] 現在比較挫的是誰呢
[29:05] 是墨西哥
[29:06] 墨西哥我們看到
[29:07] 川普在1月8號的專訪當中
[29:09] 其實已經提到了
[29:10] 很快美國會針對墨西哥境內的販毒集團
[29:13] 採取軍事打擊動作
[29:15] 他已經指出
[29:16] 美方已經切斷97%的海上毒品走失
[29:19] 所以接下來的重心就是陸路
[29:22] 如何藉由陸地進入到美國市場
[29:24] 川普直言
[29:25] 販毒集團現在已經實際上掌握了墨西哥
[29:28] 情況令人難過
[29:29] 所以美國將不得不自行採取行動
[29:33] 那他的透露是
[29:34] 他已經跟墨西哥總統
[29:35] 辛巴姆通話很多次了
[29:37] 但是他認為
[29:38] 對方的態度還是很保守
[29:40] 心生畏懼
[29:41] 所以美國決定要幫墨西哥一把
[29:44] 所以這也說明著
[29:45] 如果未來我們接下來看到
[29:47] 墨西哥出現美軍
[29:49] 其實也不用太意外
[29:50] 之前看那個怒火邊界
[29:51] 那美軍就常常到墨西哥
[29:53] 這給投資朋友做的觀察
[29:55] 那另外一方向
[29:56] 其實也透露出
[29:57] 這美軍
[29:58] 其實也並不是需要實質出動
[30:01] 實質軍事力量
[30:02] 靠金錢也可以買通一切
[30:04] 我們看最近
[30:05] 大家不是有觀察到新聞嗎
[30:06] 社群媒體
[30:07] 白宮派人還轉發
[30:09] 講說委內瑞拉總統馬杜洛的
[30:11] 維安人員受訪影片
[30:12] 描述說美軍突襲基地的時候
[30:15] 那時候美軍發射了某種不明物體
[30:18] 應該講不明的武器
[30:21] 一瞬間
[30:22] 所有所謂的腦袋都快要爆炸
[30:24] 所有人都開始流鼻血
[30:25] 這個就是那種降維打擊
[30:28] 不知道什麼新武器
[30:29] 然後頭腦爆炸
[30:30] 跟金牌特務演的一模一樣
[30:32] 那個時候金牌特務裡面不是有一幕
[30:34] 是那個梅林觸發了
[30:36] 那個VIP同夥脖子裡面的晶片
[30:38] 然後他們的腦袋就跟著音樂的旋律
[30:40] 變成了碎片
[30:41] 當然沒有這麼離譜啦
[30:42] 不過李維特都轉發了這項新聞
[30:45] 那搞得美軍好像真的
[30:46] 有某種秘密武器
[30:47] 你要知道這一次古巴的安全體系
[30:50] 基本上完全在委內瑞拉周邊進行防禦
[30:54] 所以很多人在想說
[30:55] 有沒有可能是委內瑞拉人
[30:57] 把古巴人給殺了
[30:58] 然後把馬杜洛運送到美國
[31:00] 也有可能是這樣子
[31:01] 但不管怎麼說
[31:02] 這個資訊戰科技戰降維打擊恐懼戰
[31:05] 都導致市場的氛圍持續性的緊張
[31:08] 那最後一個就是格林蘭的問題
[31:10] 現在我們看到格林蘭問題
[31:12] 雖然市場上還在持續聚焦
[31:14] 不過川普的格林蘭新政
[31:16] 最近已經丟擲
[31:17] 每人最高10萬美元的收購計劃
[31:20] 那總共花起來也不到100億美元
[31:22] 國會預算辦公室認為
[31:24] 關稅應該就能夠負擔一半左右的政府
[31:29] 這就代表著
[31:30] 如果關稅繼續克徵
[31:31] 川普的格陵蘭的新政就有譜了
[31:34] 所以丹麥人現在唯一
[31:35] 要避免被入侵的方法
[31:37] 只有把格陵蘭島改名為愛波士坦島
[31:41] 這樣子川普可能就沒有太大興趣了
[31:44] 降低被入侵的機率
[31:45] 市場上的確比較關注的是
[31:47] 北約現在一個結構性的現實
[31:49] 在人數上
[31:50] 美軍幾乎就是北約的中樞
[31:53] 美國現役兵力是130萬人
[31:55] 單一國家大概就佔了
[31:57] 總體比例有接近二分之一
[31:59] 其他北約成員國加起來
[32:00] 雖然193萬人
[32:01] 不過高度分散在30個國家當中
[32:04] 所以北約國打北約國
[32:06] 北約的防禦體系
[32:08] 本身就已經全面失效
[32:09] 這也給投資朋友做些參考
[32:11] 我們今天聊的範圍比較廣
[32:12] 還有很多事件聊不完
[32:14] 主要是跟投資朋友稍微梳理一下
[32:16] 整個川普政府在2026年的中期選舉
[32:19] 從過去一週所採取的政策
[32:22] 其實看得出來早就已經正式開打了
[32:25] 各種內政政策的持續的脫穎而出
[32:28] 其實都意味著川普在民調上
[32:30] 的確是相對緊張的
[32:31] 但是在資本市場上
[32:33] 看起來2026年
[32:35] 真的對川普來講有那麼重要嗎
[32:36] 那股市創高對於民調支援
[32:38] 其實也沒有什麼太大幫助
[32:40] 那本週我們會關注的幾大方向
[32:42] 第一個就是巨頭們陸續要公佈財報
[32:45] 尤其是金融股開始首發
[32:47] 第二就是美國在12月份的CPI通膨資料
[32:50] 再來就是中國本週即將公佈的
[32:54] 極為強勁的貿易賬的資料
[32:56] 我們知道臺灣針對美國的出口
[32:58] 順差已經陸續創高了
[32:59] 那中國的部分呢
[33:01] 其實你盤點一下
[33:02] 現在全球的震盪範圍
[33:04] 烏俄戰爭還在打
[33:05] 委內瑞拉的政權更迭
[33:07] 伊朗革命
[33:08] 以哈還在戰爭
[33:10] 敘利亞在內戰
[33:11] 緬甸還在革命
[33:13] 太監邊境也還在戰爭
[33:15] 可是呢
[33:16] 全球VIC指數卻低到不得了
[33:18] 足以說明著
[33:19] 大家其實被嚇大了
[33:21] 2025年的事件過以後
[33:23] 大家根本就不太擔心
[33:24] 大家更為關注的
[33:26] 只有AI好不好
[33:27] 所以明天我們就沿著AI
[33:28] 繼續的聊下去
[33:29] 臺灣加拿大指數上漲343點
[33:32] 收購30632點
[33:33] 我們今天主要跟投資朋友稍微梳理一下
[33:35] 整個宏觀政策上的演變
[33:37] 以及川普當前政策的變化
[33:39] 給投資朋友做一些參考
[33:40] 如果喜歡我們的節目
[33:41] 記得幫我們訂閱按贊加分享
[33:42] 我們就明天早上8點半
[33:44] 早晨財經速解讀
[33:45] 再相見
[33:45] 祝各位投資朋友開盤順利
[33:47] 超盤愉快
