[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 看起来脸书Meta财报并没有符市场预期的
[24:44] 还是使用
[24:45] 去GPT
[24:46] 使用GPT
[24:46] 去生成图的人变多
[24:48] 这真的很难去理解
[24:49] 到底是一个
[24:50] 增量的全世界市场的放大
[24:53] 还是
[24:53] 也许有了AI以后
[24:55] 我就不需要做简报了
[24:56] 那我干嘛打开PowerPoint呢
[24:57] 这是蛮尴尬的
[24:58] 微软也比较尴尬
[24:59] Meta起码
[25:00] 搞出自己的模型
[25:02] 微软现在既没有模型
[25:03] 还要跟OpenAI做合作
[25:05] 那这种合作方式
[25:07] 当然会让市场上的
[25:08] 整体估值
[25:08] 表现不太一样
[25:09] 不过呢
[25:10] 虽然Meta也提出自己模型
[25:12] 过去的开源
[25:13] 妈妈也有一定的成效
[25:14] 但这一次资本支出太多了
[25:16] 股价重跌在盘后
[25:18] 这个阿祖又是你
[25:20] 受伤的又是你
[25:22] 阿祖赶快收手吧
[25:23] 外面全是警察
[25:25] 我们回过头看
[25:27] Meta这次投的钱真的不少
[25:30] 如果细节观察
[25:31] 从原本预估是今年1250亿
[25:34] 直接拉升到1450亿
[25:36] 你能不能发现
[25:37] 好像每一次Meta股价下跌都是他提出更进一步的资本支出计划之前的元宇宙好像也是他不投还好他一投股价就跌了你不如什么都不要做你乖乖赚钱所以我们看
[25:48] Meta现在在过去一段时间
[25:50] 在祖克普的带领底下
[25:51] 对于AI的投入幅度
[25:52] 完全没有任何减少的迹象
[25:54] 整体而言
[25:56] 其实对AI基础建设的投资
[25:57] 目前仍然是以翻倍速度持续上行
[26:01] 简单来讲
[26:02] 现在很多企业或者很多投资公司
[26:05] 要求这些科技巨头
[26:07] 好像已经不只是故事了
[26:09] 就是你好像投太多
[26:10] 也没有太大帮助
[26:11] 大家要的是现金流
[26:13] 就是好你继续投没问题
[26:14] 你继续投
[26:15] 那你钱哪里来的
[26:16] 你是像Google一样
[26:17] 广告搜寻引擎
[26:19] 云端收入的暴增而来吗
[26:20] 还是你一直在吃过去的老本呢
[26:23] 你是靠财源而来的
[26:24] 你现金流够吗
[26:25] 我们举例来说
[26:26] 你像Meta的部分
[26:27] 过去三年
[26:29] 它的自由现金流
[26:30] 大概在400到500亿美元左右
[26:32] 资本支出
[26:32] 它却从270亿到370亿
[26:36] 到1400亿
[26:37] 所以现在他的自由现金流
[26:39] 转负跟甲骨文情况差不多了
[26:41] 所以Meta也是不成功变成人
[26:45] 自由现金流都已经严重下行了
[26:48] 这种情况
[26:48] AI如果无法为他带动庞大的获利
[26:51] 那么压力就会很大了
[26:53] 再看一下Amazon
[26:54] Amazon不算表现还不错
[26:56] AWS是撑起了部分估值
[26:58] 我们知道Amazon最近的Web Service
[27:00] 年增幅28%
[27:01] 这是创三年最快
[27:03] 也直接印证了
[27:04] AI现在是企业端
[27:06] 正在增金白银烧的需求
[27:07] 广告业务营收
[27:09] 它成长了有24%
[27:10] 现在整体毛利率还保持在高位
[27:12] 资本支出单季442亿
[27:15] 全年应该是所有公司最多的
[27:17] 2000亿元
[27:19] 那自由现金流当然也有压力了
[27:20] 你看亚马逊自由现金流
[27:22] 快要跟Meta一样
[27:23] 快要转富了
[27:24] 年减幅95%
[27:26] 这到底是好事还是坏事呢
[27:28] 过去这些科技巨头
[27:30] 有了钱就来回购自家股票
[27:32] 结果技巧性的
[27:33] 抬升股价形成泡沫
[27:35] 现在他们不买这家股票
[27:36] 不技巧性的抬升这家股票了
[27:39] 可是都去投AI了
[27:40] 那这到底是一个更大的泡沫
[27:42] 还是一个更为显著的生产力提升
[27:45] 其实你会发现
[27:46] 走到现在
[27:47] 不管是Alphabet
[27:48] Microsoft
[27:49] Amazon
[27:50] Meta
[27:50] 都在同一条赛道上狂奔
[27:52] 但真正谁能够把AI的投资
[27:54] 转化成长期稳定的现金流
[27:56] 目前还没有答案
[27:57] 每一家都有优势
[27:58] 也有结构性的风险
[28:00] 有的强在云端
[28:00] 有的是模型
[28:01] 有的是广告
[28:02] 有的是社交媒体
[28:03] 但同时都在承担资本支出失控
[28:06] 还有回收其不确定性的压力
[28:08] 所以我个人认为
[28:09] 这个时候单押个股
[28:11] 你就是在赌谁会赢
[28:13] 但产业本身还在洗牌
[28:15] 与其去承担选错边的风险
[28:18] 更合理的策略
[28:19] 买ETF
[28:20] 参与整体AI的趋势
[28:22] 把不确定性给分散掉
[28:24] 报酬没这么亮丽
[28:25] 但是你一定可以掌握
[28:27] 未来5年到10年的AI行情
[28:29] 我反而认为多点布局
[28:31] 分散风险
[28:32] 是这一轮行情当中
[28:33] 最稳定的做法
[28:34] 所以到现在我还都说不准
[28:36] 到底哪一支个股
[28:37] 会完全的脱颖而出
[28:39] 那有时候
[28:39] 你就在这些个股当中
[28:42] 形成一个套组合去参与
[28:43] 我觉得是最佳的选择
[28:45] 那之前不是看一个陆剧
[28:47] 什么一对夫妻
[28:48] 高中就恋爱了
[28:50] 老婆有一天
[28:51] 心血来潮问老公
[28:53] 高中的时候你暗恋我多久
[28:55] 才给我写情书
[28:56] 那老公说
[28:57] 当时想要找个女朋友
[28:59] 就每个班上
[29:01] 每位女同学都写了一封情书
[29:03] 结果只有你回信
[29:04] 所以你可以了解
[29:06] 用这样的方式
[29:07] 女生也一样
[29:08] 量变引起质变
[29:09] 你跟一个男的聊天
[29:10] 你可能会栽在他的手里
[29:12] 可是你看一群男的聊天
[29:14] 机会就掌握在你手里
[29:16] 股市投资也是如此
[29:17] 用更合理的策略
[29:19] 是用ETF
[29:20] 是参与整体的AI行情
[29:21] 把不确定性给分散掉
[29:23] 终究会有股票
[29:25] 带领你的资产创高的
[29:26] 它到底是Google
[29:27] 还是Amazon
[29:29] 还是微软
[29:29] 还是Meta
[29:30] 还是不在榜上呢
[29:31] 这就不好说
[29:32] 可是你知道他还会创高
[29:34] 所以最后我们回过头来看
[29:36] 台股在这次资本支出的拉伸底下
[29:39] 几乎是全数获利
[29:41] 台股上涨速度
[29:42] 其实这几年也是越来越快
[29:43] 我们看当年花了34年才站上万点
[29:47] 到2024年突破2万点
[29:48] 只花不到两年
[29:50] 到今年3万冲到4万
[29:52] 只用了短短三个多月
[29:53] 同样的涨幅
[29:55] 这个创造的点位越来越多
[29:57] 所以当然就越来越快
[29:58] 4万到5万
[30:00] 看起来距离恐怕又要缩短了
[30:02] 但你可以观察到
[30:03] 以前想要跟上大盘
[30:05] 现在大家想要超越大盘
[30:08] 主动型ETF在这段时间就顺势的推出
[30:11] 资产价格行情好
[30:12] 以前我们讲过
[30:13] 那都是受险
[30:15] 或者我们讲说投信业去抢银行的钱
[30:18] 抢受险的钱
[30:19] 然后后来抢高股息
[30:20] 抢钱抢两条高股息
[30:22] 以前是用这种心态去抢
[30:24] 现在不一样
[30:25] 主动型也在抢高股息
[30:27] 主动型也在抢权值型
[30:28] 行情好
[30:29] 大家都想要赚得更多
[30:30] 从原本之前要领个配息
[30:32] 到后来跟上大盘就好
[30:34] 现在不行
[30:35] 我要超越大盘
[30:36] 所以我们讲说
[30:37] 这个台股的第四大法轮散户梯队
[30:40] 目前已经大量在场内当中
[30:43] 这叫做什么
[30:44] 伏击灭阳
[30:45] 神机护体
[30:47] 俗称台股义和团
[30:49] 你知道现在也有歧视链的
[30:50] 现在变成主动型在歧视全职型的
[30:53] 全职型的在歧视高股息
[30:54] 高股息嘲笑债券型
[30:56] 债券的嘲笑买保单的
[30:58] 行情就是这样子一路下去
[30:59] 好9点02分
[31:01] 我们今天主要跟投资朋友稍微梳理
[31:02] 市场在联准会主席鲍尔的退位以后
[31:06] 新任联准会主席
[31:08] 或许对于整体市场的概况
[31:10] 还有新一轮通膨的挑战
[31:12] 那通膨还在烧
[31:13] 可是AI的资本支出却停不下来
[31:16] 那几乎也助长了
[31:17] 当前针对AI股市场重心的火热吗
[31:23] 要讲火热吗
[31:24] 还是想对峙呢
[31:25] 就是一边是通膨的压力
[31:27] 就缓缓带动
[31:28] 你总觉得它有一股不安
[31:29] 快要创新高了
[31:30] 油价
[31:31] 可是一方面
[31:32] AI的资本支出
[31:32] 全部都在调高
[31:33] 台积电订单一直进来
[31:35] 订单一直进来
[31:36] 可是油价越涨越多
[31:38] 难道投资人的想法是
[31:39] 只要我台积电的股价
[31:41] 涨赢油价
[31:42] 就算我胜利吗
[31:43] 很难说
[31:43] 可是回过头来看
[31:45] 鲍尔这一任任期
[31:46] 的确
[31:47] 从17年川普亲自提名他
[31:50] 被视为市场最温和
[31:52] 延续体系的技术官僚
[31:53] 上任之后
[31:54] 很快地遇到压力的测试
[31:56] 从美中贸易战开始
[31:58] 然后他在升息
[31:59] 降息之间的反复调整
[32:00] 到2019年偏向宽松
[32:02] 在2020年海量货币宽松
[32:05] 然后迎来高强度的通膨
[32:07] 最后再暴力升息的
[32:09] 把通膨给压回来
[32:10] 好不容易压回来了
[32:11] 结果川普也回来了
[32:12] 川普多次的公开施压降息
[32:15] 联总会主席鲍威的压力越来越大
[32:17] 甚至川普前阵子
[32:18] 还直接跑到联总会的
[32:20] 整修现场视察
[32:21] 当场之一工程和预算问题
[32:23] 鲍威在当场也很尴尬
[32:25] 但是至少我们看到
[32:27] 鲍尔终于要卸下联总会主席的职务
[32:30] 继续担任联总会的理事
[32:32] 意味着他不再需要承担最高决策者的政治压力
[32:35] 反而有更多的空间
[32:37] 直接表达对于利率
[32:38] 对于通膨
[32:39] 对于金融稳定的真实判断
[32:41] 在历经这么多年的政治转折和外部干预之后
[32:44] 至少现在他可以好好说出
[32:47] 他对于政策的真实看法了
[32:50] 所以那就请鲍尔先生勇敢的说出你的立场
[32:54] 来看法吧
[32:54] 现在是3.1
[32:56] 我没有发现
[32:57] 刚刚发现
[32:58] 我没有听到任何人说
[33:02] 刚刚发现
[33:04] 我认为是3.1
[33:09] 3.1 3.2
[33:11] 刚刚发现
[33:12] 是的
[33:13] 我不知道谁发现
[33:15] 你滚你的选择
[33:19] 你滚你的0DTE电话
[33:23] fuck the economy
[33:25] fuck inflation
[33:26] fuck your soft landing
[33:27] I am sick of this shit
[33:29] fuck Wall Street
[33:30] fuck you all
[33:32] I'm fucking out
[33:33] but keep this in the back of your mind
[33:35] fuck your puts
[33:37] fuck your calls
[33:39] Jerome Powell has you by the balls
[33:41] and lastly
[33:42] God bless my money printer
[33:53] by bwd6
