[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 不過呢雖然股市是有點賣壓
[25:58] 我們選擇以科技和生產力迴圈站在一起
[26:00] 我們願意承擔波動
[26:02] 壓住AI帶來的效率和紅利
[26:04] 可是同時間用ETF來分散持股
[26:06] 避免把命運綁在單一明星個股上
[26:10] 這個時候它就不是一個極端保守的慢行
[26:13] 或者追求狂暴的爆發力
[26:16] 它基本上就是取得平衡
[26:18] 就好像以前我們講說
[26:20] Discovery裡面有演
[26:21] 那個馬和驢和螺各有天賦
[26:24] 馬能夠充斥
[26:26] 它對於草料對於氣候相對就比較敏感
[26:29] 驢很耐操
[26:30] 但是它跑不快
[26:32] 螺是最均衡的
[26:34] 但它生不出小孩
[26:36] 投資也是一樣
[26:37] 你高成長
[26:38] 你高波動
[26:39] 高穩定
[26:40] 本質上也是相互的牽制
[26:42] 所以人生就像是選馬選驢選螺
[26:46] 選馬速度快
[26:47] 力量大
[26:48] 你能夠有長距離奔跑和負重
[26:50] 但是就是不能夠耐勞
[26:52] 驢很小耐勞
[26:54] 但是跑不快
[26:55] 羅剛才提到
[26:57] 公驢和母馬雜交而成
[26:59] 擁有驚人的耐力
[27:01] 好不容易結合而成
[27:02] 但是又生不出小孩
[27:03] 像我們週期投資
[27:05] 就是屬於那種效能力比較強
[27:07] 不是
[27:07] 就是屬於那種
[27:08] 放棄馬的爆發力和速度
[27:11] 也不要驢的過度穩健和耐久
[27:14] 我們選擇就是科技股
[27:15] 我們勇敢一點
[27:16] 對賭生產力迴圈
[27:17] 但是用ETF的方式來分散風險
[27:19] 跟著AI往前衝
[27:21] 但是不要被單一一隻AI股給往下帶
[27:24] 放棄一點效能力
[27:27] 換來馬和驢的平衡
[27:28] 其實很多事情都是這樣子
[27:30] 我們講說不可能的三角
[27:31] 人永遠要取得平衡
[27:33] 男人不可能的三角
[27:35] 你長得帥會賺錢
[27:37] 通常不專一
[27:38] 長得帥很專一
[27:40] 通常不賺錢
[27:42] 會賺錢很專一
[27:43] 通常長得不帥
[27:44] 女人不可能的三角
[27:46] 長得美高智商
[27:48] 性格通常不好
[27:49] 長得美
[27:51] 性格好
[27:52] 那智商通常不高
[27:53] 高智商
[27:54] 好性格
[27:55] 通常長得不美
[27:56] 工作不可能的三角
[27:58] 錢多
[27:59] 市少
[28:00] 通常離家遠
[28:01] 錢多
[28:02] 離家近
[28:03] 那通常市很多
[28:04] 市少
[28:05] 離家近
[28:06] 那錢通常不多
[28:07] 投資不可能的三角
[28:08] 網路上講的
[28:09] 流動性好
[28:11] 收益率也高
[28:12] 通常就不安全
[28:13] 流動性好
[28:15] 又很安全
[28:15] 通常收益率就不是特別高
[28:18] 那受益率又很好
[28:19] 安全性又很好
[28:20] 那通常就沒什麼流動性嘛
[28:22] 所以你到底要馬還是驢還是羅
[28:24] 各有長短
[28:26] 又長又粗肯定不硬
[28:28] 又長又硬肯定不粗
[28:30] 又粗又硬肯定不長
[28:33] 我是說法棍啊
[28:35] 但人生就是這樣子
[28:36] 你不可能什麼都要嘛
[28:37] 男生娶不漂亮的
[28:39] 覺得自己沒面子
[28:40] 想娶漂亮的又沒有實力
[28:42] 娶一般人又不甘心
[28:44] 沒結婚又覺得空虛
[28:46] 女生嫁給窮人沒面子
[28:50] 嫁給有錢人
[28:51] 對不對
[28:52] 那可能又沒實力
[28:53] 嫁給平輩不甘心
[28:55] 不嫁又沒得比
[28:57] 所以我們後續要觀察
[28:59] 你本來就是在本輪的AI浪潮當中
[29:01] 選擇自己最有利的位置
[29:03] 那不一定要跟我們一樣
[29:04] 可是要了解
[29:05] 這個就是AI時代所產生的代價
[29:07] 不管是工作
[29:09] 不管是投資
[29:10] 還是整個財富的分層
[29:11] 它就是一個新的時代
[29:13] 你只能順應這個時代
[29:14] 選擇對自己最有利的策略
[29:16] 我們今天聊的範圍稍微比較廣
[29:18] 主要是跟投資朋友分享
[29:20] 我們在當前面臨AI的股的回撥和挑戰當中
[29:25] 面臨的AI股修正
[29:26] 它不是一個單純的概念
[29:28] 本質上是市場上用更嚴苛的方式
[29:31] 去重新審視三件事
[29:33] 第一 軟體股現在被質疑的
[29:35] 不是說短期的訂單能不能到來
[29:38] 而是那個護城河
[29:40] 會不會被AI代理人
[29:41] 或者低成本的模型慢慢的掏空
[29:44] 你只要有可能被貼上
[29:45] 那個被取代的標籤
[29:46] 管你是什麼型別的軟體股
[29:48] 資金先撤退了
[29:50] 第二呢
[29:51] 是巨頭
[29:52] 現在也不是單純避風港
[29:53] AI的軍備競賽
[29:55] 它的CAPEX
[29:56] 已經推到
[29:57] 可能會通光現金流的程度
[30:00] 所以不管是發債
[30:01] CDES
[30:02] 賬外的負債
[30:03] 回購縮水
[30:04] 它後續都會一起浮上臺面
[30:06] 那市場就會開始追問
[30:07] 你砸那麼多錢
[30:08] 什麼時候能夠變現呢
[30:09] 那就要等時間嘛
[30:10] 第三就是中國的AI追趕
[30:12] 在電力的優勢
[30:13] 在電網的優勢
[30:15] 它技術很明顯還是稍微落後的
[30:17] 可是模型能力
[30:19] 如果能夠快速的商品化
[30:20] 成本被壓低
[30:22] 那美國股市的高估值
[30:23] 它就必須要被迫的進行重新定價
[30:26] 那就算算力買得到
[30:28] 電網併網的排隊
[30:29] 還有電力供給
[30:30] 它都可能會讓整個AI卡在物理限制
[30:33] 所以結論很簡單
[30:35] 不是說我們不要相信AI
[30:36] 而是我們開始相信
[30:38] 應該不會所有人都會贏
[30:40] 那就代表接下來的決勝點就變成
[30:43] 誰能夠守住利潤池
[30:45] 誰能夠把資本支出變成現金流
[30:48] 誰能夠解決電力和電力成本
[30:52] 人力成本相關的天花板問題
[30:54] 這就代表著AI的方向還是確認的
[30:58] 可是AI最終誰能夠活下來
[31:00] 最後的冠軍是誰
[31:02] 我們已經不確定了
[31:03] 給投資朋友做一些思考
[31:04] 臺北股市持續上漲242點
[31:06] 摔34,017點
[31:08] 美股怎麼波動
[31:11] 臺股就是不會有波動
[31:12] 因為臺股是臺灣人的市場
[31:14] 給投資朋友做一些思考
[31:16] 如果喜歡我們的節目
[31:16] 記得幫我們訂閱按贊加分享
[31:18] 我們在明天早上半夜半
[31:19] 早晨財經速寫圖再相見
[31:20] 祝各位投資朋友看完順利
[31:22] 超凡愉快
