[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 幸福感都是多多益善
[24:44] 它會進行本土勞工和外籍勞工的脫節
[24:47] 本土勞工不管做什麼職等
[24:50] 都是先加薪2000塊再說
[24:51] 那外籍勞工的部分
[24:53] 在明年會進行旅宿業和碼頭業的
[24:56] 進行更進一步的開放
[24:58] 所以明年大概就可以看到很多的旅館
[25:00] 應該就會招募更多的一些外籍人士
[25:02] 那當然
[25:03] 它會有一定的程度的薪資的要求
[25:06] 可是這幾年我們也清楚知道
[25:07] 主要還是缺口的問題
[25:09] 房務員的薪資漲幅
[25:10] 甚至連最低工資都趕不上
[25:13] 大概從15年23000塊到現在
[25:16] 也頂多3萬塊
[25:17] 人口的缺口
[25:19] 應該講說整個財務的缺口幅度
[25:21] 其實是越來越大的
[25:22] 在這樣效果底下
[25:24] 整體而言
[25:25] 開放更進一步的勞工
[25:27] 可能是被迫的選擇
[25:28] 這也給投資朋友做一些思考了
[25:30] 當然
[25:30] 其實更長遠的角度是什麼
[25:32] 就是如果你要緩解這種勞動力
[25:34] 少子化是一個方向
[25:36] 但是更重要的是什麼
[25:37] 你要讓市場上重新有進一步的就業歸來的機會
[25:42] 我們從總勞動人口來做觀察
[25:44] 現在臺灣最大的問題
[25:46] 就是應該要適度的進行勞動參與率的回饋
[25:50] 我們必須這樣講
[25:51] 勞動參與率特別重要的原因來自於
[25:53] 各國勞動參與率像南韓的部分
[25:55] 65歲以上是38%
[25:57] 100個65歲以上的退休人士
[25:59] 有38人回到就業市場當中
[26:03] 日本是25%
[26:04] 新加坡是31
[26:05] 美國和英國都是雙位數字
[26:07] 可是臺灣比例特別低
[26:09] 只有9.9%
[26:10] 那你當然可以說
[26:11] 那是因為臺灣經濟太好
[26:12] 大家退休都沒事做
[26:13] 不是這樣講的
[26:14] 主要還是來自於
[26:15] 整個勞資環境的問題
[26:16] 臺灣的確還是有點老年歧視
[26:18] 比如說像租屋的時候
[26:20] 就業的時候
[26:21] 寧願給年輕人多一點錢
[26:23] 也不太願意去付錢給退休族
[26:25] 整個勞資環境的不友善
[26:27] 就會導致人力大量的閒置
[26:29] 這年頭按照習主席的說法
[26:33] 我們平均年齡都是150歲起跳的
[26:35] 所以照理來講
[26:36] 應該要適度的
[26:37] 讓整個退休族群
[26:38] 因為退休族群
[26:39] 每年都在創高
[26:40] 現在每年退休人數
[26:41] 大概是11萬人左右
[26:43] 要陸續的回饋社會
[26:44] 而且有很多那種退休族群
[26:46] 像日本南韓
[26:48] 都有這樣的一個案例
[26:49] 就退休以後無所事事
[26:51] 反而可能形成
[26:52] 進一步的社會問題
[26:53] 甚至是心理問題
[26:54] 舉一個顯著的觀察重點
[26:57] 這張圖表示
[26:57] 全球的社會連線度
[26:59] 講的就是你在退休之後
[27:01] 你的社會的人脈的
[27:03] 網路的支援度
[27:04] 如果越低
[27:04] 你可能就越空虛
[27:06] 像冰島 紐西蘭 丹麥
[27:08] 他們老齡化人口也很嚴重
[27:09] 不過社會網路程度是高的
[27:12] 可是像日本 臺灣和韓國
[27:14] 的確都排名到37 41名左右
[27:17] 排名就相對後面
[27:19] 像是東洋雜誌的調查
[27:22] 在日本有高達40%的高齡男性
[27:25] 也表示說自己沒有親密的朋友
[27:27] 這個比例第一比女性來得高
[27:29] 第二比美國 德國 英國
[27:31] 都還要高了接近兩倍到三倍左右
[27:34] 所以有時候我們講說
[27:35] 因為我們節目
[27:36] 也很多退休族群
[27:37] 有時候聽我們節目以後
[27:38] 也許也可以找點事情做
[27:40] 不一定是回到職場
[27:41] 也許做做YouTube
[27:43] 寫寫文章
[27:44] 也是一種方式
[27:46] 但你要知道
[27:46] 至少你在孤單的時候
[27:49] 我們陪著你
[27:50] 我們就一起
[27:51] 每天這樣子
[27:52] 慢慢慢慢的進步
[27:53] 對不對
[27:54] 讓你知道在孤單的時候
[27:58] 還有一個我
[28:02] 還有一個我
[28:03] 對不對
[28:03] 對這陳生的歌
[28:05] 對不起
[28:06] 今年要跨年了
[28:07] 有點嗨
[28:08] 有點嗨
[28:09] 好開心
[28:10] 新的一年要來了
[28:11] 對悲傷的人就會講說
[28:13] 一年又過去了
[28:16] 樂觀的人
[28:17] 新的一年要來了
[28:18] 人家會說
[28:19] 對跨年
[28:21] 跨年那是洋人過的節目
[28:23] 有什麼節日
[28:25] 有什麼好過的
[28:26] 對跨年和耶誕節
[28:28] 都是洋人要過的節日
[28:29] 不過呢
[28:31] 我剛才跟小編討論
[28:33] 他說聖誕節是耶穌的生日
[28:36] 然後聖誕年假
[28:37] 通常跟跨年年假合在一頭
[28:39] 但是耶穌的生日
[28:41] 關華人什麼事呢
[28:44] 後來想了一想
[28:45] 討論的結果就是
[28:47] 因為耶穌的弟弟叫洪秀全
[28:49] 洪秀全是中國人
[28:51] 所以過一下也沒什麼問題的
[28:53] 要跨年了
[28:54] 好開心
[28:55] 對不對
[28:56] 不管怎麼說
[28:56] 我們看到整個老年
[28:58] 勞動力的環境
[28:59] 我們拿來跟工資水準的變化
[29:02] 以及海外移工的開放
[29:04] 它都是一連串
[29:05] 持續增長的效果
[29:07] 這也給投資朋友
[29:08] 做一些參考
[29:09] 當然我們就兩種方向
[29:11] 我們所有的投資目的
[29:12] 都是希望在退休的時候
[29:14] 有更多的自主權
[29:15] 不代表你要回去
[29:16] 做你討厭的工作
[29:17] 而是你有更多的選擇權
[29:19] 財務自由
[29:20] 從來都不是什麼事都不做
[29:22] 而是你有選擇的自由
[29:23] 你想選擇繼續工作
[29:24] 就繼續工作
[29:25] 你不想要工作
[29:26] 你可以做你想要做的事情
[29:28] 我們如果仔細觀察
[29:29] 基本上它會有兩種方向
[29:31] 一種呢
[29:32] 就是我們也知道
[29:33] 並不是所有的老年人的環境都特別好
[29:35] 臺灣不管是下流老人
[29:37] 還是我們看到的拾荒老人
[29:38] 大概預估是20萬到30萬人左右
[29:41] 整體而言是列入在貧困線以下的
[29:44] 這群人其實壓力也很大
[29:46] 他可能也沒有完全搭上
[29:47] 過去幾年的黃金行情
[29:49] 這個時候你就要了解說
[29:51] 財富的規劃對我們來講是很重要的
[29:53] 那政府的長照服務
[29:54] 其實也是很重要的
[29:55] 但是另外一方面
[29:56] 如果呢
[29:57] 我們從現在就開始聽財經號角
[29:59] 那等你退休的時候
[30:00] 很快我們就可以去養生村了
[30:03] 你看最近銀閥的住宅指標案例
[30:05] 新北三芝的日出不老莊園
[30:08] 桃園龜山的長庚養生文化區
[30:11] 或者像淡水
[30:12] 內湖有一些酒店式管理的樂齡宅
[30:15] 基本上越開越多
[30:17] 而且服務都越來越好
[30:18] 當然這個養生村
[30:19] 並不是我們平時下班去的養生會館
[30:22] 它是真的讓退休族能夠在裡頭
[30:25] 不管是獲得更多的活動
[30:27] 或者讓身體上有進一步愉悅
[30:30] 有人照顧你等等
[30:31] 這些都是要錢逐步的養成的
[30:35] 給投資朋友做一些觀察
[30:36] 結果零二分臺北股市
[30:38] 今天波動也不大了
[30:39] 要跨年了
[30:40] 市場交易量這幾天都在縮
[30:42] 我們今天聊的範圍很廣
[30:43] 我們從一開始
[30:44] 整個臺灣的總體經濟概況
[30:47] 全球指數的差別
[30:48] 一直聊到臺灣這幾年內資的買盤
[30:51] 如何形成臺股的持續創高
[30:53] 也來觀察在這種臺海衝突底下
[30:56] 外資對於臺灣的市場的角度轉變
[30:59] 利空一直都在
[31:00] 對於臺灣的警軍一直都在
[31:02] 當然要予以警惕
[31:03] 可是影響越來越小
[31:04] 他更依賴的是整個AI浪潮
[31:06] 在AI浪潮的過程當中
[31:08] 傳產和AI產業的分化
[31:10] 一直在持續
[31:11] 這個持續
[31:12] 2026年看起來也不會收容
[31:14] 在這樣的情況底下
[31:15] 我們只能期待
[31:17] 靠政府不管是薪資的調高
[31:19] 還是勞工的引進
[31:21] 或者進一步拉高
[31:23] 老年齡人口的勞動參與率
[31:26] 來試圖去沖銷
[31:27] 臺灣現在在2026年
[31:29] 所面臨的挑戰
[31:30] 同時間臺商也適度要走出去了
[31:32] 這一波走出去
[31:33] 是西進潮以來最大規模的遷徙潮
[31:36] 在這樣的情況底下
[31:37] 有時候年輕人
[31:38] 我們也要鼓勵他走出去了
[31:40] 不一定要回來
[31:41] 但是等你回來
[31:42] 也許可以帶一整條供應鏈回來
[31:44] 帶你的人脈回來
[31:46] 帶你的太太
[31:46] 帶你的先生回來
[31:47] 我們節目也播了有五年多左右了
[31:50] 相信這段時間不足以大富大貴
[31:54] 但是靠投資應該也能夠規劃到
[31:58] 不少的退休資金
[32:00] 就算還年輕
[32:01] 還沒有存到錢
[32:02] 但我們對於這個世界
[32:03] 對於這個社會的認知
[32:05] 也比一般人還要透徹許多
[32:06] 這些都是你能夠帶走的
[32:08] 也給投資朋友做一些參考
[32:10] 也祝各位投資朋友新年快樂
[32:12] 那我們就2026年再相見
[32:15] 拜拜
[32:15] 要記得幫我們訂閱按贊加分享
[32:18] 給投資朋友做一些參考
[32:19] 拜拜
