[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 来跟投资朋友做一些观察了
[24:54] 我的法金线退后了一点
[24:56] 你们的人生前进了一些
[24:58] 唯一一起变的就是我们的财富
[25:01] 都一起慢慢变富了
[25:03] 想当年
[25:04] 我们已经不是当年的穷小子了
[25:08] 我们是今年的穷小子
[25:10] 不是
[25:10] 我们当年从公园的草地
[25:12] 睡到公园长椅
[25:14] 又睡到凉亭
[25:15] 后来又到超商的座位
[25:17] 后来有点积蓄
[25:19] 终于进了网咖
[25:20] 终于可以过夜
[25:21] 可以吃泡面了
[25:22] 又到青年旅馆
[25:23] 当然现在
[25:25] 也不是每个人都在西尔顿
[25:26] 可是台股4万点
[25:28] 好歹也可以住钻石大楼
[25:30] 所以我们讲说
[25:32] 人生其实就是赌博
[25:33] 每一场际遇
[25:35] 投资都在选择你的未来
[25:36] 巴菲特也说
[25:37] 他有如此亮丽的绩效
[25:39] 就是在赌美国的国运
[25:40] 人生其实就是一场长期赌局
[25:43] 你的每一次的选择
[25:44] 你的每一次的际遇
[25:45] 每一笔的投资
[25:47] 都会默默地决定
[25:48] 你未来会站在哪里
[25:49] 差别不在于你有没有下注
[25:52] 而是你把筹码压在哪里
[25:54] 有些人赌情绪
[25:55] 赌运气
[25:56] 有些人赌产业
[25:57] 有些人赌开了一间咖啡厅
[25:58] 有些人赌买台积电股票
[26:00] 有些人选择分散风险
[26:01] 有些人还不赌台湾国运
[26:03] 他专门赌美国国运
[26:04] 只压美股
[26:05] 但最后真正拉开距离的
[26:07] 是你愿不愿意在对的方向
[26:10] 持续的把人生给压下去
[26:11] 我们讲说人生
[26:13] 现在这个世界上最重要的两个赌博
[26:16] 一个就股市了
[26:17] 另外一个烫头发
[26:18] 全台最大赌场上线
[26:21] 现在就是这种情绪的共振
[26:23] 还有一系列过去六年七年
[26:26] 台股走到现在发生的事情
[26:29] 当然也不只是台湾
[26:30] 我们看三星晶片获利
[26:32] 最近公布财报也暴增了
[26:34] 接近有48倍
[26:35] AI的记忆体
[26:36] 正式进入到显著的超级循环
[26:39] 那供需失衡
[26:40] 也带来更进一步的问题
[26:41] 三星也坦言
[26:43] 目前库存极低
[26:44] 供应远远落后给客户的需求
[26:46] 缺口正在快速放大
[26:48] 那合约价单月已经大幅上涨
[26:50] 虽然现货价格有点松动
[26:52] 不过合约价
[26:53] 如果还在持续上涨的话
[26:54] 就代表着
[26:55] 公司接下来的扩产
[26:56] 应该会持续
[26:57] 可是三星也遇到相对的问题
[27:00] 那就是三星预估在下下礼拜
[27:03] 就会发起18天的罢工
[27:05] 而工会表示有4万人会参与
[27:07] 除非在期限之前
[27:08] 公司提高今年的奖金
[27:11] 而且取消奖金的上限
[27:13] 三星今年的首季营业利率
[27:15] 是6.6兆韩元
[27:17] 一个季度
[27:18] 今年一季度
[27:19] 超越去年赚的总和
[27:21] 你可以想象吗
[27:23] 假设你去年年薪
[27:24] 现在资产阶级
[27:26] 可能年薪800万1000万
[27:28] 可能跑不掉了
[27:29] 你今年一季度就赚1000万
[27:31] 股市赚的有可能
[27:33] 但是今年薪水就超过1000万
[27:35] 这个就是三星目前赚钱的速度
[27:37] 你就知道
[27:37] 到底记忆体现在有多紧
[27:39] SK海力士
[27:40] 今年首季的营业利益2.8兆
[27:43] 一个季度赚了一整年的钱
[27:45] 那当然工会马上就开始发动了
[27:48] SK海力士工会
[27:49] 要求立即把营业利益的10%
[27:51] 作为奖金底线立即发放
[27:54] 那三星工会
[27:55] 则是争取突破发放上限
[27:56] 导致劳资关系双方十分紧张
[27:59] 那现代汽车工会
[28:01] 在昨天也正式提出
[28:03] 应该把去年净利润的30%
[28:05] 直接作为奖金发放
[28:06] 发三兆韩元给公司员工
[28:09] 那公司派当然很紧张
[28:10] 说这是过度倾斜短期红利
[28:13] 那我们现在要扩敞
[28:14] 我们还要企业的长期研发
[28:17] 台厂
[28:17] 台湾有工会在罢工吗
[28:19] 台湾都没有这工会在罢工
[28:20] 我们现在
[28:21] 到时候你要么罢工
[28:23] 要么我把钱给你
[28:24] 那都会削弱我们的竞争力
[28:26] 双方劳资关系正在高速的紧张
[28:29] 这就是我们观察到的实质现象
[28:31] 好
[28:31] 所以我们看
[28:32] 这个就是我们看到
[28:33] 第三条路
[28:34] 在半导体产业
[28:35] 针对亚洲股市回补的诱因
[28:37] 可是终究会有
[28:39] 曲终人善的一天
[28:40] 我们回过头看
[28:41] 目前市场最大压力
[28:42] 来自于哪里
[28:43] 就来自于油价一路的往上冲
[28:46] 我们把它作为导数
[28:48] 来做XY轴
[28:49] 那股价却一路的往上涨
[28:51] 难道股价一直涨
[28:53] 油价就一直涨
[28:54] 油价一直涨
[28:54] 股价就一直涨吗
[28:55] 我们背后都知道
[28:57] 它内部的压力在于哪里
[28:58] 那就是最近
[29:00] 十年期公债殖利率
[29:01] 缓步的站上4.4%了
[29:03] 再看一下30年期国债殖利率
[29:05] 基本已经创下新高了
[29:07] 在这样的一个过程当中
[29:08] 本质就意味着
[29:10] 这种由殖利率向上冲所形成的估值回调
[29:13] 蠢蠢欲动
[29:15] 所以我们可以做一个
[29:16] 比较大胆的一个推演
[29:17] 股市涨多了
[29:18] 总要休息
[29:19] 休息会有一个理由
[29:21] 下一次休息的理由
[29:22] 有可能就是由公债殖利率
[29:25] 这种升息预期
[29:26] 或者说通膨预期的增温所引发的
[29:29] 事实上我们知道
[29:30] 这美债压力最近又开始涌现的原因来自于
[29:33] 美国财政部最近把本季度的进借款
[29:36] 已经上调到1891美元
[29:39] 比二月预估多出了800亿
[29:41] 很简单嘛
[29:42] 这次税收不如预期
[29:44] 现金流变差了
[29:45] 我们要知道去年大而没法案
[29:47] 川普是大减税
[29:48] 那搞得现在美国政府有点压力
[29:50] 接下来第三季还要再借6700亿
[29:53] 全年的节奏在后半段
[29:55] 国债的供给压力会越来越大
[29:57] 那国债的压力越来越大
[29:59] 国债价格回跌以后
[30:00] 所形成的殖利率上升
[30:02] 会不会吸引资金开始重新回落债券
[30:05] 形成对于股市的抑制
[30:06] 这是值得观察的重点
[30:08] 但是毕竟这一项问题
[30:10] 被市场的情绪给掩盖了
[30:12] 可是你没办法理解
[30:13] 油价有一天
[30:14] 未来几个月突然站上了150 200
[30:17] 股价还可以维持这么高的评价
[30:19] 所以我们不能说立即要修正
[30:22] 但是这种情绪面所推升的行情
[30:24] 它终究要有一个引爆点
[30:26] 可能不是中通战事
[30:27] 可能不是关税战了
[30:28] 但是按照数据来看的话
[30:31] 目前公债殖利率
[30:33] 看起来是蠢蠢欲动
[30:34] 今天就聊这么多
[30:35] 台股上涨612点
[30:37] 好了算了
[30:38] 当我没聊
[30:38] 这个利空也不是很重要了
[30:40] 送在41415点
[30:42] 不过是蠢蠢欲动
[30:43] 我们今天聊的比较宏观
[30:45] 从一开始在市场上
[30:47] 中东战区和AI行情的
[30:49] 主流选择当中
[30:50] 大家选择了AI
[30:51] 可是在AI的过程当中
[30:53] 由于现在互利正在快速拉伸
[30:55] 导致本益比下滑的只有废板
[30:57] 资金就不断的涌入
[30:58] 所以费半价本益比标普还低
[31:00] 可是资金不断涌入以后
[31:02] 又会担心
[31:03] 那我现在开始做轮动
[31:04] 买七巨头
[31:05] 它收得回来吗
[31:06] 软IGV买软体股
[31:08] 它会不会被AI给颠覆呢
[31:10] 那这种第三条路吧
[31:12] 回流到亚洲半导体
[31:13] 寻找一些估值相对低的
[31:16] 有机会做回补的
[31:17] 可是回补完了
[31:18] 如果连台股韩股都涨高
[31:20] 持续创高本益比也拉升以后
[31:22] 那还该怎么做呢
[31:24] 曲终人善的一天
[31:25] 我们就要观察
[31:26] 公债殖利率是否蠢蠢欲动
[31:28] 给投资朋友做些思考
[31:29] 如果喜欢我们节目
[31:30] 记得帮我们订阅按赞加
[31:31] 发哥又涨停
[31:32] 这个行情真的是不简单
[31:36] 你买不到的就一辈子买不到了
[31:38] 看起来是这样子
[31:38] 给投资朋友做些观察
[31:39] 如果喜欢我们节目
[31:40] 记得帮我们订阅按赞加分享
[31:42] 我们就明天早上八点半
[31:43] 早晨财经缩解图再相见
[31:45] 祝各位投资朋友看盘顺利
[31:47] 炒盘愉快
