[00:00] 投資評論歡迎收聽早晨財經速解讀
[24:22] 或者獨居老人有些可能兒女在國外那種無人知曉離世的焦慮所以它引發的並不是單純爭論而是大家都相信沒錯死亡被包裝成一種
[24:35] 一鍵設定流程選項的訂閱服務
[24:38] 你像我平時也沒什麼朋友
[24:39] 我們現在還在直播
[24:41] 所以每天還看得到
[24:42] 等我退休以後
[24:44] 我平時也沒什麼朋友
[24:45] 所以我就要把我的賬號給各位了
[24:47] 以後你們每天就
[24:49] 浩哥死了嗎
[24:51] 還在嗎
[24:52] 還在比較好聽
[24:53] 死了嗎
[24:53] 聽起來不吉祥
[24:54] 浩哥還在嗎
[24:55] 每天就這樣子
[24:56] 叫我起床尿尿
[24:58] 感覺那個夫妻也可以拿來用
[25:00] 以後那先生可能出差一個月
[25:02] 但是夫妻關係不好
[25:04] 不想用LINE
[25:05] 你就準時報備
[25:07] 一開始還準時報到
[25:09] 後來可能晚了幾分鐘
[25:11] 那太太一開始就會問
[25:12] 還在嗎
[25:13] 還在嗎
[25:14] 到後來死了嗎
[25:16] 死了嗎
[25:17] 到後來受不了了
[25:18] 死鬼你死去哪了
[25:19] 對不對
[25:20] 所以這樣子一想
[25:21] 那倒是可以成立另外一個APP
[25:23] 因為現在有AI打code的越來越方便了
[25:26] 感覺可以做一個
[25:27] 這個名稱就改成死去哪了
[25:31] 一個是死了嗎
[25:32] 這個是比較應急的
[25:34] 另外一個叫死去哪了
[25:36] 死去哪了
[25:37] 還是簡稱叫死鬼
[25:39] 死去哪了
[25:40] 死鬼呢
[25:41] 死鬼呢不受聽
[25:42] 死鬼呢
[25:43] 也是一個方式
[25:45] 所以你看到處都是機會
[25:46] 死鬼算是中性詞
[25:49] 有貶低又稱讚意味
[25:51] 那以前過年遇到長輩
[25:53] 哎 挺好長大了
[25:55] 我以前還抱過你呢
[25:57] 你還記得
[25:58] 你小時候魯鳴叫什麼嗎
[26:00] 啊 什麼是魯鳴
[26:01] 魯鳴就是你吃奶時叫的名字
[26:04] 哦 那叫死鬼
[26:06] 死鬼呢 死鬼呢
[26:09] 所以死了嗎 死了嗎
[26:11] 感覺也不錯
[26:12] 現在我們線上有
[26:13] 有一萬四千人線上上
[26:15] 這個APP不錯
[26:16] 以防我的ID被各位操作
[26:18] 我現在抄襲很嚴重
[26:21] 所以待會我馬上就要來寫了
[26:22] 來vibe coding一下
[26:24] 當然很多人說
[26:26] 你說這只是想想而已
[26:28] 沒有
[26:28] 在死了之後
[26:29] 大家又發現另外一個軟體
[26:31] 叫做Lule嗎
[26:33] 這個是健康和健身平臺
[26:34] 它主要是每天去監測你
[26:37] 今天有沒有擼鐵
[26:38] 這也是大陸的APP
[26:40] 所以你可以看得出來
[26:41] 新創的AI爆發
[26:43] 正在引的市場上
[26:44] 有新一波市場的預估效果
[26:46] 當然回到臺灣市場當中
[26:49] 大家最為關心的是什麼
[26:50] 如何參與本廠的硬體的發展呢
[26:53] 其實臺灣在本人的AI機器人當中
[26:55] 早就已經做好了佈局
[26:57] 我們從臺灣機器人產業目前來看
[26:59] 整條產業鏈
[27:01] 從最上游的AI感測晶片
[27:02] 到視覺系統的光學鏡組
[27:05] 或者感測模組
[27:06] 一路到機器人最關鍵的
[27:08] 機器線性的關節
[27:10] 旋轉關節是最重要的
[27:11] 因為你一定要跟物理世界有聯動
[27:13] 你一定要守的那個動作夠細微
[27:15] 一路延伸到電池機構件散熱
[27:18] 最後到整機的設計
[27:20] 製造代工
[27:21] 其實都在做
[27:22] 所以臺灣吃的
[27:23] 不只是零元件的紅利
[27:24] 而是已經有能力
[27:26] 伴隨著人形機器人
[27:27] 和工業機器人的放量
[27:28] 我們舉例來說
[27:29] 舉幾個臺灣的AI公司
[27:32] 你不要看到
[27:33] 好像不就做硬體嗎
[27:34] 沒有
[27:35] 在軟體層面
[27:36] 我們的感測元件等等
[27:37] 也做得非常好
[27:38] 一個是碩網
[27:39] 碩網這家公司
[27:41] 我記得有掛牌
[27:42] 它不是在做單純的聊天機器人
[27:44] 而是在解決企業的實際問題
[27:47] 他能夠把大遠模型
[27:48] 放進到企業既有的客服
[27:50] 很多臺灣的大型金控
[27:52] 或者公司
[27:52] 都已經採用他們的服務
[27:54] 處理的就是訂單
[27:55] 賬務 申訴 內控
[27:57] 所以你跟他們的聊天機器人
[27:59] 這兩年聊
[28:00] 你有沒有發現
[28:00] 開始那個回應的速度
[28:02] 不像以前那麼呆板了
[28:03] 第一個就是AI客服
[28:05] 一次性的專案
[28:06] 如何打入到內部流程和資料庫
[28:08] 再來像是衝泰
[28:10] 衝泰是專門做影像擷取卡的
[28:12] 現在變成了機器人之眼
[28:14] 以前他都做那個工業電腦
[28:15] 但現在呢
[28:16] 讓影像能夠及時的進入到運算
[28:19] 判斷控制流程
[28:21] 當影像不只是拍得到
[28:22] 變成算得動
[28:23] 反應夠快的時候
[28:24] 它就從配角變成了核心
[28:26] 所以它目前機器人之眼
[28:28] 它做得夠低延遲
[28:30] 而且可以長時間運作的
[28:32] 視覺化神情
[28:33] 再來看的是利普斯
[28:34] 這家臺灣公司也非常厲害
[28:36] 它做3D感測
[28:38] 就是怎麼把3D感測
[28:39] 變成工廠機器人
[28:41] 想要拿去用的解決方案
[28:42] 很明顯
[28:43] 它並不是走賣單元件的路線
[28:46] 而是把軟體演演算法
[28:48] 硬體平臺整合起來
[28:50] 讓很多3D的視覺
[28:52] 它不會單純留在實驗室
[28:53] 而是走向產線
[28:55] 所以就變成
[28:56] 這個3D的感測技術
[28:57] 讓大家在組裝的過程當中
[28:59] 可以組裝更為細微的一些產品
[29:01] 其他像秉碩
[29:02] 秉碩是做醫療機器人的
[29:04] 很明顯
[29:05] 多數的醫療機器人
[29:06] 現在卡在研發
[29:07] 他現在已經走到臨床了
[29:08] 我們不講什麼脊椎手術
[29:10] 那種高度依賴
[29:11] 經驗風險又高的場景
[29:13] 你只要把影像導航
[29:14] 機械手臂
[29:16] 整合
[29:17] 那醫師能夠開的刀
[29:19] 都開始變多了
[29:20] 所以呢
[29:20] 手就越來越穩
[29:21] 準度就越來越高
[29:23] 風險也越來越低了
[29:24] 一系列我們看到
[29:25] 由AI所引發的新創潮
[29:27] 陸續都已經出來了
[29:29] 好
[29:29] 9點02分
[29:30] 臺北股市上漲127點
[29:32] 說在30871點
[29:33] 所以美歐股市
[29:34] 市場指數
[29:35] 主要還是道瓊下跌
[29:36] 標普下跌
[29:37] 不過呢
[29:38] 費辦到目前為止
[29:39] 仍然在持續衝高
[29:40] 我們看費辦的部分
[29:41] 在昨天上漲73點
[29:43] 0.95%
[29:44] 說在7747點
[29:46] 有沒有發現
[29:47] 在過去半年來
[29:48] 這個硬體的上漲幅度特別高
[29:50] 這也是鑄造臺北股市的
[29:52] 有顯著的拉伸原因
[29:54] 反正軟體股
[29:55] 現在大家都在修行
[29:56] 在等AI終端產品的推出
[29:58] 硬體股已經爆發了
[29:59] 因為拉貨潮實在是太明顯了
[30:01] 當時我們聊了很多
[30:02] 今天聊了有沒有20家公司
[30:04] 這個20家公司
[30:05] 大家有不同的想法和希望
[30:07] 覺得可以在針對AI行情當中
[30:09] 參與行情
[30:10] 有些人會去折股
[30:11] 有些人會選擇
[30:12] 那就all in大盤
[30:13] 隨著本人的AI行情
[30:15] 一起往前走
[30:16] 其實主被動投資
[30:18] 因為最近討論很多
[30:19] 有能力就選
[30:20] 沒能力的人
[30:21] 你其實也是相信AI的
[30:23] 你買了大盤跟買AI
[30:24] 有什麼區別
[30:25] 錢都在裡頭了
[30:26] 而且通常沒有被傷過
[30:29] 怎麼會從主動變被動
[30:31] 就是你發現無法折股了
[30:33] 後來才進行風險的分散
[30:35] 各自都有各自的優勢
[30:37] 沒有被渣男傷過
[30:39] 怎麼會喜歡老實人
[30:41] 像我一開始也是很主動
[30:44] 但是幾段戀情下來
[30:46] 也是越來越被動了
[30:48] 現在我都在特定的場域
[30:51] 比較主動
[30:52] 比如說按摩店
[30:54] 不是開玩笑
[30:54] AI究竟會不會改變世界呢
[30:57] 我們現在觀察到的實際效果
[30:59] 之所以硬體股在暴衝
[31:01] 軟體股稍微趨緩一點
[31:02] 根本原因就是我們講的
[31:05] AI生產力週期的J曲線
[31:08] 什麼是AI生產力週期J曲線
[31:10] 就是企業引進的AI前期
[31:12] 常常遇到效率下滑
[31:14] 流程打劫
[31:15] 能力重新配置的混亂
[31:17] 而且還伴隨著學習成本資料的清整
[31:19] 內部系統互相不適配
[31:21] 最後變成產能反而有點短暫倒退
[31:24] 那這種先下沉
[31:25] 後上升的Nike勾勾型的接取線
[31:28] 它的生產力會掉一段
[31:30] 等到組織調整完之後
[31:31] 員工熟悉工具流程重構成功以後
[31:34] AI的效益才會開始陸續的放大
[31:37] 而現在我們就處於這樣的一個轉口期
[31:39] 你要說AI現在爆發了大營收
[31:42] 沒有那都是賣產值的賣比較多
[31:44] AI具體的回饋還沒有回來
[31:45] 可是一旦AI的機器人數量
[31:48] 在亞馬遜正是超過員工數量
[31:50] 那你就必須承認
[31:52] AI至少對於企業端而言
[31:54] 它的生產力早就已經爆發了
[31:56] 也給投資朋友做一些思考
[31:58] 那我們今天聊的範圍很廣
[31:59] 從現在美國的機器人發展的概況
[32:02] 一路聊到臺灣的硬體上的適配
[32:04] 最後發現了
[32:05] 最近軟鐵股下跌
[32:06] 或者兩鐵股受沉壓
[32:08] 半導體股大漲的根本原因
[32:09] 還是來自於這個缺曲線的轉口期
[32:12] 那在另外一方面
[32:13] 我們也看到了
[32:14] 我們其實不管是去主動折股
[32:16] 還是去被動折股
[32:17] 其實背後
[32:18] 某種程度而言
[32:19] 主動
[32:20] 現在肯定也是AI股
[32:21] 被動
[32:22] 你已經被迫參與了
[32:24] 經濟由AI壟斷的GDP行情
[32:26] 所以不管如何
[32:27] 我們都在AI這條列車上
[32:30] 也給投資朋友多做一些參考
[32:31] 如果喜歡我們的節目
[32:32] 記得幫我們訂閱按贊加分享
[32:33] 我們就明天早上半半
[32:34] 早晨財經速解讀
[32:35] 再相見
[32:36] 祝各位投資朋友
[32:37] 開盤順利
[32:37] 炒盤愉快
