[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 似乎已經開始產生了資金輪動
[24:43] 因為AI已經被侵蝕
[24:45] 估值天花板已經被打破
[24:47] 現在就是跳樓大拍賣
[24:49] 同一句話
[24:50] 同一個資料
[24:51] 不同人他會用完全不同的語境去解讀
[24:55] 那純粹取決於
[24:56] 那你中長期的看法為何
[24:57] 只要瞭解資料都是這樣的
[24:59] 即便是同一個資料
[25:00] 即便是同一句話
[25:01] 不同人他的解讀方式
[25:04] 也會根據不同的語境
[25:05] 來去做思考和解讀
[25:07] 之前跟大家分享
[25:09] 那網路上有個女孩子
[25:11] 到四川遊玩
[25:14] 線上就交友
[25:15] 年輕人
[25:16] 看上一個四川本地人
[25:18] 年輕人比較開放
[25:20] 女的就問
[25:21] 今天晚上要不要來我家過夜
[25:24] 我男的一下很興奮
[25:26] 趕快過去
[25:27] 一到女生家
[25:28] 要趕快脫鞋進玄關
[25:31] 女的一聞
[25:32] 我腳很臭
[25:33] 問男的說
[25:35] 你香港腳嗎
[25:38] 男的愣住
[25:40] 我沒有試過
[25:42] 同一句話
[25:46] 不同語境
[25:47] 他的語言結構的解讀就不一樣
[25:50] 史川華嗎
[25:52] 你相剛交嗎
[25:54] 所以同樣的
[25:57] 同一個資料
[25:58] 同一個波動
[25:58] 不同人
[25:59] 他會用完全不同的語境去解讀
[26:01] 那同樣的錯位
[26:02] 他會在AI到資料金礦
[26:05] 到傳達股的輪跡當中
[26:06] 形成不同的思考
[26:08] 到底我們現在看到的是一個健康的
[26:11] 資產的輪動
[26:12] 還是你可以單純從週期角度而言
[26:14] 把它當成一個自然的均值回撥
[26:17] 你用乖離的角度去思考
[26:19] 那我就根據每一次指數的乖離
[26:21] 情緒迴盪到低點來選擇做部件
[26:23] 那當然你要選擇的是個股投資
[26:26] 還是ETF投資來分散風險
[26:28] 不重要
[26:28] 重點是你要對於自己的投資
[26:31] 有自己的定位
[26:32] 你瞭解
[26:32] 本來我就預料到這種事情的
[26:34] 那股市上漲的時候
[26:36] 你都已經想好該怎麼做
[26:37] 下跌的時候
[26:38] 你怎麼會沒想好你該怎麼做呢
[26:39] 這本來就是一個正常該有的投資思維
[26:41] 所以投資也是同一件事情
[26:43] 與其不斷的去測試自己是成長型
[26:46] 價值型
[26:47] 波段型
[26:47] 你要先把自己的路線給講清楚
[26:49] 那我們對於週期投資者
[26:50] 我們對賭的是指數
[26:52] 那指數當然會有選擇的問題
[26:54] 大家也知道
[26:55] 我們對於科技是長期樂觀論者
[26:57] 道瓊從來都不在我們的選股名單當中
[27:01] 誰要可口可樂
[27:03] 會有一天帶領全球的生產力提升嗎
[27:06] 喜詩糖果會帶動全球生產力提升嗎
[27:08] 好
[27:09] 這個就是另外一個話題了
[27:10] 但是我們相信
[27:11] 主要就是軟體股和硬體股
[27:14] 納指和費辦之間的週期輪替
[27:16] 它會不斷地帶動人類生產力週期的提高
[27:19] 那我們相信
[27:20] 在乖離回撥
[27:21] 情緒回撥
[27:22] 尤其是庫存調整的時候
[27:23] 就更要關注
[27:24] 那現在呢
[27:24] 我們處於庫存上行週期當中的情緒回撥
[27:28] 很明顯了
[27:29] 這個時候中期回撥的產生
[27:31] 反而更有大家進一步的吸引力
[27:33] 給投資朋友做一些思考
[27:34] 好8點59分
[27:35] 我們本來要稍微聊一下
[27:37] 目前美中之間的談話
[27:39] 是否有利於全球不確定性的消失
[27:41] 每一次股災發生的時候
[27:44] 政治的不確定性就開始縮小了
[27:47] 那股市上漲的時候
[27:48] 川普就採取很多動作了
[27:50] 那現在我們看到川普開始釋放力多了
[27:53] 這一次美國總統川普在昨天正式發文
[27:57] 跟中國國家主席習近平進行了電話會談
[28:01] 未來在四月份就會跟他在中國進行高層會面
[28:05] 那他在裡頭也提到說
[28:07] 剛才打的電話是一個非常精彩
[28:10] 而且通話時間非常長
[28:11] 內容相當深入的對話
[28:13] 討論了許多的重要議題
[28:15] 包括貿易軍事
[28:17] 川普在4月份的中國行
[28:20] 以及愛波斯坦
[28:21] 沒有愛波斯坦不好意思
[28:22] 川普也強調他非常期待
[28:24] 跟習近平做進一步會面的機會
[28:26] 當然說雙方還談到了臺灣問題
[28:28] 烏俄戰爭伊朗局勢
[28:30] 同時間他也肯定習主席
[28:33] 在過去一個季度
[28:34] 把大豆採購量提升到2000萬噸
[28:38] 以及飛機引擎交付等問題
[28:40] 整體氣氛是非常正面
[28:41] 他也給習主席按一個贊
[28:43] 那我們要知道
[28:44] 習主席最近才剛剛開啟了外交視窗
[28:47] 不止我們看到李在明
[28:49] 在去年年底
[28:50] 首次訪路修復了韓中關係
[28:53] 加拿大在今年年初
[28:54] 也首次訪路修復了加中關係
[28:57] 芬蘭在上個禮拜
[28:59] 也開始跟中國開啟了中芬商業談判
[29:03] 英國首相施凱爾
[29:04] 那很明顯
[29:05] 這一次被罵爆了
[29:06] 不過他也開啟了中英黃金時代的談判
[29:10] 那接下來我們看到
[29:11] 不管是德國總理梅爾茲
[29:13] 還是烏拉圭總統
[29:14] 陸續抵達中國以後
[29:16] 很明顯就是要趁國際局勢混亂的同時
[29:19] 由於美方這個盟友充滿著極大不確定性
[29:22] 為了本國的經濟和外交訂單
[29:24] 我得跟習主席好好的溝通
[29:27] 好好的談取新一部分的貿易條件
[29:30] 所以我們今天聊的範圍很廣
[29:31] 我們從一開始
[29:32] 軟體硬體股的之間的資金移轉
[29:35] 最後發現它是一個系統性的科技股調節
[29:37] 可是科技股調節的同時
[29:39] 似乎川餐股並沒有往下殺
[29:41] 而且有非常顯著的資金開始做推升
[29:44] 往下延伸
[29:45] 似乎代表著PNI指數
[29:47] 它已經透露出一些景氣的推升方向
[29:50] 但是會不會它只是曇花一現呢
[29:52] 畢竟美國是連續三年
[29:54] 製造業都在一個
[29:55] 極大的庫存迴圈壓力當中
[29:57] 那會不會這次只是曇花一現呢
[29:59] 有可能只是一個資金輪替的
[30:01] 不管怎麼說
[30:02] 大家應該本身就要自己在
[30:04] 股災或者說系統性回撥的過程當中
[30:07] 本身所面臨的看法
[30:08] 其實也跌不多了
[30:09] 主要是個股跌幅很大
[30:10] 所以個股投資又跟總體經濟投資
[30:13] 又有一段差距
[30:14] 要給投資朋友做一些思考
[30:15] 就零二分
[30:16] 臺股你看
[30:17] 每股跌那麼重
[30:18] 臺股才跌300點
[30:19] 我們講過嘛
[30:20] 500點以內都是正常波動
[30:22] 所以在31921點
[30:24] 但至少過年前
[30:26] 你到底是要包紅包
[30:28] 還是要彎腰撿鑽石
[30:30] 撿完之後
[30:32] 等過完年再包紅包呢
[30:33] 每個人就不同說法和看法了
[30:35] 給投資朋友做一些思考
[30:36] 如果喜歡我們節目
[30:37] 就幫我們訂閱按贊加分享
[30:38] 我們就明天早上半半
[30:39] 找陳財經素解說
[30:40] 再詳解 祝各位投資朋友看完順利
[30:41] 炒盤愉快
