[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 道琼甚至在今年首次跌破了4.7万点的关卡
[26:21] 和日本的3.47万
[26:22] 从财富角度而言
[26:24] 台湾成人的平均财富是31万
[26:26] 中位数是11万
[26:27] 都比日本和南韩来得高
[26:29] 就代表着我们讲的不只是平均
[26:32] 我们讲的是
[26:33] 大家都比中产水准
[26:35] 因为中位数拿出来比
[26:36] 整体台湾的财富
[26:38] 在亚洲主要工业国当中
[26:40] 已经处于前半段了
[26:41] 在这样的一个效果底下
[26:42] 我们按照过往经验
[26:43] 通常人均GDP超过三万美元之后
[26:46] 成长会趋缓
[26:47] 那台湾还是可以保持这样的增速
[26:49] 你刚才看到了吗
[26:50] 那是记忆体
[26:51] 今年可以成长1000%
[26:52] 这就足以彰显的
[26:54] 某些产业已经完全抓住了AI时代
[26:57] 从中国日本南韩的经常涨占GDP的比例
[27:00] 你就看得出来
[27:01] 这以前我们的出口顺差
[27:04] 占了我们的GDP比值
[27:05] 15%已经比其他国家来得高了
[27:08] 比南韩和日本还要高非常多
[27:10] 人家都是5% 10%
[27:11] 结果我们在今年
[27:13] 冲高到30%
[27:15] 那就代表着
[27:16] 等同于出口又赚了
[27:18] 接近有快要一整倍
[27:19] 这件事情也就彰显
[27:21] 这几年进来钱的速度实在太快了
[27:24] 所以台湾目前为止
[27:26] 我们还是讲说
[27:27] 还是有点油脂泛滥的味道
[27:29] 就是出口赚的钱
[27:31] 外汇进来的钱的速度
[27:32] 其实有点太快了
[27:34] 快到投资人不知道要找到什么去处
[27:37] 就导致ETF的买盘
[27:39] 它不断的涌入
[27:40] 如果ETF买盘不涌入
[27:41] 那大概就是因为股价不跌了
[27:43] 股价在高位盘整
[27:44] 因为大家要减便宜
[27:45] 那就变成个股的买盘
[27:47] 融资投资者买盘就特别大了
[27:49] 这也是我们看到很多人说
[27:51] 现在台湾就是亚洲犹太人
[27:54] 瞬间你发现台商都到处走出去了
[27:58] 到处去设厂
[27:59] 到处去经营管理
[28:02] 到处去经商
[28:03] 然后钱呢
[28:04] 又不断的重新
[28:05] 流回到台湾的母公司
[28:07] 台湾就是亚洲犹太人
[28:08] 对那谁是亚洲希特勒
[28:10] 所以我们要看
[28:11] 这个市场上
[28:12] 他有不同的思维
[28:14] 来做更进一步的留意
[28:15] 因为你用不同的角度来看
[28:17] 你用AI来看
[28:18] 你就会有了一个中长远的信心
[28:20] 你用外部性冲击来看
[28:22] 你就会觉得川普
[28:23] 在帮你挑到一个相对的便宜价
[28:25] 这是不同的角度来做观察
[28:26] 可以给投资朋友做一些思考
[28:27] 我们今天主要是把大家比较关注的
[28:30] 油价的冲击
[28:31] GDP的表现
[28:32] 通膨的传导
[28:33] 来陆续跟投资朋友做数据的回测
[28:35] 油价一定有冲击
[28:37] 但是冲击更多的对于美股市场
[28:39] 看起来是集中在通膨
[28:40] 而并不是对于经济的影响
[28:42] 第二历史的油价事件来做回测
[28:45] 本次的冲击
[28:46] 相对前几次还是有点偏弱
[28:49] 加上市场上又有一股惯性
[28:51] 我们都已经熬过2022年的乌鸥战事
[28:54] 我们都已经熬过2025年的关税战
[28:56] 你想要吓我一下
[28:58] 就把我甩下车
[28:59] 有点难度
[29:00] 多数散户心理情绪
[29:02] 是有这样的一个状态的
[29:03] 也给投资朋友做一些思考
[29:04] 好 台股下跌458点
[29:06] 刷了33123点
[29:07] 你看昨天美股跌那么重
[29:08] 那台股
[29:09] 现在好像千点以内
[29:11] 都算是正常波动
[29:12] 今天导读的这本书
[29:14] 叫做AI分身颠覆职场
[29:17] 教育医疗人际关系
[29:19] 的人际协作新模型
[29:21] 这本书
[29:22] 每个礼拜我们都会跟投资朋友
[29:24] 导读一本书
[29:24] 希望大家不只从我们的节目
[29:26] 我的节目当中
[29:27] 获得一些主观的思维
[29:28] 也可以获得更多不同的想法
[29:30] 在其他书籍当中
[29:32] 那本书主要是跟投资朋友分享
[29:35] 因为这本书是两位作家所写
[29:36] 一个是约瑟夫·布莱德利
[29:38] 他是全球非常知名的应用未来学家
[29:41] 另外一位是泰普·史考特
[29:44] 他也是专门在探讨
[29:46] 科技对于商业社会影响的
[29:48] 全球顶尖权威
[29:49] 曾经两度登上TED舞台
[29:51] 那这两位
[29:52] 他是当代非常有名的管理思想家
[29:55] 主要就是在这个AI的时代
[29:57] 如何让分身成为我们的知心杖
[30:00] 我们过去跟投资朋友提过
[30:02] 这一波软体股的下杀
[30:03] 你会发现很明显就是迎接代理型AI的恐惧
[30:07] 未来的传统的软体和APP可能会消失
[30:11] 代理型AI变成主流
[30:12] 什么意思呢
[30:13] 就是我未来使用者可能会跨越传统的软体界面思维
[30:18] 他不再需要逐一去点开各种应用程式
[30:21] 比如说我光靠一个代理型AI
[30:23] 我就可以跟他交代说
[30:25] 请你把我LINE对话里头
[30:28] 12月31号晚上11点到凌晨1点
[30:32] 我跟某位漂亮的女主持人的
[30:36] 心三色的谈话
[30:38] 请帮我删除
[30:39] 但是其他原因要保持不变
[30:41] 让人家观察得出来
[30:42] 并没有太大的一个变化
[30:44] 所有的浏览肌肉都是正常的
[30:47] 做这种事情
[30:48] 代理型AI你还需要打开LINE吗
[30:50] 你还需要打开Telegram吗
[30:52] 所以我们想说
[30:53] 这种代理型AI
[30:55] 对于市场的真实冲击
[30:57] 它就是越过整个软体的节奏
[30:59] 你不管是做形式力的规划
[31:01] 你不管是做什么运动的记录
[31:03] 你都可以靠代理型AI来横跨
[31:05] 所以我们才讲说
[31:06] 这对于软体也产生了新一波的冲击
[31:08] 第二是我们看到
[31:10] 整个就业市场的概况
[31:12] 的确很多白领是遭受到第一波冲击的
[31:14] 相对于蓝领
[31:15] 白领的就业冲击来得更为快速
[31:18] 所以也引发了非常多的新的AI商机
[31:21] 比如说现在最红的
[31:22] 叫做前线部署工程师
[31:24] 传统工程师的职缺正在衰退
[31:27] 但前线部署工程师
[31:28] 职缺却翻了四倍
[31:30] 原因是什么
[31:30] 就是各行各业都在导入AI
[31:32] 可是缺乏那种
[31:34] 如何将企业内部资料库
[31:36] 跟AI衔接的人才
[31:38] 我是搞金融的
[31:39] 那我也知道要用AI
[31:41] 我也不放心
[31:42] 我直接串一个AI
[31:43] 我必须要找一个
[31:45] 懂金融又懂AI的人
[31:46] 帮助我进行内部资料库的连接
[31:48] 既懂行业又懂专业知识
[31:50] 又懂AI的串流技巧
[31:51] 是目前各大企业
[31:53] 最为稀缺的人才
[31:54] 因为每个企业
[31:55] 都想要衔接AI
[31:57] 但是缺的不是
[31:58] 不会使用去的GBT
[31:59] 而是要如何
[32:00] 把内部的资料库
[32:01] 拿来跟AI来做连接
[32:03] 所以解决特定产业的痛点
[32:06] 不管是医疗产业
[32:07] 金融产业
[32:07] 在本书当中
[32:08] 其实都有提到
[32:09] 相关的分身型AI
[32:12] 带给这个世界
[32:12] 进一步的产出
[32:14] 当然AI软体很多种
[32:15] 最通用的LLM大圆模型
[32:18] AI Agent
[32:19] 现在越来越熟悉了
[32:20] 现在龙虾是最红的
[32:22] 之前是Microsoft的Copilot
[32:24] 字幕辨识系统等等
[32:26] AI的搜寻引擎
[32:27] Propensity相对于传统引擎
[32:29] 它可能会经过更高度的AI化的整理
[32:32] 我们做直播
[32:33] 以前都很辛苦
[32:35] 每一条蓬勃色的新闻都点开来看
[32:37] 金融时报点开来看
[32:39] 现在你交代一下AI
[32:41] 请你帮助我搜寻50条
[32:43] 在本日引用度最高的一些新闻
[32:46] 海外的电报
[32:49] 而且呢
[32:50] 必须有具体的佐证
[32:51] 帮助我可以进一步了解
[32:53] 这个新闻的原本的网址
[32:54] 用这样的一个方式
[32:55] 它可以节省非常多的时间
[32:57] 节省时间
[32:58] 本身就是生产力的提升
[33:00] 好
[33:00] 所以本书呢
[33:00] 让大家可以衔接上
[33:02] 现在的AI时代
[33:03] AI分身时代
[33:05] 推进给投资朋友
[33:05] 如果大家有兴趣
[33:06] 欢迎大家可以买回家
[33:07] 或者呢
[33:08] 我们稍晚呢
[33:09] 也会抽两本书
[33:10] 送给我们的投资朋友
[33:11] 如果大家有兴趣
[33:11] 可以在我们本节目底下留言
[33:13] 留下你对本书的想法
[33:14] 留下你对本节目的一些想法
[33:16] 给投资朋友做一些思考
[33:19] 大概在跌四五百点左右震荡
[33:21] 守在三万三千点左右
[33:23] 那我们就祝各位投资朋友
[33:24] 看盘顺利
[33:25] 操盘愉快
[33:26] 我们就下礼拜一
[33:27] 早上八点半
[33:28] 早晨财经速点读
[33:29] 再相见
[33:29] 祝各位投资朋友
[33:30] 看盘顺利
[33:31] 操盘愉快
