[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 直播呢主要是跟大家分享一下市场动态
[25:13] 因為他剛好坐飛機走了
[25:15] 你有時候就是要馬上立即澄清說
[25:17] 以及澄清说我们的电力系统供需情况为何
[25:20] 邀请参观
[25:21] 看起来也是一种方式
[25:23] 但至少这件事情做的是对的
[25:24] 老实说时间timing的问题
[25:26] 我们必须确保
[25:27] 我们接下来不只是生产冷气的电是够的
[25:31] 如果我们要一天24小时
[25:33] 每天都吹冷气
[25:34] 都开到18度
[25:35] 电力电量还有风力全部都调最大
[25:39] 我们都能够应付得过去
[25:40] 向全世界进行表态
[25:42] 我们有充足的能源
[25:43] 是吸引外资持续投资的根本原因
[25:46] 当然它背后的条件是什么
[25:48] 就是全球的资本支出不能停
[25:50] 所以有时候我们看说
[25:51] 台积电说他要看他客户的看法
[25:54] 那台积电的客户是挥打
[25:55] 挥打其实也要看他客户的看法
[25:57] 只有他们的客户一直花钱
[25:59] 这场游戏才玩得下去
[26:01] 要不然机体价格也在涨
[26:03] 芯片价格也在涨
[26:04] 电力价格也在涨
[26:06] 那我们现在观察到的实体机箱就是
[26:08] 的确现在七巨头的资本支出
[26:11] 预估在2027年
[26:12] 应该就会有陆续松动的空间
[26:14] 那为什么会松动呢
[26:16] 是因为算力够了
[26:17] 看起来2027年是完全不够的
[26:19] 之所以不够
[26:20] 是因为我们的预估是
[26:21] 七巨头在明年口袋现金流
[26:23] 自由现金流可能会转付
[26:25] 那就说明他们没有那么多钱可以投资了
[26:27] 年增幅就被迫要递换
[26:28] 所以明年价格还会创高
[26:30] 可能从8000亿变成9000亿变成1兆
[26:33] 可是很难再变1.6兆
[26:35] 然后3.2兆了
[26:36] 原因很简单
[26:37] 因为整体而言
[26:38] 我们看到超大型云端业者
[26:40] 他们的资本支出
[26:41] 本身应付不了
[26:43] 长年期这么庞大的支出
[26:45] 如果没有具体的生产力回馈
[26:47] 所以在明年的条件
[26:48] 我们讲说
[26:49] 为什么压力会来得大
[26:50] 那个大不是泡沫扑面
[26:52] 而是明年会确定
[26:53] 2030年的计划
[26:54] 是不是会大量延后
[26:56] 因为我花不起这么多钱了
[26:58] 我可能要先存钱
[26:59] 才能够买更多的AS药中心
[27:00] 要不然就要继续发债
[27:02] 到时候的市场变化
[27:03] 就要看一下融资的角度为何
[27:05] 所以我们才讲说
[27:06] 虽然我们知道
[27:07] 台积电是有信心的
[27:08] 回答看起来
[27:09] AS需求畅望的
[27:11] 可是最终还是要看
[27:12] 终端客户他们的看法
[27:13] 最后还是要看钱
[27:15] 钱不一定治白病
[27:17] 但是投资市场当中
[27:18] 钱可以治很多的病
[27:20] AI竞赛进入到下半场
[27:21] 最后比的不是故事
[27:23] 写讲的漂亮
[27:24] 谁能够有能力
[27:25] 把故事烧成现实
[27:26] 现在资料中心
[27:27] 晶片 电力 先进封装
[27:29] 记忆体
[27:29] 每一个环节
[27:30] 都不是靠口号堆出来的
[27:32] 它是靠真金白银
[27:33] 一路砸下去
[27:34] 这也是为什么市场上
[27:35] 会担心AI资本支出
[27:37] 可能会陆续鉴定
[27:38] 鉴定以后
[27:38] 那它就没办法
[27:39] 下给汇达订单
[27:40] 那汇达就没办法
[27:41] 给台积电订单
[27:42] 没法给海力士订单
[27:44] 所以有时候我们讲说
[27:45] 市场上真实要观察的重点在于
[27:48] 钱明年还够不够
[27:49] 钱自摆病
[27:50] 只要这些期许头还借得到钱
[27:53] 继续投
[27:53] 钱自摆病
[27:54] AI就继续进入到下半场
[27:57] 之前那个病人问医生
[27:59] 医生我老师出现幻觉
[28:01] 什么幻觉
[28:02] 我觉得自己很有钱
[28:04] 医生说这很严重
[28:06] 那病人问那治疗费要多少
[28:08] 医生说20万
[28:09] 病人说我好了
[28:10] 钱自白必嘛
[28:12] 所以投资人呢
[28:14] 有时候我们要看的
[28:14] 不是AI会不会泡沫
[28:15] AI具体泡沫有一段时间
[28:17] 看起来算力是完全不够的
[28:18] 算力不够很难泡沫破灭
[28:20] 但是谁有钱能够撑到泡沫
[28:22] 变成基础建设
[28:24] 这件事情就很重要
[28:25] 因为如果接下来钱投光了
[28:27] 那压力就很大了
[28:28] 那等同于电力也不够
[28:30] 机体也不够
[28:31] 估值就被迫回调
[28:32] 所以就变成了
[28:33] 在本人的AI浪潮当中
[28:34] 它就变成了
[28:35] 由于钱短期内花光
[28:37] 所造成的被迫性的估值回调
[28:39] 等待下一轮的龙井
[28:41] 给投资朋友做些思考
[28:42] 好 当九点钟
[28:43] 台股下跌279点
[28:45] 收在45397点
[28:47] 那每个礼拜五
[28:48] 我们都会跟投资朋友
[28:49] 导读一本书
[28:50] 希望大家从不同的观念
[28:52] 和资料当中
[28:53] 获取更多的思维
[28:54] 今天介绍的这本书
[28:56] 非常有意思
[28:57] 叫做黄金师的金钱大冒险
[29:00] 我在异世界的浅钱升级任务
[29:03] 的确了
[29:04] 这本书是一个漫画书
[29:06] 而且非常蛮有意思的
[29:08] 这个书是日本的作者
[29:11] 财富自由大学校长所写
[29:13] 他是非常受欢迎的YouTuber
[29:15] 那里头当中
[29:16] 其实就是给小孩子看的
[29:18] 我觉得给小孩看的话
[29:20] 一口气读完
[29:21] 中学生避免知道如何被诈骗
[29:24] 上班族看这个也没有不行
[29:26] 但是稍微比较幼稚一点
[29:29] 不过还是蛮精彩的
[29:31] 为什么我们这样讲
[29:32] 有时候大家知道我们
[29:34] 其实节目蛮多高中生朋友在看
[29:37] 我也不知道为什么
[29:37] 其实我们不建议18岁以下收看
[29:40] 但刚满18岁可以
[29:41] 经常收听我们每日的直播节目
[29:44] 很多是怎么样
[29:45] 我问他们
[29:45] 他说因为我爸妈在看
[29:47] 有时候我就会跟着听
[29:49] 有时候我爸妈会突然把收音机转掉
[29:52] 或者把podcast突然关掉
[29:55] 我就很好奇到底讲了什么
[29:56] 所以我就私底下去听这样子
[29:58] 我说那不好了
[29:59] 最后还是等18岁
[30:00] 但是我们相信
[30:01] 有时候这就是最好的财商教育
[30:03] 孩子在出生的时候
[30:05] 父母会在孩子身上
[30:06] 看到无数的可能性
[30:08] 会给孩子很多的无限想象和期望
[30:11] 这也是为什么很多父母
[30:12] 包括我爸妈
[30:13] 小时候会给孩子抱很多不同的才艺班
[30:15] 期待小孩子能够成大事
[30:17] 但是有时候这种过高的想象和期待
[30:20] 对孩子也不是很公平
[30:21] 我们自身就有那样的缺点
[30:23] 凭什么要求孩子要事事完美呢
[30:25] 我们没有出国留学
[30:26] 为什么孩子一定要顶校
[30:27] 我们是身无所长的平凡人
[30:30] 为什么孩子就一定要卓越呢
[30:33] 所以我们要先有一个宏观上
[30:35] 统计上的认知
[30:36] 这个世界99%的人都是普通人
[30:39] 大多数的人都不会富甲天下
[30:41] 也不会成为社会名人
[30:43] 更不会被写进史书
[30:44] 我们这一代人如此
[30:45] 下一代人也不会改变
[30:47] 你现在最烦恼的
[30:48] 有很高的几率
[30:49] 也是你小孩子长大之后
[30:51] 最烦恼的事情
[30:52] 那你想想看
[30:53] 我们现在最烦恼什么
[30:54] 那缺钱嘛
[30:55] 缺钱
[30:55] 所以几十年以后
[30:56] 我们的小孩子
[30:58] 有很高的几率
[30:59] 跟我们一模一样
[31:00] 每天就筹钱
[31:01] 所以有时候
[31:02] 我们抛开这一切的空想
[31:03] 你把孩子当成一个平凡人来看
[31:05] 他需要的是学一个乐器吗
[31:08] 考上多好的学校
[31:08] 他有兴趣就是学没有问题
[31:10] 但他最需要的是什么
[31:11] 财商教育
[31:13] 所以欢迎你把这本书
[31:15] 买给自己的小孩
[31:16] 让他从漫画的世界
[31:17] 一本一本
[31:18] 一句一句的了解
[31:20] 整个财商的背景
[31:21] 这个就是学校教育
[31:23] 空白的一块
[31:23] 反过来说
[31:25] 如果同龄人都缺乏财商教育
[31:27] 但很会弹钢琴
[31:28] 很会拉小提琴
[31:29] 你的小孩子
[31:30] 从小就听财经号角直播
[31:32] 那在同年龄人的竞赛当中
[31:35] 他的幽默感就
[31:37] 应在起泡点身上
[31:38] 财商教育
[31:39] 财商教育
[31:40] 所以财商教育的核心模型
[31:41] 是什么
[31:42] 这本书
[31:42] 其实就讲两件事情
[31:43] 延迟消费
[31:45] 富力投资
[31:46] 越早控制自己的性冲动
[31:49] 不是消费冲动
[31:50] 做到延迟满足
[31:52] 很多父母自己
[31:53] 都做不到延迟满足
[31:54] 尽早富力投资
[31:55] 今后比起同龄人
[31:57] 他在财富的领先幅度
[31:59] 就会来得越来越大
[32:00] 所以我们还是要宣传一下
[32:02] 明天就是我们财经号角
[32:03] 第三届听友会
[32:04] 或者大家对于我们的汇运系统
[32:06] 有更多兴趣的话
[32:07] 也可以来一起参与
[32:08] 来迎向财富独立之路
[32:10] 其实财商教育一直都是很重要的
[32:13] 有时候我们其实这些观念
[32:15] 一点就通
[32:16] 但是有时候是四五十岁
[32:17] 才通了这个概念
[32:19] 有时候错过了很多投入的机会
[32:21] 压力就很大了
[32:22] 我们今天主要是跟投资朋友
[32:23] 稍微梳理一下
[32:24] 一方面我们看到
[32:26] 在近期博通联发科的市占变化
[32:29] 台积电股东会当中
[32:31] 所透出的半导体的意涵
[32:32] 一直到现在四大CCS毕业者
[32:35] 在明年资本支出
[32:36] 可能年增幅即将遞还的现实
[32:38] 那了解我们其实在AI时代当中
[32:41] 并不是那种全面性的爆发
[32:43] 而是在资金链和投资效率当中
[32:46] 尝试的取得平衡
[32:47] 且看且走
[32:49] 正由于我们现在
[32:50] 是处于且看且走的心态
[32:52] 那你说这个泡沫到底有放多大呢
[32:54] 从本益比看
[32:55] 它甚至比今年年初还便宜
[32:57] 用不同角度
[32:58] 不同思维
[33:00] 财商教育提供给投资朋友
[33:02] 如果有项目节目
[33:02] 记得帮我们订阅
[33:04] 按赞加分享
[33:05] 我们就礼拜一早上八点半
[33:07] 早晨财经四节图再相见
[33:09] 祝各位投资朋友
[33:10] 看盘顺利
[33:11] 早晚愉快
[33:11] 拜拜
