[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 那STARK指数上涨1.2%
[25:28] 慢慢的孕育出来
[25:30] 与此同时
[25:30] 看看是否有弯腰捡钻石的机会
[25:33] 这是我的看法
[25:34] 所以很多人以为事情很快就可以搞定了
[25:37] 其实是忽略了时间成本的概念
[25:39] 之前不是看一个小说
[25:42] 美国不是派去苏联的女特务回国
[25:46] 还跟上司报告
[25:48] 我申请了敌方降临的孩子
[25:51] 上级说太好了太好了
[25:53] 赶快把那孩子带来见我
[25:55] 女特务说不行
[25:56] 还要再等十个月
[25:57] 有时候我们讲说
[26:00] 太多人在投资的过程当中
[26:02] 会低估时间成本
[26:03] 以为一场中东危机
[26:05] 或者一场GTC大会
[26:07] 无法引起热情
[26:08] 就已经定调了市场
[26:09] 其实大部分时间
[26:10] 它都是在怀疑中持续成长的
[26:13] 在这样的状态底下
[26:14] 反而市场上有涨有跌
[26:16] 才有投资空间
[26:17] 什么都涨什么都跌
[26:19] 反而决策就更加困难了
[26:21] 什么都涨反而更困难了
[26:22] 什么都跌
[26:23] 你当然知道
[26:24] 最吸引人的永远都是公司
[26:26] 企业的长期的获利拉伸
[26:28] 所以股票永远都是最吸引人的
[26:30] 但什么都涨的时候压力就很大
[26:31] 过去两年就是如此
[26:33] 现在好不容易有开始
[26:34] 资产再平衡的空间存在
[26:36] 虽然跌幅也不是特别大
[26:37] 但反而就有更多的空间了
[26:39] 有时候长期投资
[26:40] 关键的在于耐心和坚持
[26:43] 市场总是留给
[26:44] 愿意等待机会的人
[26:45] 那现在机会终于慢慢出现了
[26:47] 如果你不在车上
[26:49] 以后也不会在车上
[26:50] 因为市场不等人
[26:51] 犹豫只会让你错过成长的列车
[26:54] 如果你已经在车上
[26:55] 你大概还是有很多资产
[26:57] 获利持续奔跑的
[26:58] 给时间空间
[26:59] 让富力发挥它的威力
[27:01] 如果你觉得报酬不太够
[27:02] 那就待得更久一点
[27:04] 时间会为坚持的人
[27:06] 带来丰沛的回报
[27:08] 你现在没有的
[27:09] 以后都会有
[27:10] 那海滩上
[27:11] 小孩子
[27:12] 光着身体玩乐
[27:14] 那小女孩突然一阵伤心
[27:16] 你这一根是什么
[27:18] 为什么我没有
[27:19] 男生说
[27:20] 我妈妈说
[27:21] 这一根只有男生才有
[27:22] 哈哈你没有吧
[27:23] 那女孩回去跟妈妈哭诉
[27:25] 我也想要有
[27:26] 妈妈说
[27:27] 放心
[27:28] 等你长大以后
[27:30] 那个东西
[27:31] 你想要有几根就有几根
[27:32] 时间会为坚持的人带来丰沛的回报
[27:37] 你现在没有的
[27:38] 以后都会有
[27:38] 你反而要注意的是
[27:40] 你怕你没有机会持有
[27:42] 你怕你没有机会参与他的空间
[27:45] 这非常重要的
[27:46] 事实上我们看
[27:47] 市场上资赛变得如此谨慎
[27:49] 还是有几个原因
[27:50] 另外一个原因
[27:51] 其实就是私人信贷部门
[27:53] 在整体资金链提供的过程当中
[27:56] 大家会无形当中进行估值的削减
[27:59] 我们看这一次
[28:00] Michael Hennig
[28:01] 也是美国的美银的银行策略师
[28:03] 这一次其实有特别提到
[28:05] 市场环境在07年跟08年的金融前夕
[28:09] 越来越相似
[28:10] 但又没有到这么严重
[28:11] 简单来讲
[28:12] 它是用两层的数据去进行交叠的
[28:15] 当年的油价是从70每桶
[28:18] 一直飙到140
[28:19] 飙了一整倍
[28:20] 大概07年底到08年初
[28:23] 同时间次贷危机
[28:24] 当时就已经慢慢开始恶化了
[28:25] 最终引发雷曼兄弟的倒闭
[28:28] 现在市场上又同时面临两个风险
[28:30] 有点像
[28:30] 一个是中东冲突
[28:32] 你也不确定
[28:33] 油价是不是一定会
[28:34] 马上回调到80
[28:35] 搞不好又来一场意外
[28:37] 结果又重新往上飙了
[28:38] 另外一面是私人信贷
[28:40] 开始出现了流动性压力
[28:42] 哈奈特认为
[28:43] 油价上升
[28:44] 现在正在收紧金融条件
[28:46] 市场针对降息的预期快速降温
[28:48] 所以本来年底要包给你红包的
[28:50] 现在我认为可能包不到了
[28:52] 所以我要进行一些估值调整
[28:54] 第二是银行体系
[28:56] 因为私人信贷的泡沫
[28:57] 出现一些问题
[28:58] 华尔街和实质经济之间的桥梁
[29:01] 可能就被剥削
[29:01] 那最后呢
[29:02] 变成那么多人要急着上市
[29:05] 那么多人要进行股权的再融资
[29:08] 结果到年底
[29:09] 你发现私人信贷无法提供你资金了
[29:12] 这个时候压力就很大了
[29:13] 事实上如果我们仔细观察
[29:15] 从今年一季度开始
[29:16] 的确很多资深投资人
[29:18] 开始大决的从大型私人信贷基金来撤资
[29:22] 金额已经超过了100美元
[29:23] 其实这些数据有都不好来做追踪
[29:26] 原因在于私人信贷
[29:27] 他不用向SEC证监会来做主动提供
[29:31] 也就代表着
[29:32] 私人信贷到底现在爆雷幅度有多大
[29:34] 大多数人其实并不知道的
[29:36] 只能从一些公开上流通上的数据来做追踪
[29:39] 那面对这一波的赎回潮
[29:41] 很多资产管理公司也不得不限制提款
[29:44] 目前大概只同意支付约七成的赎回申请
[29:47] 那这些基金很多
[29:48] 包括黑石
[29:49] 贝莱德
[29:50] 大摩
[29:51] 这些华尔街的巨头
[29:52] 那未来几周内
[29:54] 看起来也有进一步投资人撤资的情况
[29:57] 赎回资金现在已经高达1661
[30:00] 大概占整个1.5兆美元的
[30:03] 直接放在市场
[30:04] 还是一小部分
[30:05] 可是这么高强度的赎回
[30:07] 总会让人家担心
[30:08] 你怎么会在AI重资本投入
[30:11] 刚要开始的时候
[30:12] 有这么大规模的资金赎回
[30:14] 是不是私募资本危机
[30:16] 已经出现了某种情况
[30:18] 根据顾问公司资料
[30:19] 现在全球大概私募基金
[30:21] 还是有接近4兆美元的投资资产
[30:24] 还没有出售
[30:25] 许多基金为了要回报投资人
[30:27] 它反而是透过二级市场
[30:29] 或者延长基金的期限来分配资金
[30:31] 那同时间利率还在高位
[30:33] 让很多企业的偿债压力是很沉重
[30:36] 所以部分借款人
[30:37] 他甚至是以再复习的方式
[30:39] 来延后现金利息的支出
[30:41] 所以这样的一个下口底下
[30:42] 等同于可能会有新一波的企业重整
[30:45] 或者违约机会刚刚的浮现
[30:47] 我们看私人信贷股
[30:49] 最近几只股票的跌幅就看得出来
[30:51] 这很明显就是有人爆雷
[30:54] 但不确定是哪一家
[30:55] 先卖再说
[30:56] 平均跌幅跌3成5
[30:58] 跌得比软铁股还重
[30:59] 这件事情其实也意味着
[31:01] 投资人正在产生新一轮的定价
[31:03] 好台股开盘上涨489点
[31:06] 收在33832点
[31:08] 整体来看
[31:09] 我们今天要讲的就是
[31:10] 市场上期进入一个
[31:12] 比较关键的转折点
[31:13] 短期的利多
[31:14] 它可以推动反弹
[31:16] 但是已经很难推动估值全面扩张
[31:18] 油价的回落
[31:19] 的确让市场稍微喘一口气
[31:22] 可是战争的风险也没有完全消失
[31:24] AI的题材还在扩大
[31:26] GTC大会又开始了
[31:28] 可是资金现在要求更真实的回报
[31:30] 并不是单纯去买未来
[31:32] 更重要的事情是
[31:33] 现在黄金和债券
[31:34] 也没有那个避险功用
[31:35] 好像大家也不是特别紧张
[31:37] 反而大家就是
[31:38] 事情没有那么严重
[31:40] 可是我担心更多的是通膨和流动性
[31:42] 并不是战争会危及到全球经济
[31:44] 在这样效果底下
[31:46] 整个行动
[31:46] 它就变得更加结构化
[31:48] 资金快速的流入到那些
[31:51] 能够撑住现金流和产业地位的公司
[31:53] 同时远离那些依赖叙事
[31:56] 或者杠杆的资产
[31:57] 甚至那些私人信贷
[31:59] 不懂的
[32:00] 先测再说吧
[32:01] 换句话说
[32:02] 这一波已经从原本的AI梦
[32:04] 走向AI现实了
[32:06] 也给投资朋友做新一轮的思考
[32:08] 就03分
[32:09] 如果喜欢我们节目
[32:09] 记得帮我们订阅按赞加分享
[32:11] 我们就明天早上半半
[32:12] 早晨财经速点读
[32:13] 再相见
[32:13] 祝各位投资朋友
[32:14] 看完顺利
[32:15] 插板愉快
