[00:00] 投资变化 欢迎收听早晨财经速解读
[00:02] 现在是台北时间2026年7月23号礼拜四
[25:24] Kimi的杨芷琳
[25:25] 她才1992年出生
[25:27] 34岁而已
[25:28] 广东扇头状元
[25:30] 也是宝送清华
[25:31] 智普AI的唐杰
[25:33] 稍微老一点的
[25:34] 49岁
[25:34] 他是燕山大学
[25:36] MiniMax的严俊杰
[25:37] 1989年出生
[25:39] 才37岁
[25:40] 现在全中国最顶级的AI模型
[25:43] 就是由这一批新一代的New Reach来发布
[25:47] 都是学术派
[25:48] 所以可以看得出来
[25:49] 美中之间的AI模型竞争
[25:51] 到底是好事还坏事呢
[25:53] 我觉得反而是好事
[25:55] 至少对于消费者而言
[25:56] 它肯定是好事
[25:57] 对于台厂而言
[25:58] 当然还是有区分
[25:59] 模型的好坏
[26:01] 最后还是取决于背后供应链的板块
[26:03] 当然还是希望
[26:04] 美国下的订单多一点
[26:05] 因为目前看起来
[26:07] 中方所下的订单
[26:09] 很明显不如美方
[26:10] 能够下的订单来得多
[26:12] 如果我们要保持同样的成长动力
[26:13] 希望能够获得更多美国公司的订单
[26:16] 可是已经慢慢看得出来
[26:18] 中国AI公司和美国AI巨头之间
[26:21] 极大的研发成本的差距
[26:23] 我们根据UBS的资料
[26:24] OpenAI在25年的研发支出
[26:27] 大概是90亿美元
[26:28] Enthropy大概是40亿美元
[26:30] 那中国的MiniMax和智普
[26:32] 分别只有2.5亿和4.7亿
[26:36] 这个投资规模真的不到OpenAI的十分之一
[26:40] 即便考虑统计的口径不同
[26:43] 中国AI公司仍然是在远低于美国同业的资金投入下
[26:47] 逐步追进模型能力的表现
[26:50] 所以这件事情就意味着
[26:51] AI的叶子
[26:52] 现在至少在东南亚和中国市场当中
[26:55] 已经开始做大力推行低精度运算
[26:58] 比如说你像是辉达B200架构
[27:01] 从FP16降到FP8
[27:03] 运算吞吐量
[27:04] 基本上反而能够因此而快速提高
[27:07] 中国AI公司就拥抱这项模式
[27:09] 我们看很清楚知道
[27:11] 几乎每降低一个精度的等级
[27:13] 效能就能够翻倍
[27:15] 就代表相同的GPU数量下
[27:17] 你只要维持模型的准确度
[27:19] 藉由软体的改善
[27:20] 就能够大幅降低训练时间
[27:22] 和算力成本
[27:23] 那当然你说
[27:24] 他会征溜我
[27:25] 那你可以回过头来去征溜他
[27:28] 反正大家都比最后的成本
[27:30] 成本本身也是一种优势
[27:32] 那谁能够把成本下压得过快
[27:34] 也是一种能力
[27:35] 所以我们才讲说
[27:36] 最后看好AI跟接受价格战
[27:40] 其实也不互相冲突
[27:42] 很多人说
[27:42] 我如果接受中国持续这样子搞
[27:46] 那AI巨头总有一天估值被中国拖垮
[27:49] 这是一种角度
[27:50] 可是最后我觉得看好AI跟接受价格战不冲突
[27:54] 很多人觉得模型越便宜
[27:56] AI就没有价值了
[27:57] 但有没有可能它反而创造
[27:59] 更多人愿意开始使用AI
[28:01] 原本中小型企业都觉得AI那么贵
[28:03] 谁要去做地端使用
[28:04] 现在也开始愿意做部署的话
[28:06] 历史上真正创造巨大市场的
[28:09] 往往并不是因为价格越高
[28:11] 是因为成本降低
[28:13] 就好像电脑
[28:14] 网路
[28:15] 云端业务一样
[28:16] 价格越低
[28:17] 使用者就越多
[28:18] 最终反而能够带动
[28:20] 整个产业的规模扩大
[28:22] 对投资人来说
[28:23] 你也不能只看到模型降价
[28:25] 你也要想象
[28:26] 思考谁会因为成本下降
[28:28] 而获得更多的需求
[28:30] 所以我觉得
[28:30] 看好AI跟接下来的AI价格战
[28:33] 其实也不互相冲突
[28:34] 前两周不是有台北成人展
[28:37] 然后我听说就有女优
[28:40] 收到私讯
[28:41] 难免有那种比较怪的性癖
[28:44] 问那个女优说
[28:45] 想要买你穿的那个内裤
[28:48] 不用原味
[28:49] 就穿过的旧内裤
[28:51] 能不能卖给我这样子
[28:52] 然后想请问售价
[28:53] 两三千块OK不OK
[28:55] 那女优很大方
[28:56] 说没问题
[28:57] 但是原味的不行
[29:00] 还要洗很麻烦
[29:01] 就直接穿完就给你就好了
[29:02] 那买方还说不行
[29:05] 我有洁癖
[29:06] 就是性癖和洁癖
[29:09] 有时候不互相冲突的
[29:11] 看好AI跟接受价格战
[29:13] 也不互相冲突
[29:14] 看好AI接受市场轮动
[29:17] 也不会冲突
[29:18] 因为AI浪潮
[29:19] 它也未必只有晶片公司会受惠
[29:22] 当算力逐渐变成商品化之后
[29:25] 获利重心
[29:26] 它也可以转向云端平台
[29:27] 企业软体
[29:28] AI应用
[29:30] 所以真正投资人
[29:31] 你不要把AI视为
[29:32] 永远一个单一产业
[29:34] 它是一个理解同一条产业链
[29:36] 临跑者会随着技术成熟
[29:38] 不断地更迭
[29:38] 所以我觉得看好的是什么
[29:40] 还是趋势
[29:41] 而并不是永远只拥有同一批股票
[29:44] 所以很多时候
[29:45] 信批跟洁批不冲突
[29:47] 看好AI跟接受AI价格战
[29:49] 它也不冲突
[29:50] 902分
[29:51] 台股上涨256点
[29:53] 收在45,082点
[29:55] 现在反而是台积电受沉压
[29:57] 开始其他类股
[29:58] 开始做显著轮动了
[30:00] 时间因素
[30:01] 日元的问题
[30:02] 我们就明年再聊
[30:03] 我们今天主要跟投资朋友
[30:05] 稍微分享
[30:05] 从Google的财报
[30:06] 和特撒的财报
[30:07] 它正好是两个极端
[30:09] 一个是财报
[30:10] 找出非常亮丽的表现
[30:11] 甚至告诉你
[30:12] 我营收开始回馈了
[30:13] 可是大家都盯着FCF
[30:15] 都只盯着自由现金流
[30:17] 那第二
[30:18] 如果财报差的
[30:19] 那市场上很明显
[30:20] 本益比又高的
[30:21] 那你要受到市场上
[30:23] 更进一步的提振效果
[30:24] 难度就有限了
[30:25] 它可以为未来来做定调
[30:27] 那我觉得等Meta财报公布之后
[30:31] 我们就有三种论调了
[30:33] 一个是财报很好的
[30:34] 但是自由现金流
[30:35] 在严重化的
[30:36] 第二种是财报表现还不错的
[30:38] 而且尽可能的把算力做出租
[30:40] 告诉你说我营收正在快速回馈
[30:42] 我不会花那么多钱
[30:43] 我钱都花在刀口上的
[30:44] 第三种是很有梦想的
[30:46] 要上太空上火星的
[30:48] 那市场会怎么评价
[30:49] 这三种的趋向
[30:51] 大概就可以为未来下半年的机器来做论调
[30:54] 那我觉得好事是什么
[30:56] 如果大家真的对于这些巨头
[30:58] 有这么大的担心
[30:59] 那你真的觉得现在是泡沫吗
[31:01] 因为现在股价也没跌多少
[31:02] 你觉得现在是泡沫
[31:03] 如果大家对于未来
[31:04] 有这么严格的标准的话
[31:06] 我认为那就不一定了
[31:07] 那回过头来说
[31:09] 接下来要解决这种资本支出过高的问题
[31:12] 我们当然知道
[31:13] 不可能永远投这么多的钱
[31:16] 因为钱是有限的
[31:18] 唯一能够做的就是
[31:19] 第一生产力立即爆发
[31:21] 这有点难度
[31:22] 你要一两年突然爆发有点难度
[31:24] 第二呢
[31:25] 钱花在刀口上
[31:27] 借由软体大圆模型的精进
[31:29] 让我花一样的钱
[31:31] 可以有更好的算力的体验
[31:33] 那第三种呢
[31:34] 就是大家由于成本的降低
[31:36] 更多人去使用
[31:37] AI了
[31:38] 更多人付订阅费了
[31:39] 撑起本人的繁荣
[31:40] 那最后还有一个终点
[31:42] 那你用了AI
[31:43] 你有达成你的生产力提升吗
[31:45] 有的话
[31:45] 你就会一直使用它
[31:47] 不断地使用它
[31:48] 整套产业链就循环起来了
[31:50] 这给投资朋友做一些思考
[31:52] 如果喜欢我们节目
[31:52] 记得帮我们订阅按赞加分享
[31:54] 我们就明天早上半点半
[31:55] 早晨财经思维节目再相见
[31:57] 祝各位投资朋友
[31:57] 开盘顺利
[31:58] 操盘愉快
