[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 2.94%
[26:21] 所以很多人都意识到
[26:22] 那种长得太帅的
[26:23] 通常都要小心
[26:24] 因为你会让女生为他做牛做马
[26:27] 脾气很差
[26:28] 吃软饭
[26:30] 非常自私
[26:31] 但是后来那个渣男
[26:33] 就慢慢慢慢变成那种工程师
[26:35] 要不然就金龙男
[26:37] 就真正的渣男
[26:38] 金龙圈就是经典
[26:40] 金龙圈就怎样
[26:41] 就每个都穿个西装打个领带
[26:43] 感觉好像对社会有益无害
[26:45] 长得干干净净的
[26:47] 戴一个黑框眼镜
[26:49] 也没有长得特别帅
[26:50] 但是蛮有钱的
[26:52] 有点才华
[26:54] 口条还不错
[26:55] 讲讲笑话
[26:56] 因为他吸引女孩子的地方
[26:59] 根本就不在于脸
[27:00] 或者那个酷酷的个性
[27:02] 他吸引别人的地方就在于
[27:04] 他感觉无害
[27:05] 中庸
[27:06] 根据我的经验
[27:08] 最渣的就是这种人
[27:10] 渣就是你绝对想不到的
[27:12] 有时候是工程师
[27:14] 看起来最呆板
[27:15] 穿个格子衬衫
[27:16] 感觉无害
[27:17] 这种人其实也很渣
[27:18] 穿个西装
[27:19] 感觉讲话很得体
[27:21] 好像长年都保持着自律的稳定
[27:27] 感觉这种好让人心情愉悦
[27:29] 这种最渣
[27:31] 我不是说我
[27:32] 以前看到一句话
[27:33] 很多女孩子想要的只有渣男能给
[27:36] 很多男人想要的只有绿茶能给
[27:39] 全人类想要的只有片子能给
[27:42] 所以要小心
[27:43] 片子越来越多了
[27:44] 现在女生的理想型
[27:46] 一个是工程师
[27:47] 一个是金融男
[27:48] 都要特别小心
[27:49] 好不好
[27:50] 都要特别小心
[27:50] 好那当然了
[27:52] 九点钟
[27:52] 看一下台北国事
[27:53] 小蝶七十五点
[27:54] 刚才我们跟投资朋友提到
[27:56] 的确市场上的概况
[27:58] 比较集中在
[27:59] 在科技业的带动之后
[28:01] 所形成的金融的扩张
[28:03] 但台湾市场
[28:04] 现在所面临
[28:05] 更大的一个挑战是什么呢
[28:06] 由于内生经济
[28:08] 连传产都有点被带动了
[28:10] 所以这一次通膨数据
[28:12] 的确开始有所飙高
[28:13] 我们看到最近已经来到2.54%
[28:16] 虽然比6月份稍微降温
[28:18] 不过已经连续三个月
[28:19] 高于2%的通膨警戒线了
[28:22] 以前台湾在整个东亚经济体
[28:24] 通膨是偏低的
[28:26] 大概就仅次于中国市场了
[28:28] 结果现在台湾通膨比香港高
[28:30] 比新加坡高
[28:31] 比日本高
[28:31] 通膨压力是真的开始有点慢慢增长
[28:34] 虽然2.59跟美国比
[28:35] 那还是有一段差距
[28:36] 但是我们也知道
[28:37] 自己已经是在台湾
[28:39] 做高强度补贴的情况下了
[28:41] 台湾的台电成本
[28:42] 现在在26年上半年
[28:44] 已经亏了257亿
[28:46] 你就知道它补贴多少了
[28:47] 去年好不容易翻证
[28:49] 那今年我们知道
[28:50] 到现在油价都还在补贴
[28:52] 那包括我们也清楚知道
[28:55] 如果真的要打平今年亏损
[28:57] 电价要涨7.3%
[28:58] 那肯定在11月以前
[29:00] 不可能有任何电价上涨的机会
[29:02] 所以我们才讲说
[29:03] 这种已经看到的数据
[29:05] 是已经进行电力通膨抑制了
[29:07] 那如果下半年真的开始解封了
[29:10] 台电不做补贴了
[29:11] 开始适度调涨定价
[29:13] 那会不会持续往下游来转价
[29:15] 是有可能的
[29:16] 所以台湾央行内部的
[29:18] 这一次的李建石会议的报告
[29:19] 两位理事是主张
[29:21] 现在就是立即需要升息的时刻
[29:23] 一方面打压股票市场情绪
[29:26] 另外一方面把通膨进行抑制
[29:28] 那另外一方面
[29:29] 的确市场也在投票
[29:31] 预估台湾央行即将升息
[29:33] 我们看最近台湾公债殖利率
[29:35] 已经冲上了20年的新高
[29:37] 市场开始压住央行的升息几率
[29:40] 这一次10年级公债殖利率
[29:41] 已经来到1.82%左右了
[29:45] 这其实是2008年以来的新高
[29:47] 那主要就是因为
[29:48] 7月底20年期公债殖利率的
[29:50] 标售利率
[29:51] 冲高到2.2%
[29:52] 常在卖压
[29:54] 把整条殖利率曲线做传导了
[29:56] 那当然
[29:57] 这其实背后的原因
[29:59] 一方面是AI行情
[30:00] 推升台股和资金需求
[30:02] 加上央行又很明显的
[30:04] 去抑制台币的贬值
[30:05] 所以收紧流动性
[30:06] 那市场预估
[30:07] 那你想要一举歼灭
[30:08] 那最好的方式就是升息了
[30:10] 所以升息最影响的是什么呢
[30:12] 当然就是房地产市场的概况
[30:14] 我们稍晚再聊
[30:15] 清安3.0的迹象
[30:17] 但是房地产市场
[30:18] 对于利率市场
[30:19] 还是比较敏感的
[30:20] 而且它已经疲惫很久了
[30:21] 尤其六都上半年的交易量
[30:23] 也创下了九年来的新低
[30:25] 所以市场的沉压始终存在
[30:28] 好
[30:28] 那我们就过几天
[30:29] 稍晚来聊一下
[30:30] 整个房地产市场概况
[30:32] 在清安3.0的推出以后
[30:34] 它到底是否为
[30:35] 更进一步的刺激政策
[30:37] 还是我们看到有进一步
[30:38] 反而引得市场上
[30:41] 股市资金相对成交量
[30:43] 倒下来以后
[30:43] 转往房市的可能性
[30:45] 但我们今天聊的范围
[30:46] 稍微比较广一点
[30:47] 主要是跟投资朋友
[30:48] 稍微去思考
[30:49] 我们从行情一步一步
[30:51] 看到现在
[30:51] 美国股市本来在涨高以后
[30:54] 要重新做乖离回调
[30:55] 或者做修正
[30:56] 可是现在市场的重点在于
[30:58] 自由现金流多快可以翻证
[31:00] 一旦在28年29年翻证以后
[31:03] 真正大条的资本支出
[31:05] 才会到来
[31:05] 所以我们大概有
[31:06] 一到两年的时间
[31:08] 可以让出口持续进入到上升循环
[31:10] 然后做一年期的检视
[31:12] 看一下营收的回馈表现为何
[31:14] 再来往下一波的资本支出来做推送
[31:16] 而台湾市场在本轮的荣景当中
[31:18] 一方面的确稳稳抓住了
[31:20] 本轮的AI半导体行情
[31:22] 所以外汇收入进来的速度很快
[31:24] 那外资的影响到底大不大呢
[31:26] 我觉得就很明显了
[31:27] 那第二件事情
[31:28] 在资金不断的涌入情况底下
[31:30] 金融业的蓬勃发展
[31:32] 也导致了整个社会观念的改变
[31:34] 最后形成现在的结果
[31:36] 那副作用当然就是
[31:37] 没有参与到这个产业的人
[31:39] 还有对于通膨敏感度比较大的人
[31:41] 都会因此受到影响
[31:43] 这也是未来我们面对更大的挑战
[31:45] 别给投资朋友做一些观察
[31:47] 如果喜欢我们的节目
[31:47] 记得帮我们订阅按赞加分享
[31:49] 我们就明天早上八点半
[31:50] 早晨财经速点读再相见
[31:52] 祝各位投资朋友看盘顺利
[31:53] 操盘愉快
