[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 現在唯一能夠賺錢的
[25:24] 你不要以為靠投資
[25:26] 或者以後靠AI
[25:27] 就可以一輩子不愁吃穿
[25:29] 你沒有本業收入
[25:31] 怎麼會有錢加碼呢
[25:33] 這支影片是上禮拜播出的
[25:35] 剛好就是重疊那一天
[25:38] 其實這一次回答
[25:39] 我是有傷到沒錯
[25:40] 但好歹我也算是一個學徒
[25:43] 就算股市大賠
[25:44] 也有底氣去賺回來
[25:47] 雖然當天心情比較差
[25:49] 表情嚴肅一點是沒錯了
[25:51] 但這件事情就告訴我們
[25:52] 財務獨立這個目標是很重要
[25:54] 但財務自信是更重要的
[25:57] 很多人他把財務獨立
[25:58] 當成一個終極目標
[26:00] 但你要知道
[26:01] 股市上上下下
[26:03] 起起伏伏
[26:03] 也許有一天
[26:05] 你的資產灰飛煙滅
[26:07] 它不一定是因為
[26:08] 股市崩盤的原因
[26:09] 有可能是地緣政治問題
[26:11] 有可能是個人的生涯規劃
[26:13] 有可能是離婚了
[26:14] 有可能是公司破產了
[26:16] 但是為什麼我們講說
[26:17] 財務自信更重要
[26:18] 那就是財務獨立
[26:20] 是讓我們能夠有穩健的資產增值
[26:23] 讓我們去做自己想要做的工作
[26:24] 財務自信是
[26:25] 如果有一天
[26:27] 不好意思
[26:28] 人生並非一帆風順
[26:30] 有一天風風雨雨來了
[26:32] 你發現你一無所有
[26:34] 之前累積的資產
[26:36] 一夕之間灰飛煙滅
[26:38] 但是你有財務自信
[26:39] 你知道
[26:40] 現在我再回去工作
[26:41] 我一樣可以把錢給賺回來
[26:43] 我一樣可以握手時
[26:45] 一個一個把錢給賺回來
[26:47] 這件事情是很重要的
[26:50] 給投資朋友做一些思考
[26:51] 其實我們講說
[26:52] 這個AI和過去的創新
[26:54] 的確不太一樣
[26:55] 它能夠加速創新
[26:56] 甚至直接成為創新本身
[26:58] 但如果真是如此
[27:00] 退休存錢這件事情會不會消失呢
[27:02] 我們在上一次的專題影片
[27:04] 會員影片大家有興趣的話
[27:05] 可以來看
[27:06] 退休存錢這件事情
[27:08] 其實仍然不會消失
[27:09] 如果假設AI找到了一個解決癌症的解法
[27:13] 人類會活得更久
[27:15] 那其實代表什麼
[27:16] 代表的是退休年數會拉得夠長
[27:18] 到時候你就撐得從70歲活到80歲
[27:21] 活到習主席講的150歲了
[27:23] 那有人說
[27:25] 那你可以讓機器人來照顧老人
[27:27] 那一樣
[27:27] 你的飲食的開銷
[27:29] 你的生活的開銷仍然會存在
[27:31] 所以這就意味著退休年數拉得更長
[27:34] 你需要支撐生活的資金反而更多了
[27:37] 現在所需要的退休資金
[27:39] 因為AI的發生
[27:40] 股市的大漲
[27:41] 很有可能你需要更多的資金
[27:44] 才能夠應對你的退休生活
[27:46] 這件事情
[27:46] 其實也是奠定著
[27:48] 我們整個AI新時代
[27:49] 人類命運的基礎
[27:51] 大家意識到這件事情
[27:52] 就要了解說
[27:53] 如何打造自己本業收入的護城河
[27:56] 你壽司怎麼可能被取代
[27:57] 搞不好會被取代
[27:58] 但是人性服務業
[28:01] 它的某些精髓是不會被取代的
[28:04] 好 後續我們來觀察
[28:05] 當然有更多的這種
[28:07] AI的新一輪的合作
[28:09] 陸續的推出
[28:09] 也在造福這個社會
[28:11] 總體而言它還是好的
[28:12] 只是沒有我們想象中這麼浮誇
[28:14] 據來說
[28:15] 最近比爾蓋茨也吸手了OpenAI
[28:17] 把AI送進非洲的基層醫療
[28:20] 這次比爾蓋茨基金會
[28:22] 宣佈投入5000萬美元
[28:24] 計劃在2028年之前
[28:25] 把AI工具匯入到
[28:27] 盧安達等非洲1000個基層診所
[28:29] 緩解長期醫護人力不足的問題
[28:32] 它就是一個對於市場世界的回饋
[28:35] 當然AI醫療現場也伴隨不少爭議
[28:37] 很多AI醫療
[28:39] 它的幻覺問題
[28:40] 病患的隱私問題
[28:42] 女性少數族群的不公平結果
[28:44] 都可能成為高風險問題
[28:46] 尤其非洲語言
[28:47] 雖然資料是以英文為主
[28:50] 可是語言其實也蠻多元的
[28:52] 在種種效果底下
[28:53] 如何依照情境來逐步調整
[28:55] 那比爾蓋茨基金會是願意出錢
[28:57] OpenAI來提供技術
[28:59] 那當然了
[29:00] 有些人說他沒有資格
[29:01] 沒錯
[29:01] 這次那個愛博士談檔案
[29:03] 的確讓我對於比爾蓋茨刮目相看
[29:07] 不是
[29:07] 有另類的思考
[29:09] 所以上次我們聊過
[29:12] 我從知道這件事情以後
[29:14] 我已經開始做抵制了
[29:15] 我現在先抵制小畫家
[29:17] 等到我能夠找到
[29:19] 取代PowerPoint的工具
[29:20] 我到時候也抵制PowerPoint
[29:22] 這種事情應該要抵制
[29:23] 給投資朋友做一些
[29:25] 另外一層的思考
[29:26] 當然
[29:27] 後續對於就業的衝擊等等
[29:28] 有些資料我們來不及講
[29:30] 我們就稍晚再跟投資朋友
[29:32] 做更進一步的追蹤
[29:33] 臺股下跌216點
[29:35] 刷31978點
[29:37] 今天聊的範圍雖然很廣
[29:39] 但主題其實就是貫穿
[29:40] 到底軟硬體股的脫鉤
[29:43] 它背後所呈現的資本輪動為何
[29:45] 第一個結論
[29:46] 是科技股正在軟硬體脫鉤
[29:48] 對投資人來說
[29:49] 七巨頭還是有吸引力的
[29:50] 但對於單一公司來說
[29:52] 風險看起來更為高度集中
[29:54] 也不是說
[29:55] 你光是買科技股分散的問題
[29:58] 而是軟體股的淘沙
[30:00] 已經開始出現了
[30:01] 這種商業模式的被重新定價
[30:03] 尤其是中小型的軟體商
[30:04] 當Anthropic這種底層模型公司
[30:07] 他直接下場做垂直工具
[30:09] 市場就會把那些
[30:10] 以前那種訂閱很穩定
[30:12] 現金流很漂亮的那些軟體商
[30:14] 開始一系列的推翻
[30:16] 第二個結論是
[30:17] OpenAI和馬斯克體系的變化
[30:19] 正在把AI產業從模型比賽
[30:22] 推到那種帝國式的資本結構
[30:24] 現在搶錢比創新重要
[30:27] 新創固然重要
[30:28] 它是根本
[30:29] 可是缺錢的情況底下
[30:31] 如何在有限時間內
[30:33] 圈錢就很重要了
[30:34] 馬斯克把XAI
[30:37] 甚至平臺流量和算力的敘事
[30:39] 捆綁在一起
[30:40] 現在就變成跨產業的溢價
[30:43] 代價就是
[30:44] 這種估值其實更像是信仰之城了
[30:47] 反過來說
[30:48] OpenAI這邊如果有大單
[30:50] 有算力合約
[30:51] 有金流的迴圈被市場質疑
[30:52] 它的估值剛好又是單一企業最高的
[30:55] 當然就可能會做更進一步的回撥
[30:58] 第三個結論是
[30:59] AI的付諸用會讓市場
[31:01] 更像是一個政治市場
[31:03] 不管從工作到電價到電網到地方反彈
[31:07] 下一波的輪動來源
[31:09] 很有可能就是從電價上漲
[31:12] 變成通膨問題
[31:13] 變成選票題
[31:14] 到地方政府的壓力
[31:16] 到中期選舉的壓力
[31:17] 到川普的政策
[31:18] 工作面也一樣
[31:19] AI也不是造成全面失業
[31:21] 他會先把入門的職缺
[31:23] 和可以流程化的白領工作先給擠壓
[31:25] 讓社會對於科技股的容忍度下降
[31:28] 所以結論就很現實了
[31:29] 現在買股票不一定是壞時期
[31:32] 但是買錯型別的確會很痛
[31:34] 要麼就分散風險
[31:35] 對賭整個大盤
[31:37] 要麼那就是根據指數的極其高低
[31:39] 選擇資金部件的大小
[31:41] 但至少我們看到AI的龍井出現時
[31:44] 也伴隨著一定程度的傷害和副作用
[31:47] 而現在在2026年已經一一浮現
[31:49] 也給投資朋友多些思考
[31:51] 如果喜歡我們節目
[31:51] 記得幫我們訂閱按贊加分享
[31:52] 我們就明天早上八點半
[31:54] 早晨財經速解說再相見
[31:55] 祝各位投資朋友看盤順利
[31:57] 炒盤愉快
