[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 則是回落0.3%
[25:23] 第一金和招風金在矽谷
[25:25] 洛杉磯有合庫
[25:27] 易銀
[25:27] 兆豐
[25:28] 華南
[25:28] 永豐
[25:28] 玉山
[25:29] 臺灣金
[25:29] 那加州的部分
[25:31] 其他我們看到
[25:32] 有休斯頓第一金合庫金
[25:35] 紐約有中信第一兆豐合庫
[25:37] 兆豐已經很久了
[25:38] 不過這些事情
[25:39] 其實都彰顯著
[25:40] 整體金控業
[25:41] 順應著科技浪潮
[25:43] 到美國投資
[25:44] 已經成為市場主流趨勢
[25:46] 包括我們過去
[25:46] 所提到的建商也是如此
[25:48] 臺灣房地產
[25:49] 現在很慘
[25:49] 因為央行的緊縮
[25:51] 和地緣政治的陰霾底下
[25:53] 成交量已經探下九年新低
[25:55] 楊總裁今年看起來也沒打算放鬆
[25:57] 今年推出的新金剛2.0
[25:59] 看起來也不會比1.0來得更為市場提振效果
[26:03] 所以這些建商現在就手上錢一堆
[26:06] 可是也不敢在臺灣繼續蓋房子了
[26:08] 那該怎麼做呢
[26:09] 那就到國外去蓋房子吧
[26:11] 我們看像是馬來西亞的部分
[26:13] 亞新集團大陸建設
[26:15] 陸續在吉隆坡和馬六甲相關的飯店案
[26:18] 陸續開始推出
[26:19] 那其實這些建商學乖了
[26:21] 到海外也不一定是建造房子賣給別人
[26:24] 主要是看能不能長期發展
[26:27] 有的做超高大樓的shopping mall
[26:29] 有的是做飯店案
[26:30] 包括菲律賓
[26:31] 或者我們看到日本熊本的部分
[26:34] 維格汽車旅館集團
[26:35] 3D開發
[26:36] 清井林陸續到熊本開始購地
[26:39] 開始做不管是出租宅
[26:42] 還是酒店式的公寓
[26:43] 因為未來會有很多的工程師
[26:45] 商用旅客到日本熊本來做交流
[26:48] 美國的部分
[26:50] 不管是在舊金山
[26:51] 西雅圖
[26:51] 像大陸建設
[26:53] 全國建設
[26:53] 都開始陸續發展出出租公寓
[26:56] 賺取長期的收益
[26:57] 所以它不是一次性的
[26:58] 蓋完地之後賣掉
[26:59] 它現在都是在當地
[27:01] 想要成為長期的現金流
[27:03] 原因是什麼
[27:04] 原因就是因為
[27:05] 臺灣的房地產市場
[27:07] 現在不允許你繼續這樣子搞
[27:09] 那與此同時
[27:10] 它手上現金這幾年賺很多
[27:12] 所以種種效果
[27:13] 它都最後呈現了一個跡象
[27:15] 那就是臺灣企業之所以走出去
[27:17] 兩大層面
[27:18] 一個當然是政治型的壓力
[27:20] 另外一大層面
[27:21] 就是我們剛才看到
[27:22] 臺灣新生額的數量
[27:24] 去年只剩下10萬7812個
[27:27] 那預估在2026年就會跌破10萬人
[27:30] 跌破10萬人以後
[27:31] 我們再看看
[27:32] 這張圖表示臺灣這幾年的退休人數
[27:35] 2024年臺灣退休人數是11萬
[27:37] 現在臺灣的退休人數
[27:39] 比臺灣的出生人數還要來得多
[27:42] 這就足以彰顯的
[27:43] 如果一家企業的員工人數要越來越多
[27:46] 一家企業的市值體量要越來越大
[27:48] 他留在臺灣必死無疑
[27:51] 根本就找不到人
[27:52] 所以就被迫一定要向外延伸
[27:55] 這是一個你要讓估值不斷提升
[27:57] 被迫出去尋找人才的辦法
[28:00] 在這樣的一個效果底下
[28:01] 最終就變成一種跡象
[28:03] 就是面對資產價格的創高
[28:05] 新生兒人數的創低
[28:07] 你要麼就選擇內部的經濟體制的改革
[28:10] 另外一方面
[28:11] 那就是讓臺灣走向世界的必要投資
[28:15] 你像我們過去提過
[28:16] 新加坡政府在過去幾年
[28:19] 也是把國家推向國際舞臺的過程當中
[28:21] 也是很鼓勵自己本地人才
[28:23] 不斷向外走
[28:24] 我們太小了
[28:25] 你應該去美國唸書
[28:27] 你應該去美國系股學習一下
[28:29] 那最後呢
[28:30] 這些人才出去以後
[28:31] 他可能有機會
[28:32] 我們過去提過
[28:33] 帶一個美國老公回來
[28:35] 帶一個日本太太回來
[28:37] 也許帶一家美國的新創公司回來
[28:39] 帶一條供給鏈回來
[28:40] 為什麼
[28:41] 因為人真的是越來越少了
[28:43] 按照這個速度
[28:44] 對不對
[28:44] 我們在未來十年
[28:45] 可能看到新生兒不如一年
[28:47] 一年不如一年
[28:48] 那有可能有一天
[28:49] 新生個人數低於兩萬
[28:51] 那人數這麼少的情況底下
[28:53] 該怎麼辦呢
[28:54] 那就是每個小孩都是精英的
[28:55] 以後我們大概
[28:57] 我們的下一個世代
[28:58] 應該是每個小孩
[29:00] 都會有非常明顯的出國經驗
[29:03] 因為你從小就要跟世界各地的臺商打交道
[29:06] 被迫一定要走出去了
[29:08] 因為臺灣人實在是越來越少了
[29:10] 當然有其他方式
[29:11] 人口轉移或者移工的這種引進
[29:14] 用這樣的一個方式
[29:15] 來沖銷掉勞動力市場的衝擊
[29:17] 可是它最後會形成一種效果
[29:19] 那就是本國的消費市場
[29:21] 會越來越疲憊
[29:22] 但是本國的出口市場
[29:24] 會越來越大
[29:25] 這是一個長期
[29:26] 我們會觀察到的失職方向
[29:28] 我們今天聊的範圍稍微比較廣
[29:29] 臺北股市下跌299點
[29:31] 說在31340點
[29:33] 回到最後
[29:34] 我們今天聊的也不是多空
[29:35] 是在聊現實
[29:37] 在美國關稅地緣政治
[29:39] 和人口結構同步擠壓的年代
[29:42] 成長它不是一種理所當然
[29:44] 是一種必須要付出的代價
[29:46] 那美國科技巨頭能不能繼續走AI路徑呢
[29:49] 關鍵是從原本的花錢到花錢把伺服器的估值透測
[29:56] 估值過高以後
[29:57] 轉化成能不能撐住電力以及資本的長期壓力
[30:01] 在這樣效果底下
[30:02] 等同於我們看的就是
[30:04] 他能不能資本支出再進一步調高
[30:07] 我們的資本支出也可以跟著調高
[30:09] 這是第一大觀察重點
[30:10] 就七巨頭盤整期間價格越來越吸引人
[30:14] 但是資本支出必須要繼續擴張
[30:16] 如果資本支出也消失了
[30:18] 那就說明著大家開始保守了
[30:20] 那第二個方面是臺灣企業在怎麼接單
[30:23] 也不太可能只靠島內的人口
[30:25] 把規模給撐大
[30:26] 現在要開始出海搶市場了
[30:28] 搶人才了
[30:29] 已經不是選項
[30:30] 我們的小孩子被迫
[30:32] 那個年代一定要到處飛來飛去
[30:34] 因為本土根本就沒有足夠的員工
[30:37] 所以這是接下來的生存條件
[30:39] 給投資朋友做一些思考
[30:40] 那我們今天節目到這邊
[30:41] 如果喜歡我們的節目
[30:42] 記得幫我們訂閱按贊加分享
[30:43] 我們就明天早上8點半
[30:44] 早晨財經速寫圖
[30:45] 再相見
[30:46] 祝各位投資朋友開盤順利
[30:47] 炒盤愉快
