[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 不过美国政府的确
[26:28] 就是电价上涨的压力
[26:30] 会随着能源成本逐步的变高
[26:32] 虽然美国并不会有那种能源稀缺
[26:35] 立即产生的经济危机
[26:37] 不像台日韩那压力很大
[26:39] 因为都是来自于进口
[26:40] 美国本身就能够自产自销
[26:42] 可是电价上涨跟能源成本还是高度联系的
[26:46] 我们看在本周
[26:47] OpenAI跟甲骨文才取消了德州的资料中心的建造计划
[26:52] 里头知情人士透露
[26:54] 原因就来自于目前的不管是缺工缺料等等因素
[26:57] 很多的厂区原本设立好的
[27:00] 可能要改到其他地方来做动工
[27:02] 尤其现在市场上在供给链的瓶颈底下
[27:06] 基本上未来的能源供应问题等等
[27:08] 都形成AI资料中心在建制上的极大挑战
[27:12] 包括AI的用电扩张也是如此
[27:14] 美国每年新增的新高压的电线
[27:18] 长度大概是500到1500英里左右
[27:20] 最好的年份也不过就4000英里
[27:22] 但是现在如果你要符合AI资料中心的电网
[27:27] 基本上每年至少要5000英里以上
[27:29] 这种高强度的需求
[27:31] 我们就很明显看到
[27:33] 即便很多生存式AI现在的爆发期
[27:37] 陆续的开始有进一步估值提升
[27:39] 今年OpenAI
[27:40] Enthropic
[27:41] SpecX
[27:41] 都有可能会上市
[27:42] 但是全球大语言模型
[27:45] 现在最大最大的问题
[27:47] 就来自于能源需求
[27:48] 已经变成了AI产业
[27:50] 最为关键的限制条件
[27:52] 大语言模型
[27:53] 大型模型
[27:54] 它是需要数万颗的GPU
[27:56] 持续运算数周
[27:57] 甚至到数月
[27:59] 而模型部署以后
[28:00] 也会有每天数亿
[28:01] 或者数十亿次的推论
[28:03] 它需要请求
[28:04] 持续消耗电力和冷却资源
[28:06] 这些使得AI公司
[28:07] 不只是一个软体产业
[28:09] 它是一个巨型资料中心的
[28:11] 能源密集业
[28:13] 而这些能源密集业
[28:14] 现在受到全球能源价格上涨之后
[28:17] 肯定会形成内部的进一步压力
[28:19] 我们看到的很多公司都是如此
[28:21] 从确GPT到Google DeepMind
[28:23] Anthropica和Propecity
[28:25] 陆续都发表了
[28:26] 针对能源局势的担忧
[28:28] 不过这样一看
[28:29] 你会觉得
[28:30] 为什么这些AI公司的logo
[28:33] 好像都长得像某个器官
[28:36] 不然你以为他们资金哪里来的
[28:39] AI很烧钱
[28:40] 但不管怎么说
[28:41] 整个AI现在市场上
[28:43] 针对能源电力供应的担忧
[28:45] 其实陆续在展现
[28:46] 川普当然尽可能的去扫除这种障碍
[28:49] AI就是川普本任政府的重要政策
[28:54] 能源部之后会陆续成立DPA
[28:57] 也就是核燃料链国防生产法
[28:59] 目标就是补齐
[29:01] 从矿到转化到浓缩到燃料制造技术
[29:04] 我们知道因为现在天然气也在涨
[29:06] 煤也在涨
[29:08] 石油也在涨
[29:09] 已经没有什么在下滑的
[29:10] 过去虽然已经涨比较高的核能原物料
[29:14] 但总体发行成本
[29:16] 从长远来看
[29:17] 对于这些AI资料中心的压力稍微没有这么大
[29:20] 我们必须承认全球用电量
[29:22] 是以过去15年以来的速度
[29:24] 史上最快的增长
[29:26] 上一次增长这么快
[29:27] 大概就是大量扑光线
[29:29] 就是网络泡沫的时候了
[29:31] 所以Google也宣布
[29:32] 从2030年开始
[29:34] 美国南部的田纳西州
[29:35] 他会新设立小型的模组化反应炉
[29:37] 也就是SMR
[29:38] 那当然我们要看
[29:40] 到底SMR什么时候能够真实的商转
[29:43] 目前都是在规划5年到10年之后的能源
[29:46] 可是现在能源成本已经优先给涨上去了
[29:49] 这是一个我们看到全球极大的压力
[29:52] 那当然中国市场的部分
[29:54] 这几年我们看到在核能发电的部分
[29:57] 现在有38座的核电厂正在兴建当中
[30:00] 那相对于第二名的印度6座
[30:03] 其实中国目前针对核能的部件
[30:05] 速度也是越来越快
[30:06] 而且这是属于传统核能
[30:08] 目前中国有28座的核电厂
[30:10] 都在兴建当中
[30:11] 是全球当中最多的
[30:13] 沿海地区基本上除了首都以外
[30:16] 所有省份包括海南都有核电厂
[30:19] 你要发现整个西太平洋
[30:21] 几乎都是核电厂
[30:22] 阿里甚至在上个礼拜宣布
[30:24] 跟中核集团来合作
[30:26] 为AI扩张先卡住电力命脉
[30:29] 主要是进行企业登记
[30:31] 来进行合资公司的成立
[30:33] 大概是2.5亿人民币
[30:34] 阿里直接跟核能公司进行合作
[30:37] 某种程度
[30:38] 等于半成立一间核能公司
[30:41] 来帮助未来它的资料中心
[30:43] 可以取得长期低碳
[30:46] 而且不中断的电力
[30:47] 这就是一个新时代的能源转型
[30:50] 我们刚才跟投资朋友提到
[30:51] 中国这几年
[30:52] 为了要降低针对中东市场的依赖
[30:55] 是大量的推行核能和再生能源
[30:57] 中国在全球捷迹能源当中
[30:59] 现在在过去几年的努力以后
[31:01] 也取得了一定程度的市场地位
[31:04] 我们看太阳能模组
[31:05] 再看一下电解槽
[31:07] 再看一下锂呀
[31:08] 钴呀
[31:08] 等关键矿物的加工能力
[31:10] 在全球市场
[31:11] 大概占比是接近80%
[31:13] 这个占比就真的很高了
[31:15] 那完全可以理解
[31:15] 为什么川普不愿意在再生能源
[31:18] 跟中国市场持续竞争
[31:20] 那技术你都拿走了
[31:22] 到时候我们要发展
[31:23] 还得买你的货
[31:24] 谁要跟你搞呢
[31:25] 所以最后这一波的中东能源危机
[31:27] 最后变成了一场压力测试
[31:29] 各国的能源的强弱
[31:31] 一次性的都摊在阳光下
[31:34] 台湾因为能源进口占比接近96%
[31:36] 政府只能紧急的调度天然气和原油来源
[31:39] 例如增加LNG的传授等等
[31:42] 先稳住物价和供电
[31:43] 这台湾政府的做法
[31:44] 进口然后先不涨
[31:46] 日本是少数直接动用全球少金的能源安全机制
[31:50] 准备要进行石油储备的释放了
[31:53] 南韩更直接
[31:54] 南韩是直接进行囤油炒价的重要打击
[31:58] 另外一方面也宣布紧急状态
[32:00] 确保供应链不断链
[32:01] 美国不太一样
[32:02] 美国本身是能源进出口国
[32:04] 但是通膨陆续传导
[32:06] 会影响到AI的建制量
[32:08] 所以还是有必要进行能源转型
[32:10] 中国的部分是全球最大的电力
[32:12] 和煤炭体系的能源安全
[32:14] 可是它还是很大幅度的受到
[32:17] 煤炭或者石油价格的影响
[32:19] 那换句话说
[32:19] 这场能源震荡
[32:20] 大家其实更像是一个镜子
[32:22] 照出不同国家的能源体质
[32:25] 谁是能源消费者
[32:27] 谁有备用的库存
[32:28] 谁有电力和资源
[32:30] 全球经济的结构差异
[32:32] 在这一刻就放大的特别清楚
[32:34] 也给投资备用做一些观察
[32:35] 台股上涨559点
[32:37] 收到33331点
[32:39] 今天311也是15周年
[32:42] 也值得我们做一些能源上的一个反思
[32:44] 没有说绝对对或绝对错
[32:46] 而是每一个时代
[32:47] 每一个变因
[32:48] 每一个事件的背后
[32:49] 都会让大家重新思考
[32:51] 我们过去的决定是对的吗
[32:52] 我们还要继续走下去吧
[32:54] 我们是不是呢
[32:55] 在能源追求低碳化的同时
[32:58] 国有的供应链
[32:59] 各自的供应链
[33:01] 其实也是非常重要的呢
[33:02] 这也给投资朋友做一些思考
[33:03] 如果喜欢我们节目
[33:04] 就帮我们订阅按赞加分享
[33:05] 我们就明天早上八点半
[33:06] 早晨财经速解读
[33:08] 再相见
[33:08] 祝各位投资朋友
[33:09] 开盘顺利
[33:10] 财盘愉快
