[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 特斯拉和Google的财报
[26:01] 结果手上现金最多的
[26:03] 现在国家创高了
[26:04] 这就很神奇的一件事情
[26:05] 别人看中的
[26:07] 未必是你以为的优势
[26:08] 我之前看到一个新闻
[26:11] 65岁的富翁
[26:13] 爱上一个20岁的姑娘少女
[26:15] 那富翁就征询朋友的意见
[26:18] 你说如果我告诉那个女孩子
[26:22] 我只有45岁
[26:23] 他会同意嫁给我吗
[26:25] 那朋友说
[26:26] 不如你告诉他
[26:27] 你已经85岁了
[26:28] 这样子他嫁给你的几率更高
[26:30] 所以有时候我们讲说
[26:32] 投资市场的道理
[26:33] 就是别人看中的
[26:36] 未必是你自认以为的优势
[26:37] 你以为年轻一点
[26:38] 人家就会喜欢你了
[26:40] 也许你年纪再稍微高一点
[26:42] 他更喜欢你了
[26:43] 所以我们总以为
[26:44] 只要把自己认为最好的优点放大
[26:46] 别人就会认同
[26:47] 但是市场的叙事是会变的
[26:49] 像叙事从谁花最多钱
[26:51] 变成谁的口袋里的钱最多了
[26:54] 你看Google现在的本益比
[26:56] 已经低到这么低了
[26:58] 如果是任何的价值
[26:59] 你可以完全理解
[27:00] 为什么巴菲特要去买Google股票了
[27:02] 因为他本益比已经破低了
[27:04] 比今年伊朗战事还低
[27:06] 甚至回到新冠疫情的水位了
[27:09] 巴菲特也一定不会只看价格
[27:11] 它一样是看估值指标
[27:13] 随着Google现在回撤年限
[27:14] 我几乎敢肯定
[27:16] 巴菲特在三季度
[27:18] 一定是买超Google的
[27:20] 到时候从第四季
[27:21] 应该不能讲巴菲特
[27:22] 只能讲布克夏
[27:23] 因为他退休了
[27:23] 第四季到时候公布
[27:25] 第三季的13F的时候
[27:26] 几乎就可以看得出来了
[27:28] 所以从这件事情
[27:29] 我们都必须了解到
[27:31] 市场上有不同的评价
[27:33] 那你像特斯拉的部分
[27:34] 刚才聊到
[27:35] 特斯拉股价
[27:36] 这一次是在七巨头当中
[27:38] 率先公布财报里头
[27:41] 卖压来得最为沉重的
[27:42] 原因是什么
[27:43] 因为其他巨头
[27:45] 都是财报表现好
[27:47] 可是自由现金流下滑
[27:48] 资本投入很多
[27:50] 特斯拉是营收创高
[27:52] 可是EPS却明显不符合预期
[27:54] 同时间
[27:55] 它在经营的路上
[27:58] 资本支出仍然非常庞大
[27:59] 所以是基本面好
[28:01] 资本支出多
[28:02] 股价小跌
[28:03] 基本面不好
[28:05] 资本支出又多
[28:06] 那就变成大跌了
[28:07] 市场的留意的叙事
[28:08] 看起来就是如此
[28:10] 尤其我们知道
[28:11] 特萨其实整体的交车年增幅
[28:14] 这几个季度其实一直在计环当中
[28:17] 我们其中一个就是Cybertruck
[28:18] Cybertruck当时推出的时候
[28:20] 预估一年年产量可以超过25万辆
[28:24] 现在只有不到六分之一
[28:27] 截至到今年5月份为止
[28:29] 美国今年大概只登记了7000辆
[28:32] 而且其中还有很多是SpaceX的
[28:34] 大量的采购的分队
[28:36] 所以这件事情就看得出来
[28:38] 当时的售价包括大幅的攀升
[28:41] 我记得涨价涨了超过三倍
[28:43] 然后不锈钢车体的制造困难
[28:45] 品质转移的问题
[28:47] 多次召回
[28:48] 之前有车祸后车门无法开启
[28:50] 遭到诉讼
[28:51] 它都影响到市场的接受度
[28:53] 市场预估这项车款
[28:55] 可能就会慢慢跟Model S一样
[28:58] 慢慢的退出市场了
[28:59] 特斯拉股价是跌破了
[29:01] 目前的三角收链区
[29:03] 所以我们才讲说
[29:04] 特斯拉这次财报也反映出
[29:06] 市场进入一个比较尴尬的阶段
[29:08] 如果你产品卖不好
[29:10] 获利下滑
[29:11] 本益比这么高
[29:13] 本来就很难够撑住股价
[29:15] 但如果你开始大谈Robotex
[29:17] 你谈人形机器人
[29:18] AI 未来蓝图
[29:20] 那市场可能会影响到
[29:22] 你是不是要更多的资料中心
[29:24] 更高的资本支出
[29:25] 更差的自由现金流
[29:27] 担心要再烧好几年的钱
[29:29] 现在投资人就变成
[29:31] 已经不是故事越大越买单了
[29:34] 那故事越大
[29:34] 他越会先算账
[29:36] 所以马斯克可能想来想去
[29:38] 要财报
[29:38] 想老半天
[29:39] 相信还是算了
[29:40] 故事太长太远了
[29:42] 先不要讲好了
[29:43] 因为现在故事讲少了
[29:45] 市场好像又嫌你没有成长
[29:47] 但是你如果讲太多
[29:48] 市场担心花太多钱
[29:50] 那个卖压真的会来
[29:51] 那对于特斯拉来说
[29:53] 真正能够说服市场的
[29:54] 看起来已经不是更大的愿景了
[29:56] 你要把过去说过的故事
[29:58] 一步一步变成真正的营收
[30:00] 获利和自由现金流
[30:02] 所以才会看到
[30:02] 马斯克
[30:03] 这次财报计
[30:04] 财报电话会议
[30:05] 好像讲一讲就没有那么
[30:07] 突然莫名其妙宏大的梦想了
[30:09] 对不对
[30:10] 不然想讲的想想还是算了
[30:11] 故事太长了
[30:12] 先不要讲好了
[30:13] 对很多人很多时候
[30:15] 一件事情太新太复杂
[30:17] 或者需要花很多时间
[30:19] 才能够解释清楚
[30:20] 那多数人又没有耐心理解的时候
[30:22] 通常的反应就是算了
[30:24] 算了故事太长了
[30:25] 先不要讲
[30:26] 不是因为没有道理
[30:27] 因为解释成本太高
[30:29] 想到我们直播大概也有六七年了
[30:34] 这么多年
[30:35] 好像观众朋友也没有听过我弟弟的故事
[30:38] 还是算了
[30:40] 太长了我不想说
[30:41] 好所以不管怎么说
[30:44] 我们看刚才所提到的七巨头
[30:46] 现在有人说是八巨头
[30:48] 加上SpaceX
[30:49] 现在也面临许多重量级的IPO
[30:52] 市场的泛本
[30:53] 很多本来今年下半年准备IPO的
[30:55] 看到SpaceX的惨状
[30:57] 是否要延后上市
[30:59] 都形成一个问题了
[31:00] 因为SpaceX现在不只是破发
[31:03] 而且相对于当时6月16号的高点
[31:05] 225块
[31:07] 几乎是完全腰斩
[31:09] 那摩根士展利的预估是SpaceX
[31:11] 如果跌到100块
[31:12] 那等同于AI免费送了
[31:15] 什么意思呢
[31:16] 就是说市场普遍预估
[31:17] 因为接下来首批的限售股即将要解禁
[31:21] 股价可能当然你就看员工态度
[31:23] 员工要不要卖股票
[31:25] 员工如果一个月前卖
[31:26] 那多赚一倍
[31:28] 那现在会不会赢得你回补
[31:30] 还是你会大幅卖出呢
[31:31] 如果真的跌到100块
[31:33] 按照目前市场几乎完全没有替SpaceX的AI业务来做估值
[31:38] 甚至视为负资产
[31:39] 所以以基本面公司不服
[31:41] 所以摩根士坦利的预估是跌到100块
[31:43] 等同于这家公司已经遭受到史诗级卖牙
[31:47] 那等同于AI免费送了
[31:48] 所以主因我们还是看得出来
[31:50] AI的巨额的资本支出
[31:52] 获利模式还没有完全成熟底下
[31:55] 所造成的市场的均值回调
[31:57] 没钱了
[31:58] 那你说SpaceX难道它没有优势吗
[32:00] 当然有啊
[32:01] 只不过他的梦想
[32:03] 所预估要烧的现金流
[32:05] 已经大过于他现在有的优势
[32:07] 他的优势是什么
[32:08] 他的优势很明显啊
[32:10] SpaceX现在有10262颗
[32:12] 正在运作的低轨卫星
[32:14] 相对于第二名的OneWeb
[32:16] 只有632颗
[32:18] 他是16倍的领先啊
[32:20] 排名第三到第五名
[32:22] 分别是美国国家侦察局285颗
[32:24] 美军有244颗
[32:26] 中国军方有168颗
[32:28] 所以其实全球太空基础建设
[32:30] 未来的低轨卫星
[32:31] 早就由SpaceX来做垄断了
[32:34] 一家垄断的公司
[32:35] 挤入到全球巨头
[32:36] 根本没有什么太大的问题
[32:38] 唯一的问题是
[32:39] 可是XAI并入之后
[32:41] 它烧的钱实在是太多了
[32:43] 所以SpaceX
[32:44] 它几乎是全球所有
[32:46] 太空探索技术公司
[32:48] 市值加总的十倍
[32:50] 那相对跟特斯拉一样
[32:53] 特斯拉车子销量也没有很高
[32:55] 可是他是全球把车市市值全部加起来
[32:58] 都不如特斯拉一家大
[32:59] SpaceX跟特斯拉所面临的处境都是一样的
[33:03] 都是自由现金流快速下滑
[33:05] 资本支出快速暴增
[33:06] 可是营收还经不起当前的估值
[33:09] 这是我们看到的实体迹象
[33:11] 好就04分
[33:12] 台股下跌275点
[33:14] 受害43,379点
[33:15] 我们今天主要是跟投资朋友稍微梳理一下
[33:18] 我们现在关注两大方向
[33:21] 一个是由债券市场
[33:22] 由中东问题所引起的通膨预期
[33:25] 利率所造成的融资成本上升
[33:27] 那第二件事情呢
[33:28] 是来自于
[33:29] 当债券市场受到承压之后
[33:31] 回过头来影响到股市
[33:33] 而股市出现了
[33:34] 本益比居然低于
[33:35] 2020年新冠疫情的情况
[33:37] 但是市场的卖压仍然依旧
[33:39] 它的根本原因来自于哪里
[33:41] 一个呢
[33:42] 就是基本面
[33:43] 基本是完全好的
[33:44] 但是另外一方面
[33:45] 投资人更为关注的是
[33:46] 自由现金流的下滑
[33:48] 那最后还是取决于
[33:49] 那你是不是科技乐观论者吗
[33:51] 如果你相信
[33:52] 那现在可能快要
[33:54] 遍地是钻石了
[33:56] 但是回过头来说
[33:57] 它的现金流收不收得回来
[33:59] 才是取决于
[34:00] 本场你敢不敢上车的根本原因
[34:03] 所以短期内估值指标
[34:04] 几乎快要全面达标了
[34:06] 到处都是钻石
[34:08] 可是从长期面来看
[34:09] 那你相不相信
[34:10] 这场AI造梦计划能够成呢
[34:13] 这是你最后能不能下定
[34:15] 要进场的主要原因
[34:16] 给投资朋友做一些参考了
[34:17] 如果喜欢我们的节目
[34:18] 记得帮我们订阅按赞加分享
[34:19] 我们就明天早上半半
[34:21] 早晨财经书写组再相见
[34:22] 祝各位投资朋友
[34:23] 看完顺利
[34:24] 上班愉快
