[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 是从纳指电子盘
[25:00] 维影这些就做最后的机柜组装
[25:03] 这就让辉达和超伟
[25:05] 他们要的
[25:06] 他们要不是一颗晶片而已
[25:08] 他们要能够快速变成
[25:09] 资料中心可以用的AI系统
[25:11] 超伟现在对台湾的AI生态
[25:14] 投资超过100亿美元
[25:15] 就是什么
[25:15] 要加强你们以我为核心的
[25:18] 整套的供应能力
[25:19] 那韩国强不强
[25:20] 韩国企业很强
[25:21] 韩国比较集中在记忆体
[25:23] 尤其是HBM
[25:24] 三星和SK海力士
[25:25] 在Dirren
[25:26] Net和HBM
[25:27] 都是世界顶级的供应商
[25:28] 这在AI GPU当中也很重要
[25:30] 但产业结构就比较像
[25:31] 几个巨型的财阀的垂直整合
[25:35] 它不像是台湾那种
[25:36] 大量的中小型企业供应商
[25:38] 围绕着一个核心客户
[25:39] 形成的高度协作
[25:41] 韩国就是有王牌零件
[25:43] 台湾就是系统型供应链韩国能够卖关键的弹药台湾是把晶片把封装把主板伺服器机轨韩国的HVM最后运到哪里还不是运到台湾做最后组装所以另外一个原因
[25:53] 就是因为台湾长期做代工
[25:55] 就养成高度特殊的
[25:57] 客户导向工程文化
[25:58] 它不是追求自己的品牌
[26:00] 你巨头化
[26:01] 你要克制
[26:02] 你要保密
[26:03] 你要快速修改
[26:04] 你直接飞过来
[26:05] 200公里
[26:06] 每一个零组件的厂商
[26:07] 全部都跟你见面
[26:08] 因为AI伺服器
[26:10] 它现在并不算是一个量产的标准品
[26:12] 每一代的GPU CPU散热电源都在更新
[26:16] 也许GPU一更新
[26:17] 后面全部要跟上
[26:18] 散热一更新
[26:20] 电源网路架构全部都要跟上
[26:22] 所以真正的护城河就是
[26:24] 近就是决策近
[26:26] 工程近
[26:27] 然后市场也很近
[26:29] 供应商也很近
[26:30] 新竹台中台南桃园到北部的师傅系厂
[26:33] 然后桃园就出去了
[26:34] 航空城现在就直接运到美国去了
[26:37] 问题发生的时候
[26:38] 从工程师到材料商
[26:39] 到设备商到风策厂
[26:40] 系统厂
[26:41] 很快就可以一起解决
[26:43] 这就是我们观察主要的原因
[26:45] 就是台湾对韩国
[26:46] 我的看法是
[26:47] 其实三星也是有能力
[26:50] 如果一打一的话
[26:51] 三星应该是有胜算的
[26:53] 打群架
[26:54] 韩国人就没什么能力了
[26:56] 人家是国家队
[26:57] 我们是义勇军
[26:58] 他是吃朝廷的
[27:00] 我们是手打手
[27:01] 白手起家的
[27:02] 这给投资朋友做的一些思考
[27:04] 这是我们观察到
[27:05] 台湾本人龙井的原因
[27:07] 很多人说
[27:07] 运气好运气好
[27:08] 运气是蛮大的一个成分
[27:11] 可是他从18年美中贸易战以来
[27:13] 他的经济就一直跑赢所有国家
[27:16] 那感觉不是运气好连续好7年连续好8年
[27:19] 看起来就是一系列的这种因缘巧合
[27:23] 加上供应链的组合一路冲高到现在
[27:26] 好那就一系列的所有台商都在往AI来做贴近
[27:29] 包括我们看到在近期涨幅最为亮丽的联发科也是如此
[27:33] 上一次我们看到联发科
[27:35] 拿下Google的TPU大单之后
[27:39] Google最新的第八代的TPU系列
[27:42] 联发科现在不只是参与其中
[27:44] 甚至在IO和后续的后段封装环节当中
[27:49] 现在都扮演非常重要的核心地位
[27:51] 就是说明着
[27:52] 市场上一直到AI趋势以后
[27:54] 手机马上就被抛中脑后了
[27:56] 现在台积电最大客户也不是苹果了
[27:58] 都变成辉达了
[27:59] 联发科也是
[28:00] 过去懂事做陆续手机
[28:02] 现在已经真正切入到
[28:03] 大型的云端供应链
[28:05] 这就是一种
[28:06] 我们讲到市场上
[28:08] 因为我们在过去
[28:09] 电子零组件的经验
[28:10] 已经太久了
[28:11] 只要有一个新的商机
[28:13] 我们随时都能够进行
[28:14] 适度的转换
[28:15] 甚至辉达目前搭配联发科
[28:18] 即将要推出
[28:19] 10万块一台的AI笔电
[28:20] 接下来的边缘AI
[28:22] 联发科就受到显著趋势
[28:24] 你其实从财报
[28:25] 你看不太出来
[28:26] 从过去几个月的月营收
[28:28] 其实就还好
[28:28] 但这就是一种展望
[28:30] 由联发科设计
[28:31] 台积电代工的OnJobGo的晶片
[28:34] 不只是做一台十万块的高阶笔电脑
[28:36] 这是那种
[28:37] 辉达正式把脚跨进到
[28:40] AI终端载具的市场
[28:41] 他现在选择联发科
[28:43] 这是一个方向
[28:44] 大力光也是
[28:45] 大力光是标准的瓶盖股
[28:47] 现在正式把光通讯相关元件
[28:50] 列为手机镜头之外的
[28:51] 第二大的优先业务
[28:53] 逐步展现共同封装
[28:55] 我们讲说叫做CPU的市场决心
[28:57] 因为现在还准备做送样阶段
[29:00] 但是距离量产也许要一年的时间
[29:03] 不过从股价涨幅看得出来
[29:05] 市场给予它的期待也非常高
[29:07] 所以各行各业都在往AI来做贴近
[29:10] 因为大家已经有深厚的技术了
[29:12] 甚至昨天看到中钢涨停
[29:14] 中钢这次大喊要拼AI钢厂
[29:18] 让机器人当做后盾
[29:20] 昨天中钢成交量爆超过20万张
[29:24] 中钢这几年的转型也很努力
[29:26] 尽量导入AI和数位系统
[29:28] 把整座钢厂往智慧工厂的方向来做升级
[29:32] 现在从生产的排程到设备维护
[29:35] 品质的监测到能源管理
[29:37] 背后都开始大量的依靠AI模型和数据训练了
[29:40] 尤其中钢现在也算是
[29:42] 慢慢开始知道AI硬体升级的大趋势
[29:45] 像机器人 无人机 AI伺服器 电动车马达
[29:48] 现在都需要特殊的钢材和电磁圈
[29:51] 以前中钢常常被人开玩笑
[29:53] 说那是走投无路的人在买的
[29:56] 有些老朋友应该知道
[29:57] 我算中钢老股东了
[29:59] 为什么知道
[29:59] 因为我每年都有拿那纪念品
[30:01] 跟大家分享
[30:02] 今年就很过分了
[30:03] 今年为了发展AI
[30:05] 他就没有发展
[30:06] 他就没有发纪念品
[30:07] 只有50元的商品卡
[30:09] 这有点侮辱人
[30:10] 因为中钢老股东都知道
[30:12] 股价你可以不涨
[30:12] 配型你可以少发
[30:14] 但你不能不给纪念品
[30:16] 我每年最期待就是中钢纪念品
[30:18] 去年是这个
[30:20] 中钢的环保杯
[30:23] 这叫太金属轻巧冷水瓶
[30:26] 小巧又可爱
[30:27] 远看就像Tiffany出品
[30:30] 颜色很像
[30:30] 我都带这一瓶去健身房
[30:32] 吸引一堆教练
[30:33] 浩哥你的水壶
[30:34] 怎么跟你长得一模一样
[30:36] 小小短短
[30:37] 而且这个套子
[30:38] 我平常都不会戴
[30:39] 因为我不喜欢戴套
[30:40] 我怕把它弄脏
[30:41] 我都直接这样拿过去
[30:42] 让你睡公园
[30:43] 也可以泡茶聊天
[30:45] 前年中钢的纪念品是什么
[30:47] 这是真心油腻不锈钢
[30:51] 砧板组
[30:51] 采用中钢不锈钢和抗菌材料
[30:54] 我去露营的时候用过
[30:56] 小巧又方便
[30:57] 让你睡公园
[30:58] 还可以做菜
[31:00] 多好吃
[31:01] 大前年是什么
[31:03] 大前年是散Q
[31:04] 中钢散
[31:06] 散布和散骨架
[31:08] 都由中钢来做直接提供
[31:10] 即便让你睡公园
[31:12] 都可以让你规避倾盆大雨
[31:15] 你也不用怕淋湿
[31:16] 前几年还有台湾黑熊的螺丝旗子
[31:20] 那个放在我爸家
[31:21] 这三个公园色号
[31:24] Tiffany系列
[31:25] 让你都已经铺成这么多年了
[31:28] 今年居然只有50块的商品卡
[31:30] 我忍不住要抱怨一下
[31:31] 50块连挨争时都买不够
[31:34] 中方董事长是谁
[31:36] 黄建志先生
[31:37] 黄董
[31:38] 你今年
[31:38] 明年你再不发公元纪念品
[31:40] 摆明就是想要脱离我们公元帮
[31:44] 纪念品真的比鼓励重要
[31:45] 虽然现在大家都集中发展AI
[31:48] 但你该做的还是要做
[31:49] 挤一点钱来发一下好不好
[31:51] 我很期待
[31:52] 之前是前任执行长
[31:54] 还贪污
[31:55] 叫他吐出钱来做纪念品
[31:56] 那是中油
[31:57] 对不起
[31:58] 那是中油
[31:58] 但是今年我是比较伤心
[32:00] 因为很难得中钢没有纪念品
[32:02] 居然只发50块商品卡
[32:04] 不管如何
[32:05] 我们讲的就是
[32:06] 全台系统厂
[32:08] 伺服器厂
[32:09] 都在往AI来做贴近
[32:11] 它是造就本轮买盘的原因
[32:13] 所以我们要讲的就是
[32:14] 我们可以对于当前的杠杆
[32:16] 有点疑虑
[32:16] 我们可以对于当前的情绪
[32:18] 过度推高
[32:19] 有点疑虑
[32:19] 这都OK
[32:20] 因为杠杆机械
[32:21] 推程速度有点快
[32:22] 可是我们对于基本面的信心
[32:24] 也不用有太大的改变
[32:25] 那也许市场就是吃定了基本面
[32:28] 钱就是一直进来
[32:29] 你不买走东西
[32:31] 你也要找其他东西买
[32:32] 反正我就是持续的开启杠杆
[32:35] 对赌台湾的未来
[32:36] 这就是目前的主流趋势
[32:37] 那至于杠杆这件事情是好是坏
[32:40] 你到底是要超车还是飙车
[32:42] 你是要做资产配置的优化
[32:44] 还是你这次是要
[32:46] 纯粹要赌一次翻身呢
[32:47] 如果只是要赌翻身
[32:49] 把资金水位控得很紧绷的话
[32:51] 那也许可能一场回调
[32:54] 或者一次的洗盘
[32:56] 就会让你遍体鳞伤
[32:57] 所以这个反而是要小心的
[32:58] OK我们今天做一个结论
[33:00] 台北股市上涨399点
[33:01] 是在44,074点
[33:03] 第一是全球资金正在往AI基础建设
[33:06] 来快速集中
[33:06] 从台湾韩国到日本
[33:08] 真正强的当然不是单一一条公司
[33:10] 是整条供应链
[33:11] 那现在市场买的
[33:12] 也不是纯消费新电池
[33:14] 变成了GPU
[33:15] 变成了HBM
[33:16] 变成了先进封装
[33:17] 亚洲正式进入到科技复兴年代
[33:20] 那第二波呢
[33:21] 这一波行情从情绪面来看
[33:23] 已经从乐观慢慢进入到狂乐
[33:25] 台股三天暴涨超过3600点
[33:27] 韩国股市推出单日高达60%波动的ETF
[33:31] 日本散户虽然很多年没有参与了
[33:34] 但目前也开始陆续的回归
[33:36] 大家开始用主动型ETF
[33:39] 直压信贷增贷全面扩张
[33:41] 那就是很多亚洲人开始用自己的现金流
[33:45] 来压住未来的AI繁荣
[33:46] 最后AI革命可能是真的
[33:49] 也有可能是过去任何一次泡沫
[33:51] 但不管如何
[33:52] 全球资本都在重新的定价亚洲
[33:55] 这些长期趋势都存在
[33:56] 但是我们只要记住
[33:57] 杠杆是拿来超车用的
[33:59] 不是拿来飙车用的
[34:01] 真正厉害的
[34:02] 不要去看那个牛市
[34:03] 现在绩效冲最快
[34:05] 资本征服还是最快的
[34:07] 你要看的是那些
[34:09] 这一波多头
[34:10] 适度修正以后
[34:11] 还能够稳稳留在牌桌上的人
[34:13] 这些人才是最重要的
[34:15] 给投资朋友多谢借镜和参考
[34:16] 如果喜欢我们节目
[34:17] 记得帮我们订阅按赞加分享
[34:18] 我们就明天早上八点半
[34:20] 早晨财经速解读再相见
[34:21] 祝各位投资朋友
[34:22] 看盘顺利
[34:23] 操盘愉快
