[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 开始收涨了0.6%
[25:57] 什么律师啊
[25:58] 会计师
[25:58] 政治人物助理
[26:00] 读懂吗
[26:01] 因为AI不能坐牢
[26:02] 这年头你敢背黑国
[26:04] 就是核心竞争力嘛
[26:05] 但是哦
[26:06] 他其实有过去一个认知
[26:08] 就是我们总觉得
[26:09] 科技人是本轮AI浪潮当中
[26:11] 最不容易被取代的
[26:13] 可是呢
[26:14] 其实还是有非常多的工程师
[26:16] 在本轮的替换周期当中啊
[26:17] 受到极大冲击啊
[26:19] 甲骨文就是其中一个例子嘛
[26:21] 所以以前我们在台湾
[26:23] 当然都会讲说
[26:24] 李科生一直都是
[26:25] 这个时代天下
[26:27] 是没错了
[26:27] 但是硬要讲
[26:29] 可能更类似于工科生
[26:31] 其实以前文科生
[26:33] 在以前确实有优势
[26:34] 现在表现起来
[26:36] 在台湾特别有明显的落差
[26:38] 最早理科生最有优势的是宋朝
[26:41] 因为宋朝理学
[26:42] 但是现在回过头来看
[26:44] 其实某种程度
[26:46] 我们反而要保持这种
[26:47] 独断的思考能力
[26:49] 独立思考能力才能够活下来
[26:51] 你光是纯读理科
[26:53] 也不一定有用
[26:54] 什么意思
[26:55] 我之前听到一种说法
[26:58] 说文科其实还是很重要的
[27:00] 历史和经济的逻辑
[27:02] 你要读透
[27:02] 你才可以了解
[27:03] 每一次的产业冲击
[27:05] 它能够存活下来的是谁
[27:06] 如果你只是专业一个学科
[27:08] 搞不好一个AI就把你取代了
[27:09] 取一个最直观的
[27:11] 1949年
[27:12] 当时中研院
[27:14] 人文组的院士
[27:16] 大部分都去台湾了
[27:17] 胡适 傅斯年
[27:19] 物理组
[27:21] 独立组的大部分都留在大陆
[27:24] 前学生
[27:25] 还有花罗根等等
[27:27] 你要知道
[27:28] 两类人的下场
[27:30] 其实不太一样
[27:31] 虽然台湾也是白色恐怖
[27:32] 可是两类人的走向
[27:34] 最后你发现就不太一样
[27:35] 所以我们讲说
[27:36] 当然这些讲来讲去
[27:38] 文组理组不如妈组
[27:40] 就是努力当打工人
[27:41] 不论你是念文组还是理组
[27:43] 本质上都是卖时间
[27:44] 来换收入
[27:45] 但是真正赚钱的那群人
[27:47] 现在特别明显的是妈组
[27:49] 您当股东的
[27:51] 做房东的
[27:52] 用资产帮自己工作的
[27:53] 这个才是我们看到真实迹象
[27:55] 我们在公司是拼绩效
[27:57] 熬加班
[27:58] 收入是线性的
[28:00] 可是股东拿出的是
[28:01] 企业的红利成长
[28:03] 房东拿到的是
[28:05] 资产的通膨和租金的现金流
[28:07] 这种就是非线性的累积
[28:09] 所以以前我们常跟投资朋友分享
[28:11] 想说资本主义当中
[28:13] 普通人的使命是交配跟交税
[28:16] 交完配之后
[28:17] 子女就跟着交税
[28:19] 普通人工作所获得的价值分配
[28:21] 它基本也就是维持一些基本的生活
[28:23] 多数会被上层给拿走了
[28:26] 不同的事情是
[28:27] 稍微好一点的资本主义社会
[28:30] 上层拿走利益的同时
[28:32] 它也会搞搞技术创新
[28:33] 让你用的电脑变好
[28:35] 试试电动车
[28:36] 投资一下AI
[28:38] 低轨卫星
[28:39] 帮你网速提升
[28:40] 提高生产力
[28:41] 至少让普通人的生活水准也跟着提高
[28:44] 你赚的钱不会变多
[28:45] 但你用的iPhone一定更好了
[28:47] 稍微坏一点的资本主义
[28:49] 那就是纯炒房炒股
[28:51] 笼络官员
[28:52] 不顾普通人死活
[28:54] 所以为什么
[28:55] 杨总才要尽量
[28:56] 让大家炒房的钱
[28:58] 移到炒股去
[28:59] 或者投入到实体资产
[29:00] 去开业
[29:01] 原因很简单
[29:02] 因为
[29:03] 藉由这种技术创新
[29:04] 贫富差距会不断的扩大
[29:06] 但是不管你是理主
[29:07] 还是文主
[29:08] 最后可能都不如妈主
[29:10] 因为
[29:11] 你能够用一个
[29:12] 更宏观的角度来做思维
[29:14] 是很重要的
[29:15] 所以其实什么都要学
[29:16] 重点要有独立思考的能力
[29:18] 我们看这一次
[29:19] 矽谷的知名创投家
[29:20] 可是他之前是投资OpenAI
[29:24] 大获成功
[29:25] 那现行税制
[29:26] 他认为已经跟不上这个变化
[29:28] 他主张年收入低于10万美元的美国人
[29:31] 全部都直接免除所得税
[29:33] 因为AI的大爆发即将来临
[29:36] 改由高资本利得税
[29:38] 来补足现在的财政缺口
[29:40] 甚至把资本利得税
[29:41] 拉到跟所得税相同的水准
[29:43] 这样的一个设计
[29:45] 本质上是把课税重心
[29:47] 从劳动收入转向资本收益
[29:49] 让AI的创造价值回到社会
[29:52] 减轻现在全球人口中低收入户的负担
[29:55] 当然这是一个比较理想的设想
[29:58] 可是它几乎也透露出一个方向
[30:00] 那就是当前的AI爆发起仍然在持续
[30:04] 可是目前所造成的劳动力市场的冲击
[30:07] 已经产生了急化的现象
[30:09] 当然时间不太够
[30:10] 9点01分
[30:11] 台北股市上涨405点
[30:13] 回到35266点
[30:15] 硬体股上涨
[30:17] 台股就跟着上涨
[30:18] 我们今天把整条市场串起来
[30:20] 本质上是要跟投资朋友分享
[30:22] 全球经济正在经历一场
[30:24] 资产定价逻辑的重置
[30:26] 一边是快速的往硬体
[30:29] 能源基础设施
[30:30] 这些有实体支撑
[30:31] 有现金流的资产来做集中
[30:33] 另外一方面
[30:34] 过去靠成长叙事所撑起来的软体
[30:37] 现在开始被系统性压缩了
[30:38] 这是一个AI所带来的技术冲击
[30:40] 可是你要回过头来看
[30:42] 它的根本
[30:43] 硬体的制造
[30:44] 它被迫一定还是要跟随着
[30:46] 软体的需求扩大
[30:47] 而软体大部分可能无法避免的
[30:51] 会受到新人的冲击
[30:52] 可是现在正在大量投入资本支出的
[30:55] 这些AI巨头
[30:55] 一定有人可以熬到最后的
[30:57] 让大家开始重新思考
[30:59] 到底什么才是有价值的东西
[31:01] 我认为在右侧的不追
[31:03] 在左侧还在打底的
[31:05] 就蛮有吸引力的
[31:06] 同时间中东战火让能源价格
[31:08] 重新成为宏观核心变数
[31:10] 它能够局势降温
[31:12] 就代表着流动性预期能够升高
[31:14] 可是问题在于时间不等人
[31:17] 川普有战争法的时间限制
[31:19] 川普有四月份通膨的时间限制
[31:22] 要透过成本消费
[31:24] 企业的利润压缩
[31:25] 一路往就业市场来做传导
[31:27] 就业市场现在已经不是特别好了
[31:29] 可是也没有到特别坏
[31:30] 为什么呢
[31:31] 因为人变少了
[31:33] 而AI的投资
[31:34] 就是在人变少的时代
[31:35] 投资力度的加强
[31:37] 这个时候内部的就业轮替
[31:38] 产生了极大的一个区别
[31:40] 台湾市场我们就稍晚
[31:42] 再来跟投资朋友做一些观察了
[31:43] 在这种外需强劲
[31:45] 但是内需其实也有点疲惫的情况底下
[31:48] 这样的一个景气拐点是否也在浮现呢
[31:51] 不管怎么说
[31:51] 我们看到整个2026年
[31:53] 旧的赚钱方式正在失效
[31:55] 但是新的秩序才刚刚成型
[31:58] 给投资朋友做些思考
[31:59] 如果喜欢我们节目
[32:00] 记得帮我们订阅按赞加分享
[32:01] 那我们就礼拜一早上半夜半
[32:03] 早晨财经因素解读再相见
[32:05] 祝各位投资朋友周末愉快
[32:06] 看盘顺利和操盘愉快
[32:08] 拜拜
