[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 那我們今天呢就從川普在最近
[24:54] 相對你看中西部
[24:56] 漲幅沒有這麼亮麗
[24:58] 可是交通也沒有這麼方便
[25:00] 所以平均大家的漲幅
[25:02] 有得到一倍
[25:03] 有得到50%
[25:04] 有得到70%
[25:05] 這種電價漲幅
[25:07] 就是造成川普支持者鬆動的原因
[25:10] 原本以為你幫我們引進製造業
[25:12] 可以帶來更多就業機會
[25:14] 結果就業機會沒有特別多
[25:16] 可是你的用電造制的電價上漲
[25:19] 已經影響到我的生活了
[25:21] 川普昨天正式宣佈
[25:22] 美國將全力用力的大幅的發展核能
[25:26] 他說大力發展核能
[25:28] 導致核電廠必須要有
[25:30] 以非常驚人的速度興建
[25:31] 他也認為核電廠已經在安全上
[25:34] 取得長足的進展
[25:35] 而且再次去拼擊風力發電
[25:37] 當一個國家用越多風電就越窮
[25:39] 但中國很聰明
[25:40] 他們生產的風力發電裝置
[25:42] 自己卻不太使用風電
[25:44] 那當然這是他的解讀而已
[25:46] 中國用電量濾電還是很大的
[25:48] 但是相關訊息導致了
[25:50] 昨天美國核能股
[25:51] 全面的開始做拉伸
[25:53] 本來已經沉寂一陣子
[25:54] 這次又開始重新歸來
[25:55] 那事實上我們過去提過
[25:57] 因為電力的確已經是
[25:59] AI目前的最大瓶頸
[26:00] 現在AI的用電擴張速度
[26:02] 以非常驚人史詩級的速度上升
[26:05] 這張圖表虛線是需要的
[26:07] 超高壓電線長度
[26:09] 大概是500到1500英里
[26:11] 那過往來看
[26:12] 500到1500英里
[26:14] 每年的需求量就這樣子
[26:15] 現在呢
[26:16] 基本基本
[26:18] 至少要4000英里以上
[26:19] 那你看美國有任何一年可以達標嗎
[26:22] 除了13年曾經達標以外
[26:24] 幾乎每年的建制量都完全跟不上
[26:27] 所以對於基礎建設的帶貨潮就非常重要了
[26:30] 那電網來不及了
[26:31] 他怎麼辦呢
[26:31] 趕快建核電廠吧
[26:33] 直接就蓋在資料中心旁邊
[26:35] 這是非常重要的
[26:36] 所以現在川普已經要求
[26:38] 任何新建的資料中心
[26:40] 一定要有相對應的配套用電計劃
[26:42] 就你的用電不能跟民生搶電
[26:45] 你要麼就自己蓋
[26:46] 你要麼就蓋在電網充足
[26:49] 電力充足的地方
[26:50] 川普也同時放寬一系列的
[26:52] 汽車燃油效率標準
[26:53] 一方面是替底特律三大車廠
[26:56] 送大一大地多
[26:58] 另外一方面放寬油耗標準以後
[27:01] 車廠現在就不必為了提升
[27:03] 平均的燃油效率
[27:04] 而去勉強生產低價車
[27:06] 或者虧損的電動車
[27:07] 那就是我就不要用這麼多電了
[27:10] 你們的技術上也不用做挺進
[27:12] 你們重點在於幫我創造更多的製造就可以了
[27:15] 事實上川普在去年也大量的取消綠能補貼
[27:18] 還有太陽能補貼
[27:19] 那的確當時還跟馬斯克有適度矛盾
[27:22] 不過你看2025年的總體補貼
[27:25] 可能連2024年一半都不到
[27:28] 那2026年更是完全停擺了
[27:30] 那反而在達沃斯論壇當中
[27:32] 美國跟中國的能源政策就完全相反
[27:35] 這一次中國副總理何立峰
[27:37] 他主動把氣候議題拉回到聚光燈
[27:39] 來呼籲歐洲各國跟中國一起攜手推動低碳轉型
[27:43] 一起推動綠色基礎建設
[27:45] 能源礦產到綠色金融
[27:47] 那這番表態
[27:48] 我們當然知道
[27:50] 在美國氣候現在立場相對保守的背景下
[27:53] 就變成了強烈對比
[27:55] 因為對中國來講
[27:56] 這不是氣候宣示
[27:57] 它是一個經濟轉實的現實選擇
[27:59] 大家也知道中國內部經濟
[28:01] 房地產動能下滑
[28:02] 太陽能電池電動車產業
[28:04] 現在變新引擎了
[28:05] 如果全球都照川普所說的
[28:07] 開始右轉
[28:08] 氣候議題變得不重要
[28:10] 那我生產這麼多的太陽能裝置
[28:12] 綠電裝置該怎麼辦呢
[28:14] 我們要知道
[28:14] 中國現在幾乎壟斷了全球綠能產業鏈
[28:17] 在25年
[28:18] 不管是太陽能模組
[28:19] 離電池
[28:20] 電池金屬
[28:21] 還是風電裝置
[28:22] 中國的產能比例
[28:24] 基本上都超過六成到七成
[28:26] 紅色區塊就是中國的市佔
[28:27] 大家可以看得出來
[28:29] 中國基本就等同於
[28:31] 全球綠電發展的代表
[28:32] 所以一定要讓所有人都繼續用綠電
[28:35] 所以無論從這個脈絡看下來
[28:37] 不管是我們看到的
[28:39] 達沃斯論壇高喊的氣候合作
[28:41] 調整補貼
[28:42] 還是對於歐洲電動車價格讓步
[28:44] 你都可以發現
[28:45] 把部分的綠能產業外移
[28:48] 一方面當然是國際壓力
[28:50] 經濟轉型
[28:51] 地緣政治平衡
[28:52] 但核心邏輯是什麼
[28:53] 它最後是因為
[28:54] 這已經是黨中央
[28:56] 十幾年的戰略的方向
[28:58] 綠色轉型
[28:59] 它已經不是什麼市場自發性的選擇
[29:01] 它是一個我已經壟斷的產業
[29:03] 怎麼可以說改就改
[29:04] 我好不容易才獲得這樣的一個成果
[29:06] 我好不容易可以消化過剩的產能
[29:09] 重塑對外的話語權
[29:10] 但是絕對不能因為川普這件事情
[29:13] 全球的氣候政策轉向都改變
[29:15] 所以說到最後
[29:16] 當然一切還是為了黨中央
[29:18] 之前看到有個故事
[29:20] 忘記在哪裡看到了
[29:22] 他說當年毛主席
[29:23] 為了要在國共內戰當中鼓舞士氣
[29:27] 親自下場跟部隊團練
[29:30] 還一起沐浴
[29:31] 洗澡的時候很奇怪
[29:33] 大家軍人都脫光光
[29:34] 在澡堂洗澡
[29:36] 毛主席穿了一條內褲
[29:38] 大夥就問
[29:39] 您一起洗就一起洗
[29:42] 穿條內褲是什麼意思
[29:44] 毛主席說
[29:45] 這一切都是為了黨中央
[29:48] 所以很多政策的背後
[29:51] 他都是為了黨中央
[29:53] 已經高達十年級的計劃
[29:54] 他也無法整完
[29:56] 你說是因為中國人愛好綠能
[29:59] 愛好環保
[29:59] 這個是另外一個層次的問題
[30:02] 問題是他已經壟斷這個產業了
[30:04] 他已經獲得逐步成果了
[30:06] 絕對不能這個時候
[30:07] 氣候變遷
[30:09] 轉型問題
[30:10] 開始產生大幅轉彎
[30:11] 那他的成果不都白費了嗎
[30:13] 所以我們看到
[30:14] 今天我們主要是聊三大主題
[30:16] 也是聊的比較廣一點
[30:18] 我們同時在三條戰線上來做觀察
[30:21] 一方面美歐關稅戰的衝突已經翻頁
[30:24] 格林蘭的框架協議換取暫停加徵關稅
[30:27] 那麼市場上
[30:28] 不管是盟友
[30:29] 還是市場對於價格的評價
[30:31] 都開始回到一個正常位階
[30:33] 對內的部分
[30:34] 聯準會主席
[30:35] 到底誰會出臺
[30:36] 大家是壓住Cabin Watch
[30:38] 可是市場仍然在獨立性
[30:40] 和政治揭露當中
[30:41] 反覆的解讀
[30:42] 第三個就是川普
[30:43] 首次正面碰觸到
[30:45] 電力和能源瓶頸的問題
[30:46] 他承認
[30:47] AI資料中心和製造業迴流
[30:49] 的確正在推升電價
[30:50] 他放心
[30:51] 我們在中期選舉以前
[30:52] 一定會看到電價下滑的
[30:54] 因為我有自己的辦法
[30:56] 來確保這些資料中心
[30:57] 採取適度的平衡
[30:59] 所以川普在這幾個月的談話
[31:03] 加上昨天的發文
[31:04] 從這三大議題來往下延伸
[31:06] 你就會發現整個2026年的
[31:08] 整個輪廓越來越清晰
[31:10] 這個清晰也可以說是不清晰
[31:12] 因為它等同於不確定性的上升
[31:14] 可是這個不確定性
[31:15] 開始從2025年的教訓當中
[31:17] 獲得平衡
[31:18] 不確定性當中
[31:19] 多了一點確定性
[31:21] 川普還是那個川普
[31:22] 但是大家已經不是想象的
[31:25] 那個歐洲了
[31:26] 中國已經不是想象中的中國了
[31:28] 臺灣也不是單純的臺灣了
[31:30] 大家都在2025年當中
[31:31] 學到了極多的經驗
[31:32] 好的
[31:33] 美股市上漲572點
[31:34] 刷31818點
[31:36] 完全沒受影響
[31:37] 公元只睡一天
[31:39] 睡公元的日子實在是越來越少了
[31:42] 很想念各位
[31:42] 對不對
[31:43] 給投資朋友做一些參考
[31:44] 路上有節目
[31:44] 就幫我們訂閱按贊分享
[31:45] 我們就明天早上半點半
[31:46] 早晨財經速點圖再相見
[31:48] 祝各位投資朋友
[31:49] 看完順利
[31:49] 操盤愉快
