[00:00] 投資變換收聽早晨財經速解讀
[24:29] 外資在今年已經賣了392億
[24:31] 投信賣更多
[24:32] 賣了1136億
[24:34] 那投信從20年就一路買到2025年
[24:37] 結果26年居然都在做調節
[24:39] 那說明臺灣存股族
[24:41] 真的只喜歡股價跌的時候
[24:42] 股價上漲都不喜歡買股票
[24:44] 反而是外資從20年
[24:47] 也一路賣到2025年了
[24:48] 股價就這樣一路站上去
[24:49] 說明現在市場的內資
[24:51] 的確主力所形成的買盤是非常強勁的
[24:55] 因為就連ETF買盤
[24:56] 現在也是興趣缺缺
[24:57] 那跌不動我怎麼買呢
[24:59] 所以如果我們看
[25:00] 那市場上這一些大戶
[25:02] 會不會在年前選擇撤償呢
[25:04] 融資預約昨天是稍微減了50億
[25:06] 但那個數目就不是很多
[25:08] 大盤融資維持率
[25:09] 也保持在一個相對健康水位
[25:11] 165%左右
[25:12] 至少比之前170下滑了蠻多了
[25:16] 那也就代表著
[25:17] 現在如果是一個正常的健康修正
[25:19] 其實就沒有要走的壓力了
[25:21] 因為大盤融資維持率
[25:23] 並沒有在一路的創高
[25:24] 那麼現在呢
[25:25] 似乎外資也沒有太多的回補意願
[25:28] 那臺股散戶的ETF買盤也是如此
[25:31] 這就意味著
[25:32] 一旦有一天貨幣升值所帶動的外資回補
[25:35] 可能有更進一步的買盤還在做推升
[25:38] 我們為什麼這樣講
[25:39] 原因很簡單
[25:40] 因為從臺灣最新所公佈的PNI資料
[25:42] 已經透露出景氣復甦在即
[25:45] 1月份PNI已經衝高到57.2
[25:48] 比上個月再明顯的跳升
[25:50] 創下4年來最快的成長節奏
[25:52] 這已經連續4個月成長了
[25:54] 之前的成長都會覺得
[25:56] 是不是在50的榮估線上上上下下
[25:59] 這一次完全灌破了
[26:00] 那當然其中一個主要原因是因為
[26:02] 傳產的樂觀情緒已經全面反映在PNI
[26:05] PNI是領先指標
[26:06] 它是統計市場經理人的囤貨意願
[26:09] 那現在呢
[26:10] 當臺美談判協議一旦談定以後
[26:12] 所有傳產都認為
[26:14] 目前既有的關稅稅率啊
[26:16] 將有利於傳產今年全面復甦啊
[26:18] 甚至呢
[26:19] 能夠相對於日本韓國產品更具競爭力
[26:22] 原因是因為我們以前的關稅就比人家高嘛
[26:24] 現在齊頭是平等
[26:25] 反而更有機會
[26:26] 新訂單數量目前衝過到58.9
[26:29] 原物料到76
[26:30] 未完成訂單58
[26:32] 就連未來6個月的展望
[26:33] 也從原本的51直接跳升到61
[26:36] 那我們過去跟投資朋友提過
[26:37] 從臺灣PNI的製造業經理人採購指數
[26:41] 它是一個簡單的景氣指標
[26:43] 50以下就買點
[26:44] 我們看到在去年年底
[26:47] 在整個2022年到23年
[26:49] 2020年
[26:51] 2018到19年美洲貿易戰
[26:52] 2015年到16年的上證股災
[26:55] 12年到13年歐債危機
[26:57] 基本上每三到四年
[26:59] 就會有消費性的電子迴圈
[27:01] 那這一波其實25年
[27:02] 正常來講
[27:03] 迴圈幅度應該要下滑的更大
[27:05] 那其實只下滑到48左右
[27:07] 就差不多就停了
[27:08] 原因就是來自於去年AI爆發了
[27:11] 那這一次看起來
[27:12] AI已經把傳產給往上帶動了
[27:14] 這是一個新的契機點
[27:16] 就代表著整條上升週期
[27:18] 景氣擴張週期已經逐步開啟
[27:20] 所以這個時候
[27:21] 大家手上有部位
[27:23] 那時候很煩惱
[27:24] 哇那怎麼波動這麼大
[27:26] 你有部位才會煩惱
[27:28] 甚至能賣掉更煩惱
[27:29] 在市場常見的現象
[27:31] 是有部位會因為波動而煩惱
[27:33] 沒部位呢
[27:34] 你會因為錯過而煩惱
[27:36] 持有的時候價格上上下下
[27:37] 投資人就會被風險和回撤牽動情緒
[27:41] 一旦賣出
[27:41] 風險確實消失啦
[27:43] 心理壓力卻轉成機會成本
[27:45] 你看著價格繼續上漲
[27:46] 承受賬面的震盪更難受啊
[27:49] 人家講老公偏頭痛嘛
[27:52] 老婆就一邊按摩老公的頭
[27:54] 她一邊問
[27:55] 在我們結婚之前
[27:57] 誰給你按摩頭
[27:59] 老公的回答
[28:00] 在我們結婚之前
[28:03] 我從來沒有頭痛過
[28:04] 你有部位才會痛
[28:08] 那是因為你的財富認知變現了
[28:11] 但是呢
[28:12] 你反而
[28:13] 你賣掉以後
[28:14] 你以為不會頭痛
[28:16] 賣掉之後頭更痛
[28:17] 因為上漲更快
[28:18] 持有時的賬面波動
[28:20] 還在可控範圍
[28:21] 人會把焦點放在風險
[28:23] 在賣出之後
[28:24] 風險消失了
[28:26] 情緒就變成機會成本了
[28:28] 少賺要人命
[28:30] 所以這背後的投資道理
[28:31] 還是很簡單的
[28:32] 有時候折磨我們心裡的
[28:33] 不是虧或者賺
[28:35] 或者說
[28:37] 也不是多賺或者少賺
[28:39] 是你要避免
[28:40] 自己後悔的這種方式
[28:42] 也不是說永遠不賣
[28:43] 而是說你每一個階段
[28:45] 每一個投資策略
[28:46] 你已經提前規劃好
[28:47] 你知道該做什麼樣的事情
[28:48] 你知道情緒指標到位的時候
[28:50] 你要做什麼事情
[28:51] 你知道市場上進入到龍井期
[28:54] 或者到景氣低迷起的時候
[28:55] 你應該做什麼樣的事情呢
[28:57] 你有一個基本認知
[28:58] 就不會每天這麼焦慮了
[28:59] 現在好像漲
[29:00] 大家也很焦慮
[29:01] 其實大家也很焦慮
[29:02] 有什麼好焦慮的呢
[29:03] 給投資朋友做一些思考
[29:05] 那我們今天聊的範圍比較廣
[29:06] 我們主要是跟投資朋友
[29:08] 從一開始
[29:08] 在整體原物料價格
[29:10] 稍微回擋以後
[29:11] 也引發著PPI
[29:13] 是否有開始回穩的條件
[29:15] 那現在記憶體價格
[29:16] 或者高估值的股票
[29:17] 稍微回擋以後
[29:18] 是否也有利於
[29:19] 整體報價的降溫
[29:21] 如果一旦降溫
[29:22] 那今年的通膨壓力能夠因此而釋懷
[29:24] 那與此同時
[29:26] 整個臺股市場週期的演變
[29:28] 其實也就意味著
[29:29] 整個臺灣的出口業保持的相當強勁
[29:32] 對於內資的買盤的拉抬力度仍然存在
[29:35] 不管是針對黃金的買盤
[29:36] 還是說我們看到內資主力
[29:38] 即便投信外資不回補的情況底下
[29:41] 他就是給你撐在這樣的一個位置
[29:43] 我也沒有打算要離開
[29:45] 這給投資朋友做更進一步的借鏡
[29:47] 可是總總來說
[29:48] 市場上已經開始產生新一輪的週期輪動
[29:51] 那就是大家已經開始更嚴謹的來看待本輪的AI行情
[29:55] 我要買的股票
[29:56] 我要買的資產
[29:57] 一定是那個不能夠超漲
[29:59] 一定是估值不能夠太高
[30:01] 最好有護城河的股票
[30:03] 從最犀利的訊號
[30:05] 記憶體到電池到市場上高波動高預期
[30:08] 最容易被砍
[30:10] 以現在市場上一旦有個風吹草動
[30:12] 都直接選擇相對比較穩定的資產
[30:15] 大家還是要參與行情
[30:17] 可是參與的方式似乎已經產生輪動和改變了
[30:20] 臺股上漲601點
[30:21] 收在32,225點
[30:23] 臺積電重回到1800塊
[30:26] 真的跌不動
[30:27] 那我們就後續來觀察
[30:29] 那這一波內資
[30:30] 已經撐住了臺股
[30:31] 接近有10月到現在
[30:33] 有半年的時間
[30:34] 有一個季度的時間
[30:36] 那接下來幾個季度
[30:38] 除了內資以外
[30:39] 有人會回來嗎
[30:40] 投信ETF買鈔會回來嗎
[30:42] 外資會回來嗎
[30:43] 我們後續拭目以待
[30:44] 給投資朋友做一些參考
[30:45] 如果喜歡我們節目
[30:46] 記得幫我們訂閱按贊加分享
[30:47] 我們就明天早上半半
[30:48] 早晨財經速解讀
[30:49] 再相見
[30:49] 祝各位投資朋友
[30:50] 看完就唸 彩虹一塊
