[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 可是呢他又没有造成全面性的系统性的飙升
[25:48] 如果真人医师提供错误的建议
[25:51] 导致病患严重受害的话
[25:53] 那我们当然会有医疗的责任
[25:54] 那如果是AI聊天机器人
[25:56] 提供错误的医疗建议
[25:58] 那OpenAI要不要负责任呢
[26:00] 同样的情况也在政府服务当中
[26:02] 当政府利用AI来评估
[26:05] 一个人的福利资格有没有达到
[26:07] 贷款条件
[26:08] 社会救助有没有达到的时候
[26:10] 系统如果出现错误
[26:11] 谁能够负责
[26:13] 能不能有有效的申诉管道
[26:15] 教宗最近就提到
[26:17] 人类现在缺乏新的AI的伦理观
[26:20] 教宗这就特别提到
[26:22] 他说现在全球在这场AI革命当中
[26:26] 被利润的崇拜推着走
[26:29] 什么意思呢
[26:30] 他特别点名
[26:31] 我们不应该把生死的决策
[26:33] 交给人工智能系统
[26:35] 尤其在战争领域
[26:36] 现在AI已经被大量导入到军事决策
[26:38] 包括最近的伊朗行动
[26:40] 都开始用AI辅助分析和打击判断
[26:42] 教宗就提到
[26:44] 现在所有的军事攻击
[26:45] 都必须保留明确的人类的责任链
[26:48] 不能够让机器决定
[26:49] 如果你开的那一枪
[26:51] 是由机器来自动识别
[26:53] 这个人有没有风险
[26:54] 那么基本上就违反了过去的正义战争理论
[26:58] 因为等同于是机器在杀人
[27:00] 那么人的残酷心
[27:02] 当年纳粹把犹太人推到毒气室
[27:05] 一个很重要的关键就是
[27:06] 你不用眼对眼的看着它离去
[27:09] 你只要按一个按钮释放毒气
[27:11] 这种做法是很违背人性的
[27:14] 教宗也不只是批评军事AI
[27:15] 他也全面挑战整个系股的科技文化
[27:18] 他也点名说
[27:19] 现在很多AI发展的背后
[27:21] 有一种那种谁更有思维
[27:24] 把人简化成数据和效率的工具
[27:27] 如果AI以后开始决定贷款
[27:29] 决定工作的录取
[27:31] 决定公共服务的资格
[27:34] 甚至AI开始模仿同理心
[27:36] 陪伴和情感互动
[27:38] AI最后就会取代牧师
[27:40] 取代很多智商师
[27:42] 取代很多聊天的契机
[27:44] 逐渐失去建立真实人际关系的能力
[27:48] 到时候人跟畜生就没什么两样
[27:50] 人跟闲鱼就没什么两样了
[27:52] 不过回过头看
[27:53] 这其实就是不同世代的价值观
[27:56] 以前我们吃饭滑手机
[27:58] 等于被打
[28:00] 现在吃饭
[28:01] 滑手机已经蛮普遍的
[28:03] 有时候时代变迁就是这样子
[28:04] 很多人意识到自己长大的瞬间
[28:07] 就发现
[28:08] 整个世界被AI开始重塑
[28:11] 我们上一代人不理解的内涵
[28:13] 我们下一代人
[28:14] 就要用新的角度
[28:15] 去给他做新的评价
[28:17] 这就是我们看到的真实迹象
[28:19] 所以有时候讲说时代不同了
[28:21] 我们对于传统的交往
[28:23] 人际交往的方式
[28:24] 其实什么导师的角色
[28:27] 都开始陆续改变了
[28:28] 之前看到一本书
[28:29] 里头就讲到那四个年轻人聚会
[28:32] 大家就在聊
[28:33] 什么时候开始意识到
[28:35] 自己不再是一个小孩子了
[28:37] 第一个年轻人说
[28:38] 当爸妈掉到菜里的头发
[28:41] 从黑色变成白色的时候
[28:44] 第二个年轻人说
[28:45] 当我从接过别人红包
[28:48] 改成包给别人红包的时候
[28:50] 第三个年轻人说
[28:52] 当我遇到烦恼
[28:53] 不再敢跟妈妈倾诉的时候
[28:56] 后来他们问第四个
[28:57] 那你呢
[28:57] 当神父对我不感兴趣的时候
[29:01] 所以时代变了
[29:03] 很多人对于传统的牧师
[29:05] 智商师
[29:06] 导师的角色也跟着改变了
[29:08] 我们父母那一代
[29:09] 属于工业化和全球化
[29:11] 高速成长的年代
[29:12] 但我们现在踏进的
[29:13] 是AI是演算法
[29:15] 是自动化
[29:16] 重新分配财富的一个时代
[29:18] 以前的安全感
[29:19] 感觉是做久一点越安全
[29:21] 现在安全感
[29:22] 来自于你学的够不够快
[29:24] 那种感觉
[29:26] 就很像某一天你突然发现
[29:28] 原来你已经不是
[29:29] 跟在爸妈后面的小孩
[29:30] 我们新的时代来临
[29:32] 是不是真的要有一个新的AI的轮体观
[29:35] 法律观逐步形成呢
[29:36] 教宗讲的话值得思考
[29:38] 但是我们也知道
[29:38] 我们不会因为他讲的话
[29:40] 我们就放弃发展AI
[29:41] 我不做国防AI
[29:43] 他也会做了
[29:44] 我们看北韩
[29:45] 最近就在发展AI
[29:46] 太阳AI
[29:47] 北韩政府最近公开测试
[29:49] 一款具备AI终端引导功能的巡弋飞战
[29:52] 由金正恩亲自视察
[29:54] 代表北韩已经正式承认
[29:56] 把人工AI技术整合到飞弹系统
[29:59] 北韩官媒特别强调
[30:00] 现在把这项技术
[30:02] 专门部署在南韩边境的炮兵部队
[30:05] 能够精准地打击
[30:06] 100公里内的目标
[30:07] 直接锁定哪里人最多
[30:09] 就往哪里去
[30:10] 这就意味着
[30:11] AI已经从美中科技巨头
[30:14] 我们本来还想说
[30:15] 我们互相说好
[30:16] 大家大国之间不要乱动
[30:18] 现在中小型的军事体系
[30:21] 未来的战场竞争
[30:22] 也开始大量地导入AI化
[30:24] 这会大幅地拉升
[30:25] 小国的这种不推正性战力的提升
[30:28] 所以我们看到一系列的
[30:30] 不管是一开始我们提到的缺料
[30:33] 到后来我们看到的缺电
[30:35] 其实也不止缺人才
[30:37] 或者缺伦理官
[30:39] 还缺数据
[30:40] 缺信任
[30:41] 缺伦理
[30:42] 缺商业模式
[30:43] 缺生产力
[30:43] 这一切的一切
[30:45] 都是我们看到市场正在迎来一个新的变革
[30:48] 那在这个新的变革过程当中
[30:50] 我们就要寻找自己能够资产致富的机会
[30:53] 寻找自己能够顺应这个时代的工作性能力
[30:57] 也给投资朋友做些思考
[30:58] 好台北股市
[30:59] 一样现在涨700点了
[31:01] 收来45490点
[31:02] 我们今天主要是稍微梳理
[31:04] 美股股市台北股市的市场动态
[31:07] 市场在追涨行情过程当中
[31:09] 至今开始产生了轮动
[31:10] 第二件事情就来自于
[31:12] 市场什么都在缺
[31:14] 它造就了无法立即泡沫破灭
[31:16] 因为无法进行算力过剩
[31:19] 但是这些缺料缺电的问题
[31:22] 它都是让市场接下来
[31:23] 也许有一天估值回调的理由
[31:25] 某种程度就奠定了
[31:27] 仍然是一个缓牛格局
[31:29] 仍然会有中期回调发生的可能性
[31:31] 只是短期内并没有泡沫破灭的风险
[31:34] 也给投资朋友多多热思考
[31:35] 如果喜欢我们节目
[31:36] 记得帮我们订阅按赞加分享
[31:37] 我们就明天早上8点半
[31:39] 早晨财经素材图
[31:40] 再相见
[31:41] 祝各位投资朋友
[31:41] 看完顺利
[31:42] 操盘愉快
