[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 看起来并不是特别的满意
[25:10] 也就是以前那个细张
[25:12] 北海道不是破产了吗
[25:14] 然后27年他还清了300亿日元的债务
[25:17] 那现在为了往各地做进一步的发展
[25:20] 政府为了介入半导体
[25:22] 进行大规模的地方政府财政补贴
[25:24] 那预估会拨款
[25:26] 至少数兆日元到日本各地
[25:28] 那这都形成进一步的压力
[25:30] 就是高市政权
[25:32] 采取了高强度的财政刺激以后
[25:34] 债务的膨胀压力来得越来越大
[25:36] 那高市政府压力比较大
[25:38] 来自于今年预估
[25:39] 潜在经济成长率有可能是零
[25:41] 可能表现并不是特别好
[25:43] 这也形成进一步市场的压力
[25:46] 高市现在虽然抢到了
[25:48] 财政的预算主导权
[25:49] 但是还是遭到债市和会市的教训
[25:53] 所以我们必须承认
[25:54] 现在最大的问题
[25:56] 其实就来自于
[25:57] 全球的债券市场
[25:58] 表现都并不是特别好
[25:59] 尤其我们在日本公债的部分
[26:01] 目前公债殖利率
[26:02] 创高速度非常非常之快
[26:04] 30年期公债殖利率
[26:06] 已经突破到4%
[26:08] 10年期公债殖利率
[26:09] 已经突破了3%
[26:11] 那过去30年
[26:12] 日本公债一直以来
[26:13] 都被视为寡妇交易
[26:15] 原因就是因为很多投资人
[26:17] 他不断地去放空日本公债
[26:18] 压住殖利率上升
[26:20] 结果最后因为日本长期
[26:22] 维持零利率和负利率政策
[26:23] 而惨遭嘎空
[26:24] 那现在市场担心
[26:26] 历史可能反过来
[26:27] 投资人如果现在
[26:28] 又开始接受你的公债
[26:30] 政府又继续的扩张财政支出
[26:32] 那通膨又升温
[26:33] 然后日央后续又跟上
[26:35] 又继续升息
[26:36] 那最后殖利率可能就
[26:38] 翻身的速度反而更快了那就变成多头部位反而形成新的寡妇交易所以这件事情我们还是看得出来日本政府的难关日本政府虽然是难关可是日元呢
[26:49] 如果你继续保持在贬值区间
[26:51] 那这场游戏搞不好还玩得下去
[26:53] 其实日元到底是继续续贬好
[26:55] 还是转为升值好
[26:57] 大家的看法不太一样
[26:58] 像东京都知事
[27:00] 小职百合职就认为
[27:01] 日元应该就继续贬下去
[27:03] 没有问题
[27:04] 为什么呢
[27:05] 因为如果是日元反而成为了
[27:06] 东京吸引全球新创企业
[27:09] 和海外同志的重要关键
[27:10] 而且大家都来日本玩
[27:12] 那不是可以造成
[27:13] 日本经济内部的一个优渥吗
[27:15] 那小池百合子也强调
[27:17] 日本最大的竞争力是制度环境
[27:19] 包括民主政治法治
[27:20] 这些是长期吸引人才
[27:23] 和企业落脚的重要关键
[27:24] 那日元继续保持贬值
[27:26] 即便债务膨胀
[27:28] 但我们也已经习惯了
[27:29] 这么多年的长期的债务
[27:31] 压力应该也还好啦
[27:32] 当然这只是他的一面支持
[27:34] 我们清楚知道
[27:35] 日元的贬值对于出口的提振效果
[27:38] 其实最近几年是越来越弱了
[27:40] 我们知道像台湾韩国
[27:41] 这几年不管升值贬值
[27:43] 基本跟出口没有太显著相关了
[27:46] 都是靠产业竞争力
[27:47] 都是靠半导体的实质辅助
[27:50] 所以我们才看到
[27:51] 高市现在花更多精力
[27:52] 其实是在财政上的刺激
[27:54] 和半导体的成果
[27:56] 而并不是特别去关注
[27:58] 日元的贬值是否有利于出口
[28:00] 所以高市虽然让日元贬值
[28:01] 但我认为不一定是为了让它
[28:03] 有更进一步的出口
[28:04] 那现在高市的内阁民调
[28:07] 大概已经跌破到五成了
[28:09] 民众的期待也开始慢慢降温
[28:11] 如果我们从朝日电视台最新民调
[28:13] 大概上个月是大跌了10.9个百分点
[28:17] 来到49.2
[28:18] 这是去年10月上台以来
[28:21] 首次跌破50%
[28:22] 那不支持率则是上升11.8个百分点
[28:25] 来到34.8
[28:27] 那调查也显示
[28:28] 对于高市内阁的理由
[28:29] 已经从期待政策变成
[28:32] 它比其他内阁好一点而已
[28:33] 但是它是否有提出好的效果呢
[28:36] 我们看不同的民调
[28:37] 朝日的支持率是从60%下滑到53%
[28:43] 每日新闻是从51%到41%
[28:45] JNN是从70%到65%
[28:47] FNN是从65.3%下滑到61.6%
[28:51] 看起来下滑都蛮快的
[28:52] 当然最近有不同的原因
[28:54] 因为近期是皇室的典范修法
[28:57] 然后首相面对相关的争议内容
[28:59] 与此同时我们也知道
[29:01] 因为高市最近发了一篇文
[29:03] 诉苦
[29:04] 就说七月
[29:05] 他几乎所有周末都待在首相管理
[29:08] 这是他的亲自发文
[29:09] 他说他从清晨一路工作到深夜
[29:12] 反复阅读经济财政基本方针
[29:15] 日本成长战略
[29:16] 而每天只能睡不到三个小时
[29:19] 自己还要洗浴室
[29:20] 还要洗碗
[29:21] 还要洗衣服
[29:22] 还要打扫
[29:23] 深夜还要继续阅读公文和答询资料
[29:26] 经常一路工作到天亮
[29:28] 从我就任以来
[29:29] 每天的睡眠时间不到三小时
[29:31] 相关的假期
[29:32] 即便有
[29:33] 也可能只能睡到五个小时
[29:35] 所以我趁着休假
[29:37] 完成积压已久的家务
[29:38] 包括烫了大量的手帕
[29:40] 内搭 上衣
[29:42] 缝补裙摆
[29:43] 还有外套的纽扣
[29:44] 我真是不擅长烫衣服
[29:46] 所以总是脱到最后才处理
[29:48] 明天开始
[29:49] 我又可以继续fighting
[29:50] 努力了
[29:50] 是他的发文
[29:52] 睡太少真的是一个问题
[29:54] 但人家难免会觉得
[29:55] 你在卖产
[29:57] 对不对
[29:58] 的确
[29:58] 我知道年纪稍微大一点
[30:01] 睡眠时间
[30:02] 可能好像没这么长
[30:03] 像我有时候
[30:04] 我也是体力很好
[30:06] 弄到很晚才睡
[30:07] 不过呢
[30:08] 当媒体去追问
[30:10] 首相是否因为睡眠不足
[30:12] 而受到影响
[30:13] 判断力的判断
[30:14] 可能会受到影响的时候
[30:15] 大家当然会担心
[30:16] 首相本来是多拼命
[30:18] 这是要透露出的那个氛围
[30:20] 现在变成了
[30:21] 国家最高决策者
[30:22] 是否会过度的疲惫
[30:24] 居然还要自己洗厕所
[30:26] 烫衣服
[30:27] 他应该可以请
[30:28] 两三个家政妇
[30:29] 可能不放心
[30:31] 因为老公在家
[30:32] 电影都有演
[30:33] 好但不是重点
[30:34] 重点就是
[30:35] 我们看得很清楚
[30:37] 知道
[30:37] 对于日本的压力
[30:39] 日元的贬值
[30:40] 对于日本国内
[30:41] 肯定是一股市场的压力
[30:43] 可是对于国际而言
[30:44] 它可能是本场游戏
[30:46] 继续玩下去的重要关键
[30:47] 所以我的看法是
[30:49] 也许那个引爆点
[30:50] 就来自于日元何时跻身
[30:51] 只要它继续走在贬值格局
[30:53] 这场游戏
[30:54] 其实还勉强
[30:56] 稍微玩得下去
[30:56] 我们知道
[30:57] 虽然它的支持率明显回落
[30:59] 可是他都回落到这个地步了
[31:01] 还有四五十%
[31:02] 已经算高了
[31:03] 我们过去提过
[31:04] 高市过去一年的执政成果
[31:06] 其实也不少了
[31:07] 他上任之后
[31:07] 大幅的扩大财政支出
[31:09] 推动了很多AI半导体
[31:11] 国防支出
[31:12] 带动了企业的成长
[31:13] 所以我们现在确定
[31:14] 日本已经彻底摆脱了通俗环境
[31:16] 可是通膨加成以后
[31:18] 加上日元的贬值
[31:19] 大家第一次
[31:20] 可能本世代的日本年轻人
[31:22] 第一次意识到
[31:23] 原来通膨可以涨得这么快
[31:25] 所以从民调来看
[31:27] 虽然他的支持率已经跌破了五成
[31:29] 但是放在多数民主国家领导人当中
[31:32] 他还是偏高的水准
[31:33] 我当时还看了一篇他的专访杂志
[31:36] 当时其实他给人的感觉
[31:39] 因为我记得他是一通电话
[31:41] 就决定要去进入到政界当中
[31:44] 是37年前的跨国电话
[31:46] 他本来在新闻当主播
[31:47] 然后一通意外的来电
[31:50] 让他跟政界人士有面谈的机会
[31:52] 结果他从媒体人就转回政治人物
[31:54] 当时也非常清秀
[31:55] 人难免会老
[31:57] 但岁月一定会留下一点
[31:58] 很急
[31:59] 但是真正有魅力的
[32:00] 都不是年龄
[32:01] 是整体给人的感觉
[32:03] 你看那张照片
[32:04] 多可爱
[32:05] 一个女孩子
[32:06] 可以在日本政界
[32:08] 搞到这种地位
[32:09] 其实也很厉害了
[32:09] 那现在难免有点压力
[32:11] 我们讲说
[32:11] 人到了一定年纪以后
[32:13] 都要为自己的长相负责
[32:14] 三分是父母给的
[32:16] 七分是后天自我的养成
[32:18] 你有没有发现
[32:20] 台上很多政治人物
[32:21] 撇开品行
[32:22] 有几个是长相
[32:25] 我觉得有点猥琐不堪
[32:27] 张头鼠目
[32:28] 内心龌龊的人
[32:29] 是不可能好看的
[32:31] 有点怪怪的
[32:33] 因为他无法平静坦荡的生活
[32:35] 相反的像我们观众朋友
[32:37] 这种慷慨悲歌
[32:39] 正气凛然的人
[32:41] 不管长得多么的粗犷
[32:43] 自然而然都会有一种
[32:44] 穿透人心的坚韧和平静
[32:47] 在人群当中
[32:48] 一下就可以感受到那种气场
[32:50] 所以美好的价值观不是无形
[32:52] 它是一种最好的化妆品
[32:53] 而且是外溢的
[32:54] 这就是我们讲的一身正气
[32:56] 台股股市下跌647点
[32:58] 摔4万4千208点
[32:59] 我们这边聊得很广
[33:01] 但是主要是锁定债券市场
[33:03] 回过头来对于股市的沉压
[33:05] 那影响债市的下压
[33:07] 有中东的问题
[33:08] 有美国主权债的问题
[33:10] 有投资整机再发行的问题
[33:11] 有日元能否保持续贬的问题
[33:14] 给大家多多一些参考
[33:15] 最后几分钟
[33:16] 今天要跟投资朋友推荐一本书
[33:18] 叫做好好退休
[33:20] 跟上礼拜导德书有点相似
[33:23] 好好退休这本书是诚心
[33:25] 就是我们看到这个
[33:27] 每次都看他的报告的那个诚心
[33:30] 他的一位作者所写
[33:32] 他的作者名字叫做宾斯
[33:35] 是一位女性的Pocket主持人
[33:37] 他邀请了20多位
[33:39] 退休规划领域的思想领袖
[33:42] 来深入分享他们各自认为
[33:44] 能够促成成功退休的重要关键
[33:46] 其实在疫情之后
[33:47] 大家应该已经意识到
[33:49] 这个退休资金的规划
[33:50] 可能以翻倍来做起跳
[33:52] 可能以前觉得
[33:54] 哇能够存到个2000万3000万
[33:56] 在台湾退休
[33:57] 应该算是蛮舒服的生活了
[33:59] 但如果你原本是这样的目标
[34:01] 可能搞不好到4000到5000万了
[34:03] 在20年30年以后
[34:04] 因为目前通膨的加成速度
[34:06] 其实是稍微快了一点
[34:07] 很多人都在谈提早退休了
[34:09] 但是如果你能够做一件
[34:11] 有热忱有成就感的事情
[34:13] 也未必会想过退休
[34:14] 这不代表工作很轻松
[34:16] 相反他可能有时候压力很大
[34:18] 工时很长
[34:18] 但是如果你在退休之后
[34:20] 还能够找到一份工作
[34:22] 能够对你带来满足感的话
[34:24] 往往就有了意义
[34:25] 反而真正想提早退休的人
[34:28] 很多人
[34:28] 他是被困在一份
[34:31] 自己不喜欢
[34:32] 又不得不做的工作里
[34:33] 所以有时候退休
[34:34] 是为了让我们
[34:34] 终于可以寻找
[34:36] 自己想做的工作
[34:37] 你说还要工作
[34:38] 对了
[34:39] 不同的人不同想法
[34:40] 有些人就是想好好退休
[34:42] 把提早退休当成终点
[34:44] 但真正需要思考的事情是
[34:46] 那你退休之后的人生
[34:48] 人生没有新的目标
[34:49] 退休它只是停止工作
[34:51] 未必代表生活
[34:52] 会变得更加充实
[34:53] 所以比起一心的想要退休
[34:56] 更值得努力的事情是
[34:57] 我们先能不能找到一份
[34:59] 自己愿意长期投入的工作
[35:00] 让生活本身变得快乐
[35:03] 而不是期待有一天终于不再工作
[35:05] 不同的心性
[35:06] 不同的思想
[35:07] 在本书当中都会做仔细的探讨
[35:09] 当然它更多是在财务上的一个学历
[35:12] 告诉你如何算出好自己的退休金
[35:14] 也推荐给我们的投资朋友
[35:15] 如果大家有兴趣
[35:16] 也可以在底下留言
[35:17] 留下你对于本书的想法
[35:18] 我们到时候抽两本书
[35:19] 送给投资朋友
[35:20] 大家可以先买下这本书
[35:22] 再把抽到的书
[35:23] 再送给你的朋友们
[35:25] 告诉他们
[35:25] 希望你可以好好退休
[35:27] 给投资品多做一些观察
[35:28] 就08分
[35:29] 如果喜欢我们节目
[35:30] 记得帮我们订阅按赞加分享
[35:31] 我们就下礼拜一早上八点半
[35:33] 早晨财经速写图
[35:34] 再相见
[35:35] 祝各位投资品开盘顺利
[35:36] 操盘愉快
