[00:00] 歡迎收聽谷外微 聖夢宮本期節目由NordVPN贊助
[00:03] 最近準備要過年了 相信很多人都在規劃春節出國返鄉
[00:07] 回臺灣過年 機場 飯店 咖啡廳都擠滿了人
[00:10] 這個時候你會很常用到公共的WiFi
[18:10] 那當然這個不知道要講說什麼
[18:11] 所以有些人
[18:12] 對國家的評論都不重要
[18:13] 不是我的意思是說
[18:14] 大家當然都可以吵架
[18:16] 只是說事情
[18:17] 還是要往前去做推進
[18:18] 那到底最後面要選誰
[18:20] 其實就像我們最後面
[18:21] 你吵半天
[18:22] 你還是用投票做決定
[18:23] 那你吵半天
[18:24] 你還是用股權做決定
[18:25] 公司都覺得要這樣做
[18:27] 那其他人到底
[18:28] 為什麼會有這麼多
[18:28] 奇怪的意見呢
[18:29] 特別是我覺得很爽的一點是
[18:31] 其實像臺灣這2500億
[18:32] 就是由民間企業去扛
[18:34] 那民間企業又由臺積電
[18:35] 臺積電其實是
[18:36] 臺灣人的大恩人之類的
[18:38] 他一家就扛掉超過一半以上吧
[18:40] 那幾個Fab
[18:40] Arizona的Fab
[18:41] 那幾個Face
[18:42] 然後下去擴散的
[18:43] 又再買新的地
[18:44] 他們應該就佔掉一半以上
[18:45] 然後再來其他OEODM
[18:47] 他們跑去搞
[18:47] 加一加
[18:48] 應該就可以達成這樣的一個數字
[18:50] 所以也不是說什麼
[18:51] 要憑空去扛臺灣股東之凱
[18:54] 要拿錢去做這樣的事情
[18:55] 不是
[18:55] 是他們本來就要去美國做投資
[18:57] 那當然我知道
[18:57] 其實在稍微早期一點
[18:59] 如果你去看張忠謀的一些說法
[19:01] 或者說像魏哲嘉的一些說法
[19:03] 他們其實對於去美國
[19:04] 一開始是有疑慮的
[19:05] 那是絕對的
[19:06] 因為在臺灣做東西做這麼順
[19:08] 他也知道說
[19:08] 這個東西可以在臺灣長得這麼好
[19:10] 一定有他的理由
[19:11] 只是後來他們的說法
[19:13] 都有一點改變
[19:13] 就變成說
[19:14] 其實現在是客戶要他們去美國擴廠
[19:16] 然後再來就是我們也知道
[19:17] 現在KPAC上銷
[19:18] 其實臺灣如果真的要把這些Fab
[19:20] 全部吃下來的話
[19:21] 我們電力是絕對不夠
[19:22] 就是立刻就會出問題
[19:23] 所以可以合理的想象說
[19:24] 臺積電已經變成一個全球企業
[19:26] 所以他跑到他的大客戶所在之地
[19:28] 因為客戶是美國人
[19:29] 在那邊設廠
[19:30] 其實我覺得是非常合理的
[19:32] 我就不會覺得這是一個什麼奇怪的事情
[19:34] 我自己本身也是臺積電股東
[19:35] 所以我不會覺得
[19:36] 這樣的決定是有什麼問題的
[19:38] 但也不是什麼抗全民支開
[19:39] 所以很多人的說法很怪
[19:41] 是他們把這些公司
[19:43] 可能想象成說
[19:44] 政府可以決定他們該怎麼做
[19:46] 沒有他們是民間企業
[19:47] 所以他們還是會有自己的想法
[19:50] 有時候會這樣做
[19:51] 可能他一開始也表態過
[19:52] 他覺得去美國不好
[19:53] 可是問題就是
[19:54] 後面開始去改口
[19:55] 那你就知道
[19:56] 怎麼會改口
[19:56] 因為客戶真的有要求
[19:58] 他去這樣子做投資
[19:59] 所以光是一個臺積電
[20:00] 可以把大家的投資
[20:01] 給談掉
[20:01] 我覺得就非常的幸運
[20:03] 拿了一個很好地
[20:04] 其實就類似說
[20:05] 臺積電他出了最多的錢
[20:06] 然後他扛了
[20:07] 可能最多的風險
[20:08] 那換來的是
[20:09] 其他人在對美
[20:11] 或對全世界的貿易上
[20:12] 美國的快樂夥伴們
[20:13] 也是會很顫望的
[20:15] 那這絕對是一個大加分
[20:16] 大概說一下自己的想法
[20:18] 那接下來我們來聊一下
[20:19] 臺積電法說會的一些說法
[20:20] 那一樣在一些
[20:21] 比較細部的數字上面
[20:22] 因為現在臺積電的關注度
[20:24] 已經非常高了
[20:24] 所以很多人都會寫
[20:25] 那我們就不去聊那些
[20:27] 可能比較細項的東西
[20:28] 或者說一些
[20:29] 名目上可能哪些產品
[20:31] 哪些節點
[20:31] 我們就不去聊那個
[20:32] 我們先聊我們自己抓到的
[20:34] 幾個重點
[20:34] 就我們認為說對於
[20:35] 像我自己的工作上
[20:37] 會有實質影響的東西
[20:38] 那來跟大家簡單的聊一下
[20:40] 那首先呢
[20:41] 臺積電要去調整
[20:42] 它的八寸的產能
[20:44] 那這件事情其實蠻重要的
[20:45] 我今天要講就是說
[20:46] 反正他現在就是要去把
[20:47] 自己的更多產能
[20:48] 積給那些先進的產品
[20:50] 所以有些東西
[20:50] 他就把它非燒掉
[20:51] 包含說像一些
[20:52] 邦品的東西
[20:52] 我們也聽說
[20:53] 已經把它放出去了
[20:54] 那這個8寸的產能
[20:55] 如果放出去的話
[20:56] 最大受惠者是誰
[20:57] 世界先進
[20:57] 一定就是Viz
[20:58] 那聯電的話
[20:59] 可能有些人會想象說
[21:00] OK他也會有機會
[21:02] 分到一些東西
[21:02] 但其實是以世界先進為主
[21:04] 就是臺積電的兒子
[21:05] 有可能可以拿到
[21:06] 他最多丟出去的一些
[21:08] 這個訂單
[21:09] 然後再來就是在
[21:10] N2的軟品方面
[21:12] 目前我們看起來
[21:12] 它的速度是很快的
[21:13] 所以在N2的一些
[21:15] 相關類股
[21:15] 當然最熟知的就是一些特化股
[21:17] 那你發現說市場很有效率
[21:19] 已經提早都先動完的
[21:20] 就前面有先拉過一波
[21:21] 但如果說N2可以提早
[21:23] 有更好的一個量產表現的話
[21:26] 那當然N2相關的這些類股
[21:27] 其實我個人都是覺得
[21:28] 在後面是
[21:29] 我會想要注意的一個物件
[21:31] 那再來就是在買地擴充套件方面
[21:33] 他們現在已經把CAPEX的數字
[21:35] 是拉到了52到56B
[21:37] 那這是一個非常大的數字
[21:40] 那本來在市場上
[21:41] 消費的預期
[21:42] 大概是落在45到48左右
[21:44] 甚至喊到48就算是偏高
[21:46] 我自己的預期是認為是50
[21:48] 50我已經覺得說蠻高了
[21:50] 身邊有那種聽床師跟我講55
[21:52] 一開始我還不太相信
[21:53] 我覺得那個是高到不可思議的一個數字
[21:55] 就surprise motherfucker 52到56
[21:58] 所以55的猜對了
[21:59] 非常厲害
[21:59] 那真的是一個超乎大家想象的數字
[22:02] 所以這樣的一個Kapex
[22:03] 它其實宣示的事情就是代表說
[22:05] 在一些產物跟裝置股
[22:07] 在接下來的一段時間
[22:08] 你會注意到他們的營收跟獲利
[22:10] 都會持續的表現很好
[22:11] 當然我知道有些人會去拿一個股價
[22:14] 來說故事
[22:15] 就是我自己
[22:15] 平常最反對的事情
[22:16] 因為你看到
[22:17] 可能開了這樣一個數字
[22:18] 那臺灣一些類股
[22:19] 是開高走低
[22:20] 所以說這個東西
[22:21] 其實是什麼
[22:22] 藉機拿來出貨之類
[22:23] 可是你看美股的裝置股
[22:24] 其實是繼續漲的
[22:25] 我個人認為是這樣
[22:27] 就代表說
[22:27] 臺灣真的有很多的
[22:28] frontrunner
[22:29] 臺灣真的有一大堆
[22:30] 在賭題材的人
[22:31] 或說是先知
[22:33] 簡單講是這樣
[22:34] 所以他們可能
[22:35] 趁這個機會
[22:35] 去把東西給丟出來
[22:37] 實質上當然
[22:38] 這些長期的裝置
[22:39] 跟產物的投資者
[22:41] 也不用多長期
[22:44] 那真的受傷的人是誰
[22:45] 是那些可能看到臺積電數字很好
[22:47] 然後才衝進來的人
[22:48] 但如果說你是完全的想要去賭一個題材的話
[22:52] 是算你輸沒錯
[22:53] 只是如果反過來你是相信說
[22:56] 因為臺積電真的去上修了他的capx
[22:59] 這不是一個題材
[23:00] 他已經告訴你說我的數字就是要拉上去
[23:02] 然後講說接下來三年我們會往100B的數字去看
[23:05] 這就代表他其實是會持續的去加大
[23:08] 他擴敞的幅度跟廣度
[23:10] 那也就代表說這些去靠臺積電吃飯
[23:14] 不管是裝置或是產物
[23:15] 在後面的成績就是會好
[23:17] 當然股價我們一定是不知道會怎麼樣跑
[23:19] 但我自己是相信說
[23:20] 特別是以市場多年的一些觀察經驗
[23:23] 很多時候是這樣
[23:24] 就是當一個訊息出來
[23:25] 然後他會先殺大家一波
[23:27] 因為前面有太多人
[23:28] 他是先去賭這個題材的
[23:29] 所以就想象成是動能仔跟賭題材的人
[23:31] 他們會在這個地方下車
[23:33] 或者說一些沒有信念的會在這個地方下車
[23:35] 後面如果說稍微的整理一段時間之後
[23:38] 繼續往上的話
[23:38] 那就代表說後面就是實質的買盤了
[23:40] 就是去買這些基本面的人就進來了
[23:42] 那所以我才會在前幾集
[23:43] 又跟大家聊到說
[23:44] 我會把這個地方設為一個checkpoint
[23:46] 那我大概跟大家分享一下
[23:47] 我是怎麼樣做
[23:48] 當然這我自己是這樣做
[23:49] 你就聽聽就好
[23:50] 我講說這個地方設為一個checkpoint
[23:52] 就是我本來是打算在
[23:53] 就是15號它開完法說之後
[23:56] 那如果數字超乎我的預期的話
[23:57] 假設股價轉強
[23:59] 我就要再去做更大程度的一個加碼
[24:01] 但是因為在隔天的開盤就注意到
[24:03] 東西開上去的時候
[24:04] 它是衝不上去的
[24:05] 然後接著就直接掉下來
[24:07] 所以對我來講
[24:07] 這邊就進入一個觀察的階段
[24:09] 我於是就直接反手跑去買被動元件
[24:11] 對我來講市場上
[24:12] 會有很多的題材存在
[24:14] 我本來是持有了
[24:15] 蠻多的裝置跟產物
[24:16] 是打算如果你衝
[24:17] 我就要再追
[24:18] 我就要再加更大
[24:19] 可是因為你不衝
[24:20] 我就先去打別的東西
[24:21] 接著我的觀察要點就是說
[24:23] 如果均線是持續的上揚
[24:25] 東西是持續的拉平
[24:27] 在上漲的話
[24:28] 也就是說前面的殺人
[24:30] 可以可能只是一小段
[24:31] 因為畢竟他不是說
[24:32] 怎麼吞噬直接把整個
[24:34] 過去買進的人全部套牢
[24:35] 他是隻殺那些
[24:36] 就是你剛追進來的人
[24:37] 所以如果說這些人的籌碼
[24:39] 被洗乾淨之後
[24:40] 在G以上的話
[24:41] 那對我來講
[24:41] 就會是一個加碼的時間點
[24:43] 那如果是比較保守的人
[24:44] 甚至可以抓
[24:45] 就是開最高的那個位置
[24:47] 你就想說那個地方套了一些人
[24:49] 那那個地方如果被解套的話
[24:50] 你知道散戶最喜歡做的事情
[24:52] 就是亂追亂殺
[24:53] 他解套他已經趕快賣掉他賣掉之後車子就會正式的展開所以對我來說會觀察一下就是現在我們所看到的這幾個裝置產物股他們做出來的殺人K的高點如果說被突破的話
[25:05] 可能就是自己會再想去做加碼的位置
[25:08] 除此之外
[25:09] 我覺得裝置跟產物
[25:10] 是走在一個非常好的軌道之上
[25:12] 因為這個是很簡單的
[25:13] 一個數字跟邏輯的遊戲
[25:15] 就是加了這麼多的KPX
[25:17] 就是有人要去完成
[25:18] 特別是在有些環節
[25:19] 有些人的share是
[25:20] 甚至七八成
[25:21] 或者說百分之百的
[25:22] 他們的營收獲利
[25:23] 就是一定會進來
[25:24] 只是當然營收穫利進來
[25:26] 其實不一定保證股價會上漲
[25:28] 所以對我們來講
[25:28] 這也是我們會再觀察的
[25:30] 為什麼會講說要設1月15號這個checkpoint
[25:32] 現在大家可能就明白了
[25:33] 因為這個地方會決定了
[25:35] 我們是不是要再加更多資金進來
[25:37] 在我的觀察會覺得說
[25:38] 稍微等一下
[25:38] 看接下來一兩個禮拜
[25:39] 怎麼樣去消化這個賣壓
[25:41] 然後再來做判斷
[25:42] 但我已經進入半放假模式
[25:44] 所以如果要買的話
[25:45] 應該也是慢慢點
[25:45] 接著我們來聊一下被動元件
[25:48] 在上集的開頭
[25:49] 我聊到說什麼
[25:50] 電阻方面有一些漲價
[25:51] 然後接著在昨天的盤中
[25:53] 就收到了押舉
[25:54] 就是國巨的漲價性直接出來
[25:56] 店主也去做一個漲價
[25:57] 所以我個人認為
[25:59] 被動元件有機會
[26:00] 就是下一個要出事情的地方
[26:02] 只是以現階段的角度來看
[26:05] 我們會認為說
[26:06] 這些被動元件
[26:06] 它的漲價背後的driven
[26:08] 其實是原物料的一個漲價
[26:10] 像是銀的漲價
[26:11] 如馬斯克所說
[26:12] 銀的價格如果持續上漲
[26:13] 它會影響到很多事情
[26:14] 所以像是這些什麼店主
[26:16] 電容電感
[26:17] 他們其實都是會受到
[26:18] 這些原物料的價格所影響
[26:20] 他們是蠻敏感的
[26:21] 所以當這些價格上升
[26:22] 那他就會設法要把這個東西
[26:24] 轉嫁給他的客人
[26:25] 那客人如果知道這個價格
[26:27] 可能會繼續上升
[26:28] 他們可能會提早去備更多的庫存
[26:30] 所以一搞下去
[26:31] 說不定另外一個
[26:32] 供需失衡的狀態也會出現
[26:34] 那只是我們還是得
[26:35] 冷靜的先猜解這個狀態
[26:37] 首先我們知道說
[26:38] 現在在被動元件最大的一個
[26:40] driven的來源
[26:41] 其實是來自於AI data center
[26:43] 他們有規格的提升
[26:45] 所以那其實是日系的廠商
[26:46] 那只是我最近在跟朋友討論說
[26:48] 這個劇本有點像之前春田的劇本
[26:51] 因為春田就選擇退出一些產品
[26:52] 那導致那時候國際之亂
[26:54] 那會不會之後
[26:56] 日系廠商突然間講說
[26:57] 他們可能因為要去僱
[26:59] 這些AI Server的東西
[27:00] 所以他選擇退出一些東西
[27:01] 那讓臺系廠商撿到
[27:03] 所以再一次被動元件之亂
[27:04] Part 2的產生
[27:06] 這個是我們有在先去做預先規劃
[27:08] 那目前看起來
[27:10] 在我自己的觀點是
[27:12] 我覺得TLVR這個電感
[27:14] 它可能是後面會很缺的東西
[27:16] 那再來身邊的一些產業研教的朋友
[27:19] 是跟我講說
[27:20] 反正就是電容應該是最缺的東西
[27:22] 那再來就是可能是電感
[27:24] 那最後才是電阻
[27:24] 那我覺得大家的共識都是
[27:26] 電阻應該是排在比較後面
[27:27] 為什麼
[27:28] 因為電阻的駕動率目前就是不高
[27:30] 那當然
[27:30] 相信大家應該也記得
[27:32] 我之前有跟大家聊過說
[27:33] 機體的駕動率
[27:34] 其實那時候還沒有開滿
[27:35] 可是你後來發現說
[27:36] 就有時候那供需適衡是這樣子
[27:38] 就類似說
[27:39] 你可能看到股價拉到8%
[27:40] 突然間就10%
[27:41] 那2%直接被人家瞬間秒掉
[27:43] 一樣的道理
[27:44] 可能當你注意到
[27:45] 那個駕動率
[27:45] 開始慢慢往上墊的時候
[27:47] 這些廠商他們自己會看
[27:49] 他們知道說
[27:49] 我的supplier
[27:51] 現在已經越來越多人去搶了
[27:53] 他搞不好直接選擇
[27:53] 把一些產能包掉
[27:54] 所以那個駕動率
[27:55] 慢慢上升到某個節點的時候
[27:57] 可能就直接會
[27:58] 整個被人家包走
[27:59] 就一瞬間就全滿了
[28:00] 就開始漲價
[28:01] 所以這個也是有機會發生的
[28:02] 不是說那個駕動率低的東西
[28:04] 就相對低的東西
[28:05] 就沒有機會
[28:05] 只是我們會比較有警訊一點
[28:07] 比較警覺一點
[28:07] 那目前整體看下來
[28:09] 特別是我們已經看到
[28:10] 太多的漲價性了
[28:12] 那由這個風華高科所驅動
[28:14] 然後整個蔓延到被動元件
[28:17] 而且漲價其實是這樣
[28:18] 他們要看客戶可不可以接受
[28:19] 然後明天看客戶
[28:20] 好像都有被漲成功
[28:22] 所以在這樣的狀況看起來
[28:23] 說不定被動元件
[28:24] 有機會在後面
[28:25] 就是又再一次的重演
[28:27] 反正在這一兩年
[28:28] 好像最常見的狀態
[28:30] 就是缺貨漲價
[28:30] 搞不好他也會變成
[28:31] 缺貨漲價的一員
[28:33] 所以我就把它放進去
[28:34] 我的觀察裡面
[28:35] 前面比較沒有積極的
[28:37] 在看被動元件
[28:37] 他只是說
[28:38] 因為我本來的打算是
[28:39] 我認為裝置產物
[28:41] 是市場的topic
[28:41] 因為太明顯了
[28:42] 臺積電的KPX
[28:47] 等它化解之後我再來看看
[28:48] 接著可能就先去看一下
[28:50] 市場的其他的話題
[28:51] 在記憶體的方面
[28:52] 因為我在美股已經持續有做參與
[28:54] 所以其實我在臺股的記憶體
[28:55] 並沒有再去做額外的一些加碼
[28:58] 反而就是持續的去找尋新的題材
[29:00] 大概是這樣
[29:01] 簡單的跟大家聊一下
[29:03] 最近對於市場的一些看法
[29:05] 在臺積電的開出KPX
[29:08] 然後看到一些裝置廠物殺人
[29:09] 我在社群上有看到
[29:11] 有些人就想說這個就是結束了
[29:12] 我只能夠說
[29:13] 可能大家看的不夠多
[29:14] 很多時候是這樣
[29:15] 就是在短期內殺你
[29:16] 那是很正常的
[29:17] 超常見
[29:18] 超級常見
[29:19] 一個利多開出來
[29:19] 那就會有那些
[29:21] 先來賭的人
[29:21] 他們先獲利瞭解
[29:22] 然後之後整理一下
[29:23] 洗洗上
[29:24] 就是說
[29:24] 不要去把股票想得很壞
[29:26] 好像說他媽
[29:27] 隨時要拱你一樣
[29:28] 然後每個股票
[29:29] 都是要找機會
[29:30] 要把你買掉
[29:31] 你不要去買一些
[29:32] 很拐很垃圾的東西
[29:33] 你去買
[29:33] 其實有時候
[29:34] 還是要把Buffett
[29:35] 一些觀念放進來
[29:36] 你買的公司是
[29:37] 他的營收跟獲利成長
[29:39] 超級漂亮的公司
[29:39] 那個你其實
[29:40] 是不用太害怕
[29:41] 很多時候
[29:42] 時間到
[29:43] 氣氛對
[29:46] MK No.1
[29:48] 嗨 孟公
[29:49] 最近好像得了人生揚威
[29:51] 做啥都提不起勁
[29:52] 特別是花錢的時候
[29:53] 雖然資產不到九位數
[29:54] 但好像該體驗的都試過了
[29:56] 從頭等商務艙
[29:57] ROLEX到PP
[29:58] BMW到PORSCHE
[30:00] 每次體驗完都總有一股
[30:02] 不過就是這樣的空虛感
[30:04] 好像賺錢與花錢
[30:05] 也無法獲得從前的快樂
[30:07] 求開示感謝
[30:08] 這位兄弟我覺得可能是爆發戶
[30:10] 然後或者是說他社群花太多
[30:12] 所以他就很
[30:13] 比較單純的相信說
[30:15] 可能花錢就是應該要買到快樂
[30:17] 可是我只能夠說
[30:18] 花錢本身可以帶來一些快樂
[30:20] 沒錯
[30:21] 但是有很多的快樂
[30:22] 不是花錢帶來的
[30:23] 那我現在隨便舉幾個
[30:24] 花錢為我帶來的快樂
[30:25] 那花錢去買一個比較好的服務
[30:28] 搭比較好的倉等
[30:29] 快不快樂
[30:30] 快樂
[30:30] 但那個快樂的時間好像沒有很長
[30:32] 那花錢去買一個尼基的馬力公仔
[30:35] 花了五十幾萬日元
[30:36] 有沒有爽
[30:37] 我就超爽
[30:37] 那我花錢買了一臺Tesla的Model X Plate
[30:41] 有沒有爽
[30:42] 零
[30:42] 因為對我來講這個東西叫做工具
[30:44] 所以其實我買車
[30:45] 對我一點爽都沒有
[30:45] 或是我今天假設
[30:46] 在買一個更貴的車
[30:48] 我覺得我也沒有什麼感覺
[30:49] 因為每個人喜歡的點不一樣
[30:51] 就你怎麼會覺得說
[30:52] 我隨便花錢
[30:52] 我就一定會超爽
[30:54] 但花錢去買尼基的skin
[30:56] 或說棕色塵埃的色色skin
[30:58] 你覺得我快不快樂
[30:59] 我覺得超快樂
[31:00] 那打low花不花錢
[31:01] 打low完全不花錢
[31:02] 可是我現在每天晚上
[31:03] 跟朋友打low
[31:04] 然後打那個
[31:05] 那個模式忘記叫什麼
[31:06] 大亂鬥
[31:07] 就全部人在中路互吵的
[31:08] 那個是我可能這幾天
[31:11] 那種一整天下來
[31:12] 最快樂的一個時間點
[31:13] 他是不用花錢的
[31:14] 所以你怎麼會覺得
[31:15] 快樂全部都是用錢買的
[31:17] 那如果說你有這樣子的想法
[31:19] 你可能就會覺得說
[31:19] 錢是你的一切
[31:21] 你就會變成是錢的一個奴隸
[31:23] 然後你就會覺得說
[31:24] 甚至搞不好
[31:25] 哪一天帶女朋友出去
[31:26] 你也會覺得說
[31:27] 我花一堆錢在你身上
[31:28] 你為什麼不快樂
[31:29] 我都已經帶你來什麼地方
[31:30] 我都買了什麼倉的
[31:32] 你為什麼不快樂
[31:32] 不是因為快樂
[31:33] 不是全部都是用錢來衡量的
[31:35] 錢可以買到快樂
[31:36] 沒錯
[31:36] 那我剛才跟你分享
[31:37] 有些快樂我真的是用錢買的
[31:39] 可是有很多快樂
[31:39] 它是不用錢的
[31:41] 或甚至是會給你錢的
[31:43] 就像工作
[31:44] 對我來講
[31:44] 工作本身就是快樂的事情
[31:47] 我光是可以工作
[31:48] 我就覺得很嗨
[31:49] 雖然可能很多人覺得有病
[31:50] 所以之前跟大家分享說
[31:51] 我不喜歡一些廉價
[31:52] 有時候去幹剿一些廉價放假
[31:54] 我就會被一些聽眾罵
[31:56] 我能夠說因為我們是不一樣的人
[31:57] 你喜歡放假
[31:58] 你覺得當薪水小偷很爽
[32:00] 我覺得一點都不爽
[32:00] 我之前幫人家在打工的時候
[32:02] 我也不喜歡放假
[32:03] 我就覺得說
[32:04] 我只希望你多給我一點錢
[32:05] 我都已經把我時間花上來了
[32:06] 你就是給我一堆錢
[32:07] 我才不想要什麼
[32:08] 給你控制
[32:09] 你再多控制我幾年
[32:10] 然後反正你都會穩定給我錢
[32:11] 所以我覺得快樂這個東西的來源
[32:14] 有很多
[32:15] 花錢是一種
[32:16] 但你把它變得太狹隘了
[32:18] 你覺得好像只有靠花錢
[32:20] 才可以買快樂
[32:20] 那你當然會不太快樂
[32:22] 我只能夠這樣說
[32:23] 好那下面一位
[32:24] 玻璃心小屁
[32:25] 請問挨大經驗
[32:26] 有點長但念一下
[32:27] 請問挨大有沒有跟老婆一起組隊
[32:29] 打過英雄聯盟
[32:30] 或是類似的遊戲
[32:31] 男友是好勝心蠻重的人
[32:33] 常常因為我會戰後
[32:34] 還有大絕或是結算後
[32:36] 傷害最低而開始碎念
[32:38] 你都玩十多年了
[32:39] 怎麼還是沒有長進
[32:41] 女生嘛
[32:41] 總會想玩長得可愛的英雄
[32:43] 在後面哺哺戲也丟丟招
[32:45] 男友認為應該以大局為重
[32:47] 還要選一些隊伍欠缺的位置
[32:49] 通常是坦
[32:50] 那雖然他都說打完他就不生氣了
[32:53] 但被唸的我還是走不出那個情緒啊
[32:55] 那想請問Lisa會怎麼樣處理這種吵架的狀況
[32:58] 男友每次都會損失收聽節目
[33:00] 沒意外的話會跟男友一起收聽這一集
[33:02] 那希望可以用猛男的聲音說一聲
[33:04] 阿海人際
[33:06] 你要不要去抱一下你的女朋友吧
[33:08] 1月17號九週年快樂
[33:10] 祝福捱打一家身體健康新年快樂
[33:12] 也祝你們新年快樂
[33:13] 那首先我覺得你們的問題
[33:15] 蠻可愛的
[33:16] 但確實是值得來討論解決一下
[33:19] 那我是覺得
[33:19] 應該是男女朋友之間
[33:21] 有一些那種溝通上的東西
[33:23] 沒有先把前提講好
[33:25] 就像說你們打的場次是什麼
[33:26] 你們是打NG還是你們是打積分
[33:28] 如果今天是打NG的話
[33:30] 那老公真的是小軟蛋
[33:32] 有什麼好生氣的
[33:32] 可如果今天是打積分的話
[33:34] 老婆雷沙小
[33:35] 就是你打積分
[33:36] 你本來就不應該雷吧
[33:37] 你積分刷半天
[33:38] 只有人家跑來把你雷掉
[33:40] 你一定會超級不開心的
[33:41] 所以我會覺得
[33:43] 當然以女生的角度
[33:44] 我可以理解她講的
[33:45] 她想玩什麼可愛的英雄之類
[33:46] 或是說她不知道
[33:47] 她如果打Low的話
[33:48] 她應該都是玩幽咪吧
[33:49] 你是不是都玩幽咪
[33:50] 然後還會自己講說
[33:52] 我是一隻可愛的小貓咪
[33:53] 幫你回個血
[33:54] 然後老公叫你開大
[33:55] 你還會不知道開錯方向之類的
[33:57] 我自己想像這樣
[33:57] 就你可能沒有用心
[33:58] 她不高興就是說你沒有用心
[34:00] 就是你應該要稍微的用心一點
[34:02] 她會這樣想
[34:03] 但如果這個是NG的話
[34:05] 那我覺得她過頭了
[34:06] 所以先看你們是打積分還是打NG
[34:08] 那我還是覺得
[34:09] 如果你今天是要打積分的話
[34:10] 那確實就算你是好朋友
[34:12] 我們幾個三五好友在一起玩
[34:13] 有些一直雷的
[34:14] 也是會被抓出來檢討
[34:15] 那要衝他俠
[34:16] 然後以後就不想跟他排了
[34:17] 可是如果今天是打NG的話
[34:19] 像我跟我朋友
[34:20] 我們之前打樓打那個大亂鬥
[34:21] 那個就是像我們有一些場次
[34:23] 就是我們都故意選那種大男神坦
[34:26] 就是選那種超肥的角色
[34:28] 然後接著坦克引擎
[34:29] 然後巨人
[34:30] 反正就那幾個都要上滿
[34:31] 然後再來就是那個
[34:32] 星剛也要把他疊到幾千層
[34:35] 然後接著就衝進去
[34:36] 我們就是有一個約定是這樣子
[34:38] 反正死亡次數少於25次了
[34:40] 以後不要當朋友
[34:41] 就是他媽廢物
[34:41] 所以每次只要重生
[34:42] 都直接跳到對方里面狂炒之類的
[34:45] 雖然最後面是輸掉
[34:46] 可是大家玩得超級開心的
[34:47] 所以我覺得遊戲本身是這樣
[34:49] 就如果你今天把它變成是積分去打的話
[34:52] 我相信很多打積分的人
[34:54] 就不一定會開心的
[34:54] 因為那已經變成是一種競技了
[34:56] 那是比賽了
[34:57] 那是刻在我們的心中
[34:58] 就是說我一定要贏
[34:59] 所以你會覺得心情上不太舒服
[35:01] 就算你贏了
[35:02] 你可能也會擔心說
[35:02] 那接下來會不會被人家挑戰之類的
[35:04] 可是如果今天是玩NG的話
[35:05] 其實應該就是要快樂玩
[35:07] 那只是這個確實他需要花一點時間去調適
[35:09] 因為我以前也是這樣
[35:10] 我以前也是會在遊戲裡面
[35:12] 記分高下也絕生死
[35:14] 然後後來就發現說
[35:15] 沒有我應該把記分高下也絕生死
[35:17] 放在我的股市交易
[35:18] 或者說去YPI跟人家搶東西
[35:20] 老實就是一定要搶贏你
[35:22] 可是打遊戲的時候就稍微放寬心一點
[35:24] 然後有時候故意嘴一下對面
[35:25] 然後看對面超氣
[35:27] 你心裡有沒有覺得很爽
[35:28] 但你會覺得很爽的原因是因為
[35:29] 你以前可能也是曾經這麼氣
[35:31] 所以人家會覺得說
[35:31] 哈哈我把你弄生氣
[35:32] 我就覺得很開心
[35:34] 我是開心玩的
[35:34] 然後你可能玩到
[35:35] 不知道一整天
[35:36] 終於下班了
[35:37] 來打個遊戲
[35:37] 然後被搞到脾氣很差
[35:39] 你很氣
[35:39] 可是我很爽
[35:40] 那是一個爽度守恆吧
[35:42] 之類的
[35:42] 你的爽度都被我給偷走了
[35:44] 所以我覺得
[35:45] 如果是男女朋友
[35:46] 要一起打遊戲的話
[35:47] 先玩NG
[35:47] 就不要打積分
[35:48] 打積分的話
[35:49] 應該很難變成是好朋友
[35:50] 下面有位
[35:51] 登山仔YT底線Chan
[35:53] 短暫卻美好的相遇
[35:54] 希望被聽到
[35:56] 去年底獨攀苗栗之名的
[35:57] 雲海縱走
[35:58] 有位覺得投緣的女孩
[36:00] 在山頂聊了運動相機
[36:02] 大江Action4
[36:03] 幫我拍照並AirDrop
[36:05] 但當下累又緊張愣住了
[36:07] 也聽見他朋友們調侃
[36:08] 他怎麼沒有要聯絡方式
[36:09] 下山同行到停車場
[36:12] 卻因為害怕拒絕
[36:14] 始終沒有勇氣要IG
[36:15] 回去一直放在心上
[36:17] 若聽見IG用地標找
[36:19] 縱走名稱找最新有我的紀錄片
[36:22] 那我很喜歡那些照片
[36:24] 還沒有親口說聲謝謝
[36:26] 也許有些緣分錯過就是一輩子吧
[36:29] 祝孟公與聽眾都能夠度過人生難關
[36:32] 這個就是一個暈船仔
[36:33] 在山上給人家拍照之後
[36:35] 然後現在就戀愛了
[36:36] 那位地方妹妹
[36:39] 如果說你有聽到這一段
[36:40] 如果你剛好是我們的聽眾
[36:41] 或者說你的朋友是我們的聽眾
[36:43] 知道說有一個妹妹跑去爬山
[36:45] 苗栗的雲海縱走
[36:48] 然後有幫人家拍照
[36:49] 大家問一下
[36:49] 有沒有幫人家拍照的
[36:50] 我們來幫他促成一下
[36:52] 希望他們可以相遇
[36:54] 如果說你們真的有找到彼此的話
[36:55] 記得到那個什麼
