[00:00] 歡迎收聽古埃維生物工本期節目由NordVPN贊助
[19:24] 大概是低於差不多50到70億之間的
[19:28] 臺灣小公司
[19:29] 那我進去之後呢
[19:30] 我的一個做法就是買進並持有
[19:33] 基本上就像是當美股這樣子做
[19:34] 那我在臺股是比較少像美股這樣做
[19:36] 因為比較多題材的成分
[19:37] 所以今天可能一進去
[19:39] 發現說打輸了就走啊
[19:40] 就換下一個
[19:41] 就是也不會整天在那邊靠北
[19:42] 說什麼啊哪個東西被套
[19:44] 然後一直念一直念一直念
[19:45] 就是我發現說
[19:46] 我自己身邊也有一些人
[19:47] 會這樣整天在那邊念
[19:48] 就好像怎樣子
[19:49] 家裡出師是不是
[19:50] 你就拜託媽的
[19:52] Be a man好不好
[19:52] 你今天這個東西
[19:53] 你被套到
[19:54] 你就處理掉就好了
[19:54] 你不舒服就處理掉就好了
[19:56] 就這麼簡單嘛
[19:57] 只是就是
[19:57] 不知道很多人
[19:59] 沒有辦法做到這件事情
[20:00] 那我是刻意
[20:00] 就是去拉一個部位
[20:02] 我想要去做
[20:03] 像美股這樣
[20:03] 因為美股很多時候
[20:04] 真的會有那種
[20:05] 奇蹟般的報酬率出現
[20:06] 幾百趴上千趴都看過
[20:08] 那自己都沒有想過說
[20:10] 這個東西可以這樣子漲
[20:11] 你在當下真的都看不出來
[20:12] 那只是因為就是美股的東西
[20:14] 你比較懶得去動它
[20:14] 因為你發現說短線
[20:15] 你去那邊抽插
[20:16] 很多時候會被上課
[20:17] 你這個地方你看
[20:18] 像臺股會覺得說
[20:19] 這是跌破除掉
[20:20] 你跌破除掉
[20:21] 然後隔天直接決世大盆
[20:23] 美股一天給你噴到30%都有
[20:24] 所以你就會知道說
[20:26] 就像這樣子的一些機會
[20:27] 被放掉過之後
[20:28] 你就知道你不要一直去做
[20:30] 這種短線的抽插
[20:30] 所以因為這樣子
[20:32] 可能意外吃到一些大魚
[20:33] 那當然出現一些
[20:34] 比較大的虧損
[20:35] 也是在美股
[20:35] 所以說俘獲相宜
[20:36] 你會有那種
[20:37] 看起來很誇張的報酬率
[20:39] 可是你會有那種
[20:40] 套到深處無怨遊
[20:41] 什麼-50%-60%的東西出現
[20:43] 就都會有
[20:44] 但我還蠻喜歡那樣的一個模式
[20:46] 就整體來看
[20:47] 它其實賺錢的方式是很簡單的
[20:49] 就是跟臺股這種
[20:50] 又要去拼訊息
[20:52] 又要去問東西
[20:53] 又要去對數字
[20:54] 又要看現行
[20:55] 然後擔心說車不會太重
[20:56] 什麼這臺車
[20:57] 你知道有時候大家都會互相問說
[20:59] 你們那邊有沒有上車
[21:00] 大家都上車
[21:01] 然後之後就偷偷趕快下車
[21:02] 因為發現說
[21:02] 你們都上車誰要買
[21:03] 所以就沒有這麼多玩心機的東西
[21:07] 那所以在臺股這裡
[21:08] 我算是對自己來講
[21:10] 蠻大膽的一個操作
[21:12] 跑去搞這些小鬼股
[21:13] 那我們講這個大膽
[21:14] 其實比較偏向說
[21:15] 就之前
[21:15] 因為我真的會刻意挑那些
[21:17] 特別小的東西
[21:18] 因為就去想象說
[21:19] 很小的東西
[21:20] 有機會去打出一個
[21:21] 非常大的一個報酬
[21:23] 就是說它可能會長大
[21:24] 然後變得很大隻
[21:25] 可是我沒有突然間
[21:26] 意識到一件事情
[21:27] 其實也是因為說
[21:28] 自己有做臺美股雙期
[21:30] 所以才會變成說
[21:30] 你知道有些想法比較通透
[21:32] 我就想說其實在臺灣這些
[21:33] 我們看起來還蠻大的公司
[21:35] 已經算中大型
[21:36] 在美股都還是小額顆等級的小東西
[21:38] 所以為什麼我要去把這個目標
[21:41] 放在那些真的是極小奈米等級的東西
[21:44] 在臺股算是小鬼股
[21:46] 可是這個放在美股
[21:46] 可能就是那種奈米等級
[21:48] 拼序的那種小垃圾之類的
[21:49] 所以開始去理解到
[21:51] 這個維度上的一個差距之後
[21:53] 就覺得說臺股的一些東西
[21:55] 如果真的覺得它不錯的話
[21:56] 那可能像一些什麼新貴的股票
[21:58] 也跑去介入
[21:59] 買了一些什麼AOI的股票
[22:01] Test Handler
[22:02] 反正全部都是七開頭的股票
[22:04] 會發現說七開頭的股票
[22:05] 有很多好料的東西
[22:06] 所以這些東西也都全部都
[22:09] 把錢給放進去
[22:11] 也把它當小股去操作
[22:12] 雖然它的市值可能是相對大
[22:14] 百億甚至過千億以上的
[22:16] 可是對我來講
[22:17] 我去把限制器給拔掉
[22:20] 本來會覺得說都只要買到最小的
[22:22] 然後現在覺得說
[22:23] 反正只要是那些
[22:24] 相對沒有這麼擁擠的地方
[22:26] 然後未來的roll map
[22:28] 已經算是很清楚
[22:29] 各個環節我都已經打理好
[22:31] 那我就願意把錢趴進去
[22:32] 然後當小鬼谷去操作
[22:34] 也就是說不會有太多密集的進出
[22:36] 除非說當時買進的理由徹底的改變了
[22:39] 像之前砍掉的幾隻小鬼谷
[22:41] 有一個是本來他是做散熱相關的題材
[22:44] 那時候在講說
[22:45] 反正有機會會弄那個immersion cooling
[22:47] 那之後我們都知道說
[22:48] immersion cooling現在就是死掉了
[22:50] 所以因為你買進的理由不見了
[22:52] 所以就把它除掉
[22:53] 那再來有一個消費的限速相關的公司
[22:56] 消費晶片相關的公司
[22:58] 那個的問題就是在於說
[23:00] 其實最後面我們是一直沒有看到消費線復甦
[23:02] 然後最後面他其實噴上去的主因
[23:04] 根本就不是消費相關的東西
[23:06] 而是說他整個集團都在作動
[23:08] 那我們也知道說那個整個集團
[23:10] 也不要講他炒股票
[23:11] 反正就是說人家就在搞
[23:12] 人家在那邊AI大事實
[23:14] 所以他跟你的想法其實是相反的
[23:18] 那其實你也知道說
[23:19] 還好你沒有把它弄上去
[23:20] 我再給丟給你們
[23:21] 不然我還真的不知道要什麼時候丟
[23:23] 因為其實這個消費復甦一直沒有看到
[23:25] 所以都算是有順利的出場
[23:27] 那當然也是有一些這個消費過的處
[23:30] 像今年就有去買那個
[23:31] Nexperia的一個轉單的受惠者
[23:35] 那其實這個我們目前看都還是非常的明確
[23:37] 就是知道說
[23:38] Nexperia那時候就是很多人一直在傳新聞
[23:40] 什麼又和好了又怎麼樣
[23:41] 那你看隔這麼久是發現說
[23:43] 真的超多人在放假新聞的
[23:44] 反正轉單就是確實有發生
[23:47] 就真的有東西出來
[23:48] 只是說他可能不會這麼快看到
[23:50] 那像這個可能就有一些被套到
[23:52] 反正就是說當然我們的每個部位
[23:53] 不管是動能或是小哥哥
[23:55] 他是不可能全勝
[23:56] 所以其實也不要去想追求說全勝或什麼
[23:59] 所以看到一些論壇會討論
[24:01] 我就想說什麼
[24:01] 我講的什麼
[24:02] 某個東西被套到
[24:03] 其實我覺得會講這種話
[24:04] 就快樂寶貝
[24:06] 差點就講不好聽的話
[24:07] 當然就快樂寶貝
[24:07] 你怎麼可能有東西
[24:08] 不會被套到
[24:09] 你有東西不會被套到的話
[24:10] 你是神仙吧
[24:11] 你來教我做股票好了
[24:12] 就是一定有些東西會
[24:14] 不是按照你的預期
[24:15] 那只是看說要怎麼樣去處理
[24:17] 這個時候是你要再加碼
[24:19] 要把這個成本給攤平
[24:20] 還是說
[24:21] 其實這個地方是要認輸
[24:22] 這個就是一個know how之所在
[24:24] 所以其實你去無腦跟人家單
[24:25] 很困難的原因就在這邊
[24:27] 因為你不知道
[24:29] 怎麼樣判斷
[24:29] 這個真的是很難去
[24:31] 跟大家說分明
[24:32] 所以我大概說
[24:32] 其實最好的一個操作呢
[24:34] 或者說學習的方式是
[24:36] 當然我們自己也都還在學習
[24:37] 我們看到人家有好的東西
[24:39] 我們去學
[24:39] 然後接著呢
[24:40] 我們去觀察人家
[24:41] 怎麼樣去做應對
[24:42] 然後自己要花多一點時間
[24:44] 就是站在旁邊看
[24:45] 那看熟之後呢
[24:47] 可能再下去做
[24:47] 會比較保守一點
[24:48] 會比較保險一點
[24:49] 就算你今天是跟巴菲特的單期
[24:50] 也是一樣的道理
[24:51] 就人家也是有東西被套
[24:52] 那所以整體看下來就是
[24:54] 報仇的表現是還蠻不錯
[24:56] 如果說我今天這個
[24:58] 總結是發生在今年年中的話我就跟你講說今年小哥哥表現不好基本上是算是在零軸附近因為有些東西真的有回漲到滿身
[25:08] 有些像那種七開頭的東西
[25:10] 可能走得還蠻不錯
[25:11] 可是他救不起來
[25:12] 因為整體的配置的原因
[25:13] 只是剛好在年底
[25:14] 因為大家都上去了
[25:15] 所以就非常好的一個時間點去做總結
[25:18] 當然其實我不知道去吹說
[25:20] 這個績效表現怎麼樣
[25:21] 我也很討厭去做這樣的事情
[25:22] 我也不會去丟對賬單
[25:24] 跟大家講多少錢
[25:25] 這邊跟大家講
[25:26] 就像丟對賬單
[25:26] 已經不是一個
[25:27] 這個在流行的一個
[25:29] 去宣示自己
[25:30] 多有購買力的一個做法
[25:31] 現在都直接看大股東
[25:32] 因為臺灣一堆
[25:34] 這個主力們
[25:35] 其實都已經是
[25:36] 發展到大股東的一個階段
[25:37] 大股東這個很難騙人
[25:38] 除非你是什麼同名同姓
[25:40] 可是對賬單
[25:40] 現在很多社群
[25:41] 或者說各個地方丟的
[25:43] 那個都是用修圖改出來
[25:44] 都給人家抓到
[25:45] 所以大家也不要去相信
[25:46] 那種東西
[25:47] 其實我覺得說
[25:48] 真正對自己有幫助的是一些
[25:49] 就算他可能今年做得不好
[25:51] 好像有一些架頭仔
[25:52] 或者說有一些
[25:53] 去做那種
[25:54] value investing的老外
[25:56] 我們都知道說
[25:56] 在過去幾年表現
[25:57] 可能都不是太好
[25:58] 可是他們講出來的很多東西
[26:00] 會點到你
[26:01] 會讓你有一些想法上的突破
[26:03] 我覺得這是最重要的東西
[26:05] 當然績效表現還是很重要
[26:06] 所以是說
[26:07] 因為不是每個人都可能
[26:08] 每一年都會有不錯的表現
[26:10] 也會有一些不好的年
[26:11] 像我自己來說的話
[26:13] 我在2022年的表現就是不好的
[26:15] 可是我反而覺得說
[26:16] 我在2022年就是
[26:17] 扛了非常多的壓力
[26:19] 然後大家都在講說
[26:20] 什麼MTK是垃圾
[26:22] NVIDIA是垃圾
[26:23] 然後什麼Tesla是垃圾的
[26:24] 這樣環境之中
[26:25] 我還是可以扛住
[26:26] 那就代表說
[26:26] 其實我當時的認知水準
[26:28] 可能是比那些
[26:29] 就是隻會看圖說故事的人強很多
[26:31] 那反而在這個時候
[26:32] 我就跟你分析這些東西
[26:34] 你看不出來說
[26:35] 我到底跟別人的那個know how差在哪
[26:38] 因為這時候大家都會吹
[26:39] 就像Tesla每次上500的時候
[26:40] 你就注意到
[26:41] 就整個社群就一面倒
[26:42] 都是看好Tesla
[26:43] 那等下下次下來的時候
[26:44] 大家又不看好了
[26:45] 可是關鍵就是
[26:46] 如果你每次都是在
[26:47] 大家很看好的時候去買的話
[26:48] 那就會變成
[26:50] 有可能就是都賺不太到錢
[26:52] 因為你都是買在一個情緒的高點
[26:54] 那股票本來就是上上下下的
[26:55] 所以大概這樣子
[26:56] 就是這個績效的東西呢
[26:57] 大家就稍微的參考就好
[26:59] 就有時候好
[27:00] 有時候不好
[27:00] 那個是一定的
[27:01] 那重點是說
[27:02] 你有沒有在裡面
[27:03] 獲得一些體會
[27:03] 所以在我的認知就是
[27:05] 在這個小哥哥部分呢
[27:06] 我持續的把它加大
[27:08] 因為對我來講
[27:09] 這個就比較偏向是一個
[27:10] 長頭的思維啦
[27:11] 也就是我自己未來的一個規劃嘛
[27:13] 就是我都已經講說
[27:14] 我自己想要當一個資本家
[27:15] 我要以資本家作為目標
[27:17] 那資本家呢
[27:18] 是不會就是每天可能
[27:19] 今天大家出去玩
[27:21] 滑個雪
[27:21] 或者說什麼去游泳
[27:23] 你明明是在一個度假村裡面
[27:24] 然後你還帶一個筆電
[27:25] 在那邊整天下單
[27:26] 我現在就是這樣子一個狀態
[27:27] 我覺得這個
[27:28] 我自己有時候想都覺得蠻丟臉的
[27:30] 以前還曾經覺得自己這樣子很帥
[27:31] 我在交易或什麼的
[27:32] 然後只是現在就覺得說
[27:34] 這個並不是一個很帥的事情
[27:35] 所以我想要發展為
[27:36] 那些東西可以直接用放的
[27:38] 我不用去跟你那邊講說什麼
[27:40] 你今天賺幾趴
[27:41] 我直接一賺就是一倍
[27:42] 我喜歡這種幹大的想法
[27:46] 當然有些東西
[27:46] 像我講的
[27:47] 它變成是沉沒成本
[27:48] 有些東西可能會
[27:49] 因為隨著你長頭
[27:50] 那當然他可能會吃到的回答
[27:52] 也會很深
[27:52] 但你就整體來看
[27:54] 只要是有賺錢的
[27:55] 都是OK的
[27:55] 那他有點像他說
[27:56] 他其實也需要一點時間
[27:58] 去累積你的信心
[27:59] 就是我在2023年
[28:01] 可能開始去弄小鬼的時候
[28:02] 我那時候也不太確定
[28:03] 這個策略可不可行
[28:04] 然後也有遇到一些挫折
[28:05] 那只是後來
[28:06] 隨著這幾年這樣下去之後
[28:08] 發現說這個東西
[28:08] 其實真的可以
[28:09] 所以我就會選擇
[28:10] 可能可以去試時間
[28:12] 然後去把這個部位加大
[28:13] 因為本來小鬼谷
[28:14] 算是自己的
[28:15] 就是投資組合裡面
[28:17] 比較小的東西
[28:17] 然後下來就可能
[28:18] 把它放大一點
[28:19] 所以希望最終的狀態是
[28:21] 可能在臺股
[28:23] 就是留一個部位
[28:24] 然後還是可以
[28:24] 每天去看這些訊息
[28:26] 然後去trade一些rumor
[28:27] 這個我還是很喜歡
[28:28] 只是可能絕大多數的東西
[28:30] 都變成是放置play
[28:31] 這個也是我自己
[28:32] 可能在市場裡面
[28:33] 欣賞的一些前輩
[28:35] 他們可能都不知道
[28:36] 我欣賞他們
[28:37] 因為我們這邊
[28:37] 很像那種地下的
[28:38] 一個情報中心
[28:40] 就是大家在幹嘛
[28:41] 很多時候我們都知道
[28:42] 所以我已經知道說
[28:43] 有些人他是怎麼樣做
[28:44] 即便他可能
[28:44] 對外面講是這樣
[28:45] 可是他其實實際上
[28:46] 做的是做另外一個東西
[28:47] 那我會知道說
[28:48] 他其實這樣是很好的
[28:49] 就是呢
[28:50] 因為你畢竟要跟人家講話
[28:51] 你要有談資嘛
[28:52] 你還要講說
[28:53] 現在市場上在紅什麼
[28:54] 在屌什麼
[28:54] 可是他可能就是滿手Google
[28:56] 跟什麼臺積電
[28:57] 這樣放到底
[28:58] 其實我覺得這個是
[28:59] 超帥的一個做法
[29:00] 就這樣就好了
[29:01] 就這麼簡單
[29:02] 所以可能也會想
[29:04] 往這個方向去努力
[29:05] 只是我不會想要去
[29:06] 把太多錢放在
[29:07] 那種比較大型的股票
[29:08] 因為對我來講
[29:09] 就是沒有這麼好玩
[29:10] 就好玩也是蠻重要的
[29:12] 我覺得很奇怪
[29:12] 就不是隻是單純的說
[29:13] 這個績效很好
[29:15] 當然績效很好很重要
[29:16] 只是同時也要去
[29:17] 買一些
[29:18] 我覺得好玩的東西
[29:19] 就是打暴擊的東西
[29:20] 所以就是會把一些東西
[29:21] 放進去
[29:22] 那種比較倉頭的東西
[29:23] 那因為在過去幾年
[29:24] 去驗證下來
[29:25] 覺得說應該是可以這樣子做
[29:27] 所以就先這樣做看看
[29:28] 然後直到下次有烙賽
[29:29] 再來跟大家分享
[29:30] 因為有烙賽一定會改變
[29:31] 我覺得說
[29:32] 如果之後出現一個什麼
[29:33] 兩年的空頭
[29:35] 那個一定會發現
[29:36] 就類似說在2022的時候
[29:37] 一開始第一季我被殺爆
[29:38] 第一季之後
[29:39] 我就知道說我要hedging
[29:40] 我知道我沒有辦法這樣做
[29:41] 所以其實那個做法
[29:42] 都會慢慢調整
[29:43] 這也是為什麼
[29:44] 很多時候在那個QA
[29:46] 就是有些人想問我一個標準答案
[29:47] 或者說他想要去做一個
[29:49] 某一個什麼無腦的做法
[29:50] 我就跟他講說
[29:50] 沒有辦法無腦是因為
[29:51] 其實行情都是會變的
[29:53] 就是你要吃這一行飯的人
[29:54] 就除非說你就是抱持的那一種
[29:56] 反正我套三年五年也沒差
[29:57] 我指數跟你幹到底
[29:58] 那如果不是這樣子的話
[30:00] 那其實都是有機會
[30:01] 就算你現在可能講的很自得意
[30:03] 可是後面就是會逼你
[30:05] 一定要去改一些做法
[30:07] 那到時候我們再來說
[30:07] 會怎麼樣做吧
[30:08] 如果節目還在的話
[30:09] 好那接下來我們來進入Q的部分
[30:11] 第一位
[30:11] 嗜口嗜口叫急急
[30:13] 吸吸不吸吸
[30:14] 倒過來嘻嘻不嘻嘻
[30:16] 挨大你好
[30:16] 男友是挨大多年的聽眾
[30:18] 而我算是今年六月
[30:19] 才開始每集報道
[30:20] 投資小菜鳥
[30:21] 雖然跟男友
[30:22] 才在一起幾個月
[30:24] 但有一種愛叫
[30:25] 命中註定我愛你
[30:26] 我和男友都努力
[30:27] 規劃理財
[30:28] 去創造兩人更好的未來
[30:30] 今年我送挨大推薦的
[30:31] Travel Blue組合
[30:32] 當做聖誕禮物給男友
[30:34] 雖然說經濟還沒有餘力
[30:36] 跟男友每次出國
[30:37] 都搭商務艙
[30:38] 但希望他手牽手
[30:39] 和我一起坐經濟艙時
[30:41] 有Travel Blue
[30:41] 而感覺到商務艙的舒適
[30:44] 那祝福捱打一家
[30:45] 聖誕快樂
[30:46] 平安健康
[30:47] 好
[30:47] 這個就是我們講
[30:48] 家和萬事心
[30:49] 下面一位
[30:49] PayHow
[30:50] 哈哈好無聊
[30:51] 不然來買0050好了
[30:52] 捱打您好
[30:53] 感謝捱打每週三六
[30:55] 提供優質好節目
[30:56] 我跟女友哈喜
[30:57] 是您的忠實聽眾
[30:58] 心喜歡捱打的無私分享
[30:59] 還有一家四口快樂的生活點滴
[31:02] 他最喜歡在邊把我粉絲的時候
[31:04] 邊聽您的節目
[31:05] 1月2號是我女友哈喜的生日
[31:07] 希望捱打可以用川普的語音
[31:08] 祝他生日
[31:09] 兩月間那個喉嚨比較沙咬
[31:10] 那個川普
[31:11] 我這
[31:12] 那個後面的聲音可能
[31:13] Happy Birthday
[31:15] 我講不太出來
[31:15] 那祝他明年高考順利上岸
[31:18] 也祝法一大計效大報
[31:19] 設一家四口平安喜的愛你
[31:21] 我愛你
[31:21] 下面一位
[31:21] 歲月靜好限時安穩
[31:23] 太長
[31:24] 感覺是蠻不錯的東西
[31:28] 只是兄弟
[31:29] 這個留言不可以太長
[31:30] 我們的留言要在八行內
[31:31] 或是說
[31:32] 你稍微多一點點
[31:33] 我可以假裝沒有看到
[31:34] 下面一位
[31:35] 體重減不下來的浣熊爸爸
[31:37] 祝我結婚五週年快樂
[31:38] 我也是六月從執軍轉職到半導體產業的新社畜
[31:42] 太太也準備離開軍中迴歸自由身
[31:45] 太太近期對於未來有所彷徨
[31:47] 擔心沒有穩定的收入
[31:48] 我想告訴她
[31:49] 老公會努力的扛起家中的經濟
[31:50] 請你安心的往你有興趣的產業發展
[31:53] 以你的能力一定會有所收穫
[31:55] 最後祝福我們12月24號結婚五週年快樂
[31:59] 也祝大家一家
[31:59] 以及我們一家四口平安健康
[32:01] 祝你們一切順利
[32:02] 不要怕
[32:03] 從部隊出來的人
[32:05] 有一點不錯
[32:06] 就是說非常有紀律
[32:07] 非常安心安穩
[32:08] 只要可以好好的去執行好
[32:11] 設定好的目標
[32:11] 按部就班
[32:12] 一定沒有問題
[32:13] 下面一位Cathy包
[32:15] 親麥好好玩
[32:16] 留個密碼測試
[32:17] 大家好
[32:17] 我是小兩屆的建臺高中同社團的學妹
[32:20] 建臺高中同社團
[32:23] 柯顏色
[32:23] 好久沒有想到這個名字
[32:25] 從高一開始就知道謝夢宮的名號
[32:27] 掛號當時長得真帥
[32:28] 現在也是
[32:29] 這個人知道怎麼樣討人家喜歡
[32:32] 多年前開始一路紅
[32:34] 我還跟朋友說
[32:35] 可是我聽不懂股票
[32:36] 聽幾集就算了
[32:37] 那直到前兩個月
[32:38] 因為臺通那集
[32:39] 又開始聽這個頻道
[32:40] 現在是徹頭徹尾的氣氛在
[32:42] 謝謝這麼優質的節目
[32:44] 陪伴我通行
[32:45] 及在我和男友開車時的唯一指定節目
[32:47] 那需要夢可以用骷髏名是誰
[32:48] 我不知道骷髏名是誰
[32:49] 祝12月4號生日的男友
[32:51] 生日快樂及聖誕快樂
[32:53] 祝他給績效長紅繼續帶我出國玩
[32:55] 也祝這裡的聽眾
[32:55] 帶來一家平安健康幸福
[32:57] 非常感謝這個Kathy包
[32:59] 這個建臺的科研社
[33:01] 我記錄都忘記這個東西了
[33:03] 那個是高中算蠻好的一個回憶啦
[33:06] 反正就是
[33:06] 名字叫科學研究社
[33:09] 但其實都不是在科學研究
[33:10] 全部人都在玩
[33:11] 全部都在搞一些有的沒有的東西
[33:13] 然後在練一些表演或什麼的
[33:15] 然後就是辦那種素穎給國中
[33:17] 或是說更小的小朋友
[33:18] 然後莫名其妙
[33:19] 就大家有一個非常強大的向心力
[33:21] 然後那時候還有一些
[33:22] 畢業的學長姐
[33:24] 都還是會回來幫忙
[33:25] 會捐錢或什麼
[33:26] 但我畢業之後
[33:26] 我就是完全消失了
[33:28] 我完全忘記這件事情
[33:29] 但反正那時候還蠻感動的
[33:31] 就是說你去辦這些活動
[33:32] 然後可以看到各路的人馬
[33:35] 這些什麼社會人士
[33:36] 都還是會跑回來幫忙什麼
[33:37] 就覺得說
[33:37] 蠻酷的
[33:38] 一些什麼大學的學長姐
[33:41] 也都會加入
[33:42] 所以當時是蠻有那種
[33:43] 與我融言的感覺
[33:44] 就可以在這樣的一個社團
[33:45] 覺得自己是一個很酷的人
[33:47] 那只是那時候
[33:48] 我自己的爸爸
[33:48] 就非常討厭這件事情
[33:49] 他很多時候會講說
[33:50] 你看他媽搞社團
[33:52] 壓低了周麻
[33:53] 就是我那時候的
[33:54] 什麼同學
[33:55] 他們在玩社團
[33:56] 現在都很慘
[33:57] 很爛
[33:57] 那還好就是
[33:58] 我可能後面還算OK
[33:59] 所以爸爸當年的擔心
[34:02] 證明是想太多
[34:04] 但當然我們都知道
[34:05] 就是東西不能夠舉特例
[34:07] 可是有時候換句話說
[34:08] 就是當我們去舉一些例子
[34:10] 人家也會講說什麼
[34:11] 倖存者偏差
[34:11] 倖存者偏差
[34:12] 不是啊
[34:13] 其實老實講
[34:13] 這個社會就八二法則
[34:15] 就其實你不管在哪個地方
[34:16] 能夠做起來的
[34:17] 都是比較少數人
[34:19] 會過得比較好的
[34:20] 也是少數人
[34:20] 那過得極爛的
[34:22] 其實也是少數人
[34:23] 絕大多數人
[34:24] 可能就是在中間之類的
[34:25] 就常態分佈
[34:26] 所以我覺得
[34:28] 就後來我比較不會去用一些
[34:30] 就像說你玩社團
[34:32] 你就是怎麼樣的人
[34:32] 或者說你做什麼
[34:34] 你就是怎麼樣的人
[34:35] 去幫大家做分類
[34:36] 因為這個很奇怪
[34:37] 有時候你會自己打臉自己
[34:38] 但對啊
[34:39] 那時候的回憶是非常好
[34:41] 就即便
[34:42] 其實我相信我們很多之中的
[34:44] 那時候的同學們
[34:45] 家長可能也都反對或什麼
[34:47] 可是看大家都玩得蠻開心
[34:48] 可能最後面也都放行
[34:50] 那不止我在那
[34:51] 後來我自己的妹妹
[34:52] 也是跑到那個社團去
[34:53] 只是我這個畢業之後
[34:54] 就沒有再參加了
[34:56] 下面一位
[34:56] 洪藥師
[34:57] 感謝孟公愛您
[34:58] 感謝孟公替我們這些沒有金湯匙
[35:00] 靠正當工作
[35:01] 在社會里一步一步
[35:02] 慢慢累積的人
[35:03] 發聲愛您
[35:03] 下面一位
[35:04] 好好Q某
[35:05] 某公某公
[35:07] 我老公
[35:07] 很喜歡您一家的合照
[35:09] 充滿溫馨幸福
[35:10] 看得心暖暖的
[35:11] 月底老婆Emily
[35:12] 要再度做試管的
[35:13] 辛苦老婆了
[35:14] 那想請主委跟
[35:15] 觀音老大
[35:16] 祝福我們這次
[35:17] 可以順利成功
[35:18] 最後一定要祝主委一家
[35:20] 身體健康
[35:20] 平安幸福
[35:21] 觀音大愛
[35:22] 觀音大愛有聽到
[35:24] 因為我錄節目
[35:24] 要做後面
[35:25] 所以他要幫你祝福一下
[35:26] 希望
[35:26] 我們也是很誠心
[35:28] 下面一位
[35:29] 年收中位數上源的
[35:31] 竹北工程師
[35:32] 想幫竹科媽媽們平反一下
[35:34] 其實那些為人詬病的
[35:36] 入群標準並不困難
[35:38] 而所謂軍備競賽
[35:39] 不過是對教養的一種選擇
[35:41] 在竹北更是如同呼吸般
[35:43] 自然的存在
[35:44] 因為大家都負擔得起
[35:45] 旁人以為我們匆匆忙忙
[35:47] 小孩連滾帶爬
[35:48] 但身在其中
[35:49] 我們看到的是家長匆匆容容
[35:50] 孩子遊刃有餘
[35:52] 我們只是在自己的能力所及
[35:54] 給自己的孩子最好的
[35:55] 希望不要因此成為被抨擊的物件
[35:57] 那真要抨擊的是喜歡高調炫耀
[36:00] 或是愛對別人下指導旗的少數分子
[36:03] 軍備競賽或是逐客媽媽都不是原罪
[36:06] 這位兄弟講的東西
[36:07] 可能有些聽眾聽了就會不太舒服
[36:10] 可是我必須得幫他講
[36:11] 就是他說的這些東西
[36:13] 我自己是完全可以理解
[36:14] 就如果說我今天去把
[36:16] 怎麼講
[36:17] 就我們身邊朋友就愛約吃飯
[36:18] 我每次都去把吃飯的每一道菜都拍出來
[36:21] 或者說我們去哪裡都拍給大家看的話
[36:24] 一定就是開始有人會講說
[36:26] 他是什麼炫富型Podcaster
[36:27] 可是對我來講
[36:28] 就是這只是一餐飯
[36:29] 就是真的沒有人在意
[36:31] 這餐飯怎麼樣
[36:31] 只是說
[36:32] 這東西蠻好吃的
[36:33] 我把它拍下來上傳
[36:34] 可是你可能就意外戳到一些
[36:36] 就像這位聽眾他講的
[36:37] 他覺得說那些入群標準
[36:39] 根本不難
[36:40] 年薪要多少
[36:41] 你一定要什麼海外學歷
[36:42] 他們可能每個人都有
[36:43] 然後或者說
[36:44] 他覺得軍備競賽
[36:45] 根本就小事情
[36:45] 可是我們會忽略的一件事情
[36:48] 就是很多時候是這樣
[36:48] 因為這個世界是有很多層次
[36:50] 所以我會講說
[36:51] 其實有時候你就待在
[36:52] 你的同溫層裡面最舒服
[36:53] 你就不要出來
[36:54] 其實可以不要出來
[36:55] 我不知道為什麼有些人會講說
[36:56] 你一定要踏出同文層
[36:57] 其實你不一定要踏出同文層
[36:59] 除非你今天是出了一些狀況
[37:01] 你要改變現狀
[37:02] 你才必要踏出同文層
[37:03] 不然其實在同文層裡面是很舒服的
[37:05] 因為這些人他們懂你的語言
[37:07] 他們懂你的邏輯
[37:09] 他們的生活跟你是匹配的
[37:11] 門當戶對是真的
[37:12] 所以你們做每件事情都會非常的自然
[37:14] 然後你今天如果跑出來
[37:15] 你就會擔心說
[37:16] 像我老婆有一隻就很好笑
[37:18] 反正她在狗公園
[37:19] 然後就有人問她說
[37:20] 狗狗的飼料吃什麼
[37:22] 然後他就故意去報一個
[37:23] 比較便宜的飼料
[37:24] 因為他不想要讓任何人感覺到
[37:27] 這個飼料這麼貴
[37:28] 我要花這麼多錢去買因為他秋口東西他都買很好的就後來才發現說就對方幹他媽超幹油錢因為後來變朋友就知道這件事情可是我意思說就很多時候我們也會試著去你看看在有些人眼中就是怎樣你狗眼看人低
[37:40] 可其實不是
[37:41] 因為你不想讓人家難受
[37:42] 你知道這東西可能會刺到別人
[37:43] 為什麼
[37:43] 因為我們可能曾經
[37:44] 也這樣被人家刺激到
[37:46] 就是人家講一個東西
[37:47] 然後聽完我就在心中算說
[37:48] 靠北
[37:49] 我到底要什麼時候
[37:50] 才可以跟他一樣
[37:50] 所以這位兄弟
[37:51] 他是傳述了一個
[37:53] 就是確實有蠻多人
[37:54] 都像他在這樣子慰藉
[37:56] 對他來講
[37:56] 或者說甚至對我自己來講
[37:58] 我完全覺得他講的東西是沒問題的
[38:00] 可是我知道很多人聽了
[38:01] 一定會非常不舒服
