[00:00] 欢迎收听谷爱,我是香木工,本集节目由New Balance赞助
[00:03] 天气开始变热,知道大家都在看机票或是去户外走
[20:00] 我老实讲
[20:01] 我看到一些人在用AI
[20:02] 我觉得说他们在浪费钱
[20:03] 就是他们在做的东西
[20:05] 某程度上只是让自己有谈资
[20:06] 就是讲了半天
[20:07] 哈拉一大堆
[20:08] 什么我这边用Max
[20:10] 我那边用Max
[20:11] 那请问一下你的shipment在哪里
[20:13] 你的product在哪里
[20:13] 就你一直说什么AI多屌多少用
[20:15] 你的东西到底在哪里
[20:17] 那当然我不知道去质疑
[20:18] 每一个人说用AI怎么样
[20:19] 因为像我们自己用AI
[20:20] 我也跟大家去表态过
[20:21] 因为我们比较偏向是
[20:22] 直化分析这一块
[20:24] 所以有时候你很难去
[20:25] 很明确的定义说
[20:26] 你说AI强不强
[20:27] 每个人一定都跟你讲强
[20:28] 可是它到底在你的工作里面
[20:29] 转换了多少
[20:30] 不一定讲得出来
[20:31] 甚至是
[20:31] 对他帮你省下了很多时间
[20:33] 可是你仔细想想
[20:35] 你摸摸你的屁股跟尾椎
[20:37] 还有你的下腰
[20:37] 你就会知道说
[20:38] 你是不是坐在电脑前面的时间
[20:40] 反而可能变得更多了
[20:41] 对你表面上会说
[20:42] 你增加了很多生产力
[20:43] 可是你想
[20:44] 跟你竞争的这些人
[20:45] 每个人都在做一样的事情
[20:46] 所以你的生产力
[20:47] 并没有因为这样子
[20:49] 而产生更多的价值
[20:50] 可能反而是
[20:51] 有点像说生产力通膨
[20:52] 就是每个人
[20:53] 都有很大的一个生产力
[20:54] 那只是问题是
[20:55] 谁有业绩的能力
[20:56] 所以我会认为说
[20:57] 像可能有些人看到
[20:58] Uber这样的一个案例
[21:00] 会认为
[21:00] 这个AI非常bullish的一个言论
[21:02] 但我觉得关键是要看说
[21:04] 它的财务数字到底怎么样
[21:05] 你有没有因为说
[21:06] 消耗了大量的token之后
[21:08] 就很多人讲token maxing
[21:09] 就是能够用多少就算多少
[21:11] 然后或者说像
[21:12] NVIDIA捐成讲的
[21:13] 我如果看你的token用太少
[21:14] 我怀疑你没有在上班
[21:15] 就是你的token maxing
[21:17] 到底有没有真的产出
[21:18] 对应的价值
[21:19] 还是说你只是让公司
[21:20] 花了一大堆token fee
[21:21] 然后最后面没有产出
[21:22] 对应的价值
[21:22] 我个人是认为说
[21:23] 这个后面一定会变成是一个
[21:25] 很大的一个讨论
[21:27] 那在市场里面
[21:28] 我们经常比较一言以蔽之
[21:29] 就类似说
[21:30] 可能所有的软体
[21:31] 所有的SI都要去死
[21:32] 那换句话说
[21:33] 也不要说可能在AI的一个应用上面
[21:36] 就是每个人只要会用AI
[21:37] 你都一定会发达
[21:38] 一定是有很多人正在空烧他的token
[21:41] 或是一定有一些公司
[21:42] 特别是最近开始出现一些什么
[21:44] 改名跟AI相关
[21:45] 或是宣誓自己要做AI
[21:46] 然后开始狂喷的
[21:47] 那些其实就是某个程度上的一些
[21:49] 就是后面会变成是
[21:51] 泡泡破掉变泡沫的东西
[21:53] 我认为是这样子
[21:54] 就是你到底
[21:54] 你用AI做了什么事情
[21:56] 就是我认为
[21:57] 它市场的论述
[21:58] 已经要从
[21:59] 就是你用AI
[22:00] 你烧多少Token
[22:01] 变成说
[22:01] 所以你的result
[22:02] 到底是怎么样
[22:02] 就类似说
[22:03] 我们去验证一些
[22:04] 自己手上的software持股
[22:06] 如果说
[22:06] 它并没有办法
[22:07] 变成是一个result base
[22:09] 它还是C base的东西
[22:10] 那你就是活该被淘汰
[22:11] 那确实你现在
[22:12] 去看一些软体股
[22:13] 它还可以撑在上面的
[22:14] 基本上他们都是
[22:15] 比较偏向是result base的东西
[22:17] 那如果说
[22:18] 你是C base的东西
[22:19] 你是一个
[22:19] 就是比较偏向是
[22:21] 反正好像说我形式上有做到
[22:23] 对我烧了一袋token
[22:24] 那你没有办个shipment
[22:25] 你没有办个产品
[22:26] 你都只是说
[22:27] 我花一堆AI
[22:28] 我觉得AI好屌
[22:28] 然后整天在网上发文
[22:29] 除非你是要来开课的
[22:31] 不然你发这些东西
[22:31] 其实他妈一点意义都没有
[22:32] 所以我最近开始注意到一些讨论
[22:34] 我认为说后面应该市场的论述
[22:36] 会开始转向说
[22:37] 你们自己也讲说AI多屌
[22:39] 请端出你们的实际
[22:40] 请端出你们的产品
[22:42] 不然很多时候你也会注意到
[22:43] 就算我们没有去做这样子的一个
[22:46] 讨论或是揭露的话
[22:48] 他们自己本身
[22:49] 也会做这样的竞争
[22:50] 像OpenAI这边就在讲说
[22:51] 其实Enthropic
[22:52] 它的营收的认定
[22:53] 是不老实的
[22:54] 它那个营收认定
[22:55] 是不老实的
[22:56] 我是蛮买单
[22:57] 他们那样的一个说法
[22:58] 就是它确实是
[22:59] 怎么讲
[23:00] 就是我说的
[23:01] 它为了成长性
[23:02] 它势必要用一些
[23:03] 商业的术语
[23:04] 在座上上面
[23:05] 要有一些艺术
[23:06] 那一样我们讲这个
[23:06] 当然都不是要去抨击
[23:08] 说什么AI是假的
[23:09] 我们是AI的一个
[23:10] 算是大多
[23:11] 我们非常相信
[23:12] 只是大家要开始去注意
[23:14] 在市场中的
[23:14] 这一些论述
[23:15] 就是不要觉得说
[23:16] 可能那一些可能为了AI去裁掉大量的人
[23:20] 然后什么Token Maxing的公司
[23:21] 你就一定会很好
[23:22] 不一定
[23:23] 因为你要知道他市场上的竞争者
[23:25] 除非说你是Fucking Monkey
[23:26] 不然一下每个人都在用AI
[23:28] 所以你有的东西我也有
[23:30] 那你到底有没有因为AI产出价值
[23:32] 就会回归到真金白银的财务数字
[23:34] 你到底毛利增加多少
[23:36] 你到底净利增加多少
[23:38] 你裁掉很多工程师
[23:39] 你是不是公司变得更赚钱
[23:40] 还是实际上
[23:41] 就是理论上你要更赚钱
[23:43] 你Token Maxing
[23:44] 可是大家也都在Token Maxing
[23:45] 然后最后面赚走钱的
[23:47] 只有这一些server
[23:48] 这个是有机会会变成
[23:50] 后面要去在意的一个话题
[23:52] 那再来我在前几天
[23:54] 有看到一个贴文蛮有意思的
[23:56] 他是去转贴Sam Altman
[23:58] 好像在2017的一个发文
[24:00] 那当然那时候
[24:01] 他还没有成为大家所认知到
[24:03] 就是AI的教父之一
[24:05] 可是他有一个说法
[24:06] 我觉得非常可以应用在现在
[24:09] 他就讲说
[24:10] 基本上每一个career走到后期
[24:12] 你都会变成某个层次上的sales
[24:14] 就是不管你是可能engineer
[24:17] 还是说你是客服
[24:19] 还是说怎么样的
[24:20] 还是说你是去做设计的
[24:22] 就是你走到某个位置
[24:23] 或甚至讲说
[24:24] 就是你在Copper Ladder爬一爬
[24:25] 你爬到最上面的C-Suite之后
[24:27] 某个通道你都变成是Sales
[24:28] 那这边讲Sales
[24:29] 不只是在讲说
[24:30] 你要去卖产品
[24:32] 你要去对客人
[24:33] 你也可能是为了管理
[24:34] 你要去卖你的公司
[24:36] 你要去筹资之类的
[24:38] 所以我觉得他的那一句话
[24:40] 在现在非常的实用
[24:41] 特别是我们注意到说
[24:43] 一些这些AI的模型公司
[24:45] 他们其实在Sales的招聘上面
[24:47] 是非常大力的
[24:48] 为什么
[24:48] 因为这个就可以带出一个
[24:50] 我自己觉得还蛮有趣的讨论
[24:52] 因为最近在想这件事情
[24:53] 像我们都知道说在人类的注意力的极限是有一个上限的为什么因为我们可能每天都还是需要睡觉睡可能六到八小时然后要上班除非说有一天这件事情被改变
[25:06] 不然大家可以去休闲的时间
[25:08] 其实是有限的
[25:09] 特别是人口还越来越少
[25:10] 在这样的状况之下
[25:11] 其实所有的娱乐
[25:13] 它包含但不限于这些串流媒体
[25:16] 什么PC gaming
[25:17] 或者是手持的gaming
[25:19] 或者是有的没有的
[25:20] 可能上酒吧或什么的
[25:21] 其实大家在做的事情都是一样的
[25:23] 就是去争夺这些有限的注意力
[25:25] 跟休闲的时间跟金钱
[25:27] 如果说可以想通这一件事情的话
[25:30] 你也可以去回到刚刚前面讲的
[25:32] 这些Token Maxing的行为
[25:33] 特别是已经有被人家爆料了
[25:35] 你知道有些人他可能
[25:36] 一个礼拜烧了几亿个Token
[25:38] 然后账单几十万美金
[25:39] 他超屌
[25:40] 可是那个东西到底产出什么
[25:41] 他没有人知道
[25:42] 所以大家一定会开始去
[25:44] 很认真地检视说
[25:45] 既然我们知道
[25:47] 刚刚前面讲的注意力是有限
[25:49] 你也会注意到消费者是有限的
[25:51] 你这些AI的产品
[25:52] 或者说大家家正在狂吹的生产力
[25:55] 你都必须要找到一个出海口
[25:57] 也就是你要有ship
[25:58] 你要有东西出去
[25:59] 你要有人买单
[26:00] 大家都会讲说result based
[26:02] 可是这个result
[26:03] 大家愿意付多少钱
[26:04] 这个result会不会是
[26:05] 你做出来别人也做出来
[26:06] 所以即便你变成result based
[26:08] 你还是有可能遭受到一些重伤
[26:10] 因为最后面产出来的价值没有什么好
[26:11] 所以它有点呼应到
[26:12] 我们刚才最后面讲的
[26:13] 就是你Uber用光了你的额度
[26:15] 你说你在4月就用光
[26:17] 听起来好像很屌
[26:18] 好像是一个非常AI boost
[26:19] 我觉得说当然你对于硬体股来讲
[26:20] 就是买爆
[26:21] CPU买爆
[26:22] 这个没有问题
[26:23] 可是如果今天是要讨论说
[26:25] 这样的宣誓到底是不是对公司是一件好事
[26:28] 不一定
[26:28] 因为他后面可能会烧更多的token
[26:30] 那也因为说像黄文勋这样的一些呼吁
[26:33] 告诉你说你没有用这么多token
[26:35] 我觉得你没有在工作
[26:36] 你知道像最近有看到一些报道在写说
[26:38] 像Meta跟Amazon
[26:39] 他们有公司是去写Bot
[26:41] 他就让他空转
[26:42] 一直去狂吃token
[26:43] 为什么
[26:43] 因为他知道说公司的KPI可能会注意
[26:46] 他们就是要看说你的token消耗多少
[26:48] 你有没有在上班
[26:49] 你有没有在用AI
[26:49] 他就是整天在那边跟你耗
[26:51] 那当然这个对于这些卖产值的人讲说
[26:53] 是很好的事情
[26:54] 可是对公司来讲
[26:54] 可能后面我会认为说
[26:56] 这个东西即便是在一些可能CSP
[27:00] 因为他们自己本身也是有在做一些
[27:02] 可能偏软体的应用
[27:04] 然后或者是一些SI
[27:05] 或者一些软体公司
[27:06] 或许后续会回归到最老土的
[27:09] 就是大家直接去看你的财务数字
[27:11] 就是过去讨论的东西
[27:12] 可能是比较偏向说
[27:13] 谁比较有梦
[27:14] 谁比较会吹AI
[27:15] 那有些可能他只是改名跟AI有关
[27:17] 他都可以喷
[27:18] 可是等到大家都已经知道说
[27:20] 现在每个人都在token maxing之后
[27:21] 那大家会去评估的东西是
[27:23] 类似最近我看了一张图片讲说
[27:25] 其实原油对我们人类的影响
[27:28] 对于大家的经济的产作影响
[27:30] 每桶油代表的数字是越来越小
[27:32] 因为我们开始有更多
[27:33] 新的经济的推动的力量
[27:35] 那一样的道理就是
[27:36] 我们可能现在用很多token
[27:38] 是在市场上面
[27:40] 大家认为是很棒的一个表现
[27:41] 可是后面大家会去用
[27:43] 你到底花掉了多少token
[27:44] 你花掉多少AI的支出
[27:46] 然后去算说
[27:47] 那你的收获到底是不是合理的
[27:49] 大家可能会去想象说
[27:51] 你花越多你就赚越多
[27:52] 应该不是这样子的一个情形
[27:54] 因为别人也都会花
[27:55] 不是只有你会用AI
[27:57] 是每个人都在使用AI
[27:58] 所以或许那个数字会蛮令人惊喜的
[28:01] 当然这个讨论可能是比较偏向是
[28:03] Neutral跟有些人会认为是偏空
[28:06] 因为可能会去call out一些公司
[28:08] 你整天在讲说
[28:09] 你自己用掉多少token多屌
[28:11] 但实际上你根本没有产品的shipment
[28:12] 会有点类似这样
[28:14] 但实际上我会认为
[28:15] 这个是我自己在接下来
[28:16] 我要去审视一些美股
[28:17] 我可能会想要看的指标
[28:19] 甚至像那种苹果的论述
[28:21] 因为它可能没有像其他的CSP
[28:23] 需要投入这么多的资源
[28:24] 所以它的现金流是非常的强劲
[28:26] 说不定它就变成是
[28:27] 市场里面特别喜欢的一个东西
[28:29] 所以一样的道理就是
[28:30] 现在看起来烧很多AI
[28:32] 让你想去做多的公司
[28:34] 或许在某个时间点
[28:35] 它会是一个
[28:36] 你想要去大力卖出它的理由
[28:38] 所以这最近的一个
[28:39] 怎么讲就是小心得
[28:41] 也在这边稍微的跟大家分享一下
[28:43] 总之下的盘面
[28:44] 还是在非常强劲的一个状态
[28:46] 所以就是尽可能的
[28:47] 在这种好行情里面
[28:49] 幼稚来讲
[28:49] 能够赚多少就赚多少
[28:51] 因为当然我们不知道
[28:52] 好行情可以持续多久
[28:53] 我们希望它可以久一点
[28:54] 可以什么三个月半年之类的
[28:55] 但这个派对总是有
[28:57] 要擅长的一天
[28:58] 总是就是在可以赚的时候
[29:01] 先尽量的好好的去把握
[29:02] 然后我们不会去预设高点
[29:03] 在市场里面去找各式各样的题材
[29:06] 去持续的介入
[29:07] 那这可能是我们
[29:08] 在后面会想要努力的一点
[29:09] 那接下来我们进入课程的部分
[29:10] 第一位沙漠中的绿洲杨董
[29:13] 4月18号福大献鲜许兔兔生日快乐
[29:16] 孟大大您好
[29:17] 小弟因为要外派AZ
[29:18] 所以只身前往高雄之流
[29:20] 老婆跟两个宝贝女儿
[29:21] 在台北工作跟念书
[29:23] 4月18号做老婆的生日
[29:24] 想见您的金口
[29:25] 对福大献仙许兔兔说
[29:27] 娘子辛苦了
[29:28] 很感谢在一打二的情况之下
[29:29] 还可以一边工作一边
[29:30] 听着股来操作股票
[29:32] 那并把安保跟解保照顾得无微不至
[29:36] 只要想到这里
[29:37] 我就会想到吴孟达说
[29:38] 娘子快出来看上帝
[29:40] 但娘子你就是我们的上帝
[29:42] 那希望你平日在忙碌之余
[29:44] 也要吃饭照顾好自己
[29:45] 期待我们一起开启人生的下一个阶段
[29:48] PS娘子说
[29:49] 如果股癌停更
[29:50] 他也就不做股票了
[29:51] 拜托爱大永远都要做下去
[29:53] 永远支持你
[29:54] 好那也希望这个沙漠中的绿洲羊董
[29:57] 去出征AZ可以顺利平安健康
[29:59] 那我最近是有看到蛮多
[30:01] 就是GGER他们在网络上贴
[30:04] 好像在那边有一些店家
[30:06] 卖奶昔卖什么的
[30:07] 然后在那边穿比基尼
[30:08] 好像有点像是说
[30:09] 那种Hooters的另外一种版本
[30:11] 然后再来就是有很多好吃的东西
[30:12] 好像AZ已经变成是一个台湾人的窝了
[30:15] 所以感觉去那边应该会过得还蛮滋润的
[30:18] 这个节目会更新到什么时候
[30:20] 老实讲我自己也不知道
[30:21] 反正就是还有动力就会持续的做下去
[30:24] 那下面一位
[30:25] 当见是捏卵二宝
[30:27] 爸凤山郭富城
[30:28] 五岁而有球球
[30:29] 每天都给儿子念故事睡觉
[30:32] 今天念完故事
[30:33] 突然儿子说
[30:34] 爸爸我这里有两颗球球
[30:36] 然后爸说怎么会有球球
[30:37] 我们要来睡觉了
[30:38] 不要玩球球了
[30:39] 你把球球拿出来
[30:40] 儿子说我拿不出来
[30:41] 我还在想说他一定是要偷藏
[30:43] 不想拿出来
[30:44] 爸爸说拿不出来
[30:45] 爸爸看看
[30:46] 这两颗球球非常重要
[30:48] 没事不要一直玩球球
[30:49] 还有就是这两颗球球
[30:50] 是你的小宝贝
[30:51] 也不能够让别人看到
[30:52] 知道吗
[30:52] 好了睡觉了
[30:53] 不要玩球球了
[30:54] 结果是他两颗高丸
[30:56] 我只是还没有给我遇到说
[30:59] 他在玩他的蛋
[31:00] 但对小朋友
[31:01] 他们确实会
[31:01] 在某个时间点
[31:03] 开始注意到说
[31:03] 他会知道他自己的身体
[31:04] 跟别人的
[31:05] 可能一些女生的
[31:06] 好像有一点不太一样
[31:08] 或是我怎么有这个东西
[31:09] 那时候就要去跟他讲说
[31:10] 这个东西是很重要的
[31:12] 你要保护好
[31:12] 不要被别人偷摸
[31:14] 或是如果有人碰到的话
[31:15] 你就要回来跟爸爸讲
[31:16] 这个人是我们都会
[31:17] 传递给小孩的
[31:19] 所以就请他
[31:20] 对就不要乱玩
[31:21] 搞不好不小心
[31:21] 那个手上小朋友乱摸的东西
[31:23] 脏脏弄到
[31:24] 可能会感染
[31:24] 要稍微小心一下
[31:25] 下面一位
[31:25] TY0114
[31:27] 叛逃的土木仔
[31:29] MK好
[31:30] 在FREDZ上面看到
[31:31] 有人说你就是
[31:31] 陈文版的统神
[31:33] 运气背景
[31:34] 爱老婆
[31:35] 完全一样
[31:35] 补充一下
[31:36] 还一样都有一张
[31:37] 帅脸跟性感的胡渣
[31:39] 目前26岁
[31:40] 一直在上山
[31:41] 与否犹豫
[31:42] 薪资甩土木一百条街
[31:44] 无但如说去做喜欢的事情才会成功
[31:47] 想问MK觉得什么才叫成功
[31:49] 有钱算是成功吗
[31:50] 还是能过自己想要的生活才算是成功
[31:53] 想听听财经界阿航的想法
[31:56] 那最后想请MK来一段
[31:57] 林凡的五天几年
[31:59] 不会
[31:59] 那听完我的几几也黏黏的了
[32:01] 感恩爱您
[32:02] OK
[32:03] 那我觉得你还是去神山好了
[32:05] 你看那种讲话不正经的
[32:06] 就骂给我去顾鸡台
[32:08] 顾一顾看会不会比较正经一点
[32:10] 你需要一点SOP灌在你的身上
[32:11] 那在想说什么才叫做是成功
[32:14] 现在我一定不会去用钱衡量一个人
[32:18] 因为站在我的角度来讲
[32:20] 就身边每个人都有钱
[32:22] 就算可能听起来有些人觉得说
[32:24] 啊干反而赛啊
[32:25] 你这丘叼啥小
[32:26] 但就陈述一个事实啊
[32:28] 所以很多时候我讲说
[32:29] 像以前我也觉得我那些学习长在炫富啊
[32:31] 妈每天吃那些东西
[32:32] 后来知道说他没有在炫富
[32:33] 那只是他的生活而已
[32:34] 只是你自己受到刺激
[32:36] 所以我必须得讲
[32:37] 就是在我的角度就是
[32:38] 你知道我们身边每个人都有钱啊
[32:40] 然后每个人都会做股票
[32:41] 所以你会做股票
[32:42] 跟你有钱
[32:43] 这件事情不是一个
[32:44] 可以拿出来讲的
[32:45] 所以这方面大家比了什么
[32:46] 但有些人是比说
[32:47] 可能去七楼去十一楼
[32:49] 谁比较会玩
[32:50] 这是他们的行话
[32:51] 那我反正听不懂
[32:52] 你也不用跟你多做太多解释
[32:54] 那有些人可能是比说
[32:55] 谁把自己的老婆照顾得比较好
[32:58] 这个老婆出去
[32:59] 她不需要工作
[33:00] 然后她可能生活就过得蛮不错的
[33:02] 又有去什么上个皮拉提斯
[33:04] 拉个瑜伽还是什么的
[33:05] 这个照顾得好好的
[33:07] 那可能就觉得说
[33:07] 我很有成就感
[33:08] 我是蛮成功的
[33:09] 那有些人可能在比说孩子吧
[33:11] 但我们讲的比较都不是那一种
[33:13] 说什么你有多高
[33:14] 不是这种
[33:15] 就是说可能我们对自己的认同感
[33:18] 是来自于这些东西
[33:19] 孩子有没有可能
[33:20] 今年又去不一样的地方
[33:22] 大家又体验了什么东西
[33:23] 所以其实成功这件事情
[33:25] 在比较早期的自己会认为
[33:28] 对就是有钱就算是某个程度的成功
[33:30] 但现在就会觉得说
[33:31] 其实成功绝对不是有钱
[33:33] 在生命中可能
[33:34] 自己维持一个健康的身体
[33:36] 然后跟家人小孩
[33:38] 可能都过得蛮不错
[33:39] 这就是一种成功
[33:40] 那当然这个某个程度上
[33:42] 就是需要钱
[33:42] 才可以帮忙办到这件事
[33:44] 但也不一定是说
[33:45] 有钱就一定办得到
[33:46] 像要有一个好身体的话
[33:48] 你就外面去做一些
[33:49] 什么徒手训练
[33:51] 跑步什么
[33:51] 那个都不需要花到钱
[33:52] 甚至到某个程度
[33:54] 我觉得年纪到了之后
[33:55] 会去比说谁比较健康
[33:57] 谁还能够在六十几岁的时候
[33:59] 去上山下海
[34:00] 所以那时候就算你是十亿
[34:02] 然后他是一百亿
[34:03] 然后可能
[34:04] 隔壁那个是只有一亿
[34:05] 可是一亿那个
[34:07] 早上他屌断了就翘起来
[34:08] 他还是陈伯
[34:09] 65岁
[34:10] 大家还叫他说陈伯叔叔
[34:11] 那他就赢你们两个了嘛
[34:13] 干你们两个有多少钱又怎样
[34:15] 那谁要去跟巴菲特交换身体呢
[34:17] 对巴菲特多少钱
[34:17] 要不要跟他交换身体
[34:18] 我不知道嘴巴菲特
[34:19] 也不知道去呛老人家
[34:21] 我意思是说
[34:21] 这是一个很简单的道理
[34:22] 你想通就会发现说
[34:23] 其实你在每个年纪
[34:24] 你要的东西会长得有点不太一样
[34:26] 那所以不要去相信
[34:28] 别人讲的什么成功的定义
[34:29] 然后或者是说
[34:30] 什么人一定在几岁要有多少钱
[34:33] 这种我都觉得是fucking bullshit
[34:34] 因为那都是by case
[34:35] 而且是说
[34:36] 每个人追求的东西都不太一样
[34:37] 当然可能在我们的社会
[34:38] 有点像说
[34:39] 笑评不笑藏
[34:40] 大家都觉得说钱是一切
[34:42] 你看可能Pockets的排行榜打开来
[34:44] 每个都在听财经台
[34:45] 到底在那边撒娇
[34:46] 就台湾人真的超爱钱
[34:47] 你去看其他地方
[34:48] 可能就不是长这个样子
[34:49] 或者说其实亚洲
[34:50] 韩国人也很爱钱
[34:51] 所以就是
[34:52] 其实成功是对自己的一种交代
[34:55] 我现在这样认为
[34:56] 每个时间点可能不太一样
[34:57] 像我前面讲
[34:58] 我早期可能会认为说
[34:59] 我这个节目就要成为话语霸权
[35:01] 可是现在我反而想
[35:02] 密底裤啊看啊
[35:03] 我根本就想要低调一点
[35:04] 我就不要帮自己惹麻烦啊
[35:05] 甚至要筹码要藏起来
[35:06] 不要让人家知道
[35:07] 人家会觉得说
[35:07] 你买帅给人家看到很帅
[35:09] 我现在会觉得说
[35:09] 这哪里帅
[35:10] 就这只是帮自己找麻烦而已
[35:11] 所以每个街上
[35:13] 可能想的会不太一样
[35:14] 所以你现在认为的成功
[35:15] 你真的到之后
[35:16] 你会很意外的发现
[35:17] What's next
[35:19] 就是你并没有因为这样子
[35:20] 获得心理上的平静
[35:21] 其实你会去追求别的东西
[35:22] 所以人生是一个
[35:24] 怎么讲
[35:24] 就是那种没有到终局
[35:25] 你不知道到底是怎么样的一个东西
[35:27] 你不要认为说什么
[35:28] 你到哪个地方就怎么样
[35:29] 没有其实会超乎你的想象
[35:30] 所以人生有很多的弹性跟韧性
[35:32] 以及他各种发展性
[35:34] 那个是无限的
[35:36] 所以你就是wait and see
[35:37] 反正就是在现阶段来讲
[35:40] 你去做一个
[35:41] 看起来是比较好的一个判断
[35:43] 机会成本之下比较好判断
[35:44] 这样就好
[35:45] 不要想太多
[35:45] 因为有些东西你事后回头看
[35:47] 才会知道
[35:47] 他到底是福还是祸
[35:49] 下面一位
[35:50] 嘉里安凤小月
[35:52] 太长约想跳过
[35:54] 可是他里面有看到
[35:55] 台大医院儿科病房来念一下
[35:58] 恭喜大女儿在台大儿科病房
[36:01] 做满半年的
[36:02] 孟宫大大您好
[36:03] 本人是中年男飘二宝爸
[36:05] 家中的长公主护理系毕业
[36:07] 估计我们继续挑战
[36:08] 全台最高学府台大医院的儿科病房
[36:11] 在里面遇到很多
[36:12] 书本上都没有教过的罕见疾病
[36:13] 经历过年初一到初三值班
[36:16] and uncle
[36:17] 不知不觉的撑了半年了
[36:19] 我跟太太都感到欣慰
[36:20] 祝长公主aka粉红熊姐姐
[36:22] 4月15号生日快乐
[36:24] 今年就申请到台大太子员工宿舍
[36:27] 祝长女婿今年实习顺利
[36:30] 明年初顺利申请到高雄的医院
[36:32] 跟理想的科系
[36:33] 祝你们感情顺顺利利
[36:34] 长长久久
[36:35] 祝小公主可可
[36:36] 年底成功申请到马来西亚的交换学生
[36:39] 明年申请上台大研究所
[36:41] 祝太太Angela
[36:41] 3月1号生日快乐
[36:43] 永远18岁
[36:43] 接着回到市场的话题
[36:45] 去年靠着大盘杠杆流
[36:47] 以及市场赏饭吃
[36:48] 成功赚了八位数
[36:49] 今年靠美以一战争股市拉回
[36:53] 持续加码台积电0050
[36:55] 目前持股正额台积电各1 3
[36:57] 0050每股各1 6
[36:59] 希望年底台股冲上38,000
[37:02] 梦宫大绩效图的梦PS再生第三代保证是女儿
[37:05] 今年绩效又超过去年
[37:07] 太神非常感谢这位兄弟的祝福
[37:10] 38,000是有点那种没有梦想的数字
[37:13] 拜托喊高一点
[37:13] 就来都来了
[37:14] 就直接先喊个4万再说
[37:16] 我觉得人就是要有梦想
[37:17] 然后可能三年后我们就看5万之类的
[37:20] 不一定
[37:20] 三年后搞不好是一个周期的结束
[37:22] 不一定
[37:23] 反正我总之就是说
[37:23] 我们要尽量要看远一点如果说上档肉质有这么少的话那股票做啥小那对就前面吸引到因为这个刘泰德一般被我跳过但因为他有提到他的女儿在台大儿医那边
[37:35] 那因为大家应该要知道说
[37:36] 我的二儿子就是在台大的儿医出生的
[37:38] 本来我们是去诊所
[37:39] 之后就发现有一些问题
[37:40] 所以就只好去台大
[37:41] 然后找到了施警中医师
[37:43] 非常感谢他
[37:44] 然后还有在台大儿医的
[37:47] 每一位护理人员跟医师
[37:49] 还有我们的Kathy
[37:51] 就是当时都是非常的照顾我们
[37:53] 所以我搞不好有看过您的千金
[37:55] 搞不好看过
[37:56] 因为那时候我就是
[37:57] 都在台大医院里面走跳
[37:58] 然后后来的检查
[37:59] 前面几次我去
[38:00] 后面就是交给A君跟妈妈带去
[38:02] 因为还是要工作
[38:03] 所以是非常感谢这个地方
[38:05] 它真的是一个让奇迹发生的地方
[38:07] 我自己本身也有去对
[38:09] 台大的儿童医院捐款
[38:10] 希望大家就是
[38:11] 如果有余裕
[38:12] 然后你不知道捐什么的话
[38:13] 其实可以看一下台大儿童医院
[38:15] 因为我觉得他们真的在做一个
[38:16] 非常了不起的事情
[38:17] 下面一位谢孟公
[38:18] 又一个太长的跳过
[38:19] 下面一位大猪猪
[38:21] 该称呼您孟公
[38:23] 本来都称您主委
[38:25] 这次改称您孟公去嘎
[38:27] 来跟你分享一个iPhone的无用冷知识
[38:29] 设定闹钟小时一直往上滑
[38:31] 所以滑到底的
[38:32] 这是连续五个星期六
[38:35] 被孟公去嘎念到留言
[38:36] 只是昵称有做改变
[38:38] 感恩爱您
[38:38] 然后靠这个方法
[38:39] 成功留了这么多字典
[38:41] 因为一般可能
[38:41] 我一直注意到同一个名字
[38:43] 我就会跳过
[38:43] 不知道我不知道那个冷知识可以干嘛
[38:45] 冷知识好像本来就不能够干嘛
[38:47] 下面一位
[38:48] 陈奕迅和MK平均有1.5颗蛋蛋
[38:50] 交通违规被开罚单
[38:52] 不要叽叽叫
[38:53] 炒股票就跟爱爱一样
[38:55] 有人天天在床边
[38:56] 分析知识研究角度
[38:57] 预测什么时候会高潮
[38:58] 结果衣服都还没有脱就射了
[39:00] 那有人直接强力抽插三分钟
[39:02] 喊完出来了就软了
[39:03] 真正的高手就是那一种
[39:05] 前行弄到你喷水
[39:06] 他进去之后
[39:07] 还能够精准控制节奏
[39:08] 最后和对方一起上天
[39:10] 同时高潮到的那一种实变态
[39:12] 同理可证
[39:12] 诸位很会爱爱
[39:13] 不会我只会躺平
[39:15] 我只会躺下
[39:15] 我根本就懒得动
[39:16] 那再来就是
[39:17] 我们这边可能还是有一些
[39:22] 但我们真的是
[39:23] 可能行情太好
[39:24] 这个做空被嘎到
[39:25] 开始出来讲一些奇怪的话
[39:27] 下面一位
[39:27] 取这种名字的一定是帅哥
[39:29] 不是丑男
[39:30] 丑男是他说的
[39:31] 但我也觉得
[39:32] 不要预设我回话
[39:33] 声调不一样
[39:34] 孟公去嘎你好
[39:35] 感觉依照孟公的知识量
[39:37] 去考分析师
[39:37] 只要一个星期就会过
[39:38] 为什么这样说
[39:39] 因为我刚好有一张
[39:40] 但我只是有照的废物
[39:42] 还有很多地方要学习
[39:44] 那希望有一天
[39:45] 可以成为孟公口中的猛男
[39:47] 然后后面给我挂到川普
[39:48] 不知道
[39:48] 川普讲中文不会
[39:50] 中国的川普可能真的比较困难一点
[39:58] What a wonderful person
