[00:00] 歡迎收聽股癌,我是聖孟恭,本集節目由讓我緊張又興奮的老朋友Dr.情趣贊助。
[27:26] 就覺得說我今天如果要去做12HIGH、16HIGH的話,量率低嘛,然後產出少嘛,那有沒有可能我就稍微的,我不要這麼高的疊層。
[27:35] 我要的是頻寬,我不一定要去拼容量,我可以用科數去拼容量,所以他去做Disback。
[27:40] 這個就是有可能也會在市場裡面去造成一些動盪跟衝擊
[27:45] 就即便你可能喊破喉嚨跟大家說
[27:47] 這個還是一個常多的故事
[27:49] 但有些人光是聽到這一段他就不想要了
[27:52] 或者說他可能本來想去做一些components
[27:54] 可是他看到市場上最缺的components都沒有辦法漲
[27:57] 那我幹嘛要去做其他
[27:59] 雖然也很缺
[28:00] 但是沒有像那個東西這麼缺的一個components
[28:02] 這個可能是後面比較抽象的一段
[28:05] 但是是需要去做理解的
[28:06] 那也稍微跟大家分享最近的一些心得
[28:09] 所以簡單來講就是我覺得雖然這波的修正看起來也是蠻恐怖的
[28:14] 但是因為前面掉很深那彈超多
[28:17] 所以他只要修正簡單說就是在這邊沒有那種加速往下撞
[28:22] 開始橫開始震的話反而是要去找機會
[28:25] 那去找可能前面我們把它拆解之後
[28:28] 看有沒有什麼那種新的族群跑出來
[28:30] 那去找那個族群可能會是一個蠻不錯的一個方向大概這樣
[28:33] 好那接下來我們就來進入QA部分
[28:34] 第一位Liuda到雷之標
[28:37] Hello 孟恭 Chika,想問你以前玩風之谷的時候有沒有打到過黃色雨傘?打了多久才打到?最近看到一個Youtuber阿銀仔打了45個小時才打到黃傘,不曉得Chika會不會覺得他是個臭摔鬼?希望你可以用酸民的語氣對阿銀仔說,你是熊阿銀仔準備打2000小時的赤龍啦?200小時的赤龍啦。祝平安愉快。
[29:00] 阿對了諾亞會對奧克莎娜說阿婆飛機嗎?
[29:03] 欸那個芭布拉飛機的故事應該是已經是幾年前了
[29:07] 就他還是小朋友的時候
[29:09] 然後他就覺得他的芭布拉很煩
[29:10] 就是看到他一直要弄他
[29:13] 所以他就覺得希望他快點離開
[29:15] 就整天這個芭布拉飛機叫他趕快坐飛機離開
[29:18] 現在不會啦現在長大了
[29:20] 其實跟他的這個不管是我爸爸這邊的
[29:24] 或者說我老婆那邊的長輩呢
[29:26] 都還是玩得蠻開心的
[29:27] 大家也都很樂意跟他玩
[29:28] 所以他不會想叫大家離開,他反而是希望大家都留下
[29:32] 然後再講說有沒有打過黃色雨傘
[29:35] 我以前是沒有在玩風之谷啦
[29:37] 只有稍微的可能朋友推坑摸一下也並沒有很認真的玩它
[29:41] 以前是會去打那個什麼魔獸世界有一個在寒冰地圖裡面
[29:45] 忘記那個地圖叫什麼
[29:46] 但裡面有一隻時光流逝元龍
[29:49] 就是你要騎著龍在上面等
[29:50] 騎著你的坐騎在上面等
[29:52] 然後他可能就是幾個小時才會出一隻
[29:54] 就一堆人在那邊蹲點
[29:55] 我也是不知道打了他媽的幾十還是上百個小時
[29:57] 然後才終於蹲到他那時候還要裝什麼警報器之類的
[30:00] 所以其實仔細想想以前在玩線上遊戲的時候真的蠻瘋狂的
[30:04] 那跟上班一樣
[30:04] 什麼公會要打然後大家都要上線
[30:06] 可能打罵好幾個小時喝提升飲料晚上在網咖睡覺之類的
[30:10] 其實現在真的沒有辦法做這些東西
[30:12] 所以我現在其實是蠻喜歡一些遊戲那種Pay to Win的機制
[30:15] 雖然我知道蠻多玩家很討厭
[30:17] 但只能夠說可能年紀大了你就會開始理解
[30:21] 如果我可以用一些錢去買練功的時間或這些裝備
[30:25] 我幹嘛不買有病喔
[30:26] 上班就很累了,他媽我怎麼可能還像年輕的時候我整天賴在網咖裡面打,就不太可能啊,但那是一種年輕的浪漫沒錯。
[30:34] 下面一位,太常跳舞了,下面一位,馬一龍夢公安,當初是為了生活品質才進到沒什麼錢的美光,沒有想到近兩年產能滿載,每天累得跟狗一樣。
[30:45] 既然沒有生活,至少工作報酬可以高一點。
[30:49] 沒有想到高層在這種記憶體風篆的時候說,營收跟你們的分紅沒有關係,分紅遠低於同產業的標準,關號少10-60倍。
[30:57] 虧錢的時候由員工承擔被裁員分紅歸零,零調薪的後果。
[31:02] 近期開始思考,這種公司我們是否要持續待下去?
[31:06] 但同時我非常喜歡部門的同事跟主管,去遇到其他公司又要重新抽同事跟主管。
[31:12] 想問一下孟恭公大你會選好公司爛部門還是爛公司好部門?
[31:17] 美光有很小氣嗎?我是沒有更新到最近的,可是因為我身邊有些朋友在美光,我記得前陣子不是發的蠻大方的嗎?
[31:25] 還是說後來怎麼還是說什麼你們是可能去跟韓國抗爭之後的比較,我不曉得啊,但應該是沒有道理太小氣
[31:33] 特別是其實我們最近看一些那種缺料漲價相關的公司,其實蠻多人都拿很多錢
[31:40] 甚至是一些系統廠 ODM 哇靠他們拿的那個package甚至會去擊敗以前就是大家講的什麼豬屎屋或是說神山之類的那個是真的還蠻嚇人的
[31:51] 所以我不太確定當然這個可能不知道一家公司裡面每個人分紅的數字高跟低我也不曉得但有這麼誇張嗎我不知道
[31:58] 然後再來講說是會去選好公司爛部門還是爛公司好部門
[32:03] 我覺得你不用想那麼多簡單來說錢給到為什麼都不是問題你出去工作你會感覺到委屈
[32:09] 絕大多數,這是那個馬雲還是誰講的嘛,然後就說你就是錢沒有給到位啦,這個我認為是非常真實的一個陳述啦,你錢給我超級多,就算你去叫我做一個死缺,我都有可能會接受,但是你錢給我少,那就算是一個我的夢想工作,我都不一定會去做,因為媽的錢真的太少了,那大家出來工作不是來交朋友的啦,進去上班,我們是一家人,誰跟你他媽是一家人啊,我們不是一家人啊,我們是一家人的話,那我告訴你,我今天還去了
[32:39] 另外一個什麼劉家、陳家、王家、黃家我都去做面試了每個都跟我說一家人到底我是哪一家不用去信這些東西反正就是錢給到位就沒有問題
[32:48] 如果真的硬要去這兩個二選一的話這個很奇怪就是我知道有些人會有一些那種企業認同感他覺得這家公司很酷聽起來很有名氣500大家人會喜歡進去做一個超級死缺錢很少他也覺得與有榮焉因為我是這個單位的你有這種情節的話你當然就是選前者
[33:08] 但以我來說如果這兩個真的要選的話我會選好部門啦至少大家的氣氛是對的即便公司可能啊你跟人家講哦都沒有聽過哦這可能要google查一下google可能還查不到那也不是特別重要的事情至少我是快樂的嘛
[33:22] 所以如果這件事情是單純的在講說名聲或說名氣的話後者啦我就我管公司的名氣大不大
[33:29] 但其實最終還是直接回去講錢是最快的所以當覺得今天錢是委屈了
[33:35] 並且你知道你換到另外一邊就立刻有更好的錢
[33:38] 那它是一個權衡標準
[33:40] 就像說它如果只多10%的錢
[33:42] 你可能就不想放棄你的同事
[33:43] 那我就問你如果多100%的錢有沒有放棄
[33:45] 立刻放棄誰不會放棄
[33:46] 差不多就是這樣的道理
[33:47] 那下面一位
[33:48] 我這一生如履薄冰你說
[33:51] 你愛的不該愛的人
[33:55] 不然他那個你說我們講解這個
[33:57] 懵工有看凡修仙逆玲瓏這類的路漫嗎
[34:01] 真心覺得這幾年中國動畫技術越做越好
[34:03] 尤其是最近新上的牛來推薦猛攻看看,新聞有看到,好像是一個低成本製作意外賺很多錢的東西。
[34:10] 另外想請教猛攻在產業面的資訊都從哪裡吸收?是純文字還是有土象剖析的?沒有看實體實在是很難想像。
[34:18] 像你上一集提到規格提升就可以馬上行雲流水的接續,Busbar 截面會變大,Cable 重量跟彎曲的半徑會變大,Connector 尺寸跟插拔力的改變。
[34:27] 你也說自己不是電的專家,但你依然可以在沒有完整拼圖的情況下自己摸到那麼深。
[34:32] 我也想成為像你一樣的產業慈漢以及沒有聲量優勢的一般散戶要如何去東拼西湊外還能夠修正錯誤呢?感恩愛您。
[34:41] 為什麼我會知道Busbar的結面會變大?
[34:45] 我會知道Busbar這個元件最早是因為當年有一個Stealth Company就是去做那個Immersion Cooling的,然後他們為了要去解決Busbar花了很多時間。
[34:55] 所以當時的裡面的產業的朋友就是跟我去很詳述這些Busbar的一個差別
[35:02] 每家公司可以給的材料然後跟尺寸的狀況怎麼樣
[35:05] 所以我第一次很認真的去研究這個東西是什麼
[35:09] 然後在講說Cable為什麼會知道
[35:10] 因為在投資貿聯的時候就要去了解每一條Cable每一條線是要幹嘛
[35:16] 甚至到最後面是已經知道說反正你看到某個顏色的線
[35:19] 那個就是貿聯的東西
[35:20] 所以你今天去看展看到說後面都是某個顏色的線
[35:23] 回去立刻買股票
[35:24] 這是開玩笑的,但你就會知道說那個是他的,那為什麼你會知道?因為你去研究這家公司,所以你會知道說他會跟你提到這個Cable會怎麼樣去做,裡面要不要再額外放一個什麼訊號源,或者說這個銅線,或者說淚光的一個解方,什麼時候會進來,什麼時候會出去,你都是有辦法在一些法說會或是公開資料去找到。
[35:44] 然後再來講說 Connector 的話,就是你今天如果去研究一些Socket 公司或是一些Pluggable 的元件,你就會去了解到這個東西的應用或是相關的變化。
[35:56] 就像以前Socket你也是覺得說,不就是像那種電腦上面的一些Socket,就是我這邊一直插拔一直插拔沒有關係。
[36:02] 可是後來你研究到 Anfino 之後,然後你再看了幾個電話會議或是甚至一些同業的互相吐槽,你就會去明白,
[36:09] 原來這個東西像最早的那些AI伺服器
[36:12] 它這個插拔可能插拔五次之後東西就壞掉了
[36:15] 那它怎麼樣做
[36:16] 它就是可能在測試的時候我就不要插拔這麼多次
[36:18] 反正是用很北南的方式
[36:20] 反正測試先過然後後面再看怎麼樣
[36:21] 但你就知道說原來這個東西也會在插拔的過程之中
[36:25] 因為它裡面的那個針太多了
[36:27] 就會去造成一些良率上的問題
[36:28] 所以簡單來講說這些東西它都不是
[36:31] 我可能看完回答的800V報告
[36:34] 然後我就知道這些東西
[36:35] 沒有它都是過往的養分的累積跟堆疊
[36:38] 因為我看過這些東西,那其實就會發現說這些科技電子相關的東西,它都會有一個底層邏輯在背後。
[36:47] 就像說可能大家的目標都會是去追求萎縮,這是一個在那種比較尖端科技可能大家會去做的。
[36:55] 那可是如果今天成熟科技的話呢,那大家因為沒有空間的一個迫切的需要跟知道這個空間很值錢的一個條件在的話呢,那我可能要追求的什麼?
[37:05] 就是穩定度,所以我就不會去追求我的東西要從可能不知道28、16然後走到85、32奈米或是之後的什麼A16、A14,我沒有必要嘛
[37:14] 我可能就持續的用成熟製程的東西或是一些特殊製程的東西,因為我車子的容量這麼大對不對,我裡面多塞幾顆晶片哪有差
[37:21] 所以你會注意到車子跟可能一些伺服器或是說手機PC筆電,它的邏輯就不太一樣
[37:27] 但是當你懂手機PC筆電的邏輯,那你再去推可能伺服器然後或者說後來的AI伺服器
[37:34] 有點像那種一路通路路通啊,就是以前我們打LOL一樣,就是當你知道Jungle要怎麼樣Gank,就算我今天給你不同的角色,那你還是可以很快的上手會Gank,你只要把這個角色的他的株源,我就叫他QWE啊,分別是幹嘛,你要搞清楚嘛,可是邏輯是一樣的,哪邊可以蹲草,什麼時候要出來,什麼時候要叫隊友要幹嘛,那個是差不多的。
[37:54] 所以最難的就是一開始,因為你什麼都還不知道的時候,那你真的會花非常多的時間。
[38:00] 可是當你今天覺得說你可以去了解手機之後,然後你再去看PC,當然它有一定程度的差距,只是也沒有差這麼多。你看裡面都一樣Wi-Fi晶片,可能一樣會有觸控,然後再來會有一個Display,然後再來電源。這就是我對於這個的分析。
[38:36] 那聲量的優勢在於說你在獲得一些消息或是一些產業認知的時候你的速度可以比別人快
[38:43] 我覺得來說像我們年初的時候知道衛星的狀況好那為什麼知道
[38:46] 那就是簡單講聲量優勢啊沒有聲量優勢你不會知道
[38:49] 然後再來就是你要怎麼樣知道說一些元件會漲價
[38:53] 而且你講的時候可能沒有人相信因為大家看不到可是後面大家就看到了然後就知道了
[38:57] 所以前面可能有些還會甚至會笑你會罵你然後他們只是後知後覺而已這個就是聲量優勢啊
[39:02] 但SRAM是沒有辦法幫你把前面的這種深耕要耕耘的東西做好。所以它是有差距的啦。我覺得那是需要一點時間去做累積的。
[39:12] 那大概怎樣?下面一位哈魯,蒙公老公可以對我的8月份生日健身教練VamosFit的GEN說那四個字嗎?謝謝,生日快樂。
[39:21] 下面一位Lan,Aida,您好,我是潛水的忠實聽眾,有醫療相關的專業證照,最近出國學英文回來,有意申請國外的學校。
[39:30] 所以想要先跨出舒适圈找跟英文相關的工作,不過稍微爬了一些外商跟科技業好像很少相關的工作。
[39:37] 目前開放的職缺大多要求一定的學經歷,不確定是否我找的方向錯誤,希望AIDA跟關英斷可以指點迷津,產業別不限,希望是能夠頻繁接觸英文的工作,小女感激不盡。
[39:50] 不知道為什麼我覺得你的需求很奇怪
[39:54] 你是醫療相關證照
[39:55] 然後跑去學英文之後回來又想要再繼續學英文
[39:59] 只為了要去申請國外的學校
[40:01] 你不是就已經跑去學英文了嗎
[40:02] 還是說你的意思是說你現在學英文不夠
[40:05] 你還想再加上
[40:06] 可是為什麼你要去上班
[40:07] 因為你去上班的話
[40:09] 你應該是會花蠻多時間處理跟英文沒有相關的東西
[40:12] 如果說你真的想要一直去講英文的話
[40:15] 你可能反而是要去找一些
[40:17] 就要說一些那種打工度假
[40:19] 然後去做那種最基層的服務生,那你有可能就會必須要一直開口嘛,你要跟客人講話,可是那可能也是聚焦在一些就是你的工作所需要的用語跟訓練你的勇氣可能是蠻好用,但是對你的智慧或是你的表達不一定會去造成一個長足的影響嘛。
[40:35] 那我覺得現在就是AI時代,你直接做一個最簡單,你現在去下載任何一家的AI模型,我覺得都沒有問題,非常的簡單,因為這個功能是那種entry level的,語言是最簡單的。
[40:46] 抓下來之後你就開啟語音模式,然後接著你就跟他說你想要學英文,你想要他跟你對話,你就一直跟這個AI對話。
[40:53] 其實我覺得可能會比去補習、去找班上或者是去幹嘛都來得更加的有效。
[40:59] 這個AI對於語言的訓練或是一些那種數理簡單的訓練我覺得是非常強大,它可以相當有效的去取代一些家教。
[41:06] 當然如果你還是希望說跟人家面對面,因為你想要順便培養勇氣,跟人家開口的一個實力的話,去找個家教可能也有效。
[41:14] 我覺得工作反而是一個效率沒有這麼好的東西
[41:17] 然後再來就是老闆的角度就是說殺小老子付你錢不是要讓你來學英文的
[41:22] 所以你進去你還是會花很多時間去學專業技能
[41:25] 然後可能才會去做到你講的英文的應用
[41:28] 但他就是有點那種脫褲子放屁
[41:30] 除非說你想要再順便賺一點錢之類
[41:32] 所以我覺得直接找AI可能是最快的
[41:34] 下面一位KXX畢業班的叔叔真的會笑死
[41:38] 沒什麼料子能夠靠賣課賣APP賺錢
[41:40] 還硬要放很噁的大頭照看一次檢舉一次
[41:43] 好,根本不知道這位在講誰了。
[41:45] 下面一位,敬主委安安,沒有什麼問題要問,只是想說我曾經也是從業十年以上的遊戲開發人員,但礙於當年台灣的業界環境不是這麼理想,所以離開了。
[41:54] 聽到你對紅顏錄筆的上市心得,我覺得有點感動,有點想起當初幾次產品上線的那種心情既複雜又興奮的感覺。
[42:02] 對開發人員來說,能夠好好完成一個自己喜歡的作品,真的就已經很不容易了。
[42:06] 一般人只看得到成敗,但成敗的因素太多。
[42:09] 其中能夠透過向南資本這樣的外語言來克服各種問題也是以前都不敢想的事情。
[42:15] 主委真的是做慈善,願稱你為林口的好人好事代表。
[42:19] 最後祝主委全家平安順心,原本想說希望各位聽眾平安度過這波行情,但一直沒有留言成功。
[42:25] 到現在市場氣氛好像已經恢復了,改成希望韓國人別做股票好了。
[42:30] 這個希望蠻不錯的,他們真的是金融恐怖分子,真的是你從以前就縱觀到現在就知道韓國人進去瘋狂的東西,
[42:37] 恭喜!後面真的會出事情,然後把大家一起炸掉。
[42:41] 那再來講說,向南資本是在做慈善。
[42:44] 沒有啦,我不希望去講說我們在做慈善,因為做慈善就是說你會沒有回報。
[42:49] 也不是說我們希望在遊戲裡面獲得回報,但我們的目標還是希望去某個程度上的證明,
[42:56] 其實在台灣是有很多很棒的團隊,很棒的軟體開發人員。
[43:01] 如果說你給他們他們要的資源就是像我們現在在做的事情
[43:05] 並且像那個紅顏錄筆的八哥我非常感謝他有發一篇文也有感謝到我們
[43:10] 然後提到說我們是最棒的一個這個金援
[43:14] 因為我們進來之後我們沒有再跟他廢話的
[43:16] 也不會去跟他指導說他一定要怎麼樣
[43:18] 反正我們就滴滴做好之後我們就相信你之術
[43:20] 就是這樣就跟那種日本國中生一樣非常熱血的那種動漫場景
[43:25] 我們是相信說遊戲你一定是比我們會做
[43:28] 這個是肯定的
[43:29] 但是我們也相信我們自己的眼光,所以投下去之後我們希望有好事發生。
[43:33] 如果真的成功證明的話,是不是就代表說大家不會再講說在台灣開發遊戲是自殺,是把你的阿祖留給你的遺產亂花掉,是真的可以賺錢的。
[43:46] 是不是就會有更多年輕人想來做這件事情,是不是就會有更多的資本,他知道可以賺錢,他就會進來。
[43:52] 因為以前沒有辦法去定價啊
[43:54] 你要跟我講說投資遊戲可以賺錢
[43:56] 媽你要嘛是詐騙要嘛就是我不知道啊
[43:59] 你想要在我身上去拐一些東西之類的
[44:01] 就沒有人相信嘛
[44:02] 那我們在做的時候一開始也是這個蠻多網友的指教
[44:06] 他們沒有惡意啊
[44:07] 其實絕大多數人都是站在那種比較正面的立場
[44:09] 但他們就是還是不免的說啊這個希望他們成功啊
[44:12] 看起來就是一定會爆掉一定會失敗
[44:14] 但至少我們家第一款遊戲是蠻成功的
[44:17] 那我們希望後面都可以持續打出這個成功的戰役
[44:21] 希望可以遇到年輕版本的靜,當然現在遇到你也是很棒,但我意思說就是像你當時非常熱血想做的時候,可是你注意到業界裡面缺乏了一些資源,那我們來熱熱業,所以年輕的靜就會知道說他有可能可以找到這個資源。
[44:36] 這邊稍微講一下,因為確實有蠻多人一直寫信來,希望我們可以去投資他某什麼的,其實我們都有看到信,我們不會每一封信都回,只能夠說還沒有回你,或者說你沒有收到信的,就是時機未到,我們就時機未到。
[44:51] 我們會去做一些判斷,我們裡面其實有蠻多,簡單講說,雖然我們前面講的非常的大方,非常的衝那種日本漫畫,但我們都是非常聰明、非常機敏的人,我們知道什麼時候去幫助一些人可以把他推到他要的地方去。
[45:06] 我們也不是說什麼只會去救那些可能已經是很好或是很頂尖的團隊
[45:12] 很多我們去加入的團隊他們當下是可能不一定發出薪水或是很慘的
[45:17] 所以我們不會去用一些那種等於說只打順風牌
[45:22] 特別是在遊戲市場你說台灣真的有多少順風牌
[45:25] 沒有我們是進來打逆風牌的
[45:26] 但就是希望可以證明給大家看
[45:28] 證明給大家看不是說什麼讓大家知道說你好棒喔讚
[45:31] 是真的希望可以把這個做起來
[45:33] 因為我們從小都喜歡打遊戲
[45:35] 我們一定會希望說台灣有很多很棒的遊戲
[45:37] 下面一位
[45:38] 電腦不要當機拜託
[45:39] 嗨寶貝孟恭
[45:40] 今年來聽節目真的學到很多
[45:42] 有個問題要請教
[45:43] 自己努力試著做好基本面分析
[45:45] 但同樣都是完整的研究公司
[45:47] 又分成研究品質好的跟研究品質爛的
[45:49] 想問問孟恭要研究到什麼程度
[45:51] 依你的標準才OK
[45:52] 因為身邊沒有人可以交流基本面的想法
[45:54] 且身旁能夠接觸到的資源中
[45:56] 孟恭是最強的
[45:57] 許願用一家公司做舉例
[45:59] 要研究到什麼程度在你的認知中才算是OK
[46:02] 舉例這家公司之後
[46:04] 我學習後才能夠多次複製到多少公司,多個公司。
[46:09] 目前我的能力為讀年報、季報、券報、法說會資料,弄財務模型拆PQ,弄出EPS,但產業上怎麼弄到財務模型上不太知道,以及通常你是怎麼做研究的。
[46:23] 這邊其實也不用特地去舉某一家公司,就直接用你的說法來做,對你研讀的資料非常的棒。
[46:29] 再來你的財務模型去拆PQ的話,除非說你是有把年報的各個類別都有拆出來看,不然你的PQ可能是整家公司的Average Sale Price ASP。
[46:38] 這可能不一定會是我們想要追求的一個東西,為什麼?因為這家公司可能做的東西非常多。
[46:43] 舉例來說像我最近有在做的一家公司,它可能本來有蠻多的業務是偏向說是傳統的Consumer PC,只是它現在可能去做了一個光通插拔的東西。
[46:54] 這個東西有可能是後面市場上可以賺很多錢的東西,可是如果你用過往的東西去研究,你是沒有辦法獲得這一段資訊的。
[47:03] 那這時候要怎麼辦?你就要有辦法知道說那一個元件它的單價是多少,當這個元件進來貢獻多少量之後,它可以造成的公司的毛利跟獲利的上修是多少。
[47:15] 但關鍵的參數是什麼?就你要知道這個元件價格是多少,那你就去參加一下法術會,說不定人家會告訴你。
[47:20] 如果人家不告訴你的話,那你可能可以去參照一下歐美同業,那他們可能在電話會議裡面,一般呢,這個上下游之間或者說同業之間,可能都會有一些訊號去暗示你說這個東西可以提升多少。
[47:33] 就像說他會說這個東西跟我傳統的東西比,他可能在毛利是多了幾個這個百分點之類的。
[47:39] 他不會講得很具姓名義,但會告訴你說會是怎麼樣。
[47:42] 然後再來就是他可能會跟你提到一些線索,可能這個產品的成長會對我們公司某一個sector的營收造成多少的一個貢獻。
[47:49] 可是這個東西明明就是一個可能相對小的東西
[47:52] 為什麼它可以去造成這樣子的貢獻
[47:54] 要麼就是說它單價非常高
[47:56] 要麼就是說它量是出了非常多
[47:58] 所以你就可以有辦法獲得更加詳細的一些數字去做推敲
[48:03] 所以這樣子應該來說就可以去交出一個蠻不錯的報告
[48:07] 但重點來其實並不是說什麼
[48:10] 分成研究品質好的跟研究品質爛的
[48:14] 就有辦法在你的投資績效造成一些幫助
[48:17] 不一定,就是有很多是很好的研究報告,但他研究到了一家不會漲的公司。
[48:23] 你知道為什麼嗎?這是非常現實的,就是你很會研究沒錯,但是巧婦難為無米之炊啊,他媽你給他一坨垃圾,他研究了半天就不會漲啊,他不會漲就沒有用啊。
[48:34] 所以你要去抓到產業的好東西去做研究,就算你的研究的結果很爛,你還是會賺錢。為什麼?我們不知道去吐槽我們的投資同業或這些身邊的朋友。
[48:44] 但確實是我們很常看到的一個現象是每次當有一個題材出現市場一定會overshoot
[48:51] 什麼意思?大家亂估
[48:53] 就是亂估一些數字
[48:54] 就像現在有一些公司我們知道說後段太滿了怎麼辦?外包出去
[48:59] 外包出去每個可能接到外包的公司都會聲稱說他可以在裡面獲得多少的收益
[49:05] 可是如果你站在一個更高角度看就知道說憑什麼這麼多人在競爭
[49:09] 為什麼就像說TAM這麼大你就是分到這個序
[49:13] 你不應該是分到這個Share啊
[49:15] 但是如果你要去炒這家公司的話
[49:17] 你就會注意到有蠻多的研究報告就會把
[49:20] 就像說他獲得的Share然後跟ASP可能都會去高估
[49:24] 我不確定是不是故意的啊
[49:25] 但一定有很多是故意的
[49:26] 因為就是要拱這個股票啊
[49:28] 他要把EPS喊著這個正天價想之類的
[49:31] 但你說這是一個垃圾報告嘛
[49:33] 如果你用純產業面的角度
[49:35] 你會說幹亂估
[49:36] 所以等於你給他一個這個Thumbs down
[49:39] 或者一個不好的評價
[49:40] 但問題就是你買了還是會漲還是會賺錢啊
[49:42] 有人愛啊有人奉皇上去就會上去啊
[49:44] 所以你到底該怎麼樣評價一個報告是好的報告還是爛的報告
[49:48] 有一個報告看起來那種破破的可是
[49:50] 他有抓到重點即便他數字估錯
[49:52] 錯的亂七八糟賺錢那就是一個好的報告
[49:55] 在我的角度是這樣
[49:56] 那除非我今天是單純的去走一個科普的路線
[49:59] 我不想了解股價我只想了解真相
[50:02] 那你去訂閱那個慢報Pro我覺得是一個蠻不錯的選項
[50:05] 所以他就只跟你講這個產業的邏輯啊
[50:07] 那但是呢如果我們今天要把股價帶入進來的話
[50:11] 好報告跟爛報告是沒有這麼容易去區分的
[50:14] 一個完全正確的報告不代表在你的投資上面可以去獲得一些收益
[50:20] 我要跟你表達的是這樣
[50:21] 當然如果你要追求的是非常精準的報告
[50:24] 一定是盡可能都要去把一些參數挖出來
[50:26] 只用一些公開資訊可能是不太夠
[50:28] 因為公開資訊都是過往的東西
[50:31] 一些新的東西一些新的訂單granted
[50:34] 然後跟價格往上談了多少
[50:36] 每次的換代聘數提高或什麼的
[50:39] 價格往上翻多少?這個可能就是說你還是得去挖到這個數字怎麼樣?那其實都是有辦法挖到的,它不用有一些特殊的管道應該都還是可以,它是拼得出來,只有特殊管道會快一點,就是你又問了立刻就知道大概這樣。好大家再見掰掰。
