[00:00] 歡迎收聽股癌,我是聖夢宮,本集節目由Sally贊助
[20:00] 其實我現在不會像是那種追風者
[20:02] 就是看到哪裡有風就衝進去
[20:04] 因為特別是
[20:05] 其實在修正的過程之中
[20:06] 那時候我們也是有持續跟大家分享說
[20:08] 一些看起來特別強的族群
[20:09] 像當時是什麼細金園
[20:11] 那一堆錢趴進去裡面
[20:12] 可是就還是要下來
[20:14] 或是說那時候有一個
[20:16] 這個NVIDIA的某材料
[20:18] 它也是先漲停
[20:19] 大家在跌它再漲停
[20:20] 然後後來它還是跟著下來
[20:21] 所以有點像說修正是
[20:23] 反正不管你是誰都逃不掉
[20:25] 你都是要補跌
[20:26] 只是早跌跟晚跌而已
[20:27] 跌完之後
[20:28] 現在稍微的迴歸瓶頸
[20:30] 至少蠻多東西
[20:31] 已經沒有再出現破底
[20:32] 甚至開始站回來
[20:33] 有些甚至在過去的
[20:34] 短短的幾個交易日就噴了四五十趴以上
[20:36] 那其實市場就會重新的冷靜下來
[20:39] 去思考說到底後面的接棒的物件是誰
[20:42] 那現在非常明顯看得出來
[20:44] 就是在美股這邊是走到軟體跟光去
[20:46] 那臺股這邊也是有光
[20:47] 可是臺股的光呢
[20:48] 其實嚴格上來說蠻多
[20:50] 算是tier2或是tier3的玩家
[20:52] 但是在整個光的市場很好的一個狀況之下
[20:55] 其實都是會連帶受惠啦
[20:57] 那要比較注意的就是光上游的材料
[21:00] 像這個零化銀的材料
[21:01] 我們知道說零化銀基板之下
[21:02] 市場上可能最缺乏的東西
[21:04] 巧婦難為烏米之炊
[21:07] 如果沒有料的話
[21:08] 東西又做不出來
[21:09] 現在其實我們去看一些
[21:11] 不管是臺系又是美系的公司
[21:13] 大家對於原物料的掌控
[21:15] 都算是蠻有信心
[21:16] 可是開出來的一些財務數字
[21:18] 其實可以看得出來
[21:19] 還是有遇到一些缺料的狀況
[21:21] 不然其實按照加市場的demand來講
[21:23] 那個數字應該是要開得更高
[21:25] 但無論如何
[21:27] 我們可以知道
[21:27] 光通在後面的狀況是很好
[21:29] 其實前面
[21:31] 不然說在修正的時候
[21:32] 我們也是隻會跟大家講說
[21:33] 就是資金不青睞這個東西
[21:35] 那大家如果說
[21:36] 身體力行的去感受
[21:37] 就會去知道
[21:38] 其實真的在市場裡面
[21:39] 錢就是這樣子輪來輪去
[21:40] 然後現在跑到車
[21:41] 後面可能又跑到別的地方去拉
[21:43] 那其實故事是
[21:44] 從未到來都沒有什麼改變
[21:45] 那不然說像是散熱也是一樣
[21:47] 那這些錢呢
[21:49] 開始去輪之後
[21:50] 你就要去注意說
[21:50] 它有沒有辦法持續的去進攻
[21:52] 就像臺系的一些
[21:53] 光通相關的股票
[21:55] 非常的強勢
[21:56] 短短几天拉好幾根掌
[21:57] 直接跳上去記線
[21:58] 如果這邊可以去攻心高的話
[22:00] 就可以期待說
[22:01] 那個族群就是有可能會變成是
[22:03] 新一波的主流
[22:04] 雖然它不是那種全新的故事
[22:05] 可是至少就是有資金要往這個方向去
[22:07] 但如果說它只是拉起來
[22:08] 然後再繼續休息的話
[22:10] 那就會變得很困難
[22:11] 所以這陣子我還是會認為
[22:13] 雖然已經算是警戒初步的去解除了
[22:16] 但如果說還是想用過去那種
[22:18] 極度動能的方式去做的話
[22:20] 我就會覺得說是還蠻可怕的事情
[22:22] 所以在動能之中
[22:23] 一定要去夾雜一些
[22:24] 就是你對基本面的認知
[22:26] 你要知道說你家買的東西
[22:27] 是相對便宜的
[22:29] 那這樣子呢
[22:30] 至少你會知道
[22:31] 如果遇到喜的話
[22:32] 你是耐得住喜的
[22:33] 可是光通它絕對不是一個便宜的東西
[22:36] 所以我覺得這邊會很難做的原因
[22:38] 就是你要去買growth
[22:40] 還是說你要去買value
[22:42] 當然其實從過去幾年的歷史告訴我們
[22:45] 就是你應該都是要繼續的站在growth那一邊
[22:48] 就是會成長的
[22:48] 即便它貴
[22:49] 但它就是可以更貴
[22:51] 所以就看吧
[22:52] 我自己會認為說
[22:53] 可能比較保守
[22:54] 會想把大資金車進去的一個關鍵點
[22:57] 是注意到這些族群
[22:59] 有人去到歷史新高
[23:00] 那你想說那你有什麼不要現在進去
[23:02] 不知道因為你沒有到歷史新高前
[23:04] 其實你不能夠確定的是他們會繼續的衝
[23:07] 那到歷史新高一般他不會只滿足於
[23:10] 就是到新高之後就結束
[23:11] 就真的要進攻的股票
[23:12] 他到新高可能在網上的幾十趴都還是有
[23:15] 所以就要去抓自己可能比較會做的那一段
[23:18] 大概是這樣
[23:18] 那再來呢我們上集講了蠻多
[23:21] 下市場上新一波的鬼故事
[23:23] 那這些鬼故事呢
[23:24] 後來發現有些還是會對市場造成影響
[23:26] 雖然當時判斷是認為說
[23:28] 前面有跌過應該這個影響就變小了
[23:30] 但其實最近上上真的有越來越多
[23:32] 這種有的沒有的題材出現
[23:33] 那這些故事呢
[23:35] 其實絕大多數
[23:36] 我都直接幫大家過濾掉
[23:37] 因為我發現是假的
[23:38] 我們根本就沒有討論的必要
[23:40] 但有些算是真的
[23:41] 那可是它裡面
[23:42] 怎麼講
[23:43] 就是可能因為一些有心人士
[23:45] 他要去導向某一個論述
[23:46] 所以他會可能講嚴重一點
[23:48] 那我們就會稍微
[23:49] 出來幫大家緩假一下
[23:50] 就在說12hi換成8hi
[23:52] 代表記憶體的末日嗎
[23:54] 不是
[23:54] 其實代表就是真的非常缺
[23:55] 大家想要快點拿到
[23:56] 所以去做這樣子的調整
[23:58] 那最近也有在傳說像細電容
[24:00] 可能會去取代一些高階的MLCC
[24:02] 那這個應該在幾個月前的節目
[24:04] 被動元件剛起場附近
[24:05] 就應該有跟大家去解釋過
[24:07] 它之間的一個差異
[24:08] 但我們一樣簡單的去帶它
[24:09] 因為市場有這樣的說法
[24:11] 我們就可以稍微的聊一下
[24:12] 那像C-CAP的話呢
[24:14] 簡單講就是說
[24:14] 它是把它埋在這個
[24:16] 不管是晶圓或說載板裡面的
[24:18] 那種鋁電容
[24:20] 鋁製電容埋到裡面去
[24:21] 那它在一些高階的應用
[24:23] 可能靠近板端這邊
[24:25] 它是會有它的空間存在
[24:27] 可是隨著整個Data Center
[24:29] 跟AI伺服器的功率功耗
[24:31] 都越來越高的一個狀況之下
[24:32] 其實這些passive
[24:33] 他們都是越用越多
[24:35] 所以其實不太存在說
[24:37] 因為有某個東西的起來
[24:38] 另外一個東西都要下去
[24:39] 這樣的一個說法
[24:40] 它比較偏向是
[24:41] 反正兩個東西
[24:42] 都會一起找到新的跑道
[24:44] 甚至是一些廠商
[24:45] 它本身就是兩個都是雙期的
[24:47] 它是可以做的
[24:48] 所以這個對於市場的供需的影響
[24:50] 應該是不會太大
[24:52] 應該是不會有太多的問題
[24:53] 那再來就是最近也有在看一些
[24:55] Power相关的公司最主要是因為我們在市場上聽到rumor然後就是在美系這裡的不是CSP反而也是一個很大的AI player然後最近下了很多的訂單
[25:07] 那這些訂單呢
[25:08] 就是因為他的data center
[25:10] 可能會比較比同業來說
[25:12] 提早的往800V的方向去走
[25:15] 那隨著你要去用比較高規格的這些
[25:19] Power不然是PowerShelf
[25:20] 或者是PowerX的這個整體的解決方案
[25:23] 相對的你裡面要用到的各種的components
[25:26] 或者像是BBU
[25:28] 他們都會有更大的用量需求跟規格提升
[25:31] 那他的規格提升甚至是會讓他的ASP
[25:34] 是跑到數倍以上
[25:35] 因為我們有看到這樣子的一個
[25:38] 訂單要出現的狀況
[25:40] 所以最近就開始有回頭看一些Power
[25:42] 因為Power其實在前陣子
[25:44] 特別像台灣的大哥就是Delta
[25:46] Delta其實你也發現說那個線型走爛爛的
[25:49] 一樣我們都不會因為人家線型爛爛
[25:51] 就說人家是爛公司
[25:52] 那是一個很強大很屌的公司
[25:53] 訂單超滿
[25:54] 那只是就是錢沒有在這裡
[25:56] 那只是呢
[25:57] 因為最近我們已經去
[25:58] 稍微都有理出一個頭緒了嘛
[26:00] 前面光先修
[26:02] 後來光先上嘛
[26:03] 然後後來散熱已經死很久
[26:05] 後來散熱上
[26:05] 那會不會一樣的道理就是
[26:06] Power特別是最近像光寶
[26:08] 他開完之後
[26:09] 是直接就射出去嘛
[26:10] 那有沒有可能一樣
[26:11] 就是光寶他會重新的去提振
[26:14] 就是身邊的一些
[26:15] Power related的公司都跟著動
[26:17] 然後甚至就面臨大哥
[26:18] 雕塔都跟著動
[26:19] 這也是下一波
[26:20] 可以去稍微關注的一個重點
[26:22] 所以其實我們現在回頭去看7月
[26:24] 我覺得7月是一個
[26:25] 非常不可思議的時間點
[26:27] 因為在產業面上
[26:28] 你並沒有看到任何轉弱的跡象
[26:31] 可是在中小
[26:32] 這個指數是可以疊掉三成的
[26:34] 一堆個股保底都是五六成在疊的
[26:37] 就知道說
[26:38] 那一樣
[26:39] 以後的修正
[26:40] 如果發生的話
[26:42] 它會是非常的恐怖
[26:43] 可是因為我們就是要去
[26:45] 按照我們有的線索去做推銷
[26:47] 目前我們這邊看
[26:48] 其實所有的產業狀況
[26:50] 基本上都是沒有任何的改變
[26:53] 只有我們稍微稍早
[26:54] 大概幾集前有跟大家聊到說
[26:56] 其實在第三第四Q
[26:58] 有一些記憶體的報價會稍微趨緩
[27:00] 可是你不要忘記
[27:00] 它前面是漲100%那種超多的
[27:02] 然後後來它稍微趨緩
[27:03] 那最近SNDK不是開了一個guidance
[27:06] 然後大家就終於懂
[27:07] 其實我們那時候跟你講
[27:08] 那是真的
[27:08] 只是當時我講完
[27:09] 有一些朋友跟我說
[27:10] 你在網路上被人家泡
[27:12] 不是啊
[27:13] 就是怎麼講
[27:14] 我們有時候跟大家分享一些
[27:15] 這種可能比較前沿的資訊
[27:17] 其實久了也知道
[27:18] 你有時候就是會給人家罵
[27:19] 是因為人家沒有辦法看到你的東西
[27:21] 他不懂
[27:22] 他覺得說你在那邊亂講
[27:23] 可是其實我們都會打原廠
[27:24] 因為我們都是一直沒有改變
[27:26] 那種AI多頭的敘事
[27:27] 就是好就是好
[27:28] 只是你過去漲很多
[27:30] 後面就是看起來
[27:31] 那個漲幅會趨緩
[27:32] 隨著人家開guidance
[27:34] 你就看懂了
[27:34] 就是為什麼guidance
[27:35] 會稍微低於一些人的預期
[27:37] 就是因為價格拉平才會這樣
[27:39] 可是不代表他的需求會受影響
[27:41] 所以一樣的道理就是
[27:42] 我們這樣還是很忠實的去反映
[27:45] 在產業所看到的東西
[27:46] 在股市裡面大家怎麼做
[27:48] 那是大家自己的事情
[27:49] 那個可能跟我們沒有太大的關係
[27:51] 因為反正你賺錢也不會分我
[27:52] 那就當然賠錢也不要跑來那邊靠北靠北
[27:55] 所以總之我們目前所看到
[27:57] 從六月到至今
[27:59] 就是在各種產業面的
[28:01] 不管是各式各樣的元件漲價的
[28:04] 然後或者是說ASP提升的換代的
[28:08] 都是沒有出現任何的狀況
[28:10] 所以我們可以直接把過去的一段時間
[28:13] 就wrapped up成為是一個
[28:15] 反正就是籌碼面所造成的一個屠殺
[28:17] 那現在東西已經建區平靜之後
[28:20] 就是迴歸到
[28:21] 如何的在這個平靜的水面中
[28:23] 找到哪個東西突然間浮起來了
[28:25] 那現在很明顯
[28:26] 美股就是軟體跟光
[28:27] 那臺股的話呢
[28:29] 因為前面是大家都跌爆
[28:30] 所以現在大家都反彈
[28:32] 你還是很難在一時間去識別說
[28:35] 誰會是第一棒
[28:35] 因為跟美股已經有很多東西
[28:37] 創新高的那個狀況是不一樣的
[28:39] 所以我覺得下個禮拜跟下個禮拜
[28:41] 可能是一個關鍵
[28:41] 就如果這個多多可以繼續的話
[28:43] 那誰先往新高跑
[28:46] 那可能就是下一個領跑的對象
[28:48] 但下個禮拜就交給大家
[28:49] 因為我就不會再去做這種短線的追殺了
[28:52] 換我要去放暑假
[28:53] 前面都是大家在放暑假去休息
[28:54] 然後我在那邊扛
[28:55] 然後現在就變成說我要去休息了
[28:57] 就是稍微做好配置之後就去等待
[28:59] 但是我們一樣會在節目裡面持續的去追蹤
[29:01] 就是現在市場上大家在關注的東西是什麼
[29:04] 有沒有什麼新的提升的一些可能性之類的
[29:07] 大概這樣
[29:07] 那就希望大家在下個禮拜
[29:09] 可以看到這個台股也像美股一樣
[29:11] 拿去攻新高
[29:12] 美股的指數已經跑新高了
[29:14] 希望臺股也可以去跑新高
[29:15] 然後在這個類股之間呢
[29:17] 可能出現一些強勢的阻群
[29:19] 因為現在就算你看起來很強勢的
[29:21] 其實大家都離新高是有距離
[29:22] 他們只是反彈嘛
[29:23] 那真的要進攻就是會有新高啦
[29:25] 所以這個可能是很重要的一個過程
[29:28] 就你要看到這個東西
[29:29] 你確認之後
[29:29] 那就可以比較明確的去做更多的調整
[29:32] 大概這樣
[29:32] 那接下來我們進入QA部分
[29:34] 地位很大的老二
[29:35] 標題可以用蜘蛛網嗎
[29:37] 新版的蜘蛛人好看
[29:38] 我覺得我突然不會做股票了
[29:40] 之前運氣很好
[29:41] 發哥被動元件都買在奇章店
[29:43] 讓我慢慢習慣買完股票
[29:45] 隔天就要漲停
[29:46] 一根紅棒不夠
[29:47] 還要連續幾根才滿足
[29:48] 第三季開始吃回檔
[29:50] 重新分配持股後
[29:51] 因為沒有馬上噴上去
[29:53] 所以又頻繁的換股
[29:54] 導致常常砍在阿呆股
[29:55] 例如前幾天砍掉力成
[29:57] 他媽的
[29:57] 昨天公司就宣佈要買回股份
[30:00] 那這種交易慣性的改變
[30:02] 孟恭都怎麼除錯
[30:03] 那最後來祈求觀音斷
[30:04] 保佑我接下來的面試順利
[30:06] 如果成功上岸
[30:07] 將捐一個月的薪水給醫療團體
[30:13] 我們跟群聯的關係是還蠻不錯啦
[30:16] 不管是什麼電腦展會去
[30:18] 然後再來就是也去他們公司去看過
[30:20] 那時候也去看他的Adaptive
[30:21] 其實我是非常喜歡這家公司
[30:23] 跟裡面的很多大大們
[30:25] 那我們就不要去點名人家
[30:26] 但他們有蠻多
[30:27] 真的是我們的地方聽眾啦
[30:29] 所以他聽到這他也不一定會錄取你
[30:31] 我的意思只是跟你講說
[30:32] 我也很喜歡這家公司
[30:33] 那我希望你可以上
[30:34] 那再來講說
[30:36] 前面拿到怎麼樣除錯
[30:37] 我覺得我現在第一時間想到
[30:39] 是黃文勳講的啦
[30:40] 黃文勳說他就是一個預期很低的人
[30:43] 所以可能相對的容易獲得滿足
[30:46] 我覺得一樣的道理是
[30:47] 我們要儘量的去把股票難做
[30:49] 當為是一個常態
[30:51] 當今天非常好做
[30:52] 可能像四五月
[30:54] 就我現在回頭看
[30:55] 還是覺得很不可思議
[30:56] 我會講說什麼
[30:57] 每天都在處置
[30:57] 每天都在所長廳
[30:58] 不知道幹嘛
[30:59] 所以我就每天跑去打網球
[31:00] 現在回頭聽真的覺得超不可思議
[31:02] 但其實當下的我知道
[31:03] 這是不正常的
[31:04] 當下的我也知道說
[31:05] 後面會被罰
[31:06] 只是沒有想到說
[31:06] 其實罰蠻大的
[31:07] 所以要去瞭解到
[31:09] 其實你遇到的那些東西
[31:11] 不然說買了立刻漲停
[31:12] 然後連續好幾個
[31:13] 那個算是不正常
[31:14] 那個可能算是一個極端值
[31:16] 那所以呢
[31:17] 要稍微的收回來
[31:19] 要把心收回來
[31:20] 類似說我們前面所提到的
[31:22] 因為我們在四五月被養成的一個習慣
[31:25] 就是誰轉牆去追誰
[31:26] 就會好幾根漲停
[31:27] 甚至直接鎖到進儲值
[31:29] 一直瘋狂的賺錢
[31:30] 所以才導致怎麼樣
[31:31] 導致在你發現說
[31:33] 在七月受到很多傷害的人
[31:35] 他們其實是當下換部位換最快的人
[31:38] 理論上當下有去切部位
[31:41] 有躲到剩虧股
[31:42] 有躲進去止住
[31:43] 你相對受到的傷害就變少
[31:44] 但不是
[31:45] 因為你當下就是已經很習慣於盤面
[31:48] 反正你去找最強的買就對了
[31:50] 所以當下最強的什麼
[31:51] 細金元
[31:52] 充
[31:52] 當下最強的什麼
[31:53] 就一堆標的
[31:54] 也不要去點名
[31:55] 反正就是大家都看得出來
[31:56] 哪個是避風港
[31:57] 全部衝進去
[31:58] 然後在那邊在吃更多的迭亭
[32:00] 所以就造成巨大的一個傷害
[32:02] 所以確實會因為你前面所造成的一個交易慣性的影響
[32:07] 然後讓你後面
[32:08] 可能因為這樣子
[32:09] 會有巨大的損失
[32:11] 這也是我們其實開頭
[32:12] 在跟大家分享的一個東西
[32:14] 因為你過往都是很習慣這樣子做
[32:16] 你過往就是知道說
[32:17] 反正我全買科技股會賺錢
[32:19] 有朝一日
[32:20] 你也會因為全買科技股
[32:21] 而造成很大的一個損傷
[32:24] 所以重點是when to stop
[32:25] 不是說你不可以全買科技股
[32:27] 也不是說你不可以全部追動
[32:29] 那只是你要知道說
[32:31] 因為你遇到回檔
[32:32] 你是很痛苦的
[32:33] 你總是希望說下次不要這樣子
[32:35] 下次可以怎麼樣做
[32:36] 我可能我下次遇到這種
[32:39] 就是我發現盤面開始bumpy
[32:40] 我發現不好做的時候
[32:41] 我不要說滿倉砍掉滿倉換
[32:44] 我可不可以先把部位降低
[32:45] 我可不可以先趴一點進去指數里面
[32:48] 就是你可以開始去思考說
[32:49] 下次遇到回檔你會怎麼樣做
[32:51] 就像為什麼我會覺得說
[32:53] 可以這樣子趴到指數
[32:54] 或是什麼勝虧股
[32:55] 但我們之後就不會再一直去提勝虧股
[32:58] 他已經去完成他階段性的任務了
[33:00] 但為什麼會這樣
[33:01] 就是因為在過去你也曾經
[33:02] 像2018 model
[33:04] 我這扛科技股也是腰斬
[33:05] 直接被幹成小狗
[33:07] 如果當下有人教我
[33:08] 可以這樣做的話
[33:09] 其實我受到的損傷
[33:10] 會低很多很多
[33:11] 只是當下沒有人教我這樣做
[33:13] 那時候的股票也沒有這麼發達
[33:14] 你什麼都是自己摸出來的
[33:16] 所以或許就像我們節目
[33:18] 去分享的一些東西
[33:19] 你不一定要百分之百採用
[33:20] 但你可以去想看看
[33:21] 為什麼這個傢伙
[33:23] 他會想這樣子做
[33:24] 就算我的結果
[33:26] 隨便舉例
[33:27] 可能有一次是不好的之類的
[33:28] 你也可以去思考說
[33:29] 那你怎麼樣可以做得更好
[33:31] 所以反正總之就是要
[33:32] 不停的去思考
[33:32] 去想說下次怎麼樣調
[33:34] 可以調得更好
[33:35] 因為要知道一定都會有一個更大的
[33:37] 你現在受到的傷害都只是小傷
[33:39] 未來一定還有大傷
[33:41] 所以就是反正不用去覺得氣餒
[33:45] 重點是趕快修正
[33:46] 然後趕快去改善
[33:48] 然後下次遇到就不會有這麼大的傷害
[33:50] 下面一位
[33:50] 徐滿 妙妙妙汪汪 甘道夫來了
[33:53] 原來甘道夫是黃金格
[33:54] 今天是父親節
[33:55] 可以對全天下的父親說那五個字嗎
[33:58] 父親節快樂
[34:00] 五個字
[34:00] 現在他偷問MTK在電腦展展示的SOC Micro LED Solution for Data Center Rack Interconnects
[34:06] 發哥說這是事實上第一個解決方案
[34:08] 和國外M公司合作有樣品的
[34:11] 但感覺實際出貨還有一段時間
[34:13] 最後祝全家安康淨資產創高
[34:15] 出遊愉快愛您
[34:16] 用Micro LED去解並不是他的一個專利
[34:20] 那只是當然那時候我有去展場上看到這個東西
[34:23] 那也是我們地方聽眾有demo給我看
[34:25] 然後他就是說這個東西他們算是跑得比較前面一點
[34:28] 但他確實也講說
[34:29] 這個東西等到他順利的量產
[34:31] 應該也是要幾年之後
[34:33] 才會看到比較大的一個量
[34:34] 所以他是需要一點時間的
[34:36] 我就說這個光通的產品
[34:37] 其實是慢慢推過去的
[34:39] 在可能三年前
[34:40] 就已經很多人去炒光通
[34:41] 然後還發現說
[34:42] 其實就等到現在
[34:43] 光通才開始正式的放量
[34:45] 大家可能在過去炒的CPU
[34:47] 後來發現說
[34:48] 真的沒有這麼快
[34:49] 還是需要一些parkable的東西
[34:51] 當然市場就是這樣
[34:52] 就是有時候你也很難去論調說
[34:54] 到底是實際上會有營收
[34:56] 趕快出來的東西
[34:57] 會漲比較快
[34:58] 還是說那些營收看不到
[35:00] 有夢最美希望相隨的東西
[35:01] 會漲比較快
[35:02] 你不曉得
[35:02] 你真的不曉得
[35:03] 就如果你用股價的角度看是這樣
[35:04] 那如果用產業角度的話
[35:06] 就是反正慢慢推過去
[35:07] 那Micro LED確實是後面會
[35:09] 拿來當做光源的
[35:11] 其中一種解決方案
[35:11] 只是它的那個時間
[35:13] 可能會在既有的一個
[35:15] solution之後
[35:16] 為什麼
[35:16] 因為就是既有的solution
[35:17] 簡單來講太貴
[35:18] 太麻煩
[35:19] 那所以大家都是想要去走
[35:20] 比較便宜的東西
[35:21] 像我們前面講說
[35:22] narrow and fast
[35:23] 然後跟wide and slow
[35:25] 就是你用Vixel去做堆疊
[35:28] 那道理就是反正要往更便宜的方向去
[35:30] 那我們用這個micro LED
[35:32] 所以你簡單可以想成說
[35:34] 它不一定是一個linear的東西
[35:36] 它有點像他說
[35:37] 反正我同時有很多solution在開發
[35:39] 那最後面就看蔣若誰加
[35:40] 所以就算那個東西是後面的其中的解決方案
[35:44] 也不代表說他一定會放到巨大的量
[35:46] 這個自己稍微要去注意一下
[35:48] 那下面一位
[35:49] 地心引力抓不住你
[35:51] 本集標題可以用水母嗎
[35:53] 上半年真的太舒適了
[35:54] 年初離職到現在
[35:55] 因為在股市能夠賺到不錯的生活費
[35:58] 所以沒有很積極的找工作
[35:59] 結果第三季就來了個天罰
[36:01] 可能是要提醒我該回職場了
[36:03] 那接下來要面對面世地獄
[36:06] 來林口新孟恭祈求觀音斷
[36:08] 能夠保佑我提早上岸
[36:09] 祝找到工作後
[36:11] 捐一個月薪水給臺大醫院
[36:13] 那最後祝福孟恭的兒子女兒們
[36:15] 未來都能夠做自己想做的事
[36:17] 還沒有女兒啦
[36:18] 那非常感謝你的祝福
[36:20] 也非常感謝這個捐錢的事情
[36:22] 捐臺大醫院我真的覺得蠻不錯
[36:24] 臺大而一是一個非常值得信賴的單位
[36:27] 我現在也是定期有在捐款給他們
[36:29] 反正每個月給他扣這樣子
[36:30] 那希望你可以順利的找到工作
[36:32] 下面一位還在想ID
[36:34] 孟恭安怎麼上個禮拜氣氛還在
[36:37] 早知道手上的股票賣一賣
[36:38] 到這個禮拜已經是我們武漢點見
[36:41] 怎麼才短短几天網路上的氣氛
[36:42] 直接180度大轉變
[36:44] 那另外好奇問一下
[36:45] 上一期節目說岳母跟路人吵起來
[36:47] 對方是臺灣人嗎
[36:48] 還以為臺灣人看到外國人
[36:49] 一般都會比較客氣
[36:50] 說難道這只是我的刻板印象嗎
[36:52] 愛您太厲害了兄弟
[36:54] 對方應該是香港人
[36:55] 應該是香港人
[36:56] 他不是台灣人
[36:57] 對
[36:57] 台灣人一般比較不會去
[37:01] 在路上要跟人家這樣玩
[37:02] 或者說給人家指教的時候
[37:05] 因為老實講
[37:06] 我們沒有說錯
[37:06] 你真的在巴你的孩子
[37:08] 一般被講
[37:09] 就是可能摸到鼻子走掉之類
[37:10] 但你知道
[37:11] 剛才
[37:12] 我們都認識很多香港人
[37:15] 我很多好朋友也是香港人
[37:16] 但我意思是說
[37:17] 他們比較硬氣
[37:18] 他沒有在跟你退殺小的
[37:20] 反正他就是要跟你幹到底
[37:22] 所以我當下還是覺得
[37:24] 你知道在我心中想的是
[37:25] 我也是想說好啊那就來鬧只是幸福者退讓吧我們之前跟大家分享過的你可以跟他上法院跟他搞你一定不會輸他你一定會贏他可是問題是你的八一島行程要不要取消
[37:36] 後面去日本要不要取消
[37:38] 你要不要在盤中的時候
[37:39] 要跑去什麼
[37:40] 哪裡什麼調解委員會之類
[37:41] 這些都是要去思考的一個面向
[37:43] 但這位兄弟真的太厲害就對了
[37:45] 一般我自己也覺得
[37:46] 台灣人不會這樣
[37:47] 剛好就是外國人
[37:48] 兩個外國人互幹
[37:49] 然後他還叫我怨武
[37:50] 說怎麼滾回你的國家
[37:51] What the fuck
[37:52] 那再講說這個氣氛大轉變
[37:55] 應該這樣說
[37:57] 其實網路上有各式各樣的人
[37:59] 我們蠻多人
[38:01] 像我自己那種做中小的
[38:02] 我們就是可能五六月賺到翻掉
[38:05] 那種可能買臺積的
[38:06] 他五六月沒有賺錢
[38:07] 因為是橫盤
[38:08] 當然在七月就是我們在那邊叫
[38:10] 在七月的時候
[38:12] 買臺積就覺得說沒有什麼狀況
[38:14] 現在反彈又要新高
[38:15] 指數又要新高
[38:16] 對這些人來講
[38:17] 或者說對那些他蠻守是SPX的
[38:20] 他已經歷史新高了
[38:21] 所以他根本聽不懂
[38:22] 你們其他人在公殺小
[38:24] 什麼叫股災
[38:24] 你知道我們聽眾
[38:25] 因為我們聽眾很多是氣氛仔
[38:27] 甚至絕大多數應該都是氣氛仔
[38:28] 就買指數而已
[38:29] 他們應該是完全不太能夠理解
[38:32] 或甚至是要去看一下新聞
[38:33] 才會懂說
[38:34] 原來中小有發生一個股災
[38:36] 可是你們前面不有一隻噴三五倍嗎
[38:38] 然後現在摔回去而已
[38:39] 就只是這樣而已
[38:40] 但對他們來講就是
[38:42] 我現在是新高我在慶祝
[38:43] 所以應該說
[38:44] 可能那些摔下去爆炸的人
[38:46] 有些就不見了
[38:47] 然後說有些就要去養傷了
[38:49] 有些就可能像前面那位兄弟
[38:50] 說要回去找工作之類的
[38:52] 那可能就是有些是
[38:54] 因為他買指數
[38:56] 他根本沒有受到傷害
[38:57] 所以他就說很樂觀很樂觀
[38:58] 所以你要知道
[38:59] 長江後浪推前浪
[39:00] 前浪死在沙灘上
[39:02] 這是對的
[39:03] 美色股災呢
[39:04] 如果你沒有辦法活下來的話
[39:05] 不會有人同情你
[39:06] 也不會有人記得你
[39:07] 因為永遠有新的東西
[39:08] 會再一次繼續往上推
[39:09] 所以我們就要持續的去
[39:11] 把自己position到好的位置上
[39:13] 這可能是在投資介面
[39:15] 大家在努力的一個方向
[39:16] 大家講
[39:16] 下面有位
[39:16] 四季加珍珠
[39:18] 留言密碼測試BBB
[39:19] 嗨孟恭是我男友的老公
[39:21] 優質節目
[39:21] 五星好評推推
[39:22] 感謝孟恭陪我一起度過
[39:23] 通勤的無聊時光
[39:24] 關號偶爾還是會聽到
[39:26] 很想睡覺
[39:27] 因為我是快樂寶貝
[39:28] 11月15號
[39:29] 是我男友毛毛的生日
[39:30] 可以用川普的聲音
[39:31] 祝他那四個字嗎
[39:33] 也祝福孟恭一家
[39:41] 還有廣大的聽眾們
[39:42] 大家都平安健康
[39:43] 非常感謝
[39:44] 下面一位
[39:44] 現在幾點
[39:45] 現在股市是V型
[39:47] 孟恭是我的理想型
[39:48] 寧北真的是17歲
[39:50] 但是我不知道
[39:51] 他就是那個17歲
[39:53] 因為我看到他那個
[39:54] 大頭鐵隊就是他
[39:55] 但是我不知道
[39:56] 要怎麼樣證明我是17歲
[39:57] 我只知道那時候
[39:58] 是讀學測讀到發瘋才留的
[40:01] 如果要證明我是17歲
[40:02] 我也想得到
[40:03] 就是隻有3653
[40:04] 只買10股
[40:05] 然後從星期五拉了4根
[40:07] 30%也就只有1萬塊
[40:09] 這樣足夠證明我是17歲了吧
[40:10] 最後上一次我是要說
[40:12] 我覺得孟宮曲卡很帥
[40:13] 如果不看臉的話
[40:14] 林老師
[40:15] 也蠻會挑的
[40:16] 3653
[40:17] 怎麼知道上熱要挑這一支
[40:18] 這支我也非常喜歡
[40:19] 這是我們林口之光
[40:20] 建策是一個非常屌炮的公司
[40:23] 當然前面因為MCL
[40:25] 被人家放一些利空
[40:26] 類似川湖前面
[40:27] 也曾經被人家放過利空
[40:28] 說NV要講價
[40:29] 就下1萬塊
[40:30] 很難講
[40:31] 這些優質的公司
[40:32] 很多時候被放利空的時候
[40:33] 就是一個蠻不錯的機會
[40:36] 對
[40:36] 這位兄弟上次有講到
[40:38] 就是說他整天想愛愛之類的
[40:39] 我就說你知道
[40:40] 你敲太久會敲到蛋會痛
