[00:00] 欢迎收听谷外,我是星风公
[21:16] 我是不会想要去找标的追进去
[21:19] 然后去拼绩效
[21:20] 我现在的一个努力方向
[21:21] 不敢讲说是接下来
[21:23] 因为搞不好就是可能几个月
[21:25] 希望他越早改出这样的一个穷尽越好
[21:27] 会比较偏向是尽可能去守成
[21:29] 自己在上半年打出来的一些成果
[21:31] 因为今年上半年大家都赚非常多的钱
[21:33] 你看得出来
[21:34] 因为像现在这样子杀
[21:36] 融资都没有掉多少
[21:37] 为什么因为大家赚太多
[21:38] 所以真的会受伤的是在高档才加入的
[21:41] 在高檔然后跟人家FOMO进来的人
[21:43] 才会是受伤的那一群人
[21:44] 那绝大多数人呢
[21:46] 其实下到都还是有赚钱
[21:47] 但是我相信大家也会怕说
[21:48] 会不会我再接下来一些错误的操作
[21:50] 或者是我再继续
[21:51] 可能Buy and Hold的话
[21:52] 甚至加码
[21:53] 那如果真的最后面就是A下去
[21:55] 然后变成是一桌三的话
[21:56] 那会不会整个绩效不见
[21:58] 我觉得这大家都会害怕的
[21:59] 包含像我自己也会
[22:00] 那所以在后面
[22:01] 为什么去切一个防守模式
[22:03] 那具体是怎么样做呢
[22:04] 就是说
[22:04] 我一定不会再去追一些高Beta
[22:07] 其实从上集就有讲说
[22:08] 应该会往一些业绩股的方向去
[22:10] 那业绩股至少套
[22:11] 我知道我自己在套什么东西
[22:12] 可是高Beta
[22:13] 我跟你讲高Beta的东西
[22:15] 有时候下来
[22:15] 那个PE在修的时候
[22:16] 你会不知道
[22:17] 原来可以这样子跌
[22:18] 会跌到就你妈都不认得的那种
[22:20] 所以我也比较害怕
[22:21] 就是可能估值
[22:22] 还会有继续的一些修正
[22:24] 那除非今天等到大盘
[22:26] 再一次的回稳
[22:26] 要去攻心高
[22:27] 我才会再一次的往这些
[22:28] 可能本梦比
[22:29] 或是高估值的方向推
[22:30] 不然就是去业绩股
[22:31] 然后加
[22:32] 可能搭配指数
[22:34] 或是台积电
[22:34] 这可能是后面自己会想要做的一些做法
[22:37] 所以即便我们可能前面也是提到说
[22:40] 我们在产业上是没有看到太多显著的变化
[22:43] 你说记忆体下一堆那种摔成小狗
[22:45] 韩国的或是美国的美光也是摔爆
[22:48] 你说真的是因为什么记忆体没人用吗
[22:50] 不是就是产业的前景是非常明显的
[22:52] 也是很缺乏
[22:54] 有些人会用4P去看
[22:55] 但我觉得4P反而不是我自己在这一种循环股
[22:58] 我还在把它视为循环股
[22:59] 只是循环特别大会用的一个指标
[23:02] 但总之就是如果从产业的角度来看
[23:04] 就都还是很不错的一个状态
[23:06] 那只是杀便宜了
[23:07] 王好处讲杀便宜了
[23:09] 搞不好后面又有机会了
[23:10] 这个是一个想法
[23:12] 那只是我比较不喜欢这样子的想法
[23:13] 我特别是今天已经看到
[23:15] 大盘已经是去破季线了
[23:16] 理论上没有立刻的站回去
[23:18] 并且要立刻进攻
[23:19] 他如果只是站回去
[23:20] 然后横盘
[23:21] 你都知道整个季线会拉平
[23:24] 那拉平之后
[23:25] 再下去可能就是蛮大的
[23:26] 这个是我会怕的东西
[23:27] 所以我们已经开始会去规划一些
[23:29] 如果是比较事与愿违的剧本
[23:32] 这个剧本可能是
[23:33] 像2022的初期
[23:34] 我也只有这样子一个感受
[23:35] 就是你事后回头看
[23:37] 2022的乌二战争所造成的影响
[23:40] 它并不是一个长远的影响
[23:41] 可是它却对整个市场造成了一个长远
[23:43] 因为修正到一年
[23:44] 那个痛苦指数是算很高的
[23:46] 所以还是要去提前规划这件事情
[23:48] 特别是我觉得可以去引用一下
[23:50] CC在法术会里面所提到的
[23:53] 他就说反正就是会好到29
[23:55] 甚至30
[23:55] 这个是没有问题的
[23:56] 只是在过程之中会不会有一些correction
[23:59] 这个其实是没有人可以跟你去做保证的
[24:01] 所以重点是如何的在后面
[24:04] 好好的navigate
[24:05] 然后好好的活下来
[24:06] 这可能是比较重要的
[24:07] 有些人会选择去把东西砍掉
[24:08] 其实我觉得破记线去把东西砍掉
[24:10] 它是一个选项
[24:11] 没错
[24:12] 只是我自己如果前面所说
[24:13] 我是比较相信指数
[24:15] 相信大盘
[24:16] 我是不相信现金的人
[24:17] 我是相信现金是会贬值的
[24:18] 所以可以给我借越多钱
[24:20] 我一定是把钱借爆
[24:21] 我等下去空现金的意思
[24:22] 然后我要去做多各种指数
[24:24] 或是市场的股票的标的等等的
[24:27] 只是因为我们不知道这些修正
[24:29] 可能会持续到什么时候
[24:30] 所以后面我们还是会持续的跟大家
[24:32] update一些产业的状态
[24:35] 不然说现在大家回头看
[24:37] 可能会想说
[24:37] 为什么台积电没有办法把市场救起来
[24:40] 或者是为什么这么多涨价性
[24:42] 你看什么ADI
[24:42] 然后是被动元件
[24:44] 他们7月很多各式各样的涨价
[24:45] 甚至是载板
[24:46] 什么波线布
[24:47] 我们都有看到涨价性跑出来
[24:48] 为什么这些涨价性
[24:49] 没有办法把市场救上去
[24:51] 合理的解释就是
[24:52] 现在市场的氛围已经开始去改变
[24:54] 改变的一个契机
[24:55] 其实就是韩国人在戳泡泡
[24:57] 韩国大量的杠杆ETF
[24:59] 然后大量的杠杆资金
[25:00] 他们先爆炸
[25:01] 爆炸之后
[25:01] 我觉得相对应的
[25:03] 是有影响到
[25:03] 全球的一些市场的情绪
[25:05] 所以大家都进行一个修固制
[25:07] 所以你可以把它想象成是
[25:08] 我随便举一个例子
[25:10] 可能在最高点的地方
[25:12] 你算起来的一个
[25:13] 平均的4P Ratio
[25:14] 可能是25倍好了
[25:15] 后面我就不会期待说
[25:17] 它会回到25倍
[25:18] 我可能会期待说
[25:19] 它可以再可能是8到20倍
[25:21] 这样子
[25:22] 最高就到这里
[25:24] 也就是说
[25:24] 它可能会掉到12、13倍
[25:26] 但是它可以回到18到20
[25:28] 可是要回到25
[25:29] 就那种超级疯狂
[25:29] 它需要一段时间的修养
[25:31] 目前会这样子看
[25:32] 那这就是为什么去往一些业绩股靠
[25:34] 可能会觉得相对安全的一个主因
[25:36] 即便这些业绩股
[25:37] 它不一定在股价的表现上是好的
[25:39] 那过去我们的一些做法
[25:41] 就可能过去半年
[25:42] 我们比较偏向是我们去买一些题材
[25:44] 买一些梦
[25:45] 买一些未来预期的东西
[25:46] 那让它可以去把那个P ratio修上去
[25:49] 你去达到这个类似
[25:50] 那要把它称为是戴维斯双极
[25:52] 两个东西都会上调
[25:53] 但是我现在会觉得说
[25:54] 在那个ratio的上调
[25:56] 可能會變得沒有這麼明顯
[25:59] 甚至會一直持續的去做下調
[26:02] 或者說他就停在原地不太會動
[26:03] 這時候可能就是要靠Earnings
[26:05] 上修去帶動這些東西所以過往的一些相對文件大家不要的東西有可能就会被拿出来作为是新一波市场的一个主轴这个我也还不确定所以在不确定的状况之下
[26:16] 先去止住
[26:17] 然后接着找到方向之后
[26:18] 再去做一些调整
[26:19] 那希望大家在
[26:20] 接下来的几个交易日
[26:23] 都可以好好的去想好
[26:25] 到底要怎么样去守住
[26:26] 上半年的一个战果
[26:27] 那如果你今天是在
[26:29] 可能五六月才加入市场的人
[26:31] 那没有办法
[26:31] 就是一定会遭受打击
[26:32] 这个可能过往的节目
[26:33] 也讲过很多次
[26:34] 每次的修正
[26:35] 就是可能过去几个月刚加入的
[26:37] 一定是会先受到最大的伤害
[26:39] 那没有办法
[26:40] 就类似说进去市场里面缴学费
[26:42] 不能够确定你每次都买在低点
[26:44] 有些幸运的人
[26:45] 像我自己身边的一个朋友
[26:47] 他开始投资股票的时候
[26:48] 就是去年川普关税战的时候
[26:50] 那真的超爽
[26:50] 他没有尝过败果
[26:52] 非常的幸运
[26:52] 可是我们是没有办法
[26:54] 选择自己的出生点
[26:56] 如果说你是在五六月进来的
[26:57] 你遭受很大的打击
[26:58] 其实这个时候不应该感觉到说
[27:00] 什么万念俱灰
[27:02] 或什么市场是一个他妈烂地方
[27:03] 就是他有时候就是会这样发生
[27:05] 就说就这样发生
[27:05] 那他也算是一个压力测试
[27:07] 去考验一下
[27:08] 你到底扛回档的能力是怎么样
[27:11] 因为很多人是很会赚钱
[27:12] 可是他没有办法去去守成
[27:13] 好像最近就有注意到
[27:15] 当然我家身边少年股神是偏少
[27:16] 可是有些朋友会认识一些少年股神
[27:19] 那种投资圈的
[27:19] 然后就有聊到
[27:20] 其实蛮多
[27:21] 打到什么七倍到十倍之间的
[27:23] 那个周档都是在50%到60%以上
[27:25] 其实严格上来说
[27:27] 你可以喷这么多
[27:28] 你回账好像也不是一个大不了的事
[27:30] 那怎么讲
[27:31] 对我来说是一个路线的选择
[27:32] 就我自己现在是没有办法去接受说
[27:35] 我回这么多
[27:36] 因为我上去的时候
[27:37] 相对慢一点保守一点
[27:38] 我的配置多元一点
[27:39] 跑得比人家慢
[27:40] 可是下来可能也没有像人家这么痛
[27:42] 所以你要去理出自己的一个方向
[27:45] 你选择的方向是什么
[27:46] 当然你在现在
[27:47] 你要不要去介入一些高Beta
[27:48] 或许其实很多机会在高Beta
[27:50] 因为你要想
[27:50] 它从高点回来
[27:51] 那种三四十趴的也是满地都是
[27:53] 其实本身他们都是有不错的基本面在背后
[27:56] 所以我相信说
[27:57] 如果这些东西真的要反弹
[27:58] 也可能弹很大
[27:58] 但反正总之就不会是我要选的东西
[28:01] 因为我觉得后面的
[28:02] 那个估值陈述
[28:03] 应该会被压制
[28:04] 知道什么
[28:04] 知道一些奇迹发生
[28:06] 要么就是直接
[28:07] 要超光速V上去
[28:08] 不然他其实是要休息一阵子
[28:09] 之后才会再上去
[28:10] 那我是不太相信
[28:11] 说超光速V上去
[28:12] 这样的一个剧本
[28:14] 还有一个潜在的理由是
[28:15] 因为其实我们目前注意到说
[28:17] 标普他根本就在右上角
[28:19] 所以穿头顾
[28:20] 他是没有道理去喊盘的
[28:21] 因为有时候人在想说
[28:22] 如果要有一些事件催化的话
[28:24] 要有一些够大
[28:25] 够好的消息
[28:27] 可是问题是
[28:28] 像台积电这么好的一个数字
[28:29] 我觉得它本身就是一个强吹化
[28:30] 可是它竟然吹不上去
[28:32] 那外加穿头股
[28:33] 它现在没有动机
[28:34] 因为其实美股的大盘是在右上角
[28:36] 只是一些特定的板块
[28:37] 过去喷最多的加叠碎熊
[28:39] 所以就是可能比较有机会
[28:42] 会等不到一些catalyst出来
[28:43] 所以现在稍微的去看保守一点
[28:46] 但我自己的观念跟大家分享的是
[28:49] 我还是会去持有大量的股票
[28:50] 简单讲就是最多就是没有杠杆
[28:52] 然后可能跟少量现金
[28:54] 但是绝对不会去整天
[28:55] 要呼吁大家空手或什么的
[28:57] 我曾经也因为这样子
[28:58] 然后被人家酸说什么
[28:59] 你看他都没有空手
[29:00] 但老实讲
[29:01] 像我自己的一些标题
[29:02] 那个是没有办法卖掉的
[29:04] 但我这个也没有办法
[29:05] 跟一些小资听众讲
[29:06] 因为你没有遇过
[29:06] 你不知道
[29:07] 你不知道什么叫做流动性被抽干
[29:09] 你也不知道说
[29:09] 就是有些东西你进去里面
[29:12] 你规模大到一个程度
[29:13] 你也懒得动了
[29:13] 你光领古席
[29:14] 你可能就可以生活了
[29:15] 所以你根本也不会想要
[29:16] 再去额外动它
[29:17] 所以我自己的观念会是这样
[29:18] 那跟我的一些配比
[29:20] 或是资金的量体也是有关系
[29:21] 所以大家就参考就好
[29:23] 那如果你今天是那种
[29:24] 迷你小资的话
[29:24] 像身边有些朋友
[29:25] 他们就是直接就不玩了
[29:26] 就收掉
[29:26] 这当然也是一个做法
[29:27] 那只是因为我自己办不到
[29:29] 所以我会去找一些折衷的方法
[29:30] 把它这个配过去
[29:32] 大概是这样
[29:32] 那希望大家在后面都顺利
[29:34] 那接下来我们进入Q&A的部分
[29:35] 第一位Chunk KKK
[29:37] 挨大安
[29:38] 今天开车无聊回听
[29:39] EP11718
[29:40] 秋狗干你娘跟看房心得
[29:42] 那时候诸位口音好青涩
[29:44] 回答脑壁QA好有耐心
[29:46] 网友留言都在催催挨大
[29:48] 还有TSMC干你娘400元
[29:50] 便宜的年代一去不复返
[29:52] 那上次挨大表示
[29:53] Semi Analysis
[29:54] 在尴尬的时间点发报告
[29:56] 可能会被找麻烦
[29:57] 那想问孟公
[29:58] 有曾经因为录制podcast
[29:59] 因此被找麻烦的经验吗
[30:01] 催催来一家平安爱您
[30:03] 其实我自己算是
[30:05] 敏感度非常高的人
[30:06] 所以就坦白跟大家讲
[30:09] 妈的ZNQA
[30:10] 当一些标的一直出现的时候
[30:12] 我就知道那一定是有人
[30:14] 故意要用我这里的一些声量
[30:16] 要干嘛嘛
[30:17] 我也很聪明
[30:18] 我也知道你们要干嘛
[30:18] 我就直接说我不评论
[30:19] 还好就没有评论嘛
[30:21] 如果评论的话
[30:21] 你看后面发生什么事情
[30:23] 到时候说什么
[30:24] 他回答说不错他在出货
[30:26] 就是会有这种很狗屌的事发生
[30:28] 那我自己本身目前是没有被找过麻烦
[30:31] 但是呢在网络上被嘴一下
[30:33] 那一定会有的啦
[30:34] 像那时候2022就整个被嘴要爆炸
[30:36] 那像最近这样回答
[30:37] 也开始有人要出来嘴
[30:38] 但还好我发现说
[30:40] 现在的一些股民是蛮理性的
[30:42] 因为在一些那种超多韭菜的地方
[30:44] 那有人要跑出来嘴我
[30:45] 还有人讲说他早就已经讲了
[30:46] 你自己要追山顶跟他辟事
[30:48] 没有我是不会去主张说什么
[30:50] 我早就讲
[30:51] 然后我早就卖
[30:52] 我不做这样的事情
[30:53] 反正产业就是这样一路分享过去
[30:55] 然后大家就会发现说
[30:56] 风风相连到天边
[30:58] 我们没有办法去抓到一些股价高跟低
[31:00] 可是产业好好抓好
[31:02] 经过这么多年的一个验证
[31:04] 大家知道说
[31:04] 这绝对是有办法给你赚钱的
[31:06] 你每次要追FOMO
[31:07] 老实讲我没有办法控制
[31:08] 但我觉得非常有效的一点是
[31:11] 你绝对不要去
[31:12] 特别像我们这种是一个免费的平台
[31:14] 就不要去做一些收割的事情
[31:16] 然后再来就是
[31:17] 不要想把自己的听众去转化成为一些获益
[31:21] 像有些人会去选择开课或什么的
[31:23] 这个你就是有机会会被人家针对
[31:25] 或是会弄到很大这样子
[31:27] 因为像Semianaccess
[31:28] 他们本身是有在收费
[31:30] 所以就会变成
[31:31] 我觉得收费的东西要很小心
[31:33] 就是你尽量都要去聚焦
[31:35] 再去聊多的东西就好
[31:36] 因为你聊空的
[31:37] 就是有机会会被人家修理
[31:39] 因为我们已经看过有一些案例
[31:41] 但不方便说出来是哪些案例
[31:42] 但就是会看到
[31:44] 所以今天要讲就是说
[31:45] 市场这种东西
[31:46] 就是赚的时候
[31:47] 大家是不会跟你说谢谢
[31:49] 大家都觉得自己厉害
[31:50] 我自己听谁
[31:51] 我自己听谁
[31:51] 我自己判断我做的
[31:52] 可是第二时候
[31:53] 谁害的
[31:54] 哪一个反指标
[31:55] 谁在讲什么
[31:57] 就一定都会变这样
[31:58] 所以为什么
[31:59] 你看我自己经历过2022年之后
[32:01] 我觉得我变得更聪明
[32:03] 然后更加成熟
[32:04] 我自己也知道说有些东西
[32:05] 像以前我就是会一直跟你追
[32:07] 一直跟你追追到底
[32:08] 追踪继续聊什么的
[32:10] 后来发现说
[32:11] 每次下来我就会变成是
[32:12] 大家要讲说
[32:13] 你看是他在喊多什么的
[32:15] 因为你知道这些低能额
[32:16] 快乐宝贝太多了
[32:18] 所以后来我自己知道说
[32:19] 一些东西
[32:19] 今天一旦是真的喷出去
[32:21] 我就要一直去下警语
[32:22] 就是说我现在已经
[32:23] 就不去评论它的股价
[32:24] 我已经不知道发生什么事了
[32:25] 因为你还是要去
[32:26] 稍微讲一下这件事情
[32:27] 即便你可能
[32:27] 从头到尾都是focus在产业
[32:29] 但大家还是会把一些东西
[32:30] 可能带在你身上
[32:31] 你想我们很中性的
[32:32] 在讲产业都会这样子
[32:33] 何况是你想去踩人家标的
[32:35] 你觉得会发生什么事情
[32:36] 这个就是市场生存的一些法则
[32:39] 下面有位曾浩平
[32:41] 孟公大武安
[32:42] 想回头问一下清酒的问题
[32:44] 请问未开封保存上
[32:45] 还是建议冷藏吗
[32:47] 有饮用期限吗
[32:47] 因为众说纷纭
[32:49] 还是问您最准
[32:50] 祝孟公全家平安
[32:51] 绩效长红
[32:52] PS好羡慕大卫医师离开急诊
[32:55] 大卫医师是好像
[32:56] 大概十几前左右
[32:58] 有一个急诊医师
[32:59] 说终于脱离了
[33:00] 你是他同事是不是
[33:02] 那再来
[33:03] 清酒是不是建议要冷藏
[33:05] 其实清酒的话
[33:06] 看若间是什么生酒
[33:08] 大饮料
[33:10] 这个一定都是要冰的
[33:11] 这个你不冰的话
[33:12] 味道就很快就跑掉
[33:14] 但如果是那种一般的
[33:15] 在超商买
[33:16] 或者说卖场的那种清酒
[33:18] 放在架上的
[33:19] 你看那个全联的红酒
[33:20] 也是放在外面
[33:21] 那个其实都是不用冰的
[33:22] 这边给大家科普一个小知识
[33:25] 我们以红酒做举例好了
[33:27] 其实90%的红酒
[33:28] 都是不能够成年的
[33:29] 可以成年的东西
[33:31] 是有特殊去制造
[33:33] 比较好的葡萄
[33:34] 比较好的场域或什么的
[33:36] 它才是可以成年的
[33:37] 其实绝大多数你在
[33:38] 那些大卖场买到的东西
[33:40] 你不要觉得说
[33:40] 买回来然后要什么成年
[33:42] 那个不能成年
[33:43] 要赶快喝掉
[33:44] 所以因为要赶快喝掉
[33:45] 所以你根本也不用在意说
[33:46] 它是保存在什么样的环境
[33:48] 你只要不要说
[33:48] 什么放在太阳下面晒
[33:50] 你放在阴凉的环境就是OK
[33:51] 可是如果你今天是要去放的
[33:53] 好像一些比较高级的红酒
[33:55] 或者清酒的话
[33:56] 他们可能就会有一些
[33:58] 比较需要去注意的事项
[34:00] 就在说去冰冰箱
[34:02] 甚至也不会跟你讲说
[34:03] 你越冰越好
[34:04] 告诉你说
[34:04] 可能要冰在10到15度之间
[34:07] 是它最适合的一个温度
[34:08] 这样它可以慢慢的熟成
[34:10] 味道会更好
[34:10] 但理论上
[34:11] 这个是绝大多数人
[34:12] 不用烦恼到的东西
[34:13] 也就是说
[34:14] 你真的需要烦恼到的时候
[34:15] 你自己自然會知道這件東西
[34:17] 可是如果說你今天是隨便去賣場
[34:18] 就是隨便加上去抓紅酒跟清酒
[34:20] 那個都還好
[34:21] 那個你只要放在家裡
[34:22] 陰涼的地方就好
[34:23] 然後在保存期間內把它解決
[34:24] 就不會有什麼太大的問題
[34:26] 所以大概是這樣子
[34:27] 下面一位
[34:28] Eric Wang
[34:29] 猛公你好
[34:29] 請問漫威裡面哪隻英雄最可愛
[34:32] 鷹眼
[34:32] 因為Hawkeye
[34:33] 那什麼顏色的排球最不好笑呢
[34:37] 金色
[34:37] 因為金排球
[34:38] 關號台語
[34:40] 那誰肚子最硬
[34:41] 印度人
[34:42] 那這樣子可以給他10分吧
[34:43] 你太嚴格了
[34:45] 印度的0分
[34:46] 那再来金牌球
[34:48] 0.5分
[34:50] 因为这个
[34:50] 这感觉是那种
[34:51] 工时代就有的笑话
[34:53] HOKAI这个还不错
[34:54] 因为这个是
[34:55] 可能是我第一次听到
[34:57] 又是谐音梗
[34:58] 很鸟
[34:58] 但是很喜欢
[34:59] 给你6分
[35:00] 下面一位
[35:01] 地球战舰
[35:03] 猛攻我老公
[35:04] 昨天被杀到喷出来
[35:05] 获利直接回到4月初
[35:07] 决定不玩的
[35:08] 把钱打进去圣奎谷
[35:09] 获利拿出来订机票
[35:10] 去韩国打医美
[35:11] 请问这样的
[35:12] 我是不是逃避人质
[35:13] 没有
[35:13] 我已经进去圣奎谷
[35:14] 好一阵子
[35:15] 而且我持续把盛亏股加大
[35:17] 大家如果说盛亏股爆掉怎么办
[35:19] 盛亏股爆掉
[35:20] 其他人一定爆了
[35:21] 没有关系
[35:21] 所以就是把钱放进盛亏股里面
[35:24] 也是我的选项
[35:25] 我会放盛亏股
[35:26] 然后跟台子齐
[35:26] 这个是我后面的一些规划
[35:28] 它的获利回到4月初
[35:30] 获利面是回到大概5月底6月初左右
[35:32] 我也是不希望它再继续往下掉
[35:34] 我觉得今年一定要好好把它收起来
[35:36] 对就赔掉
[35:37] 不如把它花掉
[35:38] 没有什么太大的问题
[35:39] 下面一位
[35:39] 乌萨奇蒙子
[35:42] 捏着软蛋唱
[35:44] 想飞到那最高最远最沙坡
[35:47] 想拥抱在最美丽的那一刻
[35:51] 孟公去感好
[35:52] 第一次留言
[35:53] 我从小就是一直幻想
[35:54] 传送门这种黑科技
[35:56] 可以从游戏走入到真实世界
[35:57] 一定会很方便
[35:58] 不晓得孟公觉得百年内
[36:00] 有没有机会看到
[36:01] 那希望到时候有机会在节目里
[36:02] 听到您分享传送门相关的概念
[36:05] 产业爱您
[36:06] 传送门的话
[36:07] 一百年内
[36:08] 我个人是觉得说是看不到
[36:10] 你可能可以期待在10 20或是30年内
[36:14] 看到用火箭去做通勤
[36:16] 这个可能是有机会的
[36:17] 因为当今天垂直发射接收越来越成熟
[36:21] 你知道那个火箭打上去
[36:23] 然后接着沿着轨道动一动再下来
[36:25] 大家是有算过
[36:26] 那个时间可以比一般搭飞机省下非常多
[36:29] 所以这个可能在有生之年有机会看到
[36:31] 但是看到不代表有机会做到
[36:33] 就要搞不好是一个超级贵的东西
[36:34] 或者是说最后面发现说
[36:36] 他没有办法大范围的商业化
[36:38] 那也没有办法
[36:39] 变成是
[36:40] 就类似说那时候
[36:41] 大家知道协和号很快
[36:42] 可是就是not working
[36:43] 就是没有办法持续下去
[36:45] 但是至少是有机会看到
[36:46] 那我觉得传送门的话
[36:48] 殊难想象它会发生
[36:50] 但我们还是希望它会发生
[36:51] 下面一位
[36:52] 身为从主委买十颗BTC就开始听
[36:58] 捏到软趴要破掉的老听众
[37:00] 很开心每次沉默循环都有主委陪着
[37:02] 除了投资外
[37:03] 让我收获最多就是主委的育儿经验
[37:05] 其中我觉得印象最深的是
[37:07] 你以为你在陪孩子
[37:08] 其实孩子在陪你
[37:09] 听到当下真的莫名的感动
[37:11] 带小孩一起打网球
[37:13] 真的很好玩
[37:13] 尤其小孩能够稍微对打之后
[37:15] 跟小孩一起在球场打球
[37:16] 真的是很棒的体验
[37:17] 对了有机会真的推荐
[37:19] 主委要来一个女儿
[37:20] 感恩爱您
[37:21] 非常感谢这位兄弟
[37:22] 我之前还是觉得说
[37:24] 其实是孩子在陪我
[37:26] 那天又在这看到
[37:28] 人家去转发一个
[37:29] 我可能已经在五年前
[37:30] 或是七八年前
[37:31] 就看过的一个网路图
[37:33] 就是他没有下任何的字幕
[37:36] 或是对话
[37:36] 反正就是各式各样的图片
[37:38] 爸爸陪他的孩子在大便
[37:40] 然后爸爸带孩子去玩什么打弹珠
[37:43] 帮他拍照或什么的
[37:44] 其实那一幕一幕都是点滴在心头
[37:48] 就知道说我也跟我孩子一起做这些东西
[37:50] 有时候现在回头去看一些照片
[37:51] 像刚刚前面有聊到说去美国
[37:54] 回头看一下我们去那什么LA的一个汽车博物馆
[37:57] 那时候他还好小
[37:59] 然后现在已经这么大
[38:00] 整天都想要跟我输赢
[38:01] 比完力要捶我是这些的
[38:03] 对某个程度上我们在陪着孩子成长
[38:06] 可是我不知道是只有我
[38:07] 还是说其实蛮多家长
[38:08] 都这样子的一个感受
[38:10] 我们不停的在跟过去的孩子说再见
[38:12] 我自己讲一讲
[38:13] 我都觉得我快哭了
[38:14] 就是我已经
[38:16] 我这辈子再也看不到
[38:17] 一两岁的诺亚
[38:18] 三岁的诺亚
[38:19] 我已经看不到
[38:19] 我已经看不到
[38:20] 婴儿时期的诺亚
[38:21] 虽然他是同一个诺亚
[38:23] 没错我知道
[38:23] 但他也不是
[38:25] 就是我认识的那个诺亚
[38:27] 然后有照一日不知道
[38:28] 就他可能今天18岁了
[38:30] 然后他可能出门
[38:32] 我要再去看他女朋友之类的
[38:34] 然后跟他high five
[38:35] 现在可能已经没有办法
[38:36] 牵手亲亲的
[38:37] 至少high five一下可以吧
[38:38] 抱一下可以吧
[38:39] 那时候的诺亚
[38:40] 也跟现在可能五岁的诺亚
[38:42] 是不一样的诺亚
[38:44] 对吧
[38:44] 他是同一个诺亚
[38:45] 但他不是同一个诺亚
[38:46] 这很奇怪
[38:47] 反正就是要好好的把握
[38:48] 每一个档下
[38:49] 下面一位
[38:49] Ocean Lin
[38:51] 孟公去嘎
[38:51] 谢谢你的优质节目
[38:53] 上周陪小孩睡觉
[38:54] 都在听你的节目
[38:55] 刚刚讲到陪小孩
[38:56] 就是那么几个夏天
[38:57] 他们就长大了
[38:58] 我看旁边的孩子已经睡着
[39:00] 突然很有共感
[39:00] 就亲亲他的额头
[39:01] 觉得睡着的他们真可爱
[39:03] 育儿真的是在天堂地狱之间不停的传说
[39:06] 没错
[39:07] 甚至就面觉得人生的一个关键
[39:09] 就是在各种酸甜苦辣里面然后想办法去进行这每一天如果说没有一些那种苦的東西好像甜的東西也沒有這麼甜的雖然這樣講好像有點在自慰
[39:21] 但實際上好像真的是這樣
[39:23] 就覺得說沒有現在的一些回檔
[39:25] 然後後面大賺的時候
[39:26] 你就沒有那種
[39:27] 幹對啦爽啦
[39:28] 你看我看對了
[39:29] 就其實大家回頭看都會覺得說
[39:31] 每個人的生活很理所當然嘛
[39:33] 看他在什麼炒股的
[39:34] 要叫他們多繳一點稅或什麼
[39:36] 你來試看看
[39:36] 你來扛看看這個回檔
[39:38] 幹嘛沒有扛都很簡單
[39:39] 要叫別人掏錢
[39:40] 要叫别人脚碎
[39:41] 要叫别人干嘛都很简单
[39:42] 你自己来试看看
[39:43] 所以就是自己要在里面去做体会
[39:47] 然后对这件事情才会更加的深刻
[39:49] 当你可以去意识到说
[39:52] 一个事情重点是过程中的体验
[39:55] 而不是去直接载入一个结果
[39:57] 就像说我现在让你可以去
[39:59] 载入你20年后的生活
[40:01] 你孩子都长大了
[40:02] 你是没有任何感情的
[40:03] 因为你没有跟他经历过任何的一切
[40:05] 所以你就是要跟他经历过这一切
[40:07] 你才会有感情
[40:08] 那还是要自己下去体验才知道
[40:10] 我完全认同你
[40:11] 下面一位
[40:12] 投资体重稳长不迭
[40:14] 在这个大跌的行情下
[40:15] 来看一点温馨疗愈欢乐的动画
[40:18] 换换心情吧
[40:19] 那推荐三部最新的作品
[40:20] 一猫与龙
[40:21] 关号喜欢猫的必看
[40:23] 本季最疗愈
[40:24] 二画完这个再去死
[40:25] 关号跟创作和漫画有关的作品
[40:28] 三不虐待我的继母与季节
[40:31] 这个我看标题我就有兴趣了
[40:32] 关号反转恶毒继母的套路
[40:35] 里面的角色人都超级好
[40:37] OK外语也是有那种小本的
[40:39] 好那非常感谢你的推荐
[40:40] 下面一位
[40:40] 嗨第一次留言看会不会被念到
[40:42] 猛公您好
[40:43] 上一集听到你说袜子套掉
[40:44] 一直笑
[40:45] 笑一笑周五就发现池仓都套住了
[40:47] 虽然事情已经有减码降水位
[40:49] 但滴滴还在负45%左右
[40:51] 那我是不是不会做股票的快乐宝贝
[40:54] 那最后祝猛公全家身体健康
[40:56] 另外可以请你跟7月20号生日的Max
[40:59] 说那四个字吗
[41:00] 救救我啊
[41:02] 这个是我家只想到四个字
[41:05] 然后再来低低15%左右
[41:07] 目前差不多也是这样子
[41:08] 对
[41:09] 所以我可能也不会做股票
[41:10] 如果你觉得负15%
[41:11] 就不会做股票
[41:12] 我差不多也是不会做股票
[41:13] 我就是在台积电回答
[41:15] 真的是遭受到重击
[41:17] 后面再看怎么样去做调整
[41:19] 希望我们可以顺利地
[41:20] 度过这一波修正
[41:21] 下面一位
[41:22] 台中有家锅贴好好吃
[41:24] 嗨 孟公有个疑惑想请教
[41:26] 毕业后第一份工作去做市场风险
[41:28] 被主管霸凌找离职
[41:30] 离职后因为家人生病
[41:32] 我选择全职照顾
[41:33] 过程中全职炒股
[41:35] 有将本金50翻到360
[41:36] 家人过世之后
