[00:00] 歡迎收聽谷愛,我是聖木公,本期節目由擅存益生菌贊助
[18:30] 我還是要跟大家強調啊
[18:31] 就是怎麼講
[18:33] 有時候你沒有辦法去跟這個下蟲與兵啊
[18:36] 因為他沒有看過兵的存在
[18:38] 這些標的對我們來講
[18:39] 他就是我們配置之一環
[18:41] 那很多人會搞得像是說
[18:43] 這個標的是我們的所有的一切
[18:45] 然後什麼用盡全力
[18:46] 就是要怎麼拉抬
[18:47] 然後要出貨
[18:48] 那隻能夠說
[18:49] 因為可能不知道
[18:50] 人家只有看過媽媽扎扣
[18:51] 他不知道說世界上的大錢可以多大
[18:53] 我自己是沒有到很大
[18:54] 可是老實講
[18:55] 很多事情也是我看過一些更高
[18:57] 更強大的人
[18:58] 我才知道說
[18:59] 原來自己之間都是在同言同語
[19:01] 所以外面的同言同語很多
[19:02] 還是要稍微的強調一下
[19:04] 投資要理性
[19:05] 千萬不要說每次都聽到
[19:07] 我們可能講一些東西
[19:09] 然後接著就會認為說
[19:10] 在市場上一定會怎麼樣
[19:11] 我們沒有這樣的自信去
[19:12] 所謂的影響市場
[19:13] 去帶動市場的氣氛
[19:14] 我們就是一個觀察者
[19:16] 然後一個投資者
[19:16] 我們看到好的東西
[19:17] 我們去做買進
[19:18] 我們希望它會漲
[19:19] 有時候它不會漲
[19:20] 所以就只能夠
[19:22] 反正就是好好的繼續研究
[19:23] 然後找可能不錯的東西去投入自己手上的一個資金
[19:27] 其實我們在聊市場上另外一個傳言
[19:29] 就前陣子應該是在中國這邊的
[19:32] 忘記是哪一家券商
[19:33] 開始有去丟一些訊息
[19:35] 講說可能在Google這裡你會看到一個DRAM Rack
[19:38] 這個DRAM Rack的目的是要拿來取代HBM
[19:41] 這件事情其實我們看它是有印之在的
[19:44] 但是它不是像這個券商所提到是一個取代的狀態
[19:47] 我覺得其實給大家一個簡單的rule of thumb
[19:50] 就是千萬不要隨便去相信說誰取代誰
[19:52] 那特別那個被取代的是一個
[19:54] 已經是那種中間分子的解方
[19:56] 這個沒有這麼容易就取代掉了
[19:58] 你要知道說
[19:59] 當你今天可能有一些那種
[20:00] 另類的解方出來
[20:02] 可能比較省錢
[20:03] 可能比較有效
[20:03] 可是如果你沒有辦法放大量
[20:05] 那大家還是不太可能會去
[20:06] 全面的轉向你
[20:08] 他有可能會採用你
[20:09] 可是他並不會去
[20:10] 把本來的解方給殺掉
[20:11] 所以有這樣的認知
[20:12] 你去看一些事情
[20:13] 我覺得在心態上面
[20:14] 就可以比較中心一點
[20:16] 那這件事情
[20:17] 其實在我們的角度看
[20:18] 我們是真的有看到說
[20:19] Google有想要去搞一個D-RAM Rack
[20:21] 然後它的開發物件
[20:22] 是韓系的一個廠商
[20:23] 確實是有看到這個案子的存在
[20:26] 只是說這個案子
[20:26] 它會不會在接下來
[20:28] 可能TPU的V8或是V9
[20:30] 就直接斷出來
[20:31] 我們是認為說
[20:32] 應該是比較難看到
[20:33] 但確實是有去做這樣的一個實驗
[20:35] 當然起心動念非常簡單
[20:36] 一般來說
[20:37] 這些巨頭他們都會有一個想法
[20:39] 這個想法可能是說
[20:40] 我現在有些東西有瓶頸
[20:41] 這個東西又很貴
[20:43] 或者說有時候
[20:43] 我會被我的供應商給操縱著
[20:46] 那我就不爽
[20:46] 所以我就要去開發另外一個方案
[20:48] 類似說其實ASIC方案
[20:49] 也是有點這樣子
[20:50] 因為你現在假設
[20:52] 的東西理論上
[20:54] 在這個token的表現上
[20:56] 還是會比較好一點
[20:57] 但為什麼還要去做自己的ASIC呢
[20:59] 因為你不希望你自己完全被綁死
[21:00] 或者說你希望
[21:01] 假設你後來的模型
[21:03] 都已經完全定調下來
[21:04] 那你去用這種特殊開發應用的ASIC
[21:06] 它可以去把成本加到更低
[21:08] 所以你要去理解他們的思維
[21:09] 你就會知道說
[21:10] 為什麼他們會去做這種
[21:11] 各自乾的嘗試
[21:12] 即便有些看起來是
[21:13] 在這種投資上面
[21:14] 感覺是不合理的事
[21:16] 或者說不理性的事
[21:17] 就要說這ASIC
[21:18] 就算是一個不理性的事
[21:19] 因為你現在買老黃
[21:20] 其實老黃是很省的一個選項
[21:21] 那總之呢
[21:23] 這些所謂的不合理的一些做法
[21:24] 可能在未來有朝一日
[21:26] 都會是一個合理的做法
[21:27] 所以呢
[21:28] 我們目前確實是有看到
[21:29] 他們想要去用這個DRAM Rack
[21:30] 只是呢
[21:31] 不確定會不會變成一個正式的解方
[21:33] 有在做實驗
[21:34] 那當然他有一些挑戰要去做處理
[21:37] 這個不用非常專業的人都知道嘛
[21:38] 這個HBM的速度就是比DRAM快很多
[21:40] 那你何況你還把DRAM放在旁邊去
[21:42] 那請問這樣子你要怎麼樣快
[21:44] 就你要怎麼樣去完成這個AI的運算
[21:46] 那也有可能他是用在preview裡面
[21:48] 就類似說CPX一個解方
[21:49] 有機會是這樣子
[21:51] 那總之我們家
[21:52] 都只能夠物理看花
[21:53] 但反正就是知道
[21:54] 有這個東西有存在就好
[21:55] 然後不是像中國圈上講的
[21:56] 它是一個要直接取代HBA
[21:58] 但同時呢
[21:59] 因為我們在Marvel這邊
[22:00] 有看到
[22:01] 它跟Google合作的案子
[22:03] 就他們會有MPU
[22:04] 那這MPU是什麼呢
[22:05] Memory Process Unit
[22:06] 那所以好像一瞬間
[22:07] 就串起來了
[22:08] OK
[22:08] 所以如果說在
[22:10] NVIDIA這邊
[22:11] 由BlueFill去做DPU
[22:13] 就是說它
[22:14] 如果後面有一些
[22:15] Rack要拉出去的話
[22:15] 它有一箇中數的大腦存在
[22:17] 來直用這些記憶體的話
[22:18] 那在Google這邊呢
[22:20] 他們就有一個MPU
[22:21] 那這MPU呢
[22:22] 應該就會由Marvel去生產製造
[22:25] 只是老實講
[22:25] 因為我現在看那個Marvel的股價
[22:27] 我覺得它不像要出事情
[22:28] 有時候我們還會把一些
[22:30] 技術面的東西
[22:31] 雖然這樣聽起來好像說
[22:32] 是那種耗子老人家
[22:33] 可是我覺得技術面
[22:34] 有時候還是蠻好用的
[22:35] 就如果說真的有好訊息的話
[22:36] 你要知道
[22:36] 你絕對不會是第一棒
[22:38] 如果你是第一棒的話
[22:39] 那可能有問題
[22:39] 就如果這東西真的很好的話
[22:41] 那他們的公司派
[22:42] 或這些知情人士
[22:43] 一定都先買爆了
[22:44] 所以一定會反映線上圖裡面
[22:45] 所以總之就是說
[22:48] 我們就發現說
[22:49] 他真的有想要去做這個解放
[22:51] 就是說找韓系的大廠
[22:53] 去搞一個D-RAM Rack
[22:54] 然後可能找Marvel
[22:56] 然後去做一個MPU
[22:57] 然後這個東西
[22:58] 可能是某個程度上
[22:59] 要把它集合在一起
[23:00] 後面想要去做的
[23:01] 一個實驗性質的方案
[23:02] 這個實驗性質的方案
[23:03] 你不用把它想象成說
[23:05] 他是要去取代誰
[23:06] 就是總之他會先去推看看
[23:07] 如果推了起來
[23:08] 自然他就會去放量
[23:09] 所以用這樣看
[23:10] 就比較健康一點
[23:10] 我會知道說
[23:11] 這類的東西
[23:13] 其實某個程度上
[23:14] 它是一個那種long shot
[23:15] 就是它不一定會中
[23:17] 如果你真的要去壓住的話
[23:18] 也不宜壓太多
[23:20] 就是可能先慢慢看吧
[23:22] 比較短期的話
[23:23] 我覺得Google所造成最大的變革
[23:25] 還是它TPU要外賣
[23:27] 可能會造成一些比較大的影響
[23:28] 像這個D-RAN REC
[23:30] 我覺得會比較停留在一個題材跟想象
[23:33] 可能要等到稍微的
[23:34] 更多人有看到這個東西之後
[23:36] 然後再看一下股價表現
[23:37] 有要動的話
[23:38] 我們再去做考慮
[23:39] 反正總之就是市場的謠言
[23:41] 它partially
[23:43] 就是它部分為真
[23:44] 它不是全為真
[23:45] 但部分為真
[23:46] 無風不起浪
[23:47] 還是有這樣的一些討論所出來
[23:49] 所以這邊簡單的跟大家討論一下
[23:51] 接著稍微來講一下盤面自己的一個心得跟想法
[23:54] 上期就有跟大家聊到說
[23:56] 當這個恐慌出來的時候
[23:57] 我們去選擇抄底
[23:59] 其實理論上抄底之後
[24:00] 不用立刻的把東西給拋掉
[24:02] 因為反正盤有繼續走
[24:04] 你就可以留著
[24:05] 但老實講這波我自己的做法是
[24:07] 我還是鼓勵大家爆谷過年
[24:08] 可是我是有去把一些槓桿的部位給剪掉
[24:10] 我不知道可能年紀到了
[24:12] 所以理論上你抄的位置不錯
[24:14] 然後又有反彈
[24:15] 那大盤又在新高的位置要去過年
[24:18] 應該是要爆了
[24:18] 理論上要爆了
[24:19] 但我就覺得
[24:20] OK我還是想要比較平靜一點的生活
[24:23] 要去度假了
[24:24] 所以把這個槓桿的部位給丟掉
[24:27] 也就是你們前面大家都不要的東西
[24:29] 我就收嘛
[24:29] 然後現在大家拼命要追的時候
[24:31] 我就丟出來給你
[24:32] 但是最強的那一種
[24:33] 就是說收在新高附近的
[24:35] 我是留著啦
[24:36] 是那一種可能沒有收到很強
[24:37] 沒有過前高
[24:38] 那有反彈
[24:39] 可是沒有衝出去的東西
[24:41] 我就選擇去做一些減嘛
[24:42] 所以這是我在這波的一個操作
[24:45] 也跟大家稍微的分享一下
[24:46] 我覺得我們這幾集的聊天
[24:48] 其實都是
[24:49] 我覺得比較偏向那種實戰的東西
[24:51] 但大家就參考就好
[24:52] 就是你不要千萬的去
[24:54] 把所有的操作都放在我的身上
[24:56] 這個會是一個比較不好的做法
[24:58] 因為每個人的資金的水位不太一樣
[25:00] 配置也不太一樣
[25:01] 有些東西像我是
[25:02] 美股是多於臺股的
[25:04] 所以想法也會不太一樣
[25:05] 所以這邊就是
[25:06] 只是簡單的跟大家分享一下
[25:08] 我會怎麼樣去做
[25:09] 那以下的排名來講
[25:10] 我會認為
[25:11] 其實反彈到新高
[25:12] 這個是超乎自己的想象
[25:13] 那我自己稍微的尋一輪
[25:14] 我覺得也超乎我們身邊一些
[25:17] 就是非常會交易的那種中大型資金的想象
[25:21] 我感覺是大家都沒有料到說
[25:23] 哇靠這波修正之後會直接到新高
[25:25] 那甚至有些朋友覺得說
[25:26] 這波修正應該會慢慢的就彈彈彈
[25:28] 然後彈到基線去之類的
[25:30] 就要測一下吧
[25:31] 都不用回頭的嘛結果真的都不用回頭所以現在也是有點超乎我們的想象那好在就是說怎麼樣因為我們長期都知道說這個股票就是要爆了所以無論如何我們還是會吃到大盤的一個受益
[25:43] 這個也是算是一個案例的分享
[25:47] 讓大家看到
[25:48] 就是說你經常在市場裡面
[25:49] 你隨時都要去持有一些部位
[25:50] 因為很多東西其實會超乎你的想象
[25:52] 其實我覺得有些人
[25:54] 他們就算無法理解的話
[25:55] 你多看個幾年你也會理解
[25:57] 就是以近年的行情來講
[25:58] 真的是你賣掉股票是代價很大的
[26:01] 因為你賣掉之後
[26:02] 你不一定買得回低點
[26:04] 或者說其實你賣掉的東西
[26:06] 它是一個長途的故事
[26:07] 你最終都是要追回來
[26:08] 但你現在賣掉除非是急需用錢
[26:10] 不然都是一個不太合理的一個做法
[26:12] 那槓桿的不會除外
[26:13] 就槓桿的不會
[26:14] 因為你是承擔了比較大的一個風險
[26:16] 那理論上像過去的幾年
[26:18] 在這種收盤的位置
[26:20] 拿外加前面所抄到的那樣的位置
[26:22] 是要爆的
[26:23] 可是我怕了
[26:24] 我可能覺得
[26:25] 我現在心裡承受的東西太多了
[26:26] 孩子又有一些狀況
[26:27] 所以就覺得
[26:28] 你要把這個槓桿的部位
[26:29] 給稍微的調節一下
[26:30] 當然是維持相對
[26:31] 接近快滿倉的一個狀態
[26:33] 就平常可能是
[26:35] 對我來說
[26:35] 比較保守一點的樣態去過年
[26:38] 但對很多人來說
[26:39] 幹接近滿倉
[26:40] 還是蠻恐怖的一件事
[26:41] 只是我是不太怕這樣的東西
[26:42] 所以大概這樣
[26:43] 簡單跟大家分享
[26:44] 就像這個盤面的反彈
[26:45] 其實老實講
[26:46] 在我們身邊很多人看來
[26:47] 我們都覺得是非常不可思議
[26:48] 然後現在大家都很期待
[26:49] 過完年會怎麼樣
[26:50] 只是因為過年真的過太久
[26:51] 那有些不確定性
[26:52] 不想去做承受的
[26:53] 大家還是會做一些調節
[26:54] 或是有些人會去上一些空單
[26:56] 做對沖避險
[26:57] 或者說買一些葡萄之類的
[26:59] 我是不會去做這種空單
[27:01] 或者說葡萄
[27:01] 就是以現階段不會想這樣子做
[27:03] 所以就把槓桿稍微去降低
[27:05] 接下來就希望大家去過一個好年
[27:07] 過完年之後
[27:09] 再持續的跟大家分享臺股的一些狀態
[27:11] 在過年期間
[27:12] 我應該就是透過美股來
[27:14] 了結一下自己
[27:15] 想要去買買買買點點東西的一些
[27:17] 那種慾望
[27:18] 所以大概是這樣
[27:19] 希望大家新年快樂
[27:20] 接下來我們就進入Q&A的部分
[27:21] 那我看一下Spotify留言
[27:23] 每集大概是200多個
[27:24] 所以也就是說
[27:26] 大概中選率是十分之以內
[27:28] 因為之前在Apple Podcast的時候
[27:30] 我是沒有辦法有這樣子的資料
[27:32] 我也不會去數說
[27:33] 到底有幾個留言
[27:33] 所以從Spotify
[27:35] 大家可以看得出來
[27:36] 反正每集會有200多個人
[27:37] 去做留言
[27:38] 所以其實某個程度上
[27:39] 有被抽到留言
[27:40] 就已經算是那種蠻幸運的人
[27:41] 就像我自己是從來都不會中罰票
[27:43] 那其實那種留言
[27:43] 應該也不會給人家抽中的人
[27:45] 好 那我們來唸留言
[27:46] 第一位
[27:46] 17晃
[27:48] 嗨
[27:48] 好 OK 嗨
[27:50] 下面一位
[27:50] 哈馬
[27:50] 參拜林口仙夢宮
[27:52] 我是被我媽推薦
[27:54] 從第一集開始聽到現在
[27:55] 氣憤仔聽眾
[27:56] 家母到現在都忠實的聽眾
[27:57] 有次我在客廳看迷宮飯的時候
[27:59] 還問我說
[28:00] 這就是古來說的那個黑獸
[28:02] 害我差點當下噴飯
[28:04] 那謝謝您每一集的產業趨勢分享
[28:07] 在股市受益的
[28:09] 我今年也捐出了部分回饋
[28:10] 給三芝的巴克邦浪犬之家
[28:14] 那很感謝他們
[28:14] 對弱勢老殘犬跟浪浪的照顧
[28:17] 用心大推推
[28:18] 希望馬年每個毛孩子都可以
[28:20] 毛孩子都可以馬上有家
[28:22] 那也祝福你們一家寒假旅遊
[28:24] 平安開心
[28:25] 愛您
[28:26] 非常感謝這位聽眾
[28:27] 非常感謝你母親的一個支援
[28:29] 那黑獸不是我講的
[28:31] 黑獸是他媽有聽眾講的
[28:32] 迷宮飯才是我講的
[28:34] 那個媽媽不要把兩個都混在一起
[28:35] 然後千萬不要去查黑獸是什麼
[28:37] 查了之後你可能就
[28:38] 就回不去了
[28:39] 那希望大家新年快樂
[28:41] 下面一位
[28:41] Bob第一次留言
[28:43] 安卓仔終於有人權
[28:45] 最近看大家領分紅各種破房屋
[28:47] 銀行業怎麼隨便都六到二十個月在領
[28:50] 剛換公司還領不完整年
[28:52] 好可憐
[28:52] 希望今年股票噴發
[28:54] 業績也噴發
[28:55] MK觀音大也大發發發發發
[28:58] 非常感謝Bob
[28:59] 那希望你的新工作順利愉快
[29:01] 可以領到很多獎金
[29:02] 下面為孟生物
[29:03] 孟公您好
[29:04] 這次上來留言
[29:05] 只是想跟你說聲感謝
[29:06] 謝謝你在產業端的資訊分享
[29:08] 讓小散戶可以稍微多一些優勢
[29:10] 那也謝謝您在節目上分享的育兒經驗
[29:13] 身為二寶爸的
[29:14] 我工作跟投資之餘
[29:15] 不斷地告訴自己
[29:16] 孩子的成長只有一次
[29:18] 要好好珍惜這段時光
[29:19] 從科技導讀節目認識你到現在
[29:22] 非常開心有這樣的一位朋友
[29:23] 希望有天可以和你相會
[29:25] 那最後我想祝福你們全家所有聽眾
[29:27] 馬年雞笑大報社
[29:29] 家庭幸福健康平安愛您
[29:31] 如果留言有幸被唸到的話
[29:33] 我還想跟我的兩位朋友
[29:34] Wilson跟志豪說聲
[29:36] 投資的路上有你們真好
[29:37] 那非常感謝這個
[29:39] 懵省二寶爸的一個支援
[29:40] 希望你一切順利平安
[29:42] 下面有位夢
[29:43] 夢宮夢宮
[29:44] 想聽聽你說這次A-Lab財報的看法
[29:46] 謝謝你平常無私的分享
[29:48] 祝你們全家新年快樂愛您
[29:50] 這個財報我剛剛看了一下非常好
[29:52] 是一個很好的數字
[29:53] 也重申了就是在過去
[29:56] 因為他是高度的仰賴Amazon
[29:58] 他現在想要去
[29:59] 透過就是在交換器這邊的一個努力
[30:02] 然後可以獲得更多的一個客戶
[30:03] 目前看他的這些數字
[30:05] 都是有所斬獲的
[30:06] 這檔也算非常意外
[30:08] 我本來以為說
[30:08] 我自己會套到深處無怨有
[30:10] 結果他直接谷底叼反
[30:12] 他一路要殺到200塊去
[30:13] 然後在財報的時候
[30:15] 我剛剛看盤前又大跌10%
[30:16] 其實老實講
[30:17] 這檔的走勢
[30:17] 我自己是有一點看不懂的
[30:19] 但覺得他都在蠻不錯的一個方向
[30:22] 我覺得是一個還蠻好的公司
[30:24] 下面一位
[30:24] 一直在特休的千秋
[30:27] 先預祝大家滿年行大運
[30:28] 反請孟公開示一下
[30:29] 是不是一群男生相處久了
[30:32] 就會變假假的
[30:32] 動不動生氣就叫人家去把皮煙洗乾淨之類的
[30:36] 那最後請孟公幫我恭喜
[30:37] 逢甲光男的王爺跟張化腳踏車阿偉王子
[30:41] 新婚快樂
[30:42] 不是他們兩個結婚
[30:43] 謝謝
[30:43] OK反正就是兩個男的結婚了嘛
[30:46] 那我們祝他新年快樂
[30:48] 然後他想說
[30:48] 是不是一群男生在一起
[30:50] 就會變假假的
[30:51] 我覺得會啦
[30:51] 就是會有那種bromance出來
[30:53] 因為
[30:53] 其實男生跟男生相處
[30:55] 是很簡單的
[30:56] 大家可能去麗華行
[30:57] 點個雞排
[30:57] 就可以開心一整天
[30:59] 也不用擔心說
[30:59] 下一餐要吃什麼
[31:00] 要去哪裡玩
[31:01] 要去哪裡看
[31:02] 怎麼那邊我去過了
[31:03] 這個我不想吃
[31:04] 就男生的生活
[31:05] 真的是相對簡單
[31:06] 所以當你跟一群男的
[31:07] 相處很要好到
[31:09] 就是你們可能會一起出去
[31:10] 或什麼的
[31:11] 某個程度上
[31:12] 你心中真的不免
[31:13] 會有一個想法
[31:13] 就是說
[31:14] 還是我跟男生在一起好了
[31:15] 只是說因為你的老二
[31:16] 還是會不敢溝通
[31:18] 你想跟男生在一起
[31:19] 跟老二動不起來
[31:20] 就沒有辦法
[31:21] 所以我覺得唯一卡點是這樣子
[31:23] 如果說真的
[31:23] 最後面不知道
[31:24] 你老二也動起來
[31:25] 你想跟男生在一起
[31:26] 我覺得跟男生在一起
[31:27] 也是一個不錯的選項
[31:28] 確實就是一群男生
[31:30] 久了之後會看起來稍微假一點
[31:32] 就類似說我跟我一些朋友
[31:33] 我老婆都講說
[31:33] 你要去找你的wife
[31:34] 每次我會找一些朋友
[31:35] 說你要去找你的wife
[31:36] 超靠北
[31:37] 下面有位B
[31:38] Hello 挨大
[31:39] 過往挨大在EP298
[31:41] 說明事件型題材
[31:42] 有疑惑要請教
[31:43] 個人每天篩漲幅200
[31:45] 且K棒創歷史新高
[31:46] 那
[31:47] 哦
[31:48] 漲幅前200
[31:49] 那篩出標的讀券商報告加入
[31:52] 觀察名單再買進
[31:53] 這個做法效率低且勝率不高
[31:56] 猜技術面是歷史新高的問題
[31:58] 那依循愛大修正目前的技術篩法
[32:01] 在PTT發文得到漲幅200
[32:03] 改成成交量前22
[32:04] 在愛大沒有升起人脈的時候
[32:06] 關於催化劑的素材是怎麼樣來的
[32:08] 怎麼分類篩選判斷特定公司的呢
[32:10] 三
[32:10] 過往提到不喜歡不動的
[32:12] 喜歡動了且要一根紅K以上才上車
[32:15] 那這個標準是隻要紅的問號
[32:18] 至少聽眾過往有在噴射前
[32:20] 講出題材先例
[32:21] 那判斷挨大有方法可以驗證
[32:24] 是日常漲幅
[32:25] 或是有人做出這個題材
[32:27] 許願分享且詳細到阿嬤都會那種
[32:29] 跟高手學方法不求對子求生日一高愛你
[32:32] 你是不是那個telegram
[32:33] 已經tag我問好幾次問題的那位聽眾
[32:35] 老實講就是
[32:36] 如果你是那位聽眾的話
[32:38] 你問太多問題
[32:39] 很多時候就是你自己要下去做
[32:40] 因為真的蠻多人喜歡
[32:42] 一直問一直問一直問
[32:43] 那可是我覺得說
[32:44] 就是可能你做的不夠多
[32:45] 就你可能覺得你已經做很多了
[32:47] 然後你覺得說
[32:48] 我做了
[32:49] 可是我效率沒有很好
[32:50] 或怎麼樣
[32:50] 我想要再更好
[32:51] 那我就去問
[32:52] 沒有其實你要做的是更多
[32:53] 就你以為你做很多
[32:54] 但你沒有做很多
[32:55] 你就要瘋狂的做
[32:56] 然後做到後來
[32:57] 理論上就要有一些敏感度
[32:59] 如果說沒有敏感度
[33:00] 有時候就只是單純
[33:01] 就有可能你不是吃這項飯之類
[33:03] 就像A君
[33:03] 我就覺得很意外
[33:05] A君怎麼講
[33:06] 我簡單講
[33:07] 我之前跟大家揭露過
[33:08] 其實A君就是我妹
[33:09] 他之前他在工作上面是無慾無求那種人
[33:14] 我已經叫他回臺灣好幾次了
[33:15] 他都不願意回來臺灣
[33:16] 然後後來非常的幸運
[33:18] 就是在我的兒子出生之後
[33:20] 也就是我最忙碌的時候
[33:21] 然後他選擇回來臺灣
[33:22] 那我就說我就交你股票
[33:24] 我老實講我本來想法是什麼
[33:25] 我本來想法就是說
[33:26] 反正我就交你一點簡單的投資
[33:28] 你拿我的薪水
[33:29] 然後你就穩定的這樣配
[33:30] 你的生活應該會過得不錯
[33:31] 我只是沒有想到說
[33:32] 靠北這個傢伙他竟然會交易
[33:34] 然後搞到
[33:35] 就是他的資產的成長速度是還蠻快的
[33:38] 雖然他還是相對的小資
[33:39] 可是就是成長得很快
[33:40] 那我覺得是比當年的我
[33:42] 感覺都更有天賦
[33:43] 而且他很屌的一點是
[33:44] 他明明就已經是
[33:46] 可以穩定在那邊拷錢的
[33:47] 可是我每次問他說
[33:48] 你要不要上槓
[33:49] 你要不要快一點
[33:50] 他都跟我倆不要
[33:50] 就理論上我叫觀眾
[33:52] 都不要去上槓
[33:53] 可是因為我想說
[33:54] 那我自己的妹妹
[33:54] 你上槓你爆掉
[33:55] 我就幫你補錢
[33:56] 就我都可以照你
[33:57] 可是他竟然跟我倆不要
[33:59] 那他就是穩定的
[34:00] 去拷他的東西
[34:01] 所以我覺得
[34:01] 你有自己的想法
[34:02] 是很重要的事情
[34:03] 那像你前面講
[34:05] 那個量化的篩選
[34:06] 我自己也沒那麼喜歡
[34:07] 就是我不太喜歡去隨便亂撈標的
[34:09] 就是你應該很少聽到
[34:11] 我在節目上
[34:11] 就算是早期的節目
[34:13] 因為我們話還是越做越有人脈
[34:14] 我們會很敏感去抓到一些
[34:16] 那種可能很熱的題材
[34:17] 可是早期我可能沒有這麼多人脈
[34:20] 所以你去聽我節目
[34:20] 我也不太去做那種什麼
[34:22] 只要會漲的都是好股票
[34:23] 然後直接去考的
[34:24] 我不太這樣子
[34:25] 我不會去亂挑一些什麼標的突破就買
[34:27] 我們不做這樣的事情
[34:28] 那一般來講
[34:29] 我們都有一個
[34:29] 怎麼講就中心思想
[34:31] 就你相信的東西
[34:32] 所以像我自己相信的東西
[34:33] 你說好OK
[34:34] 那我可能說近年的一些報酬
[34:36] 是受惠於我們一些
[34:37] 包含說我自己的人脈
[34:39] 或者說怎麼樣
[34:40] 可是你說前幾年
[34:41] 那為什麼我在可能2018年
[34:42] 就買到NVIDIA
[34:43] 然後可以一路報現在
[34:44] 那也不容易
[34:45] 雖然可能在2018年
[34:46] 你看不到AI
[34:47] 可是你怎麼可以挑到這個公司
[34:48] 或者你怎麼會挑到Avago
[34:50] 為什麼那時候覺得說Avago可以做
[34:52] 為什麼你會覺得Tesla
[34:53] 是一個不錯的公司什麼的
[34:54] 所以其實如果說你要去
[34:56] 拆解我過往的一些篩選的話
[34:57] 你會知道我篩選的東西
[34:58] 都是偏科技類的
[34:59] 就是我喜歡科技類的東西
[35:01] 所以光是那個標的
[35:02] 你說什麼有紅K新高
[35:03] 你不是科技類
[35:04] 我就不看你
[35:05] 那你如果是科技類
[35:06] 就來說你是科技類
[35:07] 你是做材料的
[35:08] 你可能是做
[35:09] 不知道某種載板
[35:10] 或者說什麼
[35:11] 銅箔
[35:12] 或者是啥小的
[35:14] 反正就是說
[35:15] 軟板硬板之類的
[35:16] 這類
[35:16] 就是說AI相關應用的東西
[35:18] 那你是比較先進高階的
[35:20] 我會去買你
[35:21] 可是如果你是手機軟板
[35:22] 我就不會買你
[35:23] 所以這個跟人脈也沒有關係
[35:25] 它是一種
[35:26] 我覺得是我的直覺
[35:27] 就我會想要去買
[35:29] 最先進科技的東西
[35:30] 所以之前有一次很好笑
[35:32] 反正就是說
[35:33] 當然這個是我私底下看到的
[35:35] 就是市場有一位大資
[35:37] 然後在跟他的朋友討論到我的時候
[35:39] 因為我有朋友跟我講說
[35:40] 他看到我被討論
[35:41] 就是說這個股癌的節目
[35:44] 他看先進科技很厲害
[35:45] 可是他看這種經濟懸杆股
[35:48] 他可能還要再加油
[35:49] 我覺得這位大哥
[35:50] 他其實講的非常的正確
[35:51] 因為我經濟懸杆股
[35:52] 大家應該都看到了
[35:53] 就是我在海運的時候
[35:54] 我是根本就沒有買到
[35:55] 我在記憶體浙破的時候
[35:57] 我買到
[35:57] 可是我只有美股的抱住
[35:58] 因為美股的美光
[35:59] 在我的認知
[36:00] 它是比較先進的
[36:01] 有做D5有做HBM我抱得住
[36:03] 然後臺系的那些做D3 D4的
[36:05] 做什麼MLC NAND
[36:06] 你有吃到
[36:08] 可是你就是沒有吃到全部
[36:09] 你早就把它賣掉
[36:10] 因為你就是看這些經濟學園股
[36:11] 嚴格上來說你看它沒有
[36:13] 你就覺得說
[36:13] 這個應該比較不會漲
[36:14] 所以我會因為這樣子
[36:16] 我就要去發問說
[36:17] 我要怎麼樣把經濟學園股做好
[36:19] 不會
[36:19] 因為我知道說
[36:20] 我有我會做的東西
[36:21] 那我是怎麼知道
[36:22] 我有我會做的東西
[36:23] 我是拼命的去做
[36:24] 所以如果你是那位
[36:25] 一直問問題的兄弟
[36:26] 我感覺因為你問問題
[36:27] 已經甚至問的比A君多了
[36:28] 那我回答你也回答比A君多
[36:30] 所以如果你還是沒有感覺的話
[36:32] 那就是做太少了
[36:33] 所以有時候其實重點是要做
[36:35] 因為很多人都喜歡一直問一直問
[36:37] 然後都沒有做
[36:38] 你要一直去做
[36:38] 你做久之後
[36:39] 你的身體會告訴你很多答案
[36:41] 這是這樣子
[36:42] 我覺得那是一個經驗的累積
[36:43] 那再講說技術面的篩法
[36:45] 我真的不會這樣去亂篩東西
[36:46] 我覺得這很沒有意義的
[36:47] 就你一定是你覺得有題材
[36:49] 或是你知道有故事的東西
[36:51] 你會有一套邏輯
[36:52] 因為你這樣才可以把技能數點上去
[36:54] 那當然我知道市場上有些人
[36:56] 我們有些朋友是所長
[36:56] 他也不管你做啥小
[36:58] 反正你只要漲停我就去鎖
[36:59] 那這也是他努力了很久之後
[37:01] 他可能找到這樣的一個方法
[37:02] 所以其實每個方法
[37:03] 理論上都可以做
[37:04] 只是你有沒有辦法把它做好
[37:06] 大概這樣
[37:07] 那下面一位
[37:08] Shalvar Chan留言念我念我
[37:10] 一月某個週三中午天氣很好
[37:13] 跟老婆帶四歲半的兒子
[37:14] 去林口一家高階牛排店吃飯
[37:16] 那出發前因為小朋友
[37:18] 一直拖時間不換衣服
[37:19] 我們索性就讓他穿著很醜的羽絨衣
[37:20] 搭配睡衣拖鞋出門
[37:22] 到了餐廳本想藉此機會教育
[37:24] 跟他說你看大家都穿得很整齊
[37:26] 然後會穿拖鞋來高階餐廳吃飯
[37:28] 那結果轉頭看到落地窗邊
[37:30] 一對俊男美女
