[00:00] 歡迎收聽谷外,我是孟公,本期節目由Cashback反多多贊助
[19:18] 特別是當大盤的表現
[19:20] 沒有這麼好的時候
[19:20] 它是逆勢的往上
[19:21] 可是我也記得Lumentum
[19:22] 我前面在報的時候
[19:23] 也是很痛苦
[19:24] 它有一段時間也是
[19:25] 就是整天在盤疊
[19:26] 你也不知道發生什麼事情
[19:27] 但突然間
[19:28] 醒來了就上去了
[19:30] 所以很多時候
[19:30] 我覺得很好笑的是這樣
[19:31] 就是每次在
[19:32] 可能一個股票在橫
[19:33] 或者說在盤疊的時候
[19:36] 對壞訊息
[19:36] 然後你真的是看久之後
[19:38] 你就會發現說
[19:38] 你要遠離這些人
[19:39] 就是幹
[19:40] 你們到底在幹嘛
[19:40] 你們可能真的
[19:41] 講一萬次崩
[19:42] 然後真的會給你講中一次
[19:43] 可是我不知道
[19:44] 我很討厭末日博士
[19:45] 就是這樣
[19:46] 我會覺得說
[19:46] 反正股票做多才有大錢
[19:48] 那只是什麼時候做多
[19:49] 那當然有時候會受傷
[19:50] 可是你不能夠
[19:50] 因為說一些受傷
[19:51] 然後就
[19:52] 摒除掉所有的機會
[19:53] 還是要持續的看
[19:54] 那再來的話
[19:56] Meta的話
[19:57] 我們目前是沒有看到
[19:58] 他在自己的Exec上面
[20:00] 可能會有
[20:00] 比較卓絕的突破
[20:02] 所以可能會把
[20:03] 這樣的一個投入
[20:04] 就視為說他要去採購這些
[20:06] General Purpose的GPU
[20:08] 作為一個選項
[20:10] 所以可能就比較不會去聚焦他
[20:12] 那再來是Microsoft
[20:13] Microsoft其實最近在麥亞這邊
[20:15] Maya
[20:16] 我之前有講麥亞
[20:17] 後來有人會講說正確念法是Maya
[20:18] 反正念法大家聽得懂就好
[20:20] 因為我們絕大多數都在看文字
[20:22] 我們沒有跑出去跟人家開會或什麼的
[20:24] 所以有些發言
[20:24] 我就是直接照著他念
[20:26] 那Maya
[20:26] 最近其實他們是正在
[20:28] 馬不停蹄的在加工
[20:30] 要去趕他
[20:31] 那我們還是蠻期待說
[20:33] Maya後面可不可以去帶來一些表現
[20:36] 可能在Microsoft這邊
[20:38] 相關的supply chain就可以去注意
[20:40] 包含說它有一些它專用的飢渴廠
[20:42] 最近也有一些表態
[20:44] 可能就是有一些先知
[20:46] 或者說大家就提早先去賭
[20:47] 因為可能像我們自己也有看到說
[20:50] 在Maya這邊有持續的去做推進
[20:52] 所以可能後面也可以觀察看看
[20:54] 所以我目前看下來是覺得說
[20:56] 當然我們要去按照市場的一個邏輯
[20:59] 去稍微去思考自己的策略
[21:00] 目前市場就是選擇去殺這一些
[21:03] 不管是巨頭或者說軟體
[21:05] 因為巨頭本身隱含了他們是軟體
[21:07] 或者是整體盤面的狀況都不是太好
[21:11] 我們或許可以去思考說
[21:13] 目前我們看到像臺灣的市場是相對強
[21:15] 或是一些supply chain的股票是相對厲害
[21:18] 然後一些光通或者是交換器的廠商
[21:21] 他們的股價都還蠻不錯
[21:22] 有可能就是市場是先暫時
[21:25] 在這個時間點去做這樣子的選擇
[21:27] 就是把錢往硬體的方向
[21:29] 再持續去做堆疊
[21:30] 我覺得也蠻合理的
[21:31] 因為目前看到的KBX數字
[21:32] 就算是超越了本來的預期不少
[21:35] 所以應該是有可能
[21:37] 可以往這個方向去做
[21:38] 所以我自己心中也還在思考說
[21:40] 因為我現在也是有弄一些
[21:42] 散熱相關的東西
[21:43] 或許這個散熱股票沒有表態的話
[21:45] 就可以把這個部位
[21:46] 再加到更大一點
[21:48] 就稍微往一些硬體的方向去靠
[21:50] 當然在軟體的方面
[21:51] 像這些美國的巨頭
[21:53] 或者說這些支出方
[21:54] 我還是覺得充滿興趣
[21:56] 當他們敢這樣子花錢的時候
[21:58] 其實就是一個非常大的信心表態
[22:00] 只是有時候你知道市場就是會修正
[22:02] 就是會跌
[22:03] 很好笑的是
[22:04] 有時候可能漲的理由跟跌的理由
[22:06] 剛好是一體兩面
[22:07] 現在在跌的理由
[22:09] 可能後面就變成是一些漲的理由
[22:11] 可能在這部分會再稍微的觀察一下
[22:14] 但是我自己是比較不喜歡在一些股價
[22:17] 當然你說如果是非常強勢的多頭
[22:20] 然後他突然間掉一兩根大的
[22:22] 或像一些儲值突然間掉下緣
[22:24] 那個我會有興趣
[22:25] 可是如果說他是橫盤
[22:27] 然後開始往下掉
[22:28] 像一些巨頭走勢其實這樣子
[22:30] 這個除非他碰到
[22:31] 像美股的話
[22:32] 有一個蠻重點的指標
[22:33] 就240日的均線
[22:35] 720也可以看一下
[22:36] 反正就是碰到一些那種重點均線
[22:38] 假設是說掉不下去
[22:40] 所以掉不下去就是說
[22:41] 他可能先摸到
[22:42] 然後其實他就往上走
[22:43] 往上走的那一段
[22:45] 可能就是會去加碼一點點
[22:47] 如果再繼續往下掉的話
[22:48] 就一樣等等
[22:48] 然後等到下一個均線的出現
[22:50] 所以我可能會往這個方向去做
[22:53] 等到回到臺灣之後
[22:54] 應該就會適度的把部位給加大
[22:57] 因為其實在外面放假的部位
[22:59] 是比較少一點
[23:00] 所以導致像今天早上
[23:01] 媽媽直接睡過頭
[23:02] 直接睡過頭
[23:03] 就之前的幾天
[23:04] 都有在兩點多起床
[23:05] 然後今天
[23:06] 可能是因為昨天玩
[23:07] 就是家裡玩
[23:08] RO守護永恆的愛Classic
[23:11] 還蠻不錯玩的
[23:12] 然後玩到太晚
[23:12] 所以導致
[23:14] 就兩點多沒有勝利時鐘起來
[23:16] 然後早上才起來
[23:17] 發現說臺股已經殺完
[23:19] 在反彈的
[23:19] 比較可惜
[23:20] 就是沒有去撿到
[23:22] 大家最恐慌
[23:23] 然後亂丟股票的時候
[23:24] 這個對我來說是小虧
[23:26] 但沒有關係
[23:27] 反正如果真的有抓到
[23:28] 你不會去這麼在意
[23:29] 那個少少的幾趴
[23:31] 什麼兩趴三趴
[23:31] 距離底部
[23:32] 那個還OK
[23:33] 所以重點是看長期的趨勢
[23:35] 那一樣還是維持
[23:36] 以目前的形態來講
[23:38] 是要相對緊急的地方
[23:40] 只是說
[23:40] 我自己如果可以開丁盤的話
[23:42] 我會更積極的去做它
[23:44] 特別是當市場出現一些恐慌的情形
[23:46] 最近的市場也開始出現一些
[23:49] 有趣的資金挪動
[23:50] 這個我覺得後面可以再觀察一下
[23:52] 像前面的被動元件在漲價
[23:54] 然後漲一漲之後
[23:55] 結果銀價就崩掉
[23:56] 很好笑
[23:57] 但我覺得有趣的是
[23:58] 當銀價崩掉
[23:59] 你應該會注意到
[24:00] 這些被動元件
[24:01] 它也不會再把價格往下調
[24:02] 所以這有點類似說
[24:03] 你看到那些早餐店
[24:04] 他會跟你講說
[24:05] 因為現在什麼原物料怎麼樣
[24:07] 因為油價怎麼樣
[24:08] 所以我們的東西往上調
[24:09] 可是後來原物料油價下去
[24:11] 你注意到你的蛋就是變貴了
[24:13] 它就是不會再變便宜了
[24:15] 那是差不多的道理
[24:16] 可是這有可能就會讓這些
[24:18] 相關的元件公司
[24:19] 它的產品結構會變好
[24:21] 它的獲利的結構也會因此會變好
[24:25] 所以這個可以稍微的關注一下
[24:26] 就是過去可能因為某些原物料
[24:29] 然後他可以去轉嫁成本
[24:31] 把它漲給客戶的
[24:33] 那今天原物料價格掉下來
[24:35] 如果說這個漲價條件還是存在的話
[24:37] 那就可以注意一下
[24:38] 或許在他的存貨的迭代之後
[24:41] 就可以注意到會有不錯的
[24:43] 相關的毛利跟數字表現
[24:45] 所以這也是我會想要再看一下的
[24:47] 那最後面稍微的補充一些
[24:49] 我覺得可能算是重點的東西
[24:51] 那首先剛剛有提到說
[24:53] 亞馬遜那個200B他不會說全部都是AI Server因為他有機器人有物流倉儲有可能亞馬遜低軌道衛星我相信低軌道衛星的佔比應該是蠻大的
[25:04] 因為我們家看到SpaceX的數字是很高
[25:06] 所以應該會跟它對平
[25:08] 所以它不是全部都是AI
[25:10] 所以這個就要稍微注意一下
[25:11] 因為有些人可能直接把這個數字放進去
[25:13] 某種公司裡面
[25:14] 然後把它當成是Target Market就這麼大
[25:17] 那可能會錯
[25:18] 就可能要稍微的去下修一點點
[25:20] 然後再來在Google這邊的話
[25:21] 在Google的佔比裡面
[25:23] 也不會說全部就是你把它算給general purpose server
[25:26] 這個我覺得應該是嘗試
[25:27] 因為大家應該都知道說
[25:29] Google是用了很多自己的TPU
[25:31] 目前我們看到TPU的狀況也都是非常好
[25:34] Google的情形我們在幾個月前就跟大家cover過了
[25:37] 它的狀態是它想要更多的產能
[25:40] 而且它要的東西按照我們目前所看到
[25:42] 可能是就要說市場能夠給它的量是三到四成
[25:47] 它要的是十
[25:48] 就是它大概要的東西是市場能夠給的三分之一而已
[25:52] 所以這個或許可以稍微的注意一下
[25:55] 只是還是要注意
[25:57] 就是你不要把這些數字
[25:58] 全部都算成是
[25:59] 可能NVIDIA的營收
[26:00] 或是AMD的營收
[26:01] 不太對
[26:01] 因為它裡面有很大一部分是ASIC
[26:04] 至於Meta
[26:05] 或者是說Microsoft的話
[26:06] 我覺得就可以相當程度的
[26:08] 把比較大的比例算給是
[26:09] 這個General Purpose的一個營收
[26:11] 只是目前我們知道說
[26:13] 在Microsoft的Maya這邊
[26:14] 他們有想要去加強
[26:16] 即便可能在前面的幾年
[26:18] 就像是我跟大家分享的
[26:19] 他們是落賽的一個狀態
[26:21] 他們並沒有成功的放量
[26:22] 那現在事後驗證
[26:23] 就是你真的沒有聽到
[26:25] 多少人在跟你講說
[26:26] 什麼微軟的Maya多掉
[26:27] 導致聽到一堆人
[26:28] 跟你講說TPU多厲害
[26:29] 可是他們現在
[26:30] 其實有很用力的在推Maya
[26:31] 接著我們就來觀察一下
[26:33] Maya說不定有機會走出來
[26:35] 有可能再帶新一波的供應鏈
[26:37] 一起走出來
[26:38] 這個就是接下來的一些觀察重點
[26:40] 總之我會覺得說
[26:42] 現在的盤面
[26:43] 特別是已經有出一些恐慌的時候
[26:45] 我會覺得說是蠻喜歡的
[26:46] 就會想要去做看看短多
[26:48] 如果說是那種零持盤
[26:50] 就是每天只有疊一點點
[26:51] 然後沒有出現那種大淘沙
[26:53] 融資大暴減的話
[26:54] 我就會覺得可能可以再等一下
[26:56] 但還是要看你的水位
[26:58] 如果說你今天水位很高的話
[26:59] 我覺得自己都還是要小心
[27:01] 因為現在盤面的震盪就是放大
[27:02] 我從過去幾集就跟大家提醒了
[27:04] 只是如果說水位是比較低的
[27:06] 像我現在水位就是屬於
[27:07] 以我自己來講算是低的
[27:08] 那我當然就可以去做一些加碼
[27:10] 特別是大家都很害怕的時候
[27:12] 這個是我們有時候會蠻喜歡的
[27:13] 我也花了一段時間來學會
[27:14] 最早都是很動能
[27:16] 反正就是什麼漲就追什麼
[27:17] 然後只是後來就慢慢的
[27:19] 把一些工具
[27:20] 放進自己的工具箱裡面
[27:21] 因為久了你就會學會
[27:22] 你就會知道說
[27:23] 很多人真的都是想在
[27:24] 你下跌的時候
[27:25] 把你的票騙走
[27:26] 那當然有些下跌
[27:27] 最後面就真的就跌真的啦
[27:28] 所以那還是需要
[27:29] 你一些經驗去累積
[27:31] 然後你的眼光也要去累積
[27:32] 你才可以有信心的
[27:34] 去做出一些判斷
[27:34] 好 大家這樣
[27:35] 那也希望大家
[27:36] 平安健康順利
[27:37] 那接下來我們再進入Q的部分
[27:38] 第一位徐財源
[27:39] 好 期待可以被唸到
[27:40] 終於不用猜留了密碼
[27:41] 我跟先生2月25號
[27:43] 結婚10年
[27:44] 寶寶在3月6號2歲
[27:46] 光號用帥氣猛男的聲音
[27:48] 跟我寶貝女兒致遠
[27:49] 生日快樂
[27:50] 西班牙的Churros超好吃
[27:52] 我想謝謝我先生
[27:53] 全職照顧我女兒辛苦了
[27:55] 然後這個先生很贊
[27:57] 然後希望小朋友
[27:58] 可以健康快樂長大
[27:59] 那西班牙的Churros
[28:01] 真的蠻好吃
[28:01] 後來再聽我老婆講說
[28:02] 其實是兩種
[28:03] 一個叫Churros
[28:03] 另外一個叫
[28:04] 不知道什麼名字
[28:05] 反正一個比較大根
[28:05] 一個比較小根
[28:06] 然後其實就是油條啦
[28:07] 簡單來講它就是油條
[28:08] 然後只是沾糖粉
[28:10] 然後或者是巧克力
[28:10] 確實是非常好吃
[28:12] 那下面一位
[28:12] PP
[28:13] 我想提倡以後
[28:14] 都念Spotify的留言
[28:16] 給Android使用者一點機會
[28:17] 用安卓機是什麼很賤的人嗎
[28:19] 感謝愛你
[28:20] 其實我真的最近幾集發現說
[28:22] 念Spotify留言體驗是還蠻好的
[28:25] 因為非常的明快
[28:26] 那也不用像之前Apple Podcast
[28:28] 有時候是我自己都要錄節目
[28:29] 就是可能禮拜三或是禮拜六下午
[28:31] 然後他還沒有顯示最新的
[28:33] 就是好像是看他心情一樣
[28:34] 所以對啊
[28:35] 如果說Spotify沒有什麼問題的話
[28:37] 我們應該會在這邊待一陣子
[28:39] 那也希望你平安健康
[28:40] 下面一位
[28:40] Howay Lee
[28:42] 之前在節目中推薦過我
[28:44] Norway in a nutshell
[28:45] 整趟旅程實在是太魔幻了
[28:47] 到下回頭看照片跟影片
[28:48] 都能夠感受到風景的澎湃
[28:50] 只可惜從Oslo到Bergen
[28:52] 後半部的傳承
[28:53] 因為下大雪只有開到一半就返程
[28:55] 而Bergen是我心目中最喜歡的城市
[28:58] 喜歡到直接想留下來找工作機會
[29:01] 會直接入墜當地
[29:02] 總之感謝你的推薦
[29:04] 我真的愛你
[29:05] 之後還會有一個月的Easter假期
[29:07] 預計要去巴塞隆納
[29:08] 或其他東南歐城市發展
[29:11] 最近有新推薦的新行程嗎
[29:13] 誒
[29:14] 諾埃格納紹真的是
[29:16] 我覺得就極罕見
[29:18] 那種媽的無敵到
[29:19] 不知道該說什麼
[29:20] 我認為大家可能此生都必去
[29:21] 呃
[29:22] 再來我還蠻喜歡冰島的啦
[29:24] 冰島也是我很喜歡的
[29:25] 那如果今天在講城市的旅遊的話
[29:27] 說實在
[29:28] 我比較沒有辦法給大家一些建議啦
[29:30] 因為我覺得城市裡面
[29:32] 當然我們不是故意要耍帥
[29:33] 說什麼你要往一些小鎮走
[29:35] 你要看什麼野外
[29:36] 沒有就只是單純
[29:37] 我自己是真的喜歡
[29:38] 比較沒有人的地方
[29:39] 所以城市我就覺得還好
[29:40] 那當然如果你今天啊
[29:42] 像你跑到義大利
[29:42] 影工人可以看什麼
[29:43] 我還是會覺得說
[29:44] 像你進去看大教堂很不錯
[29:47] 聖彼得大教堂
[29:48] 或者說範迪岡的博物館
[29:49] 那個都是真的都蠻有料的
[29:51] 只是就沒有像諾威爾那小師
[29:54] 我那時候去完
[29:55] 然後回來跟大家狂推
[29:56] 因為真的太屌了
[29:57] 就差不多了
[29:59] 我覺得反正絕大多數的
[30:01] 這種城市的旅行
[30:02] 就是去找當地的一些什麼大教堂
[30:05] 然後再來就是去找Markets
[30:07] 就是絕大多數在西班牙的話
[30:09] 就是什麼Mercado
[30:10] 我記得好像是怎樣
[30:11] 反正就用那個當關鍵字去找
[30:13] 那去找當地的那種中央市場
[30:15] 他們的中央市場裡面
[30:16] 跟臺灣一些那種
[30:18] renew過的中央市場
[30:19] 我覺得感覺還蠻類似的
[30:20] 就是比較乾淨
[30:21] 然後什麼東西都有
[30:22] 然後很多東西可以直接在當地吃
[30:24] 就還蠻方便
[30:26] 而且是可以吃到很多特色料理的
[30:27] 所以我自己在城市裡面
[30:29] 一般我就是看這兩個東西
[30:30] 教堂然後跟市場
[30:32] 這是我可能比較喜歡的
[30:34] 那下面一位
[30:35] Tony Tsai
[30:37] 媽的孟公
[30:37] 我上次超早留給你
[30:39] 然後你從後念
[30:40] 現在好啦
[30:41] 我晚點留
[30:42] 看你文言到
[30:42] 那最近看完你寫的
[30:44] 《灰街思考》
[30:45] 確實是寫得很不錯
[30:46] 想問一下你小知的時候
[30:48] 掛到資產小於千萬
[30:49] 你槓桿的方式
[30:51] 都是在融資 質押 股息
[30:53] 哪一種方式居多
[30:54] 是不是都集中火力
[30:55] 做一檔股票
[30:56] 那想聽大哥的分享
[30:57] 對了
[30:58] Be a dick
[30:58] 夏瑞狂香曲
[31:00] 很好玩
[31:00] 推薦給你
[31:01] 謝謝
[31:01] 這兩款我都玩過
[31:02] 因為基本上
[31:03] 這一份大家分享過
[31:03] 我是黃油專家
[31:04] 雖然我後來
[31:05] 我自己想一想
[31:06] 我覺得有點怪怪
[31:07] 就是好像
[31:07] 不知道
[31:08] 就某些聽眾會覺得我是變態吧
[31:09] 但我真的是把它當成是某一種
[31:11] 反正就遊戲的型別
[31:13] 因為我當時其實最想要投黃油
[31:15] 因為我覺得黃油看起來超級賺錢
[31:17] 然後後來才發現說
[31:18] 黃油的市場是這樣子
[31:19] 基本上那些會賺錢的作者
[31:21] 他就已經知道他自己會賺錢了
[31:22] 所以他就自己狂出就好
[31:24] 那不太會賺錢的
[31:25] 其實你好像就找不太到一些機會
[31:28] 所以不太會賺錢
[31:29] 當然他那個產品可能還沒有到市場上
[31:31] 可是因為你玩久了
[31:32] 我那時候就是把每個型別都拷爆
[31:35] 所以基本上我已經知道
[31:36] 說哪些東西會賣
[31:37] 就真的是很直覺
[31:39] 我覺得是因為黃油
[31:40] 它連線到男人的老二
[31:42] 所以你可以直接感受到
[31:43] 哪些東西可能是
[31:44] 你有突發奇想
[31:46] 這個東西在市場上會中
[31:47] 類似這樣
[31:48] 它不像是一般的遊戲類別
[31:50] 因為它可能沒有連線到老二
[31:51] 它是連線到
[31:52] 可能每個人不同的喜好
[31:53] 或成長背景之類的
[31:54] 所以它判斷比較困難
[31:56] 總之就是最後面
[31:57] 黃油的投資
[31:58] 還是會去做一些接觸
[32:00] 只是沒有像當時本來是想要
[32:02] 大刀闊斧一刀殺進去
[32:04] 所以基本上
[32:05] 大家搶得到的遊戲
[32:06] 我全部都玩過
[32:07] 那再來講說小資的時候
[32:09] 槓桿的方式怎麼樣
[32:11] 其實都會做
[32:11] 古琪是比較少一點
[32:13] 古琪是後來熱絡之後
[32:15] 就是大概我記得是2021以後
[32:17] 就是古琪比較熱鬧之後
[32:18] 才有去弄古琪
[32:19] 不然其實像期貨這邊
[32:21] 有時候你要去找一些東西
[32:22] 像以前我會弄半導體期貨
[32:23] 然後後來也是因為
[32:24] 那個spread太大
[32:25] 所以就覺得說不太適合自己
[32:27] 因為有時候一些短線比較洗的時候
[32:29] 你就整天會滑價
[32:31] 所以就覺得比較麻煩
[32:32] 雖然你一下回頭看都覺得說
[32:33] 那好像在小打小鬧
[32:34] 可是反正古琪是
[32:35] 要確定這個東西是有大量才會去做
[32:38] 以現在的狀態的話
[32:40] 基本上不太可能用股期
[32:41] 有些現股
[32:42] 你自己買進去
[32:44] 你都會擔心說
[32:44] 靠北我一敲
[32:45] 然後馬上被量化吃豆腐
[32:47] 吃個兩三檔
[32:48] 你怎麼能去買股期
[32:49] 股期的量根本就是
[32:50] 沒有辦法去把你扛下來
[32:52] 所以當然你在小資的時候
[32:54] 股期是OK
[32:55] 可是就是會有
[32:56] 可能流動性不夠這個問題
[32:57] 所以融資還是最直接的
[32:59] 特別是融資利率
[33:00] 可以往下談的話
[33:01] 融資是最直接的
[33:02] 那直押的話
[33:03] 就是那些不能夠融資的股票
[33:04] 就會去使用指押
[33:05] 所以我覺得用比較多的
[33:07] 還是融資跟指押
[33:08] 那說是不是
[33:09] 都是集中火力做一檔
[33:11] 一般都是先散打
[33:12] 就像說像
[33:13] 我去買某一個題材
[33:14] 像可能散熱好了
[33:16] 然後或者說美股
[33:16] 假設我是巨頭一起點
[33:18] 一般都是先一次打一把
[33:20] 然後接著哪一支最強
[33:22] 我就會一直把
[33:23] 比較弱的賣掉
[33:24] 去加到最強的那個
[33:25] 所以有點類似說
[33:26] 我可以隨便舉例
[33:27] 假設我有1000萬的資金
[33:28] 然後我300萬去買散熱
[33:30] 那我這300萬可能買了
[33:31] 3653,3324,3017
[33:34] 先隨便舉例三檔
[33:35] 善赫大家都知道的股票
[33:36] 那今天誰走的比較好
[33:38] 我就會去把走的比較差的
[33:40] 減碼去加到比較強的
[33:41] 那加到比較強的
[33:42] 還不是說什麼300萬
[33:44] 就要說100 100 100
[33:44] 然後減掉100去加
[33:46] 不是我會再上槓
[33:47] 所以可能最後面這個部位
[33:49] 會變600 700甚至更多
[33:50] 如果是直壓的話
[33:51] 那就可以一直漲
[33:52] 就一直再加上去
[33:53] 那如果是融資的話
[33:54] 你可以在可能盤中把它沖掉
[33:57] 然後再往上打一次
[33:58] 你就可以加到更大的部位
[33:59] 這個好像有點肥累
[34:01] 其實我不太喜歡
[34:01] 跟大家分享這個東西
[34:02] 只是大家問
[34:03] 我就還是跟你講一下
[34:04] 總之會用這樣的方式去做
[34:06] 只要是看對的東西
[34:07] 就會越加越大
[34:08] 如果是看錯的東西
[34:09] 就會去把它縮掉
[34:11] 至於看對看錯
[34:12] 要怎麼樣去做辨識
[34:13] 一般可能抓個10天
[34:14] 20天把交易了以後
[34:16] 就是慢慢那個趨勢會很明顯
[34:17] 趨勢出來之後就知道了
[34:19] 如果一直都是橫盤的話
[34:20] 就不會去做太多的一個動作
[34:22] 下面一位LYT
[34:24] 你好孟公
[34:24] 我結婚後因為種種的原因
[34:26] 婆婆硬是要住我和先生家
[34:28] 婆婆有自己的房子
[34:29] 先生還有其他兄弟姐妹
[34:30] 預計是同住三年
[34:32] 但未來的事很難說
[34:33] 我想和觀音大愛許願
[34:35] 讓婆婆儘早搬走
[34:36] 我願意每天捐五萬
[34:38] 給幫助關心心理健康的機構
[34:40] 只要我能夠捐到五十萬元
[34:42] 祝福孟公家都能夠
[34:44] 與兩邊家人相處龍下
[34:46] 這個就是我們講
[34:47] 家家有本難唸的經
[34:49] 現在很多人都會講說
[34:50] 我不想跟婆婆住
[34:51] 可是老實講
[34:51] 也很多人不想跟岳母住
[34:53] 就連我岳母這麼樣的
[34:54] 我也不會想要
[34:55] 整天跟她待在一起
[34:55] 因為還是會有代購
[34:56] 我覺得說長輩就是有代購
[34:58] 所以如果今天預算充足
[35:00] 這個狀況之下
[35:01] 就是那你們可以住附近
[35:02] 就是可能在旁邊
[35:04] 幫他搞一間之類的
[35:05] 或者說不知道
[35:05] 一個套房也可以
[35:06] 那大家可以互相照顧
[35:08] 吃飯時間可能可以一起之類的
[35:10] 那這個可能就是
[35:11] 比較折衷的一個做法
[35:12] 那如果今天
[35:13] 當然是預算不夠的話
[35:14] 那就只好
[35:15] 總是有一個兄弟姐妹要去扛
[35:17] 特別是在亞洲的思維
[35:18] 就總是有人要去扛
[35:19] 只是可能剛好
[35:20] 拍到你老公之類的
[35:22] 那還是希望你的願望順利
[35:24] 我覺得有時候是要這樣
[35:26] 就解離害虛細鱗人
[35:27] 可能要去了解一下
[35:28] 為什麼他會想要跟你們住
[35:30] 搞不好你特別nice
[35:31] 搞不好他根本不是喜歡你老公
[35:32] 他是喜歡你
[35:33] 就想要跟你住
[35:34] 因為你可能平常就是不知道
[35:35] 演得很像之類的
[35:36] 他就覺得這個媳婦不錯
[35:38] 我跟這個媳婦
[35:39] 我跟她住在一起
[35:40] 應該會蠻開心的
[35:41] 他感覺蠻歡迎我的
[35:42] 殊不知你只是在那幫假笑子
[35:44] 很難講
[35:45] 但我感覺這是一個很大的問題
[35:47] 特別是有時候
[35:48] 我去看一些那種秋後網站
[35:49] 剛好就超好笑
[35:50] 像有一些那種沒人網站
[35:52] 我忘記名字了
[35:53] 反正就是下面會跟戰場一樣
[35:55] 好笑
[35:55] 跟他在那邊互噴互嘴
[35:56] 就很多人都很反對
[35:57] 跟婆婆一起住
[35:59] 那我覺得
[35:59] 這個有點讓婆婆
[36:01] 你知道就是with a bad name
[36:02] 其實婆婆不一定
[36:03] 每個都這麼壞
[36:04] 因為那就是長輩
[36:05] 其實簡單講就是長輩
[36:07] 好不好
[36:07] 就是婆婆或說岳母
[36:08] 或說岳父
[36:09] 或說公公
[36:10] 為什麼比較少人講
[36:11] 岳父跟公公呢
[36:12] 因為我覺得
[36:12] 男生的意見
[36:13] 還是比較少一點
[36:14] 就整體來看
[36:15] 也不要講說什麼
[36:16] 我們刻板印象都稍小
[36:17] 就是我們人生的體驗
[36:18] 男生很多時候就
[36:18] 我也不知道講什麼
[36:19] 就是給你媽講
[36:20] 像我很多時候
[36:21] 我兒子問我什麼
[36:22] 我都說你去問你媽媽
[36:23] 所以女生的意見
[36:24] 是比較多一點
[36:25] 一般至少在我自己的身邊的狀態是這樣
[36:28] 所以很多時候他們覺得
[36:29] 比較不得人喜歡
[36:31] 有時候我自己也會換位思考
[36:32] 像我就會跟我太太講說
[36:34] 因為我老婆是
[36:35] 她媽她現在的兒子還這麼小
[36:37] 她已經會去想說什麼
[36:38] 她兒子以後
[36:38] 可能要娶的物件是
[36:40] 大概是什麼樣子或什麼
[36:41] 我就跟她說
[36:42] 你千萬不要有這種恐怖的想法
[36:44] 因為後來你就會把它付出時間
[36:45] 你覺得在你兒子
[36:46] 可能帶女朋友回家的時候
[36:48] 不知道你不喜歡的
[36:49] 你可能就沒有這麼熱情
[36:50] 如果你喜歡的
[36:51] 你可能就推過頭
[36:52] 然後後面人家要分手
[36:53] 你搞不好還
[36:54] 硬要把人家湊合在一起
[36:56] 我就跟她說
[36:56] 媽那是小朋友的事情
[36:57] 所以你某個程度上
[36:59] 已經可以在
[37:00] 我不知道我33歲
[37:01] 我老婆27歲
[37:02] 我們兩個之間
[37:03] 就已經看到
[37:04] 可能未來會有的那種
[37:05] 我們身為公婆的樣子
[37:06] 所以我們也是非常的警惕
[37:08] 那很多時候
[37:09] 你也知道說
[37:09] 因為用我太太的角度
[37:11] 她絕對不是想要
[37:12] 當一個惡婆婆
[37:13] 她只是覺得
[37:13] 她的兒子很特別
[37:15] 所以她想要幫他
[37:16] 去做更好的規劃
[37:18] 所以很多婆婆
[37:18] 其實她想法是這樣
[37:19] 只是我覺得重點
[37:20] 還是在於說
[37:21] 小朋友長大之後
[37:22] 要有自己的想法
[37:23] 所以不管是諾亞然後或者是說像我或像你老公或像是你其實長大之後我覺得就是要有最小家庭構成的概念就很常跟大家提醒的就你跟你老婆你跟你老公跟你小朋友你們是最小單位
[37:34] 所以如果說
[37:35] 這最小單位的人
[37:36] 沒有滿足的話
[37:37] 你是沒有空去滿足其他人的
[37:39] 沒空
[37:40] 沒空就是沒空
[37:41] 不要講一堆有的沒有的
[37:42] 所以對
[37:43] 就希望說
[37:44] 你們可以儘早解決這個問題
[37:45] 希望觀眾大家
[37:46] 看過來幫幫你的忙
[37:48] 下面一位
[37:48] 西燕旺
[37:50] 聽眾名
[37:51] 加投稿
[37:52] 內容
[37:52] 感謝諸位每週兩次的陪伴
[37:55] 雖然只是指數仔
[37:57] 但您的市場分享
[37:58] 還是讓小弟受益匪淺
[37:59] 明天就要出發英國和老婆團聚
[38:02] 希望諸位可以祝我們工作
[38:04] 生活都一切順利
[38:05] 最後因為我們都很喜歡臺灣版G.I.J.O
[38:08] 希望諸位可以一起喊爽朗德
[38:11] 撿到100塊
[38:12] 雷
[38:13] 雷
[38:13] 小鳴鳴大
[38:14] 對啊
[38:15] 我也非常喜歡G.I.J.O
[38:17] G.I.J.O近期
[38:18] 我不知道是人家AI去把它付出
[38:20] 還是怎麼樣
[38:21] 就我開始有看到一些新的G.I.Joe
[38:23] 但是不排除是AI
[38:24] 可是G.I.Joe真的帶給我很多美好的回憶
[38:27] 我跟我朋友到現在都還會
[38:28] Aloha deshou
[38:30] 所以下面一位
[38:31] 語言的力量
[38:32] 孟公大大好
[38:33] 過年前想借謝孟公的神力來許願
[38:36] 那希望在三月前可以找到理想的工作
[38:38] 如果達成就捐出一半的月薪給公益團體
[38:41] 那祝孟公大全家平安快樂
[38:43] 聽友也事事順心愛您
[38:45] 希望你可以順利的找到理想的工作
