[00:00] 欢迎收听谷外,我是孙梦宫,本集节目由NordVPN赞助
[19:25] 说谁有可能是下一波的老大
[19:27] 当你去注意到这个族群性的时候
[19:29] 一般来讲就八九不离十
[19:30] 就是那个东西
[19:31] 因为大家习受的东西
[19:33] 跌最少的
[19:33] 或者说冲回去冲最快的
[19:35] 大家最想抢的东西
[19:36] 立刻就可以被识别出来
[19:38] 所以在下个礼拜
[19:39] 我觉得就是一个很好的
[19:40] 这个识别的时间
[19:42] 当你注意到有些东西
[19:43] 立刻的爬回来站回来
[19:44] 或是它直接不跌了
[19:46] 那可能就是下一波的主流
[19:48] 那所以就大概再稍微观察一下
[19:51] 那在美股这边
[19:51] 有一些有趣的事情产生
[19:53] 好像最近美股的软体股
[19:55] 跟资安股的表现都还蛮不错
[19:57] 但软体股其实有蛮多都跌要烂掉
[19:59] 所以它只能够算是一些反弹
[20:01] 那我们也不会去鼓励大家
[20:02] 说要去买那些
[20:03] 所以跌烂的东西
[20:04] 跌烂的东西就
[20:05] 一定会有一些便宜的机会
[20:06] 不是这样子
[20:07] 因为有些可能是
[20:08] 价值陷阱
[20:09] 所以像我自己喜欢的软体股
[20:11] 反而不是在过去跌烂的
[20:12] 反而是就像说
[20:13] 像CrossTry
[20:13] 它创新高了
[20:14] 大家还记得吗
[20:15] 在前阵子
[20:16] 什么Mythos出来的时候
[20:17] 不是说什么
[20:17] 全球的治安又要完蛋了
[20:19] Surprise Motherfucker
[20:20] 治安股一大堆都在创新高
[20:22] 为什么
[20:22] 就是不知道
[20:23] 市场都会做这种奇怪的事情
[20:24] 那时候还很多人讲说
[20:25] 市场永远是对的
[20:26] 没有
[20:26] 其实市场真的不会永远是对的
[20:27] 市场绝对是我们会参考的一个对象
[20:29] 就像是在大盘的修正
[20:31] 我们一定会参考说
[20:32] 市场会优先买哪些东西
[20:33] 这样的一个所谓的集体智慧
[20:35] 我们是相信的
[20:36] 但你要说市场的每个判断都是对的
[20:38] 那就不会有波动
[20:38] 对不对
[20:39] 就如果说市场真的那么绝对的话
[20:40] 那就不会有一些FOMO
[20:41] 或是有一些FUD
[20:42] 导致的上去或是下来
[20:44] 所以一样的道理
[20:45] 就是过往大家会讲说
[20:47] 可能Methos要杀掉很多什么
[20:48] 资安相关的公司
[20:49] Cross-Trade大家不要用
[20:51] 大家下去看一下这些资安股
[20:52] 就一堆都是直接长在右上角
[20:54] 那资安股呢
[20:55] 其实你可以把它视为
[20:56] 就是一种软体公司
[20:57] 那再来呢
[20:58] 像是这个Figma
[20:59] 它并不是我自己
[21:01] 会去注意的一个族群
[21:03] 但是也注意到说
[21:03] 它开出来的数字是好的
[21:05] 所以它公司也没有骗你
[21:06] 它跟你讲说AI是我的tailwind
[21:07] 那没有人相信吧
[21:08] 大家说你这就是生徒啦
[21:10] 我靠生徒软体
[21:11] 就可以把你打爆什么的
[21:12] 就意外的开出一个好的成绩
[21:14] 那出了一个
[21:15] 看起来像是历史大量的东西
[21:17] 所以如果我今天
[21:18] 是对这个族群有兴趣的
[21:19] 我也想要介入看看
[21:20] 那只是因为我刚好
[21:20] 对这个族群真的没有兴趣
[21:21] 所以只是跟大家讲说
[21:22] 有注意到这个东西
[21:23] 就类似Alesian
[21:24] 它不是我会喜欢的东西
[21:25] 但是当大家都在集体表态的时候
[21:27] 或许就可以转头去看一下
[21:29] 现在是不是在software这边
[21:30] 有一些新的变化产生
[21:31] 特别是像资产已经整个拉出去了
[21:33] 就有可能会有一些领先族群的出来
[21:35] 然后接着带动其他族群里面的
[21:38] 一些可能比较优质的东西
[21:40] 都跟着爬出去
[21:41] 我还是会觉得说
[21:42] 就是你去看软体股跟硬体股
[21:44] 你要用的思维是一样的
[21:45] 就是你不可以认为说
[21:47] 就像说在AI时代
[21:48] 那所有硬体都是好的
[21:49] 没有有一堆硬体
[21:50] 我认为它就是不会好
[21:51] 那会好的是直接切到
[21:53] 可能像是过往的ODM OEM
[21:56] 或是竞争代工
[21:56] 那或是我把它称为是
[21:58] New AI的这些光通的硬体
[22:00] 它们是会好的东西
[22:01] 但是有一大堆硬体呢
[22:02] 它其实表现是不会太好
[22:04] 那一样啊
[22:04] 就在软体这边呢
[22:05] 我认为美股市场也已经做了一个
[22:07] 很大规模的太弱流强
[22:09] 那当然不排除有些跌到烂掉
[22:11] 就像可能year to date
[22:12] 是负40% 50%的东西
[22:13] 后面会给一些惊喜
[22:14] 那只是站在我们自己
[22:16] 就是有时候觉得我们的那个
[22:17] 怎么讲就是说投资的方式
[22:19] 它也是有点hybrid的味道在
[22:21] 就我还是有蛮多
[22:23] 那种动能仔的色彩在自己的身上
[22:25] 所以对我来讲
[22:25] 就是我不会去对那些跌身的东西
[22:28] 有很高的兴趣
[22:29] 我反而会对长多的东西会比较有兴趣
[22:31] 所以就算我今天看到一个跌身的东西
[22:33] 我有兴趣
[22:34] 我反而会想等到你突破一些下降趋势
[22:36] 或甚至是你要准备新高的时候
[22:38] 我再来追我也没差
[22:39] 所以会用这样的心态去做面对
[22:40] 其实美股的软体就算是
[22:42] 已经帮大家太弱流强完了
[22:44] 因为那些
[22:44] 基本上还长在右下角的
[22:46] 就即便他可能出一个反弹
[22:48] 那种可能都是会摆在
[22:49] 蛮后面的顺位
[22:50] 就自己不会有兴趣
[22:51] 反而是那些优先创新高的
[22:53] 那可能就是说
[22:53] 新一个时代的王者
[22:55] 这个可以稍微的看一下
[22:57] 再也稍微的再提一下
[22:59] 被动元件
[22:59] 因为又有新的事情发生
[23:01] 就是有时候会注意到
[23:02] 这些热门主权
[23:02] 像前面就是记忆体
[23:03] 然后再来就载板
[23:05] 然后再来就是
[23:05] 到下来被动元件
[23:07] 当有一些新的大趋势产生的时候
[23:09] 其实那个好消息
[23:10] 就会一波接着一波
[23:11] 不停的出来
[23:12] 这个好消息是在讲说
[23:13] 对于这些股票投资者来说
[23:16] 摸自己的软蛋应该都蛮紧张的
[23:19] 公司应该有开始给一些压力了
[23:21] 因为我们持续的看到
[23:22] 蛮多涨价性跑出来
[23:23] 就连我们可能在几个月前
[23:24] 跟大家提到
[23:25] 没这么看好的店主
[23:27] 那也都开始出现很多的涨价
[23:29] 那只是店主的涨价
[23:30] 因为他用到大量的银
[23:32] 所以我们初判的
[23:33] 他应该还是跟成本是比较有关系的
[23:35] 但如果说店主的涨价
[23:37] 都可以走非常的顺利的话
[23:38] 那很缺的电容跟电感
[23:40] 应该就会非常的严重
[23:41] 那所以在MLCC或是铝电容这边
[23:44] 应该在后面都可以
[23:46] 持续出现新的状况
[23:47] 那我们都知道说
[23:48] Panasonic之前有跟大家聊到
[23:49] 其实已经是数个月的一个新闻
[23:51] 就是说他想要慢慢的去
[23:52] Face out一些旧的产品
[23:53] OSCon的产品
[23:55] 那再来他们在SPCAT这边
[23:57] 就是根据几个
[23:58] 我觉得蛮reliable的source
[24:01] 是有提到说他们要去做涨价
[24:02] 而且那个涨价的幅度是蛮大
[24:04] 是直接到三成
[24:05] 那以前看到这个三成这种数字
[24:07] 我们会先稍微再打一个问号
[24:08] 那只是说
[24:09] 因为我现在已经也看到
[24:10] 朋友丢给我的
[24:11] 像一些电阻产品
[24:12] 它都直接涨到三成了
[24:13] 所以我觉得这个可信度
[24:15] 就會變很高
[24:16] 那Panasonic預計在6月初左右就會開始
[24:19] 不一定會發出漲價信
[24:20] 這什麼意思呢
[24:21] 有發漲價信的話一般是這樣
[24:23] 就是說我宣布我要漲價
[24:24] 那可能哪時候會生效之類的
[24:25] 然後接著可能每一個Q
[24:26] 我們就review一次
[24:27] 然後再漲一次
[24:28] 類似像記憶體這樣子
[24:29] 合約價格持續的去做調漲
[24:30] 那如果說他沒有去把一個漲價信丟出來
[24:33] 可是在業界大家開始看到漲價的話
[24:34] 那就會變成說
[24:35] 他有點類似是現貨漲價的一個模式
[24:38] 那這個就很可怕
[24:39] 這個就可能會有點像是2018被動元件之亂
[24:42] 反正你會開始注意到
[24:43] 有一些大廠會宣布說
[24:44] 他現在停止接單
[24:46] 當你看到有人停止接單的時候
[24:47] 你就知道說This is it
[24:48] 就要出大事了
[24:49] 那這個可能我們就稍微靜待一下
[24:52] 我覺得會發生
[24:53] 就是後面會看到有一些廠商
[24:54] 可能就會開始跟大家講說他宣布某些東西他可能不做了或是哪些東西他要停止接单那今天如果说要来跟他拿货的话那可能就要直接接受他的涨价他是某个程度的变相
[25:05] 让大家一定要去吃他的涨价
[25:07] 那这个可能在后面已经持续的
[25:10] 已经算是那种
[25:11] 就是高级率会发生的
[25:12] 那我们现在已经在采购端这边
[25:14] 是有看到这样子的一个情形
[25:15] 那有趣的是
[25:16] 就其实大概在一两个月前的时候
[25:18] 我自己有去找一些
[25:19] 产业的厉害人士有去做讨论
[25:22] 那时候就有去提到说
[25:23] 其实我们已经可以看到
[25:24] passive这边有一些缺口出来
[25:26] 这个缺口可能还蛮大
[25:28] 可是当时其实在市场里面
[25:29] 最热衷的一个说法
[25:30] 就是说被动元件的扩散超简单
[25:32] 所以这个一定没有问题
[25:34] 但现在你会开始注意到说
[25:36] 有蛮多人会去改变他的说法
[25:38] 当然这是好的
[25:39] 就大家一上车也不错
[25:40] 可是总之就是
[25:41] 因为我们也有看到
[25:42] 这个缺口的变化产生
[25:44] 所以后面势必是会有一些
[25:46] 不一样的情形发生
[25:47] 当然有些厂商一定就会选择
[25:49] 要去扩散或什么的
[25:51] 只是扩散有没有办法
[25:52] 在短期内去压制掉这些需求的抱枕
[25:57] 导致的涨价
[25:58] 我觉得也是需要时间
[26:00] 就没有这么快
[26:01] 我觉得像那时候的被动原件之乱
[26:02] 差不多大概一到两年左右
[26:05] 可是你那个产能开出来也不会这么快
[26:07] 你的新的产线要拉没有这么快
[26:09] 因为大家如果突然间fomo的话
[26:10] 那会直接进入一个快速拉货的模式
[26:13] 特别是像Panasonic如果说要开始
[26:14] 正式的宣布涨价之后
[26:16] 大家都会想要去抢
[26:18] 为什么因为我现在不抢的话
[26:19] 那可能后面就会再被涨更多
[26:21] 所以一瞬间会变成
[26:22] 就是本来看起来
[26:23] 就类似那种
[26:24] 记忆体刚开始的时候
[26:25] 大家也是讲说
[26:26] 它应该是还好
[26:27] 因为可能中国这边
[26:28] 可以扩产
[26:28] 那C可以扩产
[26:29] 可是后来就发现说
[26:30] 因为那个是怎么讲
[26:31] 远水救不了近火
[26:33] 所以当这个事情发生的时候
[26:34] 其实它的速度
[26:35] 会是很快的
[26:36] 那当然它会有一个时间差
[26:37] 就是说等到某个时间之后
[26:39] 那当然就有可能
[26:40] 会有新的扩产的东西进来
[26:41] 然后去缓解掉
[26:42] 但是也不排除
[26:43] 因为用量真的太大
[26:44] 所以你扩产的东西
[26:45] 你用undershoot之类的
[26:46] 以这个CCL
[26:48] 或者说载板来说的话
[26:49] 其实在这一波
[26:50] 就可以很明显看到
[26:51] 这样子的一个状态
[26:51] 就是说日本跟韩国人
[26:53] 其实在扩产的速度是太慢
[26:55] 或者说他们是站在一个
[26:56] 比较保守的心态
[26:57] 或甚至是像记忆体
[26:58] 他们是蛮多厂商都直接
[27:00] 他知道会好
[27:01] 他也不想要扩产的
[27:02] 只要他在扩产方面的态度
[27:04] 没有很积极的话
[27:05] 都反而会加剧
[27:06] 这些事件的影响
[27:07] 所以就算是像记忆体这种
[27:09] 就是他在过去
[27:09] 其实是盘整了蛮长一段时间
[27:11] 只是一段时间之后
[27:12] 大家就发现说
[27:13] 没有这东西
[27:14] 就是会很缺
[27:15] 所以即便在盘整的时候
[27:16] 很多人会丢一些鬼故事出来
[27:17] 但就是缺就是缺
[27:18] 那后面反正市场终究是会去反映
[27:21] 它fundamental的一个状态
[27:23] 所以有时候它可能只是提早动了
[27:25] 然后接着就要恒一段时间
[27:26] 但如果基本面是这样子的话
[27:28] 最后面都还是会跟上
[27:29] 所以目前是有注意到说
[27:31] 因为AI导致的disruption
[27:33] 是越来越严重
[27:35] 而且它蔓延的范围是越来越大
[27:37] 如果说后面大家有看到
[27:39] 大厂去宣布说什么停止接单的话
[27:41] 那就是正式确定这个趋势的展开
[27:44] 那现在都只能够算是
[27:46] 提早的一些speculation
[27:47] 因为大家可能已经注意到
[27:48] 有些报价上去
[27:49] 那可能注意到有些Letan
[27:51] 交期已经拉长
[27:52] 可是呢他还并没有进入一个
[27:54] 就是那种疯狂涨价的一个状态
[27:56] 那如果要看到疯狂涨价的状态
[27:58] 就是开始注意到有大厂跟你讲说
[28:00] 他要控货
[28:00] 然后他要去停止结贷
[28:02] 那就是了
[28:02] 所以这个是大家在后面
[28:04] 可以关注的一个重点
[28:05] 那总之呢
[28:06] 就在市场里面的题材
[28:07] 其实都还蛮多的
[28:09] 其实除了这个被动元件之外
[28:10] 我自己都還是蠻喜歡像是光
[28:12] 或是一些成熟製程一些Power
[28:14] 因為Power在過去幾集應該有跟大家稍微提一下
[28:17] 總之我們看到Legacy這邊是狀態很好
[28:19] 但是Legacy裡面偏向Consumer的
[28:22] 我們沒有這麼看好的原因
[28:23] 認為它只是一個補庫存的行動
[28:25] 可是在Power這邊是因為新的電源櫃
[28:28] 它就是用到很多Power Components
[28:30] 所以一些離散元件可能表現都非常好
[28:32] 我們也注意到美系的大廠都持續的去漲價
[28:35] 上次有提到說如果羅姆也去做漲價的話
[28:37] 那就可以確立這個趨勢
[28:39] 因為日本人一般動作最慢
[28:40] 然后后来就有听众讲说
[28:41] 罗姆很快就要看到涨价线出来了
[28:42] 所以在Power这边也可以注意
[28:44] 所以市场面下可以注意的题材
[28:46] 我觉得是还蛮多的
[28:47] 那在这波修正就会觉得
[28:48] 心中是比较怎么样
[28:50] 舒服一点
[28:52] 就会认为
[28:52] 因为我已经知道要看什么东西了
[28:54] 那反正总之
[28:55] 先看市场底要怎么地方
[28:56] 那可能就要说
[28:58] 你不想要太FOMO的话
[29:01] 你就可以等到说
[29:02] 回涨之后我再来看
[29:03] 要买什么东西
[29:04] 那只是对我们这些
[29:05] 可能很多成本是在超下面的地方的人
[29:07] 就会觉得
[29:08] 反正我现在先买也没差
[29:09] 所以就持续的去往这些方向去做布局
[29:11] 大概跟大家聊一下
[29:12] 总之可以注意到
[29:14] 就是台湾跟美国大盘
[29:15] 都开始产生一些叙事的改变
[29:17] 在美国这边就是
[29:18] 过往被大家看很坏的software
[29:20] 已经开始有蛮多东西跑去行高
[29:22] 特别像资安这一块
[29:23] 这就可以去稍微注意了
[29:24] 台湾这边就是一些老AI
[29:26] 看起来已经是有一些软掉的迹象
[29:29] 我个人也是认为说
[29:30] 因为他下杀的幅度太大
[29:31] 所以短期内应该不会有人
[29:33] 想要立刻去帮这些人解套
[29:34] 所以再搭配金管会的一些处置
[29:38] 就是在台积电这边去调上线
[29:40] 我觉得这资金会产生一些轮动
[29:42] 那当然轮动的结果
[29:44] 就直接看市场的表现是最快的
[29:46] 所以就等到下礼拜
[29:47] 修正告一个段落
[29:48] 你看谁先冲回去
[29:49] 那可能就是我们
[29:50] 接下来会锁定的一个目标
[29:51] 大概这样子
[29:52] 那简单给大家分享一下
[29:53] 那接下来我们去Q的部分
[29:54] 那一样我们稍微跟大家提一下
[29:56] 就是在这个Q&A
[29:57] 下礼拜六我们是念Apple Podcast
[29:59] 然后礼拜三是念Spotify的留言
[30:01] 因为可能有些新来的不知道
[30:02] 那稍微讲一下
[30:03] 那第一位基隆谢梦工
[30:05] 无情大盘仔
[30:06] 大家好您好
[30:07] 请问有没有一些
[30:07] 比较简单好上手的电动啊
[30:09] 我也是因为工作时间
[30:10] 比较零碎的小色处
[30:12] 然后涉及游戏老了一直输
[30:14] 就不想玩了
[30:15] 想要玩单人游戏
[30:16] 想问挨打游戏专家的意见
[30:18] 你以前提过的异形工厂
[30:20] 世纪帝国都蛮喜欢的
[30:21] 但是我世纪帝国是用看的
[30:23] 其实后来我发现说
[30:24] 看别人打电动
[30:25] 甚至是比自己打电动开心
[30:27] 就是你自己打的时候会紧张嘛
[30:29] 手会流汗嘛
[30:30] 看别人就可以笑看
[30:31] 还可以中间跑起来去尿尿之类的
[30:33] 所以看别人打电动
[30:34] 真的是还蛮过瘾的
[30:35] 那如果自己要玩
[30:36] 然后又没有什么时间的话
[30:37] 以前我是不会这样推荐
[30:39] 可是近年的
[30:40] 我真的就直接跟大家推荐
[30:41] 我觉得手游是一个不错的选项
[30:43] 甚至课点精都是很好的
[30:44] 那像我自己目前最喜欢的
[30:46] 就是尼姬
[30:46] 我觉得尼姬
[30:47] 真的是一款非常棒的游戏
[30:48] 除了可以去看到很多美考之外
[30:50] 然后再来就是在剧情方面
[30:52] 真的是超级用心
[30:53] 所以老实讲
[30:54] 就是你的体验会是这样
[30:55] 你会因为美考而来
[30:57] 你是文香而来
[30:58] 但是你因为剧情而留下
[30:59] 所以我觉得你或许
[31:01] 可以试看看手游
[31:02] 那它的作业感也没有到很重
[31:04] 所以可能可以试试吧
[31:06] 那再的话呢
[31:07] 当然就推荐我们
[31:07] 肖南之本的
[31:08] 这个红眼路笔
[31:09] 然后跟后面的
[31:11] 暗花夜战
[31:12] 那这个东西呢
[31:13] 怎么讲
[31:14] 因为它是比较偏向是
[31:15] 中间是可以稍微
[31:17] 暂停一下的游戏啦
[31:18] 那可能就比较适合
[31:19] 地方爸爸
[31:20] 就是有机会会
[31:21] 被妈妈可能
[31:23] call gang之类的
[31:24] 或者说
[31:24] 孩子要叫你去念故事
[31:26] 你就可以暂停
[31:26] 然后再回来玩
[31:27] 所以我们的游戏
[31:28] 可能是还蛮适合的
[31:29] 我觉得后面可以参考一下
[31:30] 那下面一位
[31:31] 乌啊
[31:32] Dizza人美心善
[31:33] 孟公区卡您好
[31:34] 我从疫情前一路听节目到现在第一次留言
[31:36] 每次都喜欢听你分享日常跟QA
[31:39] 非常轻松自在
[31:40] 也常常边听边笑
[31:41] 想透过这个优质节目
[31:42] 请您帮我用最有元气的声音
[31:45] 祝最帅最有型的江欧巴
[31:47] 5月20号生日快乐
[31:49] 谢谢你一直以来的照顾
[31:50] 也祝你们全家跟所有听众平安健康
[31:53] 甜甜开心
[31:53] 我们祝江欧巴生日快乐
[31:55] 下面一位
[31:55] Kevin
[31:56] 第一次留言测试
[31:58] 孟公区卡
[31:58] 如果有一个人姓范
[32:00] 态度冷冰冰的
[32:01] 你可以叫他什么
[32:02] 叫他态度好一点
[32:04] 两分
[32:06] 我以为他要讲饭饼饼
[32:07] 那就只有一分
[32:08] 所以这个稍微高分一点
[32:10] 两分
[32:10] 还是超难笑
[32:11] 不要来留这种很难笑的东西
[32:13] 下面一位
[32:13] 人妻好吃不黏牙
[32:15] 黑兽的报恩
[32:16] 你好梦宫
[32:17] 我是台南卢卢蜜
[32:18] 很久以前介绍
[32:19] 大家看黑兽
[32:20] 大家应该很喜欢黑兽系列的影片
[32:22] 另外最近我得知
[32:23] 我的一位人妻朋友刚离婚
[32:25] 现在是不是有机会跟她在一起
[32:27] 每次看到她都好想
[32:28] 我们这边虽然是让我昏心不济
[32:32] 可是这个人留言也太像吃汗的吧
[32:34] 不要在网络上耍变态
[32:36] 如果说需要发泄的话
[32:38] 赶快跑去敲墙
[32:39] 不要在网络上发作
[32:41] 下面一位
[32:41] 想赚钱想到疯了
[32:44] 想听海大的故事
[32:45] 强快到目前30岁
[32:46] 职业是领固定薪的公务员
[32:47] 年薪落在百万上下
[32:49] 就跟大多数人一样
[32:50] 是个不好不坏不上不下的普通上班族
[32:53] 目前在股票市场的起始资金
[32:54] 大概是100万
[32:55] 强快到怎么样让资产突破
[32:57] 从百万累积到千万
[32:58] 资产的操作心法
[32:59] 像是ETF跟个股的比例之类的
[33:01] 或是手上的股票
[33:02] 最多不要超过几档
[33:03] 要买突破前高的强势股
[33:05] 还是要做底部起涨的波段
[33:07] 才有机会呢
[33:07] 然后左侧右侧
[33:08] 然后后面斜一大堆问题
[33:09] 不是啊
[33:09] 你就从以前听吧
[33:11] 就从以前听
[33:11] 这都是以前讲到烂掉的东西
[33:13] 我们就不要在那边
[33:14] 占大家时间
[33:15] 下面一位
[33:15] 台中乐笔
[33:17] 来帮诺亚歌单加歌
[33:18] 某关让诺亚安哥听女团
[33:21] 就可以名正言顺的看舞台
[33:22] 你觉得如何
[33:23] 五月韩国女团大量回归
[33:26] 可以问LavGG
[33:27] 他很熟
[33:28] 我下个月要去搜尔看
[33:29] baby monster
[33:30] 推荐给你
[33:31] 祝猛公全家幸福平安快乐
[33:33] PS如果你被Lisa踢飞到墙上
[33:35] 我可以帮忙你挖出来
[33:36] 这其实是一个蛮好的主意
[33:38] 但我应该不会去做这种计划通的事情
[33:40] 我真够说就是可能有朝一日
[33:41] 我儿子会喜欢一些
[33:42] 他就喜欢那个什么猎魔女团
[33:45] 直下好像又突然不见了
[33:46] 这是过去不是有一段时间
[33:47] 大家都在听吗
[33:48] 如果他找我去看
[33:52] 我可能也蛮开心的
[33:53] 因为我觉得那个C位
[33:54] 那个真的长得蛮漂亮的
[33:56] 就是有可能可以借由儿子
[33:57] 然后说我是陪儿子去看
[33:59] 但我自己应该是不会有这样的规划
[34:01] 兄弟们
[34:01] 大哥大姐让一让
[34:03] 祝最近获利创新高的阿狗生日快乐
[34:06] 孟公取嘎你好
[34:07] 阿狗是我从高中认识到
[34:08] 现在超过15年的好友
[34:10] 我们也都是孟公取嘎的忠实听众
[34:12] 和我不同
[34:13] 他是真的认真笔记每次节目的内容
[34:15] 经过自己的思考研究
[34:17] 会应用在他操作里面
[34:19] 所以每次听他分享获利都会
[34:20] 跟一直喊请客喇叭起
[34:23] 但也是真的为他开心
[34:25] 前方有猛男的声音
[34:26] 祝他生日快乐
[34:27] 财运爱情事业都汪汪
[34:29] 谢谢你
[34:30] 这个阿狗
[34:30] 该不会是我认识的阿狗吧
[34:31] 是住在林口
[34:32] 然后在这个CSP上班的阿狗吗
[34:34] 如果是的话
[34:35] 这个阿狗很屌
[34:36] 我跟他认识就是因为
[34:38] 我去林口的狗公园遛狗的时候
[34:40] 我想说
[34:40] 怎么可能有人跟我一样
[34:42] 时间这么弹性
[34:43] 整天都在外面遛狗
[34:44] 那时候他每天
[34:45] 白天下午
[34:46] 每天都看到他
[34:47] 然后他就站在那边
[34:47] 然后就跟我一样
[34:48] 我就站在另外一个角落
[34:49] 他就站在另外一个角落
[34:50] 然后后来我就去找他搭话
[34:51] 然后还知道说
[34:52] 他也是我们地方听众
[34:53] 然后后来我们就变朋友
[34:54] 会去打电动
[34:55] 他也是我们林口的阿狗
[34:56] 我不知道是不是阿狗
[34:57] 如果是的话
[34:57] 那真的世界还蛮小的
[34:59] 反正总之我们祝阿狗可以生日快乐
[35:03] 平安快乐
[35:04] 下面一位
[35:04] 这期节目就拜拜
[35:05] 古来认真的边缘人
[35:07] 五星奉上留言测试
[35:08] XXXX
[35:09] MK你还会喝啤酒吗
[35:10] 记得您曾经在IG story
[35:12] 放了一瓶惠比寿
[35:13] 我就一直觉得您喜欢喝惠比寿
[35:15] 那话说我边缘人股票
[35:17] 原态还抱着的话
[35:18] 这几天涨都还没有涨回我的成本价
[35:21] 但我当时卖元泰买了群联
[35:23] 我想停损也是一件
[35:25] 在股票市场里面需要学习的事情吧
[35:27] 严华的话还抱着
[35:28] 希望好公司会有好结果
[35:30] 所以这就是那一位
[35:31] 被我认证是边缘人的听众
[35:32] 你看他的说法还蛮有趣的
[35:34] 他把元泰卖掉
[35:36] 然后换群联
[35:37] 然后吊喷
[35:38] 如果说没有卖的话
[35:39] 那可能到现在都还没有回本
[35:40] 没错
[35:41] 所以其实尽量去忽略一些沉默成本
[35:43] 不要说什么
[35:44] 我曾经买100块
[35:45] 然后现在50块
[35:46] 我要等到回100块再卖
[35:47] 这个心态是错的
[35:48] 就你不要看过去
[35:50] 你要看说
[35:50] 从现在我去哪个地方
[35:52] 最快可以再让我翻倍
[35:54] 而不是说
[35:55] 我在这个地方怎么样待
[35:56] 可以待到回去买的地方
[35:57] 这其实超级重要的一个观念
[35:59] 所以这个是大家都要谨记的
[36:01] 希望兄弟后面顺利
[36:03] 然后再讲说会不会去喝啤酒
[36:04] 一般来讲是这样
[36:06] 当我今天在专业某一个领域的时候
[36:08] 我就会去往那边打好打满
[36:09] 所以像前阵子是清酒
[36:10] 就整天喝清酒
[36:11] 然后下来就整天喝红酒
[36:12] 所以又不会喝啤酒
[36:13] 我老婆已经跟我大胆预言说
[36:15] 三个月后
[36:15] 我大概就不会再喝红酒
[36:17] 不知道
[36:17] 所以我们再观察看看
[36:18] 那惠比说是一个很好喝的啤酒
[36:20] 没错我很喜欢
[36:21] 下面一位
[36:21] amygm307
[36:25] 买菜煮饭洗碗一条龙的SSX及女友
[36:29] 孟公去嘎您好
[36:30] 我是疫情前的老听众
[36:32] 中间断锥
[36:33] 因为男友是您的忠实大粉丝
[36:35] 又被带回来这里
[36:36] 刚回来时不懂留言区
[36:37] 怎么会变成生日祝福大会
[36:39] 听久才觉得平安健康
[36:40] 生日快乐这种小愿望最珍贵
[36:42] 那可以请孟公别模仿川普跟猛男
[36:45] 就用本人最性感的声音祝命
[36:46] 5月16号生日快乐吗
[36:48] 那可以问巧虎
[36:50] 问直男男友要不要结婚
[36:51] 他回可以
[36:52] 那这个可以是什么意思
[36:54] 那祝孟公全家平安喜乐爱您
[36:57] 其实这个男友就跟我是同一个类型的
[37:00] 就如果老婆在
[37:01] 我们还没有结婚之前
[37:02] 问我说要不要结婚
[37:03] 我又跟他说可以啊
[37:04] 来规划一下看是什么时间
[37:05] 就是没有那一种
[37:06] 我不知道就你们想象的
[37:08] 是不是有一个男生
[37:09] 然后你问他说要不要结婚
[37:10] 然后他就会故意不跟你讲话
[37:11] 然后接着他就给你一个超大的惊喜
[37:13] 带你到什么美丽华摩天轮
[37:14] 然后可能背后拉出一个花
[37:17] 然后还会放个烟火之类
[37:18] 然後跪下跟求婚
[37:19] 我跟你講這種的話
[37:19] 你不要找職男
[37:21] 不要找宅男
[37:21] 也不要找什麼科技業新規
[37:23] 或什麼
[37:23] 因為我們都不會做這種事情這種你要去找8加9我其實跟大家推薦8加9的男生就雖然可能當然他们有这个比较不好的一面狼若回头什么有的没有小但是8加9是我看过台湾男性
[37:34] 这也是为什么
[37:35] 他们可能生育率偏高的一个主因
[37:37] 他们是极少数
[37:38] 还有在准备惊喜的
[37:39] 他们会开着
[37:40] 可能那种外汇C300之类的
[37:42] 然后那个后车厢打开来
[37:44] 里面会有一些
[37:44] 什么花束跟气球飞起
[37:46] 还有一些绑带
[37:47] 那即便可能
[37:48] 像之前有一个求婚到一半
[37:50] 就警察经过
[37:50] 然后林检察发现说
[37:51] 刚才里面有KEM
[37:52] 但至少8加9在惊喜的准备上
[37:55] 这个是很多台南都跟不上的
[37:57] 台南最会准备惊喜的
[37:59] 那一群人应该就是8加9
[38:00] 其他我觉得
[38:02] 因为就是说你的时间花在哪
[38:04] 你的成就在哪
[38:05] 时间也是有限的
[38:07] 都在忙着赚钱
[38:08] 都在忙着工作
[38:08] 都在忙着打手游
[38:09] 他可能就没有空去搞一些
[38:11] 有的没有的事情
[38:11] 所以他是一个取舍
[38:14] 我觉得当然这不是一个
[38:15] 帮自己开脱的好事
[38:16] 我还是会鼓励各位男生
[38:18] 要给老婆惊喜
[38:18] 像我跟大家分享我的求婚
[38:20] 我就说我做得很烂
[38:21] 希望大家不要跟我一样烂
[38:22] 是这样子
[38:23] 只是跟大家说明一下
[38:25] 直男的逻辑在长怎样
[38:27] 如果说你真的要有一个
[38:28] 很棒的求婚体验的话
[38:29] 真的找8加9
[38:30] 8加9一定会给你
[38:31] 很棒的一个体验
[38:32] 也希望你们可以
[38:34] 早日快乐结婚
[38:36] 可以
[38:37] 即将化
[38:39] 白头鞋
[38:40] 下面一位
[38:41] 不白的小白
[38:43] 性感梦工
[38:44] 是我老公留言测试
[38:45] 周董的歌
[38:45] 请老公唱一下
