[00:00] 欢迎收听谷爱,我是孟公,本集节目由NordVPN赞助
[20:36] 毛利数字可以漂亮一点
[20:37] 可是如果今天是
[20:38] 去走一个Buy and Sell的模式的话
[20:40] 它接越多AI伺服器
[20:42] 其实毛利数字会往下凉
[20:43] 就是毛利率
[20:44] 可是它本身它会赚更多钱
[20:46] 因为它的单价是更高的
[20:47] 那是一个数学游戏
[20:48] 但当时丢出来的时候
[20:50] 其实市场还是有些人会去讲说
[20:51] 毛利掉下来要杀它
[20:53] 最后发现就很无聊
[20:54] 那就是一个数字的变化
[20:56] 所以我还是相信
[20:57] 就这些巨头他们去做
[20:58] 这样的投资是值得的
[21:00] 然后特别是在Google这次的数字
[21:02] 你可以知道说
[21:02] 它的云就是获得了一个
[21:04] 我认为算是巨大的成功
[21:06] 然后AI呢
[21:07] 证实了就是可以赚钱的东西
[21:09] 那只是为了去持续的
[21:11] 获得更多的优势
[21:11] 他必须要花更多钱
[21:13] 那可是如果这时候
[21:14] 你转头去看一下Tesla的话
[21:15] 那Tesla也是花很多钱
[21:16] 但是Tesla花的钱
[21:18] 他的赛道就跟大家有点不太一样
[21:20] 他是在拼Physical AI这一块的
[21:22] 那所以会相对的难评价一点
[21:24] 我会认为说
[21:25] 如果你今天要我去
[21:26] 帮股价讲故事的话
[21:28] 我会觉得Google这个就是
[21:29] 我不知道你们在叠什么
[21:30] 那可是Tesla这个我可以理解
[21:32] 因为他有点像是说Meta
[21:33] 那时候要去做一些
[21:35] 主客户的时候会心想到某些东西
[21:37] 就要整个投习下去
[21:38] 那市场一定会怕他
[21:39] 因为怕说你后面去做这个投资
[21:41] 会不会写本无规之类的
[21:42] 但是如果说你是相信physical AI
[21:44] 你是相信optimist
[21:45] 机器人的未来的话
[21:47] 那你也要去相信说
[21:48] 那他就一定要做投资
[21:49] 不做投资
[21:50] 怎么会有收获的那一天
[21:52] 所以其实近期的各种数字
[21:54] 或者说财报
[21:55] 然后去导致的市场的反应
[21:57] 我越来越看不懂的主因是
[21:58] 这边要强调一下
[21:59] 就是我们会去尊重股价的一个表现
[22:01] 可是我们心中一定会有一个定夺
[22:03] 那这时候很多人会讲说
[22:04] 市场一定是对的
[22:05] 可是我们已经在过去多年的节目
[22:06] 让大家知道说
[22:07] 没有市场其实蛮容易犯错的
[22:09] 因为如果市场没有犯错的话
[22:10] 就不会有低谷掉下来给它减
[22:11] 就是后面会上去的话
[22:13] 其实就代表说
[22:13] 当下可能某个程度上来说
[22:15] 你拉一个比较长的horizon
[22:17] 那是市场的犯错
[22:18] 他们可能因为某些理由被吓到
[22:20] 可能是恐慌
[22:21] 可能是一些流动性的挤压
[22:22] 或什么的
[22:23] 那导致会有一些崩跌的产生
[22:25] 但就是还是得站在一个
[22:28] 因为我们会比较以产业
[22:29] 作为一个聚焦的一个前提之下去看
[22:32] 那我们会去承认说
[22:34] 有些东西我们看不懂
[22:34] 那我们去承受它的伤害
[22:36] 但是我们会尽量
[22:36] 还是把自己position在
[22:37] 就是这些我们知道说
[22:39] 未来产业是不错的
[22:40] 所以像另外一家公司呢
[22:42] Texas Instruments
[22:43] 就是德州仪器
[22:44] TXN或是TI
[22:44] 它其实也是类似的道理
[22:46] 它在这次的电话会
[22:47] 基本上它释出一个
[22:48] 超级好的讯号
[22:49] 就是告诉大家说
[22:50] 它就是看到一个
[22:51] 全面性的复苏
[22:52] 东西都上来
[22:52] 电话中心表现很好
[22:53] 那他们开始涨价
[22:55] 这也是我们在几个月前
[22:56] 就跟大家说
[22:56] 我们注意到
[22:57] 功率元件或者说
[22:58] 类比半导体
[22:58] 他们其实最近都有一个涨价的情形发生
[23:02] 各家厂商都有
[23:03] 只是当然为什么这个涨价
[23:05] 没有办法去驱动他的股价
[23:07] 或者是市场会一直跌
[23:08] 老实讲我们真的也不知道
[23:09] 但就是知道说
[23:10] 他在后面的产业发展
[23:11] 应该是持续的转好
[23:13] 公司也是这样跟大家说
[23:14] 所以现在的市场环境
[23:16] 有点像是你开坏的财报
[23:19] 你活该会跌
[23:21] 可是你开好的财报
[23:22] 市场也是要惩罚你
[23:24] 也是要跌
[23:25] 所以比较难去解释为什么
[23:27] 可是我们还是会尽量的
[23:28] 就是聚焦在产业的一个发展上
[23:30] 那这边稍微的跟大家更新一些
[23:31] 我们最近在产业上所获得的一个资讯
[23:34] 那先跟大家分享一个好消息
[23:36] 就是如果你后面是要去组电脑的话
[23:39] 从我们的角度看
[23:40] 在第四Q到明年的第一Q左右开始
[23:43] 其实我们已经注意到
[23:44] 记忆体的价格会flat
[23:45] 那听到这边不用太紧张
[23:47] 可能大家听到记忆体的价格会flat
[23:49] 想说是不是涨价急速
[23:50] 是不是要爆炸了
[23:51] 其实目前用我们的角度看
[23:53] 跟身边的一些朋友讨论之后
[23:55] 我们认为说
[23:56] 可能是因为川普政府他们要介入
[23:58] 因为前阵子已经有放出很多新闻
[24:00] 就讲说韩国这些人
[24:01] 毛利率三星可能很快就要看到80
[24:04] 美光毛利率冲上去
[24:05] 赚到翻掉
[24:07] 可能就会觉得说
[24:08] 靠北这个AI的发展是大家要一起
[24:09] 然后你们趁我打击在那边抢钱
[24:11] 当然有些人会帮他们说话
[24:12] 以前记忆体也很惨或什么
[24:14] 可是现在是真的就是赚到烂掉
[24:15] 他们可能一年就是赚好几年的钱
[24:17] 所以应该是比较偏向
[24:19] 虽然现在讲有点莫名其妙
[24:21] 良心发现
[24:22] 就是真的赚太大
[24:24] 像是魏哲嘉在自己台积电的厂子
[24:26] 已经多次去讲了
[24:27] 他也很羡慕他的客人
[24:28] 为什么可以毛利这么高
[24:29] 好像是要把客人掐死一样
[24:31] 但现在应该是有一个那种良心发现跟踩刹车
[24:34] 但这个可能已经是包含了
[24:36] 因为他在EQ跟2Q
[24:37] 那都是一个100%的一个征服
[24:39] 然后到接下来的3Q
[24:40] 是开始去往收敛的方向
[24:42] 落在可能我们目前看
[24:44] 可能大概10到30%之间都有
[24:45] 去看各种不同的料号跟应用
[24:47] 那接到4Q就是会收敛到可能是10%以下
[24:50] 接下来应该就会是维持相对flat的一个状态如果說AI沒有什麼新的爆炸性應用逼大家立刻要再去上修跟这个CAPEX投资的话应该就会维持在这个地方
[25:01] 大家也应该有看到新闻去报说
[25:03] 中国这边开始拒绝涨价
[25:05] 什么叫拒绝涨价
[25:06] 拒绝涨价人家还是不会卖你
[25:07] 因为不可以用抢的
[25:08] 他们的意思就是他们要转去CXMT
[25:10] 他们要转去中国国产
[25:12] 可是外面的世界
[25:13] 因为我们都知道说
[25:14] 目前CAPEX都还是持续在上修的一个trend
[25:17] 所以可能你未来有一天会看到
[25:19] 有报道开始写出来说
[25:20] 那个记忆体flat
[25:21] 然后市场会屌杀一顿
[25:23] 但这边我们先讲
[25:24] 我们认为
[25:25] 那个是就是
[25:26] 大家发现说
[25:27] 这个利润拉到某个位置
[25:28] 在接下来可能跟客户
[25:29] 或是跟美国政府
[25:30] 都不好交代
[25:31] 所以可能提早去做一个修正
[25:33] 因为前面真的涨很多
[25:34] 但是应该还是有机会
[25:34] 可以看到
[25:35] 记忆体相关的一些原厂
[25:37] 那个毛利会开到80去
[25:38] 那个真的非常的恐怖
[25:40] 那其他的原件
[25:40] 我们都还是持续的注意到
[25:42] 在市场上都是涨价
[25:44] 所以如果我们今天
[25:45] 是用产业面的角度来看的话
[25:46] 真的就是可以直接讲说
[25:48] no change
[25:49] 并没有太多的改变
[25:50] 那市场只要新丢出什么样的议题
[25:53] 我们都会立刻在这边去debunk
[25:54] 也不是说我们是那种超级死多头
[25:56] 只是就就是论事
[25:57] 那像Kimi这个
[25:58] 当时也是有一些那种FUD的情绪跑出来
[26:02] 只是很快就被debunk掉
[26:04] 就是让大家知道
[26:04] 其实它是意味着
[26:06] 就是它可能要用到的量是更大的
[26:09] 那以及月资安面自己都讲了
[26:10] 我的目前的算力是不够用的
[26:13] 所以目前我们从基本面角度看应该还好
[26:16] 但有可能就是有一些我们不知道的事情
[26:19] 那这个可能在
[26:21] 我们节目的周期里面
[26:22] 或是大家的生涯里面
[26:23] 就遇过很多次
[26:24] 最近一次就是去年的三月
[26:26] 就一开始你都不知道在叠什么
[26:27] 然后最后面
[26:28] 你终于知道在叠什么的时候
[26:30] 就啪啪啪
[26:30] 然后就叠完了
[26:31] 就结束了
[26:32] 所以要有一个心理准备
[26:34] 要面对后面可能会发生这样的事情
[26:35] 所以为什么就是说
[26:37] 可能在每次的大叠
[26:38] 你不应该去开太大的杠杆去抢
[26:40] 当然一定有些人会开杠杆去抢
[26:42] 然后抢到之后就跟你讲说
[26:43] 你看这个地方
[26:44] 就是本来就是要开杠杆
[26:45] 但我们不喜欢
[26:46] 把自己放在险境里面
[26:47] 有时候可能慢一点
[26:49] 你至少可以活得久一点
[26:51] 所以目前会比较尊重
[26:52] 就是说我们可能有一些未知的东西
[26:55] 在市场上正在酝酿中
[26:56] 不然好难去解释为什么会这样
[26:58] 就有可能就单纯的去修估值
[27:00] 那修到某个地方
[27:01] 目前我们看产业可能都还是OK的
[27:03] 那直下比较险恶的就是说
[27:05] 指数这边开始又出现一些破底的出现
[27:08] 那如果说破底持续
[27:10] 然后或是开始加速的话
[27:11] 那可能就要比较小心一点
[27:14] 那当然每个人有不同的方式
[27:15] 去hedge掉这样的风险
[27:16] 有些人可能是使用
[27:18] 就是他拿多一点现金
[27:20] 有些人可能会去放空单
[27:21] 像我自己这一破的话
[27:23] 我觉得应该就会是去腾现金
[27:25] 我目前还没有去腾
[27:26] 我就是在个股之间切来切去
[27:28] 然后还发现说
[27:29] 有时候以为自己是苏马克
[27:30] 像礼拜五的早盘的台股
[27:32] 看到说
[27:33] 靠北那个卖压感觉已经
[27:35] 卖不太下去了
[27:36] 左边的买盘
[27:36] 一些那种主流的股票
[27:38] 感觉已经没有人要接了
[27:39] 可是同时一直卖又砸不下去
[27:41] 然后做多
[27:42] 做多之后
[27:42] 果然早盘就拉起来
[27:44] 然后拉起来之后
[27:45] 就想说稳了
[27:46] 这边应该就是了
[27:47] 就有後來尾盤再殺下去
[27:48] 所以現在盤很難搞的點就是
[27:50] 他一直有這樣的狀況產生
[27:51] 然後讓你好像救了一點績效
[27:53] 可是你又再被套到更多東西
[27:54] 然後接著你可能又因為說
[27:56] 有些東西已經打到你的
[27:58] 停損或是停利點
[27:59] 那你就只好再把它清掉
[28:00] 可是當你把它清掉
[28:01] 你換去新的東西
[28:02] 你可能又再一次的受到傷害
[28:04] 不管你去挑
[28:05] 可能是你現在感覺很強勢的東西
[28:07] 想說至少是有共識
[28:08] 你會被打之外
[28:09] 然後再來就是
[28:10] 你想說那疊身的東西
[28:11] 疊無可疊了吧
[28:12] 幹還是會被打
[28:13] 因為他在注意點
[28:13] 所以是真的是比較難處理
[28:15] 那如果說發現
[28:16] 自己不太會做看不懂的話
[28:18] 其實最好的一個保命的方式就是
[28:20] 維持靈感感
[28:21] 可能有點陷阱
[28:22] 然後再來就是降低交易的頻率
[28:24] 等到什麼時候
[28:25] 就等到說一些型態轉好
[28:27] 開始站回去一些主要的均線
[28:28] 當然希望它扣底不要是負的
[28:30] 這樣狀況之下可能就是會稍微的好一點
[28:32] 所以我個人是希望在下禮拜
[28:35] 應該要看到有反彈的
[28:36] 如果說還是沒有看到的話
[28:38] 應該就是有可能
[28:39] 真的市場上有醞釀一些事情
[28:41] 我們持續的再去做觀察
[28:43] 以上
[28:44] 所以目前的這個遊戲體驗
[28:47] 真的很像那種魂系的感覺
[28:49] 多做多錯 然後有很多的懲罰
[28:51] 如果你要去跑回你的魂點去撿錢的話
[28:53] 可能又會再遭受更多的傷害
[28:55] 最後面一毛都撿不回來
[28:56] 真的有點像是這樣的一個感受
[28:57] 那希望在接下來的回檔
[28:59] 大家可以好好的守住下檔
[29:01] 因為今年其實在7月以前
[29:03] 真的是一個非常好
[29:04] 好到很誇張的一年
[29:06] 那希望大家都可以
[29:07] 至少守住一些戰果
[29:09] 就是不要說什麼到最後是空手而回
[29:11] 甚至是開始賠錢
[29:12] 那可能就是一个比较不好的状态
[29:14] 那大概就这样
[29:15] 那接下来我们进入Q&A部分
[29:16] 第一位还在想ID
[29:18] 梦光安安红颜露比太好玩了
[29:19] 让我暂时忘记最近的大回答
[29:21] 但还是想问
[29:22] 称收制成怎么了
[29:23] 真的是因为魏董喊下去了吗
[29:25] 相信你足会解惑爱宁
[29:26] 其实如果说各位是真的会看盘
[29:29] 其实看盘也不是一个多难的事情
[29:31] 就是把各个族群都拉出来看的话
[29:33] 现在你就会发现这种问题
[29:34] 连问都不用问
[29:35] 你干脆你跟我讲什么媒体
[29:36] 你干脆跟我说一下什么媒体
[29:39] 就只有那种什么中石化沙小
[29:41] 那些塑化类股在涨
[29:43] 除了那些东西之外
[29:44] 可能脚踏车相对稳一点
[29:46] 但那根本就没有办法放大钱
[29:47] 就是所有科技股都在跌
[29:49] 所以一般在这种时间点
[29:51] 我觉得不用太刻意的去找理由
[29:53] 说它到底在跌啥
[29:54] 除非说它跌到比Benchmark多很多
[29:57] 以目前的科技股
[29:58] 像我们刚才前面讲说
[29:59] SOX它最低就撞了三成
[30:01] 所以严格上来说
[30:03] 你只要是泛科技类股
[30:04] 你可能在三成
[30:05] 都是在大盘的范围内
[30:07] 就其实它不一定算是跌很多
[30:09] 像你刚才讲的这个成熟制成
[30:11] 我不知道一直在讲哪一家
[30:12] 但是其实对
[30:13] 他们最近也回满身
[30:14] 但是你说特别神吗
[30:15] 没有
[30:15] 因为其实每个东西都掉下去
[30:17] 你说各种元件
[30:19] 或者说政治上power相关
[30:21] 光通相关
[30:22] 光通一堆叠到五成去
[30:23] 所以其实就是大家都叠
[30:25] 那现在状况之下
[30:26] 你不用再去问说
[30:27] 到底怎么了
[30:28] 没有怎么了
[30:29] 就是市场在做大屠杀
[30:30] 大概这样
[30:31] 下面一位Eric Wong
[30:32] 猛工你好
[30:32] 你知道吃水饺要去哪里领吗
[30:34] 当铺因为当铺
[30:35] 好啦好啦
[30:36] 那什么动物会纹内裤呢
[30:38] 因为豹纹内裤
[30:39] 想请教猛工
[30:41] 记得你某一集说过
[30:42] 大家都有黄金厨具
[30:43] 那Parentier做的算是黄金料理吗
[30:46] 那首先笑话部分的话
[30:48] Dumpling那个应该
[30:49] 5.3吧
[30:52] 然后再鲍文内贵的话
[30:53] 2分
[30:53] 蛮烂的
[30:54] 那它算不算黄金料理
[30:56] 我觉得算
[30:57] 就是Parentier的应用
[30:59] 你可以很明确的在市场上就知道说
[31:01] 它没有太多的竞品
[31:02] 那它可以去接到这些什么国防部的案子
[31:05] 或什么的
[31:06] 那个都是属于非常那种niche market
[31:08] 很特别的应用
[31:09] 你可能要过很多的法尊
[31:11] 然后或者说有很多的验证
[31:12] 或什么的
[31:12] 这种生意就是
[31:13] 基本上只有他可以做
[31:15] 目前是这样子
[31:16] 所以你从这边就知道说
[31:17] 这个东西
[31:18] 它就是某个程度的黄金料理
[31:21] 只是说有没有办法去justify
[31:22] 它的估值
[31:23] 有没有办法去支撑它的成熟
[31:26] 这个不一定
[31:27] 可是你说它产品好不好
[31:28] 那个肯定是好的
[31:28] 下面一位
[31:29] Welson
[31:30] 已经不是了
[31:32] 我是阿正
[31:33] 还记得我吗
[31:34] 把节目当佛经听的
[31:35] 26岁好爱宝
[31:36] 挂号0.0038的听众
[31:38] 我有自己的CD已经1.6倍速乘以3
[31:41] 循环播放完毕
[31:43] 驻于观念的累积
[31:44] 分析不懂没关系
[31:45] 孟公今生得我心
[31:47] 上次留言经过半年
[31:48] 毕业后在实验室当研究员外
[31:50] 也尝试了其他多元的收入
[31:52] 下次留言可以塞个小广告咪
[31:54] 祝孟公一家圣剑行挂号
[31:55] 最终要放前面
[31:56] 股票喷喷喷被钉在墙上后挖了下来
[31:58] 秋狗不用干你娘
[31:59] PS红眼鹿笔登上日本排行啦
[32:02] 期待攻上世界各地排行爱宁
[32:05] 我们旗下的作品最近跟日本都蛮有缘的
[32:08] 非常感謝這些日本朋友們的支持
[32:10] 當然我相信有些可能是在日台灣人
[32:12] 說不定他那個steam也被畫在日本去
[32:14] 但希望我們可以持續在全球都拿下很棒的成績
[32:17] 那也希望你一切順利
[32:18] 下面一位困寶
[32:19] 想到以後可能沒有骨牌可以聽
[32:21] 還是有點感傷
[32:22] 感覺很像高中畢業
[32:24] 要跟一起打屁的損友各奔東西一樣
[32:26] 有沒有考慮開一個新的節目
[32:27] 不用固定更新
[32:28] 想錄的時候再錄就好
[32:30] 掛號小石頭拍拍
[32:31] 分享生活聊聊心情
[32:33] 去讓大家偶爾線上聚聚就很棒了
[32:34] 愛您
[32:35] 這集封面可以用這紙嗎
[32:36] 放一個恐龍
[32:37] 其实这个我真的有考虑
[32:38] 因为其实
[32:39] 首先第一个就是说
[32:41] 我的节目
[32:42] 我话也跟大家坦诚
[32:44] 我最喜欢的是开头跟QA
[32:45] 其实我甚至是有点反感股票仔
[32:48] 就像我前阵子跟大家聊到
[32:49] 你知道前阵子就是有蛮多人
[32:51] 都会一直去催我
[32:52] 到哪都什么股癌说股癌说
[32:54] 我不是说我最讨厌这种
[32:55] 就是什么都我说我说的
[32:56] 因为你看后面就会尝到一些苦果
[32:58] 修正之后
[32:58] 因为你看人家在社群上
[33:00] 大量的去贴
[33:01] 所以大家就会说
[33:01] 那个股癌不是说什么
[33:03] 我就想说
[33:03] 你们这些在骂吃二手小的
[33:06] 就是你们也没有真正来听节目
[33:08] 你们就是可能在社群里面
[33:09] 大家在那边自嗨
[33:10] 在那边FOMO
[33:11] 然后最后面可能发生一些事情
[33:13] 然后又要开始去抓战犯
[33:14] 其实我觉得现在跟2021、2022比好很多
[33:17] 因为我发现投资人是还蛮理性的
[33:18] 但有时候看到你还是会很不悦
[33:20] 因为其实你就是好好的在讲你的东西
[33:22] 你也不会因为行情的变化
[33:24] 你知道像我们节目
[33:25] 我们不会因为说什么东西跌
[33:26] 我们就说一个东西是垃圾
[33:27] 我们不看跌说跌
[33:28] 我们也不会看涨说涨
[33:29] 那可是就是我们没有办法控制市场的循环
[33:32] 那有时候就是因为这样会被反倒
[33:33] 所以其实我对一些市场仔
[33:35] 我自己是蛮不喜欢的
[33:36] 那或许对
[33:38] 我自己是有在想
[33:38] 就是在可能
[33:39] 真正要大爆炸之前
[33:40] 就是要退休
[33:41] 因为我就不想再去承受一些
[33:43] 莫名其妙人的想法
[33:44] 那或是呢
[33:45] 可能就直接把这个节目
[33:46] 就完全转型成为
[33:47] 我觉得啦
[33:48] 我自己可以接受的方向
[33:49] 应该是就纯QA
[33:50] 我们就是聊天
[33:51] 那当然在聊天之中
[33:53] 你想要去问我一些
[33:54] 我自己工作的东西
[33:55] 不管是这个股票啊
[33:57] 或者说我的孩子育儿啊
[33:59] 或者我的游戏投资
[34:00] 餐厅啊
[34:01] 甜点店
[34:01] 或者什么有的没有的投资
[34:03] 或甚至
[34:03] 我自己有在想啊
[34:04] 搞不好明后年说不定也会弄个那种
[34:07] 就是功能性训练真的蛮好的
[34:09] 如果真的有教练要做的话
[34:10] 我也想去支持他们之类的
[34:12] 就是你要去聊这些东西是可以
[34:14] 可是我已经就是对于这种市场的东西
[34:16] 越来越兴致缺缺
[34:17] 特别是每次的循环之后
[34:18] 其实就是又会再稍微的懂一点东西
[34:21] 就像说像2021、2022那段时间
[34:24] 就是让我后来
[34:25] 我比较少在甚至自己的Telegram去做发言
[34:28] 因为我就发现说奇怪了
[34:29] 下跌的时候大家都是一起不好受
[34:31] 我还要去额外承担一些那种快乐宝贝的心情
[34:33] 就是是怎样
[34:34] 就上去的时候
[34:35] 没有半句谢谢
[34:36] 下来我要承担
[34:37] 就觉得
[34:37] 这种东西做久会心累
[34:39] 所以不确定
[34:40] 但我自己也不是
[34:41] 那种会恋战的人
[34:42] 所以可能就到时候再看
[34:44] 可能要么就是
[34:45] 节目可能会稍微
[34:47] 转一点形式
[34:47] 亦或是其实节目会维持
[34:49] 只是我心理素质
[34:50] 就变得更强大
[34:51] 我知道说
[34:51] 其实我要忽略
[34:52] 所有的杂音
[34:53] 我就讲
[34:53] 我认为我该讲的东西就好
[34:54] 不应该去管
[34:55] 别人怎么想之类的
[34:57] 我不晓得
[34:58] 只是我那时候
[34:59] 会这样讲的原因
[34:59] 是因为
[35:00] 因为我们不是在
[35:01] 什么下跌
[35:02] 可能之后才跟大家讲说
[35:04] 我累了
[35:05] 不要做了
[35:05] 是我在前面还在狂涨那段就讲
[35:07] 所以这其实跟股票行情
[35:08] 没有太大关系
[35:09] 就是因为你一个东西
[35:10] 你做久
[35:11] 你一定会觉得
[35:11] 就是有一点腻
[35:13] 或者说可能
[35:14] 比较没有那种新鲜感之类的
[35:16] 或许后面会找到新的方向
[35:17] 不一定
[35:17] 但我现在不会去想这个
[35:19] 因为我们生活中
[35:19] 其实太多东西要做了
[35:21] 那我自己目前还是很感谢
[35:22] 有一个节目可以跟大家分享
[35:23] 发生了什么事情
[35:24] 然后有一些那种共鸣会产生
[35:27] 那当然它一定会有一个程度的
[35:29] 怎么讲
[35:30] 就是玉带王冠必成其重
[35:31] 不是说这是王冠
[35:32] 意思就是说
[35:33] 每个事情就一定会有
[35:33] 它的正反两面之类的
[35:35] 所以可能是我自己
[35:36] 也要去学习
[35:37] 大概这样
[35:37] 那下面一位
[35:38] 包皮好痒
[35:39] 早晨射在脸上的
[35:41] 不一定是阳光
[35:42] 梦宫看完奥德赛了吗
[35:43] 记得很久以前
[35:44] 你有讲过你是诺兰粉
[35:45] 想听听你的心得
[35:46] 然后最近要开始
[35:47] 面试地域了
[35:48] 求关于你
[35:49] 保佑我面试顺利
[35:50] 成功上岸的话
[35:51] 将捐半个月的薪水
[35:52] 给台大医院
[35:54] 有哈
[35:54] 关号Apple Podcast的留言
[35:56] 似乎修好了
[35:57] 有打算换回
[35:58] 原本的留言模式吗
[35:59] 其实可以考虑
[36:00] 只是我们也在Spotify
[36:02] 我是觉得这个模式还蛮不错的
[36:03] 然后Spotify
[36:04] 以前我不太喜欢的是
[36:05] Spotify上面的股票仔超多
[36:07] 但现在Spotify
[36:08] 我觉得也蛮正常的
[36:10] 所以我们尽量还是维持一样的逻辑
[36:12] 就是一个东西如果说没有坏掉
[36:14] 我们就不要去修它
[36:15] 就先维持Spotify
[36:16] 然后之后可能
[36:17] 发现说Spotify的那种怪咖
[36:19] 会开始变多之类的
[36:20] 我们再换一个模式
[36:21] 也不一定是换回Apple
[36:23] 说不定我有在想
[36:23] 因为搞不好有些人根本
[36:25] 他可能这两个平台都不好接触之类
[36:27] 还是说用写信这也可以
[36:28] 但写信我就比较难去阅读
[36:30] 所以这个后面有状况
[36:32] 我们再来去做思考
[36:34] 再看怎么办
[36:34] 然后在奥德赛看了没
[36:35] 还没看
[36:35] 而且我听说奥德赛
[36:37] 干超扯
[36:37] 他那个票是
[36:38] 他有黄牛票
[36:39] 我朋友跟我讲的时候
[36:41] 妈傻掉
[36:41] 因为电影票理论上是
[36:43] 取之不尽用之不竭的
[36:45] 就是他不像一些
[36:47] 可能演唱会或一些表演
[36:48] 他就只有一两场
[36:49] 所以你知道
[36:50] 有些人想要在那边耍猥亵
[36:51] 你还算可以懂
[36:52] 为什么有人会这样做
[36:53] 妈的电影票
[36:55] 电影票你不就是
[36:56] 你这个礼拜看不到
[36:57] 你就看下个礼拜就好了
[36:58] 就你一定会看得到
[36:59] 所以对
[37:00] 我真够说就蛮疯狂的
[37:01] 本来你可能在网络上看到很多吐槽
[37:03] 还以为说什么
[37:04] 蛮多人会不去看之类的
[37:05] 最后发现说
[37:06] 网路的声量跟限制之中的销量
[37:08] 那还是有一定程度的落差
[37:10] 总之我应该会去看这部电影
[37:12] 如果之后发现
[37:14] 有什么有趣的东西
[37:15] 再跟大家分享
[37:16] 下面一位新手上路
[37:17] 哈喽 爱大好
[37:18] 我男友自出社会以来一直都是你的忠实听众长期布局台美股的ETF甚至投到银行账户没有剩多少现金连便当钱都要抢的地步当时的我经常觉得无言
[37:30] 但这两年也累积出一笔资产
[37:32] 可以支持我们往人生的
[37:33] 下一个阶段迈进
[37:34] 非常感谢爱大的分享
[37:35] 最后希望爱大可以用川普的声音
[37:38] 祝喜欢半夜看美股的巨蟹座
[37:41] Lion
[37:41] 哇,What a great guy
[37:43] Wonderful guy
[37:45] Tremendous guy
[37:46] Happy birthday Ryan
[37:47] 也非常恭喜你们
[37:48] 经由长期的投资累积
[37:51] 然后现在有一些收获
[37:53] 希望可以持续下去
[37:54] 下面一位
[37:55] 宅客锐王
[37:56] 孟公区卡你好
[37:57] 之前听您说
[37:58] 如果有坐在会议室前面试的机会
[38:00] 就是一种肯定
[38:01] 让最近在求职的我
[38:03] 更有勇气跟信心
[38:04] 前阵子去面试了一家公司
[38:06] 虽然有些问题没有回答的很好
[38:08] 但是感觉是近期以来
[38:10] 最不紧张的一次面试
[38:11] 那这边希望可以顺便跟观音许愿
[38:13] 如果说上了
[38:14] 愿意捐三个月20%的薪水出去
[38:16] 那另外可以麻烦孟公
[38:18] 祝我顺利取得offer吗
[38:20] 爱您也祝您全家平安健康
[38:22] 秋狗继续干你娘
[38:23] OK那希望这位兄弟
[38:24] 可以顺利的面试过关
[38:26] 下面一位低话街的台南人
[38:28] MK大家可以多分享一些
[38:30] 红颜露比团队的故事吗
[38:31] 像团队的组成缘由
[38:32] 跟怎么样想出这个游戏的内容
[38:34] 好游戏的故事值得分享
[38:36] 我发现随着年纪增长
[38:38] 对事物的激情跟热情
[38:39] 会慢慢的降低
[38:40] 就连我很爱的游戏
[38:42] 跟科技投资也是
[38:43] 就是对啊
[38:46] 年纪长大像秋狗叫你
[38:47] 你也不会再骂他了
[38:48] 那后来就慢慢的转向大盘
[38:50] 游戏时间也大减
[38:52] 年轻时听长辈说
[38:54] 羡慕年轻人的热情
[38:55] 觉得是干话
[38:56] 现在他体感是真心话
[38:57] 那后面讲的那段
[38:59] 我觉得非常的有感觉啦
[39:01] 但如果今天让你回到你年轻的身体
[39:03] 除非说你带着充满历练的
[39:05] 各种心境去体会
[39:07] 不然其实你就仔细回想嘛
[39:09] 其实当年你去看这些东西的时候
[39:11] 你也不会去想太多啦
[39:13] 你就是可能会觉得说
[39:14] 反正我一定可以一直再来啊
[39:15] 然后等到有一天你就发现
[39:17] 其实你的人生就是在倒数
[39:19] 大家会想说
[39:20] 我今天输多少钱
[39:21] 净值回多少
[39:22] 可是你有没有想过说
[39:23] 你每少一天
[39:24] 你就
[39:24] 也不要想输掉一天
[39:26] 就一天就没了
[39:27] 它跟少掉的净值不一样
[39:29] 少掉的净值可以赔回来
[39:30] 可是少掉的一天是回不来的
[39:32] 但是当你可以意识到这件事情之后
[39:34] 你就会对生活之中的一些小事
[39:36] 可能开始会多放一点心思
[39:38] 会多注意
[39:39] 但你如果去跟年轻人讲
[39:41] 你叫他说
[39:43] 你还有很好的身体
[39:44] 或是热情的时候
[39:45] 你多做一些
[39:45] 他可能也懒得叼
[39:46] 你要想說老子都沒錢了
[39:47] 我家連生活都有煩惱了
[39:48] 我下一山在哪
[39:49] 我都不太確定
[39:50] 房子買不起怎麼曉得
[39:51] 你跟我講這些我怎麼會懂
[39:53] 所以只能夠說
[39:54] 這個就是人生可能很矛盾
[39:56] 很諷刺了一點吧
[39:58] 你年輕的時候有一副完美的身體
[40:00] 可是你沒有錢
[40:01] 到老的時候
[40:02] 你的身體開始不好了
[40:03] 可是你有錢
[40:04] 你很多事情去做
[40:05] 也不像少年遊當時那樣子
[40:07] 給你一種不知道
[40:09] 就是未來充滿希望的感覺
[40:11] 你現在去體驗
[40:11] 你現在去摸摸一下
[40:12] 你可能就覺得
[40:13] 不過就是這樣子而已
[40:15] 所以我还是觉得在年轻的时候
[40:17] 可以多做一点事情要多做
[40:18] 这也是我们持续呼吁我们年轻听众
