[00:00] 歡迎收聽谷外,我是聖夢宮,本期節目由無名氏贊助
[19:43] 就是在不同的用途上
[19:44] 有不同的產品的使用空間
[19:47] 你可以這樣去做一個想象
[19:49] 只是這個事件
[19:50] 我會把它做進一步的延伸
[19:53] 以下這個延伸就比較偏向
[19:54] 是我們那種市場派的角度去講的
[19:56] 所以一些專業人士聽到
[19:58] 有可能會皺眉頭
[19:59] 但是我跟你講
[20:00] 我們很多時候
[20:01] 像我跟我朋友講一些東西
[20:02] 我說待會那個東西
[20:03] 可能會跟著拉
[20:04] 然後我朋友說為什麼
[20:05] 我說因為他講到某個關鍵字
[20:07] 然後那個公司
[20:08] 他平常有在吹那個關鍵字
[20:09] 所以大家只要一Google
[20:10] 就會找到那個公司
[20:11] 那他看到A公司漲起來
[20:13] 他Google發現B公司
[20:14] 他就馬上就跑去買B公司
[20:15] 即便B公司是錯的
[20:17] 可能最後面漲的比A公司
[20:18] 還來的多
[20:19] 這就是實際上在市場上
[20:20] 最常看到的一個劇本
[20:21] 那所以呢
[20:22] 當然有些人可能會去找
[20:23] 所謂的什麼X-RAN概念股
[20:24] or whatever
[20:25] 但我自己的猜想是
[20:26] 我們先去拆解一下
[20:28] NVIDIA這個行為
[20:29] 本身宣示了什麼事情
[20:30] NVIDIA花200億美元
[20:32] 去買了Grok團隊
[20:33] 它的目的是什麼
[20:34] 我們可以視為說
[20:35] 它是一個想要去
[20:36] 打破記憶體牆的嘗試
[20:38] 那什麼叫做打破記憶體牆呢
[20:40] 因為我們知道說
[20:41] 在AI時代
[20:42] 記憶體是一個
[20:43] 非常卓越地位的東西
[20:45] 今天如果是在訓練方面的話
[20:47] 你需要很大的容量去做儲存
[20:50] 去跑那個KVCash
[20:51] 然後再來就是
[20:52] 在推論方面的話
[20:53] 那你可能就是要比拼的是速度
[20:55] 效率怎麼樣可以更快
[20:56] 所以記憶體更強大
[20:58] 更快容量更大
[21:00] 就是一個大家想要努力的一個方向
[21:02] 那更進一步
[21:03] 是希望可以把這個記憶體
[21:05] 基本上是
[21:06] 它如果可以
[21:07] 本身就是運算源的話是最好
[21:09] 也就是我們過往很常聽到的一個概念
[21:12] in memory computing
[21:13] 我直接把computer坐在記憶體裡面
[21:16] 我就不用說跑來跑去拿資料
[21:17] 你可以做一個非常簡單的想象
[21:18] 就今天有一個廚師在那邊做飯
[21:20] 腦中間想一個廚師在做飯
[21:22] 那隔壁有很多的原料
[21:24] 它可以直接伸手就拿到的話
[21:26] 它的速度就很快
[21:27] 如果說今天它的原料
[21:29] 是要走到後面的冰櫃去拿
[21:30] 或甚至是走到隔壁的庫房去拿
[21:32] 那是不是速度就變慢
[21:34] 這其實跟電腦運作的邏輯一樣
[21:36] 東西是放在硬碟裡面
[21:38] 要的時候就把它拿到敵人去做處理
[21:41] 就比較快
[21:41] 可以直接去接到電腦CPU GPU這樣子
[21:44] 所以因為那時候
[21:46] 我們要把儲存的東西
[21:47] 儘可能的靠近處理的地方
[21:50] 這樣就有更好的一個效率
[21:51] 於是市場上就有各種的東西跑出來
[21:54] 像HBM大家已經是非常熟悉了
[21:57] 就是在過去AI時代的一個主秀
[21:59] 訓練的一個核心降財
[22:01] 我們就是一定要有HBM
[22:02] 才可以去跑好AI的訓練
[22:04] 後面就開始有越來越多的
[22:06] 酷的東西跑出來
[22:07] 不然像現在最新的HBF
[22:09] 這個就是可能後面
[22:10] SanDisk會做的東西
[22:11] 那一樣就是要讓這個基地體
[22:13] 可以跑得更有效率
[22:15] 不然像CPX我們看到的GDDR
[22:17] 這個GDDR它可能不一定是
[22:18] 超級快的一個基地體
[22:20] 可是因為它容量夠大
[22:21] 拿來做preview是很適合
[22:22] 所以就注意到說
[22:23] 在記憶體方面
[22:24] 大家有各式各樣新的玩法
[22:26] 那就只是為了要讓
[22:27] 這個整個AI的
[22:28] 不管是訓練
[22:29] 或是推論的流程
[22:30] 跑得更加的順暢
[22:31] 那in-memory computing
[22:32] 可能是一個
[22:33] 比較遠的一個概念
[22:35] 但是high bandwidth
[22:36] 大家都已經非常熟悉了
[22:37] low latency
[22:38] 或者說怎麼樣
[22:39] 在influence裡面
[22:40] 去做更多的應用
[22:41] 要beyond HBM
[22:42] 在HBM之後
[22:42] 有沒有更多新的東西
[22:44] 那不然說
[22:45] 其實在我們的
[22:46] 上一集的QA
[22:47] 那個聽眾就跟通靈一樣
[22:48] 因為它那個是發生在
[22:49] 這個收購事件之前
[22:51] 他就已經留下這個留言
[22:53] 他突然間跑來問我說
[22:54] 我覺得某家公司的VHM
[22:57] 跟Wave on Wafer怎麼樣
[22:58] 其實Wave on Wafer
[22:59] 這個技術不是隻是
[23:01] 那一家公司有在做
[23:02] 像什麼TSM三星
[23:03] 也都有類似的東西
[23:04] Wave on Wafer
[23:04] 它的概念是什麼
[23:05] 它就是一個3D的一直整合
[23:07] 就是它下面是運算單元
[23:08] 然後直接把記憶體的Wafer
[23:10] 就蓋在上面
[23:11] 所以你可以想象成說
[23:12] HPM它可能有1024個管制
[23:13] 讓它快速的去做傳輸
[23:15] 可是它比不過
[23:15] 我直接把兩個Wafer疊在一起
[23:17] 那是等於是無限個管制
[23:18] 我傳輸的速度
[23:19] 又可以拉得更快
[23:20] 那是當然Wave on Wafer有很多需要去解決的東西
[23:23] 甚至在散熱這邊也是有要去討論的一個空間
[23:25] 但是有可能就是在這個事件之後
[23:27] 因為大家如果去認真的剖析說老黃為什麼買這個
[23:30] 除了說他是買人之外
[23:31] 另外一個就是他就是想要去思考怎麼樣打破記憶體牆
[23:34] 那於是所有的解方都被翻出來
[23:36] 所以包含這個Wave on Wafer
[23:37] Very high bandwidth memory
[23:39] 然後或者是像華邦電臺有一個3D Cube
[23:41] 這個我們過去也跟大家聊到
[23:43] 那這3D Cube它其實是想要做進去L3的快取
[23:46] 那這個LLC快取
[23:48] 你本身也可以把它視為說
[23:50] 反正就是要去加速記憶體
[23:51] 在運算方面的一個協作
[23:54] 所以它也可以視為是
[23:55] 想要去打破記憶體牆的某一種嘗試
[23:57] 雖然嚴格上來定義
[23:59] 我又把它視為說
[24:00] 它可能是一個比較低配版的HBM
[24:02] 可是它是類似的東西
[24:03] 所以在接下來的一陣子
[24:05] 我自己的猜想
[24:05] 就如果這個新聞有持續去燒
[24:07] 或是老黃這邊有去做一些表態
[24:10] 或是有些分析人員
[24:11] 像最近大家在
[24:12] 那是LinkedIn還是X上面
[24:14] 有看到那Gavin Baker的一個發文嗎
[24:15] 就大家會開始去思考說
[24:17] 為什麼老黃要去做這個買賣
[24:18] 那他們最後面呢
[24:19] 就按照我自己對於市場的理解
[24:21] 然後跟認知
[24:22] 我覺得他們就已經繞回到說
[24:23] 所以老黃就是想要更新更快的一個記憶體
[24:27] 更有效率的去做推論
[24:29] 那因為這樣子
[24:30] 大家會去找哪些東西
[24:32] 他們可能是潛在的solution
[24:33] 那於是可能這些東西呢
[24:35] 在市場上面就會有一些re-rate的空間存在
[24:38] 這是我自己比較大膽的一個猜想
[24:40] 那我剛才已經強調
[24:42] 因為這個可能跟那個
[24:43] 就是在非常專業領域的人的看法會有點不一樣
[24:46] 因為他們會覺得說
[24:47] 像我講的那些東西
[24:48] 那個還這麼遠
[24:49] 那個還這麼久
[24:50] 可是市場很有趣
[24:51] 像大家最近都已經是怎麼講光通已經在臺灣的眼中目前已經視為說就是有了你已經看到這麼多東西你NVIDIA的CPU然後你看到Tomahawk的CPU就大家都已經看到了
[25:02] 可問題是你知道這個東西
[25:03] 是什麼時候開始股票就動
[25:04] 三年前
[25:05] 是三到四年前左右
[25:07] 東西就已經先動了
[25:08] 所以其實市場有時候
[25:09] 它真的會走得比較快一點
[25:11] 所以有可能就是說
[25:12] 如果今天大家開始把焦點
[25:14] 從本來的HBM
[25:15] 然後換到
[25:16] 你看至少大家願意去討論SRAM
[25:18] 那為什麼用SRAM
[25:19] 大家可能開始理解到說
[25:20] 因為它的速度是更快
[25:22] 效率是更高
[25:22] 可是XRM太貴
[25:24] XRM太貴
[25:24] 我們什麼其他的解方
[25:25] 那就會有一些答案
[25:27] 就會浮出來
[25:27] 所以這可能是在
[25:29] 接下來
[25:29] 我自己會想觀察一下
[25:30] 市場我們往這個方向去
[25:32] 發展的一個可能性
[25:33] 那一樣
[25:33] 這個是一個比較前期的猜想
[25:35] 就如果說
[25:36] 後面真的有走出一些竹拳的話
[25:37] 那我們再拉出來
[25:38] 跟大家做討論
[25:39] 好那接下來我們進入QA部分
[25:40] 第一位
[25:41] 新北99
[25:42] 感謝每個禮拜定期更新
[25:43] 有點太長
[25:44] 但他感覺是空格比較多
[25:46] 念一下
[25:46] 嗨夢工
[25:47] 聽古來已經好幾年的
[25:48] 上次被唸到感到受寵若驚
[25:50] 本來的觀念被你嘴了一下
[25:51] 謝謝你對老聽眾的熱情回饋
[25:53] 那其實是在特扎低點的時候
[25:55] all in最近持股翻了一倍
[25:57] 全數出場換到臺股
[25:58] 改成近期很熱門的主動式全股
[26:00] 那時間拿來好好的弄自己的事業
[26:03] 所以先跟空中的老朋友道別
[26:05] 感謝一直來的陪伴
[26:06] 祝福孟公一家人平安快樂
[26:08] 所有在收聽的聽眾持股一直翻倍
[26:10] PS家人都這麼可愛漂亮
[26:12] 晚上會不會做夢偷笑
[26:13] 開玩笑的平安
[26:14] 所以我們有一位老聽眾
[26:16] 想要去專心他的事業
[26:17] 然後把他的持股放到
[26:19] 你講的那個主動式選股
[26:20] 是什麼981A是不是
[26:21] 就像超熱門的
[26:23] 大家去趴資金的地方
[26:24] 我那時候心中就在想說
[26:25] 會不會這個東西
[26:26] 後面變得跟ARKK一樣
[26:27] 之後我想想不會
[26:28] 因為ARKK
[26:29] 他買的很多東西
[26:30] 就是沒有收益
[26:31] 沒有獲益的東西
[26:32] 那981A買的東西
[26:33] 是有收益有獲益的東西
[26:34] 所以雖然一樣
[26:36] 有那種非常熱門的現象產生
[26:38] 只是我覺得
[26:38] 應該不會是像
[26:40] 因為有些人會想說
[26:40] 會不會他後面像ARKK一樣
[26:42] 就過往那種散戶
[26:43] 每個人不想努力的
[26:47] 有一些回答
[26:48] 我覺得也不會像ARK
[26:48] 這麼恐怖
[26:49] 所以祝你一切順利
[26:50] 你的事業也可以成功
[26:53] 下面一位
[26:53] 風口上的豬也會飛
[26:55] 林口最靈驗
[26:56] 謝孟公
[26:57] 嗨 挨大
[26:57] 果然在這裡許願
[26:59] 就會得到應驗
[27:00] 之前在QA留言
[27:01] 想請挨大助我
[27:02] 找工作順利
[27:03] 結果找到一個
[27:04] 想要的公司
[27:04] 月薪穩坐六位數
[27:06] 關號拿到offer
[27:06] 當下冒牌者效應上升
[27:08] 12月是我的生日
[27:10] 求你助我進資產
[27:11] 迅速破九位數
[27:12] 也希望我從孟公
[27:14] 收到的好運氣
[27:15] 可以分享給每位聽眾愛您
[27:17] 我們講的啊
[27:18] 去廟裡拜拜
[27:19] 然後拜個
[27:20] 什麼懶叫小泡芙
[27:21] 然後接著就跟神明
[27:22] 求一些超誇張的東西
[27:23] 當然我們不是講說
[27:24] 自己神明
[27:24] 我一直講說
[27:25] 你們來這邊求基
[27:26] 讓我心理壓力很大
[27:26] 因為我覺得沙小
[27:28] 拜託你們去正規的廟好不好
[27:29] 去觀音廟好不好
[27:30] 很多人就是
[27:31] 我有時候覺得
[27:32] 那是一個信念的力量
[27:33] 他覺得說在這邊講出來
[27:34] 然後人家講出來
[27:35] 他心中就踏實了嘛
[27:36] 就像安慰劑一樣
[27:37] 他吃了
[27:37] 他覺得那明明就沒有藥效
[27:39] 可是他
[27:39] 我好像感覺到一點力量
[27:41] 他就把事做好
[27:41] 所以我就從善如流
[27:42] 去配合大家
[27:43] 就你看這個
[27:43] 已經拿到月薪六位數
[27:45] 然後現在直接許願說
[27:46] 要去九位數
[27:47] 每個人這樣隨便都可以九位數的話
[27:49] 那世界會通跑
[27:49] 但我還是祝你九位數好不好
[27:51] 那看會不會真的就成真
[27:52] 那下面一位
[27:53] 臺中縣孟公A
[27:55] 孟公二選一
[27:56] 雨期哦
[27:56] 對啊你怕
[27:57] 對啊你怕
[28:01] 對啊你怕
[28:03] 請問兩個問題
[28:04] 一
[28:04] 之前說沒有錢的時候
[28:05] 跟女生出去也都會付錢
[28:07] 這樣不是會減緩資產累積速度嗎
[28:08] 還是自己一個人的時候很省
[28:10] 好像沒有提過小資的時候
[28:11] 一天跟一個月的花費
[28:12] 二請問哪一種心態
[28:14] 比較好
[28:14] 像巴菲特一樣
[28:15] 股市不好
[28:15] 就點比較便宜的套餐
[28:17] 過得拮据一點
[28:18] 還是覺得賠的錢
[28:20] 是娛樂的好幾倍
[28:21] 不如再花一些錢
[28:22] 變成自己喜歡的樣子
[28:23] 感謝愛寧
[28:24] 那首先第一題
[28:25] 我覺得那就是
[28:26] 每個人的
[28:27] 怎麼講
[28:27] 個性跟喜好不同
[28:28] 我就是很不喜歡
[28:30] 給人家請
[28:31] 或者說跟人家分
[28:32] 就連像我最近
[28:34] 因為我們會去遛孩子
[28:36] 孩子有時候會跟
[28:37] 其他的朋友出去
[28:38] 然後家長就一起
[28:39] 然後像就有一位家長
[28:40] 就昨天又想要付錢
[28:41] 然後後來A君直接跟他講說
[28:43] 你不要想了
[28:43] 因為我沒有看過
[28:44] 先夢工給人家請
[28:45] 他就直接這樣講
[28:46] 那真的從以前到現在都這樣
[28:47] 因為那是家人嘛
[28:49] 他已經看我
[28:49] 從小到大就是這個樣子
[28:51] 所以我覺得那就是每個人在
[28:53] 不知道就是DNA裡面的設計吧
[28:55] 我就是不喜歡給人家請
[28:56] 你說你沒有錢的時候怎麼辦
[28:58] 以前大學追女生怎麼辦
[28:59] 就吃撫圓吃心圓嘛
[29:00] 那可以多貴
[29:01] 口肉來一杯
[29:02] 那口肉他媽的幾十塊而已
[29:04] 然後再插那個
[29:05] 你媽的煙少抽一包就好了
[29:07] 或怎麼樣
[29:07] 你要追的女生
[29:08] 對不對
[29:09] 你要追的女生
[29:10] 然後你對她這麼小氣
[29:11] 這是對的嗎
[29:11] 但我講這個應該會刺激到一些AA狂人
[29:14] 我不是說AA不行
[29:15] 就是有共識就好
[29:16] 如果你們大家都喜歡AA
[29:17] 你們就AA
[29:18] 直接上很多人
[29:19] 像我自己跟我身邊的人
[29:20] 我真的很少聽到
[29:21] 就是人家在講什麼AA的
[29:22] 幾乎是沒有聽過
[29:23] 在以前那種學生時代的時候
[29:25] 也是大家輪流情
[29:26] 沒有什麼AA
[29:26] 所以我就說物以類聚
[29:27] 大家會找到適合自己的那一些人
[29:30] 那你說這樣會不會去減緩資產累積速度
[29:32] 當然會
[29:32] 只是問題是
[29:33] 你不可以去摳別人
[29:34] 你可以對自己狠
[29:35] 你可以去摳自己
[29:36] 你不可以去摳別人
[29:37] 這個是很重要的一個概念
[29:38] 然後第二題
[29:39] 我覺得它是一個並行的概念
[29:41] 確實當你發現說
[29:43] 你在市場的一些震盪
[29:44] 那個金額就已經超大
[29:45] 所以你到底在對家人comment什麼
[29:47] 你就會覺得說
[29:48] 你做的事情是很沒意義
[29:49] 而且是很小氣的
[29:50] 所以其實就是應該要及時行樂
[29:52] 這個我是完全認同
[29:53] 只是說前面巴菲特這個
[29:55] 這個舉例舉得真好
[29:56] 就是那時候我被人家講說什麼
[29:58] 我覺得搭高鐵是蠻奢這件事情
[30:00] 然後人家講說是
[30:01] 我是很矯情
[30:03] 那巴菲特不就他媽矯情之王
[30:05] 所以說巴菲特就是矯情之王
[30:07] 巴菲特全世界超估炒到最有錢的人
[30:09] 在市場不好的時候
[30:11] 他只吃2.6塊美元的什麼香腸MAC MUFFIN
[30:13] 然後市場好的時候
[30:14] 他媽他就很奢
[30:15] 他就可以去加點什麼培根
[30:17] 跟什麼額外的起司
[30:19] 然後是3點多美元
[30:20] 這一來一往
[30:21] 他媽連一美元的差距都不到
[30:23] 你覺得這老頭有差那一美元嗎
[30:25] 你覺得他有差這一美元嗎
[30:27] 為什麼市場好的時候
[30:28] 他可以讓自己吃比較好的
[30:29] 市場不好就是
[30:30] 他媽要吃那種所謂的窮鬼套餐
[30:32] 跟那個錢也沒有差多少
[30:33] 為什麼會這樣
[30:34] 因為那就是一個
[30:34] 怎麼講
[30:35] 就是說在心情上
[30:36] 像我自己也會
[30:37] 你今天賠錢
[30:38] 你表現不好的時候
[30:38] 我今天不是跟大家講
[30:39] 賠錢表現不好的時候
[30:40] 有時候還餓自己
[30:41] 我就是沒有資格吃這一頓飯
[30:43] 就是有這種想法
[30:44] 但我們都知道說
[30:45] 那個影響不了多少
[30:47] 就是我不差這幾千
[30:48] 一萬十萬
[30:49] 我差的是千萬一億
[30:51] 所以你真的要補保證金的時候
[30:53] 你少吃一個什麼McMuffin
[30:55] 你也救不了自己
[30:56] 只是那是一個感受上的東西
[30:57] 所以那真的是物以類聚
[30:59] 人以群分
[30:59] 就有些人就是有這樣子的概念
[31:01] 有些人沒有
[31:01] 所以你也不用想去說服其他人
[31:03] 大概這樣
[31:04] 下面一位
[31:04] DKATATDANIS
[31:06] 小天使會回來的
[31:07] 哎大尼好
[31:08] 我一直從遠古集數
[31:09] 就開始聽的捏軟仔
[31:10] 第一次留言
[31:11] 想對前幾集
[31:12] 寶寶去當小天使的爸爸說
[31:14] 兄弟你不孤單
[31:15] 我家老二在四個月大的時候
[31:16] 因為保姆的疏忽
[31:17] 上了天堂當小天使
[31:19] 如今我家老三已經是兩歲
[31:21] 每天回家都很吵的小寶貝了
[31:23] 想對你說
[31:23] 他一定會回來的
[31:24] 祝福你們
[31:25] 還要對我的老婆說
[31:26] 親愛的你辛苦了
[31:27] 懷了三胎都無痛自然產
[31:29] 你很棒
[31:29] 我衷心佩服你
[31:31] 為你感到驕傲
[31:31] 那最後記愛大的金口
[31:32] 祝我12月27號生日的老婆
[31:34] 生日快樂
[31:35] 要多分擔家事
[31:36] 我的績效才能夠沖沖衝啊
[31:38] 非常感謝這位兄弟的分享
[31:40] 那也非常感謝他出來
[31:41] 鼓勵前面那一位兄弟
[31:43] 因為遇到這種事情
[31:44] 像我們家自己身為爸爸
[31:46] 可以完全理解
[31:47] 我以前都覺得
[31:47] 我自己是那種鐵石心腸的人
[31:49] 對自己很狠
[31:50] 然後再來就是說
[31:51] 對很多的情感
[31:52] 是沒有什麼感覺跟反應的
[31:54] 這也是我老婆一直在靠北的
[31:55] 可是自從有小孩之後
[31:57] 我覺得我這一點有被改變
[31:58] 所以像這位兄弟在講說
[31:59] 他的小朋友
[32:00] 在四個月的時候
[32:01] 因為別人的書上天堂
[32:03] 我馬上我腦中就有畫面說
[32:04] 如果今天是我家安哥這樣
[32:05] 我會怎麼辦
[32:06] 所以你立刻就開始比算
[32:07] 你就會開始有很多的那種
[32:09] 共情能力
[32:10] 你會去理解到
[32:12] 別的爸爸媽媽在想什麼
[32:13] 那也因為這樣子
[32:14] 其實我們看了很多
[32:15] 類似的故事之後呢
[32:16] 像我跟我太太
[32:17] 我們在脫音的時候
[32:19] 有時候會有保姆嘛
[32:20] 然後或者說
[32:20] 出國去一些飯店度假村
[32:22] 他們有那種脫獄的
[32:24] 一些機構或是地方
[32:25] 那我們都會選擇
[32:26] 要在那邊看著
[32:27] 就是我們是
[32:29] 因為這些保姆
[32:29] 確實我們家可以釋放雙手
[32:31] 那邊休息一下
[32:32] 可是我們沒有辦法
[32:33] 就是說像一些爸媽
[32:34] 是把小朋友就留在那邊
[32:35] 然後接著就先跑去游泳
[32:37] 或什麼的
[32:38] 我不行
[32:38] 就是我老婆也不行
[32:39] 我們就覺得說
[32:40] 自己一定要看著
[32:41] 就除非說這個機構
[32:42] 是我們已經是超級熟悉的
[32:44] 那種學校或什麼的
[32:45] 那我覺得這個
[32:46] 是要當爸媽才會瞭解
[32:47] 就是你開始會多很多的
[32:50] 怎麼講
[32:50] 就是比較柔軟
[32:51] 比較脆弱的地方
[32:52] 你會想比較多
[32:53] 你開始會有很多的
[32:54] 要注意的東西
[32:56] 那當你開始被改變成
[32:58] 這樣子的人的時候
[32:58] 那你卻有一個小朋友突然間的離開
[33:01] 或是他沒有辦法被誕生下來
[33:03] 那個真的是一個
[33:04] 反正就是超大的打擊
[33:06] 那這邊我還是
[33:07] 希望大家都可以平安健康
[33:09] 這個小朋友都一定要健康快樂
[33:11] 那我們祝他的老婆生日快樂
[33:13] 那他老婆無痛自然產
[33:14] 跟我太太第二胎一樣
[33:16] 因為他第一胎是打那個Epidural之後
[33:17] 然後就躺在床上四五天下不來
[33:20] 所以他懷疑說
[33:20] 會不會是這個Epidural的問題
[33:22] 所以後來就
[33:23] 第二胎就直接跟醫生講說
[33:24] 他想要試看看不要打
[33:25] 即便醫生講說
[33:26] 應該不是那個問題
[33:27] 應該是其他的環節或怎麼樣
[33:29] 好但他第二臺
[33:31] 就是沒有去打那個無痛
[33:32] 直接去生
[33:33] 我只能跟你講說
[33:34] 那個產房的叫聲是非常恐怖的
[33:37] 就是真的是
[33:37] 別的媽媽如果說有打
[33:39] 像我太太第一胎有打的話
[33:40] 就是蠻安靜的
[33:41] 小朋友就出聲
[33:42] 然後如果沒有打
[33:42] 真的是撕心裂肺
[33:43] 然後護理師還會跟他講說
[33:45] 你不要叫
[33:45] 你要趕快把你的力氣省下來
[33:47] 然後在那邊壓肚子或什麼的
[33:48] 哇靠那個畫面真的是驚心動魄
[33:50] 所以老婆超偉大
[33:52] 一定要好好照顧老婆
[33:53] 下面一位
[33:53] 小小直男工程師
[33:55] 豬男許光漢
[33:56] 夢宮選我秀
[33:58] 這個看到許光漢我就想笑
[33:59] 因為人家跟我講說
[34:00] 你在那邊舉例說什麼陳冠希
[34:01] 現在年輕人根本不知道什麼叫陳冠希
[34:03] 他們現在喜歡的叫許光漢
[34:05] 那我看一下許光漢真的很帥
[34:07] 那挨大幼児節目推推推
[34:09] 除了分享許多產業訊息以外
[34:11] 聽歌噴快樂寶貝也好抒壓
[34:13] 那最後想請你用肌肉猛男
[34:14] 跟大老鴨吵架聲
[34:15] 這個放過一下
[34:16] 我不知道那個德國的病毒是怎麼樣
[34:18] 我回來到現在
[34:19] 我每天都還是咳嗽非常嚴重那種
[34:21] 所以這個喉嚨快爆炸
[34:23] 祝1月11號生日的阿竹老師
[34:25] 生日快樂愛你救命
[34:27] 愛他
[34:27] 下面一位
[34:28] 謝孟公
[34:29] 為了節省自助就不加位
[34:31] 愛你的拜託孟公
[34:32] 把後面被卡掉
[34:33] 孟公您好
[34:33] 感謝你每週兩次的節目分享
[34:35] 讓我一個人吃飯的時候都不無聊
[34:37] 12月30號是我偉大的媽媽
[34:39] Luna的生日
[34:40] 最近爸爸得了血癌
[34:41] 謝謝媽媽願意回來幫忙照顧爸爸
[34:43] 讓我們可以比較放心
[34:45] 可以請大家用快樂的聲音祝
[34:47] Luna12月30號生日快樂
[34:49] 每天健健康康快快樂樂
[34:51] 那親愛的大家會比較喜歡
[34:52] 一覺不醒的人生結尾
[34:54] 還是有一段時間可以跟親人道別
[34:57] 但需要承擔病痛的人生結尾
[35:00] 如果說有親人是後者的話
[35:02] 會跟他說什麼話
[35:03] 讓他比較開心
[35:04] 那謝謝孟公
[35:05] 祝孟公一生平安
[35:06] 績效大爆色
[35:07] Lisa
[35:08] Choco
[35:08] 諾亞
[35:09] 其安
[35:09] 一直可愛美麗
[35:10] 愛你
[35:11] 我愛你
[35:12] 以前應該會選那個一覺不醒
[35:17] 然後現在就會覺得說
[35:19] 如果我可以知道我的終點在哪
[35:21] 我可以好好的道別
[35:22] 所以或許會選後者
[35:23] 但想一想
[35:23] 一覺不醒
[35:24] 其實應該還是一個比較好的解放
[35:26] 應該說你應該要把
[35:27] 對家人的愛或是關懷
[35:29] 實現在每一天
[35:30] 不要說是我們真的要掛掉之後
[35:32] 然後趕快補課之類的
[35:33] 那確實我現在都有盡力做好這件事情
[35:35] 每天跟兒子回家
[35:36] 第一件事是什麼
[35:37] 兒子都知道
[35:37] 衝過來抱抱
[35:38] 第一天抱抱
[35:38] 然後再來就是
[35:39] 晚上陪他睡覺念故事
[35:41] 跟他一起洗大的
[35:42] 我們的洗大的意思就是泡澡
[35:44] 他每天都過兩天都要洗大的
[35:45] 我就準備各式各樣的洗澡球
[35:47] 包括可夢的按喜玩
[35:48] 所以我覺得就是把
[35:49] 這些關懷都放在每一天
[35:51] 那如果可以當然
[35:52] 一覺就不省人事的話
[35:54] 也是一個蠻好的出路
[35:56] 也是一個不錯的出路
[35:57] 只是怎麼講
[35:58] 這很難選
[35:59] 就兩個我應該都會儘可能的
[36:00] 把他活得很好
[36:01] 那如果是後者
[36:02] 會跟家人說什麼話
[36:04] 我覺得我一定會裝酷
[36:05] 就是我一定不會跟他講我哪裡痛
[36:08] 然後甚至我還會跟他講說
[36:09] 幹 哭他小沒事啊
[36:11] 什麼的
[36:11] 然後會故意要站起來
[36:13] 跟他搞一些有的沒有的
[36:14] 就是我不會想要看到
[36:15] 別人因為我躺在那邊
[36:17] 而感受到痛苦
[36:18] 雖然我光是講這個
[36:19] 我就覺得很奇怪
[36:20] 因為我不是那一種
[36:21] 把自己可以
[36:22] 怎麼講放比較高的
[36:23] 因為就像我跟大家講
[36:24] 我一直都覺得
[36:25] 我是一個廢物
[36:25] 我到家我都覺得
[36:26] 我是一個廢物
[36:27] 我是一個在社會上
[36:28] 不怎麼重要的人
[36:29] 所以我也很壓抑
[36:30] 為什麼有要聽這個節目
[36:31] 類似這樣的道理
[36:31] 所以我也無法去意識到說
[36:34] 我的離開
[36:34] 可能會讓我的家人
[36:35] 很難過或什麼
[36:36] 但假設有
[36:36] 假設大家真的會
[36:38] 因為我的離開
[36:39] 要很難過的話
[36:40] 我一定會裝哭
[36:40] 我一定會搞得像是沒事一樣
[36:42] 你們到底在哭什麼
[36:43] 然後突然間就掛了
[36:44] 類似這樣
[36:44] 我覺得是一個
[36:45] 可能不錯的解方
[36:47] 就是還是希望
[36:48] 大家不要一把鼻涕
[36:49] 一把眼淚在那邊
[36:50] 就還是高高興興的
[36:52] 希望你可以留下一個
[36:53] 很健康很陽光的影子
[36:55] 在這些小朋友的心目中
[36:56] 心中想的是這樣
[36:57] 下面一位
[36:58] 克金失敗的二男寶爸
[37:00] 聽說謝孟公很靈
[37:01] 感謝主委節目的陪伴
[37:03] 讓前年克金失敗
[37:04] 意外成為二男寶爸的我
[37:06] 一同度過育兒時光
[37:08] 那就在最近生日快到了
[37:09] 前幾天老婆發現懷孕
[37:11] 雖然三寶人生真的很有挑戰
[37:13] 那希望主委祝我生日快樂
[37:15] 保佑我順利達成女寶的心願
[37:18] 不是啊
[37:19] 課金失敗
[37:20] 意外成為二男寶吧是什麼意思你是課了什麼金你的課金是不知道你們在吃什麼避孕藥還是說什麼你去媽的把懶叫的那個輸進管打結然後還不小心中不然要怎麼樣克精失敗
[37:31] 然後懷到小孩
[37:33] 聽起來蠻神奇的
[37:34] 大家都是想要克精去有小孩
[37:36] 就他是反過來
[37:37] 那希望你們懷胎順利
[37:39] 那希望第三代是一個女寶
[37:41] 在這邊祝福你
[37:41] 下面一位高雄咪咪翔
[37:43] 美樂弟謝寶貝我跟你說
[37:45] Grok AI那隻不是什麼紅狸貓
[37:47] 也不是小浣熊
[37:48] 他是小貓熊
[37:49] Lesser Panda
[37:50] 又名Red Panda
[37:52] 我女友很愛小貓熊
[37:53] 所以特別上來跟你更正一下
[37:55] 雖然我女友沒有在聽Podcast
[37:56] 好下面一位
[37:58] 好那非常感謝這位兄弟的分享
[37:59] 那個是小貓熊Red Panda
[38:02] Lesser Panda
[38:03] 這個蠻酷的名字
[38:04] 下面一位
[38:04] Ken6030133
[38:06] 方怡的媽媽化療加油
[38:08] 大您好
[38:09] 本來是想跟你說
[38:10] 如果唸到的話
[38:11] 想請您祝福我
[38:12] 今年可以賺到250萬的
