[00:00] 歡迎收聽谷外,我是孟公,本期節目由Dr.情趣贊助
[19:17] 就即便傢伙
[19:18] 沒有人在討厭
[19:18] 可是我覺得機率是極低
[19:19] 就是他課下去就是課下去了
[19:21] 然後他接下來他要做的事情怎麼樣
[19:23] 就我覺得他一定會發作
[19:24] 接下來一段時間
[19:25] 就一定會看到他開始去罵各種招式
[19:28] 他其實下決定開始在打了
[19:29] 因為IEPA的關稅就算是被擋住的話
[19:33] 他其實有太多的東西可以去用
[19:35] 而且那些東西其實是
[19:36] 已經經過很多次的法律的挑戰了
[19:38] 像是什麼232 301
[19:40] 那他現在最新要拿出來的是122
[19:43] 先給大家一個10%之類的
[19:45] Universal的關稅
[19:46] 所以他其實有很多的法源依據可以拿出來
[19:49] 然後照樣去
[19:50] 簡單來講他可以本來用一個比較大的架構
[19:52] 比較簡單的方式去課大家
[19:54] 像他這個被最高法院給擋掉
[19:56] 後面他可能就用成是比較零碎碎片化的一個策略
[20:00] 這邊弄一點那邊弄一點
[20:01] 反正還是會把你罵課到家
[20:02] 就該課的都來這裡課
[20:03] 所以我覺得他偷襲下去他是不可能退出
[20:05] 他退出的話
[20:06] 他反而他不只是不用選
[20:07] 他搞不好後面被追究一些責任之類的
[20:09] 所以一些去討論說關稅可能有機會會不見
[20:13] 然後前面談個半天其實在什麼白花費心思
[20:15] 我覺得這些是判斷失誤
[20:17] 實際上的狀況應該是他會去援引更多的法條
[20:20] 而他已經開始在做
[20:21] 後面我覺得會再做更多
[20:23] 然後去把它要達成的目標還是會去實踐
[20:26] 所以態度上可以說是非常的明確
[20:29] 也因為他有可能會去援引更多的法條來修補
[20:33] 本來可能是相對乾淨簡單的一個關稅的架構
[20:36] 所以他有機會就會產生一些不確定性
[20:38] 同時我個人認為過去可能跟美國沒有談得這麼好的
[20:43] 像是什麼加拿大
[20:44] 歐盟
[20:45] 或是一些想要跟美國站對臺的
[20:47] 他們一定會藉由這次的機會
[20:49] 可能不知道
[20:50] 就是訴諸名義之類的
[20:52] 然後就講說
[20:52] 你看他們的最高法院都這樣判了
[20:54] 所以我們更應該要跟川普對抗之類的
[20:56] 你就想說
[20:57] 如果他們有這樣子的想法的話
[20:58] 川普還在任內
[20:59] 你認為他會不會再去
[21:01] 揮動下一次的重拳
[21:02] 所以我個人是認為說
[21:04] 這次的事件
[21:05] 我不知道怎麼市場
[21:06] 會去往一個利多方向反應
[21:07] 可能是因為美股已經爛很久
[21:09] 爛很久之後
[21:09] 跌不下去就談
[21:10] 很多時候我們都知道
[21:11] 就是一個東西反彈
[21:13] 是好訊息
[21:13] 一些那種股票
[21:14] 他媽的要爛掉
[21:15] 突然間反彈
[21:15] 那不一定是好訊息
[21:16] 那可能就只是跌深了
[21:17] 空軍回補一下之類的
[21:19] 這是有機會的
[21:20] 但我自己會比較傾向說
[21:21] 這其實是在後面
[21:22] 是新增了更多的不確定性
[21:24] 那當然關稅本身的架構
[21:26] 我們還是覺得說會維持
[21:27] 那只是因為
[21:28] 就是像我跟大家提到的
[21:29] 因為包含說一些
[21:31] 可能本來就有跟川普
[21:32] 是佔對抗立場的單位國家
[21:35] 他們可能會
[21:36] 想要借這個機會去發揮一下
[21:38] 那川普他稍微的去反擊
[21:39] 反擊之後
[21:40] 然後他被川普打
[21:41] 他不爽他又再反擊
[21:42] 你說這是不是又再一次的
[21:43] 一個情勢的提升
[21:45] 因為本來有點像他說
[21:46] 關稅已經是告一個段落
[21:48] 大家都談得差不多
[21:49] 就突然間又搞不確定性
[21:50] 其實我們在過往的訓練
[21:52] 我們最可以確定的一件事情
[21:54] 就是市場是不喜歡不確定性的
[21:56] 當然今天有一個東西
[21:57] 是會有一些爭議
[21:59] 或者有些問題可能出來
[22:00] 有不確定性的時候
[22:01] 就會引發一些sell off
[22:02] 所以我自己是覺得
[22:03] 禮拜五美股的反彈
[22:04] 假設用短線去
[22:06] 單純拿一個線線來看的話
[22:07] 會覺得怪怪的
[22:09] 怎麼會是反彈
[22:10] 如果是跌的話
[22:10] 我自己心中還比較舒服
[22:12] 所以有時候很好笑
[22:12] 看到漲
[22:13] 我們不一定會很高興
[22:14] 即便我們是多軍
[22:15] 可是還是會覺得
[22:16] 儘量要讓自己看得懂
[22:18] 是最重要的
[22:18] 所以看不懂的市場
[22:19] 其實是我會更害怕
[22:20] 有時候我知道
[22:21] 自己為什麼會賠錢
[22:22] 我知道說
[22:22] 下跌是因為
[22:23] 你們在那邊恐慌
[22:24] 你們在那邊亂殺
[22:25] 其實我心中都是踏實的
[22:26] 可是今天如果突然間
[22:27] 莫名其妙開始賺錢
[22:28] 有時候都會覺得怪怪的
[22:29] 就不是單純說什麼
[22:30] 有賺到錢就是贏家
[22:31] 有賺到錢就是爽
[22:32] 因為你其實論理
[22:33] 跟推論的過程
[22:34] 是非常重要的
[22:35] 所以看不懂的盤
[22:36] 其實我們自己會
[22:36] 稍微的緊張一點
[22:38] 那今天早上在市場
[22:40] 又出了一次的這個
[22:42] 針對資安股的一個圖
[22:43] 很好笑
[22:44] 我上禮拜才跟大家分享說
[22:45] 我覺得資安股
[22:46] 其實應該是要可以看的東西
[22:47] 然後這一拜
[22:47] 這個Anthropic
[22:49] 因為推出了一個
[22:50] 新的這個
[22:50] Cyber Security Capability
[22:52] 的某種加強
[22:54] 反正就是
[22:54] Cloud Code Security
[22:55] 的這個服務之後
[22:57] 然後一些資安股
[22:58] 又全部打下去
[22:59] 那當然像杰倫
[23:00] 杰倫是我覺得
[23:01] 就是再一次的
[23:02] 反正就是
[23:03] 過去大家都是不相信AI
[23:05] 然後現在大家變得
[23:06] 過於的相信AI
[23:07] 所以對我們的節目來講
[23:10] 我的心態是這樣子
[23:11] 就是過去
[23:11] 當大家不相信AI的時候
[23:13] 我就是不停地在preach
[23:14] 說我覺得AI很屌
[23:15] 可是當下
[23:15] 大家要去尬吹
[23:16] 不然像前陣子
[23:17] 尬吹TPU
[23:18] 現在尬吹各種AI
[23:19] 取代一切的時候
[23:20] 那我就覺得說
[23:22] 以我的個性
[23:23] 我不是故意要跟市場
[23:24] 唱反調什麼
[23:25] 我就還是要去
[23:26] 找一些可行性
[23:27] 因為我知道很多時候
[23:28] 其實就是
[23:29] 所謂的大家看圖
[23:30] 說故事的東西
[23:31] 你當下看起來是對的
[23:32] 因為廢話
[23:32] 你不看圖說故事
[23:33] 臺灣一堆媒體人都在做這樣的事情
[23:34] 大掌就出來寫一個掌的故事
[23:36] 這真的誰都會
[23:37] 所以我覺得做這種事情
[23:38] 是去降低自己的智商
[23:40] 就是你應該要持續人盡的判斷
[23:42] 就算你可能是壓錯東西
[23:43] 就算可能你被估值修正給修理
[23:45] 可是其實我覺得腦袋為止
[23:47] 正確的去判斷一些
[23:48] fundamental的事情
[23:49] 是非常重要的
[23:50] 所以這一波我覺得跟
[23:51] 前面在對軟體做一個估值調整
[23:55] 是差不多的一個道理
[23:56] 也就是說反正就把所有東西
[23:58] 都混在一起
[23:58] 然後先通殺
[23:59] 當然如果要避免這樣子的局面的話
[24:01] 就是真正值就先不要持有這些東西
[24:03] 那是對我來講
[24:04] 因為其實有蠻多的軟體股
[24:05] 是我長期持有的一個標的
[24:07] 已經持有可能數年了
[24:08] 所以對我來說
[24:09] 我反而是會想要找機會去補東西
[24:11] 因為過去一直沒有機會補
[24:12] 就過去在漲的時候是非常兇的
[24:14] 所以反而掉下來
[24:15] 會想要去找機會補
[24:16] 那當然有時候補的時候
[24:16] 會修理
[24:17] 那有時候也是被修理的
[24:19] 莫名其妙
[24:19] 像前面的軟體我就認為說
[24:20] 它其實最主要取代的東西
[24:22] 是所謂的user interface
[24:23] 那你說軟體就完全用不到
[24:25] 這是一個很奇怪的說法
[24:26] 就連老黃都再一次的
[24:28] 在訪問裡面跟大家講說
[24:29] 他認為外面在講說
[24:30] 軟體要死掉
[24:31] 是很奇怪的說法
[24:32] 因為你不會為了去使用某個東西
[24:34] 然後就重新發明一個
[24:35] 好像你要去運貨
[24:36] 你就重新發明輪子
[24:37] 重新發明一個推車
[24:39] 這個是沒有意義的事情
[24:40] 或者說它花費的成本是巨大的
[24:42] 所以比較常會看到的一個案例
[24:44] 或者說實際上有在發生中的一個狀態
[24:46] 就是所有的應用軟體
[24:48] 現在某個程度上
[24:48] 它會慢慢的走向一個API化的局面
[24:51] 也就是說user interface
[24:52] 使用者介面不是這麼重要
[24:54] 現在是讓這些機器人
[24:55] 讓AI直接去使用這些軟體
[24:57] 所以我只要可以串好接好
[24:59] 我就是可以去做使用
[25:00] 所以過去可能有
[25:01] 舉例來說ABC軟體
[25:02] 然後他們的背後的功能是差不多的
[25:04] 可能A跟B用起來
[25:05] 所以比較順
[25:06] 介面比較好
[25:07] 類似我們之前跟大家舉例的下單軟體
[25:10] 大家可能覺得說
[25:11] FT的介面是好的
[25:13] Robinhood的介面是好的
[25:14] 可是IB的介面沒這麼好
[25:16] 像過去的話
[25:17] 介面好的就會變成是大家的一個選項
[25:19] 可是如果之後是在API化的一個時代的話
[25:22] 其實介面就不是這麼重要的一件事情
[25:25] 因為反而是讓機器人去看所以可以去執行更好的result就變成是最重要的一個指標其實我覺得這樣的發展對整體的人類來講都是更好的因為過去可能你會買一堆seats這個seats你不一定都有用到
[25:36] 或者說就是去佔空間花錢而已
[25:38] 表現也不一定極好之類的
[25:40] 可是現在反而都是用result去做計費
[25:42] 所以它並不會去重新的定義
[25:45] 就是這些軟體就不見
[25:46] 因為你還是要有application的層面
[25:48] 你不可能沒有application
[25:49] 只是像它在agent layer這邊
[25:51] 可能就是會變成是最有溢價權的東西
[25:53] 因為它可以去決定說
[25:54] 要去支用哪一個軟體的API
[25:56] 最後面一定還是會有一些
[25:58] 所謂的贏家的API跑出來
[25:59] 只是在這段時間
[26:00] 可能因為它是一個比較劇烈的變化
[26:02] 所以導致市場這樣的一個清新產生
[26:04] 如果去看這一次的
[26:05] Cloud Code Security的話
[26:07] 也是差不多的道理
[26:08] 嚴格上來說
[26:09] 它是某一種SAST工具
[26:11] 也就是說它是靜態的去偵測
[26:12] 你先可能一個程式碼
[26:14] 把它寫好之後
[26:15] 你裡面可能有一些漏洞
[26:16] 就AI幫你弄出來的東西
[26:17] 或者你自己弄的東西
[26:18] 它其實是有一些漏洞的
[26:19] 那這些漏洞是
[26:20] 你可以在一開始就去把它補好
[26:22] 只是說你可能過往
[26:23] 你用人力去掃
[26:24] 你不一定可以看得到
[26:25] 就像他的blog所寫到的
[26:26] 有些東西其實在那邊很久
[26:28] 還是有一個漏洞在那
[26:29] 只是你沒有注意到
[26:30] 那像AI去幫你看了以後
[26:31] 它可以把這個漏洞給它補起來
[26:33] 所以像這種靜態掃描的工具
[26:35] 嚴格上來說
[26:35] 它在像所謂的美股上市的
[26:37] 自安的公司裡面
[26:39] 他們都是其中的一部分的佔比而已
[26:41] 就是它一部分的業務在做這個
[26:42] 但它並不是像主流去做防護
[26:45] 然後在追求的東西
[26:46] 所以某個程度上是說
[26:48] 在靠這裡他像是發表了一個
[26:50] 我現在可以讓你的code更加的完善
[26:52] 你在vibrecoding的時候
[26:54] 可能會出現一些漏洞
[26:55] 可以幫你補起來
[26:55] 然後大家就直接把它跳躍去解釋成
[26:58] 反正就一樣我講的黑白的思維
[26:59] 他就認為說
[27:00] 所以這就是某種資安的一個突破
[27:03] 所以資安公司都去死
[27:04] 但他其實跟資安公司
[27:06] 他們在努力的方向不一樣
[27:07] 就像說像是
[27:08] 我自己喜歡也是長頭的公司
[27:11] Calflare來說
[27:12] 他的重點是去擋住那些暴力的流量
[27:14] 或者說在之後的API取用上面
[27:17] 其他都會受賄
[27:17] 所以它其實跟這個SAST的故事
[27:19] 是不會有什麼衝突的
[27:20] 再來像CrossStrike
[27:21] CrossStrike它的很多的應用的範圍
[27:23] 像我們都知道說
[27:24] 在Google或者Microsoft的機房裡面
[27:27] 很多時候你看那個伺服器裡面
[27:28] 他們就會掛一個CrossStrike的App在裡面
[27:30] 這個App它其實本身的空間是極小的
[27:33] 它只要佔據一點點空間
[27:34] 它可以做到很全面的一個防護
[27:36] 然後這個是怕說
[27:37] 人家用那種更快速的方式
[27:38] 要去突破你的時候
[27:39] 你可以立刻去做封鎖跟阻擋
[27:41] 它跟其實這種去把靜態的Code
[27:44] 然後把它更加完善
[27:45] 也是有一定程度的差距
[27:46] 那當然我們不排除
[27:48] 就是市場的情緒
[27:49] 有可能在反映說
[27:50] OK他現在慢慢的
[27:51] 又在往前走一步了
[27:53] 所以會不會他最後面
[27:53] 就走到這些application的
[27:56] 那種最專業的專案
[27:57] 去那裡去搶他們市場
[27:58] 這個是當然有機會的
[28:00] 那當這種事情發生的時候
[28:01] 他會產生的一個狀態
[28:02] 就是有可能就是在估值上面
[28:04] 會去做一個壓縮
[28:05] 可是很多時候
[28:06] 我對這種事情
[28:06] 我之所以不會覺得
[28:07] 特別的悲觀的主因
[28:09] 是因為我認為
[28:09] 當很多的新工具出來的時候
[28:11] 他某個程度上
[28:12] 像我們很常去援引的
[28:14] Mark and Jason的一個訪問
[28:16] 就有提到說
[28:16] 人們常常會去低估
[28:17] 某個新工具加入之後
[28:19] 所導致的這個
[28:20] TAM市場的一個變化
[28:21] 我隨便舉一個例子
[28:22] 像大家看到很多的
[28:24] AI的模型對吧
[28:26] 那大家很常會去做一個比較
[28:27] 就是說SA比較強
[28:28] 可是這個我們大概
[28:29] 在一兩年前跟大家說
[28:30] 這個比較是一點意義都沒有的
[28:31] 因為你今天比較強
[28:32] 明天就換別人比較強
[28:33] 所以其實只是輪流去當冠軍
[28:35] 那其實也不用太在意說
[28:37] 因為像OpenAI
[28:38] 它一開始是有最大的一個市佔
[28:40] 然後現在OpenAI的市佔
[28:41] 就是被別人吃掉
[28:42] 慢慢的掉下去
[28:43] 那可能有些人
[28:46] 亂搞不好再跌這個
[28:46] 但我自己也不會這樣認為的一個主因是
[28:49] 當這個市場可能擴大了百倍
[28:51] 或甚至是千倍之後
[28:52] 你的市佔從80%掉到60% 40%
[28:55] 其實你都是賺他媽一大堆的錢
[28:57] 你懂嗎
[28:57] 就是你本來可能在一個
[28:59] 10塊錢的市場裡面
[29:00] 你的市佔是六成的話
[29:02] 你是賺六塊
[29:02] 那今天變100塊
[29:04] 你市佔變兩成的話
[29:05] 你是賺20塊
[29:06] 所以他其實都是賺更多錢
[29:08] 那當然在這個過程中
[29:09] 不免的會有一些
[29:11] 所謂的估值的修正
[29:12] 因為我本來假設是
[29:13] 整個市場都是你
[29:14] 雖然這是一個不理性的想法
[29:15] 這個其實在硬體上面有時候也會這樣子
[29:17] 就當某個人新驗證進去的時候
[29:19] 很多時候市場就會直接去反映說
[29:21] 他是一個soul supplier
[29:23] 就只有他
[29:24] 只有他是要提供所有東西
[29:25] 所以先給他一個恨天高的估值
[29:27] 然後最後發現說沒有
[29:28] 其他人都要進來
[29:29] 所以就開始在那邊屌殺亂殺亂砍
[29:31] 有些東西甚至直接跌掉五成之類的
[29:33] 可是等到大家冷靜之後又發現說
[29:35] 沒有其實整個市場是變大的
[29:36] 因為這個伺服器出貨太多了
[29:38] 所以本來就不可能有你一家全部吃掉
[29:40] 今天就算你的實戰從本來的100%
[29:43] 類似可能最早幫Invidia打L6板子的
[29:46] 就偽創就陪他練功
[29:47] 然後後面被鴻海去分
[29:49] 可是你會這樣就說
[29:50] 偽創就沒有辦法賺到錢
[29:51] 沒有其實他還是賺了比本來很多的錢
[29:53] 他的股價還是比數年前是高很多的
[29:56] 所以就是有點類似這樣子的一個道理
[29:58] 當今天市場可能變大
[29:59] 當今天大家可能對治安的awareness變高之後
[30:02] 他不代表的是一個
[30:04] 提早進入鴻海市場這樣一個狀態
[30:06] 這也是我們很常跟大家溝通的一個觀念
[30:08] 雖然在這陣子可能有些人會覺得說
[30:11] 操媽的你講的一些東西
[30:12] 好像在市場裡面
[30:13] 感覺不是這樣子
[30:14] 沒有因為其實
[30:14] 你仔細看美股市場
[30:15] 就剩下光通在漲
[30:16] 其他很多東西
[30:17] 老實講都去死
[30:18] 可是你會因為他們死
[30:20] 你就要像
[30:21] 不知道2022一樣
[30:21] 科技巨頭是他媽垃圾
[30:23] 然後什麼
[30:23] 這些什麼高速傳輸
[30:26] 或是一些
[30:26] AI相關的某些東西
[30:28] 軟體或什麼的
[30:29] 都是他媽垃圾
[30:30] 其實這個觀念是不對的
[30:31] 所以我們其實
[30:32] 一直跟大家溝通的是
[30:33] 你要到冷靜的去做判斷
[30:35] 因為有時候市場就會修正
[30:36] 然後我們以後
[30:37] 一定也會遇到像2022那樣子
[30:38] 搞不好一疊疊
[30:39] 疊整年的
[30:39] 可是這不代表這些東西是他媽的垃圾
[30:41] 所以其實冷靜的去判斷
[30:42] 到底他影響的範圍是多大
[30:44] 那等到他塵埃落定
[30:46] 雖然有時候塵埃落定
[30:47] 會比你想象中來得久
[30:48] 我覺得像我去
[30:49] 前一波在加碼特資的時候
[30:51] 我覺得300
[30:51] 我就很好的一個價格就加了
[30:53] 就他抵要200
[30:54] 他抵要200
[30:55] 我只有傻眼
[30:55] 所以其實我那個加碼的range
[30:57] 只有大概40塊
[30:58] 320到280
[30:59] 我真的沒有想到他會再往更下面
[31:01] 那直救面他就是跑到400多
[31:02] 然後400 500
[31:03] 大家拼命狂追
[31:04] 那這時候你就可以反過來
[31:06] 丟一點東西給人家
[31:07] 可是你會發現說
[31:07] 在300多往200的時候
[31:09] 整個市場一定都要跟你講壞訊息
[31:10] 我覺得大家都是看跌在那邊說跌
[31:12] 然後看漲
[31:12] 屌催
[31:13] 他的Optimus
[31:14] 他的FSD要大滲透
[31:16] 他反而是上不去
[31:18] 因為可能有些人就像我們這樣
[31:19] 你們在那邊嘴炮的時候
[31:21] 我們就可能收一點
[31:22] 所以我覺得
[31:23] 我自己還是會比較傾向站在用
[31:25] 甚至是可能看起來有點傻呆的方式
[31:27] 大家都在笑
[31:28] 為什麼你還是會去看這個領域
[31:30] 因為我覺得其實
[31:31] 怎麼講
[31:32] 就在市場上最明顯的
[31:34] 房間裡面的大象
[31:35] 就是老黃都直接跟你講說
[31:36] 這個判斷有點問題
[31:37] 可是大家還是要往這個方向去判斷
[31:39] 那就沒有辦法
[31:40] 有時候市場就是會有這種
[31:42] 恐慌的情緒出現
[31:43] 所以對我們來講
[31:43] 反正每次也是一種壓住
[31:45] 只要有控好自己的風險就好
[31:48] 就我不會認為說
[31:49] 像這個市場我覺得他在犯錯
[31:51] 我能不能說他跟你幹
[31:52] 不一定
[31:52] 因為有時候就算你贏了
[31:54] 可是最後面的估值還是回不去
[31:56] 那個是有機會的
[31:57] 所以這個也是我自己會稍微警惕一下的
[32:00] 所以以上
[32:00] 稍微跟大家分享一下
[32:01] 最近市場的一些狀態
[32:03] 然後整體來說
[32:03] 我是覺得
[32:04] 從年前我那時候就認為
[32:06] 是偏比較警戒的一個狀態
[32:08] 到現在我還是處於一個
[32:09] 比較警戒的狀態
[32:10] 因為我覺得開始有蠻多事件出來
[32:11] 只是我非常意外的一點是說
[32:14] 亞洲股市強到沒朋友
[32:16] 太誇張了
[32:17] 韓國股市因為記憶底泡亂掉
[32:18] 日本股市超強
[32:19] 我手上的日本的股票
[32:22] 翻倍的已經出現了負數格了
[32:24] 本來根本沒有想過
[32:26] 日本股市那時候只是配置的一環
[32:28] 其實也沒有放很多錢
[32:29] 只是想說應該會慢慢動
[32:32] 結果竟然全部開始翻倍
[32:33] 高市上之後直接做壞掉
[32:34] 亞洲股市超級強
[32:36] 臺灣股市也是
[32:37] 其實本來前波在往下跌的時候
[32:39] 要去踹基線的時候
[32:40] 我就覺得說應該要休息一下
[32:42] 我自己心中其實覺得應該要休息
[32:44] 所以才在那邊去做減
[32:45] 只是後來因為殺恐慌
[32:47] 所以恐慌我就補一點
[32:48] 恐慌我就願意補
[32:49] 可是整體來講
[32:50] 我這個盤面老實講
[32:52] 現在已經是有點處於那種看不懂的狀態
[32:54] 我自己跟身邊的一些朋友請教
[32:57] 他們也是覺得有一點看不懂
[32:58] 可是一般在這種看不懂的局面
[33:00] 我們不會因為這樣子
[33:02] 就覺得說去跟市場對著做
[33:04] 或是怎麼樣的
[33:04] 在我們的做法就是
[33:05] 你就多打一點電動
[33:07] 你可能就不會
[33:08] 不要壓得太大
[33:08] 你就多打一點電動
[33:09] 然後去觀察一下
[33:10] 後面的一些發展
[33:11] 所以簡單跟大家講一下
[33:12] 最近的一些心得
[33:13] 大概這樣
[33:14] 接下來我們進入Q&A部分
[33:15] 第一位
[33:16] Stefan WG
[33:17] 千辛萬苦留言
[33:18] 海外飛Apple手機的
[33:20] 遠古聽眾
[33:20] 希望能夠被唸到留言
[33:22] 之前在Apple跟Spotify
[33:23] 都試錯了
[33:24] 試了很多次
[33:25] 還是失敗
[33:26] 之前在臺灣旅遊的時候
[33:28] 在頂太風的門口
[33:29] 遇見孟公跟Liza
[33:30] 有幸跟老公拍了一張照
[33:32] 超級幸運的
[33:33] 可惜太害羞沒有說到太多話
[33:34] 其實超想要抱一下的
[33:36] 感謝老公多年的陪伴
[33:38] 剛畢業只有2到3萬美的迷你菜雞
[33:41] 現在已經是快20的小雞菜
[33:44] 學到很多股票知識
[33:46] 希望有天可以跟上老公的步伐
[33:48] 最後新年祝老公一家新年快樂
[33:51] 身心健康快樂
[33:52] 順心如意
[33:53] PS好久以前有聽眾推過的Young Sheldon
[33:56] 是TBBT的衍生劇
[33:58] 很好看
[33:59] 小時候的Sheldon很可愛
[34:00] 跟Noah一樣可愛
[34:01] 一定要看
[34:02] 這個好久了
[34:03] 以前我自己會在
[34:04] 我們飛行學校的宿舍
[34:06] 就整天在看
[34:06] 那個BitBand Theory
[34:07] 然後後來就
[34:08] 就是就脫節了
[34:09] 那可能有空
[34:11] 再把它複習一下
[34:11] 可是我們下禮拜要收心了
[34:13] 所以像我電動
[34:13] 應該也會少打一點
[34:14] 會專心的去
[34:15] 做自己的工作
[34:17] 那OK
[34:18] 我也是覺得非常幸運
[34:19] 可以遇到大家
[34:20] 像昨天去吃Ember Hill的時候
[34:21] 第一次遇到這種事情
[34:23] 就平常可能
[34:24] 我去一些地方
[34:24] 我知道會有大概一兩組人
[34:26] 跟我拍照之類的
[34:27] 然後我昨天去Ember Hill
[34:27] 不知道發生什麼事情
[34:28] 我出來
[34:29] 就外面是有十幾個人
[34:30] 然後要跟我合照這樣
[34:31] 所以對我來講是受寵若驚
[34:33] 其實我至今都不知道發生什麼事情
[34:34] 就我不覺得我有做什麼事情
[34:36] 是值得人家來跟我拍照
[34:38] 我至今是搞不清楚這件事的
[34:40] 所以還是非常感謝
[34:41] 然後在昨天也是有一位聽眾講說
[34:43] 他是美國回來的
[34:44] 然後他回來臺灣看一下
[34:45] 然後就剛好遇到了
[34:46] 所以緣分
[34:47] 就是緣分
[34:48] 下面一位Will Lin
[34:50] 初五開工
[34:51] 祝主委孟公大大滿年順遂
[34:54] 操作跟家庭平衡美滿
[34:56] 我是潛水很久的老聽眾
[34:58] 今天第一次留言
[34:59] 從金融海嘯那年進入市場的
[35:00] 我是個人生活過2400周的老快樂寶貝
[35:04] 那算起來好像經驗豐富
[35:06] 但每隔一段時間就會幹蠢事
[35:08] 然後中傷
[35:08] 每次在各平臺不經意看到
[35:10] 有人問什麼什麼標的會不會漲
[35:12] 突然想借孟公這邊呼籲一下
[35:15] 孟公大在節目行間裡面都已經告訴過你
[35:17] 標的好會不會漲也不知道
[35:18] 確實是這樣
[35:19] 兄弟你要會的是
[35:21] 如果漲了是怎麼處理
[35:22] 落疊了怎麼應對
[35:23] 之前看過一些猛男的持倉
[35:25] 真的噴射的也大概就20%
[35:27] 怎麼可能會上網問一支
[35:29] 就會覺得帶來高報酬
[35:30] 就算有也是賽道的好嗎
[35:32] 我可是一路受傷
[35:33] 始終如一的快樂寶貝
[35:35] 幸愛大跟我
[35:36] 一正一反一定會引導你走上成功大道
[35:39] 祝全體聽眾馬年
[35:41] 每天晚上睡得著
[35:42] 穩穩賺快快富
[35:44] 非常感謝這位老聽眾的一個feedback
[35:46] 大家都喜歡去籤稱自己是快樂寶貝
[35:49] 老公子
[35:49] 我覺得你有意識自己
[35:51] 可能哪邊做不好
[35:52] 你可能是快樂寶貝
[35:53] 你可能是
[35:53] 好像我自己很常跟大家反省說
[35:55] 我覺得哪邊沒有高
[35:56] 我覺得這些人
[35:57] 嚴格上來說都不會是快樂寶貝
[35:58] 你只要有病逝感的
[35:59] 都很難會是快樂寶貝
[36:01] 快樂寶貝就是你搞不清的狀況
[36:02] 然後還在那邊大放厥詞
[36:04] 才比較偏向是快樂寶貝
[36:05] 所以大家真的都是很謙虛
[36:06] 那再來就是
[36:07] 其實這位兄弟講的內容
[36:09] 我算是認同的
[36:10] 不然說像是這個
[36:12] 標的會不會漲不知道
[36:13] 我們只能夠說
[36:13] 我們有信心它會漲
[36:15] 只能夠這樣講
[36:16] 就類似說我去做一些押注的時候
[36:18] 我知道它有可能會漲
[36:21] 可是它有可能會跌爆
[36:22] 我覺得說像我最近在押的東西
[36:25] 像光通
[36:26] 光通就暴漲
[36:27] 像是不管這個
[36:28] Lumenton, Coherent
[36:29] 或是上游的AXTI
[36:30] 這個都帶給我很好報酬
[36:32] 衛星也賺錢
[36:33] 可是像是高速傳輸
[36:34] 至今老實講
[36:35] 我真的是不知道
[36:37] SRLAB在疊什麼
[36:38] 我真的是不知道
[36:39] 它在疊什麼
[36:39] 因為在我們看到的東西
[36:40] 就會覺得說
[36:41] 它沒有這麼不堪
[36:43] 怎麼會這樣
[36:44] 同時又讓我想到
[36:45] 另外一隻標的
[36:46] AOI
[36:46] 這也是超多人喜歡的標的
[36:49] 就談了很多我在搞
[36:49] AOI之前
[36:50] 你去看一下它怎麼洗的
[36:51] 那你根本不可能抱住
[36:53] 那個我們身邊
[36:53] 超多產業圈的人是壓爆
[36:55] 你知道為什麼嗎
[36:56] 因為他們還會在林口辦廠次
[36:57] 所以我們身邊超多人
[36:58] 滿倉這個
[36:59] 然後全部被搞到賠報
[37:01] 然後突然間
[37:02] 可能大家不想搞的時候
[37:03] 就噴爛了
[37:04] 所以有時候這樣
[37:05] 我當然不是去暗示說
[37:05] SR Labs一定會噴爛
[37:06] 只是有些東西
[37:07] 你真的是不知道
[37:08] 它為什麼會這樣子
[37:09] 就是我們是用一樣的邏輯
[37:12] 跟思考去做這些配置跟壓住
[37:14] 可是就不知道
[37:15] 像以軟體股來講
[37:16] 我在壓軟體股的時候
[37:18] 在臺股我買了一個
[37:20] 我覺得很喜歡的軟體股
[37:21] 然後至今的報酬
[37:23] 基本上就算是零
[37:24] 就一年多快兩年的
[37:25] 都不會漲啊都停在原地啊
[37:27] 可是那時候我買的美股
[37:29] 像Paymentier
[37:29] 那個最高的時候是超級多倍
[37:32] 你根本不知道發生什麼事
[37:33] 當然現在有在吃一些回吐啊
[37:34] 那其實在八十幾塊我就有解麻一些
[37:36] 後來碰到最高點的時候
[37:37] 我也沒有賣在最高點
[37:38] 那像這個Clawflare
[37:40] 我也是相信他會漲
[37:41] 只是他怎麼會漲出Paymentier
[37:42] 因為在我看來他應該要漲贏Paymentier
[37:44] 然後其實我覺得最應該漲的Confluent
[37:46] 結果後來他被收購了
[37:47] 然後被收購就算是就結束了
[37:49] 其實我也不知道後面會發生什麼事情
[37:50] 可是那時候理論上
[37:52] 因為他的那個Market Cap是最小的
[37:53] 那我覺得他想像空間也很大
[37:55] 可是他就是掌柱這些東西
[37:56] 所以我也沒有想到說
[37:57] 可能在臺股或是說confluent的這個軟體股
[38:00] 他會跑輸Pantheon跟Cloudflare
[38:03] 真的沒有想到
[38:03] 所以其實有買到東西
[38:05] 對我來講是很難以預期的
[38:07] 我們只能夠說
[38:07] 我們可能在自己的經驗或是說判斷之下
