[00:00] 欢迎收听谷外,我是圣梦宫,本集节目由植村秀赞助
[18:48] 我覺得現在就是有一種那種
[18:49] 好像我們已經是夢回
[18:50] 不知道就幾年前的感覺
[18:52] 讓老AI再一次全部跑回來
[18:54] 而且這是最有趣的事情
[18:55] 因為陳太平剛成為台灣首富
[18:56] 我是沒有更新到禮拜五的狀況怎麼樣
[18:58] 因为礼拜五我们看到像鸿海跟广达都直接说涨停
[19:01] 其实那几个首富他们的位阶是还蛮接近的
[19:04] 也就是说后面搞不好有机会可以看到一个首富赛跑
[19:07] 我觉得这会很有趣
[19:08] 就是大家的市值是很接近的
[19:11] 不是说公司
[19:12] 就是个人的cap加起来是很接近的
[19:14] 所以这个股价的变化就会直接去影响到说
[19:16] 这个首富的榜位会去换来换去
[19:19] 那可能直到像是马斯克这样直接拉出一个绝对的距离
[19:22] 他就是一个公认的首富
[19:23] 所以后面可能可以观察这一段
[19:25] 那你说这些老AI家在喷什么
[19:27] 當然很多人說是因為DAO的成績開得很好
[19:29] 它的營收的增速怎麼樣
[19:30] 但在我們的角度或認識的市場人士的角度
[19:35] 其實大家不會覺得這是一個非常意外的成績
[19:37] 或什麼的
[19:38] 因為其實大家都知道很好
[19:39] 現在關鍵只是到底資金要在哪裡
[19:41] 那確實就是在過去一段時間
[19:43] 資金已經是大幅的去撤出ODM
[19:45] 或是說EMS這類的東西
[19:47] 撤出並不是說它不會漲
[19:48] 就是它的成績都一直有
[19:50] 它的營收跟獲利一直都有
[19:51] 只是就是市場不喜歡它
[19:52] 沒有要去推它的一個PE的估值
[19:54] 跑去推什麼推像光通這樣的東西
[19:56] 那最近光通休息了
[19:57] 那就变成说
[19:58] 你看又是再一次的轮回
[20:00] 所以我们才会很常跟大家讲说
[20:01] 你不要在一个东西不好的时候
[20:02] 一直去乱diss他
[20:03] 像前面那个SRLAB在地上的时候
[20:05] 也是一堆人
[20:05] 你前面都说他好的
[20:07] 怎么突然间就全部改口了
[20:08] 那下300块
[20:09] 请问你怎么去自洽你的逻辑
[20:10] 就代表说你就是一个
[20:12] 那妈见风转舵仔
[20:13] 那见风转舵在市场里面
[20:14] 我觉得有时候是必要的
[20:16] 就是你不要抱着一个
[20:17] 那妈垃圾东西
[20:18] 然后就一路相信他到底
[20:20] 然后最后面就直接整个撑下去
[20:21] 但是如果你要去看族群性的话
[20:23] 其实还是要去理解说
[20:26] 所以有時候就是你要有一點耐心而已
[20:29] 那現在重新動回去這些老AI的話
[20:31] 當然對很多人來講
[20:31] 它是一個很大的刺激
[20:33] 他會覺得說這是一個好東西
[20:35] 我可以衝進去或什麼的
[20:36] 那只是站在我們自己的角度
[20:38] 還好
[20:38] 就是我不會因為說
[20:39] 今天可能看到鴻愛廣達 維穎
[20:41] 或是美國的這幾個可能OEM ODM
[20:45] 那他們的表現很好
[20:45] 就會覺得資金該往這個方向去
[20:47] 我認為一下市場的一個狀態是這樣
[20:49] 就是說其實它是百花齊放
[20:51] 因為就是多頭嘛
[20:52] 那又在新高的位置
[20:53] 所以有很多的東西在市場上
[20:55] 那这时候就是你怎么样去选择而已
[20:57] 就像是我最近很常跟身边朋友讨论
[20:58] 我最常讲的一句话就是说
[21:00] 现在被动元件已经是被市场注意到
[21:02] 前面大家都没有在看
[21:03] 然后后来大家终于注意到
[21:04] 然后开始进去
[21:05] 那可是我还是会有一点
[21:07] 我觉得不太协调的地方
[21:08] 就像说我们目前看到最缺的东西
[21:10] 当然弹电
[21:11] 然后高阶MLCC
[21:12] 那再来就是铝电容
[21:14] 铝电容也是非常的缺乏
[21:15] 特别是日常要测出一些产品线
[21:17] 牛角电容等等的
[21:18] 然后再来可能会到电感之类
[21:20] 电阻
[21:20] 那可是在市场里面的一些讨论
[21:23] 很有趣的是
[21:24] 就大家只有在看MLCC
[21:25] 所以有时候就是说
[21:26] 市场还会走得比较慢一点
[21:27] 就是大家没有反应过
[21:29] 因为对大家来说
[21:30] 最吸反应的东西就是
[21:31] 之前我们都是在看MLCC
[21:33] 2018的时候
[21:34] 所以到现在我们
[21:35] 当然还是先从MLCC开始
[21:36] 所以他忽略掉一些东西
[21:38] 那实际上
[21:38] 这个东西被忽略掉又怎么样
[21:40] 他还是有涨
[21:41] 就不是说什么铝电容
[21:42] 或者说其他的
[21:43] 被动元件没有喷
[21:44] 没有他们其实都是有喷
[21:45] 只是市场对他的讨论度是不够的
[21:47] 所以这个逻辑
[21:48] 其实可以套用在市场里面的
[21:49] 像这些族群
[21:50] 就是有很多可能拿着ODM的
[21:52] 他们有在抱怨说
[21:53] 你们这些人怎么都看不懂
[21:55] 你们怎么都没有进来买
[21:56] 终于涨停了
[21:57] 然后可能冲进去之后
[21:57] 又发现又要回档之类
[21:58] 当然我是相信
[21:59] 都会去慢慢的往上推
[22:01] 就是因为市场资金
[22:02] 很充沛的状况之下
[22:04] 只要后面没有突然间
[22:05] 杀出一个
[22:05] 什么疯狂的升息规划
[22:07] 或者是有一些
[22:09] 国际的事件产生的话
[22:10] 其实目前的状态
[22:11] 本来就是满地都是有好东西
[22:13] 像刚才前面去比说
[22:14] 我认为市场可能过度关注的
[22:17] 你说MLCC有没有缺
[22:18] 那绝对也是有缺
[22:19] 可是你们花太多心力在上面
[22:20] 因为我更缺东西在旁边
[22:21] 那个已经是一种
[22:22] 就是我跟朋友称为
[22:23] 是锦上添花的行为了
[22:25] 就是反正都有喷
[22:26] 只是当然大家都会觉得说
[22:27] 自己家的孩子是最好的
[22:28] 你买最多的应该要喷最多
[22:30] 可是有时候你要去尊重一下
[22:32] 就市场资金怎么样去做轮动
[22:34] 如果你真的觉得没效率的话
[22:36] 当然你就可以去
[22:37] 随着资金的流动去赌看看
[22:39] 就像说像你现在就很明确的看到
[22:40] 你看像IGV ETF
[22:43] 因为它里面包的
[22:44] 当然它不是完全都是very software
[22:46] 它有些还是偏要硬体的东西
[22:47] 但我觉得它已经算是一个
[22:49] 可以去参考的东西
[22:50] 你看他直接拉出一个这么高的一个爬鼠
[22:52] 在我们的眼中就视为是一个表态
[22:55] 所以后面就是有可能资金会往软体的方去跑
[22:58] 所以前面很多软体股的持有者
[23:00] 你喊破喉咙
[23:01] 市场就照样会把你的东西dunk下去
[23:03] 因为大家就是觉得不好或什么的
[23:05] 只是如何去维持自己的
[23:07] 怎么讲
[23:07] 就是你的理智
[23:08] 同时在最有效率的地方去做加码
[23:11] 这个才是我们努力的方向
[23:12] 就是你不用花太多心力去跟大家沟通
[23:14] 说什么市场是对是错
[23:15] 那真的不重要
[23:16] 重点是你现在已经看到表态
[23:18] 那你敢不敢再跟着再继续推
[23:20] 就类似说你看到老AI表态
[23:22] 你要不要再继续推
[23:23] 那我就讲我的意见
[23:24] 就是我觉得这些东西其实都是好的
[23:25] 我们本来就不会在他可能盘整的时候
[23:27] 就去乱diss他或什么的
[23:28] 那只是就是你还会有一个轻重缓急
[23:31] 就类似说一样是被动连接
[23:33] 你会选择去压
[23:34] 你觉得他可能是在后面会更缺的东西
[23:36] 拉长看最终都是会回到基本面
[23:38] 那哪个东西可能是在后面涨价会涨最多的
[23:41] 可能是毛利要生会是最高的
[23:43] 会是最缺乏的
[23:44] 会是房间里面的大象
[23:46] 就是大家可能隐约知道有个东西在那
[23:47] 可是真的还没有注意到
[23:49] 那可能就会是大家想要去
[23:50] 专注的一个重点
[23:52] 所以其他的盘面
[23:54] 我个人认为说
[23:55] 反正就是一个非常漂亮的多头
[23:56] 然后东西都在一直喷
[23:58] 那也不是说没有发生天法
[24:00] 其实前面都有发生天法
[24:01] 都有发一下
[24:01] 那只是说这个很特别一点是
[24:04] 市场都还是一直有资金在持续的往上推
[24:06] 那在我自己的角度会认为说
[24:08] 像前面这样子有一些压力测试摔一下
[24:10] 那都是好的
[24:11] 就是如果说不摔的话
[24:12] 那可能后面一摔
[24:13] 就摔一个非常大的
[24:14] 但前面都会时不时的
[24:16] 一些热门股会出现什么跌停
[24:18] 或是大盘会出现一些回挡
[24:19] 大逃杀或什么的
[24:20] 其实这个代表这个盘面
[24:21] 都还算是相对健康
[24:22] 也就是后面就算有杀人的话
[24:24] 那不会是那种
[24:25] 千天霹雳那种等级的
[24:27] 我会觉得应该是还OK
[24:28] 那只是当然随着市场的资金
[24:30] 越来越乐观
[24:30] 后面会不会又再有新的改变
[24:32] 不确定
[24:32] 因为我们家看到融资增加
[24:33] 速度是超级快的
[24:34] 所以确实是蛮多人已经是
[24:36] 就是有点像说拿命去搏
[24:38] 然后跟他干干到底
[24:39] 那当然可能后面
[24:40] 還是會有一些狀況產生
[24:41] 但我們目前就是
[24:42] 純用Fundamentals的角度來看的話
[24:44] 在硬體這邊有大量的ODM OEM
[24:47] 持續交出很好的成績
[24:48] 然後現在有論述被帶起來
[24:50] 由美國這邊去發起進攻之後
[24:52] 台灣的硬體也都跟上去
[24:54] 這個我覺得OK是蠻健康的
[24:55] 然後在軟體的部分
[24:57] 自從最前面的那家叫什麼
[24:59] Teams其實Teams先跳上去
[25:01] Alesian它先跳上去之後
[25:02] 然後後來持續的一家一家接棒
[25:04] 到現在好多家都已經跳上去了
[25:06] 那代表軟體也起來
[25:07] 所以它就是一個那種
[25:08] 全面好的一個狀態
[25:10] 那简单讲就大家都在chair picking
[25:11] 现在你就是去挑一个
[25:13] 你觉得可能哪里最会动的
[25:14] 那可能就往那个方向去
[25:15] 也是我自己会做的一个做法
[25:17] 但目前的状态也是
[25:18] 以台股来讲
[25:19] 因为绝大多数的东西都锁住厨师股
[25:21] 所以基本上没有办法动
[25:22] 那就是看后面怎么样
[25:23] 可能出厨制之后
[25:24] 或是有一些新的想法
[25:25] 那再做一些资金的变换
[25:27] 那不然其实
[25:28] 现在就是一个
[25:29] 就大家都很好的一个状态
[25:31] 比大家赚多赚少
[25:32] 可是应该每个人都在赚钱
[25:33] 那昨天去参加了一下
[25:35] 好朋友梁董邀请的
[25:37] 就是凡台湾软体公司的一个
[25:39] 软体发布会
[25:40] 稍微的看了一下之后
[25:41] 自己有一些心得跟想法
[25:43] 首先我们都知道说
[25:45] 在一个大原则之下
[25:47] 一般科技的演变是这样
[25:49] 反正前面会有一个infra潮
[25:51] infra潮之后
[25:52] 就会进入到application
[25:53] 确实我们在2023年至今
[25:56] 应该说在2023到2024
[25:58] 它算是一个小循环
[25:59] 它前面有一个infra的建制潮
[26:01] 就那时候OEM ODM超级喷
[26:03] EMS喷到天上去
[26:04] 后来就换成是software这边
[26:07] 就注意到美股和软体股
[26:08] 喷到天上去
[26:08] 像那時候Pantier是20幾直接噴到100多
[26:11] Cloudflare什麼翻倍
[26:12] Cross-tribe就是一堆軟體都直接射出去
[26:15] 後來也就是開始出現說
[26:17] AI可能會去取代工作
[26:19] 取代軟體這樣的一個論述之後
[26:20] 又重新的去洗牌
[26:22] 再一次的錢跑來去硬體
[26:23] 只是在2025那時候最火紅的硬體其實是光通
[26:26] 光通是2025可能一個最大的表現
[26:29] 後來一路到了2026之後
[26:30] 現在又再一次的資金重新的去回到一些
[26:33] 所謂的老AI
[26:35] 老ODM OEM
[26:36] 然後以及現在我們又看到說
[26:38] 资金跑来去软体
[26:39] 我个人是会觉得说
[26:40] 那有点像是一个这种
[26:41] 除了是周期循环之外
[26:43] 那也是一个小坡跟大坡的结构
[26:45] 前面先演一次
[26:46] 大家是去想象说
[26:47] OK硬体走完去走软体
[26:48] 那后来是来真的
[26:50] 就是在可能硬体这边
[26:51] 有营收搭配获利
[26:52] 开出来的一个大坡之后
[26:54] 然后接着可能就是在软体这边
[26:55] 大家开始注意到
[26:56] 像前面提到的一些公司
[26:58] 不管是什么
[26:59] 最近开财报的Snowflake
[27:01] 或是前面给大家很多惊喜的
[27:03] 那几家小型软体公司
[27:04] 他们的营收跟获利的数字
[27:06] 直接让我们跳出去
[27:07] 是增速的
[27:08] 就大家本来说
[27:08] 你应该会死
[27:09] 结果他没有死掉
[27:10] 一个Sexy Back Zone
[27:11] 那我觉得后面可能
[27:12] 论述又会再一次的
[27:14] 跑回去
[27:14] 这些软硬结合
[27:16] 或者说在软体的应用面
[27:17] 那软体的应用面
[27:17] 也不要误会
[27:18] 它不是只有说
[27:19] 可能台面上的
[27:20] 这些软体公司
[27:20] 它一定也会有一些是
[27:22] 新的玩家
[27:23] 就像说最后面
[27:24] 这个软体的Portfolio
[27:25] 里面的组成
[27:26] 可能有蛮大一部分
[27:27] 它本身就是
[27:28] OpenAI跟Enthropic
[27:30] 因为你去看
[27:31] 它那个AR的一个恐怖数字就知道说它确实是抓到了很多應用面的一個錢那只是過往的一些軟体公司呢蛮多也成功的去从本来是Cbase的计费方式变成是Tokenbase的计费方式
[27:42] 所以他们也会随着AI的应用放大
[27:45] 你会注意到它的营收跟获利的数字
[27:47] 也是会越开越好
[27:48] 在公司去做一些调整之后
[27:49] 他们跟这些新兴的AI软体公司比起来的差别在于说
[27:54] 他们是需要一些转换期的
[27:56] 因为他本来的收费方式
[27:57] 他并不是符合这个时代的一个收费方式
[27:59] 所以他在转换期的时候
[28:01] 它会出现一些
[28:02] 不然说像是股价的崩杀
[28:03] 或者说一些裁员
[28:04] 一些结构上的调整
[28:06] 那个是正常的
[28:06] 但只要可以把它调出来的
[28:08] 特别是像之前有跟大家分享过
[28:09] 只要是Founder Mode的公司
[28:11] 就像Founder还在里面
[28:12] 他们可以立刻的
[28:14] 破釜沉舟去做改变
[28:15] 其实蛮多后面都有机会
[28:16] 会给大家带来一个惊喜
[28:18] 所以就是有机会
[28:19] 在这个应用层面这边
[28:20] 你会注意到
[28:21] 它带来的一个市场
[28:23] 是难以想象的
[28:24] 可能是会非常非常大的
[28:25] 那去听完这个软体发布会
[28:27] 我自己有一些想法
[28:28] 这个想法可能
[28:30] 不知道有些可能听起来很奇怪
[28:32] 但反正就是我想把我简单跟大家讲一下
[28:34] 总之就是
[28:35] 现在大家很专注的东西是在于说
[28:37] 你在网上看到蛮多人讲
[28:39] 模型谁比较厉害
[28:40] 谁生出来的结果比较好或什么的
[28:42] 但我自己是这样认为
[28:44] 因为绝大多数的模型的训练
[28:46] 它是based on网路上的一些公开资讯
[28:48] 所以其实大家拿到的资料是一样的
[28:50] 除非说
[28:51] 当然有些东西你去拿了
[28:52] 可能给人家告
[28:52] 所以你必须要付钱给他
[28:53] 然后特别去拿一些特有的资料
[28:56] 或者有些社群平台
[28:57] 他有他的优质
[28:57] 像Grok
[28:58] 他就可以去使用
[28:59] 在X上面的一个资料
[29:00] 但其实大家拿到的资料
[29:02] 我觉得通知性是相对高的
[29:04] 反正就是普罗百姓
[29:05] 在网络上的各种分享跟讨论
[29:07] 或是一些新闻媒体
[29:09] 一些什么学术论文
[29:10] 只要在网上公开的东西
[29:11] 大家拿到的东西
[29:12] 可能是差不多的
[29:12] 但后面会进展的方向是怎么样
[29:14] 就是势必在资料这边
[29:16] 会去做出一些区别
[29:17] 所以你去掌握资料的人
[29:19] 才是真正的赢家
[29:20] 也就是你去拿通用资料
[29:21] 去做训练的话
[29:22] 到某个程度上
[29:23] 大家会发现说
[29:24] 编辑效应递减
[29:25] 就是大家做出来的可能差不多的
[29:26] 那谁可以去拿到专家资料
[29:29] 特有资料
[29:30] 或是一些封闭式的付费资料
[29:33] 或甚至是不对外开放的
[29:34] 因为我是大企业
[29:35] 那我知道为什么要对外
[29:37] 就算你要跟我买
[29:37] 我也不要卖给你啊
[29:38] 那可以去access这些资料的
[29:40] 就是那些deployment公司
[29:42] 他可能也是软件公司
[29:43] 或是他是一些整合公司
[29:44] 那他们可能在后面
[29:46] 获得前所未有的一个优势
[29:47] 为什么
[29:48] 因为他拿到的资料是特别的资料
[29:49] 那这个资料就可以在
[29:51] AI模型的一个强大帮助之下
[29:53] 会发挥出很好的一个效果
[29:54] 所以以前我們很常聽到一個說法
[29:56] 什麼AI OT大數據
[29:58] 這個就是已經變成像是一個Buzzword
[30:00] 就是反正那種路邊的阿伯
[30:01] 每個也會跟你講這個
[30:03] 一堆創業老闆跟你吹這個
[30:04] 然後根本就拿不出半攤小
[30:06] 什麼大數據
[30:06] 大數據就是收集一堆
[30:08] 什麼幾百萬筆的資料
[30:09] 然後沒有一筆你會用
[30:10] 一堆垃圾資料在那邊
[30:12] 可是現在的差別是在於說
[30:13] 以前這個資料你要去做分析
[30:15] 你要去做利用
[30:16] 確實是很困難
[30:17] 但現在在AI的一個導入之下
[30:19] 那個速度是超級快的
[30:20] 我用AI去看
[30:21] 它可以很快就理出說
[30:23] 里面的pattern是长什么样子
[30:24] 他真的可以把这个资料
[30:25] 变出一个有用的结果
[30:27] 那重点是说
[30:28] 那到底谁有这些资料
[30:29] 所以获得资料本身
[30:31] 在后面会是一个
[30:33] 鉴别度的东西
[30:34] 然后再来另外一个就是
[30:35] 业务的拓展
[30:36] 会是一个鉴别度的东西
[30:37] 那他跟前面的大前提
[30:39] 还是一样
[30:40] 也就是说当今天
[30:41] 我已经注意到
[30:42] 你们各家做出来的服务
[30:44] 其实你说一下你强
[30:45] 一下他强
[30:46] 可是最终拉长看
[30:47] OK那你们其实是难分宣制的
[30:49] 那在这样状况之下
[30:50] 谁可以去接到业务
[30:52] 那谁就可以赚钱
[30:54] 听起来常常废话
[30:54] 但我会认为在后面一阵子
[30:57] 有可能大家开始去讨论的重点是
[30:59] 业务能力商务能力
[31:01] 它会是这些软体去做deploy的时候
[31:04] 可以获得最大优势的一个主因
[31:07] 而不是说你背后的模型
[31:09] 跟你去使用的这些硬件有多强
[31:12] 因为那个不是一个关键点
[31:13] 特别是在现在
[31:15] 我自己有去使用
[31:16] Proplexity Computer的一个
[31:18] 这个使用情境里面
[31:20] 我个人是不会太在意说
[31:22] 他现在帮我用的模型
[31:23] 虽然有时候
[31:24] 还是会去做一些小改正
[31:25] 就像说像我还是
[31:26] 比较喜欢Cloud的模型
[31:28] 我没有那么喜欢
[31:28] 这个GPT的模型
[31:30] 可是在绝大多数状况之下
[31:32] 只要你可以deliver
[31:33] 我要的一个结果给我
[31:34] 我请你分析
[31:36] 我请你帮我画
[31:36] 我儿子的宝可梦图
[31:38] 我不管你去
[31:38] 只用哪一个模型
[31:39] 反正你最后面
[31:40] 有帮我把东西做出来
[31:41] 我就OK
[31:42] 所以对我来说
[31:43] Perplexity Computer
[31:44] 他就是做好了一个
[31:45] 很好的业务能力
[31:46] 因为他解决了我的问题
[31:47] 那我不在意
[31:48] 你背后用的模型是谁
[31:49] 他实际上背后
[31:50] 都是串的各種模型
[31:51] 然後他去做一個交互的致用
[31:53] 那這什麼意思呢
[31:54] 這代表說
[31:55] 他其實capture到了很大的一個價值
[31:57] 因為我身為用戶
[31:58] 我付錢給你
[31:59] 我不在意你後面用的是誰
[32:00] 所以你後面用的模型
[32:02] 說不定他們還要來拜託你說
[32:03] 你可以多用我一點或什麼的
[32:04] 我給你降價一些
[32:05] 所以這對他來講都是一個margin
[32:07] 他都是可以賺到錢的
[32:08] 那這個是我們講說
[32:09] 就是在消費端的一個軟體的應用方面
[32:12] 然後再來就是在實體的應用方面
[32:13] 當今天你要去開放你的公司的資料
[32:16] 讓別人來看的話
[32:17] 你會選擇開放給哪樣的公司
[32:19] 像我们前面有聊到说
[32:20] 为什么Google去跟人家搞那个
[32:22] 然后就跟黑石搞TPU as a service
[32:24] 就是TPU的一个出租呢
[32:26] 这个是有搞头的
[32:27] 比他自己在自己内建的Cloud有搞头
[32:29] 有些公司就觉得说
[32:30] 我不想要把资料给Google
[32:32] 我就不想把我资料放在Google上面
[32:33] 可是如果你今天是
[32:34] 额外出来搞一个Neo Cloud的话
[32:36] OK那就是可以的
[32:37] 所以这时候大公司不一定有优势
[32:39] 就是一些大公司可能在
[32:40] 明面上市
[32:42] 他有可能会跟我竞争到
[32:43] 我资料不想放在那
[32:44] 或是我觉得他的流通太多
[32:45] 我会觉得这个地方是危险的
[32:47] 他不一定会选择这个
[32:48] 他可能会选择一些
[32:49] 服务做到家
[32:50] 然后非常的专注在治安
[32:53] 非常的专注在各种法尊
[32:54] 然后会确保说
[32:55] 反正你今天出事情
[32:57] 它是可规则性的
[32:58] 简单来讲
[32:58] 你像Meta它上面那个诈骗
[33:00] 你要去告主克博吗
[33:01] 你根本也告不到
[33:02] 你根本找不到人家负责
[33:03] 所以Meta大家用的
[33:05] 怎么讲
[33:05] 又爱又恨
[33:06] 一方面觉得好用
[33:07] 一方面骂干你娘
[33:08] 就是你根本没有办法处理它
[33:09] 所以会变成是这样
[33:11] 我今天我在台湾
[33:12] 如果我今天要去穿一个模型
[33:14] 就要说Meta出一个模型
[33:15] 你要给我穿
[33:15] 可是如果后面出了问题
[33:17] 我在报税的时候出了问题
[33:19] 或是法尊有问题
[33:20] 我东西一拿出去
[33:20] 直接给人家告诉说
[33:21] 你怎么偷我资料
[33:22] 我想说没有
[33:23] 我是用Meta模型
[33:24] 那这时候你要叫Meta负责
[33:25] 他不会负责
[33:25] 你也找不到人
[33:26] 可是如果今天是
[33:27] 台湾的一个SI来帮你做
[33:29] 你可以找老板负责
[33:30] 所以这个真的就像一些工程师讲
[33:32] 为什么像工程师
[33:33] 就要说他虽然他的很多工作
[33:34] 已经是让AI去帮他做coding
[33:36] 或什么的
[33:36] 可是还是需要一个人在那边管理
[33:37] 为什么
[33:38] 因为要可规则性
[33:38] 要有一个人是
[33:40] 就要说你会害怕你会失业的
[33:42] 你可能要辞官司
[33:42] 你会负责赔偿的
[33:43] 那有這個人的存在其實是非常重要的
[33:46] 因為你每個東西都要找到是有人可以去負責的
[33:48] 特別是如果你今天不是一個
[33:49] 像我們很多消費性的應用師
[33:51] 我就要說我去問AI
[33:52] AI跟我亂講
[33:53] 像我最近在那個FRED上面
[33:55] 有人丟給我看
[33:56] 就是反正他就提到說
[33:57] 我可能過去講某一個東西
[33:59] 他覺得超級有道理
[34:00] 那可是下面有一些人
[34:00] 他不知道我過去講什麼
[34:02] 他就問那個Meta AI
[34:03] 然後Meta AI就跟他講說我講什麼
[34:04] 可是那Meta AI完全講錯
[34:06] 可是那個完全講錯的東西竟然有100讚
[34:08] 那我看到我當然不會想出來去幫自己去做解釋
[34:11] 就是说他其实根本就讲错了
[34:14] 但你看其实很多人
[34:15] 在看这种garbage资讯
[34:16] 就是他以为AI很屌
[34:17] 但其实AI在为你吃大便
[34:19] 那你还吃得很高兴
[34:20] 所以有点像单左华盛顿讲的
[34:22] 就是说你看太多新闻的话
[34:23] 那你是misinformation
[34:25] 你没看的话你是uninformed
[34:27] 反正总之两个
[34:28] 可能都不是一个太好选项
[34:29] 所以可规则性
[34:31] 然后跟这个业务能力
[34:33] 就会变得非常的重要
[34:33] 也就是我要可以知道说
[34:35] 你帮我做了这个东西
[34:36] 你是有去针对
[34:38] 我们的企业的使用
[34:39] 去做teramade
[34:40] 那你是有去注意法尊的东西
[34:42] 你是有注意到说
[34:43] 一些侵权的东西是不能够犯的
[34:44] 你才可以获得我们的订单
[34:46] 也就是说一家公司的业务能力
[34:48] 跟商务能力
[34:49] 在后面的一段时间
[34:51] 我相信是会凌驾于
[34:53] 就是你如何的去跟大家pitch说
[34:55] 你一个很屌的模型
[34:56] 其实这个你可以从
[34:58] 这几家顶尖AI模型
[34:59] 他们现在开始
[35:00] 也在hire一大堆FDE工程师
[35:02] 你就可见一斑
[35:03] 就会知道说
[35:04] 你去做通用的东西
[35:05] 已经是当然很酷
[35:07] 可是已经不是什么新鲜事了
[35:08] 现在你要去做TerraMade的东西
[35:10] 你必须要派人家进去
[35:11] 你要把这个生意谈下来
[35:12] 那个是很关键的
[35:13] 那个是很难的一个点
[35:15] 所以听完一个软体发布会
[35:17] 我觉得我最印象深刻的东西
[35:19] 反而不是说
[35:20] OK 现在AI到底有多屌
[35:22] 是你到底可不可以真的下去
[35:23] 企业帮他解决问题
[35:25] 因为我们都知道AI很屌
[35:26] 可是问题是AI会犯错
[35:27] AI会有幻觉
[35:29] 然后他会拿到错误的资讯
[35:30] 他可能会不小心去偷了
[35:32] 人家有版权的东西
[35:33] 你要怎么把这边限缩起来
[35:35] 是很重要的
[35:36] 所以最后面还是会怎么样
[35:37] 就回到最初
[35:38] 像那时候SORA刚出的时候
[35:39] 我们不直接讲这件事情吗
[35:40] 就是对你可以生一些图像跟影片
[35:44] 很屌没错
[35:44] 可是问题是你这都是随机的啊
[35:46] 我拿来当弹子很好笑
[35:48] 没错
[35:48] 可是当我今天企业要用这个去做广告的时候
[35:50] 那就有很多的问题了
[35:52] 不然说一个角色怎么样的去延续吗
[35:54] 然后再来就是
[35:55] 你会不会不小心干到一些有版权的资料
[35:56] 或者说我如果要去做后续的规划的话
[35:59] 我这个角色设计出来
[36:01] 我后续要去做一些沿用的话
[36:02] 你要我去整天在那边promp
[36:05] 在那边下的话
[36:05] 那个是不太可能的啦
[36:06] 就是要有人去做这件事情
[36:08] 所以後面開始會進入一個
[36:09] 我覺得比較精緻化的AI時代
[36:11] 過去是那種Fast food量產大量鋪出去
[36:14] 然後後面就進入精緻化
[36:15] 精緻化這邊可以產出一個很大的價值
[36:17] 大概是有這樣的一些想法
[36:18] 所以業務跟商務能力很重要
[36:20] 這很重要
[36:21] 那這邊我們再去會不會
[36:23] 第一位可愛又迷人的女朋友
[36:25] 帥氣的愛大熊熊
[36:26] 愛大夢工廠
[36:27] 從我男友生日留言到我生日
[36:29] 都快過了半年還沒有被選上
[36:30] 我男友是你的超級粉絲
[36:31] 連我都被你圈粉
[36:33] 然後自己打開Podcast收聽
[36:34] 不過我跟直男們不一樣的是
[36:36] 是我喜欢你好爸爸的那一面
[36:38] 那最近因为男友工作的因素
[36:40] 需要远距离恋爱两个月
[36:42] 几个月
[36:42] 那可以请你用台积电首席林森的旋律
[36:45] 他是工程师跟他说
[36:47] TSMC
[36:49] TSMC
[36:50] 比利时杨又宁加油
[36:52] 国外的一切都会越来越好
[36:54] 越来越顺利的
[36:55] 那希望我们都可以拥有
[36:56] 刚才大家一样投资的眼光
[36:57] 那最后祝我心中的好爸爸
[36:58] 一大生日快乐
[36:59] 可爱又迷人的女朋友进账
[37:01] 非常感谢这个生日的祝福
[37:03] 下个月
[37:04] 下面一位
[37:05] 散户冲浪手
[37:07] 好像有点太舒适了
[37:08] 很久没来留言了
[37:09] 身为谷海中的奈米散户
[37:10] 在做年以前也享受过
[37:12] 融资杠杆的威力
[37:13] 但怎么来就怎么回去
[37:14] 所以在新用户到期
[37:15] 就没有继续用了
[37:16] 他们原来都是买现货
[37:17] 整张或零股的操作
[37:19] 近期的操作
[37:20] 也跟孟宫取嘎一样
[37:21] 每天打开APP又关掉
[37:23] 日复一日
[37:23] 未实现损益
[37:24] 就一鸣大一寸
[37:25] 从年初的一个奈米户
[37:27] 变到三个奈米户
[37:28] 不杠杆也可以这么幸福吗
[37:29] 那谢谢孟宫区卡
[37:31] 持续的线上分享
[37:32] 各种大小事
[37:33] 感觉孟宫的Squad越来越壮大
[37:36] 希望有天线下的啤酒会可以成真
[37:38] 那祝福孟宫区卡一家幸福快乐
[37:40] 非常感谢这位兄弟
[37:41] 我现在感受跟他一样
[37:42] 我每天也是醒来就一鸣大一寸
[37:44] 那重点是我连动都没有办法动
[37:46] 全部被关厕所
[37:47] 好下面一位安生Chan
[37:48] 五星推推
[37:50] 感谢孟宫让我的通勤时间
[37:51] 多了很多的乐趣
[37:52] 投资观念也增进了不少
[37:53] 我跟我哥都是你的粉丝
[37:55] 那请您祝中和Holiday
[37:57] 5月31号生日快乐
[37:59] 股票绩效一直成长
[38:01] 家庭幸福美满
[38:02] 爱宁也祝福
[38:03] 孟公大一家幸福快乐
[38:04] 非常感谢
[38:05] 小米喂
[38:05] Hibiju
[38:07] 孟公去搞带大家飞高高
[38:09] MK好
[38:10] 想问你平常说
[38:11] 从日本买卡牌
[38:12] 都是从什么网站买的
[38:14] 以及是怎么样运送的
[38:15] 另外最近8291天天涨停
