[00:00] 歡迎收聽股癌,我是謝孟恭,本集節目由三生買贊助。
[28:56] 明明是中油總公司的職員
[28:59] 行為非常的窮酸
[29:00] 還有一件最嚴重的事情
[29:02] 我跟朋友聊天時不小心說出他解宗教信仰的事情
[29:05] 他給了我三個懲罰選項讓我選
[29:07] 我選到最爛的就是在他的租屋處罰跪三個小時
[29:11] 還有諸多超不合理的破事
[29:13] 我自己也有錯
[29:14] 因為是我第一任男友
[29:16] 所以我被愛蒙蔽雙眼
[29:18] 直到發生罰跪的事情以及愛消磨完了才把他甩了,分手後簡直重獲新生,前途光明。
[29:25] 想跟您說,如果未來有女兒一定要好好保護她,也要教她好好保護自己。
[29:29] 會想跟您分享的是因為這個垃圾前男友是您的聽眾,想請您用最雞巴的語氣跟他說,
[29:35] You're a fucking loser,孤老終生一輩子不要再期待有人愛。
[29:40] 奇怪,這種應該不會是我們的聽眾吧?
[29:42] 先講我們這邊先做一個切割,然後首先最近又有一個快樂寶貝問我說,
[29:47] 我是不是在FRED上面什麼邀請大家加他的朋友啊什麼收會員
[29:51] 我就直接開槍
[29:52] 我覺得說
[29:52] 這種白癡可以不要聽我節目啊
[29:55] 我們這邊是反對白癡的
[29:56] 好不好
[29:56] 如果你是那種看到FRED上面說什麼謝孟恭要招會員
[30:00] 股癌要招會員
[30:01] 你會有一絲絲的覺得
[30:03] 他搞不好真的要招人的
[30:04] 你趕快滾
[30:05] 不要聽了
[30:05] 直接把這個節目關掉
[30:06] 然後再來說
[30:07] 如果你是那種就是超級小氣吧啦
[30:10] 然後跟這種很莫名其妙的人
[30:12] 也是趕快離開啦
[30:13] 因為我覺得這個出去
[30:14] 不知道就大家會覺得說
[30:15] 你知道就假設
[30:16] 所以我今天是跟你婚友會上面看到
[30:19] 然後你跟我說你喜歡聽股癌
[30:20] 然後接著你展現的個性是這樣子
[30:22] 我覺得你真的要幫我掉英德子
[30:23] 好像說怎樣嗎
[30:24] 所以這個人他一定有問題
[30:25] 然後才會有你們這些他媽有問題的人
[30:27] 但其實老實講大家要知道公圓一點
[30:29] 就是一個林子大了什麼鳥都有
[30:32] 我們有40萬的品種
[30:33] 所以當然裡面就是各式各樣的人會有
[30:36] 那後來知道說
[30:36] 因為我40萬是看我們後台的一個統計
[30:38] 那後來有的廠商過場說Spotify沒有統計在裡面
[30:42] 所以其實應該會是更多
[30:43] 所以你就想40萬
[30:44] 但是一個場館都裝不下,要裝好幾個場館才裝得下的人,所以裝得下,反正就是一定有很多人,那很遺憾你會遇到這種,我覺得奇怪,然後外加說我單聽你的說法,會覺得說這個人是他媽有病的一個男生,那這個男生如果聽眾的話,我覺得你以後不要再這樣子,雖然我知道這樣講完,你應該下一集你會很想要留言,就你一定也有你的話要說,你知道其實後來發現感情就這樣子了,就是真的要罵,就像前面有一個聽眾離婚一樣,然後他說那個男的離婚,
[31:14] 我都說因為你撕破臉之後就是這樣子
[31:19] 大家會不會互相去揭穿吧
[31:21] 所以我們也知道說在過往發生過很多次
[31:23] 先有AA跑到社群上面去攻審另外一個人
[31:26] 然後最後面就整個反過來
[31:27] 我也不知道去各打五十大板
[31:29] 我的意思是說
[31:29] 因為畢竟我先幫你臭幹他一頓
[31:32] 可是他一定有他的話要說
[31:34] 我不希望變成是分手類
[31:35] 還是你們其實很希望
[31:36] 我相信一定很多人希望說
[31:37] 男朋友也上來然後大家在那邊互幹
[31:39] 對但我們就這樣子走一個平和的路線
[31:42] 希望說就不要想太多了有時候就只是不適合
[31:46] 搞不好有些人就喜歡這種play之類的
[31:48] 叫他穿橡膠衣、Guardi 這樣牽狗臉
[31:51] 搞不好有些人喜歡這種play
[31:52] 那就是你不適合
[31:53] 至少你現在離開嘛
[31:54] 離開就沒事
[31:55] 所以這是一個自由的世界
[31:57] 要記得離開就沒事
[31:58] 蠻多人會困住就是他無法想像
[32:01] 或者說沒有自信
[32:02] 或甚至自信是被人家打到
[32:04] 他就是真的覺得說他不只能遇到更好的
[32:06] 但其實世界上人這麼多你一定會找到更好的
[32:09] 好大概這樣
[32:09] 下面一位加入光光暗淡無光
[32:12] 有一群阿飄在耳邊一直講話,猜一個植物,鬼爭草。
[32:16] 8分
[32:17] 8分他自己寫的
[32:18] 這個3分
[32:19] 2分
[32:20] 1分
[32:21] 夢宮取嘎安
[32:22] 想問安哥目前有學會新的技能嗎?
[32:24] 另外小弟最近在轉換工作,想問夢宮取嘎,送的觀音大爺,保佑我,好的主管跟Mentor,我願意捐一個月的薪水分三期給家福等慈善團體,最後祝夢宮取嘎全家平安健康。
[32:37] 所以這位兄弟是因為他前面講說加入觀光安然無光
[32:40] 這就是我最近很熱門的公司離開要換新公司的希望你可以順利遇到好的主管跟 mentor
[32:47] 然後再講說安哥最近有什麼新的技能
[32:50] 爸爸 爸爸 大家沒看我就爸爸
[32:52] 那我覺得蠻高興的
[32:54] 然後再來就是安哥有一個比較不好的習慣
[32:56] 就是他會炸自己 他會去吃水果然後接著就是把汁吃掉之後把所有的殘渣吐出來
[33:02] 那這個比較麻煩一點 但最近開始發現說他會把東西吞下去
[33:05] 所以我們覺得非常的開心 不然每次他吃水果都搞得像是命案現場一樣
[33:10] 要不是他長得可愛早就他媽再去山上了
[33:12] 所以嗯對就是看到孩子長大是還蠻開心的
[33:15] 他最近就是越來越會講話了
[33:17] 那晚上有時候會突然間爆哭
[33:19] 因為在長牙齒非常的不舒服
[33:21] 那下面位N請問紙片人加碼問題
[33:25] 突然間被叫紙片人覺得怪怪的
[33:27] 他說看對加碼一直漲你們會一直敢加是加到預期的目標價嗎
[33:32] 又有說過一直漲到超過之前的規劃反而會一直減碼持股
[33:36] 不知道加碼時機有時候起漲沒加
[33:38] 後來加在反轉點,因為不知道會走多遠,孟恭復基漏出來了嗎?
[33:42] 目前4塊,只是還沒有辦法再讓其他的跑出來,但我相信我現在體脂應該到滿低,下次有空去量一下。
[33:49] 然後再來講說加碼的問題,其實我們比較少去設目標價,
[33:54] 我覺得可能幾年前很常會聽到人家講說目標價那個誰說什麼會到多少,
[33:59] 但這些年越來越少聽到,因為我覺得大家真的去認識到AI真的是非常的狂,
[34:04] 你真的沒有必要去設定目標價,一堆東西會長到超出你的想像,五倍十倍的都一大堆。
[34:09] 所以越來越少聽到你這樣講,我自己本身就不是一個目標價的信奉者,我只是會大概去做一個參考,
[34:17] 就像最近大立光噴到7000多,你就大概知道說他是明年後年的幾個倍數,這個我知道,
[34:22] 可是我也不認為說到這個倍數他就要停,因為他搞不好可以再繼續往上,這個很難說,
[34:26] 但你心中會有一把尺,大概可以去做一個參考。
[34:29] 到底會是選擇一路加到超出資金的規劃或是會反而要去減嗎?這個都非常的看狀況。
[34:37] 其實大家每次問這種問題,我覺得說超難跟大家講為什麼。
[34:41] 用一個最簡單的舉例就好了,你去對兩個女生,一個長相是你喜歡的,一個長相就是你沒那麼喜歡的,你的態度會一樣嗎?
[34:50] 如果你跟我說會一樣的,那我就知道說OK,那你是Gay,類似這樣。
[34:53] 所以我沒有辦法告訴大家說一個股票我們到底該怎麼樣去面對它。
[34:59] 那個真的是不一樣的心情啊,就像為什麼有些股票你可以接受他已經trade到可能不知道2028、2029去了,2028、2029然後再trade再30倍,你還是可以買他,那可是為什麼另外一個股票他看今年的本益比都只有10倍而已,為什麼你不買他?就很難講啊,這個真的很難去做解釋。
[35:17] 我真空說就是每個人都會有心中的一把尺,然後跟你會用你過往的行為慣性,跟你是怎麼樣賺錢的,然後你就會持續的去把它在這個基礎上面去做一個疊加。
[35:28] 所以他會講說可能隨著每個人出身的點位不一樣,會對股票有完全不一樣的一個看法。
[35:35] 就說不定之後這個AI泡沫爆掉之後,然後後來的一陣子大家會講說千萬不要買本夢比的股票。
[35:42] 可是如果說你都不去買本夢比的股票的話,那其實從AI的起步至今,你應該每次買東西都是買在最高點。
[35:51] 最早那些OEM、ODM根本就營收開不出來,獲利還沒出來的時候,那股價都先噴,早就先噴完,然後等它開始開營收獲利的時候,你看是不是每個都在橫盤,你就不會動了。
[36:01] 那現在光通也是很多噴到大家講說,殺小,開什麼垃圾自結,可是等到它開了自結,你看得懂的時候,說不定也噴完了,你懂我意思嗎?
[36:10] 所以這個很難講,但一般來說我們確實會用價格去做為一個蠻核心的輔助。
[36:17] 如果說你是把題材跟動能交易做為核心的話,如果你是價值投資做為核心的話,理論上你會在越來越漲會越來越減,你不會越買越多。
[36:27] 除非你都覺得說這邊都還是很便宜,那是例外。
[36:30] 但你覺得說他都已經噴什麼三倍五倍,你怎麼可能還持續加嗎?
[36:34] 但如果你今天站在動能跟題材角度的話,你還真的會持續加嗎?
[36:37] 所以我覺得那個就是你用的一個模型不一樣
[36:42] 那你就會得出完全不一樣的結論
[36:45] 所以在我自己的經驗是我比較喜歡去做看對加碼
[36:50] 那可能在美股這邊我會做的是我加到某一個上限我就不去做加碼了
[36:56] 這個上限可能是設定總部位的三成之類的
[36:59] 就是你初始可能一個部位就是10%、15%就很多
[37:02] 那最多最多你願意可以讓它到三成或是四成
[37:05] 然後到這邊你就不敢再多了
[37:06] 為什麼?因為美股的經驗告訴我們就是每次開什麼電話會議幹直接一個晚上給你崩20%的一大堆都這樣子所以你會擔心說空手而回嗎?或是給人家幹到之類的,所以提早先去做一些封控,去做一些減碼,越漲越減,讓它壓在固定的%數,這個在美國會這樣做,那在台股很少這樣做,因為我覺得台股的機制,因為畢竟它有一個跌停,然後再來就是台股本身我覺得沒有像美股這麼狂氣,所以我比較願意去,你一個部位再給我拉到更大,我可能都OK,我只要確定流動性是OK的就好,所以我就不會太在意說一個部位是多少,我只在意我的部位可不可以進出,
[37:42] 在美股這邊因為美國市場太大了所以你不會在意你可不可以進出因為基本上都一定進的來出的去
[37:49] 那只是就是你會擔心說可能被暗算到所以就不會買到太多
[37:53] 所以那個跟市場別又有關係
[37:55] 所以它總共有很多個變因指標
[37:59] 一個就是它到底是什麼樣類型的股票
[38:01] 它是本夢比的還是本益比的
[38:03] 很奇怪的是本夢比的我反而願意會一直買一直買一直買
[38:07] 本益比的如果今天脫離太遠
[38:09] 那我就會覺得這個東西我自己要小心一點
[38:11] 美國跟台灣市場比起來的話,美國市場就是買到某個上限就不敢再買了,因為太多次電話會議被修理了。
[38:18] 可是在台灣市場的話就會願意一直買,只要流動性出了掉都沒問題,反正隨時可以一鍵清倉的話,或者說你在五檔十檔內重複丟個幾次可以丟光,那沒有什麼太大的問題。
[38:28] 所以這個也是要看狀況,只能夠大概給你一個感覺,沒有辦法給你一個絕對的答案,給你一個感覺,你可以去思考一下。
[38:35] Rae 安老公想問你會買iPhone 18折疊還是Pro Max?還有你以前玩魔獸世界玩什麼職業?求分享當年的心得。
[38:45] 今年是一定會買一個折疊機來玩看看,但是也有可能說折疊機玩一玩不喜歡,然後還是再去買一個Pro Max。
[38:53] 事實有機會這樣,但一般就是每年都會去買一支新的,舊的就會給家人持續的去做使用。
[38:59] 我的目的只是我覺得一支手機幾萬塊,但是我玩一玩可能有靈感,在投資裡面找到機會,那個都是很容易就回本,所以一定會持續跟這些最新的東西,甚至是到越後期跟得越勤,就覺得這種是很小的一個投資。
[39:15] 那再來講說以前玩魔獸世界是玩什麼職業?術士、獵人、然後再來玩惡魔獵人當坦,什麼樣的心得?
[39:23] 我覺得有時候還是會蠻懷念以前那種國小、國中在那邊打魔獸世界
[39:29] 還是應該是國中,我記得應該是國中
[39:32] 的那種沒日沒夜跟上班一樣的一個感受
[39:36] 現在已經沒有辦法回到那時候了
[39:38] 那時候其實去玩魔獸世界真的有點像是在上班
[39:41] 你們工會要幹嘛?你們要打副本或什麼的
[39:43] 那個就是大家要在線上,然後真的是沒日沒夜在那邊超級累
[39:47] 或是像我之前就是很想要去蹲時光流逝元龍
[39:51] 那就是必須要花非常多時間每天在那邊掛網
[39:54] 然後去用一些那種小Gadget去提醒自己
[39:56] 時間到了會叫了
[39:57] 媽把你叫起床
[39:59] 然後去看說
[39:59] 欸這東西有沒有出來要趕快去搶
[40:02] 所以對我來說就是
[40:04] 仔細想想那時候真的花超級多時間在打電動
[40:07] 但也是一個非常好的回憶
[40:08] 像一般講到這些回憶的時候
[40:10] 我現在腦中就是那種二手菸的味道
[40:12] 然後跟網咖的泡麵
[40:14] 還有非常好喝的那種超甜飲料之類的
[40:17] 真的是一個美好的過往
[40:18] 現在應該沒有人在打網咖了吧
[40:20] 但以前我們都是打網咖長大的
[40:22] 下面一位 Albert Wu
[40:24] 孟恭、Chika、安安
[40:25] 我是從麥克風裝好那一集開始聽的
[40:28] 感謝孟恭、Chika、安安的陪伴跟分享
[40:30] 從那時候開始
[40:30] 我家老婆總算被你跟我一起說服開始投入股市
[40:34] 秉著你有一集教導的資產配置
[40:38] 目前台股加美股已經翻倍上看八位數了
[40:41] 真的是感謝
[40:42] 你就是我們的領口大哥
[40:44] 哈哈
[40:44] 也請孟恭、Chika幫忙跟我的老婆君君說
[40:47] 老公永遠愛你唷
[40:48] 祝孟恭、麗莎、諾亞安哥、秋口、A君都永遠身體健康平安。
[40:52] 感恩感恩
[40:53] 欸竟然有人也會把這個A君提進來第一次
[40:56] 對啊因為A君也算是自己的家人啦
[40:58] 那一段時間也沒有聊到他了
[41:01] 他今年的表現就蠻普通的
[41:03] 去年真的是蠻強的
[41:05] 就是很立刻就看出說這個人是很有天分
[41:08] 但今年呢就是有幾個栽坑
[41:10] 然後讓他的這個績效表現呢這個有待加強
[41:13] 但是我覺得他很屌
[41:15] 就是他是一個非常有韌性的人
[41:17] 即便他遭遇到部位的回吐,有時會感覺信心失去,他會說他就是在看著線圖,一直在思考說他真的還做錯了。
[41:28] 但他總是還是會有勇氣持續做下單,我覺得這是蠻重要的,因為滿多人被打一打之後可能就想要放棄了。
[41:35] 所以在今年遇到一些挑戰可能是蠻不錯的,我覺得在生涯的早期遇到挑戰都是蠻不錯的。
[41:42] 他目前應該是滿手指數啦,他應該就跑去買指數,因為那時候的公司長說他在要去日本的前一兩個禮拜他已經全部換指數了。
[41:51] 也是因為他這樣子,所以在日本我就可以完全不用動腦,就是有人會把東西都規劃好,因為平常會是我的工作,現在就是有人都把事情做好,然後他也不用看盤了,因為他手上都是指數,所以我還可以在那邊弄一點東西之類的。
[42:04] 所以大概這樣,那非常感謝對我們家庭的祝福,也希望你們可以持續的資產往上衝。
[42:10] 下面一位Alex留言密碼測試,今天9月2號是我和女友四周年的紀念日,夢宮可以和我們說那四個字嗎?恭喜發財,也祝大家九月份都能夠開始有更好的績效,夢宮一家事事順心愛您。
[42:24] 我不太確定,就是在過往的一個慣例,我們講光輝十月,十月一般來說可能蠻好的,九月一般來說都蠻鳥的。
[42:32] 對,但我確實希望,因為我們今年在七月有被幹過了嘛,所以總不會九月再幹一次吧,太痛苦了吧,就是九月就我覺得維持這樣的一個盤整慢慢搞上去其實就OK,我是覺得下這個盤我自己做是做的蠻順的啦,就可能一些動能仔會比較不舒服而已,那總之就希望在今年下半年都可以持續的不錯。
[42:50] 那下面一位,榮榮章,真實靈異體驗,最近莫名有跳蛋出沒,我跟子女都…喔,最近莫名有跳棗出沒啦,不是啊,棗跟蛋長得很像啊。
[43:01] 跳蚤出門我跟姪女都被咬到不要不要但我爸完全沒事弄了幾次水煙也不見了好找了初衷公司好笑了一直跳蚤也沒有
[43:11] 後來爸爸夢到媽媽說他少了5兩
[43:15] 驚覺姪女為了紀念阿嬤留了一些骨灰在家的櫃子趕快拿去花葬地方也就差不多5兩
[43:22] 那天剛好是滿百日跳蚤就再也沒有出現或是說從來就沒有
[43:28] 那大家好好把握家人相處的當下勝過一切,留個念想放在心中就好了。
[43:58] 我會把我家的衣服燒給他,然後他就再也沒有夢到,然後一些事情都變得蠻順的。
[44:02] 就我聽到這個故事,但我最近去看一些那種什麼玄學相關的討論,又有人講說,如果你在夢裡面夢到家人會講話,那就不是你的家人。
[44:12] 好像聽起來有點恐怖,但意思是講說,就好像他們是沒有辦法講話的,他只能夠跟你揮手致意、微笑或什麼的,他不能夠很直接的跟你對話之類的,不曉得。
[44:22] 但以前我對這種比較寬宇蒐齊、比較神奇的東西或是說玄幻的東西是抱持嗤之以鼻
[44:31] 但也不用說老聽眾就是可能過去半年一年的聽眾知道說我就花了一段時間
[44:35] 因為為了挑戰我們身邊大家在講說什麼一些什麼國師、超會算的
[44:40] 所以我跟幾個朋友整天跑去算命
[44:43] 然後後來就是真的遇到鬼
[44:44] 遇到超級無敵強的
[44:47] 所以我後來對這件事情就是抱持敬畏之意
[44:49] 但我老實講就除了那幾個很強的之外其他都蠻廢的
[44:52] 其實他一看就知道說
[44:53] 就是怎麼講
[44:54] 我就知道說你是看我的臉出菜
[44:56] 或是我甚至給你一些暗示
[44:58] 然後你從裡面類似就觀察人家那種行為心理
[45:00] 然後去講出一些東西
[45:02] 就是蠻多都是江湖術士、江湖郎中那種很奇怪的東西
[45:06] 但是真的是有人有辦法
[45:08] 所以我後來對這些比較難以去名狀的東西
[45:13] 就是抱持一個敬畏之意
[45:14] 那也非常恭喜
[45:15] 就至少你沒有把問題給解決掉
[45:17] 因為這真的蠻玄的
[45:19] 剛好那個重量是一模一樣的蠻屌炮的
[45:21] 希望他在天之靈可以過得開心平安之類的吧
[45:27] 不知道 還是其實在天已經不用再開心平安
[45:30] 因為他們已經是完全是昇華到另外一個層次去的
[45:32] 不曉得
[45:32] 下面一位Jack Chang 孟恭去嘎 也好
[45:36] 小弟明天要出發去法國交換了
[45:38] 雖然一部分對於接下來四個月的生活感到期待興奮
[45:42] 另外一部分又覺得自己是不是有什麼病
[45:43] 為什麼要離開家人女友跑去那邊啃硬到靠北的法國麵包
[45:48] 雖然隨著要出發時間越來越近
[45:50] 但每天都過得跟平常一樣
[45:51] 呼應到Chika前面說的,幸福就是無聊,就是平常。22歲誤到這個的我是不是有病?
[45:57] 想要請問Chika,這個時間要去4個月,有沒有推薦什麼一定要帶來的東西?並用閃電鳥的聲音做交換順利結交好友。
[46:05] 閃電閃電!
[46:06] 要帶什麼東西?手機、鑰匙、錢包、筆電。
[46:10] 平常我出門就是手機、鑰匙、錢包,只是當然現在可能很多人家裡是用感應的,就不一定會有這個鑰匙。
[46:15] 這三個東西有帶,絕大多數的問題就解決了,那再來可能出國就想說就帶個筆電吧。
[46:20] 我覺得歐洲的一些生活除非說你是蠻依人的
[46:26] 就是你會很喜歡出去那邊走跳跟人家社交之類的
[46:30] 不然歐洲是一個蠻無聊的地方
[46:32] 特別是如果你在亞洲或是可能什麼日本秋葉原、台灣什麼三創這種
[46:37] 你很高興那種偏宅男性質二次元的
[46:40] 在那邊你會無聊到一個靠北
[46:42] 所以像我每次去歐洲我就覺得說很像受虐就很無聊
[46:46] 我唯一比較喜歡的就是可能有時候我們去走跳
[46:48] 然後去那種比較荒涼的地方
[46:50] 我稍微喜歡,但我老婆都非常不喜歡。
[46:52] 城市的生活我是不喜歡。
[46:53] 但我相信如果你是喜歡夜生活跟人家去什麼Party之類的,可能就覺得還OK吧。
[46:59] 那不曉得,反正就是總之希望你可以交換順利。
[47:02] 那下面有位Will Lin,孟恭子嘎,歡迎回台。
[47:05] 經過您的點醒,只要消除物慾,自己其實已經財務自由了。
[47:09] 現在只購買生活必需品,除了柴米油鹽醬醋茶以外,就是紅顏鹿鼻跟未來需要支持的國產遊戲了。
[47:16] 回想一下身為老快樂寶貝的我從1986年開始玩電子遊戲
[47:21] 不是啊兄弟你他媽也太老了吧這殺小
[47:24] 1986年欸1986年我還在我爸的媽可能左邊那科裡面欸
[47:29] 到今天居然已經過了40年這時間過得太快了
[47:33] 想想身為科技人活到這個年紀好像該進入做想做的事情的時候了
[47:38] 於是自己開了遊戲go想寫了七個章節的故事
[47:41] 除了音樂與主題曲,目前要設計UI來看看個人能不能搞出一個有趣的遊戲。
[47:47] 曾成功邀請主委來玩,最後祝您與家人平安健康。
[47:51] 希望這個大哥可以順利,希望你的遊戲開發可以超讚的,搞不好我們蕭南資本也可以加入你。
[47:57] 非常感動,有這麼資深的遊戲前輩,到現在都還是對生活中的事情充滿熱情。
[48:08] 我現在看到這些人我都覺得是充滿非常多的驚訝,希望你可以一切順利。
[48:13] 下面一位Chung KKK 問問去感恩,好奇發問,小的在吃優格的時候打開的瞬間都會習慣舔蓋,
[48:19] 資產五位數的時候舔,六位數的時候也舔,七位數的時候也舔,現在朝八位數邁進中也舔得非常愉快,滴滴不浪費。
[48:26] 想問資產十位數的大大也會有這種類似的客家習慣嗎?
[48:30] 關號舔的那瞬間心靈都覺得Happy Happy,美股九月大數據顯示都會下跌,您怎麼看?
[48:36] 台股最近也卡在這個區間好久,黃爸爸的好大方直接給MTK一記大紅包,今年行情是不是就這樣四萬五正正正的呢?祝您一家平安愛你。
[48:45] 這就是我剛剛前面講的,一般九月都是不太好,然後十月就是光輝十月,搞不好就再繼續射出去。
[48:51] 那你說不會去舔?一定舔啊,那個已經不是說什麼你錢多跟錢少的問題了。
[48:56] 你以前舔的時候可能你會在那邊心中想,哎幹,是不是因為我太窮我才會做這種事情?不是,換一番來說那就是一種療癒。
[49:02] 如果你不讓我舔的話,我覺得我的體驗就直接少一半。不管什麼布丁啊優格什麼,絕對舔。雖然有時候優格它上面會用那種比較粗糙的,那是鋁嗎?還是什麼?我以為是因為這樣被割到舌頭,所以會有一段時間不敢舔。但現在我都覺得是該你來舔爆。
[49:18] 然後再來講說該怎麼看待數據說會下跌。沒差,你知道會跌的話,不就是趁機會買,然後接下來10月就噴上去,要不就發財了。
[49:27] 所以那些數據一般來講我覺得就看看就好了
[49:29] 因為有時候我們也會遇到那種活久見的事情
[49:32] 就像說可能告訴你說這個時間點應該是漲的
[49:34] 對不對
[49:35] 但有時候就遇到什麼四月崩盤七月崩盤又殺小
[49:37] 就還是會遇到
[49:38] 所以重點只是要做好相當程度的封控去面對它
[49:42] 這樣就好不用想太多了
[49:43] 那拜拜
