[00:00] 歡迎收聽股癌,我是聖孟恭,本集節目由Sally贊助。
[26:28] 零核的思維啦,那我覺得這個是稍微要注意一下,所以不管是在市場上下注意到各式各樣的話題,我們都不會太早的去假設,就長遠來說這個東西不需要這件事,就類似說長遠來說,其實你現在看到的這些AI App,他們高機率都不是最後會長大的App之類的,它很多就是過程中的一個Noise而已啊,即便可能當下會造成一些轟動的影響啊,每個人都跑去養龍蝦,可是你看現在還有多少人在養龍蝦,對吧?
[26:54] 所以它會變成是某種時代的眼淚,可是如果廠商都持續的在往前跑的話,那它都還是有機會打到新的東西繼續往上。
[27:02] 所以這個就是這一集稍微想跟大家分享一下的東西,希望對大家有所幫助。
[27:07] 接下來我們進去的部分。
[27:08] 第一位,周周周周亞當,孟恭好,我是先前流過鹽捐十萬倍停權有個寒病孩子的爸爸。
[27:14] 檢查結果確認腎臟只是有個大水泡,鬆了一大口氣,特地回來感謝觀音斗愛的保佑。
[27:21] 另外也要謝謝孟恭導體,我資產在關稅戰後從A7一路很幸運地翻到了A9。
[27:29] 感謝你每週的分享資訊讓我成了風口上的豬,讓我和老婆有勇氣一起辭職,現在要把一半的資產轉到美債,靠債息已經足以支應一家人的生活。
[27:40] 你帶給我們的不只是資產的成長,更是陪伴孩子選擇自己生活自由的方式,真心感謝愛您。
[27:47] 看到這樣的訊息實在蠻感動的。
[27:50] 如果說你在全盛時期,就是大概三十幾歲,那應該是人生中開銷最高的一個時間點,你注意到像你把錢都趴進去美債,它的債息就已經夠 cover 你的生活的話,理論上你後面應該是很難會去超出這樣一個支出,絕大多數的狀況應該是不會發生。
[28:06] 所以這樣子去選擇一個急流勇退,好好專心過生活可不可以,那也是一種選擇。
[28:11] 所以祝福兄弟,也希望你平安順利,非常感恩讚歎,你的孩子就沒有什麼問題。
[28:17] 跟我的小朋友一樣,他那時候也是腎臟附近、膀胱、有看到什麼水泡、氣泡,然後在腦袋裡面有看到,最後面都證明是虛靜一場,所以非常感恩我們都可以一起度過非常煎熬的這一段時間。
[28:31] 社會的邊角料
[28:34] 嗨 babychka
[28:35] 祝孟恭、Lisa、諾亞、奇安、秋口、孟熙、孟君、柔圓、昆林、Suhay、Oksana、Ricardo、Timur
[28:42] Timur是誰?
[28:43] 敦南少年古城、獻仙、天傳法師、林口夫爸、健康、平安、幸福、美滿、持陰保泰
[28:48] 我是從EP657才開始聽的小白
[28:51] 每個月只能夠存2-3000塊
[28:53] 想問資產累積要怎麼樣走才可以走得快一點
[28:55] 請您用當年去把吉隆坡地皮炒起來的女富豪幹在牆上的語氣點醒我感謝。
[29:25] 如果有這樣子的一個很厲害的資訊調查能力,就代表說只要你願意把注意力放在某個地方,你就可以把事情做好,所以你根本就不需要跑過來問我,大概這樣,我相信你已經可以做到,因為有這樣的一個人肉人價的力量,只要把你的注意力放在賺錢,你就會賺到錢。
[29:40] 下面一位,機密有,I大家好,知道Lisa說叫你股癌的人都不是真朋友,但還是覺得這樣子叫最習慣,我也是和老公一樣喜歡當傾聽者,聽一堆專家分享知識然後一直吸收,可是這樣有一個問題,每次發問環節好像都不能問出言之有物的問題,是自己的程度不夠還是一直輸入需要練習輸出?
[30:00] 其實我是沒有那麼絕對啦,就是去聽信我老婆說的,叫我股癌的人就是怎麼樣子,因為我知道台灣人很多是客氣嘛,然後覺得說叫你名字是不是跟你裝熟,所以他就說哎呆呆呆,就現在還是這樣叫,我可以理解,只是我就是有點類似說那種歪打陣子好吧,就是我老婆這樣跟我講,那我就從善如流配合,順便就篩掉一群人,我就連回都不用回,我就覺得還蠻高興的,所以並不是我會很計較人家怎麼樣叫我,隨便你怎麼叫,有些人還要幫你媽取綽號之類的,像我上傳一個打棒球的東西,有人跟我講說,你不是在做什麼,你不是在做什麼,你不是在做什麼,你不是在做什麼,你不是在做什麼,
[30:30] 這就是我對自己的思考。
[30:32] 因為我的頭跟那個時空野球一樣大。
[30:34] 不是啊,我也是有感受的人啊。
[30:36] 一堆人整天叫我頭大殺小。
[30:38] 對啊,你叫我頭大,你叫我孟恭。
[30:40] 媽,我也不想跟你交朋友啊。
[30:42] 然後再來講說,是不是必須要問出好的問題才代表自己的程度?
[30:48] 好,不一定啊。
[30:50] 絕大多數的狀況之下,我現在也都是屬於聆聽者。
[30:52] 就是我也懶得去講東西了。
[30:54] 我現在更是已經跳脫想要去說服任何人或是證明自己是對的一個階段。
[30:58] 這就是一個階段。你講的是這樣,我就相信你講的是這樣。
[31:01] 或是說,我就算是不相信你講的,那我也就是聽你講。
[31:04] 或者當成是,就不知道,就有時候類似說你會上YT嘛,或是像我妹,她會在車上放一些Podcast,她當然不是聽她歌,她會聽別人。
[31:12] 然後我就會去聽一些Podcast,有時候很好笑,因為他們也會提到我,然後他們會提到他們可能對於什麼財產啊,或是生活啊,會計啊,這些的一些看法。
[31:21] 然後我就在旁邊,我就覺得我超像老人家,就是我聽一聽,然後我就會跟我妹講說,其實他們現在這樣做是錯的。
[31:27] 他這個一定會後面遇到問題
[31:28] 其實他選這個金流商是選錯的
[31:30] 因為什麼
[31:30] 就我們會有自己的一些社會上的經驗
[31:33] 我們會知道嘛
[31:34] 可是你說如果我今天真的跟這些人變朋友
[31:36] 或是我知道他們有提到我
[31:39] 所以我想說他們也是我的聽眾
[31:40] 我要教他一下怎麼不會
[31:41] 我會懶得去教人家
[31:42] 因為你會知道說反正有些人他就是必須要透過過程中的一些事情
[31:46] 他才會學會一些東西嘛
[31:48] 你提早跟他講他不一定會謝謝你
[31:49] 而且他也不一定會學到東西
[31:51] 他可能後面還是會撞到別的東西
[31:52] 或甚至最慘的是他發現你的建議是對的
[31:55] 從現在開始就是每個東西都跑來問你建議,所以習慣不開口確實是我現在在磨練的一個東西,或是我持續往這個方向去做前進。
[32:04] 但是你說是不是會問問題就代表說你是程度更好或是懂更多,這個我是相信的。
[32:09] 就像是有些東西我今天可能是閱讀完的,可是我下次聽到,因為我們身邊有些產業界的朋友真的超屌,他們對一些數字倒背如流,然後對每個東西的邏輯為什麼會這樣子用都非常非常熟悉。
[32:21] 我每次聽他們講話,我都覺得說我懂了。然後接著我再看到相關的資訊,我發現說我又不懂了,所以趕快回去找那個對話,然後看之前人家怎麼樣做說明。
[32:30] 可是我注意到就任何一個我可以在節目上轉譯出來的,我可以跟大家講說大概是發生什麼事情。
[32:36] 而且我可以講得很簡單,就是簡單到像我們去做一些舉例,他有點像是紅酒流水線上面挑葡萄的這個人。
[32:43] 就當你可以去做出這種把本來很複雜的東西包成某種簡單的方式跟人家講,其實代表說你應該是真正的懂這件事情的。
[32:51] 所以它確實是一個磨練的方向
[32:53] 就是說你不用硬去做筆記或是多看幾次十倍
[32:56] 你只要有辦法你回家講給那個對這個東西毫不在意的老婆聽或是家人聽
[33:02] 然後你有辦法跟他講
[33:03] 當他不會睡著他想聽或是他聽得懂
[33:05] 一或是好就算他聽不懂
[33:06] 可是你有辦法跟他講
[33:07] 那講完你自己是可以自洽的
[33:09] 你知道說OK我這樣說明是OK的
[33:11] 那就代表你是真的懂一件事情
[33:13] 所以它是一種驗證方式
[33:14] 但是不代表說你就必須要去刷存在感
[33:17] 在每次人家講完之後
[33:18] 然後就要問出一個高水準的問題
[33:20] 你只要證明給誰看 沒有意義啦
[33:22] 那下面一位 貝狗乾 孟恭去感恩 目前17歲 自從開始炒股之後感覺對人生中的一切新鮮事都少了一點好奇跟熱情 有點生活揚尾了
[33:31] 像現在變成整天都躺在沙發上看在家做生魚片跟賣手錶的影片
[33:36] 那請問這樣子我還有救嗎 請孟恭祝我學測順利 孟恭要一家身體健康可以開更多卡包
[33:42] 更找不到留言密碼 找到答案了 好像是我們做一件事情就只是要去做而少了感受
[33:50] 呃...我不知道他在講什麼東西
[33:53] 這個...從前面到後面我都不太理解
[33:55] 這個就是我很常在之前會跟大家說
[33:58] 呃...做自己
[34:00] 我現在跟你講三個字
[34:01] 做自己
[34:02] 從一個國中Pwitara的嘴巴講出來
[34:05] 跟...當然我們以前也曾經是國中Pwitara
[34:07] 我們沒有要去年齡歧視的意思
[34:09] 然後跟你已經經歷過大風大浪之後
[34:12] 可能還從那個遠洋漁船差點死掉回來
[34:15] 就去跟人家釣帝王蟹
[34:16] 然後接著你回家跟你身邊朋友說
[34:19] 兩個的重量是不一樣的啦
[34:21] 我相信說你股票搞久之後你對生活會有點樂趣揚偉
[34:27] 因為確實這個股票是一個非常刺激多巴胺的東西
[34:29] 我想這就是為什麼我這麼喜歡去看股票吧
[34:31] 每天看盤我覺得很高興
[34:33] 雖然我盡量減少看盤
[34:34] 可是只要把盤打開就算盤不好
[34:36] 我那邊看盤我都覺得心情特別好
[34:38] 所以我可以理解就是有蠻多人他走到中後期
[34:42] 他就會變成是他對生命中的一切也不在意
[34:44] 因為嚴格上來說你在股票市場裡面
[34:46] 你做錯一個決定
[34:47] 你知道有時候是這樣
[34:48] 我買一個東西我買錯而且即便這個東西可能是就你報紙也沒差我今天可能不小心點到台積電我說那閃電下單你忘記切換之類的
[34:55] 然後你買到理論上這個東西你是可以報紙啊買掉就直接把它沖掉就你就現賠幾十萬你也覺得沒差
[35:01] 因為你就已經習慣了嘛股票不就這樣子有時候你自己覺得自己賺很多錢賬上一大堆可能隔天又豬羊變色又不見了又或是
[35:09] 當你沒有期待的時候突然間又賺到一大堆錢所以你這時候覺得對生命中可能不好就老婆突然間跑來問你說今天晚上吃什麼然後或者說
[35:16] 今天這兩個東西我在做挑選,你看那個差價差500塊,然後他一直要跟你討論,然後你不理他,或者說你很輕易的回答,你就挑你喜歡就好,然後他說怎樣,媽我的東西都不要討論,500塊的東西你不要再跟我討論,這是浪費生命,你一定會產生這樣的想法,但這其實是我們一直想要避免的一件事情,就是你不要說因為你的工作,然後你就跟社會脫節,你就跟家人脫節,但一般這種就是像我剛剛前面說的,他應該是要等到你可能到後期才出現,你怎麼會在還在學生階段的這個炒股就會有這樣的感受,
[35:45] 因為你的本金理論上也不大嘛
[35:48] 雖然我們現在就是不要亂去猜人家背景
[35:50] 像前幾集好像就有一個聽眾
[35:52] 就是他很早就財務自由
[35:53] 講說這個應該是家裡有礦
[35:54] 或是我們老公做八大
[35:56] 但那我是開玩笑的啦
[35:57] 只要他回來了私訊
[35:58] 我這個女生喔
[35:58] 他就說沒有啦
[35:59] 我是真的是比較幸運
[36:01] 然後又很認真賺錢
[36:02] 就跟你一樣這樣
[36:02] 所以對我們不要去亂批判人家
[36:04] 這理論上就十幾歲
[36:06] 你的錢應該也不會太多
[36:08] 所以如果說這樣子的一個
[36:10] 那米等級的資產變化
[36:12] 你就會覺得說
[36:13] 這個已經是
[36:14] 如果這次的訪問有刺激到我對其他東西都已經失去熱情的話,那你後面有蠻慘的喔,我覺得你蠻慘的,所以還是Detox一下吧,遠離盤面。
[36:22] 反正你後來要炒股有的是時間啦,先好好的去,我對學生的建議都這樣,好好的談場戀愛吧,好好的去,當然就不要表現太早當爸啦,
[36:31] 可是就是去感受一下這個人與人之間的關係嘛,在學生時代那種兩小無猜,那個是你出社會的時候就很難再感受,
[36:38] 為什麼一堆人在學生時期就整天在弄股票,講都講不聽耶。
[36:41] 所以不要太早把自己的腦袋弄壞掉,我覺得這個蠻重要的啦,你總是會有很多機會可以賺錢。
[36:48] 下面一位,史迪奇為什麼不能喝咖啡?因為他是星際寶貝。
[36:52] 為什麼我會不小心笑出來?這已經聽過很多次了。
[36:55] 3分。
[36:56] 孟恭、Chika您好,以下問題想請問您。
[36:59] 1. 平常跟Lisa吵架的時候,Lisa會怎麼罵你?
[37:01] 2. 吵架途中會講惡文章話嗎?
[37:03] 3. 要怎麼認定是自己努力不夠還是沒有能力?
[37:06] 4. 最後想請孟恭用鋼印小狗的聲音,我不知什麼助星族的了解,
[37:10] 順利提早下班,也祝孟恭一家平安健康。
[37:40] 這也是一種人生中的一個視野。
[37:43] 有些人會不斷地在想,
[37:45] 這就是一個人生中的一個視野。
[37:47] 對於人生中的一個視野,
[37:48] 我們要知道,有些人會覺得自己是一個很聰明的人,但有些人會覺得自己是一個很聰明的人,但是一堆可能比你聰明的人都更用心的在做功課。
[38:00] 就像我剛剛前面所提到的一些產業人士,他們都用一些數字儒鼠加針或什麼的,你就會想說,那這就代表說一定是我努力不夠。
[38:07] 但他也有可能,換個角度說是能力不足,說不定人家他也只有看一次,然後他就是會了。
[38:13] 抑或是,不知道,就是他非常有天分,他可以很容易出類旁通之類的。
[38:19] 所以這兩個東西你很難去做界定
[38:22] 但一般我覺得在各個領域之間
[38:25] 它一定會有某一種Benchmark可以去做判斷
[38:28] 就像說像運動員打拳的人就知道說他那個臂展很重要
[38:32] 所以當今天你的臂展就是輸人家的話
[38:35] 你打不贏好了
[38:36] 你就可以怪給是可能是天分不夠
[38:39] 沒有能力
[38:39] 這個是OK的
[38:40] 但如果你今天臂展是跟人家差不多的話
[38:43] 那有可能就是你的努力不夠
[38:45] 所以如果說你今天是拉回到高股票的話
[38:49] 那像大家在講的各種情境或是說各種新的題材其實你都知道你都掌握到但為什麼你的股票就不會賺錢那可能就是屬於沒有能力啊就是可能比較沒有天分因為我覺得搞股票這個某個程度上來說像之前跟一個量化的朋友我們開一場會聊了天然後他就有提到說其實他覺得股票要搞的好的人那個個性要跟一般人不太一樣
[39:13] 因為如果你個性跟太多人一樣,你就會跟太多人一樣在某些固定的地方去犯固定的錯。
[39:19] 而一般絕大多數的散戶,他們如果持續的去做決定,他們決定的品質就不是太好,所以他們最好不要整天做決定,可是他們偏偏就是想要整天做決定,然後在那邊短從之類的。
[39:28] 所以這個就是比較偏向是命定論,就是個性,你的個性可能就是比較不適合去做這件事情。
[39:35] 所以如果你有辦法去掌握到一些Benchmark,很多時候我會發現說,因為我從來沒有想過這件事情,可是我在回答的時候,我自己也找到答案。
[39:42] 如果說一個行業有Benchmark,那你基本上你拿到的數值是跟別人都差不多的話,那有可能就是能力不夠。
[39:50] 但如果說這個Benchmark你對樣學生發現說自己怎麼都對不進去的話,那就是有可能你就是不適合吃這一行飯了。
[39:57] 大概是這樣,也就是說所謂的沒有能力。
[40:00] 下面一位,新竹大叔安孟恭家您好,我是去年才開始聽您節目的小菜雞。
[40:05] 跟著同事間好友們一起聽著您的節目學習並成長,第三季就達成了今年一起下的績效目標。
[40:10] 還去了皮諾可可採點慶祝。
[40:12] 那真的好喜歡,下次打算再來採點林口的龍鐵板燒。
[40:17] 謝謝孟恭chika的推薦。
[40:18] 那另外希望孟恭chika可以對明天9月24號生日的新竹冰旋風說那四個字嗎?
[40:24] 謝謝我現在真的不知道要講哪四個字。
[40:26] 我來看一下我的電腦上面有什麼四個字。
[40:28] 禮物通知!
[40:30] 因為那個LINE會跳禮物通知。
[40:33] 我每次都覺得那個超白癡的。
[40:34] 那就這樣吧。
[40:35] 那你說達成的績效目標OK。
[40:38] 非常恭喜你。
[40:39] 龍鐵板燒我跟大家推過嗎?應該是有的,它是一個在堆食材的鐵板燒,反而簡單來講就是食材給的很大方,價錢算起來用CP值的角度來說是很OK的,是一個蠻不錯的選項。
[40:55] 最近我500盤也推出了,500碗跟500盤都登場了,如果想知道我喜歡吃什麼東西可以看那個,因為像皮諾可可比較偏向我老婆超愛的,所以那是老婆的愛店,我也蠻喜歡的,
[41:08] 並不是說我為了潮愛,那時候我老婆是愛到曾經為了那個東西想要搬去台中。
[41:13] 但後來就有點醒身了,就是說其實就是另外一家餐廳,不錯啦,這就是沒有必要搞到搬家發生什麼事情。
[41:20] 我自己的500盤跟500碗就是第一人稱我的感受,雖然我有去稍微的海巡看一下大家怎麼樣評論,有些人講說,媽的他的500碗怎麼會推一個連鎖店,就是這樣才驚喜,懂不懂?
[41:34] 連鎖店為什麼大家就要看連鎖店?沒有,我一直都覺得麥當勞是世界上最偉大的餐廳之一
[41:40] 你如果真的這麼屌的話,你就跟麥當勞一樣,你開到全世界,然後各種不同口味的人
[41:46] 台灣、日本、歐洲、美國、南洋群島、印尼、巴黎島,他們也有
[41:53] 人家整天吃Nasi Goreng、Mit Goreng的,他也喜歡吃這個,我們吃什麼?
[41:57] 臭豆腐、肉粑,我們也喜歡吃這個,這是很難的一件事情
[42:01] 所以那個名單其實就是個人的一個喜好啦
[42:05] 我有時候看到那種就是會故意踩
[42:07] 我之前也看過人家在講說什麼
[42:09] 他跑去吃皮諾克他覺得不好吃
[42:10] 所以說什麼以後謝孟恭還是股癌推的東西
[42:13] 我就當反指標看待
[42:14] 我每次看到這種我就超想去灌一拳
[42:16] 很想在現實生活中給這種人一拳
[42:18] 我想說你是有多屌
[42:19] 一般點進去就是廢物一個
[42:21] 就是這種廢物就在網路上幹人家
[42:23] 然後獲得自己的優越感
[42:24] 你媽你的東西拉出來給我檢討
[42:25] 我也可以把你吐到連皮都不剩
[42:28] 對反正總之就是我的名單出來了
[42:30] 我剛才突然間有點那種意氣用事了,因為有時候看到網路上那一堆低端額在發表那種快樂寶貝言論真的看了很不爽。
[42:36] 下面一位Diana 夢宮大院長想跳過,但好像在寫遊戲,我們來念一下。
[42:43] 我是在新加坡的台灣媽媽聽眾Diana,自從兩年前住在日本的親弟憨憨地介紹大大節目,那您的分享是我每週的精神快樂糧食,真的很感謝您。
[42:54] 上次的節目提到去日本電玩展,我有個切身的問題要請教。
[42:57] 我的女兒去年考完高中聯考,毅然決然不去高中,要直接去理工學院選修Animation and Games Designer。
[43:06] 她從小是喜歡遊戲的,疫情期間她爸爸也是買遊戲給她,還說現在當兵都不是上戰場,是用戰略玩遊戲對小孩是有幫助的。
[43:14] 而又有個很快樂的一年,女兒剛完成第一年的通識,年底會上專業課,老實說她現在的學習讓她非常的開心,做媽媽的也很替她感到驕傲,選到了自己有興趣的課程。
[43:24] 但我對遊戲這個產業真的不是很清楚,想請教走在遊戲尖端的孟恭大大。
[43:28] 1.女兒未來想設計遊戲,有什麼建議對這個產業有幫助的知識課程可以加強?
[43:34] 2.哪些國家對遊戲產業比較鼓勵可以多去了解接觸,未來趨勢會如何?
[43:39] 因為他學長說新加坡還不是很盛行,就業機會不多,但我想也許幾年後會不同。
[43:45] 最後想問大家看到學遊戲專業的男孩們的個性大概都是怎樣?
[43:50] 當媽的想了解未來潛在女兒男朋友的可能性?
[44:20] 我們在可能高中大學階段決定要去做某一件事情的時候
[44:24] 其實你的家長是很難去影響你的
[44:26] 而且就算他想要幫你
[44:28] 他想要幫你介紹人或什麼
[44:29] 多半就是這個東西其實不會幫到他
[44:32] 而且可能還是他的一個阻力
[44:34] 因為小朋友很活
[44:35] 他自己一定是有辦法走出自己的一條路
[44:37] 那當然身為媽媽想多了解來問一下
[44:39] 問一個來自台灣的這個Podcast
[44:42] 也是沒有問題
[44:42] 因為我們確實我們蕭南資本就在投遊戲
[44:44] 我們已經丟了蠻多款出去
[44:46] 那目前Portfolio其實表現也蠻不錯
[44:48] 所以我們可以稍微的給你一些建議啦,只是這個建議其實你不用去丟給自己的小孩,因為我覺得他一定會有自己的一個方向。
[44:55] 你只要在他跟你提出要求的時候,他可能需要一台好一點的電腦,他可能需要這個Emphatic AI的一個訂閱點數,你就幫他刷卡,他需要你載他去比賽,他需要去哪裡參展什麼的,你幫他付機票。
[45:08] 其實你只要做好這個後勤的東西,小朋友自己就會長大,我的建議是這樣子。
[45:13] 如果要去加強的話,我覺得AI時代確實是改變了遊戲的創作,最多的是在一些比較繁瑣跟要重複檢驗的東西上面。
[45:27] 我們團隊在遊戲上市後就提到,他們是不睡覺掛著,隨時要看有什麼狀況,要去修bug之類的。
[45:36] 他們就提到說,在AI的協助之下,他們修bug的速度超級快的,而且AI是非常強大,可以立刻識別出問題,接著只要給出適當指令就會把東西修好,所以這個省下他們非常多的時間,他們也不需要這麼多的Headcount。
[45:51] 這確實是在新時代所造成的一些新的影響。這也是為什麼我們自己會鎖定一些小成本製作小團隊,有財務紀律跟說故事的能力的人。
[46:03] 因為你現在可以透過AI的一些軟體來達成一個槓桿、很高效率的一個做法。而不用去像過去你要有很多的Headcounts或是你需要有一些基礎的Infra之類的,現在可能沒有必要。
[46:16] 你就直接透過你可以把它AI想像成是某種Foundry
[46:19] 你家就是一個IC Design House
[46:21] 你就去設計晶片
[46:22] 你去給出想法
[46:23] 那接著Foundry會幫你把東西做出來
[46:26] 這個其實有點像是說瞎的一個做法
[46:28] 我們還是不覺得說AI會去取代遊戲的製作人才
[46:30] 這個是超白癡的
[46:31] 因為還是需要人在背後
[46:33] 那種AI去輸出的AI Slab
[46:35] 在Steam上面甚至人家都不給他上架
[46:37] 因為那種沒有靈魂的東西他媽一看就知道
[46:39] 所以我覺得把AI用好很重要
[46:41] 就是可能過去是手工在那邊Key層式碼
[46:45] 現在就是你要去善用各種新時代的工具
[46:48] 那可以讓你把一個人變十個人用
[46:52] 這個是新時代的一個優勢
[46:54] 就是現在的遊戲開發者
[46:55] 也不要講遊戲開發者
[46:56] 就是各行各業影片創作者
[46:58] 或是就連 Podcaster
[47:00] 就像說如果是那些可能需要講稿的
[47:02] 或是他是需要去做很多功課的
[47:05] 他現在有AI是不是就有很大的一個改變
[47:07] 像我們這種隨便亂聊的倒是例外
[47:09] 因為AI你說在節目裡面幫助了多少
[47:11] 還好
[47:12] 但我相信對很多像是報新聞的
[47:14] 他一定就有很大的幫助,所以新時代新工具一定要會用。
[47:17] 然後再講說哪些國家對遊戲產業比較鼓勵,我覺得你沒有必要拉到國家的這個思維層次啦,簡單來講就是說你面前就有一位啊,就我啊,我們小男我們就要丟出去,因為我們人的ticket size也不小耶,我們是丟可能500K到1M USD都有機會,甚至要在網上都可以,我們每人丟出去大概都是500K起跳啦,所以他應該算是一筆不錯的錢。
[47:39] 如果女兒真的有做出什麼東西,歡迎寫信到 info at calcidrusvc.com,我們可能就可以稍微的來看一下了。
[47:48] 我們目前還在廣收各方的人才,在我們的狀態是我們還有很多錢可以丟,所以我們希望有更多的東西,我們甚至是往海外去看的。
[47:57] 所以看到新加坡也沒問題,如果說女兒後來真的是有一些想法,要去付諸實踐的話,已經有把 prototype 或這些 demo 弄出來是最好。
[48:06] 可以找我們或是找其實現在越來越多
[48:09] 我們有注意到說當我們那時候去要搞笑男的時候
[48:13] 那個真的算是剛好在產業的一個最低點
[48:16] 所以有點像說我們又抄底了
[48:18] 但抄底不代表這個東西一定會噴很遠
[48:19] 但是我們確實是有抄到底
[48:21] 因為在那之後就是開始又有一些
[48:24] 比較偏要去投遊戲的內容的這些VCR或是一些創投
[48:29] 又再一次的跑出來
[48:30] 然後他們的資金量體可能也慢慢的跌上去
[48:32] 所以可能大家都有注意到這一波的趨勢
[48:35] 那我覺得可以去找這些VC,不一定要找我們,你也可以找別人,當然找我們最好,有好東西歡迎都丟給我們。
[48:40] 下面一位Rolling的老公,阿公阿公你好,小弟結束了兩年在家全職跟老婆一起照顧雙胞胎難保的生活,重回職場,老婆繼續在家一打二。
[48:50] 那想請阿公用性感猛男的聲音供候老婆說,小姐姐這他媽太猛了。
[48:55] 全職爸媽真不是人幹的,老公跟阿飛阿如永遠愛你,那希望你們一切順利。
[48:59] 下面一位Chunk KKK 夢宮chika 上集出差提早太多開路要留言的時候看到已經上架QQ沒跟上大家在上集聊GTA所以這集我要繼續聊
[49:10] AIDA有看過日本阿嬤GTA嗎? 超狂
[49:12] 白衛上週看AIDA單手舉40kg 這週已經升級到舉60kg下次要舉LISA看看嗎?
[49:19] 上健身房時也可以嘗試舉看看40kg差點原地生命線跌停板
[49:26] AIDA練了多久可以舉這麼高強度?
[49:28] 一週進健身房幾次,祝大家Lisa、諾亞、安哥、Choco、乾你娘、A君、一家平、愛你愛你。
[49:33] 我有看到那個日本阿嬤的GTA啦,就是說現在有很多這種AI創作的東西,對,就是好玩好笑,可是實際上要真的拿去用的話是不容易啦,所以我才會講說,
[49:42] 在遊戲的創作呢,現在是需要非常聰明的大腦跟很好的說故事的能力,然後AI只是幫你把周圍的路鋪好,大概這樣一個前提。
[49:49] 然後再講說是練多久可以這樣,我後來認真看了一下,因為我最近有去量那個身體的素質嘛,我第一次量是4月多,
[49:56] 這代表說我四月多開始上課,然後到現在60kg是可以推起來,那只是當然要去輔助一些握力帶啦,因為其實最後面的發現說你的屁股你的核心是扛得住,但是你的手可能比較費力一點,所以透過握力帶可以去推到比較高的一個重量。
[50:11] 那我是覺得這個重量應該可以再往上疊加,我自己相信可以再往上疊加。
[50:15] 那目前是一周進健身房大概三次左右,我是希望說後面可以再拉到更高的一個頻率。
[50:22] 運動不只三次,健身房三次之外,還有打網球,上個禮拜又跑去打泰拳。
[50:27] 所以現在整個人都是非常運動的狀態。
[50:30] 那這樣,那這邊掰掰。
