[00:00] 欢迎收听谷爱,我是盛梦宫,本期节目由NordVPN赞助
[18:12] 可是一段時間之後
[18:13] 你特別是看到一些那種自力破碎的言論
[18:15] 像昨天也看到AQR的老闆
[18:17] 然後跑去嗆Palm of Lucky
[18:19] 他竟然不知道Palm of Lucky是誰
[18:20] 我們每個人都知道Palm of Lucky
[18:22] 可是他不知道Palm of Lucky是誰
[18:23] 所以長江後浪推前浪了
[18:25] 我們雖然去崇拜去喜歡這些人
[18:27] 可是也要知道他們講的東西可能會有問題
[18:29] 像那個納瓦爾寶典
[18:30] 就整天去講一堆打高空的東西
[18:32] 好像說那些東西都不用成本一樣
[18:34] 你說OK
[18:35] 都是你需要任何APP的时候
[18:37] 可以直接去建一个出来
[18:38] 那不用成本吗
[18:39] 不用钱吗
[18:40] 就像一堆人跑去养龙虾
[18:41] 我就问你说
[18:42] 你的产品到底在哪
[18:43] 你到底交付了什么产品
[18:44] 你只是烧了一堆Token而已
[18:45] 你只是被骗了
[18:46] 然后就花了一堆钱
[18:47] 你根本就没有交出真正的产品
[18:49] 所以我现在会想要去验证说
[18:51] 到底谁有交出真正的产品
[18:52] 那我觉得财务数字
[18:53] 就是一个很公道的东西
[18:54] 那Alesian呢
[18:56] 虽然他不是我喜欢的公司
[18:57] 那我自己也不会去持有他
[18:59] 那可是注意到
[18:59] 因为他算是在市场里面
[19:01] 跟那个Chegg一样
[19:01] 就是大家都觉得说
[19:05] 或是Cross-Strike
[19:06] Panthear
[19:07] 他是可能在
[19:09] 不管是有去结合硬体
[19:10] 然后或者是
[19:11] 因为他有很多的锤子整个
[19:12] 他有很多的know-how
[19:13] 甚至某个程度上
[19:14] 像以前大家去嘴Panthear
[19:15] 是喜欢去嘴他
[19:16] 说他根本就不是软体公司
[19:18] 他是一个顾问公司
[19:19] 那你要知道
[19:20] 那时候大家去讲
[19:20] 他是顾问公司
[19:21] 是为了要打击他
[19:22] 因为那时候
[19:23] 如果是软体公司的话
[19:24] 他可以去作用
[19:25] 比较高的一个估值
[19:26] 因为可能在未来的一个金流
[19:27] 是可以比较有那种
[19:28] 稳定确定性
[19:29] 就知道说
[19:29] 反正你的ARR
[19:30] 是有机会可以刷多少钱这样子
[19:31] 可是是顾问公司的话
[19:32] 那你人不够多
[19:34] 或者说你业务拓展的不够快的话
[19:36] 你很难大规模的去做量化
[19:37] 就没有想到在AI时代
[19:39] 反而这样子的一个商业模式
[19:41] 变成是一个利多
[19:42] 为什么
[19:42] 因为它需要可能大量的FDE
[19:44] 就是From Deployment Engineer
[19:45] 去你的公司
[19:46] 去把你的那些死三代码
[19:48] 跟一堆那种垃圾资料弄一弄
[19:50] 然后变成是一个可视化的东西
[19:51] 去做决策
[19:52] 它是需要花很多人力去做处理的
[19:54] 那这个东西恰好
[19:55] 就是AI可能没有办法
[19:56] 在短时间内去取代的东西
[19:58] 所以在我自己的心目中
[19:59] 大概半年前
[19:59] 我看到很多这样子的讨论中
[20:01] 我自己心中
[20:01] 也是大概的去审视了一下
[20:03] 就是假设未来有时候
[20:04] 我要去买一些软体股
[20:06] 去抄底的话
[20:07] 我会以什么作为我的优先
[20:08] 所以其实很快的就理出说
[20:10] 像刚才前面
[20:11] 我自己喜欢的这三家公司
[20:12] 我就觉得说
[20:13] 他们比较属于说
[20:14] 就是在AI时代
[20:15] 应该是比较难以被搞到的东西
[20:17] 其他的
[20:18] 我自己也都会先打一个问号
[20:19] 因为我们现在
[20:20] 不敢对未来的事情喊得太慢
[20:21] 为什么我们不确定
[20:22] 未来会发生什么事情
[20:23] 而且AI的变化真的是太快了
[20:25] 所以像是Check
[20:26] 或像是Alesian
[20:27] 他其实本来在我心中
[20:28] 都是觉得说
[20:28] 他就是有机会会BBQ的东西
[20:31] 那再往上一点的话
[20:32] 可能像是Adobe吧
[20:33] Adobe我自己心中
[20:34] 也觉得说他有机会会BBQ
[20:35] 因为现在已经有
[20:36] 这么多方便的生图的东西
[20:37] 那即便我自己去问的
[20:39] 身边在做设计
[20:40] 做摄影的朋友
[20:41] 他们说那个没有办法
[20:42] 你没有办法去建出一个
[20:44] 怎么讲很随机的东西
[20:45] 特别是他们是专业的使用上
[20:47] 没有办法
[20:48] 你只要非常的精准的
[20:49] 直接跟我说
[20:50] 他们还是大量的
[20:51] 在使用Adobe的东西
[20:52] 即便他们觉得说
[20:53] 这家公司的定价
[20:54] 然后跟一些绑订阅的方式
[20:56] 让他们非常不爽
[20:57] 可是你就只能够用这个东西
[20:58] 确实是在一些
[21:00] 比较初阶的应用上
[21:01] 就像说你的老板
[21:02] 叫你随便生一张图
[21:03] 你可能就不需要去做订阅
[21:04] 所以我觉得他们的估值
[21:06] 被打压是合理的
[21:07] 因为确实是会掉一些客人
[21:08] 就是这些比较初阶的应用
[21:10] 就全部都被AI拿走了
[21:11] 比较客制化
[21:12] 比较复杂的应用
[21:13] 需要去结合公司data的东西
[21:15] 可能还是会有他们的一个空间
[21:17] 所以你知道他的用户
[21:18] 就是一定会掉一些
[21:19] 当然这个对于未来的
[21:21] 预期数值就是会去做下修
[21:22] 包含你的估值也都会
[21:23] 所以我认为说
[21:24] 他们可能价格被压下去
[21:26] 是还蛮合理的
[21:27] 只是说价格可能压到
[21:29] 哪一个程度之后
[21:30] 如果说有些东西是够便宜的
[21:31] 然后下一个趋势起来的时候
[21:33] 我们还是希望要可以抓到
[21:34] 这个其实跟
[21:35] 我们在做硬体
[21:36] 也是一样的道理
[21:37] 我们现在都会讲说
[21:38] 消费性不好
[21:38] 可是我们其实会一直去找机会
[21:40] 哪一天消费性可能突然起来
[21:42] 就像是可能前面记忆体
[21:43] 突然间就这样爬起来
[21:44] 在爬起来之前
[21:45] 就大家也都说是垃圾的东西
[21:46] 这种东西就是有机会
[21:47] 会帮你带来一些抱赚的机会
[21:49] 所以他就会持续去看他
[21:50] 那在网上一个程度的话呢
[21:52] 就是高尔兹用最惨
[21:53] 在网上去站
[21:54] 那我觉得可能
[21:55] 就是像是Salesforce
[21:56] 这样子的公司
[21:57] 他其实没有倒产
[21:58] 这边已经算是我自己
[21:59] 心目中的neutral
[22:00] 那特别是这个Bennieoff
[22:02] 我觉得他是一个厉害的创办人
[22:04] 特别是业务会谈地
[22:06] 所以应该是有机会
[22:07] 在后面会走出自己的一条路
[22:08] 那这个可以去引一下
[22:10] 像那个David Sachs
[22:11] 就讲一个有趣的
[22:12] 他说在这样的一个时间点
[22:13] 如果你还是Founder
[22:15] 在去帮公司掌舵的这些公司
[22:18] 会比较有机会
[22:18] 因为他比较可以去做到大破大立
[22:20] 如果今天是专业经理人的话
[22:22] 他们可能会一直想要去守住既有的东西
[22:24] 导致他是可能没有办法去跟上时代
[22:26] 然后在一个快速变动的时代里面
[22:28] 会被淘汰掉
[22:29] 那Salesforce也很快的就导入了AgentForce
[22:32] 然后以及他们现在的Headless的一个架构
[22:34] 总之就是以前你可能需要去登入Salesforce
[22:36] 去做到一个企业所需要的功能
[22:38] 那现在不太需要
[22:39] 现在你就是全部都简化成为
[22:40] 像是大家去使用AI一样一个对话框
[22:42] 那就可以去完成你要的任务
[22:44] 那在这里面呢
[22:45] 他一样可以找到他
[22:46] 赚到钱的一个管道跟方式
[22:48] 特别是手上有现金
[22:49] 可以去做支用的话
[22:50] 那他们可能
[22:51] pivot的速度是可以蛮快的
[22:53] 所以或许呢
[22:53] 就是他可以像过往一样
[22:55] 化每一次的
[22:56] 看起来是残具的东西
[22:57] 为奇迹
[22:58] 然后变成
[22:58] 又有新的变化出来
[23:00] 所以总之我觉得
[23:01] 就是在接下来一段时间
[23:02] 市场可能有机会
[23:03] 会想要去回头看这个
[23:04] 但这可能要先等到
[23:05] 这一波的
[23:06] 因为像我们看得到
[23:08] 这一波行情
[23:08] 就是以CPU
[23:09] 然后带动了
[23:10] 大量的硬体股息上去吧
[23:12] 就是一般来讲
[23:13] 就是它是在轮动之后才发生
[23:14] 所以下一个轮动
[23:15] 我们就去观察看看说
[23:17] 有没有机会
[23:18] 会是由这些公司所带出来
[23:20] 就像说像Alesian的老板
[23:22] 其实在之前就一直在跟大家讲说
[23:24] 你们是讲错了
[23:25] 根本没有这么差
[23:26] 那大家不相信他
[23:27] 把他杀到爆掉
[23:28] 那结果他交出了一个财报
[23:29] 那他就在里面就昂下了
[23:31] 就跟大家说
[23:31] 早就这样跟你讲了
[23:33] 就一直这样
[23:33] 那一样的道理
[23:34] 就是其实我们在过去也看到
[23:36] 像是配案体人Alex Carp
[23:37] 然后跟Cloudflare
[23:40] 或者说CrossTrial
[23:41] 也有多次在
[23:42] 像前面的Enthropic的
[23:43] 产品发表会之后
[23:44] 然后就出来去辟谣说
[23:46] 这些东西其实
[23:47] 对我们来讲
[23:47] 它是我们的工具
[23:48] 它是会帮助我们的
[23:49] 然后它并不会取代我们的
[23:50] 但没有人相信
[23:51] 因为大家就是觉得
[23:52] 现在的一个环境之下
[23:54] 就是每个人都应该
[23:55] 都可以去卷出自己的软体
[23:56] 虽然这个其实你
[23:57] 这话你仔细想想
[23:58] 就觉得非常不可思议
[23:59] 它是一个很奇怪的论述
[24:01] 随便举例
[24:02] 就现在其实有很多的
[24:03] 社群的平台
[24:05] 你一般只讲得出来
[24:06] Facebook跟Instagram
[24:07] 但其实你可以找到
[24:08] 一堆交友的平台
[24:09] 他可能也是免费给你用
[24:10] 可是你不会上去用他
[24:11] 就是你选项很多
[24:12] 为什么你不用他
[24:13] 那就是因为你用这个平台
[24:15] 你最主要目的
[24:16] 不是说去用这个平台吗
[24:17] 你是要来交朋友的嘛
[24:18] 所以回到刚才前面
[24:19] 那个老黄讲的东西
[24:20] 再一次去引用他
[24:21] 你重点是你的目的是
[24:22] 去解决什么东西
[24:23] 而不是说
[24:24] 你今天发现说
[24:25] 你有一个东西
[24:25] 可以让你coding变得很快
[24:27] 所以你就以为说
[24:28] 那这个世界上coding
[24:29] 就变成这不值钱的东西
[24:30] 不是
[24:30] coding它变得前所未有的重要
[24:32] 因为它只是可以
[24:33] 透过AI的速度变得很快
[24:35] 最重要的事情是
[24:36] 你最后面交出什么样的产品
[24:37] 你的product是什么
[24:38] 这才是最重要的
[24:39] 而不是中间的可能某一个环节
[24:41] 所以一样的道理
[24:42] 如果大家可以去想通这件事情的话
[24:43] 那或许市场后面的论述
[24:45] 又会再一次的去做一些调整
[24:47] 这也不只是在讲说
[24:48] 可能一些
[24:48] 可能比较中小型的软体股
[24:50] 一些大型的巨头
[24:51] 其实在过去一阵子
[24:52] 像蛮多人讲说就手上不要去拿Google跟不要去拿微软的一个主因是因为他们本身就是一個就是AI的模型夠強大之後可能可以取代它軟體的其中一個對象
[25:03] 那當然一下Google轉強
[25:04] 我相信就不能這樣子講了
[25:05] 就像可能前陣子大家講說
[25:07] Google Search沒有人會用
[25:08] 因為那時候它在跌嘛
[25:09] 所以大家就會去傳這樣的一個論述
[25:11] 但很多時候等到漲之後
[25:12] 大家的這個想法就會完全的改變
[25:14] 所以我覺得它也可以用在這些巨頭上面
[25:16] 因為本來大家認為說這些巨頭
[25:18] 你花一堆錢
[25:19] 那你可能去做一堆模型的競爭
[25:21] 最後面在模型這邊不一定可以去回收到
[25:24] 你在自己的軟體層面還會被淨整掉
[25:26] 現在特別是在這些巨頭開完財報數字的時候
[25:29] 你就知道說這一切都是bullshit
[25:30] 它並不是像大家想的那樣子
[25:32] 然後AI它確實是在幫大家賺錢
[25:35] AI確實是幫大家帶來了很多獲利的機會
[25:38] 跟一些新的產品線的機會
[25:39] 所以我認為這是在後面可能需要去注意的一些東西
[25:42] 最後面我們再稍微再拉回來講一下
[25:44] 因為最近有一個新聞蠻多人在討論
[25:46] 就是台積電跟聯發科的一個相關的話題
[25:50] 就是说在台积电这边有一个什么先进封装的研发大将
[25:53] 然后他隆退之后去加入了联发科
[25:56] 那这件事情到底该怎么样去看待他
[25:58] 那首先呢
[25:59] 因为我们过去也蛮常会去追踪这样子的东西
[26:01] 我们会追踪一些可能就像说本来他是在甲方的
[26:05] 然后他退休之后跑去乙方这边
[26:07] 那他可能去当一个董事或是高层之类的
[26:10] 那我们就认为说是不是有可能他会去收到他的订单之类的
[26:13] 但蛮多时候会注意到说不是这样子
[26:15] 他可能只是在业界已经是远近驰名了
[26:17] 所以大家会想去找个神主牌来
[26:19] 以後談生意的時候可能有你在就會比較好一點
[26:22] 主要是這樣子
[26:23] 當然也有可能是有一些特殊的安排
[26:25] 就是他真的是想要以這次市場裡面在討論就是說
[26:28] 可能聯發科後面他想要在GG這邊去獲得更多的產能
[26:32] 想要去有更多封裝的結合之類
[26:33] 我們這邊講一下我們知道的事情
[26:35] 首先就是TPU的那兩顆
[26:37] 大家應該已經倒背如流
[26:38] 因為我們節目已經分享蠻多次了
[26:39] 反正就是V8跟V9
[26:41] 一個是叫5921一個是叫5922
[26:43] 5921目前我們看得到的數字是
[26:46] 它在先進封裝的Cohus這邊
[26:49] 一開始是一個40K
[26:50] 然後到隔一年是會直接拉到
[26:52] 當然那個數字是眾所紛紜
[26:54] 可是大概是落在150到180K之間
[26:56] 這個是5921
[26:57] 大家都知道說它的後段跟前段
[26:59] 都在台積電這邊做
[27:00] 可是走到5922也就是Humufish之後
[27:02] 目前的一個共識是
[27:04] 它的前段會在台積電這邊做
[27:05] 可是它的後段
[27:06] 就會跑到Intel的Inmib那邊去做
[27:08] 所以我們才會討論到
[27:09] Inmib的良率到底下是怎麼樣的一個情形
[27:11] 就有這樣的討論
[27:12] 是有這樣子一個事件的背景在前面
[27:15] 那當然如果說今天
[27:17] 舉例來說去多了一個台積電的大將加入聯發科
[27:20] 會不會就是要去把這個後段的東西給喬
[27:22] 其實老實說在市場上面已經傳一陣子了
[27:24] 就是在MediaTek這邊
[27:25] 當然一樣這是市場的謠言
[27:27] 就是說他其實是有開兩條線
[27:29] 就前段是台積電這邊
[27:30] 那後段一條線就是往那個IMIP-T的方向去走
[27:33] 那一條線其實就還是會想要留在
[27:36] COOLUS或者說COOLPOS裡面去做
[27:37] 就一樣有去做這樣子的設計
[27:39] 那這個設計他絕對不會是說什麼
[27:41] 可以由這個設計夥伴他自己去做決定
[27:43] 一定是背後的老大哥
[27:44] 也就是客戶的本人Google
[27:45] 應該是有去做受益
[27:47] 我認為他們本來有這樣的一個想法是因為
[27:49] 就是怕Intel會出包
[27:50] 所以其實像Intel的良率數字
[27:53] 我們之所以覺得很意外的點是因為
[27:54] 因為大家的心中假設都是
[27:56] 就是一個Dial
[27:57] Intel就是Dial
[27:58] 所以東西做不起來
[27:59] 結果沒有想到
[27:59] 可能我覺得現在也是一個地緣政治的變化
[28:02] 然後跟真的有一些起風
[28:03] 後段的封裝可能相對難度也沒這麼高的關係
[28:06] 所以它意外的產生很多機會
[28:07] 但其實Intel最近老實講也是噴到我自己
[28:09] 已經是有點那種看不懂的狀態
[28:11] 就是不可能再做家
[28:12] 甚至會想要去把它
[28:13] 找到机会要开始丢出来的一个情形
[28:16] 总之它有很多的好消息去环绕它
[28:18] 所以大家现在好像突然间觉得说
[28:20] Intel就是无所不能
[28:21] 但过去其实我们知道说
[28:23] 它有一些关键的节点
[28:24] 或是一些产品
[28:25] 大家以为说会顺利的
[28:26] 然后后面就是都蛮常会有出包的情形出来
[28:29] 这边就跟大家分享说
[28:30] 其实在MediaTek或者说Google这边
[28:33] 我们一直都知道说
[28:33] 它应该会有一个backup plan
[28:35] 就是在台积电这边
[28:36] 现在如果说多了一个门神进来守护
[28:40] 会不会有机会
[28:41] 就是更加确定
[28:42] 就是后面可能会往台积电这个方向去走
[28:44] 我觉得那个几率是有变高
[28:45] 但是你说是不是一定是这样
[28:47] 还不确定
[28:48] 因为那个产品其实还很久
[28:49] 就5921都还没有大放量
[28:50] 那你现在就去讨论5922
[28:51] 其实真的是还太久
[28:53] 但总之这个就是后面可以持续去追踪的一个项目
[28:56] 那现在去猜说
[28:58] 这位就是前台积的高层
[29:00] 他跑去那边
[29:01] 那到底是不是因为
[29:02] 他们要去弃英跳要转回TSM
[29:04] 我认为是一个太快的讨论
[29:05] 但确实是后面可以持续的去关注看看
[29:07] 那这边就来进入科学部分
[29:09] 第一位中和小老板
[29:10] 回答的挑战
[29:11] 孟公去嘎您好
[29:12] 想问您认为Google Amazon
[29:14] 他们的自研金片会威胁到挥打吗
[29:16] 简短提问感谢猛工
[29:18] 祝猛工资产早日上十二位数
[29:20] 兄弟你这个讨论是大概2023年
[29:22] 2024年大家就一直在讲的东西
[29:24] 可以回听那时候节目
[29:25] 我们就针对GPU跟ASIC
[29:26] 去做了蛮多的分享
[29:27] 当时需要花很多心力去告诉大家说
[29:31] GPU不会把ASIC杀掉
[29:32] 后来一段时间又花很多心力
[29:34] 跟大家讲说ASIC不会把GPU杀掉
[29:36] 就是我不知道什么市场的讨论
[29:37] 都非常喜欢捧A采币
[29:39] 应该说人就是这样子
[29:41] 就像你分享一个餐厅
[29:42] 就喜欢讲说什么
[29:43] 这个比那个屌
[29:44] 可能这样子形容比较好吧
[29:45] 但实际上
[29:46] 以现在我们看得到的AI状态来讲
[29:48] 就是说晶片整体是供不应求的
[29:50] 所以并没有谁会把谁
[29:52] 踩掉这样子的一个剧本
[29:54] 在短期内会发生
[29:55] 而是就是说
[29:56] 到底谁可以在短期内
[29:58] 去强调更多的市占
[29:59] 这是我们会想要关注的一个重点
[30:00] 所以他会不会去威胁到回答
[30:02] 不会
[30:02] 他们自己本身都还是回答的大客户
[30:05] 所以大概就是可以把它想象成
[30:06] 就是说在并行的状况之下
[30:08] 除了去买这些GPGPU之外
[30:10] 他们会有自己课定的一些
[30:12] 不管是CPU
[30:13] 或者说ASIC
[30:14] 也就是类GPU
[30:15] 来作为说
[30:16] 可能在自己的云端资料中心去做使用
[30:19] 像Google这边的话
[30:20] 在他的演算法
[30:21] 或者是他家的模型
[30:22] 他就在使用自己的TPU
[30:24] 但是他的客户要去用他的云
[30:26] 可能就还是会用到蛮多的回答的东西
[30:28] 所以还是必须去采购他的东西
[30:30] 所以我觉得都是交叉有在做使用
[30:32] 它不是一个谁威胁与否的事情
[30:35] 而是可能
[30:36] 就等到后面变成是红海市场的时候
[30:38] 我们再讨论这个会比较实在
[30:40] 我现在讨论这个没有什么意义
[30:41] 就有点类似说
[30:42] 现在去讨论说
[30:43] 崩盘谁会崩比较多
[30:44] 那没有什么意义
[30:45] 就等到真的崩的时候
[30:46] 我们再来看会比较准一点
[30:47] 下面有位翻桌宝宝
[30:49] 第二次留言
[30:50] 孟公你好
[30:50] 记忆体模组最近的几次法说
[30:52] 已经明确的指出
[30:53] 缺货会到2027
[30:55] 2026订单已经满了
[30:56] 需求能见度高
[30:57] 公司的库存从3月350亿拉升
[31:00] 6月底目标500亿
[31:01] 并私募120亿加码备货
[31:03] 公司赶杂真金白银在囤
[31:05] 这个让人思考
[31:06] 公司是否已经提前看到明年的展望
[31:08] 我请向相信公司派的讯号
[31:10] 且合约价Q2 Q3仍有上涨的空间
[31:12] 目前成本已经拉开
[31:14] 并非套牢仔
[31:15] 但股价反应偏慢
[31:16] 杂音多
[31:17] 信心多少人会动摇
[31:18] 想碰撞一下您的想法
[31:20] 谢谢
[31:21] 那既然是已经持有一阵子的
[31:23] 我觉得这边就只是何时要下策的问题
[31:25] 那确实你就会比较耐甩一点
[31:27] 你看一下前面的美光
[31:29] 也是在下去的时候
[31:31] 一堆人说怎么破底做头
[31:32] 就直接surprise motherfucker
[31:33] 屌喷
[31:34] 那Sandisk也是
[31:35] 然后台湾的记忆体股
[31:36] 就让我们跟大家分享
[31:37] 它其实算是比较慢
[31:38] 就类似说台湾的被动元件
[31:39] 其实也是比较慢
[31:40] 那我觉得主因是因为
[31:42] 台湾的题材真的太多了
[31:43] 就是台湾真的是一个
[31:45] 你看一下那个经济成长率
[31:46] 甚至现在是你知道
[31:48] 我们讲说台湾前烟角木
[31:49] 好像是一个遥远的过去
[31:51] 我们现在是已经回到
[31:52] 台湾前烟角木的时代了
[31:54] 所以当时你们靠北说
[31:55] 台湾前烟角木
[31:56] 你爸妈没有在做事情
[31:57] 那台湾前再一次的烟角木
[31:59] 各位真的要好好的努力
[32:00] 那我觉得就是因为
[32:02] 台湾的东西真的是太多了
[32:03] 所以导致有些题材
[32:04] 他没有办法走出去
[32:05] 因为市场有太多的选择
[32:07] 我自己的体感是这样
[32:08] 我们自己身边有些朋友
[32:09] 也是这样子的去做看待
[32:11] 所以其实基本面
[32:12] 特别是记忆体这一块
[32:13] 大家都知道
[32:14] 大家都知道好
[32:15] 大家都知道缺
[32:16] 你在可能最新的
[32:18] 苹果的电话会议
[32:19] 也再次跟你讲
[32:19] 后面的几个Q
[32:21] 记忆体的成本
[32:22] 就是有机会会跑到
[32:23] 大家看得到的一个样子
[32:24] 因为前面是
[32:25] 大家想说苹果的成本
[32:27] 空了真好
[32:27] 他直接告诉你说
[32:28] 后面都还是会持续的去涨
[32:29] 所以其实你从各个交互去验证
[32:32] 都知道说
[32:32] 这个记忆体的后续的状况是不错
[32:34] 但是你说股价是不是就一定会
[32:36] 屌涨什么的
[32:37] 这个我真的没有办法跟你确定
[32:38] 我也不希望这边跟大家讲的时候
[32:40] 然后大家觉得说
[32:40] 可以再冲进去再做一个破断
[32:42] 我不确定
[32:43] 就是说基本没有就是这样
[32:44] 它可能会好一阵子
[32:45] 但是股价不一定的动
[32:46] 就像是辉达可能从
[32:47] 2023到现在都很好
[32:49] 可是为什么前面可以横盘
[32:50] 横这么久
[32:50] 不知道
[32:51] 为什么前面NASDAQ会横盘
[32:52] 横这么久不知道
[32:53] 时间到我就盘上去
[32:54] 所以可能你觉得都还不错的话
[32:56] 都可以再继续等看看
[32:57] 目前用产业的角度来讲
[32:59] 是确实没有看到
[33:00] 太多的问题出现
[33:01] 大概这样
[33:02] 下面一位
[33:02] I love 2330
[33:04] 当股东也要当员工
[33:05] 猛公去嘎尼奥
[33:06] 第一次来留言
[33:06] 小弟我是一个
[33:07] 股票小白家
[33:08] 捏软振兴二宝吧
[33:10] 一年多前
[33:11] 误踏入股票世界
[33:13] 只会傻傻的买
[33:13] 2330跟0050
[33:15] 半年前接触到你的节目之后
[33:16] 关键上收益良多
[33:17] 现在已经是我上班
[33:19] 开车必听的podcast
[33:20] 谢谢猛公带我起飞
[33:21] 祝您全家身体健康
[33:22] 事事顺心
[33:23] 看来这一位二宝吧
[33:25] 现在已经是赚到烂掉了
[33:27] 就是这两个东西
[33:28] 都是过去非常pun的一个东西
[33:29] 那也希望你可以身体健康
[33:31] 希望这个节目可以持续的陪伴你
[33:32] 下面有一位
[33:33] 沦陷区气氛仔
[33:35] 是我记错还是赞助记错
[33:37] 上个礼拜的赞助说
[33:39] 巧虎5月5号生日
[33:40] 但我怎么记得是6月初
[33:41] 连孟宫的危机词条都是写6月啊
[33:44] Memor
[33:44] Google生日出危机词条也太猛
[33:47] 那可能孟宫Chika已经不太记得
[33:50] 他也兴趣退散了
[33:51] 但还是要提醒一下
[33:52] 去年说死亡搁浅的生日彩蛋
[33:54] 错过了想要今年补上
[33:56] 那希望今年不会错过
[33:58] 那最后想要说
[33:59] 我汉费顺利完成结婚登记了
[34:03] 也祝老公跟听众们
[34:04] 股票继续喷射
[34:05] 感爱您
[34:05] 恭喜老爷
[34:06] 贺喜夫人
[34:07] 希望你们新婚愉快
[34:09] 那死亡搁浅
[34:10] 对啊
[34:10] 已经很久没有玩了
[34:11] 因为就破了嘛
[34:12] 对
[34:13] 我突然间想到那个生日彩蛋
[34:14] 真的蛮可爱的
[34:15] 就是会送披萨上来吧
[34:17] 好OK
[34:18] 那我会记得
[34:18] 尽量记得要把它打开来看
[34:20] 然后再讲说
[34:20] 乔虎5月5号生日
[34:22] 然后后面讲说什么
[34:23] 孟公的危机词条
[34:24] 所以你到底在讲
[34:25] 乔虎是在讲那个
[34:26] 黄色的教小朋友尿尿的乔虎
[34:28] 还是你在讲我
[34:29] 因为有时候叫我什么直男乔虎嘛
[34:30] 乔虎的生日是几号
[34:32] 我是真的不知道
[34:33] 那我自己的生日的话
[34:34] 是六月没错
[34:35] 下面一位
[34:35] 勇者斗老婆
[34:37] 梦宫等等
[34:38] 普隆德拉门口见
[34:39] 我给你的爱
[34:40] 写在西元前
[34:41] 深埋在美索布达米亚平原
[34:44] 用写信文字
[34:46] 刻下了永远
[34:47] 那一封花千年的誓言
[34:50] 一切有重演
[34:52] 更多详尽歌词在
[34:53] 魔镜.com
[34:54] 魔镜歌词网
[34:56] 每次听到这首歌
[34:57] 都觉得好像回到
[34:58] 13岁的那一间网咖
[35:00] 连隔壁的烟味
[35:01] 都好像闻得到
[35:02] 孟公大你也会像我这样
[35:03] 听到某首歌
[35:04] 就好像整个人
[35:05] 被抽回到某个时光
[35:07] 而且是每次听
[35:08] 每次抽
[35:08] 会啊
[35:09] 歌本身就是一个
[35:10] 非常好的载体
[35:11] 甚至我会到某些地方
[35:13] 刻意的去放一些歌
[35:14] 然后去把回忆写在那边
[35:16] 然后你每次放到歌
[35:17] 你就会想到那个回忆
[35:18] 那确实以前网咖
[35:19] 蛮多人都会把音乐放出来
[35:21] 就除了这个周杰伦是
[35:23] 一定会轮播之外
[35:24] 还有像那种张韶涵
[35:25] 李圣杰
[35:26] 小鬼
[35:27] 罗志祥
[35:28] 然后再来
[35:29] 孙燕之
[35:30] 大家也很喜欢放
[35:31] 然后再来就是什么
[35:31] 爱德
[35:33] 石肥
[35:33] 对说以太多
[35:34] 那也超喜欢放的
[35:35] 然后跟
[35:35] 水甘来他改
[35:37] 水甘来标台
[35:38] 那个叫什么
[35:39] 忘记了
[35:40] 反正就是古货仔
[35:41] 什么红灯油仔
[35:42] 就是整天都在放
[35:43] 所以就是
[35:44] 网咖确实有一些歌是
[35:45] 就你下一波
[35:47] 你真的是闻得到
[35:49] 那个椅子油油的味道
[35:50] 一些二手烟的味道
[35:52] 还有网咖泡面的味道
[35:53] 这是我们的回忆
[35:55] 以前整天跑去夜包
[35:57] 然后每次包完出来
[35:59] 你看到太阳
[36:00] 心情都很差
[36:00] 都会在心中
[36:01] 然后跟隔壁的朋友也会讲
[36:03] 就说妈的
[36:04] 明天一定不要这样
[36:05] 然后明天九点半
[36:05] 加班猫
[36:06] 加班猫集合
[36:07] 就是对
[36:08] 以前真的很喜欢打网咖
[36:09] 为什么埃及有金字塔
[36:12] 因为大英博物馆不够大
[36:14] 不知道不明了
[36:15] 不想要
[36:16] 为什么
[36:16] 如果大英博物馆里面有金字塔的话
[36:19] 那它可以改叫大英金博物馆
[36:22] 梦宫会焦虑吗
[36:23] 你都怎么样处理焦虑的
[36:25] 推荐两个YT频道
[36:26] 看得很舒压
[36:27] 第一个斯文专门讲宇宙的
[36:29] 看着那些比人类不知道大几倍的结构
[36:32] 听着相关的知识
[36:33] 会不知不觉的忘记现实的烦恼
[36:36] 那也推荐去纽西兰关心
[36:38] 自己亲身看一下漂亮的宇宙
[36:40] 另外一个街头小霸王
[36:42] 专去美国那些鸟不生蛋
[36:44] 鸡不拉屎的地方
[36:45] 诚挚推荐MK给两个小宝贝看
[36:48] 非常感谢这位兄弟的推荐
[36:50] 那再講說會不會焦慮
[36:52] 比較少啦
[36:53] 就是比較不會去擔心那些
[36:56] 應該說刻意地有在訓練
[36:57] 就是你不確定會不會發生事情
[36:59] 就不要去想它了
[37:00] 那一般就是兵來將擋
[37:01] 誰來塗眼
[37:02] 有事情再去做處理
[37:04] 可是如果今天有事情沒有處理完的話
[37:06] 那確實會晚上是直接沒有辦法睡覺
[37:08] 所以一般我只要突然間想到一個東西
[37:09] 我可能那一天就不用睡覺
[37:10] 我就跳起來
[37:11] 然後就一直去瘋狂研究
[37:12] 然後去把它做完之類的
[37:14] 然後再講說這個宇宙相關的東西
[37:15] 我自己也非常喜歡
[37:16] 我會喜歡看一些天文相關的東西
[37:17] 然後或者是
