[00:00] 歡迎收聽谷愛,我是孟公,本期節目由木鶴單一麥芽威士忌贊助
[19:35] 如果它有宣稱是跟SpaceX
[19:37] 說特斯拉合作
[19:38] 那就是整得
[19:38] 因為他們就確實在那邊
[19:40] 是要搞生產基地
[19:41] 直下在市場上的玩家
[19:42] 是越來越多
[19:43] 甚至我自己是不排除說
[19:45] 有可能因為SpaceX的一個瘋狂拉貨
[19:48] 然後導致
[19:48] 其他可能是有跨過
[19:50] 可以在衛星相關應用的一些廠商
[19:53] 也有可能會出現
[19:54] 缺貨漲價的一個情形
[19:56] 就現在非常恐怖
[19:57] 因為大家都在強產
[19:58] 所以這些事情
[19:59] 都是有可能會發生
[20:00] 因為產能是有限的
[20:01] 但需求是非常的龐大
[20:02] 除了Starlink
[20:04] 這個已經聊到不要聊之外
[20:05] 現在在市場上
[20:06] 也有許多的玩家
[20:07] 像是ASTS
[20:08] 這個也是跟大家聊過
[20:09] 然後以及最近Jeff Bezos
[20:10] 有一個新的計劃
[20:11] 叫Terra Wave
[20:12] 它之前有一個
[20:13] 在Amazon裡面
[20:14] 叫Cyber Systems
[20:15] 那是化解它並回去
[20:17] 把它稱為Amazon利用
[20:18] 這個你可以把它想象成是
[20:19] Amazon的低軌道衛星
[20:21] 它的應用是For消費者
[20:23] 就有點類似說
[20:24] 是要跟Starlink去針對消費者這一端去打對臺
[20:27] 現在Terra Wave
[20:29] 它是一個比較進階的應用
[20:31] 它可以到6TBPS
[20:32] 再來就是它有更好的速度
[20:35] 更好的頻關
[20:36] 可能更低的延遲
[20:37] 最主要的目的是要用於針對土壁企業端的一些消費者
[20:42] 這些土壁的應用上
[20:44] 可能價格會比較高一點
[20:46] 服務的客人也是相對的少一點
[20:48] 在它對外的一個宣傳是有提到說
[20:50] 他們大概就是服務10萬個客人
[20:52] 這10萬個客人是一些Enterprise
[20:54] 或是一些Data Center
[20:55] 它透過的不只是低軌道衛星
[20:58] 還有像是MEO
[20:59] 就是更高軌道的一個衛星的協作
[21:01] 然後去讓網速可以跑到更快
[21:04] 所以它就是可能某個程度上
[21:06] 是大家開始有在想象說
[21:08] 未來我們可能把一些AI的運算
[21:11] 丟到太空去
[21:13] 因為在太空這邊
[21:14] 就不用去解決散熱的問題
[21:15] 但它很多事情還是要解決
[21:16] 就是不然說像是輻射
[21:18] 或者是你到底要怎樣發電
[21:20] 這個沒有這麼簡單
[21:21] 但你可以看得出來說
[21:22] 這些美國的visionaries
[21:24] 他們真的是速度非常的快
[21:25] 在大家都還不太相信的時候
[21:27] 就先率先的去做佈局
[21:29] 那等到可能大家開始相信
[21:30] 是五年十年之後
[21:31] 你就發現說人家已經是
[21:33] 早就經過好幾個prototype
[21:35] 搞不定要進入量產了
[21:36] 那你才剛要開始
[21:37] 所以他們其實速度非常快
[21:39] 就是我覺得有很多的問題
[21:40] 應該都是有辦法慢慢去解決
[21:42] 現在看可能是很夢的東西
[21:44] 只是後面都是有機會去發生
[21:46] 那現在看起來
[21:47] 我們會知道說
[21:48] 在Amazon利友這邊
[21:49] 是比較有可能會放出很大的量
[21:51] 搞不好會射到上萬顆的衛星去
[21:53] 可是如果今天是Terra Wave的話
[21:55] 那可能就不會
[21:56] 它是比較高階的東西
[21:57] 但是我覺得這種高階的東西
[21:59] 是有必要存在的
[22:00] 就很類似說像臺積電的裝置供應鏈
[22:03] 有一家叫自盛的
[22:04] 它以前是做烤箱的
[22:05] 就是做烤箱
[22:06] 就是大家所知道的烤箱
[22:08] 那種比較不是在半導體應用的
[22:10] 然後後來他們就是接到貴客
[22:12] 一開始還不知道對方是臺積電
[22:14] 就跟他說我想要去做一個很好的烤箱
[22:16] 然後後來才知道說
[22:17] 是要用在CoreOS的應用上面
[22:19] 只是在一開始開發的時候
[22:21] 公司的那部高層也有提過
[22:23] 這個東西就不會賺錢
[22:25] 那也沒有客人
[22:26] 但是默默的做了好幾年
[22:27] 然後後來就變成說
[22:28] 你看它就是應得了大訂單
[22:30] 所以其實我覺得說
[22:31] 這個Terra Wave
[22:32] 或者說Starlink
[22:33] 當然也不可以把它完全想象成
[22:34] 說它完全是吐息
[22:35] 只是我們用簡單的類比
[22:36] 就是它現在可能是
[22:37] 我們把它放在跟Amazon利用一樣
[22:40] 可是它一定有一些計劃
[22:41] 是要for
[22:41] 就是更高規格的一個應用
[22:44] 所以你有點想象說
[22:45] 如果你現在可以掌握到這一些
[22:47] 像Terra Wave
[22:48] 比如說Starlink
[22:48] 假設有一些比較高階的應用
[22:50] 他們開始有找到一些廠商
[22:52] 去其實做開發的話
[22:53] 那這些廠商後面
[22:54] 可能也會帶給大家
[22:55] 非常大的一個驚喜
[22:56] 所以臺灣的供應鏈
[22:58] 雖然現在很多人講說
[22:59] 等到AI開始轉應用之後
[23:00] 會不會這些硬體就沒得搞了
[23:02] 不用怕 後面還有衛星
[23:03] 就變成說可能就往衛星
[23:04] 去做一個佈局
[23:05] 那一些射頻相關的
[23:07] 或是一些PCBA打板子
[23:09] 然後再來就是衛星板
[23:10] 其實這些都還是有
[23:12] 相當程度的一個技術難度
[23:14] 在背後
[23:15] 就我們目前所瞭解到
[23:17] 這個量是非常下來
[23:18] 而且很高几率
[23:19] 後面會驅動一個
[23:20] 搶貨的風潮
[23:21] 因為像Amazon
[23:23] 或者說像其他的玩家
[23:24] 都要加入
[23:25] JetFazel是Blue Origin
[23:26] 那大家都會需要去
[23:27] 找這些微信供應鏈
[23:29] 去下更多的單
[23:30] 那因為我們本來的考察
[23:31] 是比較偏向是
[23:32] top-down的方式
[23:33] 就是我們已經是
[23:35] 有辦法看到一些訂單
[23:36] 所以知道說
[23:37] OK這些供應鏈
[23:37] 可能會受惠
[23:38] 那現在開始
[23:39] 我們有一些
[23:40] bottom-up的feedback回來了
[23:41] 就是在大家
[23:42] 你知道就是有時候市場
[23:43] 大家去聚焦某一個話題之後
[23:44] 會很快的去把它開土
[23:46] 那像我們家就有看到說一些通波廠
[23:48] 他們已經有一些料號
[23:50] 蠻明確就看到說這個是要for衛星的
[23:53] 而且他是有放出蠻大的一個量
[23:55] 然後再來呢
[23:55] 在一些通波基板廠也看到了這個東西
[23:58] 然後他要出給可能兩個印刷電路板公司
[24:01] 那這個出的量是一樣大的
[24:04] 所以就讓我們發現了一些機會
[24:05] 那像我們在兩天下午跟大家分享一家日本的公司
[24:08] MECO
[24:08] 那其實這家公司我覺得還蠻有趣的
[24:11] 他的市值看起來是還蠻小的
[24:12] 那我稍微去翻了一下公司的簡報
[24:14] 他們的guidance
[24:15] 其實看起來也是會
[24:16] 有機會大beat
[24:18] 如果說他的產能是有開出來的話
[24:20] 那公司給的指引真的是太保守了
[24:22] 那因為我們已經有看到說
[24:24] 他的一些上游廠商要給他的東西
[24:26] 跟他的客戶要下的單
[24:28] 那個數量是很大的
[24:29] 那你的指引怎麼會只有這樣
[24:31] 這個其實我們在臺系的供應鏈
[24:33] 也是看到類似的一個狀態
[24:34] 但當然市場在近期就反應超快
[24:36] 一波拉上去
[24:37] 那只是就我們的觀察會覺得說
[24:40] 這可能真的都只是在一個初期的階段
[24:43] 那當然這個初期的階段
[24:44] 就像那時候我們一開始跟大家聊記憶體
[24:46] 我不敢跟你講的太絕對
[24:47] 就是說這股價會一路到天邊不一定
[24:49] 因為有時候一個波段可能是兩年或三年
[24:52] 那過程之中可能還是會出一些二三十%的修正這是有機會但至少我們現在應該已經算非常明確有看到那個需求就是擺在那邊然後像市場的一些想象最近也是很密集的發生這個還蠻有趣
[25:03] 可以跟大家分享一下
[25:05] 就是一般
[25:06] 如果在市場上面
[25:08] 已經有一些主流股
[25:09] 跑出來的話
[25:09] 然後大家就會去找一些
[25:11] 你知道人資場景嗎
[25:12] 他們就會想找一些
[25:13] 根本就還沒有動的東西
[25:14] 去做拉抬
[25:15] 因為覺得說
[25:16] 可能大家還沒有發現
[25:17] 但我們跟大家講
[25:18] 我們的經驗
[25:19] 一般那種率先動的那幾只
[25:20] 可能有些會先跑比較快
[25:23] 有些跑比較慢
[25:23] 但至少他們有動起來
[25:25] 率先動的那幾只
[25:26] 一定就是最後可能會漲最大的
[25:28] 當然一些額外被拉起來的
[25:30] 也有可能會有一小波
[25:32] 只是就不會這麼大
[25:33] 但還是有很多的機會
[25:35] 可能會在那一邊
[25:36] 市場家很多就去找那些
[25:37] 還沒有動的衛星股
[25:38] 只要他可能是跟SpaceX
[25:40] 有牽到邊的
[25:41] 或是有注意到有些人
[25:42] 甚至去把料件拆開來看
[25:45] 有看到名字這上面的都跑去買
[25:48] 最近都可能獲得一些報酬
[25:49] 還是要講這個會比較稍微的危險一點
[25:52] 因為我們在看一些產業鏈的時候
[25:54] 我們其實很著重的一點叫做
[25:56] 營收的佔比
[25:57] 就是說你有題材沒有用
[25:58] 就像之前我們曾經
[25:59] 在幾年前跟大家吐槽過旺宏
[26:01] 那當然旺宏
[26:02] 他現在已經不是新人殺到東巴了
[26:04] 他已經幫很多人賺很多錢
[26:05] 只是那時候會很常跟大家說
[26:07] 為什麼他會殺到很多新人
[26:08] 就是因為像他那個Nord Flash
[26:10] 真的是用在各個地方
[26:11] 用在什麼VR
[26:13] 什麼AR
[26:13] 還是什麼手機
[26:14] 電動車什麼
[26:15] 你真的到處都看得到旺宏的產品
[26:18] 可是很多人就是因為
[26:20] 可能我今天在某個地方
[26:21] 看到了他的產品跑去買
[26:22] 然後就發現說
[26:23] 奇怪這個產品名就很好
[26:25] 為什麼股價那時候沒有動
[26:26] 那是因為營收佔比的問題
[26:28] 所以大家要非常注意
[26:29] 這個營收佔比這件事情
[26:31] 就不是說什麼
[26:31] 你有出這個東西
[26:32] 你就可以雞犬整天
[26:33] 就大家還是很聰明的去抓
[26:35] 就像說有一個產品
[26:36] 他成長性非常好
[26:37] 那營收佔比
[26:38] 在這個產品出貨上面
[26:40] 佔很高的公司
[26:41] 那當然他就可以去受惠於
[26:42] 這個產品的放量
[26:44] 所以他就會漲比較多
[26:45] 所以其實這個是一個
[26:46] 很簡單的邏輯
[26:47] 然後稍微跟大家講一下
[26:48] 那在市場的探索裡面
[26:50] 像剛剛前面提到那個MACO
[26:51] MACO就有跟那個ACC
[26:52] 就臺灣的博智
[26:53] 他們在越南是有要去合資工廠
[26:56] 那這一點就很好笑
[26:57] 因為馬上就收到小作文
[26:59] 就寫到說
[27:00] 這個可能就是要去出衛星
[27:01] 當然我們不排除
[27:02] 他是要出衛星
[27:03] 只是有時候
[27:04] 就你稍微手指動一動去查一下
[27:06] 就會查到說
[27:06] 在MACO的官方網站有提到說
[27:08] 他們的這個合資
[27:09] 也就是博智佔7
[27:11] 然後MACO佔3
[27:12] 這個是要for AI server
[27:13] 那當然我並不是要去吐槽這個題材
[27:16] 我是要跟大家說
[27:17] 就是市場很厲害的點在這裡
[27:18] 他們找到一個線索
[27:19] 他們就直接先去拉
[27:20] 那很多時候呢
[27:21] 像一些那種
[27:22] 就是Mr.NoYo
[27:23] 就會跑出來吐槽說
[27:24] 這個就叫做亂拉啦
[27:26] 官網都跟你寫說什麼AI Server
[27:27] 你一定看過很多這樣子的
[27:29] 就是說他可能掌握一些資訊
[27:31] 然後講話講超滿的
[27:32] 可是我跟大家講
[27:33] 在市場裡面
[27:33] 很多事情會變來變去的
[27:35] 就這個廠可能本來
[27:36] 我預計是要for這個東西
[27:37] 因為當時市場可能最熱的話題
[27:39] 是這個東西
[27:40] 那我跟你就AB對照說要合作
[27:42] 那我們當然是要去合作
[27:44] 去搶市場上目前最汗的東西吧
[27:46] 所以那時候我們認為是AI Server
[27:47] 那後面我們可能轉向
[27:48] 因為我們發現說衛星的產量更好
[27:50] 所以這東西跑進去做衛星
[27:52] 其實都是有機會的
[27:53] 只是我們目前在MACO的網站看到
[27:56] 它還是會以這個AI Server為主
[27:58] 後面再去做觀察
[28:00] 但反正這也是一個很不錯的思路
[28:02] 可以跟大家分享一下
[28:03] 反正就是你去找到了幾個
[28:05] 重點的標的之後
[28:07] 然後接著他們的一些延伸
[28:09] 報應說可能跟誰有要去做投資
[28:11] 有什麼樣的互動
[28:12] 然後或者說有新玩家的加入
[28:14] 如果說你的產能是全滿的話
[28:16] 那怎麼辦
[28:16] 我可能就要去找
[28:17] 跟你是同一個peer
[28:18] 就是他可能過去
[28:19] 像我們那時候
[28:20] 去聊到這個衛星版的時候
[28:22] 有聊到兩家公司
[28:23] 一個是華通
[28:24] 一個是耀華
[28:25] 2367
[28:25] 只是那時候會講說
[28:27] 華通確實走在比較前面
[28:28] 到現在看都還是
[28:29] 可是你就想
[28:30] 如果今天華通的產能
[28:31] 假設被包滿
[28:32] 會發生什麼事情
[28:32] 就類似這樣的一些想象
[28:34] 就是在後面
[28:35] 其實都是有可能
[28:36] 會持續的去發展
[28:37] 好那總之呢
[28:38] 我們跟大家講這一包
[28:39] 就是說
[28:40] 我們在看這個衛星概念股的時候
[28:41] 我們本來是top down
[28:42] 因為你可能有注意到
[28:43] 一些訂單發生的可能性
[28:44] 然後像是ButtonUp
[28:45] 發現說
[28:46] 確實在一些公料上面
[28:47] M6的板子
[28:48] M6的材料相關的東西
[28:50] 其實都是持續的
[28:51] 有針對
[28:52] 衛星的應用
[28:53] 要去做放量
[28:54] 所以我們已經知道
[28:55] 它是真的
[28:55] 那接下來就看
[28:56] 是要怎麼樣去辦
[28:58] 像以投資的工作的話
[28:59] 就何時要去做介入
[29:01] 找好你喜歡的價格
[29:02] 不一定要去
[29:03] 衝在最前面
[29:04] 因為這些東西
[29:05] 很多會沒有進儲值
[29:06] 進儲值之後
[29:06] 你就會開始注意到
[29:07] 有些人會亂丟東西
[29:08] 亂殺
[29:08] 你不會希望說
[29:11] 一個那種大廠多題材的東西
[29:12] 你在過程之中被洗掉
[29:14] 所以去找好位置
[29:15] 也是非常重要
[29:16] 那稍微想跟大家分享
[29:17] 我們最近在市場裡面
[29:18] 所探看到的一些有趣的東西
[29:20] 那當然這個可能對一般的
[29:22] 聽眾來講會稍微的複雜
[29:24] 你可能覺得很凌亂
[29:25] 那沒有關係
[29:26] 反正就聽你聽得懂的部分就好
[29:28] 好那接下來我們來進入Q的部分
[29:29] 第一位資產創新高的立董
[29:31] 懂的就懂
[29:31] 近期因為法規制度改變的因素
[29:33] 小妹的工作可能會受到影響
[29:35] 因此最近打算轉換工作
[29:37] 想起來帶給你一個祝福
[29:38] 祝我順順利利
[29:39] 找到可以實現自我工作生活
[29:41] 平衡上班氣氛好
[29:43] 待遇達到期望的工作
[29:44] 若順利找到工作
[29:46] 將捐款月薪的30%給需要的團體
[29:48] 那一張請MK祝福在美國出差的室友
[29:51] 道哥出差順利
[29:53] 遠離情緒化主管和職場快樂寶貝
[29:55] 那最後祝福MK跟聽眾資產創新高
[29:58] 當然我也是愛你
[29:59] 那我也愛你
[30:00] 那祝你順利
[30:00] 下面一位
[30:01] Sam但不是奧特曼
[30:03] 一定要上臺大資公所
[30:04] 拜託念我
[30:05] 拜託念我第五次了
[30:06] 每次還願內容加倍
[30:08] 孟公大午安
[30:09] 小弟也來報到
[30:10] 祈求資公所順利上榜
[30:12] 畢業後在金融業工作幾年
[30:14] 覺得有點水土不服
[30:15] 去年領完年終就辭職備考
[30:18] 全職考試真的很孤獨
[30:19] 幸好有您節目的陪伴
[30:21] 2025至今主動選股小贏大盤
[30:24] 那若能夠順利上榜
[30:26] 願意捐出一個月的生活費
[30:28] 並吃素兩個月
[30:29] 一定要上
[30:29] 愛你
[30:30] 也祝你一定會上
[30:31] 下面一位
[30:31] 壓力是多的
[30:33] 孟公好
[30:34] 好兄弟被劈腿請意
[30:36] 孟公好
[30:36] 我身邊有一個好兄弟
[30:38] 最近被一個爛女人劈腿
[30:39] 她跟我算是你
[30:41] 聽你podcast長大的
[30:42] 雖然她股票賺爛
[30:43] 但內心很空虛
[30:44] 可以幫我開導她一下嗎
[30:47] 愛你
[30:47] 很多時候我不太理解
[30:48] 大家的一件事情是
[30:50] 就如果說你其實是遇人不熟
[30:52] 或是遇到不好的事情
[30:53] 然後才跟某個人分開
[30:55] 你不覺得幸好你是現在遇到嗎
[30:57] 所以她其實應該是一個
[30:58] 要當喜事來辦的事
[31:01] 但很多人反而因為這樣
[31:02] 覺得很難過
[31:03] 這個是蠻奇怪的
[31:04] 所以應該是要感到開心
[31:06] 至少是現在解脫了
[31:07] 下面為Lillian80818
[31:10] 祝我生日快樂
[31:11] 孟公好
[31:11] 謝謝您節目的陪伴
[31:13] 我度過通勤生活
[31:15] 那學到不只是財經的觀念
[31:16] 對於看待事情的會接思考
[31:18] 也讓我改變許多
[31:19] 身為40歲家的單身女子
[31:21] 那目前沒有物件
[31:22] 也應該不會生小孩
[31:23] 儘管我已經是高所得高學歷
[31:26] 但母親仍會情緒施壓的說
[31:27] 我這輩子辛苦養大你們
[31:29] 結果你們不結婚不生小孩
[31:30] 我這輩子真的很失敗
[31:32] 那心情真的很不好
[31:34] 我知道母親養育的辛苦
[31:35] 但對於這種我做不到的要求
[31:37] 真的每次都很心累
[31:39] 不知孟公有沒有什麼建議的解方
[31:40] 那最後希望您可以祝我129號生日快樂
[31:43] 謝謝我們祝Lillian80818生日快樂
[31:47] 那其實你遇到你母親的這個狀況呢
[31:50] 是非常常見
[31:50] 好發於就至少我自己的同輩
[31:53] 或是我的學長
[31:54] 我的學弟
[31:55] 大家很多人的家裡都會有這樣子的一些討論
[31:59] 那有些甚至是直接發生在我面前
[32:01] 就來說這個我爸爸的一些朋友
[32:04] 然後他的小孩跟我是同屆的
[32:05] 或是同學
[32:06] 已經聽過好幾次了
[32:08] 就會講說
[32:08] 孟公你可不可以去跟我們家的那個誰講
[32:10] 就是可不可以也生個小孩
[32:12] 讓我可以抱損啊或什麼的
[32:14] 我只能夠說就是
[32:15] 可以理解他們的想法啦
[32:17] 就如果我自己當長輩的話
[32:18] 我也會想看到我們家兒子
[32:21] 就兩位的小孩之類的
[32:23] 那可是因為我自己知道說
[32:24] 被去這樣子講會不太舒服
[32:27] 或是說不知道
[32:28] 就有些是難言之隱嘛
[32:29] 就搞不好我就是gay啊
[32:30] 那你只逼我生小孩
[32:31] 我都媽生個屌
[32:32] 或者是我其實就是不喜歡小朋友之類
[32:35] 所以其實每個人都有自己的一個
[32:36] 人生的軌跡
[32:38] 我覺得是這樣
[32:40] 就如果說我沒有看過這些人
[32:41] 或是我沒有親自去體驗過的話
[32:43] 我可能也會講出類似的話
[32:45] 因為誰不會這樣講話
[32:46] 我也想看Manoa的小孩長什麼樣子
[32:48] 但因為我自己已經知道說
[32:50] 就是有些人他的人生過程不一樣
[32:51] 在我的歷程裡面
[32:53] 我已經感受到這件事情
[32:54] 所以就算以後我有這樣子的想法
[32:56] 我可能也最多跟他講一次說
[32:58] 其實生小孩不錯
[32:59] 然後他如果不想要的話
[33:00] 我也不會在旁邊尿他
[33:01] 因為我知道我一直尿他
[33:02] 他就會跑出去講說
[33:03] 幹你媽我爸真的很靠北
[33:04] 然後跑去不知道誰的podcast留言說
[33:06] 媽我爸在那邊靠北叫我生小孩
[33:08] 所以我不想當那樣的長輩
[33:09] 我就儘可能的避免
[33:11] 可是你說我們要怎麼樣去改變
[33:12] 這些長輩的觀念
[33:13] 我覺得很難
[33:14] 特別是就是我們這一輩就不知道
[33:16] 民國八十七十的
[33:18] 很多長輩都是這樣子
[33:20] 他們就是會念他的
[33:21] 所以我覺得只能夠
[33:22] 就儘量避談
[33:23] 只能夠這樣
[33:24] 你也很難去矯正他
[33:25] 我跟你講那種長輩過了某個年紀之後
[33:27] 你問自己
[33:28] 自己捫心自問
[33:29] 其實我們大概過三四十歲之後
[33:31] 有時候人家跟你講什麼東西
[33:32] 你就會有點像是
[33:33] 那個Keanu Reeves的那個迷因
[33:35] 就是你說一加一等於五
[33:36] 我也說OK你對
[33:37] 拍手
[33:37] 我就懶得跟你吵
[33:38] 那這個其實就某個程度代表說
[33:40] 你已經拒絕去改變了
[33:41] 因為你已經很舒服
[33:42] 在你的這個同溫層裡面
[33:43] 或是你的認知的習慣裡面
[33:45] 所以其實從這邊
[33:46] 就可以理解長輩
[33:47] 就是他自己都已經活這麼久了
[33:49] 他也覺得說小孩我也養大了
[33:51] 工作我也成功畢業了什麼的
[33:53] 所以我應該不會錯
[33:54] 所以他就想要去跟你講該怎麼做
[33:56] 那我覺得就避開就好
[33:58] 就是每次他聊這個
[33:59] 你可能就避談
[33:59] 也不要嗆他
[34:00] 以前我可能會講說
[34:01] 就是態度矯正一下
[34:02] 但我現在已經不會去推廣態度矯正了
[34:05] 因為自己當爸爸之後
[34:05] 會有不一樣的感受
[34:07] 那我還是得用我自己的角度分享一下
[34:10] 就是我尊重大家的決定
[34:11] 但我真的覺得說
[34:13] 小朋友他本身是
[34:14] 人生很好的一個體驗
[34:16] 然後他是不管你是富豪
[34:18] 或者說你是沒有這麼寬裕的
[34:20] 你都可以同樣獲得
[34:22] 極大快樂的一件事情
[34:24] 但現在有蠻多人其實在推廣
[34:26] 就是說小朋友是一個很麻煩的東西
[34:27] 一些雁同的文化或什麼的
[34:29] 他其實是在剝奪掉
[34:31] 就是大家可以
[34:33] 可能是唾手可得的某種
[34:35] 當然他也是帶了很多責任的一種快樂
[34:38] 所以我相信大家一定會做出
[34:40] 對自己最好的選擇
[34:41] 但你也稍微理解一下
[34:43] 就長輩會念一下是OK
[34:44] 但如果他真的一直唸的話
[34:46] 也不要嗆他就算了
[34:47] 他每次講這個
[34:48] 你就聽聽就好吧
[34:50] 不然還能夠怎麼樣
[34:51] 也希望你後面平安順利
[34:53] 不管做什麼決定
[34:54] 都是最好的決定
[34:55] 下面一位66的同學
[34:57] MK你好
[34:58] 在2月18號是六六的生日
[35:01] 那可以請你幫我祝他生日快樂
[35:03] 最近在忙記辛苦了
[35:04] 累的時候想吃宵夜
[35:05] 想吃好吃的也都可以找我們
[35:07] 那我們祝六六生日快樂
[35:09] 那希望你忙記順利度過
[35:10] 下面一位哥帶我飛
[35:12] 五星好評留言密碼測試
[35:14] 請問大家對AI RAN有什麼看法
[35:16] 有可能是下一個啟動的題材嗎
[35:17] 相關族群可能是IPC或其他
[35:19] 那感謝大家持續錄製好節目
[35:21] 不管是育兒經驗分享
[35:23] 或者是股票投資都受益良多
[35:25] 希望能夠聽到更多產業的情況
[35:27] 祝福來大家家庭幸福美滿
[35:29] 年年績效大爆發
[35:30] AI RAM大概在兩三年前跟大家聊過
[35:32] 那時候就在講軟體定義的一些網通裝置
[35:36] 因為以前可能是你要買那些電信裝置
[35:39] 都要買成套的
[35:40] 那一套可能是很貴
[35:42] 然後現在可能就是說
[35:42] 你去買一臺IPC放在機房裡面
[35:44] 就可以去做到這個白牌的效果
[35:47] 就類似伺服器走白牌一樣
[35:48] 那這個其實已經講很久
[35:50] 可是至今好像沒有看到什麼爆發的契機
[35:52] 當然老黃也有在推這個東西
[35:54] 我們看之後
[35:55] 如果有契機的話
[35:56] 我一定會跟大家分享
[35:58] 因為這個算是我們自己
[35:59] 有在追蹤的一個題材之一
[36:00] 現在老實講還沒有看到相關的東西
[36:03] 下面一位
[36:04] Sore Gude Man
[36:05] Sore Goodman
[36:07] 五星吹到爪出來
[36:08] 挨大登登大
[36:09] 請問挨大LOL的名字叫什麼嗎
[36:11] 還有通常玩的時段
[36:13] 想被挨大綱
[36:13] 然後小禮提一下
[36:15] 臺通老闆說誰小時候沒有偷過東西
[36:17] 挨大小時候有偷過東西嗎
[36:18] 我的Low的名字下就放我本名
[36:20] 因為我真的太久沒打
[36:22] 然後我的帳號被鎖起來
[36:23] 所以我就請我朋友幫我搞了一個帳號
[36:24] 然後我看到那個帳號講說
[36:26] 請輸入你的ID
[36:28] 我就想說應該是登入的吧
[36:29] 所以我就直接打我的名字
[36:31] 所以我現在是用我的名字
[36:32] 那我當然就不方便跟他講
[36:33] 我是怎麼樣去使用我的名字
[36:35] 因為有時候我們會很多trash talk
[36:37] 最主要都是我朋友
[36:38] 我一個朋友他媽真的超無聊
[36:39] 但很好笑
[36:40] 反正就是每次打樓
[36:42] 他都會故意抓對面一個人當戰犯
[36:45] 就是我們快點
[36:46] 他就抓某一個說
[36:47] 謝謝那個心急得的幫忙
[36:49] 類似這樣
[36:50] 然後一直在那邊挑撥
[36:51] 然後搞到對方暴氣狂嗆
[36:52] 然後我們就一起在discord裡面大笑
[36:54] 當然這不是一件好事
[36:56] 可是有時候別人的痛苦
[36:57] 真的會帶給我們一些快樂
[36:59] 那所以這個ID
[37:00] 是暫時是不方便脫羅
[37:01] 等我之後可能改了名字之後
[37:03] 再來吧
[37:04] 那再想說
[37:05] 小時候有沒有偷過東西
[37:06] 當然有啊
[37:06] 小時候一定偷過東西啊
[37:08] 偷過阿公的錢啊
[37:09] 偷過家裡放在鞋櫃上面的50塊啊
[37:11] 然後我還曾經偷過
[37:13] 我最好的朋友的戰鬥陀螺啊
[37:15] 因為我真的太喜歡了
[37:16] 我就把它拿回家
[37:16] 但當然隔天就還他
[37:18] 然後一直跟他對不起
[37:18] 可是就是會有這種
[37:20] 鬼迷心竅的時刻啦
[37:22] 那當然我們不會想去講說小時候腦袋沒有發育好所以這個錯誤都是可以接受沒有錯誤就是錯誤那只是我必須得說小時候真的容易會犯一些錯小時候很多時候真的會覺得如果當時沒有一些長輩
[37:34] 或是沒有一些什麼契機的觸發之下
[37:37] 搞不好你就就此走偏掉
[37:39] 我相信很多人從小
[37:40] 都有這樣子的一個感受
[37:41] 那就很幸運
[37:42] 就是只有在小時候
[37:44] 有做過這樣的事情
[37:45] 長大就沒有
[37:45] 小時候真的應該蠻多人
[37:47] 都有偷過東西的經驗
[37:48] 如果說你都沒有偷過東西的話
[37:49] 我覺得你很棒
[37:50] 你超讚的
[37:51] 下面會
[37:51] 我自己的兩顆睪丸
[38:08] 都還是健在的一個狀態
[38:10] 只是很習慣就拿左邊去賭
[38:12] 一般敢賭睪丸的事件
[38:13] 就是已經算是開圖
[38:14] 我就超確定的
[38:15] 所以如果真的發生的話
[38:17] 這個喇子就給它颳了
[38:18] 下面一位
[38:19] 古巴菲特生技疑問
[38:22] 太常跳過
[38:23] 我相信是很好的問題
[38:24] 只是太常
[38:25] 我們要顧收聽體驗
[38:26] 下次濃縮一下
[38:27] 因為我們最後面是發現說
[38:28] 任何的問題
[38:29] 其實都可以在八到十行內解決
[38:31] 下面一位
[38:31] 恰拉嘿恰拉
[38:33] 拒絕餵食
[38:36] 學習如何獨立思考
[38:37] 謝謝孟公一直以來的觀念
[38:39] 不只是聊股票
[38:40] 更多是教聽眾
[38:41] 如何看清現實世界的運作
[38:43] 節目中那種實話實說
[38:45] 不賣弄玄虛的風格
[38:46] 就像是幫被雜訊毒化的腦袋
[38:48] 重開機
[38:49] 聽完後會發現
[38:50] 很多事情迴歸常理
[38:51] 邏輯就通了
[38:52] 我非常感謝這位兄弟的抬舉
[38:54] 確實我以前也會想很多
[38:57] 就是就在說
[38:58] 當某件事情發生
[38:59] 我就去思考說
[39:00] 這件事情
[39:01] 他為什麼會這樣
[39:02] 這個人到底是怎麼想的
[39:03] 為什麼他會做出這樣子的決定
[39:06] 我應該怎麼樣應對
[39:07] 才會看起來
[39:08] 可能我可能會看起來
[39:09] 比較有禮貌
[39:10] 或是什麼有的沒有的
[39:11] 後來都不會想這麼多
[39:12] 都是完全去相信自己的直覺
[39:13] 當你覺得不太對勁
[39:15] 或者說當你看到一些
[39:16] 很簡單的訊號
[39:18] 我之前很常跟大家分享一些簡單的訊號
[39:20] 這個人他可能覺得說超級愛碰風
[39:23] 或者說他可能對服務生態度很差
[39:25] 他會欺負小動物或什麼的
[39:27] 99%都是他媽垃圾
[39:29] 所以後來就會很相信自己的這一些直覺
[39:32] 或說常識common sense
[39:34] 那你有很驚訝的發現說
[39:36] 現在超多人沒有common sense
[39:37] 為什麼美國會超級嚴重酌情
