[00:00] 歡迎收聽谷外,我是孫夢宮,本集節目由大鹽生醫贊助
[19:23] 武裝到我們連牙齒都是那種劍牙利爪的話
[19:25] 那其實對方要進犯的可能性
[19:27] 就會比較低一點
[19:28] 所以會持續相信臺灣
[19:30] 那也相信這個指數會持續的向上
[19:32] 所以過程之中
[19:33] 反正either是
[19:35] 你今天不知道買什麼就放指數
[19:37] 如果說你知道買什麼
[19:38] 你知道什麼東西
[19:38] 有可能可以outperform index的話
[19:40] 那就把它移出去
[19:41] 所以其實我的心態是這樣
[19:42] 像一些自己停利掉
[19:44] 或是停損掉的東西
[19:45] 我基本上都是先停進去指數里面
[19:47] 然後接著可能我有
[19:48] 就像剛剛前面有聊到一些
[19:49] 我在觀察的題材
[19:50] 它可能有突破或什麼的
[19:52] 我就把錢移出來
[19:53] 再放過去
[19:54] 所以我都是用這樣的方式
[19:55] 去做一個排程
[19:56] 目前看明年就會認為說
[19:58] 最大的問題就是可能
[19:59] 硬要講就是貴
[20:00] 就是現在開始有蠻多東西
[20:02] 都是進入到我們講貴的範疇
[20:03] 只是因為我自己有動能的基因
[20:06] 在自己的身體裡面
[20:08] 所以我不會去預設高點
[20:09] 對我來說OK貴
[20:10] 但它可以更貴
[20:11] 它可能可以超幹貴
[20:12] 貴只是你以現在的角度去投射
[20:15] 它是貴的
[20:15] 可是絕對來說
[20:16] 它可能是拉到某個地方在那邊等
[20:18] 像偽創就是一個非常經典的案例
[20:19] 前面在講的時候
[20:20] 大家去回聽2023的節目
[20:22] 那時候我就跟大家說
[20:23] 這些OEM ODM
[20:24] 他們是在講什麼故事
[20:25] 那即便你可能上很多論壇
[20:26] 大家會講說炒股票
[20:27] 根本沒有營收
[20:28] 那現在大家都看到營收了
[20:30] 現在大家都看到獲利
[20:31] 可能看股價會不會動
[20:32] 不會動了
[20:32] 因為已經提早就反應完了
[20:34] 所以這就是為什麼
[20:34] 我們講說不要預設高點
[20:35] 因為有些東西
[20:36] 它會就長到你看不懂
[20:38] 我覺得說一個非常經典的案例
[20:39] 就是臺積電的CPU相關的supplier
[20:42] 其實有些
[20:43] 我們透過自己的管道去問
[20:44] 都會知道說
[20:45] 那個東西根本就沒有驗證過
[20:47] 我們就不去點名是什麼標題
[20:48] 就幹它根本沒有驗證過
[20:52] 太恐怖了吧
[20:53] 那我們還是會去尊重市場
[20:55] 是自己沒有買到這個東西
[20:56] 那可能有點萬談
[20:57] 可是就像說
[20:58] 如果真的有買到的話
[20:59] 很多時候是這樣
[21:00] 就是你根本不知道
[21:01] 它在長啥小
[21:02] 然後噴到一個歪七扭八
[21:03] 只因為它的題材對
[21:04] 然後接著呢
[21:06] 你以為它是假貨
[21:07] 然後它後來就突然公佈說
[21:08] 它驗證進去了
[21:09] 然後市場瞬間擴大
[21:10] 所以它那時候
[21:11] 看起來非常不合理的股價
[21:13] 在某個瞬間
[21:14] 突然間就合理了
[21:15] 那可是合理之後呢
[21:16] 這時候進來買的人
[21:17] 你就準備給人家出貨
[21:18] 所以我們對於股價的
[21:22] 會尊重他
[21:23] 我們知道市場有時候會犯錯
[21:25] 有時候會搞笑
[21:25] 可是當一個東西趨勢非常明顯
[21:28] 而且有很多的資金上去買
[21:29] 然後這些資金千萬不要當大家都是白痴
[21:31] 各種什麼投信外資
[21:32] 或是一些強力分聯
[21:34] 強勢介入
[21:35] 你不要覺得說人家都傻傻的
[21:37] 才會去鳳凰追高
[21:38] 越買越多
[21:38] 然後買到那種你看到股權結構
[21:40] 大股東什麼400張以上
[21:42] 1000張以上的狂徵
[21:43] 然後散戶狂賣
[21:44] 那種很多時候都會漲到超乎你的想象
[21:47] 就是說他們不是笨蛋
[21:48] 那些大資金
[21:48] 他們提早都知道一些事情
[21:50] 即便你可能在市場裡面
[21:51] 你覺得說你現在的資訊的位階
[21:53] 已經到更前面
[21:54] 可是總是有人比你更前面
[21:55] 這是一個實物鏈
[21:56] 所以當你今天沒有辦法
[21:58] 知道這麼零下的東西的時候
[21:59] 有時候我們會在技術面裡面
[22:01] 看到一些跡象
[22:02] 所以技術面有用的地方就在這裡
[22:04] 所以對我來講
[22:05] 雖然現在的臺股的各種位階
[22:08] 我覺得是偏高了
[22:09] 可是我還是會覺得
[22:11] 這些東西是持續可以看的
[22:12] 如果有報紙的
[22:13] 就想要繼續報紙
[22:14] 如果說它今天有
[22:15] 假設明年四月那種東西
[22:17] 再出來一次的話
[22:18] 那是最好
[22:19] 只是我希望不要這麼深
[22:20] 因為這麼深還是有點恐怖
[22:21] 就是可能不知道
[22:22] 大盤給我一個
[22:23] 5到10%的回檔
[22:24] 這樣子的話
[22:25] 應該就會很好買東西
[22:26] 所以是會往這個方向去規劃
[22:28] 那再來來討論一下
[22:29] 市場的一些underdog
[22:30] 就是目前
[22:31] 表現比較差的一些族群
[22:33] 其實最主要
[22:34] 怎麼講
[22:35] 就像有些我本來看好的東西
[22:36] 像我本來
[22:37] 覺得華碩在今年是有機會的
[22:39] 因為在Navius的出貨上面是
[22:41] 就是我看到他這邊
[22:43] 有潛在的一個upside
[22:44] 那只是這個東西
[22:45] 為什麼後來會被我放棄掉的
[22:46] 一個主因是因為
[22:47] 我們都知道說
[22:48] 記憶體瘋狂的漲價
[22:49] 其實記憶體的漲價
[22:50] 會影響到非常多人
[22:52] 一些系統廠
[22:53] 不然像是
[22:54] 華碩就其中一個案例
[22:55] 或者是說
[22:56] 一些這種IPC廠
[22:58] 或者說一些標案型的網通廠
[23:01] 當他們這些料件的成本
[23:03] 持續上升之後
[23:04] 他們可能不一定
[23:05] 可以立刻反映到
[23:06] 終端那邊去
[23:07] 因為有些是他接標案
[23:08] 他收進來前是固定的
[23:09] 可是他料價變貴
[23:10] 所以如果他沒有低價庫存的話
[23:11] 他準備要烙塞
[23:12] 或者說看怎麼樣
[23:13] 技術性的去延後出貨之類的
[23:16] 那所以呢我們目前判斷上
[23:18] 會覺得說在明年的消費性
[23:19] 如果說記憶體是維持這個價格的話
[23:21] 他們都不會太好
[23:22] 網通系統上IPC
[23:24] 他們應該都不會太好
[23:26] 那可是呢這些東西
[23:27] 因為他們其實蠻多
[23:28] 在今年的年末左右的時候
[23:30] 就記憶體已經開始被大家
[23:32] 廣為人知之後呢
[23:33] 都開始瘋狂的去大爆殺
[23:35] 所以有些東西甚至是殺到了
[23:37] 就是我們去拉他相對長期
[23:40] 可能五年十年的一個
[23:41] 估值的河流圖來看
[23:42] 他們已經到低檔便宜的地方了
[23:44] 只是在多頭行情的時候
[23:46] 我覺得一個非常重要的東西
[23:47] 就千萬不要去買大便
[23:48] 你去買大便玩大便的話
[23:50] 你就弄到全身都是大便
[23:51] 他們是好東西
[23:52] 他們是可能潛在的珠寶或什麼
[23:54] 可是絕對不是在多頭非常強勁
[23:56] 然後一堆強勢股出來的時候
[23:57] 去介入這些東西
[23:58] 反而是什麼時候
[23:59] 反而是覺得說今天開始有一些爆炸
[24:01] 下一個transition
[24:02] 就我們有時候會跟大家分享說
[24:04] 那個時間點我們認為是transition
[24:05] 就轉換階段
[24:06] 一些強勢股開始被提款的時候
[24:08] 大家會去找下一個故事的時候
[24:10] 那就有機會這些東西
[24:11] 它可能是要觸底反彈
[24:12] 然後反彈可能先給你一個二三十趴
[24:14] 那接著呢
[24:15] 他不一定會走下一個多頭
[24:17] 因為多頭還是要有業績去支撐
[24:18] 他不一定這麼快復甦
[24:20] 可是光是那個反彈
[24:21] 然後或者是說一些防守
[24:23] 他下檔是相對小的一個狀況之下
[24:25] 那可能就是我們會想要去佈局的東西
[24:27] 所以現在非常明確的定位出來
[24:29] 就剛才前半段我們節目講的是
[24:30] 我們認為在接下來會很強勢的東西
[24:32] 那後半段講的就是說
[24:34] 他們目前是弱勢
[24:35] 可是我們相信說
[24:35] 當這個記憶體的報價
[24:37] 就像說有一天他突然間是拉平了
[24:39] 或者說他開始回落的時候
[24:40] 即便可能目前
[24:41] 老實講短期內比較難看到這樣一個狀態
[24:44] 但如果有發生的話
[24:45] 那這一些可能所謂的underdog
[24:47] 也會是我們想要去關注的一個物件
[24:49] 所以在明年大概就這樣子去做劃分
[24:52] 那會希望說這個以下的狀態來講
[24:54] 指數如果後面可以但我們覺得現在就是一個進攻段所以先不要預設高點但如果說有一些重殺在出現的話你就會先去往前面那種強勢的東西去佈局如果開始出現像是那種連續的盤疊
[25:06] 你那大盤不知道在那邊疊殺小
[25:08] 然後一堆東西強勢股都開始轉弱的時候
[25:10] 這時候就會去看
[25:11] 剛才聊到的這些後者
[25:13] 這些後者如果說
[25:14] 他們是有打底是有撐住
[25:15] 甚至開始起來的話
[25:16] 就有點類似說在今年
[25:18] 年中那一段的時候
[25:19] 有一段那個製協業突然間大家擠進去
[25:21] 雖然那只是一波小行情
[25:22] 可是對我們來講那也是可以做到的東西
[25:24] 所以大概是這樣子規劃
[25:26] 稍微跟大家分享一下
[25:27] 明年就目前我們可以看到展望
[25:29] 那我們不會講太遠的東西
[25:31] 因為太難預估了
[25:32] 你不知道會不會發生什麼戰爭
[25:33] 瘟疫還是啥小的
[25:34] 所以先講自己可以看到的範圍內容
[25:36] 會怎麼樣做
[25:37] 那接著有什麼東西
[25:38] 我們會再隨時跟大家討論
[25:39] 新的想法跟改變
[25:41] 那大家講
[25:42] 這集我們就在這邊
[25:42] 就在JunQ的部分
[25:43] 地位人生還能夠重來嗎
[25:45] 新年快樂
[25:46] 五星吹捧來到好
[25:46] 因為一些狀況
[25:47] 小弟的資產縮水了90%
[25:49] 這個月真的是最難熬的時刻
[25:51] 還要有在家人的陪伴下慢慢的恢復
[25:53] 那希望大家不要遇到這種狀況
[25:55] 想問一下一大自然
[25:56] 從7到8 8到9 9到10位數的戰役中
[25:58] 有什麼印象深刻的事嗎
[26:00] 那祝福大家一路平安身體健康
[26:03] 那這個題目應該算是回答了很多次了
[26:06] 那我覺得其實對我來講
[26:07] 印象比較深刻的東西
[26:08] 都會是drawdown的事件
[26:10] 那上來的事件的話
[26:11] 其實我的印象都不會這麼深
[26:13] 因為對我來講
[26:14] 就是我不是那一種重壓型的人
[26:16] 所以我沒有辦法告訴你說
[26:18] 當年我靠什麼某一隻股票
[26:20] 然後從極位數翻到極位數
[26:22] 我比較不是這樣
[26:23] 我都是說整體部位的貢獻
[26:24] 有些東西賠
[26:25] 可是絕大多數的東西是賺
[26:27] 然後接著就持續的往上
[26:28] 搭配一些槓桿
[26:29] 所以當然一些那種關鍵的事件
[26:31] 都會參與到
[26:31] 那如果說比較慘的事件的話
[26:34] 就是17、18年的星耀投資
[26:35] 18年的貿易戰
[26:37] 那時候NVIDIA第一次吃腰斬
[26:38] 印象非常深刻
[26:39] 那時候大家都還會做品概股
[26:41] 那時候還會做什麼臺軍大立光
[26:43] 然後什麼二線的鏡頭廠或沙小
[26:46] 那現在基本上沒有人要做這個東西
[26:48] 最近大家去看大立光
[26:50] CPO相關的東西什麼鏡頭殺小
[26:52] 所以已經跟現在的市場有很大的變化
[26:55] 然後後來在肺炎之後
[26:56] 就算是一個全面的加速了
[26:57] 肺炎的時候
[26:58] 我自己的受傷程度是還好
[27:00] 就是沒有因為說什麼
[27:01] 可能肺炎的重摔
[27:02] 導致什麼部位被清倉
[27:03] 比較沒有這樣的一個狀態
[27:04] 但那時候是重壓的金像墊
[27:06] 這也是我們節目講了好幾年的一個
[27:08] 心中永遠的痛
[27:09] 那種十幾塊的金像墊
[27:11] 然後被洗掉
[27:11] 因為它真的跌太深了
[27:13] 你現在看會覺得很好笑
[27:14] 我跟你講當下都很難想像
[27:15] 那個非常痛苦
[27:16] 然後再來上來的時候靠滑琴
[27:18] 滑琴有打了蠻多
[27:19] 然後接著DDIC之亂有做到
[27:22] 哈埃王沒有做到
[27:23] 那接著呢
[27:24] 2022也有一個這個
[27:25] 2022之前還有那個啦
[27:27] 成長股啦
[27:28] 成長股的話就比較偏向是
[27:29] 最後面是有賺有賠啦
[27:31] 因為那時候SARS之亂
[27:32] 幹狂噴
[27:32] 然後接著後來大回彈
[27:34] 有些東西跌到媽都不認得
[27:35] 然後ARKK從英雄變狗熊
[27:38] 這也是非常經典的一個事件
[27:40] 然後後來到了2022的話
[27:42] 就是我整體不會吃的
[27:43] 超級大的一個回彈
[27:44] 不然像美股的話
[27:45] 最深是有回到四級吧
[27:46] 一堆東西腰斬
[27:47] 那也算是幫我上了一課啦
[27:49] 東西到現在也都是非常好
[27:51] 所以其實
[27:51] 我比較偏向是
[27:52] 整體的配置
[27:53] 然後外加
[27:54] 我覺得2020以後的市場
[27:55] 真的不錯
[27:56] 然後跟題材有抓到
[27:57] 所以就一路上來
[27:58] 我沒有那種什麼單一
[27:59] 我可以跟你講說
[28:00] 什麼某一隻股票
[28:00] 我靠它就翻了好幾位數
[28:02] 我沒有這樣子的東西
[28:04] 那據按說
[28:05] 以近期的案例來說的話
[28:07] 你說記憶體
[28:08] 有沒有搞了8位數以上
[28:09] 那一定有啊
[28:10] 那一定有
[28:10] 然後又說裝置啊
[28:12] 擴產概念股啊
[28:13] COWAS或什麼
[28:14] 那都有啦
[28:15] 可是就說
[28:15] 就整個加起來是這樣
[28:16] 啊我沒有那種單一一個
[28:18] 然後哇超級經典戰役
[28:19] 所以我非常羨慕那一種
[28:21] 就是他們有單一某個
[28:22] 你知道可能靠什麼航運股
[28:24] 然後變幾十億的人
[28:25] 或者說靠某一隻光通股
[28:27] 然後說哈
[28:28] 然後什麼還去墊餅
[28:29] 當然這個都不推薦大家做
[28:30] 那個風險太大
[28:31] 有可能就是說
[28:32] 勝者成王
[28:33] 敗者一堆滿地枯骨
[28:35] 你沒有看到
[28:36] 只是說這些人
[28:37] 他們一定都有那種
[28:38] 超級精彩的故事
[28:39] 可以跟你分享
[28:39] 因為你其實要去說哈
[28:41] 一隻標的要屌住
[28:42] 然後他各種回答
[28:44] 那會有超級多的東西
[28:45] 可以分享
[28:45] 可是我這種東西真的比較少
[28:47] 因為那種掉下來的東西
[28:48] 我就砍掉了
[28:49] 我就砍掉了
[28:50] 所以對我來說
[28:51] 我好像也沒有那種刻骨銘心的痛
[28:53] 為什麼那個深藥骨
[28:54] 能夠記得
[28:54] 是因為那時候的質押
[28:56] 不可以線上解質
[28:57] 所以才吃到這麼大的迴盪
[28:59] 像我今年吃最深迴盪的持骨
[29:01] 下來報紙也就是二十幾趴
[29:03] 那也不是說其他東西沒有賠
[29:05] 只是說你可能不知道就停損掉
[29:07] 就對我來講
[29:07] 反正就是一個題材下去打
[29:09] 下去打之後
[29:10] 有些東西走不出去
[29:10] 我就把你砍掉
[29:11] 就這麼簡單而已
[29:12] 所以我比較沒有那種
[29:15] 可以跟大家分享
[29:16] 反而就是這種帶狀的每一個事件
[29:18] 然後那種聚沙成塔的感覺
[29:20] 搭配一點槓桿
[29:21] 當然是有搭配一點槓桿
[29:22] 所以其實大概是這樣子
[29:24] 以今年來講的話
[29:26] 我印象比較深的事件
[29:27] 當然就是記憶體
[29:28] 記憶體的話算是第一波就直接抓到
[29:30] 然後從SanDisk那個漲價性
[29:32] 然後就在節目立刻跟大家分享說
[29:33] 這應該是要買NAND
[29:34] 怎麼臺灣人一定會跑去買DRAM
[29:36] 可是我覺得還是要買一點
[29:37] 因為你不知道它在漲什麼時候
[29:38] 有些是有先知
[29:39] 所以從那一波開始
[29:40] 然後到當然我是很快就被洗掉了
[29:43] 那時候的連續廉價的時候的
[29:45] 的第一個廉價
[29:45] 我就被洗掉
[29:46] 只是因為壓的夠多
[29:48] 所以也算是滿補的
[29:49] 後來還只有做幾波短波段
[29:52] 那只是就是
[29:53] 怎麼講
[29:54] 它就沒有辦法變成一個深刻的戰役
[29:56] 只是像我們自己身邊
[29:57] 我朋友幹到超屌的
[29:58] 他在可能第一次進處置的時候
[30:00] 就一路尻
[30:01] 然後尻爆
[30:01] 就是不知道
[30:02] 就壓到部位可能是五層以上
[30:04] 然後一路爆爆到現在
[30:05] 那個就是又有一個
[30:06] 什麼記憶體王要出現
[30:07] 所以怎麼講
[30:09] 確實我沒有這種超級經典的戰役
[30:11] 我個人是蠻滿意
[30:13] 我只是這種現狀
[30:14] 就是說沒有那種突發性的單一持股的大表現
[30:17] 可是整體來看的話是持續的往上
[30:19] 當然在作檔的時候
[30:20] 我也都比人家還要來得低
[30:22] 主要多數的中檔都比人家來得低
[30:23] 所以大概是這樣子
[30:25] 我簡單跟你分享一下
[30:26] 下面一位失業的客家小馬吉
[30:28] 上岸後要把終結者Lilisie的結局破完
[30:32] 所以好處您一家2026平安順心
[30:34] 我是在當軟體工程師的氣氛仔
[30:36] 外界常覺得我們工作很輕鬆
[30:38] 但其實做久burn out的很多
[30:39] 所以跟老婆有共識
[30:41] 40歲要fire回臺灣
[30:42] 畢業後我們就在同一個部門
[30:44] 剛滿四年
[30:45] 最近一起被lay off
[30:46] 提醒你各位
[30:47] 找工作也要分散風險
[30:48] 一起失業又有
[30:50] 要快點找到下家
[30:51] 不然簽證會GG的壓力好痛苦
[30:53] 希望您用川普的聲音
[30:55] 祝我跟老婆美東李多
[30:58] 會早日找到新的工作
[31:12] 那下面一位
[31:16] 王大頭是我
[31:17] 王大頭頭大王
[31:18] 子丹喬我愛得好
[31:19] 前陣子去聽了
[31:20] One Republic
[31:21] 在高雄的演唱會
[31:22] 又跑又跳不走音
[31:23] 真的好猛
[31:24] 推薦主也去享受一下
[31:25] 1月1號是我老婆大人的生日
[31:27] 也是我們結婚一週年
[31:28] 希望老婆可以遠離小人
[31:30] 不要再有顱小的病患
[31:31] 掛好諾瓦的奶音
[31:32] 七燕生日快樂喲
[31:35] 七燕
[31:36] 燕是什麼
[31:36] 燕啊
[31:37] YEN
[31:37] 好特別的姓氏
[31:38] 那我們祝他生日快樂
[31:40] 那One Republic的話
[31:42] 我印象中在我大學的時候
[31:44] 蠻多人喜歡聽
[31:44] 那時候他們是發
[31:45] Secret的那一張專輯
[31:47] 然後後來就比較少聽到
[31:48] 我很喜歡他們那種stop and stare
[31:50] 對但演唱會沒有去
[31:51] 可是我看到他的照片
[31:53] 就要穿一個
[31:54] 廟口的那種諸位的衣服上去
[31:56] 真的覺得幹超北的
[31:57] 下面一位
[31:57] 雪地裡發車
[31:59] 新裝雪地裡發車
[32:01] 期待明年可以比今年好
[32:02] 諸位您好
[32:03] 首先先給節目五星好評
[32:05] 再來就是感謝主委
[32:06] 不吝嗇的分享財商跟人生觀
[32:08] 給予我不少的啟發
[32:09] 沒有想到在2025年
[32:11] 自己再次的經歷公司被裁員
[32:13] 掛了三年內第二次
[32:14] 那據說這邊是許願池
[32:16] 許願明年可以順利的找到理想工作
[32:17] 這個留言被唸到的時候
[32:19] 可能已經是2026
[32:20] 先祝福主委全家與聽眾
[32:22] 平安健康和新年快樂
[32:23] 愛您
[32:23] 我愛這位雪地裡發車
[32:25] 那我們希望這位快樂朋友呢
[32:27] 可以儘速的找到工作
[32:29] 我希望在2026年
[32:30] 有一個非常好的開始
[32:31] 在這邊誠心的祝福你
[32:33] 下面一位
[32:33] 無情的人肉提款機
[32:35] 哎大您好想問幾個問題
[32:37] 一落房價下跌
[32:38] 會有補保證金的問題嗎
[32:39] 如果有會不會出現
[32:40] 連鎖清算
[32:41] 進而去影響到股市
[32:43] 今年每股表現最好是儲存
[32:45] 聯想到資料安全
[32:46] 相關的SARS
[32:47] 會不會有受惠的可能
[32:48] 感謝愛你
[32:48] 首先第一個
[32:50] 會不會有補保正經的問題
[32:52] 但有可能
[32:52] 如果房價今天雪崩的話
[32:53] 是有機會這樣
[32:54] 是可能很多人就兩手一攤
[32:55] 房子給你收回去
[32:57] 我幹嘛補錢
[32:58] 我直接房子就給銀行拿走就好
[32:59] 所以我覺得如果說
[33:00] 房價出現那種連續崩跌的話
[33:03] 它是整個經濟的災難
[33:04] 在臺灣比較不容易出現的原因
[33:06] 是因為我認為
[33:07] 我們的持有成本是很低的
[33:09] 所以就像說你今天去call了房地產
[33:12] 你是可以在那邊放在那邊等的
[33:14] 除非說你今天是用那種
[33:15] 不知道就開一些場外槓桿
[33:17] 你自己扛不住
[33:17] 像有些新清安
[33:18] 我知道他的參與者是這樣子搞
[33:19] 可是他不是絕大多數的
[33:21] 房貸持有者的一個現狀
[33:23] 所以我不認為你會看到
[33:25] 這樣子的一個情形
[33:27] 那你講的這個劇本
[33:28] 是有機會在其他地方發生
[33:29] 可是在臺灣
[33:30] 因為一些綜合的條件上
[33:32] 我認為是不會有這樣的一個狀態
[33:34] 那如果像你講的這個狀態
[33:36] 發生會不會影響到股市
[33:36] 一定會
[33:37] 然後再講說
[33:38] 是不是資料安全相關的SARS
[33:40] 有受惠的可能有機會
[33:41] 但還是要看他的營收成長率
[33:42] 下面一位
[33:43] 左迎秋葵
[33:44] 化工捏軟陣線
[33:46] 觀音大愛祝福
[33:47] 感謝夢光優質節目
[33:48] 大學同學一群捏軟爸爸們
[33:50] 有很多的共同話題閒聊
[33:51] 這邊想要拜託夢光生後的觀音大愛
[33:53] 可以祝福最近開刀的新裝比比爸
[33:56] 身體早日康復
[33:57] 他們一家都是超級棒的人
[33:59] 也希望他後續治療順利
[34:01] 學妹跟肚子的寶寶也健康
[34:03] 比比開心健康長大
[34:04] 也祝福挨大一家平安健康
[34:08] 歡迎大家來保佑他
[34:09] 沒有結果的結果
[34:11] 孟公您好
[34:12] 我是之前來求華佗的
[34:14] 孟公在上
[34:15] 弟子誠心叩首
[34:17] 今日前來向您稟報
[34:18] 上次來尋求華佗一事
[34:20] 目前確定不是足底經膜炎
[34:22] 而是遺傳性的僵直性脊椎炎
[34:24] 怪好我離周杰倫最近的一次
[34:27] 那隻能夠吃藥控制病存
[34:29] 目前追蹤半年都有控制住
[34:31] 另外不知道有沒有人跟我一樣
[34:32] 累了一整天
[34:33] 睡覺前抱著另外一半
[34:34] 感覺一整天疲勞可以放鬆很多
[34:36] 心情也會變得更好
[34:38] 那祝全家健康平安
[34:39] 兄弟我們也祝你健康
[34:40] 那這位就是
[34:41] 你身邊那個就是真愛
[34:43] 所以才會在跟他相處的時候
[34:45] 覺得自己累想睡覺
[34:46] 這個是我去研究過
[34:47] 你知道怎麼會研究嗎
[34:48] 因為每次我老婆在我旁邊
[34:49] 跟我講話的時候
[34:50] 我都會直接睡著
[34:51] 然後他就在那邊幹屌說
[34:53] 怎麼會有這麼垃圾的男人
[34:55] 就是我在那邊跟你講話
[34:56] 你就會直接睡覺
[34:57] 我說那邊
[34:58] 我在跟你談事情
[34:59] 你就突然這樣抱上來
[35:00] 然後就睡著
[35:01] 我就跟他講說沒有辦法
[35:02] 因為就太想睡覺
[35:03] 然後後來我才找到資料
[35:04] 去佐證我說
[35:05] 就是你在你真的很喜歡的
[35:07] 這個摯愛的隔壁呢
[35:09] 你其實會感覺到很安全
[35:10] 你就會想睡覺
[35:11] 如果今天是不愛的人
[35:12] 在你旁邊的話
[35:13] 你可能就是精神非常好
[35:14] 你就想要趕快離開現場之類的
[35:16] 所以這應該是遇到對人
[35:18] 才會有的一個反應
[35:19] 下面一位
[35:20] 南區打工仔
[35:21] MK我老公
[35:22] 嗨MK小弟35歲
[35:23] 與人合夥創業10年左右
[35:25] 目前的資產有房屋4000
[35:28] 股票1500
[35:28] 現金300
[35:29] 負債1600是房貸
[35:31] 150是信貸
[35:32] 先前因為景氣不佳
[35:34] 小賠退股
[35:35] 掛號教育產業
[35:36] 那早半年的工作都吃別
[35:37] 不然就是很爛的配
[35:38] 該怎麼建議創業仔找工作
[35:40] 目前韓房貸月支出是12
[35:43] 壓力三大求開市感謝
[35:45] 所以兄弟
[35:45] 如果你這樣都要覺得
[35:46] 自己壓力三大的話
[35:48] 那很多人都要去跳了
[35:49] 因為首先你的資產的部分
[35:51] 就是有5000
[35:52] 5800
[35:53] 那負債是1750
[35:55] 所以我感覺是蠻寬裕的
[35:57] 甚至你要在家裡再蹲更久
[35:59] 都是OK的
[35:59] 我不知道你的壓力來源是什麼
[36:01] 但我其實怎麼講
[36:02] 我這是用那種
[36:03] 普羅大眾的角度去看你
[36:04] 但如果說用我自己的標準
[36:06] 去看你話
[36:06] 我知道你壓力很大
[36:07] 因為我們那種自我要求高的
[36:08] 就會覺得說
[36:09] 我他媽是不是廢物
[36:10] 我怎麼可以在家裡蹲這麼久
[36:11] 我怎麼可以沒有事做
[36:13] 可是有時候那個東西是這樣
[36:15] 它是一個運
[36:15] 時間到就會出現
[36:17] 所以不知道
[36:18] 按照你資產累積的速度
[36:20] 然後35歲
[36:21] 我感覺應該也是一個聰明人
[36:22] 所以對自己不要這麼壓迫
[36:24] 稍微等一下
[36:24] 機會就會自己跑出來了
[36:27] 我覺得壓力不要太大
[36:29] 要放輕鬆
[36:29] 很多生病都是從壓力所串出來的
[36:33] 然後去記得自己所擁有的
[36:34] 你有擁有的就是說
[36:35] 你的資質還掉你的債
[36:37] 你都媽的
[36:38] 那種流動性可以騰出四千
[36:40] 所以應該是
[36:41] 不應該有太多的壓力存在才是
[36:44] 所以稍微的放寬心
[36:46] 等待一下
[36:46] 我覺得好的機會就會出現
[36:48] 下面一位
[36:49] Rex問
[36:50] 挨大蛋蛋大
[36:51] 挨大您好
[36:52] 想請您用阿偉的狗
[36:53] 掛號古老迷因的聲音
[36:56] 這我還真的不知道
[36:57] 我只知道G.I.Joe那隻狗
[36:59] 嗨小阿娜打
[37:01] 的聲音
[37:02] 祝福我1月2號生日
[37:04] 女朋友阿偉
[37:05] 生日快樂
[37:06] 那謝謝大家跟Lisa
[37:07] 對狗狗的照顧跟關懷
[37:09] 祝福來到一家
[37:09] 五口都平安健康
[37:10] 愛您我也愛您
[37:11] 祝女朋友生日快樂
[37:12] 下面一位
[37:12] 阿明我知道你會聽
[37:15] 該找阿猴吃生炒羊肉了吧
[37:17] 大家想要求救一件事情
[37:19] 在公司被同事騷擾
[37:21] 越來越過分
[37:21] 原本只是戳身體
[37:22] 沒有想太多
[37:23] 現在已經變成是捏大腿
[37:24] 都快捏到該逼了那愛魚是個城府生的同事不想搞得太難看跟其他同事反應也不被當一回事還被當成笑話讓上班變成那種恐懼我該如何是好做來大家新年快樂
[37:35] 事事順心
[37:36] 這個就直接去報性評
[37:38] 直接去報警
[37:38] 我覺得就直接這樣說
[37:40] 不要給變態得逞好不好
[37:42] 給人家摸摸要改逼去
[37:43] 這他媽撒笑
[37:44] 你以為是在看什麼小本本
[37:46] 你以為不知道
[37:47] 這個要直接大聲的喊出來
[37:49] 要直接喊停
[37:50] 我覺得同事都沒有反應
[37:51] 也他媽蠻誇張的
[37:52] 這是什麼變態的工作環境
[37:54] 趕快去反應
[37:54] 下面一位
[37:55] 潮溼的餅乾
[37:56] 思念是一種病
[37:58] 思樂是一種冰
[37:59] 孟公你好
[37:59] 我一直都覺得自己的運氣很好
[38:01] 有一份不錯的事業
[38:02] 美滿的家庭
[38:03] 也準備要背房貸
[38:04] 但我總是沒有辦法
[38:05] 把這些結果歸注於自己的努力
[38:07] 時常對自己沒有自信
[38:08] 不相信自己的判斷
[38:09] 找不到生活工作的成就感
[38:11] 不想和人社交
[38:12] 但我感到低落的時候
[38:14] 就會想起你說的話
[38:15] 一個人講出來的話
[38:16] 會呈現他的狀態
[38:17] 這句話助我良多
[38:18] 1月5號是我生日
[38:20] 34歲的願望
[38:20] 就希望可以留言被唸到
[38:22] 希望自己可以開始轉念
[38:23] 更加良善
[38:24] 祝這位兄弟生日快樂
[38:25] 那這位兄弟的前半段
[38:27] 跟我是蠻類似的
[38:29] 我也是很難感受到說
[38:31] 因為我做了什麼
[38:33] 所以怎麼樣
[38:34] 我真厲害
[38:34] 所以像前面那位朋友
[38:36] 要問我講說
[38:36] 什麼經典的戰役
[38:38] 我還真的想不起來
[38:38] 我什麼經典的戰役
[38:39] 我只覺得
[38:40] 不過就是做一天算一天
[38:41] 這樣一路慢慢幹上來
