[00:00] 歡迎收聽谷愛,我是孫夢公,本期節目由嘉宜國際2026全明星年菜大集合贊助
[17:11] 倒給你
[17:12] 然後最好笑的是
[17:13] 我倒給他
[17:14] 他立刻再掛回來
[17:15] 我想說好
[17:16] 我就看你多會
[17:16] 我就一直狂到
[17:18] 然後最後他全部都給我吃掉
[17:19] 然後我盤過再看籌碼
[17:21] 就是當時到貨給我的分點
[17:22] 然後現在在低檔
[17:24] 就把所有東西都收回去
[17:25] 好那算你贏
[17:26] 就沒有關係我就離開
[17:28] 那像這種去做調解
[17:30] 就是我過去的一個禮拜
[17:31] 在做的事情
[17:32] 因為有些東西
[17:33] 不然像一些波段
[17:34] 我覺得走到差不多的
[17:35] 開始去做一些減
[17:36] 因為是會怕
[17:36] 我真的會怕說
[17:37] 後面可能會有一些
[17:38] 這種天罰產生
[17:39] 我覺得現在體感
[17:40] 有一點像24年7月那樣
[17:42] 就是當然我們知道
[17:43] 24年7月的話
[17:44] 有一個大回答
[17:45] 我們不確定那個大回答
[17:46] 什麼時候會出現
[17:46] 但真的很像
[17:47] 因為24年7月以前
[17:48] 就六七月那段時間
[17:49] 你真的是到處看
[17:51] 就是每個人都跟他講說
[17:52] 就趕快all in 做多
[17:54] 融資水位狂上升
[17:55] 所以我覺得有點像
[17:56] 所以我先提早去做一些調整
[17:58] 去把那些比較
[18:00] 可能偏熱門擁擠的地方的錢
[18:02] 稍微的拿一點回來
[18:03] 然後過往表現不好
[18:04] 就想說現在行情這麼熱
[18:06] 然後你還可以躺在地上的標地
[18:07] 就是說不要玩大便
[18:09] 所以就把那些大便
[18:10] 也稍微的砍一砍
[18:11] 然後調出一筆資金
[18:12] 然後開始再往
[18:13] 接下來下一個方向去佈局
[18:14] 目前佈局的方向
[18:16] 還是持續的去往
[18:17] 當然大家相信
[18:18] 在過去的幾天
[18:19] 都有看到臺積電
[18:20] 又要去買新的土地了
[18:21] 這一點
[18:22] 其實我覺得是在
[18:23] 接下來的可能半年到一年之間
[18:26] 會是蠻大的一個話題
[18:26] 首先一個checkpoint要先稍微注意一下
[18:28] 就是在1月的月中
[18:30] 就差不多接下來幾天
[18:32] 反正臺積電就差不多會出來講說
[18:34] 大概全年的狀況是怎麼樣
[18:35] 目前還是很眾說紛紜
[18:37] 我們自己是猜測說
[18:38] 大概就是48到50B
[18:40] 那應該是偏上緣
[18:41] 就是50B
[18:41] 50B對我們來講就是一個上修
[18:43] 可是其實市場已經有先喊到55B去了
[18:45] 那55B我們會覺得
[18:47] 這個是不太可能的一個狀態
[18:48] 可是有人這樣子喊
[18:50] 然後外加我們先要看一下
[18:51] 美股的各種裝置股
[18:52] 什麼Apply Materials
[18:53] 或者說SML
[18:55] KLA什麼的
[18:56] 那個全部都超恐怖
[18:57] 這全部都噴到爛掉
[18:58] 那一樣在跟朋友吃飯的時候
[19:00] 就有分析師
[19:02] 他們就有提到了
[19:03] 他們講說
[19:03] 現在那個價格
[19:05] 應該是在反映2028年的
[19:06] 就已經提早去漲2028年了
[19:08] 所以其實是有點
[19:09] 令人擔心的狀態
[19:11] 但臺股的相對應的裝置股
[19:13] 倒是就覺得還好
[19:14] 因為臺股的裝置股
[19:15] 沒有反映到像美股這麼誇張
[19:17] 可是美股那個真的是
[19:18] 已經是往2028年的
[19:19] 過往的成數去套了
[19:21] 所以在我們的一個觀點
[19:23] 就是覺得說
[19:23] 可能等到臺積電去開
[19:25] 它的說法
[19:26] 其實那個說法不一定說
[19:27] 覺得說它開很好
[19:28] 然後東西就聚一盆
[19:29] 不一定
[19:29] 有時候是開很好
[19:30] 就它反而開始跌了
[19:31] 為什麼
[19:32] 因為大家其實是期待
[19:33] 更好的一個數字
[19:34] 所以我自己會選擇
[19:35] 就稍微的去觀望一下
[19:37] 有部位
[19:37] 只是在等一下
[19:38] 等到臺積電
[19:39] 確實去給完一個展望
[19:41] 然後市場去調整一下之後
[19:42] 接著就會去
[19:44] 選擇去把錢
[19:45] 持續往這些方向去
[19:46] 我比較選擇的
[19:47] 不會是美股的那些裝置
[19:48] 因為美股那些裝置
[19:48] 真的比較瘋狂
[19:49] 臺股的一些裝置
[19:50] 臺股的一些廠物
[19:51] 往這個方向去
[19:52] 因為臺積電
[19:52] 他去買了更多土地之後
[19:54] 當然他也可能會有
[19:55] 更多的Face
[19:55] 更多的Fabs
[19:56] 那都會出現
[19:57] Face跟Fabs
[19:58] 其實是不一樣的
[19:59] 那我們的一個稱法
[20:00] 那反正總之
[20:01] 就是他會持續的去擴敞
[20:03] 那前面去搞好了
[20:04] 他的前段之後
[20:04] 在後面就是一個
[20:05] 後段的一個擴敞
[20:07] 那後段方面
[20:08] 我們過去跟大家聊到
[20:08] 就除了在臺積電
[20:09] 自己本身之外
[20:10] 其實臺積電
[20:11] 它本身是吃不下
[20:12] 這些所有後段的需求的
[20:15] 那所以很多都會跑到像是
[20:16] ACE或者說SPIEL ENCO那邊去
[20:19] 那在這樣的狀況之下呢
[20:20] 其實我們都是可以去持續的關注
[20:22] 就是在後段的
[20:25] 這些所謂先進封裝的範疇裡面
[20:27] 其實是會有很多的機會產生
[20:28] 那也隨著他去買更多的地
[20:30] 他會去擴更多的廠
[20:32] 代表說我們今天可以拉回到
[20:34] 一個更宏觀的角度
[20:35] 因為過去可能大家聚焦的
[20:36] 是一些裝置的填購
[20:37] 那只是他現在如果要去蓋更多的廠的話
[20:39] 那就代表說一些廠物相關的
[20:41] 特別是像我們知道在市場裡面
[20:43] 非常缺乏的是clean room
[20:44] 就是無塵室是非常非常缺的一個環節
[20:47] 那在無塵室這邊
[20:49] 可能就會有一些新的機會
[20:50] 那在整個廠房的一個建制上
[20:52] 除了這個無塵室之外
[20:54] 然後再來就是水
[20:55] 再來就是電
[20:55] 一些特殊化學品
[20:57] 其實都會產生很多的機會
[20:58] 那水跟電跟氣
[21:00] 可能都是我自己會鎖定的一個專案
[21:02] 那特別是這些股票
[21:03] 其實有蠻多是落在
[21:04] 大概以今年的成數來算
[21:06] 大概十幾倍左右的一個成數
[21:07] 所以雖然現在市場是很樂觀的
[21:09] 瘋狂沒錯
[21:10] 但你去買一個十幾倍的東西
[21:11] 你就知道說你受傷的機率
[21:12] 會比那些可能20倍30倍
[21:14] 甚至50倍的東西來低
[21:15] 所以會稍微往這個方向去開
[21:17] 但是我覺得當然最重要的是checkpoint
[21:19] 就是臺積電出來講話的之後
[21:21] 可能確定說
[21:22] 這個沒有讓大家很失望
[21:24] 沒有崩掉
[21:24] 那再來去做更多的佈局
[21:26] 所以他就去混搭一點動能的成分
[21:29] 那我們也稍微再來跟大家聊一下
[21:30] 最近馬斯克講說
[21:31] 他要蓋兩奈米廠
[21:32] 然後他的健身場裡面
[21:34] 是要可以去抽血跡
[21:36] 要可以吃漢堡
[21:37] 那這個就引發了一些網路上的論戰
[21:40] 那老實講
[21:41] 兩派的說法
[21:42] 我都認同
[21:43] 都可以接受
[21:44] 就像是說
[21:44] 兩派清酒之間互照
[21:46] 那我覺得說
[21:47] 其實你們都蠻好喝的
[21:48] 所以各有各的優缺
[21:50] 那我們先講說
[21:51] 其實馬斯克的想法
[21:52] 我可以理解他的原因
[21:53] 是因為
[21:53] 他就是那種
[21:54] 地性原理的信奉者
[21:56] 就是他會去
[21:56] 把一些東西解構
[21:57] 他不會去按照
[21:59] 大家跟你講說什麼
[21:59] 你今天場就應該怎麼樣蓋
[22:01] 你應該要怎麼樣standard
[22:01] 你應該要怎麼樣
[22:02] 他就是去挑戰你
[22:03] 所以你看他車子用壓住的
[22:05] 這個以前老人這樣子搞
[22:06] 就他會去搞一些
[22:07] 可能就大家沒有想過的事情
[22:08] 或者是火箭可以接回來
[22:10] 你敢相信嗎
[22:11] 現在是因為大家已經習慣
[22:12] SpaceX整天設上去接回來
[22:14] 然後像Blue Origin
[22:14] 現在也做得到
[22:15] 可是問題是
[22:16] 他當時提這個idea
[22:17] 是給大家當白痴
[22:18] 大家覺得他是笨蛋
[22:19] 他那些Space Hero
[22:20] 那些太空人也在笑他
[22:21] 就叫Jokes on them
[22:22] 其實他們才是好笑的
[22:24] 就我覺得馬斯克這個人是這樣
[22:25] 他其實說到是有做到
[22:27] 不然像他的Autopilot
[22:28] 是有做到
[22:28] 只是他的那個schedule有問題
[22:29] 他只要跟你講三年
[22:31] 就知道說那是六年或九年
[22:32] 你就是把那個schedule往後延
[22:33] 可是他就真的會做到
[22:34] 所以第一品的人
[22:35] 可能是說說到做到
[22:38] 第二品的人可能是說到做到
[22:40] schedule miss這樣
[22:41] 然後再來才是那些
[22:42] 就是說到做不到
[22:43] 或者說根本就連想都想不到的人
[22:44] 所以馬斯克在我眼中
[22:45] 我覺得他沒有這麼糟
[22:47] 所以他提這個想法
[22:47] 其實我某個程度上可以理解
[22:49] 他的意思就是說
[22:50] 反正你就是把晶圓生產的
[22:52] 所有的環節
[22:52] 都是包在密封的地方就好
[22:54] 那人員可以在裡面走來走去
[22:55] 其實這也不是什麼新科技
[22:56] 臺積電家很多東西都這樣做
[22:58] 他那個軌道跑超快的
[23:00] 然後我還聽朋友跟我分享說
[23:02] 他那個東西在機子裡面
[23:03] 跑的那個速度可以到9G
[23:05] 就那個其實都是一個密封的環境
[23:07] 那只是為什麼
[23:08] 他們還是會去講究說
[23:09] 可能在廠房裡面
[23:10] 有一些比較高的標準的主因
[23:12] 是我聽一個
[23:13] 在臺積電的朋友跟我講的
[23:15] 就是他們的某個廠房
[23:16] 有一次在蓋好之後
[23:18] 然後就在生產方面
[23:19] 注意到那個EEL的
[23:20] 拉起來並不是按照公司規劃的
[23:23] 奇怪那個良率怎麼有點拉不起來
[23:24] 然後最後發現問題在
[23:25] 問題在
[23:26] 數公里外有一個牧場
[23:28] 然後牧場的那個牛糞的粒子
[23:30] 就可能跑到這個工廠裡面去
[23:32] 所以導致他們東西的良率
[23:33] 差了一點這樣
[23:34] 所以你就知道說
[23:35] 他們要求到這樣的一個程度
[23:37] 才可以成就一個
[23:38] 可能目前世界上最偉大的一個Fab
[23:40] 那馬斯克的Fab
[23:41] 搞不好不知道
[23:42] 他做出來是
[23:42] 他兩率可能只有30%
[23:44] 他成本也只要20%或10%
[23:45] 有可能
[23:46] 就他那個
[23:46] 也有的算不高
[23:48] 可是呢
[23:48] 他有非常大的那個產量
[23:50] 就類似那種美國的肌肉車
[23:52] 很多人不喜歡開美國車
[23:53] 說美國車就只為那媽
[23:54] 暴力拼馬力
[23:55] 什麼歐洲車比較細膩之類的
[23:57] 雖然我也不太懂車
[23:57] 但我聽很多懂車的朋友都會這樣講
[23:59] 他搞不好就是想要去搞一個
[24:00] 這個Mustang版本的Fab之類的
[24:05] 他是全然的在講幹話
[24:07] 因為他真的deliver一些
[24:08] 就大家以前都認為說不太可能的事情
[24:10] 包含像是一些自駕車
[24:11] 或是火箭回收
[24:12] 所以你說他去搞晶圓廠
[24:13] 我覺得他可能真的還搞出一個
[24:15] 怎麼講就是夠用的晶圓廠
[24:17] 當然跟臺積電這種精品等級比
[24:19] 搞不好會俗
[24:20] 可是就是搞不好已經堪用了
[24:22] 在某個環節上面
[24:23] 那像在三星這邊
[24:24] 他們是給他很高的一個許可權
[24:27] 在他Texas的Fab裡面
[24:28] 甚至幫他搞了一個辦公室
[24:29] 讓他可以直接去督導這個產線
[24:30] 所以我們就來觀察
[24:31] 那到底他可以弄出什麼樣的東西
[24:34] 那總之呢
[24:35] 我覺得這不是一個
[24:35] 孰優孰劣的比較
[24:36] 也不是說什麼
[24:37] 馬斯克要去挑戰專業
[24:38] 就是臺積電是做得
[24:39] 非常強大非常好
[24:40] 那我們也知道
[24:40] 為什麼他會這樣做
[24:41] 那他這樣做是有
[24:42] 他的原因的
[24:43] 可是同志們也理解
[24:44] 馬斯克會想用
[24:45] 他的第一性原理
[24:46] 然後去挑戰所有東西
[24:48] 去問你們說
[24:48] 為什麼一定要這樣做
[24:49] 那我去撞看看嘛
[24:50] 說不定他撞個
[24:51] 滿頭鼻子滿頭灰
[24:52] 或什麼
[24:52] 可是我認為他
[24:53] 還是有辦法
[24:54] 可能搞出一個堪用的東西啊但是你說state of the art可能他需要的時間是很長的所以我還是會認為說就是你不用為了去喝牛奶去養牛但現在就是進行從馬斯克
[25:05] 或是其他一些像什麼openAI的
[25:07] 奧特曼之類的
[25:08] 他們的說法就可以得知
[25:10] 為什麼我們前面會講說
[25:11] 就是市場在傳什麼
[25:12] BRAKON Google在砍單
[25:14] 我覺得是超級白痴的事情
[25:15] 因為幹超缺缺到爆
[25:17] 所以到底要砍啥小
[25:18] 你今天砍掉
[25:19] 你知道你今天只要一砍單
[25:20] 就等於你的market share就掉了
[25:22] 你的市佔就是被別人拿走
[25:23] 因為你根本就做不出產品
[25:24] 沒有產品就是沒戲
[25:26] 所以大家都想要自己在蓋競產
[25:28] 你覺得會有這麼容易砍單嗎
[25:29] 至少在短期內不是這樣的一個狀態
[25:31] 那也因為這樣子
[25:32] 我會覺得說很好啊
[25:33] 你們每個人都去蓋廠啊
[25:34] 你去蓋廠
[25:35] 你去挑戰你的clean room啊
[25:37] 你覺得不用用到那麼好的clean room
[25:38] 那可是你勢必還是在你的
[25:40] 工廠流水線上面
[25:41] 是要去做一個很完美的隔離吧
[25:43] 說不定要用到另外一些
[25:44] 更好的裝置之類的
[25:46] 那總之呢
[25:47] 在這些廠務方面的
[25:48] 建廠的水啊
[25:49] 電啊
[25:49] 特殊化學品
[25:50] 氣啊
[25:51] 然後或者說無成事有
[25:53] 我覺得就是在接下來一段時間
[25:54] 都會非常缺乏了
[25:55] 那這個題材呢
[25:56] 其實它不是一個新的題材
[25:57] 它已經走了幾年了
[25:59] 只是說
[26:00] 有時候我們覺得這個股票
[26:01] 會很難做的一個原因
[26:02] 是因為大家心中會錨定
[26:03] 你可能以前買臺積電
[26:05] 像我以前買臺積電
[26:05] 那是一百多塊的東西
[26:07] 那現在臺積電是一千多塊的東西
[26:08] 所以你一千多塊你買得下去嗎
[26:10] 其實你還是要有辦法買得下去
[26:11] 你要怎麼樣買得下去
[26:12] 你就要去看未來
[26:13] 就你就不要再管說
[26:14] 你過去買的成本是怎麼樣
[26:15] 就重點是說
[26:15] 他未來可以賺多少錢
[26:16] 所以一樣的道理就是說
[26:18] 像Invidia
[26:18] 我在買最低的時候
[26:20] 差不多下了十分之一的價格
[26:21] 那你現在在去這個地方
[26:22] 為什麼可以加
[26:23] 因為我們都是聚焦在未來
[26:25] 所以這些題材
[26:26] 雖然有些可能像是說
[26:27] 過去都提過
[26:28] 或是曾經什麼
[26:28] 大家講的炒作過什麼
[26:30] 但你光是看到
[26:31] 未來的這些新的展望
[26:32] 然後以及當然
[26:32] 世界的大哥臺積電
[26:34] 如果他都是選擇
[26:35] 要跟大家豁出去玩的話
[26:37] 因為他其實前面
[26:37] 有點類似在踩剎車的
[26:39] 一個狀態
[26:39] 就是大家剛剛要這麼多
[26:40] 可是他沒有去guarantee
[26:42] 就是我一定會給到
[26:43] 這麼多產能
[26:44] 可是他現在都是
[26:44] 持續的在去
[26:45] 可能要把更多Face拉出來
[26:48] 要去蓋更多Fabs
[26:49] 然後去買更多D的話
[26:50] 那代表說
[26:51] 他們也要去加入這個遊戲
[26:52] 那就會在
[26:53] 可能擴敞方面
[26:54] 就是在未來一段時間
[26:55] 可能是市場又有機會
[26:57] 會再去從頭關注的東西
[26:59] 那當然這個東西
[27:00] 從我們去介入它
[27:01] 已經是有一段時間了
[27:03] 那只是說
[27:03] 就是有注意到
[27:04] 它的那個趨勢有走出來
[27:06] 所以稍微跟大家分享
[27:06] 就是市場裡面
[27:07] 現在它的主流趨勢
[27:08] 當然記憶體絕對是最屌的
[27:10] 那已經沒有什麼好說
[27:11] 太厲害了
[27:11] 然後再來一些面板股
[27:13] 然後再來就是這些產物跟裝置
[27:15] 其實最近都注意到資金的一個匯聚
[27:17] 雖然說市場的窄度是很小的
[27:21] 就不像過往是社會標都可以賺錢的
[27:23] 可是其實在這些窄的東西里面
[27:25] 有抓到重點的話
[27:26] 我還是覺得說現在市場算是好做的
[27:27] 對我來講就是如果說你會很擔心
[27:30] 你看到一堆報章雜誌說
[27:32] 怎麼一堆散戶衝進來
[27:32] 一堆韭菜或是說一堆有的沒有的人
[27:34] 你擔心會沒有大回蕩的話
[27:36] 那就還是要回歸到
[27:37] 這時候基本面就很有用
[27:39] 你至少去買一些
[27:39] 你知道說你現在買的位置不會貴的地方
[27:42] 你可能他不會漲贏那些高估值的東西
[27:45] 可是他在回檔的時候
[27:47] 他一般也會跌的比較少一點
[27:48] 那重點是趨勢正確就好
[27:49] 那如果是今天是走空的東西
[27:51] 可不可以去買他
[27:52] 像前陣子有一個
[27:53] 聽眾跟我聊到的3034
[27:56] 我跟你講
[27:57] 我們的聽眾真的很變態
[27:58] 他們很多時候都會動足極限
[28:00] 因為就我理解
[28:02] 就是有大型的NB廠
[28:05] 他們在接下來要上修Forecast
[28:07] 那聽說這個東西應該在上新聞
[28:09] 因為他上修的那個數字很大
[28:10] 那為什麼會去做上修
[28:11] 其實我也不太確定
[28:13] 因為我們目前看到
[28:14] 在消費性的一些產品的預期
[28:15] 都是年減
[28:16] 但是反正總之就是
[28:17] 江湖有傳說
[28:19] 有NP場上修
[28:20] 那接下來大家應該就會看到
[28:21] 這個新聞寫出來
[28:22] 那你說這個上修對於
[28:24] 這些可能像什麼DDI廠
[28:26] 或是一些相關的面板
[28:27] 或什麼的影響怎麼樣
[28:28] 我們稍微的去敲了一下計算機
[28:30] 發現說不多
[28:31] 大家可能是某種題材
[28:33] 所以可能就是說那位聽眾
[28:34] 跟前面的好幾位聽眾
[28:36] 每次提各種東西的
[28:37] 他們很厲害
[28:38] 他們很多時候都是在那邊裝菜機
[28:40] 然後跑到QA再問
[28:41] 感覺是摸不著邊際
[28:43] 奇怪你怎麼會突然看這個東西
[28:44] 然後後來我就會去明白說
[28:46] 他們其實很多在打暗號
[28:47] 太厲害了
[28:48] 都有看到一些不一樣的狀態
[28:50] 所以在一些消費性的股票
[28:52] 其實在過去也有出現
[28:53] 我那時候跟大家說
[28:54] 你要看他的形態
[28:54] 他形態直接畫給你看
[28:56] 他就直接畫給你看
[28:57] 但以我的角度來說
[28:59] 就是我的top pick可能是
[29:00] 那些還是在多頭排列的東西
[29:02] 然後可能是估值比較
[29:04] 沒有這麼恐怖的
[29:05] 那我也知道他後面很好的
[29:06] 那一些高估值的東西
[29:08] 反而是我持續的
[29:09] 有在去做解碼的東西
[29:11] 玩大便不一定
[29:12] 就是那些在右下角空頭排列的一些什麼網通IPC
[29:16] 或者說消費電子手機什麼的
[29:19] 那個可能要再看看
[29:20] 但最近我也注意到市場前有開始重新的回到蘋果軸承
[29:24] 我們上次跟大家聊到Apple的軸承是聊到說
[29:27] 它應該是一個三折機有兩個軸承
[29:29] 只是這個是我上一次更新的版本
[29:32] 我最近去跟身邊的一些快樂好朋友討論更新之後
[29:35] 發現說應該不是這個版本
[29:36] 下的版本應該是對摺的
[29:39] 它是左右折的手機
[29:40] 然後它只有一個軸承
[29:42] 這隻手機大概在今年的下半會出
[29:44] 聽說今年的數字機
[29:46] 就是版本機會拉到
[29:47] 快要明年才會去出
[29:48] 它會先來主打這個摺疊機
[29:51] 所以其實當這些訊息
[29:53] 開始就重新的在市場上醞釀的時候
[29:55] 我就注意到說
[29:55] 相關的股票要動起來
[29:56] 所以或許消費性還是有人想動它
[29:58] 就大家可能看到說市場好
[30:00] 那我去拉一些落後補賬的東西
[30:02] 但總之如果是我的話
[30:03] 硬要去盯這些消費性
[30:05] 我還是會情願去盯那一些
[30:06] 可能有新的題材
[30:07] 像蘋果的摺疊
[30:08] OK這個可能是新的
[30:09] 但一般的什麼手機筆電
[30:11] 什麼AIPC
[30:12] 那個我覺得現在都有點臭掉了
[30:13] 但我們不排除一切的可能性
[30:15] 都持續去觀察
[30:16] 那如果注意到族群性的產生
[30:18] 再來跟大家去做一些分享
[30:20] 好那這就我們現在在我們家建議區的部分
[30:22] 第一位
[30:22] 吳賈諾亞跟女友K泡的時候
[30:24] 都聽股癌才設的出來
[30:26] 有聽挨大說過
[30:27] 不能夠重複做的方法
[30:28] 就不是一個方法
[30:29] 但是我目前股票
[30:30] 能夠一直賺錢的方法
[30:31] 就是有聽懂挨大所謂的掛號重點
[30:33] 嘿嘿
[30:34] 但也不禁在想
[30:35] 要是挨大有天沒撥了
[30:37] 自己需要怎麼辦
[30:38] 不知道如何除錯
[30:39] 那另外一大之前有說
[30:41] 看好光通跟INP
[30:43] 就林化音
[30:44] 那但是我直覺想到的是3081
[30:48] 不知道一大有沒有注意這家公司
[30:49] 而且怎麼看
[30:50] 關好不是在聽爆牌
[30:51] INP相關類股的話
[30:54] 我自己是有買那個美股的AXT
[30:55] 然後再就是各個光通
[30:57] 還是以美股為主
[30:58] 就是Lumintown跟Cohen
[31:00] 這也算是一個蠻大的共識
[31:02] 就是很多市場的錢證都對在這邊
[31:04] 要壓光通的人很多都買這個
[31:06] 那所以不排除
[31:07] 也有可能會像前面一些
[31:09] 那種臺灣人熱門概念股
[31:10] 一樣後面烙塞
[31:11] 大家自己要小心
[31:11] 但其實那個重點是蠻好抓的
[31:13] 就是就在這些東西里面
[31:15] 那臺系的話
[31:16] 其實老實講
[31:16] 臺系的很多跟那種CPU
[31:19] 所謂的最熱門的
[31:21] 那個核心的距離都偏遠
[31:24] 可能都是比較遠的
[31:25] 或是一些pluggable的東西
[31:26] 還是有跟著動
[31:27] 那臺灣的光通股
[31:28] 其實也是非常兇
[31:29] 那包含像說這些
[31:30] 三五半導體的相關的公司
[31:33] 累金廠或者說代工廠
[31:35] 也很兇
[31:36] 你看文貌
[31:36] 文貌也是直接就射出去了
[31:38] 那聯亞的話
[31:39] 當然他也算是一個
[31:41] 怎麼講
[31:41] 就在這個族群裡面是很核心
[31:43] 但他一向就是就偏貴
[31:45] 就有點跟那個
[31:45] 上集最後一個人問的
[31:48] 上泉Foci一樣
[31:49] 反正都是偏貴
[31:50] 然後你現在可能不一定
[31:51] 看得到他的營收跟獲利
[31:52] 那這型別的股票
[31:54] 基本上都是一些非常知情
[31:57] 對業內很熟悉的人在買
[31:58] 然後他們在賭說
[31:59] 反正最後面會確評重選
[32:01] 那接著可能等到開數字的時候
[32:04] 就不會漲
[32:04] 就類似微創這樣
[32:05] 微創那時候
[32:06] 在狂噴的時候
[32:07] 大家都說亂炒股票
[32:08] 然後等到你數字都出來
[32:09] 你看現在根本就不會漲
[32:10] 數字開給你看的時候都不會漲
[32:11] 前面沒有數字的時候拼命漲
[32:13] 因為都先漲完了
[32:14] 所以我覺得他們那個狀態是有點類似
[32:16] 那只是我自己有沒有去鎖定
[32:18] 臺灣的光通相關類股
[32:20] 之前我去做那個光盛
[32:22] 那個有做過
[32:23] 那其他的我自己是比較沒有看
[32:25] 但是你確實有抓到重點
[32:27] 這個是市場一些特別的主力
[32:28] 喜歡的東西
[32:29] 然後再想說
[32:30] 就是我所謂的重點
[32:33] 應該這樣講
[32:33] 我不是故意要去賣關子
[32:36] 很多時候大家會注意說
[32:37] 我們的節目跟一些節目比起來
[32:39] 差別在於什麼
[32:39] 我們不會直接去點名一些公司
[32:41] 其實我在講每個話題的時候
[32:43] 像我前面在講說
[32:44] 氣 水 電
[32:46] clean room
[32:47] 我其實心中都是有標的
[32:49] 我就直接跟你講
[32:50] 就像說clean room的話
[32:51] 那就聖灰
[32:51] 如果今天是水的話
[32:53] 那就趙連
[32:54] 趙連的二次配信鴻
[32:56] 然後再來說
[32:57] 如果是氣的話
[32:57] 和松
[32:58] 和松的二次配瑞澤
[33:00] 類似這樣
[33:00] 這些東西當然也是我們需要去
[33:02] 靠一些朋友去把它補那些拼圖
[33:04] 不是說什麼嘛
[33:05] 全部我自己都懂
[33:06] 但為什麼我會盡量去避免
[33:08] 去講這些東西的原因是因為
[33:09] 我覺得我們節目的收聽的人很多
[33:12] 那我是擔心說
[33:13] 就是怎麼講
[33:14] 因為我們自己是屬於那種
[33:15] 我就算不跟你講
[33:16] 是什麼東西
[33:17] 你不用來幫我抬轎
[33:19] 我都是有辦法賺錢的人
[33:20] 所以我既然可以
[33:21] 不用靠抬轎就可以賺錢
[33:22] 那我幹嘛要去
[33:23] 講一些東西
[33:24] 然後中間被人家指控說抬轎
[33:26] 就是你不覺得這個就是會
[33:27] 讓你很麻煩的事情嗎
[33:29] 所以其實是我的一個自我審查
[33:30] 那我覺得
[33:31] 因為我後來觀察
[33:33] 就是臺灣的財經的一些分享
[33:35] 我後來發現說
[33:36] 我真的是算過於保守
[33:37] 就是有一些整天在PO說
[33:39] 什麼大家現在就是買什麼
[33:40] 趕快買啊衝啊
[33:42] 然後隔天就說
[33:42] 你看吧我跟你講
[33:43] 這些人都還活得好好的
[33:45] 那我到底在擔心什麼
[33:46] 就我到底在擔心說
[33:47] 我這樣會惹上一些麻煩
[33:48] 是在擔心什麼
[33:49] 而且更何況我們在講
[33:50] 都是以產業為主
[33:51] 就是有憑有據
[33:52] 並不是說什麼
[33:53] 我們想要去買一個鬼谷
[33:54] 然後跟大家說
[33:55] 買這支就對了
[33:56] 我們不去做這樣的事情
[33:57] 只是就是
[33:58] 我不知道有時候我覺得說
[33:59] 如果可以開上帝視角
[34:00] 然後把我們聽眾
[34:01] 可能是不到十分之一
[34:02] 或是更少的那種
[34:03] 部分人士給刪掉
[34:04] 就那些
[34:04] 可能我今天
[34:05] 如果跟你講某個公司
[34:06] 然後可能就會跑來
[34:06] 問我講說
[34:07] 你講到這個公司
[34:08] 怎麼這樣了
[34:08] 我真的超級討厭這種人
[34:10] 我就是為了避免這種人
[34:11] 所以我想說
[34:11] 那我就把我們的節目的難度調高
[34:14] 因為這些人他就不會來了
[34:15] 他們就聽不懂
[34:16] 因為你知道這些吸反應
[34:18] 快樂寶貝
[34:18] 他們只有辦法去做到
[34:21] 就你今天直接跟我講
[34:22] 買什麼我就買什麼
[34:22] 他們就是因為這樣
[34:23] 他們才會被詐騙
[34:24] 他們才會賠錢
[34:25] 他們才會去過得不太好
[34:27] 那如果你今天稍微受一點難度
[34:29] 就像說像我們的一個做法
[34:31] 我直接跟你講產業趨勢
[34:32] 那我不去跟你點名說哪家公司
[34:34] 你自己去想辦法
[34:35] 反正你知道趨勢在哪
[34:36] 其實老實講
[34:37] 你趨勢這些東西隨便亂買
[34:38] 你還是會賺錢
[34:39] 你就會賺錢
[34:39] 你只要趨勢有抓到
[34:40] 你就會賺錢
[34:41] 那其實這樣子就可以過濾掉很多人
[34:43] 因為他們就覺得說
[34:43] 他的節目都不直接講
[34:45] 那我要聽什麼
[34:46] 對那你們就剛好被我過濾掉
[34:48] 所以我覺得現在的模式是蠻不錯
[34:50] 那不知道就看之後怎麼樣
[34:52] 我們再慢慢的調整
[34:53] 下面一位臺中SANA
[34:55] 猛攻你好
[34:56] 猛攻你好
[34:57] 我的男友AK雲林173眼睛得喊病
[34:59] 希望猛攻跟身後的觀音短
[35:01] 祝雲林173眼睛儘早恢復正常的視力
[35:04] 173發願恢復健康會捐貧困兒童一萬元
[35:08] 並祝猛攻全家身體健康天天開心
[35:11] 我們先祝雲林173
[35:14] 希望他眼睛好起來
[35:14] 那一樣啦
[35:15] 不知道
[35:15] 我知道事實上苦人多
[35:18] 絕對的
[35:19] 那我們以前也是臺北住套房沒有錢
[35:22] 所以我知道這樣子
[35:23] 可是我意思是說
[35:24] 你們很多許願
[35:25] 你們真的偏小氣
[35:27] 眼睛得喊病
[35:28] 喊病
[35:28] 你只捐一萬塊
[35:30] 一樣幫你加碼五萬塊
[35:32] 你眼睛好
[35:33] 你就五萬塊
[35:33] 你可以分期付款
[35:34] 你可以慢慢還
[35:35] 就慢慢的找一些育幼院
[35:37] 你每年捐五千塊
[35:38] 你捐十年
[35:38] 多一點
[35:39] 你太少
