[00:00] 欢迎收听骨牙,我是圣梦宫,本期节目由NordVPN赞助
[18:57] 很多人都不喜欢国粉
[18:58] 觉得国粉就是他妈盘子
[18:59] 安卓机都一定比较好之类的
[19:01] 甚至什么中国的安卓机
[19:02] 也比你的苹果手机有性价比
[19:05] 最近不是极客湾就去踢爆说
[19:07] 中国的那些安卓系有很多都造假
[19:10] 他拿来送业的手机
[19:12] 跟消费者实际上拿到的手机不一样
[19:13] 他拿机王那种最屌的来送业
[19:15] 然后实际上消费者拿到的
[19:16] 你效能根本就跑不到那样
[19:18] 反而他说苹果是最老实的
[19:19] 你花多少钱
[19:20] 你这就买到多少钱的一个东西
[19:22] 所以苹果最近它的一些布局
[19:24] 令我又再一次的加强
[19:25] 或是我自己其实想要
[19:26] 直接把苹果干到最大磁场
[19:28] 的主因就是
[19:29] 当然我们都知道说
[19:30] 它的背景是因为
[19:32] 现在我们在市场上看到的
[19:33] 这个记忆体涨价潮
[19:34] 其实这个记忆体涨价潮的影响是很大
[19:37] 它不只是去影响到
[19:38] 这些AI Server
[19:39] 或是所谓的一些记忆体的股票
[19:40] 在一些这种消费级的OEM上面
[19:42] 其实我们可以注意到的是
[19:43] 像安卓机的手机
[19:45] 它一般是大概在毛利10到20%之间
[19:48] 有些可能甚至是更低
[19:49] 苹果的手机整家公司我们先不看
[19:51] 我们看手机硬体的话
[19:53] 大概有一个共识就是差不多40几趴左右
[19:55] 所以其实苹果的毛利是比安卓的毛利要来高
[19:57] 然后再来就是如果我们今天去聊到说
[19:59] 在一个中低阶手机里面
[20:01] 特别是以安卓手机来说
[20:03] 在记忆体的BOMB COST
[20:04] 以前大概是20%左右
[20:05] 20%左右是它的记忆体的成本
[20:07] 现在可能是跑到30几趴
[20:09] 甚至要往40%去靠
[20:10] 假如这个涨价是停不下来的话
[20:12] 目前我们的了解是
[20:13] DDR4的涨价会稍微的趋缓一些
[20:16] 在最新的三星的报价里面
[20:18] 那可是DDR5呢
[20:19] 还是会持续的去涨
[20:20] 那当然这个报价所谓的趋缓
[20:22] 或是继续涨
[20:22] 都是可能在后面
[20:23] 还是会直线加速的
[20:24] 都还是有机会
[20:25] 因为现在最主要的一个问题
[20:27] 就是在于说
[20:28] 在记忆体的买方
[20:29] 它是这些不计较成本的CSP
[20:32] 所以对我们来讲
[20:33] 这些东西都叫超级便宜
[20:34] 这种跟大家分享过
[20:35] 可能我一个Server Rack里面
[20:36] 我记忆体的Bone Cost
[20:37] 只有2%以下
[20:38] 那你贵一倍
[20:39] 对我来讲
[20:39] 其实也没有太多的感觉
[20:40] 所以他们为了抢到料
[20:41] 他们不计代价去抢
[20:42] 所以因为这样子呢
[20:43] 这个报价会怎么样涨
[20:45] 我们比较难以去做一个预期
[20:46] 但我们去看现状的话
[20:48] 就是去相较于可能前一段时间
[20:50] 那这些手机OEM厂
[20:52] 他们其实显著的会受到记忆体的
[20:54] 价格的影响而拖累他们的毛利率
[20:57] 导致他们的价格竞争力会变得更差
[20:58] 他们要么就把它转嫁出去
[20:59] 那要么呢就是自己吸收
[21:01] 然后让这个毛利率的数字掉下来
[21:03] 可是现在最靠背的就是
[21:04] 苹果他趁你病要你命
[21:06] 他连续推出了
[21:08] 第一个就是iPhone 17E
[21:09] iPhone 17E呢
[21:10] 在记忆体上面去帮你做了升级
[21:12] 在规格上面开得更好
[21:13] 可是它跟你收了一样的价格
[21:15] 这个其实有点算是
[21:16] 跌破大家的眼镜
[21:17] 当然你可以找千万个说法
[21:19] 可能说这一批料没有被涨到
[21:21] 或他之后会涨
[21:23] 但不管
[21:24] 反正就是他这一支手机
[21:26] 理论上大家其实期待的是
[21:27] 你要去稍微涨个价
[21:29] 可是他连涨价都不涨
[21:30] 特别是我们已经知道
[21:31] 我们从他的记忆体的supplier这边
[21:33] 有看到
[21:34] 报道也都写出来了
[21:35] 70到90%的一个涨价
[21:37] 这个数字是真的
[21:38] 就是他每Q就被涨这么多
[21:40] 所以理论上
[21:41] 它的成本也变贵了
[21:43] 那为什么它还是愿意去把价格压在这边呢
[21:46] 为什么它不要把它转嫁出去呢
[21:48] 大家不是在讨论说
[21:49] 假设你有溢价权的话
[21:50] 你就是要把这个涨价转嫁给消费者吗
[21:52] 那当它不去做涨价的时候
[21:54] 它就有点类似说
[21:55] 其实我们家也有去听到
[21:57] 像日本这边的一些被动元件大厂
[21:59] 他们在涨价
[21:59] 那台系的大厂呢
[22:01] 故意不跟部分的涨价
[22:02] 为什么
[22:03] 因为当你在涨价
[22:04] 我不跟的时候
[22:04] 代表我就抢下你的市占率嘛
[22:06] 因为我比较便宜嘛
[22:07] 大家可能就选择跑到这里
[22:08] 所以它其实是一样的道理
[22:09] 所以我们认为这是苹果
[22:10] 想要去抢市占率的一个做法
[22:12] 它其实也是有涨价的压力
[22:14] 但是它知道说
[22:15] 我的毛利的水位就是比你广
[22:17] 对不对
[22:17] 我今天就算我不去做涨价
[22:20] 我去牺牲我的毛利
[22:21] 我牺牲个5%
[22:23] 请问一下你要牺牲几%
[22:24] 你的牺牲一定比我多
[22:25] 要比我打爆
[22:26] 所以它就是藉由自己毛利
[22:28] 比别人肥的这个优势
[22:29] 然后去让它的入门款的手机
[22:32] 可以维持在跟去年一样的价格
[22:34] 可是同时我去帮你做规格提升
[22:36] 所以整个看起来就超级有诚意
[22:38] 同时我们也知道说在安卓阵营这边
[22:41] 他们现在其实是有很大的一个涨价压力
[22:43] 就要我们必须要去做涨价
[22:44] 如果不涨价的话
[22:45] 可能有些公司在做手机这边
[22:47] 就会做到它毛利的数字就会被压到很窄
[22:49] 甚至搞不好有些会做到赔钱之类的
[22:52] 在后面的发展是有可能会这样子
[22:54] 所以在后面一阵子我们可以注意到
[22:56] 我相信在iPhone这边
[22:58] 苹果会有效的去抢下一些市占
[23:00] 除了这个记忆体所导致的一个影响之外
[23:03] 然后再来就像我跟大家提到
[23:04] 前面那种极客玩具做评测的时候
[23:06] 然后发现说其实有很多
[23:07] 就是以前会有一堆人是看评测去买手机
[23:10] 那这些看评测买手机的
[23:12] 都被非常残酷的打了很大的一巴掌
[23:16] 然后这个影片还被中国那边下架了
[23:18] 就是告诉你说你看一堆有的没有的
[23:20] 那其实都是假的
[23:21] 那个资料都是做给你看的
[23:23] 所以我们可以观察一下
[23:24] 在中国这边会不会后面有些事战的变化
[23:26] 我相信应该有蛮多玩家是
[23:28] 看着各种评测的影片在买手机的
[23:31] 说不定他们会开始倒戈
[23:32] 当他们开始倒戈
[23:33] 开始去做跳槽的时候
[23:35] 这些意见领袖KOL
[23:37] 可能也会带领一些使用者
[23:38] 也都跟着换过去
[23:39] 所以在价格跟意见的风向的
[23:43] 两个键射出去的状况之下
[23:45] 其实我觉得在iPhone这边
[23:47] 是有机会可以拿到不错的一个市占
[23:49] 接着我们有注意到
[23:51] 在Mac这边也推出了一个NEO
[23:53] 这个NEO它使用的是
[23:55] 它是一台笔电
[23:56] 它使用的是A系列的晶片
[23:58] 它不像过往的笔电
[23:59] 使用的是M系列的晶片
[24:00] 它使用A系列的晶片
[24:02] 可是它卖你一个超级便宜的价格
[24:04] 就是一台笔电是599到699美元之间
[24:07] 所以真的是一个
[24:08] 怎么讲
[24:09] 就是那种杀到建股的价格
[24:10] 那一样在记忆体方面
[24:12] 好像iPhone的17E
[24:13] 一样就给到8G
[24:15] 也就是说它是可以让你去做
[24:18] Apple Intelligence的使用
[24:19] 因为我们知道Apple Intelligence的低标是8G
[24:21] 所以这项状况之下
[24:22] 其实你现在可以去看到
[24:24] Apple的策略已经成型了
[24:26] 就是它要趁大家在记忆体涨价的
[24:29] 非常痛苦的毛利压缩阶段
[24:31] 然后持续的用它毛利的
[24:33] 非常大的口子
[24:35] 然后去把别人给吃掉
[24:36] 那接着呢
[24:38] 他希望可以拿下更多的市占
[24:39] 那当然拿下市占
[24:40] 就是可以在后面去做更多的利润的产出
[24:43] 你想说
[24:44] 你的手机也卖这么便宜
[24:45] 那你要赚什么
[24:46] 他其实要赚的东西就是赚他的服务
[24:48] 因为我们已经知道说
[24:48] 苹果的服务的营收
[24:50] 其实是在他目前的整体业务来说
[24:52] 成长性是非常好的一块
[24:54] 那服务的营收现在也很广就是除了大家都熟知的在App Store里面他有去抽一个苹果税之外现在还有Music还有iCloud还有Apple Intelligence那之后搞不好塞一些广告或什么有的没的
[25:05] 所以其实整个加起来
[25:06] 你会知道说
[25:07] 我卖你一个手机跟笔电
[25:09] 可能卖你599 699
[25:10] 那以前手机我是卖你什么
[25:12] 1299 1499 1199
[25:13] 可是我现在虽然卖你
[25:15] 感觉是三分之二到半价的价格
[25:18] 但我的lifetime value
[25:20] 可能是更高的
[25:21] 也就是说
[25:22] 因为在AI的大量的导入之下
[25:24] 可能我们跟手机的软体层
[25:25] 会更加的绑定
[25:26] 那会有更多的订阅项目的跑出来
[25:29] 然后更多的
[25:30] 像我们讲的Agentic AI
[25:31] 有很多的workflow
[25:33] 可能是我们人类
[25:34] 不一定要看到界面
[25:35] 都直接让手机去跑
[25:37] 让AI agent去跑
[25:38] 那所以其实你跟这些软体
[25:40] 某种程度上
[25:40] 你是做更深度的一个绑定
[25:42] 那所以你付钱的对象
[25:43] 可能就是这些软体
[25:44] 所以它不免的甚至会让我去想到说
[25:46] 你知道以前我们去买手机的时候
[25:47] 还会有你买门号
[25:49] 然后他送你手机的这种方案在
[25:51] 虽然你会知道说羊毛出在养生上
[25:52] 可是那就是一种
[25:53] 让你体感上
[25:54] 像现在一样
[25:55] 我手机让你买便宜
[25:56] 可是实际上
[25:57] 你后面要去用的
[25:58] 各式各样的服务
[25:59] 你要买我的
[25:59] 整体可能Apple
[26:00] 还会在你身上赚走更多的钱
[26:02] 即便手机可能是
[26:03] 以前都是1000多块的
[26:05] 然后现在变成是500块600块
[26:07] 但同时
[26:08] 我因为有很多的服务
[26:10] 是绑在这里
[26:10] 我的AI是绑在这里
[26:12] 你要跟我去做订阅
[26:13] 而且订阅是要持续的付钱
[26:15] 所以你的lifetime value
[26:16] 你lifetime付出去给苹果的钱
[26:17] 甚至是更多
[26:18] 而且我相信一定会是更多的
[26:20] 所以在这样的情况之下
[26:21] 其实它就是一个
[26:21] 非常简单的叙事逻辑
[26:23] 也就是说
[26:24] 当我今天可以有
[26:24] 更多的硬体的试战
[26:26] 我可以渗透到
[26:27] 更广的一个使用层
[26:29] 当AI已经开始去争夺出
[26:32] 一个孰优孰劣
[26:33] 可能有一些头部集团
[26:34] 跑出来之后
[26:35] 然后苹果再去
[26:35] 像现在跟Google合作一样
[26:37] 我再把你的东西
[26:38] 给引进来
[26:39] 不管是我付你钱
[26:40] 或你付我钱
[26:40] 没差
[26:41] 反正我重点是
[26:42] 我要让我的用户
[26:43] 停在我的手机上面
[26:44] 因为之前有一个说法是说
[26:45] Google的AI很好
[26:46] 所以大家会去用Pixel
[26:47] 或是什么Samsung的
[26:48] 手机AI很好
[26:49] 所以很多人会跳三星
[26:50] 但我覺得可能不會是這樣發展
[26:52] 那時候就這樣覺得
[26:53] 然後現在更覺得
[26:54] 特別是蘋果用價格去搶市場
[26:56] 這其實超靠北的
[26:57] 就是你真的是沒有想過說
[26:58] 蘋果這種高價貨
[27:00] 然後竟然會用便宜的策略去搶市場
[27:03] 然後也把產品線割得很好
[27:04] 就它不是說什麼
[27:05] 既有的產品去大降價
[27:06] 這個我覺得就會把自己做壞掉
[27:08] 它是很聰明
[27:09] 它就割新的產品線出來
[27:10] 或者說既有的低價的產品
[27:12] 跟高階的產品
[27:13] 那個價格落得更遠
[27:14] 高階的可能會去漲你
[27:15] 可是低階的我就是故意不漲
[27:16] 然後把一些那種價格敏感的用戶
[27:18] 或是一些安卓用户给捞进来之后
[27:20] 接着我在软体身上
[27:21] 然后去把你的钱全部榨出来
[27:23] 这个可能会让他在后面
[27:25] 会获得非常好的一个
[27:26] 这个现金流的表现
[27:27] 那特别是在下
[27:28] 我们知道市场里面的
[27:29] 一个最主流的论述
[27:31] 就在讲说
[27:31] 我们都知道说这些巨头
[27:32] 其实表现都很好
[27:33] 可问题就是他接下来几年的
[27:35] CAPEX可能把他的现金流吃掉
[27:36] 可能他一些buyback就不存在
[27:38] 就是说有些人可能是不喜欢
[27:40] 这个现金流被吃掉的故事
[27:42] 更进一步的话
[27:43] 有些人其实是不喜欢
[27:44] 现金流被吃掉之后
[27:45] 那你的dividend配出来
[27:47] 可能就是更少
[27:48] 因为这样子
[27:49] 我可能去修正你的估值
[27:50] 可是这时候你找到
[27:51] 其中一家科技巨头
[27:52] 因为他过去
[27:53] 没有参与大家的AI竞赛
[27:55] 他手上一堆钱
[27:56] 然后这个家伙
[27:57] 现在可能还要去
[27:58] 收割大家的成果
[27:59] 你们杀个你死我活
[28:01] 接着我去搞一个授权进来
[28:02] 搭配我自己的
[28:03] Foundational Model
[28:04] 我就可以去
[28:06] 坐收渔翁之力
[28:07] 然后去成为
[28:08] 第一线跟大家收票的人
[28:10] 明明这些基础建设
[28:12] 这些世界奇观
[28:13] 不是我盖的
[28:13] 可是我坐在门口收票
[28:15] 然后我还给你
[28:15] 抽一个过路费
[28:16] 我觉得爽翻
[28:17] 所以看下来觉得苹果这次的策略
[28:19] 我不觉得它是那种提早
[28:22] 很久以前就想到的
[28:23] 因为这个记忆体的涨价
[28:24] 其实真的超乎大家想象
[28:26] 可是只能够说
[28:26] 它在一个时代的变局之下
[28:29] 然后它怎么样
[28:30] 漂亮的翻手打出了一手好牌
[28:33] 我觉得是这样子的一个状态
[28:34] 所以我也不确定苹果后面
[28:36] 是不是股价真的会比较的涨
[28:37] 只是我最近就是突然想通这件事情
[28:39] 虽然其实过去
[28:41] 我们已经提过类似的观念很多次了
[28:42] 只是这是看到这个
[28:43] 因为它一连串发太多产品了
[28:46] 17E然後跟MacNeil之後
[28:48] 我可以算是非常確定
[28:50] 就是他的想法就是這樣子
[28:51] 就跟我們一開始在場外亂猜比起來
[28:55] 現在我們有更多證據
[28:56] 那公司就往這個方向去走
[28:57] 所以我覺得就是最差最差就是等到說
[29:00] 如果接下來他的股價有表態的話
[29:02] 再來參與
[29:02] 那整體來說會想要再去多觀察一下
[29:05] 蘋果這家公司在接下來的一個發展的情形
[29:08] 特別是其實過去大家都講說
[29:10] 不要碰蘋果
[29:10] 因為他沒有什麼AI殺小
[29:12] 但後面搞不好會變成反過來
[29:13] 就是因为它没有太多的
[29:15] AI in CapEx要丢出去
[29:17] 所以导致了它变成市场
[29:19] 大家有可能会喜欢这个东西
[29:20] 大概这样
[29:21] 好那这一节目就跟大家分享到这边
[29:23] 接下来我们来进入Q的部分
[29:24] 地位Welson890704
[29:27] 有点长但反正念一下
[29:29] 两边跑测试留言密码
[29:31] 挂号没有被念到的小韭菜乘以6
[29:33] 孟公您好我是阿正
[29:35] 先向您致上最诚挚的祝福
[29:37] 新年快乐马年行大运
[29:39] 我一直都是Spotify的使用者
[29:41] 也在您的IG现实动态被转发过
[29:43] 是0.003%的听众
[29:45] 你看
[29:45] 刚才就是一个感觉
[29:47] 觉得这个人要念一下
[29:48] 0.003%
[29:48] 就那种最疯狗
[29:49] 可能不知道
[29:50] 就当佛经在放的那种
[29:51] 就是播放量极大的听众
[29:53] 他说持续收听您的节目
[29:55] 真的收获非常多
[29:56] PS我猜Spotify的听众
[29:58] 是您录制当下抢留言
[29:59] 所以更多投机仔问股票
[30:02] Apple Podcast的林子更大
[30:03] 所以分享生活的人更多
[30:05] 那今年我已经26岁
[30:06] 想到即将到达
[30:07] 您当时录制节目的年纪
[30:09] 希望新的一年
[30:10] 我也能够持续的成长
[30:11] 更加的成熟
[30:12] 走出处于自己的道路
[30:14] 那最后诚挚祝福
[30:15] 您跟所有的听众新年快乐
[30:17] 顺心如意越来越好
[30:18] 关好揭露A君身份的时候
[30:20] 有种果然没错的感觉
[30:22] 我在脸书都会看到
[30:24] 谢家也跟岳母是脸书好友
[30:27] 那希望您可以称呼为
[30:28] 您的小老弟爱你
[30:30] 那蒙公常说可以透过留言
[30:32] 大家看出一个人的轮廓
[30:33] 请问我是好爱宝吗
[30:35] 你就是那种可能不知道
[30:37] 你吃素之类的吧
[30:38] 或是你会吃那种很清淡的乌龙面
[30:40] 然后可能有点包金老二白白之类的
[30:42] 我感觉你是长这个样子
[30:43] 那非常感谢你的祝福
[30:45] 也谢谢你一路以来的支持
[30:46] 那也希望你可以在26岁
[30:49] 我觉得26岁有一种那种
[30:51] 人生正要开始的感觉
[30:53] 就以男生来讲
[30:54] 你可能是退伍嘛
[30:54] 那退伍的一两年
[30:55] 可能又还搞不太清楚状况
[30:57] 昏昏噩噩的
[30:57] 那差不多可能到26 27的时候
[30:59] 稍微的站稳
[31:00] 然后准备要去做第一件事情
[31:02] 那希望可以一切都顺利
[31:04] 你是一个暖男
[31:05] 那下面一位
[31:06] 股市小菜鸡
[31:07] 嘿嘿嘿
[31:08] 悠悠悠只好节目
[31:10] 海大你好
[31:11] 大学生的我
[31:11] 从400多集听到现在
[31:12] 中间还会回去
[31:13] 从第一集开始听过来
[31:14] 真的陪伴我很多时间
[31:15] 突然想问
[31:16] 您都用几个萤幕在看盘
[31:18] 谢谢爱你
[31:19] 目前是用两个萤幕
[31:20] 那如果说
[31:21] 战况比较激烈的时候
[31:22] 所以把笔电拿出来
[31:23] 跟手机拿出来
[31:24] 就总共有四个萤幕
[31:25] 可是其实我现在
[31:26] 不需要太多萤幕了
[31:27] 因为后来我的持股
[31:28] 有去做蛮多的变化
[31:30] 像早些年
[31:30] 我是没有什么东西
[31:31] 叫什么小硅股
[31:32] 或是美股
[31:33] 其实我也是有在
[31:33] 做很多的option
[31:34] 那现在美股
[31:35] 都是变成是长期持有
[31:36] 那台股呢可能有一部分的钱都拿去买一些那种小贵股
[31:40] 像现在就很多那种七字贝的设备股嘛
[31:42] 有些在新贵的那种
[31:43] 那个买了就放着就不叼它了
[31:45] 所以这些配比可能是拉到蛮高的
[31:47] 所以导致说我现在就需要打的钱
[31:49] 没有像以前这样的百分比是这么高
[31:52] 这么全面
[31:53] 所以需要去看很多有的没有的东西
[31:55] 就相对是比较轻松一点
[31:57] 所以我觉得两个萤幕是差不多
[32:00] 就一般来说不太会用到第三个第四个
[32:02] 会用到就是说
[32:03] 今天可能状况是
[32:05] 像我相信礼拜一就会用到
[32:07] 礼拜一就多开一点萤幕
[32:08] 因为要了解一下说
[32:09] 哪些东西可能跑去跌停了
[32:11] 那或者说45分要看一下
[32:12] 期货有没有人去杀跌停
[32:14] 杀跌停可能
[32:15] 就来说如果国际盘
[32:16] 那个族群是还OK的
[32:18] 那就代表说那个家伙被断头了
[32:19] 然后可能就要去捡他断头的东西
[32:21] 所以你就会需要多一点萤幕
[32:22] 但一般其实我觉得两个萤幕就够了
[32:25] 那一般除了这个
[32:26] 工作时间是两个都会用到之外
[32:29] 那大部分就只有用到一个
[32:31] 那另外一个可能就是挂着
[32:32] 不知道
[32:33] 就是某一个线上有
[32:34] 就是某一个手游的画面
[32:35] 放在那边之类的
[32:36] 所以大概一到两个
[32:37] 对我来说就非常的足够
[32:38] 以前真的有点像大楼管理员
[32:40] 然后现在越来越少
[32:41] 下面一位
[32:41] 母汤在赔钱啦
[32:43] 每日打海报
[32:43] 五星吹捧
[32:44] 祝福作业一家平安喜乐
[32:45] 唯一支持每日打海报
[32:47] 顺便分享爆哥的治理名言
[32:49] 就像有些人会买BTC
[32:50] 我也无法理解
[32:51] 为什么会这么想把钱变不见
[32:53] 不知道
[32:55] 十年河东十年河西啦
[32:56] 那前阵子买BTC的人
[32:57] 全部都爽到翻掉
[32:58] 然后现在看到他跌到六七万
[33:02] 之类的
[33:03] 很多时候都这样
[33:04] 就你会注意到说
[33:04] 下来的时候
[33:05] 一定都是全部人在唱坏
[33:06] 然后上去的时候
[33:07] 一定都是全部人在唱好
[33:08] 所以你要怎么样抓到这个平衡
[33:09] 实际上是不容易的
[33:10] 那下面一位
[33:11] 全家气氛仔
[33:12] 台湾队加油
[33:13] 挨大好
[33:14] 跟挨大许愿
[33:15] 今年马年可以轮到
[33:16] 传产跟中小起飞大爆射
[33:18] 这我也蛮希望的
[33:19] 因为我也希望
[33:20] 这个美国中小可以喷一下
[33:22] 他说
[33:22] 也请挨大用川普打伊朗的声音
[33:24] 祝我的儿子逆友
[33:25] 3月6号
[33:26] What a wonderful son
[33:28] Happy birthday
[33:29] 赶快健康长高
[33:30] 自己你的读书计划要做到
[33:32] 不要嘴炮
[33:33] Fake news
[33:34] 那是真的有机会可以上第一志愿
[33:37] 加油
[33:37] 拽大全家平安
[33:39] Horse
[33:39] OK Horse
[33:41] 下面一位MM
[33:42] Oh yeah
[33:42] 第一次五星留言
[33:43] 五星梦宫您好
[33:45] 在老公的大力推荐之下
[33:46] 我进入了这个神奇的小天地
[33:48] 而且一听就上瘾
[33:49] 很期待美籍的更新
[33:50] 那感谢您在各领域的无私分享
[33:52] 让我身心灵有提升跟疗愈的效果
[33:55] 3月8号是我老公的生日
[33:56] 可以请您祝他生日快乐吗
[33:58] 超级爱你爱你爱你
[33:59] 老公的名字讲一下吧
[34:01] 我们祝老公生日快乐
[34:03] 下面一位
[34:03] 出国留学却只学会烤蛋糕
[34:06] Crawling back to you
[34:08] 哇那个
[34:09] 他那个
[34:11] 不要在标题放这种歌词
[34:13] 这个节奏就跑出来
[34:15] 孟公my boy
[34:16] 请用川普的嗓音
[34:18] 恭喜A级派出好手宝哥
[34:22] 脱离上下
[34:23] 深情上有片行为
[34:25] 医学助研医师
[34:27] What a wonderful person
[34:28] 可惜不能够在另一亩农村再续前缘
[34:32] 还是恭喜他回到大城市拥抱文明
[34:35] 也顺便请孟公帽集气
[34:37] 六月要挑战预防医学专科考试
[34:40] 没有要上祭品或是发愿啥的
[34:43] 靠实力去硬考死了算了
[34:45] 我喜欢这种决心
[34:46] 他说另外推荐你一个超酷的景点
[34:49] Arizona的Saguaro National Park
[34:52] 里面全都是长得像屌一样
[34:54] 顶天立地的巨人驻仙人掌
[34:57] 综合其他像泰迪熊仙人掌
[35:00] 鱼沟筒仙人掌
[35:01] 绝对是让你这辈子
[35:02] 参访过最多最壮观的
[35:04] 多肉植物大集合
[35:05] 改天去美国参访台积电的时候
[35:07] 可以顺路去开开眼界
[35:08] 最后点一首Arctic Monkeys
[35:10] Do I Wanna Know
[35:12] 一起摇起来
[35:13] 爱你爱你
[35:14] 这个一看就是Arctic Monkeys的铁粉
[35:17] 直接连续炸两个
[35:18] 希望你一切顺利
[35:20] 直接去硬钢也是不错
[35:21] 就相信自己
[35:22] 一切都是可以达成的
[35:24] 下面一位中山北路金枪王
[35:27] 孤单的数钱
[35:28] 小弟37岁双宝爸
[35:30] 老婆全职育儿三年
[35:32] 二宝出生后答应老婆要存到两亿
[35:34] 这些年工作还行
[35:35] 投资报酬也满意
[35:37] 但只要跟老婆分享赚钱进度
[35:38] 她的回应都是升级消费
[35:40] 我们也从乡下搬到市区
[35:42] 渐渐的我不太敢再update进度
[35:44] 偶尔还回家装穷
[35:45] 怕继续升级消费让目标更远
[35:48] 小弟这样心态是否不可取
[35:50] 请巧虎大开示
[35:51] 不是我跟妳讲完全可以理解
[35:53] 我真的可以完全理解这件事情
[35:55] 因为呢
[35:56] 像我太太
[35:57] 她是一个非常节俭的人
[35:58] 她几乎不会跟我讲说什么
[36:00] 她要买什么很贵的东西
[36:02] 名牌包
[36:03] 反正都是很简单的东西
[36:04] 她可能比较奢华的支出
[36:06] 就是真的有花到钱的支出
[36:07] 就是什么
[36:08] 她喜欢穿那个Alo Yoga的衣服
[36:09] 就那个雕品牌
[36:11] 那个logo长得像一根雕的
[36:13] 那她太喜欢穿那个东西
[36:14] 就那也不是什么贵的东西
[36:15] 意思说就是她花比较多钱
[36:17] 就是那个东西
[36:17] 然后其他她真的都没有在花
[36:19] 那可是呢
[36:20] 她会因为
[36:21] 就像说像我们现在
[36:23] 跟数年前比
[36:25] 那一定都是越来越好
[36:26] 那以前可能我们都会觉得说
[36:28] 反正有个地方住就好
[36:29] 其实现在还是会这样觉得
[36:30] 就是我老婆很常会说
[36:32] 我们回去住松江路的套房
[36:34] 她也会很高兴
[36:34] 她觉得那段时间是最美好的时光
[36:36] 可是她就会用
[36:38] 她很喜欢用狗狗
[36:39] 但我觉得她是真心的
[36:41] 我觉得她不是拿狗狗当借口
[36:42] 她就是说
[36:42] 你不觉得狗有一个庭园很好吗
[36:45] 所以一开始我们在找的时候
[36:46] 可能就是找那种
[36:47] OK有一个小庭园的
[36:48] 可是当我可能跟她讲说
[36:50] 我们最近表现还蛮不错
[36:51] 然后大家给她看了一下
[36:52] 他就说那我们可以再看
[36:53] 那个更大的庭园的
[36:55] 然后就会看到什么别墅去了
[36:56] 然后搞不好又再看到
[36:57] 什么自地自建
[36:58] 就很夸张
[36:59] 就是你每次跟他分享
[37:00] 他就会把这个bar越拉越高
[37:02] 好像说
[37:03] 我好像一辈子
[37:04] 没有办法退休的感觉
[37:05] 明明本来不是讲好说
[37:06] 可能我们达到
[37:07] 被动收入怎么样的时候
[37:08] 就可以考虑要退休
[37:09] 虽然我自己没有
[37:10] 真的是很追求要退休
[37:11] 但自己心中
[37:12] 还是不别人这样子想
[37:13] 那我今天把所有东西
[37:14] 丢美债的话
[37:15] 其实我早就可以去退休了
[37:17] 只是不知道
[37:17] 就如果你的小孩
[37:19] 又是妈的
[37:19] 未来要去什么美国念书
[37:20] 他又要幹嘛
[37:21] 他要深造
[37:22] 或是說你老婆要去買一個什麼
[37:23] 超大的別墅要自締自建然後要怎麼樣你就會發現說其實錢永遠都是不夠用的啦就是只要你的物欲是没有hold住的话你的钱真的是永远都是不够用的所以我后来会发现说
[37:34] 财富自由这件事情
[37:35] 它可能不知道有50%
[37:37] 是在那个欲望的控管上面
[37:39] 那欲望控管
[37:40] 如果可以压得够好的话
[37:41] 你不用到超级会赚钱
[37:43] 你就已经自由了
[37:44] 可是如果说你是像
[37:45] 我们这种凡夫俗子
[37:46] 或者说绝大多数一般人
[37:48] 我觉得都是
[37:48] 你今天赚钱了
[37:50] 我对自己好一点不行吗
[37:51] 我花一下这个不行吗
[37:52] 我手游多课一点不行吗
[37:54] 你会发现说
[37:55] 无论你赚多少钱
[37:56] 你都找得到
[37:56] 对应到你的消费
[37:57] 你以前开一台Honda
[37:59] 你觉得说超爽
[38:00] 后面可能
[38:00] 开一台Tesla
[38:01] 觉得超爽
[38:02] 后面觉得说
[38:03] Tesla可能都不够爽
[38:04] 要开一个Florari之类的
[38:05] 所以你无论如何
[38:06] 真的你在各种
[38:07] 特别是像人类的
[38:08] 这种消费世界
[38:09] 也蛮屌的
[38:09] 就是你多有钱
[38:11] 你都找得到
[38:11] 对应到你的消费层的东西
[38:13] 你都是有办法
[38:14] 把你的钱花掉
[38:15] 所以对
[38:16] 如果说你没有办法
[38:17] 控制物欲的话
[38:17] 你会觉得
[38:18] 一辈子都是在追求
[38:20] 而且你甚至不会
[38:21] 因为说你的年薪变多
[38:22] 你钱变多
[38:22] 你感觉到踏实
[38:23] 你甚至还会觉得恐惧
[38:25] 这个你去跟一些那种
[38:26] 就是一样
[38:28] 有已经爬到某些位置的人讲
[38:29] 大家会心有戚戚
[38:30] 但一般人会不相信
[38:32] 傻小
[38:32] 你不是这么有钱的
[38:33] 你不是怎么样的
[38:34] 你怎么可能
[38:35] 没有
[38:35] 他其实他担心的东西
[38:36] 都还跟你一样
[38:37] 真的
[38:37] 所以
[38:38] 我觉得这个最棒的方式
[38:40] 是可以控制物欲
[38:41] 只是说如果说
[38:42] 可能另外一半控制不了的话
[38:43] 那你就
[38:43] 透过这个
[38:45] 有些东西讲少一点
[38:46] 你不要讲太多
[38:46] 稍微保留一点
[38:47] 说不定你的生活就不用这么辛苦了
[38:49] 下面一位
[38:50] Holy雪
[38:51] 安安孟公
