[00:00] 欢迎收听股癌,我是陈梦宫,本集节目由擅存叶黄素赞助
[18:43] 都会带来非常巨额的一个收入
[18:45] 那我们自己有稍微去问一下
[18:46] 产业人士
[18:47] 当然他可能有很多的验证
[18:49] 或是有的没有东西要做
[18:50] 但大家其实觉得说
[18:51] 只要你有办法
[18:52] 一直把配肉设上去的话
[18:54] 那其中的一些技术的难度
[18:56] 包括说散热要怎么样做
[18:57] 那是不是里面要用一些
[18:58] 什么特殊材质的
[18:59] 那些应该都是可以
[19:00] 把它配过去的
[19:01] 就最难的就是
[19:01] 要有办法把它打上去
[19:03] 可是我们知道说SpaceX
[19:04] 它最强的就是把东西打上去
[19:05] 所以既然它可以
[19:07] 很容易的把东西打上去
[19:08] 而且它打得非常顺
[19:09] 它那个来回趟是超级多的话
[19:11] 那你可以想象
[19:12] 如果今天要去卡太空运算的话
[19:14] 那它一定就是第一棒
[19:15] 所以现在可能大家在盯的是
[19:16] 什么Direct to Cell
[19:17] 就是还是去针对地球的
[19:19] 针对地球的网路
[19:20] 针对地球的
[19:21] 什么手机的讯号连接
[19:23] 那些当然都会是公司的一个动能
[19:24] 可是我自己觉得
[19:25] 现在潜在的动能就类似说
[19:27] 我们知道说当然
[19:28] 特斯拉最大的收入
[19:29] 还是他的那个电动车
[19:30] 可是我们总是要看
[19:32] 未来可以去把估值拉起来的东西是什么
[19:34] 那他现在要把未来估值拉起来的东西
[19:35] 可能就是类似像Neo Cloud这样
[19:37] 他是在做一些算力
[19:39] 或是即便他可能不是自己去经营算力
[19:41] 可是他去帮忙把大家的算力打上去
[19:44] 那接着去收费用
[19:45] 那这可能会变成是他的
[19:47] 营收很大的一个来源之一
[19:48] 所以这是自己比较大胆的一个猜想
[19:51] 因为像在过去的话
[19:52] 我自己是没有去投资一些
[19:53] NeoCloud相关的股票
[19:55] 几乎都是没有
[19:56] 那时候跟大家说自己的理由
[19:57] 虽然瞎看
[19:58] 我觉得我当时的判断是有点
[20:00] 怎么讲
[20:01] 就自己想太多
[20:01] 因为我的想法是说
[20:02] 你去买一堆这种高价伺服器
[20:04] 如果后来证实AI
[20:05] 假设发展的是没有这么快
[20:07] 或是有一些意外的话
[20:08] 那其实你还要去扛折旧的风险
[20:11] 那就很恐怖
[20:11] 那其实最后面我们都知道说
[20:12] AI伺服器
[20:13] 它不只是可能折旧的时间
[20:16] 可以比大家想的来得长之外
[20:17] 然后再来就是
[20:18] 你知道它那个算力
[20:19] 还可以在某些特殊的时间点
[20:21] 用量很大的时候
[20:22] 它还在涨价
[20:22] 所以这个算是颠覆自己的想象
[20:24] 但我们有时候是这样
[20:25] 就我们在市场里面
[20:26] 你不可能每个东西都投到
[20:27] 一定有可能
[20:28] 比较看好
[20:29] 或是比较没有这么看好的
[20:30] 以前我去看这些Neo Cloud
[20:31] 我是属于说
[20:32] 比较没有这么看好
[20:33] 可是它今天假如换个包装
[20:34] 变成说它是要去
[20:35] 卫星上面搞这个
[20:37] 我突然间我就觉得
[20:38] 我兴致大开
[20:39] 我对这个东西就是有兴趣的
[20:40] 不管是你是负责
[20:42] 把这些筹仔放上去的
[20:43] 或者说你是直接在上面去
[20:45] 专营卫星的算力出租
[20:47] 我都觉得是非常的有机会
[20:49] 也不知道马斯克会怎么样包
[20:50] 但总之我觉得这个会是
[20:52] 这一家公司在之后一个很大的话题
[20:55] 这个话题可能
[20:55] 现在聚焦的人还没有到这么多
[20:57] 因为大家可能都是一直在看说
[20:59] 我已经知道说你有这个STARLINK
[21:00] 然后去算这个STARLINK的数字怎么样
[21:02] 但我觉得我还是要往前跳一步
[21:03] 就是我觉得那个应该不是特别的重点
[21:06] 它是一个当然公司的中流砥柱
[21:08] 没错
[21:08] 它是支撑它可以做其他东西的一个主因
[21:10] 但是要去刷估值的话
[21:12] 其实都是需要有一些sexy的东西在
[21:14] 所以可能是在卫星这一块
[21:17] 那再来就是说
[21:17] 如果你要回来看台股的供应链的话
[21:19] 一样就是大家一定会跟人家讲说
[21:21] 现在做这些东西是多难多不可思议
[21:23] 但是我已经看了好几个
[21:24] 反正就是投资公司严调
[21:26] 然后他们去做的
[21:27] 也不能说是某一种pitching deck
[21:30] 反正总之就是要去
[21:31] 跟公司内部去行销
[21:32] 我们要去投资这些东西
[21:34] 为什么
[21:34] 那我稍微看了一下
[21:35] 我觉得里面看起来一些
[21:37] 所谓的难题
[21:38] 特殊材料
[21:39] 或者说在太空是
[21:41] 就像说你是没有办法去传导热的
[21:43] 要没有空气
[21:44] 所以你要透過什麼輻射什麼
[21:45] 有的沒有協議
[21:46] 還有一些什麼感覺很難的事情
[21:47] 我覺得都會推過去
[21:48] 這個類似說像我們去看
[21:50] 為什麼講說AI讓蠻多人變成是
[21:52] Believer或Dreamer
[21:53] 是以前你去看NVIDIA
[21:55] 那時候他要推GB的時候
[21:56] 就是他要去推Oberon的時候
[21:57] 其實大家都說不可能太難了
[21:59] 你知道你要從HGX的東西
[22:01] 就是本來我們最早看到的
[22:03] HG100那種伺服器
[22:04] 然後變成那種垂直式的一整台
[22:06] 然後它裡面有超多技術問題要解決
[22:08] 只是後來我們就注意到說
[22:09] 真的是人定勝天
[22:11] 大家硬幹大量資本丟下去
[22:12] 真的就是會把它解決
[22:13] 那時候其實在產線上很多朋友講說
[22:15] 不可能啦一定delay啦
[22:17] 良率比狗還爛啊什麼的
[22:18] 最後面都是硬尻尻過
[22:20] 甚至是當然就不方便直接講是哪一塊料
[22:22] 反正有一些東西
[22:23] 那時候是說什麼插拔一陣子就會壞掉
[22:25] 所以它過不了可靠驗證
[22:27] 後面怎麼樣
[22:28] 我就不要插拔這麼多次就好
[22:29] 因為像是說偷偷放點水就是讓你過了
[22:31] 反正你就不要整件插拔
[22:33] 一直插拔會壞掉
[22:34] 你說你就不要整件插拔
[22:35] 那聽起來是很荒謬沒錯
[22:37] 可是情急了什麼事情都會發生
[22:39] 類似說像我們知道說有一些原件在缺貨
[22:42] 不管是被动元件
[22:43] 或是一些功率元件
[22:44] 可以再涨价
[22:45] 你知道在很缺的时候
[22:47] 其实会发生的情形是
[22:49] 就是以前我们可能
[22:50] 走一个验证要走多久之类的
[22:51] 那什么弹电容
[22:53] 因为这个是一下
[22:54] 市场非常需要的一个东西
[22:55] 可是弹又是一个争议金属
[22:57] 所以就变得
[22:58] 可能就是在供需方面
[22:59] 是已经有些地方会断供
[23:01] 价格上涨更不要提了
[23:02] 可是有什么东西
[23:03] 可以取代弹电容
[23:04] 其实各个厂商
[23:05] 需要精锐进出
[23:06] 不然说像是MLCC
[23:07] 或是用一些铝电容
[23:09] 去做取代
[23:10] 那这些东西
[23:11] 就是在大家的想象是说
[23:12] 他去做验证
[23:13] 他需要很长的一段时间
[23:14] 但那个是成平时期
[23:16] 如果你今天进入到一个
[23:17] 不知道就战斗时期
[23:18] 然后大家都是敢着要去抢
[23:20] 敢着要去推的时候
[23:21] 那其实真的什么东西
[23:22] 都是有可能用资本的力量
[23:23] 快速的把它干过去
[23:24] 这个是有机会发生的
[23:25] 所以我自己对于说
[23:26] 像卫星的这种AI运算
[23:28] 虽然有些人会觉得说
[23:29] 太远了或什么
[23:30] 但我现在是会有兴趣
[23:32] 想要去看它的
[23:33] 所以或许不知道
[23:34] 我们不敢很明确的
[23:35] 讲一些时间走
[23:37] 但搞不好说不定
[23:38] 在可能28的下半
[23:40] 或是29的上半
[23:41] 即便可能根本就
[23:42] 还没有多少东西射出去
[23:43] 或是prototype可能才刚出来之类
[23:45] 当然可能东西都先走一波
[23:47] 因为你知道题材先行
[23:48] 出生段
[23:49] 然后后面可能主生段的时候
[23:50] 就是东西开始真的放量的时候
[23:51] 然后等到大家都相信的时候
[23:52] 就是喷最后一段
[23:53] 所以这个是有机会的
[23:55] 就是说我们去观察
[23:56] 像因为SpaceX要上了
[23:57] 我们过去
[23:58] 像在今年年初
[23:59] 是做蛮多卫星的相关的股票
[24:01] 老实讲
[24:02] 我自己绝大多数都已经是出脱掉
[24:04] 因为现在大家都相信了
[24:05] 我也没有赚到所谓的余尾
[24:07] 可是前面那种很香的余头都有赚到
[24:09] 你在赚余头的时候
[24:10] 还有很多人出来diss你
[24:11] 说你在那边炒股票
[24:12] 说你不懂
[24:13] 那你看你们现在就去买
[24:14] 那种很贵的东西
[24:15] 因为有时候真的就是走在前面
[24:17] 先相信你的人
[24:17] 你会吃到那一段的Premium
[24:19] 那当然有些人会选择蹲到最后一刻
[24:21] 他们现在可能去压住一些卫星的东西
[24:23] 然后他就要等到SpaceX上的时候
[24:25] 然后看会推到哪
[24:26] 那都是有机会的
[24:27] 只是怎么说
[24:28] 有时候我们会去抓自己懂的那一段
[24:30] 那现在对我来讲
[24:31] 就是虽然我们现在看这些卫星的AI
[24:33] 感觉是他妈超级远
[24:34] 可是这个算是我会看的东西
[24:35] 就是我对于那种题材想象力的东西
[24:37] 还蛮可以去接受的
[24:38] 其实像台股也蛮多
[24:40] 在喷题材相关的东西
[24:41] 像是
[24:41] 虽然我们最近都在讲一些
[24:43] 可能偏向是AI
[24:44] 或是零组件
[24:45] 被动元件等等的东西
[24:47] 但其实市场上很多东西都在动
[24:48] 像载板就不要讲了
[24:49] 就是它还是整天在那边喷那一些料件或甚至是像是最近在喷超多机器人的肋骨那机器人的肋骨我自己怎么讲就如果说我今天手上没有现在正在喷
[25:00] 然后狂观处置的
[25:01] 这些有的没有的东西
[25:02] 说不定我也会想要去介入
[25:03] 就是我还蛮能够去接受这些
[25:05] 什么啊你今年的
[25:06] 机器人的营收占比多少
[25:07] 啊2%
[25:08] 然后大家可能挑2%
[25:09] 觉得说
[25:09] 那fucking炒股票狗屎
[25:11] 可是我最喜欢这种东西
[25:12] 因为你明年多少
[25:13] 你明年10%
[25:14] 这样就是五倍的成长
[25:15] 这个我就喜欢
[25:15] 所以现在有蛮多这种
[25:17] 机器人的东西在动
[25:17] 那我相信就是说
[25:19] 机器人这种东西
[25:19] 你都知道说
[25:20] 它并没有要在短期内
[25:21] 去做什么放量
[25:22] 那何况是
[25:24] 就是我们今天去讨论的
[25:26] 这个AI伺服器
[25:27] 它如果是有办法在
[25:29] 可能不知道
[25:30] 就是未来的两到三年内
[25:32] 大家会很专注去推它的话
[25:34] 那这些东西
[25:35] 它有可能它发酵时间点
[25:37] 就会更加提早
[25:38] 所以我的意思说
[25:38] 如果你觉得机器人这个题材
[25:40] 大家都愿意去做它
[25:41] 然后给它这样的一个premium
[25:43] 给它这样的一个乘数估值的话
[25:44] 那其实卫星也不是一个
[25:46] 太远的东西
[25:47] 我们讲的就是
[25:48] 卫星的AI运算
[25:49] 那跟那个前面讲的那种
[25:51] 可能单纯的去设卫星
[25:52] 又有一点不太一样
[25:53] 因为它专注的点是不一样
[25:54] 我们会去注意的是一些
[25:56] 那种特别有在增量的市场
[25:58] 而不是像前面可能
[25:59] 我自己去关注卫星的时候
[26:00] 在算说
[26:01] 就像说它的
[26:02] 就是Starlink的V3或者V4
[26:05] 它的PCBA
[26:06] 或者说它组装Router
[26:07] 然后跟什么Dish
[26:08] 里面用什么东西
[26:09] 那现在可能关注的不是这个
[26:10] 是偏向AI Center
[26:11] 所以虽然一样是卫星
[26:12] 但是可能转向的东西
[26:14] 会不太一样
[26:14] 可能是接下来
[26:15] 自己会想要观察的一个东西
[26:17] 那以目前的市况来讲
[26:19] 我觉得没有什么特别要评论
[26:21] 那像前面有捏住软蛋的
[26:22] 这波就特别爽
[26:23] 那老实讲
[26:24] 我们也不是知道说
[26:25] 这波就是个降盆
[26:26] 真的不知道
[26:26] 所以像你回听
[26:28] 就可能两三集前的节目
[26:29] 我都会直接跟大家讲
[26:30] 那个某程度上都是一种赌啦
[26:31] 就身边朋友
[26:32] 有没有人在捡嘛
[26:33] 还是有
[26:33] 只是绝大多数
[26:34] 因为大家都已经拉出成本太远
[26:35] 所以就不捡了
[26:36] 就是索性给你赌看看
[26:37] 那就赌到了嘛
[26:38] 那赌失败怎么办
[26:39] 赌失败就是说
[26:40] 你会回吐比较多的一个获利
[26:41] 可是都是一個交換
[26:42] 所以我才會講說就是在QA裡面
[26:44] 很多人都喜歡問一個穩贏的
[26:45] 可是你要知道我們每天在做的事情
[26:46] 都是有一點那種毒的成分
[26:48] 我們只盡可能的讓自己
[26:50] 就像說用罐籤的骰子
[26:51] 我的贏面是比較大的
[26:52] 因為我有一些特別的資訊
[26:53] 或者說我有一些分析的能力
[26:55] 所以我不是很傻的在那邊丟骰子
[26:57] 完全靠機率
[26:58] 我會有一些贏面大的地方
[26:59] 那還是會有輸的
[27:00] 只是就是說盡量贏面大就OK啦
[27:02] 所以大概是這樣子
[27:03] 那這部行情我覺得
[27:05] 當然就是大家好好的珍惜
[27:07] 不管是珍惜這個行情
[27:09] 為你帶來的獲利
[27:10] 还说珍惜身边的朋友
[27:11] 因为有些你的同事们
[27:13] 搞不好后面就要离职了
[27:15] 已经有一些
[27:16] 我们自己节目的sponsor
[27:18] 跟我聊天的时候就聊到说
[27:19] 他要离职了
[27:20] 因为他已经是赚够了
[27:22] 其实蛮傻眼的
[27:23] 就这一波真的是
[27:24] 为很多人带来巨大的财富
[27:26] 即便你没有很认真
[27:27] 在那边靠悬滚
[27:28] 你看你光是买个0050
[27:29] 其实一堆人也都是
[27:30] 虚翻了
[27:31] 都超过自己的年薪了
[27:32] 所以知道
[27:33] 未来一段时间
[27:34] 可能是劳方讲话比较大声
[27:35] 比较昂香一点
[27:36] 当然等到下次修正的时候
[27:38] 大家又会把离职信收回来
[27:40] 可以顺利度过这样的行情
[27:41] 然后在这样的行情里面
[27:42] 可以持续的赚到钱
[27:43] 持续的去找寻新的故事
[27:45] 新的题材
[27:46] 那接下来我们进Q的部分
[27:48] 第一位利
[27:49] 感谢孟公
[27:50] 赞参孟公
[27:50] 谢谢被动元件
[27:51] 让我更知道要做功课投资
[27:53] 虽然我没有赚到
[27:54] 那小孟孟年过30了
[27:56] 你还会像青少年一样
[27:58] 有欣喜若狂的激动表现吗
[28:00] 年过30之后
[28:01] 真的好少像年轻时的激情嘶吼
[28:04] 振臂高呼等等的表现
[28:05] 你最近一次高兴到跳起来
[28:07] 是什么时候呢
[28:07] 那最后祝福您平安顺心
[28:09] 恭喜孟公
[28:10] 就是我开头讲的
[28:11] 当我发现说
[28:12] 孩子竟然听得出
[28:13] 每只宝可梦的声音
[28:14] 那个对我来讲
[28:15] 是超级开心的事情
[28:16] 那确实你讲的没有错
[28:17] 就是已经很少有这种
[28:19] 超级嗨的一个时刻
[28:20] 但是我注意到
[28:21] 在运动场上的人
[28:22] 好像就是不管他
[28:23] 今天打到几岁
[28:24] 他是老将
[28:25] 他都还说耶
[28:25] 或什么
[28:26] 所以我觉得要有一些
[28:27] 竞技的东西吧
[28:28] 不是那个
[28:29] taboo那个竞技
[28:30] 就是说就是比赛这种竞技
[28:31] 所以我才会一直觉得说
[28:32] 运动员是一个
[28:33] 很帅的职业
[28:34] 如果小孩可以去走运动员之脚路的话
[28:36] 我觉得是还蛮酷的
[28:37] 对
[28:38] 我觉得可能要去做一些竞技类型的东西
[28:40] 也不能够太静态
[28:41] 如果你说是什么竞技类型的手游
[28:44] 或者是电脑的话
[28:45] 在那边打夹击捉击
[28:47] 我觉得也没有办法很嗨
[28:49] 可能还是要去找一些运动的东西才有机会
[28:52] 确实就是你的心情会越来越平静
[28:54] 一方面可能是因为年纪
[28:56] 另外一方面是我相信大家
[28:58] 就是在生活之中开始遇到各种鸟事之后
[29:01] 会知道说你每次开始讲昂虾的时候
[29:03] 开始想要庆祝
[29:04] 跟大家讲说你股票赚多少钱
[29:06] 开始离职性在那边骂drafting的时候
[29:08] 那后面就是会给你一个天罚
[29:10] 所以甚至是你有一些高兴的东西
[29:12] 你都不敢跟大家讲
[29:13] 你知道讲会惹麻烦
[29:14] 这或许也是你可能比较少庆祝的一个原因吧
[29:17] 那下面一位大人
[29:19] MK我是全雷达王大屌祥平
[29:22] 每次打出全雷达都会听你的节目
[29:24] 那另外想要请教
[29:25] 您两个孩子的名字是自己取的还是算命的呢
[29:28] 孟公爸妈应该有找人帮你算过
[29:29] 姓名学有对上
[29:31] 我是准备迎接儿子诞生的新手吧
[29:34] 那还是MK可以想一个字给我参考参考吗
[29:37] 你脑中闪过的第一个字感谢啦
[29:39] 力量的力吧
[29:42] 虽然这个可能发言名字有点怪怪
[29:43] 可是突然间就想到力量的力
[29:45] 那再讲说是自己取来还是算命的
[29:47] 都是自己取的
[29:48] 诺亚就是因为那时候看有一个德国影集叫做Dark
[29:51] 在Netflix上面非常好看
[29:53] 然后里面的一个一正一邪的角色就叫做诺亚
[29:56] 所以就决定要叫做诺亚
[29:57] 然后很多人都以为说
[29:59] 你们是不是在性教
[30:00] 没有在性交
[30:01] 就是单纯那时候看了这个影集
[30:02] 觉得Noah这个角色非常的帅
[30:04] 所以就叫Noah
[30:05] 中文就叫诺亚
[30:06] 想说就只有一个名字比较简单
[30:08] 那另外一个孩子的话
[30:10] 是因为我们很喜欢Killian Murphy
[30:11] 就是一个演员
[30:12] 真的很帅
[30:13] 就是奥本海默那个主角
[30:14] 那从以前就很喜欢他
[30:15] 所以就觉得说
[30:16] 应该有一个孩子要叫Killian
[30:18] 只是就没有用他的那个Killian
[30:19] 就用另外一个K开头的Killian
[30:22] 那Killian的话就奇安吧
[30:24] 反正就是去找一个谐音字
[30:26] 所以我们的名字都是用比较
[30:28] 甚至可以讲说无脑的方式
[30:30] 没有特别去算
[30:31] 没有特别去规划
[30:32] 就是想到哪一个名字
[30:33] 觉得特别好听
[30:34] 就用哪一个名字
[30:34] 那你说我的名字的话
[30:36] 是我父亲他
[30:38] 小时候有一个经理叫刘孟公
[30:40] 这个刘孟公现在在哪
[30:41] 当然我也不知道
[30:42] 但我爸爸的意思是说
[30:44] 我妈也有讲
[30:45] 反正就说什么
[30:45] 他们有一个经理叫刘孟公
[30:47] 然后这个刘孟公
[30:48] 是一个做事非常负责
[30:49] 然后又有什么很有魅力
[30:50] 反正就是很强大的人
[30:51] 我不知道我觉得很怪
[30:53] 就我自己不会想要
[30:54] 帮我孩子取什么经理的名字
[30:55] 但我爸妈那时候
[30:56] 他们可能也是很用心
[30:57] 他们觉得说这个人不错
[30:58] 类似说像那个Lisa她的名字
[31:00] 是因为她妈妈说
[31:02] 在工作的地方
[31:02] 有一个同事叫做Elizaveta
[31:05] 然后超级漂亮的
[31:06] 所以就直接帮她的女儿取名
[31:08] 叫做Elizaveta
[31:09] 就是Lisa
[31:10] 那我爸妈的逻辑是一样
[31:12] 我爸妈逻辑跟我岳母一样
[31:13] 反正就是在工作里面
[31:14] 看到某些人
[31:15] 然后觉得说她特别酷之类
[31:16] 所以就取这个名字
[31:18] 那你说有没有去算过什么
[31:19] 我就不晓得了
[31:20] 那我们家的话
[31:21] 就是每个人的名字中间
[31:23] 都是一个梦
[31:23] 那个是不是算的
[31:24] 还是说那个是什么拍珠婆
[31:26] 不晓得
[31:26] 但我爸爸也没有跟我讲说
[31:27] 我的孩子要取什么名字
[31:28] 所以我们就是自己
[31:29] 随便取的
[31:30] 想随便取是说
[31:32] 就是靠灵感想出来
[31:33] 也不是说真的乱取
[31:34] 还是有想一下
[31:35] 下面一位
[31:35] Wen Yu Chang
[31:36] 嗨 孟公去卡地
[31:38] 是留言有点紧张
[31:39] 小弟从大约2021年
[31:40] 开始听你的节目
[31:41] 十分感谢孟公陪伴我度过
[31:42] 严闭转领域
[31:44] 硕士毕业
[31:44] 现在已经在念博士了
[31:45] 想说我的东西太多
[31:47] 我已经超过八行
[31:47] 所以只想请孟公用川普和云包
[31:49] 对我说5月9号
[31:50] 生日快乐
[31:51] 我的nice guy this is
[31:53] 最大的指引是
[32:23] 在那边乱叫
[32:23] 我是不是真的有病
[32:25] 我老婆会说有病
[32:26] 但后来就发现说
[32:27] 很多人也喜欢乱叫啊
[32:28] 甚至是在路上又要停车
[32:29] 他说
[32:30] bro我跟你一样
[32:31] 还好你有讲出来
[32:32] 不然我都以为说
[32:33] 妈我被世界淘汰了
[32:34] 所以可能真的有蛮多人
[32:36] 跟我们一样
[32:36] 就是他注意力
[32:37] 比较没有办法去集中了
[32:38] 那很容易三心二意啊
[32:40] 或者说就三分钟热度
[32:42] 东西玩完就腻了
[32:43] 对我来说
[32:44] 我现在的心态
[32:45] 是有比较倾向
[32:46] 我就是心难的去接受
[32:47] 自己是这样子的人
[32:48] 以前会稍微的
[32:50] 就在节目里会抱怨
[32:51] 可能不知道几百集钱
[32:52] 就有时候会听到
[32:53] 我可能稍微的murmur
[32:54] 然后说妈我也很讨厌
[32:55] 我自己这样
[32:55] 就是一个东西
[32:56] 可能投入了一堆
[32:57] 然后最后面就烂尾
[32:58] 那没有办法
[32:59] 最后面就知道说
[33:00] 个性是这样
[33:00] 所以就心难接受
[33:01] 那怎么讲
[33:03] 可能有时候也会想要
[33:04] 去做一些
[33:05] 怎么讲
[33:06] 就是去把这个
[33:07] 快乐稍微递给那些东西
[33:09] 因为我当然知道
[33:10] 像有些听众会说
[33:11] 或许就是因为你整天直上
[33:12] 所以你导致
[33:14] 自己可能破完了
[33:15] 就不喜欢了
[33:16] 我觉得也不是
[33:17] 我认为不是
[33:18] 就是你叫我那边慢慢玩
[33:20] 弄上去
[33:20] 我不会比较快乐
[33:22] 甚至我会更早退坑
[33:23] 所以直接去攻点的话
[33:25] 就像说我就知道是什么了
[33:26] 那有些东西可能有机会留下
[33:28] 有些东西会退坑
[33:29] 但是你总归来说
[33:31] 你是学到了一个新的才艺
[33:32] 或是有玩到新的东西
[33:33] 好像现在对我来讲
[33:34] 大家都知道说
[33:35] 我家最新的兴趣就是搞红酒
[33:36] 那红酒我在前几天已经破关了
[33:39] 所以破关是什么意思
[33:40] 就是台面上大家在吹的
[33:42] 所有东西我全部都走一轮
[33:43] 那老实讲
[33:44] 我真的发现它有意思之所在
[33:46] 就是我不会用那种
[33:47] 很戏虐的角度讲说
[33:48] 我喝过我就没有什么
[33:49] 或者说故意
[33:50] 你知道我现在
[33:51] 为了要展现出自己多亮
[33:52] 那有两种极端的人
[33:53] 一种觉得故意都吹最厉害的东西
[33:55] 好像自己很了不起
[33:56] 另外一种就是
[33:57] 故意把很厉害的东西踩在脚下
[33:58] 好像说自己很懂
[33:59] 那我觉得不是
[34:00] 我觉得就是每个东西
[34:01] 都有它存在的必要性
[34:03] 这个社会是多元的
[34:04] 兴趣是多元的
[34:05] 喜好也是多元的
[34:06] 那甚至有时候是
[34:07] 就像说你在很难过的时候
[34:09] 你就是想要再去听更难过的歌
[34:10] 把自己逼上死路那种感觉
[34:12] 超爽
[34:12] 就听Radiohead的
[34:13] 什么motion picture soundtrack
[34:15] 超喜欢
[34:16] 那有时候很高兴的时候
[34:18] 你就会想去听什么快乐歌
[34:19] 所以一样的道理
[34:20] 就是你为什么要把自己锁死
[34:21] 你会喜欢各式各样的东西
[34:22] 所以对我来讲
[34:23] 我觉得我太太有一点讲错
[34:26] 就是对确实在可能三个月后
[34:27] 你会注意到
[34:28] 我就不会整天在那边干红酒
[34:29] 因为我已经破关了
[34:30] 我大概知道在干嘛了
[34:31] 可是它变成是我的一个小兴趣
[34:33] 就稍微的去浅品一下
[34:34] 像现在可能一品我喝三天
[34:36] 那也注意到说
[34:37] 喝三天它的味道会不一样
[34:39] 很有趣
[34:39] 可能第一天味道是这样
[34:40] 第二天又变来
[34:41] 第三天哇给你一个惊喜
[34:42] 所以我发现说
[34:44] 细细的去品味这些东西
[34:46] 对我来讲是很快乐的
[34:47] 我甚至最近有一个想法
[34:49] 我就超乖
[34:49] 但你听看看
[34:50] 我现在早上会跑去7-11买咖啡
[34:53] 以前我都家里自己有交囊咖啡
[34:54] 或者我自己泡什么
[34:55] 然后现在会去7-11
[34:56] 就只因为我觉得早上出去走一走
[34:58] 心情蛮好的
[34:58] 因为以前我都整天躲在家里
[35:00] 然后大家觉得出去走一下蛮好
[35:01] 然后我开始注意到说
[35:03] 我把饮料拿在我手上的时候
[35:05] 我把吸管打开
[35:06] 以前对我来讲
[35:07] 这是一个反射动作
[35:08] 就是吸管就直接怎么样
[35:10] 抓着然后往身体上吐个两下出来
[35:11] 然后直接咬一口
[35:12] 然后啪那样去
[35:13] 我现在我刻意的把每个事情
[35:15] 都放慢
[35:16] 我吸管我把它拆开
[35:18] 我尽量试着把它拆得漂亮
[35:20] 我尽量试着在插进去的时候
[35:22] 插在正中心或什么的
[35:23] 我尽量试着把生活中的
[35:25] 每一个细节去做好
[35:27] 我尽量试着像教练跟我讲的
[35:29] 你要学会用你的宽发力
[35:31] 所以我在做一些事情的时候
[35:32] 我都去注意我的宽
[35:33] 我发现我把注意力
[35:34] 放在一些小事情上面的时候
[35:36] 我的生活变得相对的充实
[35:39] 虽然你一定想说
[35:40] 你在公差小
[35:41] 我在问你兴趣的东西
[35:41] 你给我扯这个
[35:42] 但这是我一个最近很深的体会
[35:45] 就像是可能以前对我来讲
[35:46] 红酒或是什么其他有没有东西
[35:48] 我就是快速的扫一轮
[35:50] 我破关我就跳了
[35:51] 我就不想玩了
[35:52] 手游克金克爆
[35:53] 然后OK我可以把你虐烂
[35:54] 那我就不想玩了
[35:56] 可是如果你去注意一些小细节的话
[35:58] 你会发现一些不一样的东西
[35:59] 你会觉得
[36:00] 不知道就
[36:01] 我明天可不可以把吸管插得更准一点
[36:03] 还是我明天撕的时候
[36:04] 可以撕得超级完美之类的
[36:06] 它会让你生活的体验
[36:07] 你往这个方向去撕
[36:08] 这是我最近的发现
[36:09] 就我最近发现说
[36:10] 甚至是
[36:11] 以前你可能尿完尿洗手
[36:13] 男生怎么样洗洗
[36:14] 然后马上摸衣服
[36:15] 你试着慢慢洗
[36:16] 然后洗完之后
[36:17] 把手慢慢甩干
[36:19] 然后接着再走出去
[36:20] 你就把一些东西都慢下来
[36:22] 你试着去深呼吸
[36:24] 然后吐气
[36:27] 你会发现一些不一样的东西
[36:30] 这我最近的小发现
[36:31] 我也还在探索
[36:32] 我希望我找到全帽之后
[36:33] 再跟大家分享
[36:34] 可是因为你现在一问
[36:35] 你就掉出来
[36:36] 我讲这个东西
[36:36] 下面我也跳跳奶头
[36:38] 可以不要下面借一个
[36:39] 跳跳奶头
[36:39] 什么狗屎ID
[36:41] 大家最喜欢的笑话魔术师又来了
[36:43] 因为上次大家很喜欢红色油漆的小孩
[36:45] 并没有
[36:45] 这边再分享一个新笑话
[36:48] 什么东西蓝蓝的
[36:49] 闻起来像是红色油漆
[36:50] 答案是蓝色油漆
[36:52] 哈有猜到吗
[36:53] 这是为什么我支持那种人道毁灭
[36:56] 有些人应该被人道毁灭
[36:58] 那下面位
[36:58] 我是大概从2020年中开始收听的地方爸爸
[37:04] 在收听一年多小赚一些钱之后
[37:05] 觉得自己是个万中选一的股市好手
[37:07] 在2022年初信贷100万台币
[37:09] 换了美金33,000左右
[37:11] 汇入first trade
[37:11] 开始我自以为高手的融资账户
[37:14] 本金买完当时的制服股之后
[37:15] 在我认为是低点就杠杆
[37:17] 干进去TQQQ然后美股就杀到我的融资撑不住回补后隔天反弹那就这样一直到2022年底我觉得美股没救了改买SQQQSurprise motherfucker就开始上涨一样杀到我刚好回补才开始跌
[37:29] 这个账户就这样被我玩到最低剩下5000多美金
[37:31] 但因为这样子让我认清
[37:33] 我就是个普通人
[37:34] 不可能摸头抄底
[37:35] 从2020年底开始
[37:36] 融资的使用方式就改成
[37:37] 遇到大家都在骂的时候
[37:39] 就买入一点制服股
[37:40] 不带杠杆性质
[37:41] 大家在吹捧的时候就卖掉一点点
[37:43] 到昨天账户又回到了33,000美金
[37:45] 我又把这个账户的融资全还掉了
[37:46] 这几年First Trade收到的融资利息
[37:49] 应该有1万美金了吧
[37:50] 那孟宫区卡也有提醒过大家
[37:51] 不要忽略这种高利率的融资影响
