[00:00] 欢迎收听谷爱,我是鲜梦宫,本集节目由NordVPN赞助
[19:03] 像是可能Marvell
[19:04] 或者是Lchip
[19:05] 或者是MTK
[19:06] 各种什么NVLink Fusion的活动
[19:08] 帮你们做在一起
[19:09] 即便可能不一定有财务上的一个投资
[19:11] 但我觉得那个财务
[19:12] 只是一个差奇的意涵
[19:13] 他并没有办法真正获得什么控制权制
[19:15] 他只是拿出诚意
[19:17] 放一个钱金在那边
[19:18] 希望你在后面的一些设计方面
[19:20] 如果说客户需要的话
[19:21] 可以把我们的东西整合进去
[19:23] 我是觉得说反正就是拉这几个小资的
[19:26] 最主要的目标是要去打大资的
[19:28] 就是要去针对Broadcom这样
[19:30] 所以后续会怎么样的发展
[19:33] 这还要再观察
[19:34] 我们没有办法在现在就知道会是怎么样
[19:36] 即便说可能NVIDIA的相关Horac
[19:39] 或者说AI的工厂solution
[19:40] 它会某个程度上的去分拾掉
[19:43] Broadcom本来可能可以获得的市场
[19:46] 那这边呢
[19:47] 一样就是这样
[19:47] 不要去把市场想象成说
[19:50] 是一个红海
[19:51] 如果今天已经是一个红海市场的话
[19:52] 那也没有什么好讨论的
[19:53] 市场还是一个蓝海
[19:55] 所以呢
[19:55] 就即便可能Brakon
[19:56] 他假设在NVIDIA
[19:58] 没有去做这么多
[19:59] 有的没有的尝试之前
[20:01] 他可以拿到的饼
[20:02] 是一个拳头这么大个
[20:04] 那现在你会直觉说
[20:05] 那这个拳头就被吃掉
[20:06] 两个手指了这样
[20:07] 可是不是
[20:07] 因为拳头可以变得更大一个
[20:09] 就是整个饼是可以变得更大
[20:11] 所以就算被人家分走一大块
[20:12] 还是比本来的饼大很多
[20:14] 还是会维持一个
[20:15] 非常漂亮的成长性
[20:16] 这跟我们前面在讨论
[20:17] 就像大家可能会看到说
[20:19] AI的模型互相竞争
[20:20] 你看到这个ChatGPT的share
[20:23] 已经没有这么高
[20:24] 但它的share虽然没有这么高
[20:25] 可是它的总用户
[20:26] 它的整个金流代价
[20:28] 还是数字都还是越来越大的
[20:29] 所以我认为说
[20:30] 它不是一个特别需要去担心的东西
[20:32] 就把它视为是
[20:33] NVIDIA要更进一步的去插旗ASIC市场
[20:36] 即便它不是去提供ASIC的本身
[20:39] 但你ASIC要用到的所有的东西
[20:41] 其他外围的连接CPU
[20:43] 那或是Hole Reg的一些solution什么
[20:45] 他全都有
[20:46] 他全都包了
[20:47] 那所以在这样的状况之下呢
[20:49] 就可以去想象说
[20:50] 那可能不知道
[20:51] 下一次的电话会议
[20:52] 可以看Huck会嘴什么
[20:53] 我就蛮期待会看到一些分析师
[20:55] 问他这个问题
[20:56] 然后一定会被他喷
[20:57] 一定会被他喷一顿
[20:58] 那我们再看他会怎么样来做回答
[21:00] 我们才会知道说
[21:01] 这些高层们是怎么样看待这件事情
[21:04] 但站在我们自己的角度来说的话
[21:06] 特别是今天假设你是Marvel的股东
[21:08] 我是觉得这个东西
[21:10] 它其实不太算是一个极大的力度
[21:13] 我会觉得它不是一个极大的力度
[21:15] 它只是一个比较偏向宣誓意味的东西
[21:17] 然后特别是家的Jim Kramer又跟你讲说
[21:19] 他要all in Marvell
[21:20] 所以我自己是觉得搞不好
[21:22] 渣男这一次还是会伤大家的心
[21:24] 有可能但反正就well see
[21:25] 再稍微的观察一下
[21:27] 那目前在台股呢
[21:29] 上集有跟大家聊到玻璃相关的一个题材
[21:31] 那最后面是去找身边的朋友都check一下
[21:34] 因为其实我就说市场的反应真的超级快
[21:36] 很多人会动很快
[21:37] 那所以大家也都在调查这个东西
[21:39] 那最后面的结论还是跟我们上集所提到的是一样的
[21:42] 也就是说它可能接下来的
[21:44] 一年半到两年
[21:46] 才有机会会开始去做放量
[21:47] 如果设备是提早去做拉货的话
[21:50] 那等到认定营收
[21:51] 也是要在可能半年以后之内
[21:52] 所以简单讲就是说
[21:53] 它是一个比较偏向未来的题材
[21:55] 可是当然你今天回头看CPU
[21:57] 也是那时候根本就还看不到
[21:58] 半个营收跟获利的时候
[21:59] 就提早拉上去
[22:00] 所以当然不排除也是
[22:02] 有可能往这个方向去做发展
[22:04] 那接下来的话
[22:06] 我觉得在美股这边
[22:07] 要关注的一个重点就是
[22:08] 因为现在只能够把它视为是一个
[22:10] 就是整个盘已经走空了
[22:12] 那走空之后的反弹
[22:13] 那反弹之后呢
[22:14] 如果在接下来油价再持续的维持一个高档
[22:18] 那如果说这个反弹没有到非常的强劲
[22:21] 开始去走横
[22:22] 然后接着有一些均线下来
[22:23] 又把它打下去的话
[22:25] 那个打下去的瞬间
[22:26] 那我还是会去期待说
[22:27] 就是有可能再来一波大的
[22:29] 那只是到底这一波大的会不会来
[22:31] 我们不知道
[22:31] 那我的习惯是我不会去什么空手去等待
[22:34] 没有反正我都会用部位的
[22:36] 这个可能不到六到八成到十成之类
[22:39] 去做一个调整
[22:40] 所以当我今天可能觉得稍微危险的时候
[22:42] 我就会去简单的降一点部位
[22:44] 那这个并不是要去展示说
[22:47] 你看你可以闪掉一些崩或什么的
[22:49] 不是那只是
[22:49] 你总是会有新的东西卖
[22:52] 好像以这一波的台股轮动来讲
[22:54] 前面非常强的一些族群
[22:55] 我们就不去点名是哪些族群
[22:57] 那些族群可能在这一波的回挡
[23:00] 然后下反弹之后
[23:01] 你就发现说
[23:01] 他好像没有弹这么高了
[23:03] 就是他前面已经做了一个投出来了
[23:05] 那有些族群是他反弹回去
[23:07] 他已经快要接近新高
[23:08] 或甚至是直接到新高的位置去
[23:10] 其实某个程度上就是新一波的一个肋骨轮动
[23:14] 台股这波我觉得稍微的比较可惜的一点是
[23:17] 它并没有在今天再杀一根
[23:20] 我觉得如果今天再杀一根的话
[23:22] 那应该筹码就非常的干净
[23:23] 就是你可以很安心的做多
[23:25] 那只是就只有在昨天
[23:27] 我们看到说融资也跑了100多亿
[23:29] 那其实跑蛮多的
[23:30] 只是说没有看到一些可能像什么期货的断头潮
[23:33] 或者说融资有些人要被迫砍仓之类的
[23:36] 那身边的营业员讲说只有那种最高的地方
[23:38] 有被要求要稍微的补缴一下
[23:41] 所以并没有看到一个
[23:42] 那种全面恐慌大逃杀的一个情形
[23:43] 但这个其实你不用太过于的
[23:46] 去期待它会发生
[23:47] 这有点类似说
[23:48] 台积电掉回300我就买
[23:50] 要不是掉回300的几率是极低
[23:52] 那难不成没有掉回300
[23:53] 你就不买了吗
[23:54] 所以一样的道理
[23:55] 就是我们在
[23:56] 接下来看待的一个重点是
[23:58] 我们希望最好的剧本
[23:59] 其实是就前面会看说
[24:01] 这个龙十字块要爆的时候
[24:02] 你就干脆一次爆一爆
[24:03] 那你爆干净之后
[24:04] 大家都可以安心做多
[24:05] 可是如果没有爆开的话
[24:07] 那就代表说
[24:07] OK那还是有很多资金堆在那边
[24:09] 那就要去注意一下
[24:10] 你的肋骨有没有在这一波的转换
[24:13] 有去转强
[24:14] 这可能是还蛮重要的一件事情
[24:15] 所以还是以这个族群性的角度去做看待
[24:18] 那目前台股市场整体还是强于美股
[24:21] 那美股的话
[24:21] 我觉得可能就是等到战争稍微的告一段落之后
[24:25] 所以告一段落不是说打完
[24:26] 就甚至只是继续慢慢的打也OK
[24:30] 他只要顿化就好
[24:31] 就他不要说什么
[24:32] 一直有更新更大的东西跑出来
[24:34] 就像说他前面先跑去炸了一些什么
[24:36] 提炼设施
[24:38] 它第一次炸的时候
[24:39] 市场会反应
[24:40] 第二次炸就反应一点点
[24:41] 然后后面再一直炸
[24:42] 其实就不会反应了
[24:43] 就类似说
[24:44] 其实乌鲁到现在都还在打
[24:45] 可是你看有谁会跟你讨论乌鲁战争
[24:47] 不重要了
[24:47] 真的不重要
[24:48] 它还是有造成一些供应链
[24:49] 可是不重要了
[24:51] 因为其实其他地方也会增产
[24:52] 那样的道理就是说
[24:54] 目前我们在沪木斯海峡
[24:55] 所看到的一个情形
[24:56] 就算它后面还是
[24:58] 持续维持现在的规模
[24:59] 还是整天在那边炸
[25:01] 还是有人会被斩首
[25:02] 还是什么有的没有的
[25:03] 但它只要没有去扩大情势的话
[25:05] 那我们都会把它视为说
[25:06] 市场的情绪会慢慢的消化掉
[25:08] 所以就算油价维持在高档
[25:10] 只要不要再突破新高就没问题
[25:12] 那如果说有再突破新高的话
[25:13] 那就还是会维持一个相对保守的心态去做面对所以希望在接下来的这个廉价大家都可以顺利的度过还是要讲重点就是理论上你就是在市场里面持有越久是越好了
[25:25] 所以尽量不要想要整天去闪崩或什么的
[25:27] 因为你很难闪
[25:28] 就已经闪掉一个
[25:29] 你不一定闪掉每一个
[25:30] 其实就会发现说
[25:32] 部位没有买回来是最亏的
[25:33] 就是你闪掉的崩
[25:35] 可能看起来是不知道
[25:35] 十二十趴的一个拉回
[25:37] 可是你买不回来的话
[25:38] 那东西是可能往上的话是无限制的
[25:40] 五十趴一百趴都是有机会
[25:42] 所以像前一波的一个沙盘
[25:44] 那时候我自己就跑进去
[25:46] 捞了一些光通
[25:46] 那时候买也觉得很恐怖
[25:48] 都在跌停
[25:48] 到底发生什么事
[25:49] 就一转头
[25:50] 50% 60%
[25:51] 还有100%的东西都出现了
[25:53] 所以一样的道理
[25:54] 就是每次的修正
[25:55] 其实某个程度上
[25:56] 都是让你买进的机会
[25:57] 只是要怎么样去控好自己的部位
[26:00] 是一个很大的修炼
[26:01] 不然像我自己买太多
[26:02] 就会思考说
[26:03] 是不是今天的网球不能去打
[26:05] 早上我怎么可以打网球
[26:06] 我不会太大了
[26:07] 我会怕或什么的
[26:08] 虽然可能在某些角度会觉得说
[26:10] 你今天那个
[26:11] 就算给你两根蝶蹄
[26:12] 你其实生活
[26:13] 也没有什么太大的影响
[26:14] 但不一样
[26:15] 就心态上是过不去的
[26:16] 很多时候在心态上
[26:17] 卡住的话
[26:18] 你就会去做出一些
[26:19] 不理性的判断
[26:20] 其实最怕的就是
[26:21] 这个不理性的判断
[26:22] 然后跟情绪化的一些操盘
[26:23] 那就会变得比较严重一点
[26:25] 所以其实我近期
[26:26] 也在开始向一些
[26:27] 身边的朋友看齐
[26:28] 因为我们身边的朋友
[26:29] 他们是没有在看盘的
[26:30] 他即便是可能跟
[26:31] 所谓的交易圈的人
[26:33] 也都很涉入
[26:34] 会开会
[26:35] 会去聊什么的
[26:36] 可是他们是不看盘的
[26:37] 其实我是希望说
[26:38] 有一天可以变得跟他们一样
[26:39] 虽然我的兴趣是看盘
[26:40] 但就是不要看那么多
[26:41] 不需要这么多荧幕
[26:42] 这个可能就觉得是一个蛮帅的事情
[26:44] 所以心态面这边
[26:46] 也是要去做一些调整
[26:48] 其实还是要随时去做好
[26:49] 波动还是会放大的一个准备
[26:52] 直到这个波动率死绝
[26:53] 波动率怎么看死绝
[26:54] 你去Lavix图表
[26:55] 一定就自己就看得出来
[26:56] 波动率死绝的话
[26:57] 就不用去维持这么高的一个警戒状态
[27:00] 只是现阶段
[27:01] 虽然你看到一个反弹
[27:02] 可能很多人又直接转乐观
[27:03] 这时候我就觉得很讽刺很矛盾
[27:05] 那前面在跌的时候
[27:06] 你那时候说
[27:07] 要买东西
[27:08] 还是要持续的关注市场
[27:09] 不要不要不要
[27:11] 都不要买
[27:11] 然后下涨的时候
[27:12] 每个人要要要
[27:12] 拼命追死命追
[27:13] 所以当然
[27:14] 这个是一个动能的做法
[27:16] 一定有人可以把动能的做法
[27:17] 做得很好
[27:18] 只是一般都不是那种散户
[27:20] 散户要把动能的做法做好
[27:22] 很多时候
[27:22] 他要先经历过
[27:23] 很多的追涨杀跌
[27:25] 然后发现
[27:26] 不知道自己在干嘛之后
[27:27] 才慢慢的掌握到一些诀窍
[27:28] 大概是这样
[27:28] 好那接下来我们来进入Q的部分
[27:30] 地位马桶上的543
[27:32] 我觉得双子座的总统
[27:34] 比双子座女人更难懂
[27:35] 那请问主委
[27:36] 从小到大最难忘的美梦跟噩梦
[27:39] 分别是什么
[27:39] 那另外想请教
[27:41] NVIDIA与Marvel结盟
[27:42] 有些人说是Marvel的retimer
[27:44] 跟memory pooling的解放
[27:46] 会影响到NVIDIA Fusion的联盟小弟
[27:48] SCR Labs的产品需求
[27:50] 但我理解是SCR Labs
[27:51] 主攻CSP的混合资料中心
[27:53] 影响应该是有限
[27:54] 那另外说到memory pooling
[27:56] 是否会在记忆体强大放异彩
[27:59] 那主委怎么看
[28:00] 这块的实际冲击跟未来定位
[28:03] 这个兄弟一看就是非常专业的人士
[28:07] 那我不确定
[28:08] 我会把这个问题回答的好到尽量
[28:10] 那首先呢
[28:11] 先讲说最难忘的美梦跟噩梦是什么
[28:14] 现在好像没有什么噩梦了
[28:17] 就可能有一段时间会一直梦到
[28:20] 我那时候当兵跳伞的时候
[28:21] 掉到水沟里面
[28:22] 因为那时候他们跟我讲说
[28:23] 掉到水沟是有机会溺死的
[28:25] 结果第一次跳伞
[28:26] 我他妈就直接插到水沟里面
[28:27] 然后后来就全身都臭泥的
[28:29] 坐上运兵车回去
[28:31] 那所以那时候是蛮担心
[28:32] 就自己会不会死掉
[28:33] 我记得掉下去的时候
[28:34] 是很恐慌
[28:34] 然后赶快坐起来撑起来
[28:36] 然后还有发现说
[28:37] 那个针其实并没有很深
[28:39] 然后后来就没死了
[28:41] 那美梦的话
[28:41] 没有什么美梦
[28:43] 不太会去想什么
[28:44] 过去有什么很好的事情
[28:45] 然后不停地回味之类的
[28:46] 比较没有这样的事情
[28:47] 然后再来讲说
[28:48] 这个结盟是不是
[28:49] 对SDR Labs的产品需求
[28:50] 会造成问题
[28:51] 我跟您讲
[28:51] 现在就是每个东西
[28:52] 都会跑去打SDR Labs跟Cradle
[28:54] 就是大家就是想到
[28:55] 都觉得要去踹这两个一脚
[28:56] 因为这两个东西
[28:57] 算是前面高速传输
[28:59] 最夯的标的
[29:00] 那其实包含像我自己的话
[29:02] 我到现在都还是有
[29:03] A-Lab的一个持股
[29:04] 那所以呢
[29:05] 他们就有点像说
[29:05] 现在是落难中
[29:06] 所以什么东西
[29:07] 就可以拿来讲他
[29:08] 但实际上
[29:09] 严格上来说的话
[29:11] 他们并不是打在
[29:12] 同一个赛道上面
[29:14] 如果你今天讲说
[29:15] 在GPU的Inference
[29:16] KB Cache不够
[29:17] 然后需要去CTI
[29:18] 或冲到可能HBNY的
[29:20] 记忆体的话
[29:20] 那这边其实是
[29:22] 两个不同层级
[29:23] 他们都可以去做一个共存
[29:25] 一个是Marvel的SharkTera
[29:26] 然后另外一个是
[29:27] Asteria Labs的Leo
[29:28] 一个是host side
[29:30] 一个是GPU side
[29:31] 所以他们应该说
[29:32] 不同层级之间
[29:33] 可以去做一个共生
[29:34] 那再来如果是在讲说
[29:36] memory pooling across VMS的话
[29:38] 那它可能就是会有
[29:40] Aster Labs的利偶
[29:41] 会是一个比较受惠的东西
[29:43] Marvel的话
[29:43] 我们应该是在这个环节
[29:45] 是比较没有看到什么东西
[29:46] 那如果今天是在
[29:47] NVIDIA Fusion的机架内
[29:49] 记忆体一致性的话
[29:50] 那应该就是Marvel的
[29:52] Structura这个东西
[29:53] 因为他们也是跟NVIDIA的
[29:55] 生态信息去做绑定
[29:56] 那如果你是想说
[29:57] 更长期的CXL 3.0以上
[29:59] 什么REX scale fabric的话
[30:01] 大家都是有份
[30:03] 所以就回到像我前面讲的
[30:04] 你说今天NVIDIA
[30:06] 去透过这个投资跟战略合作
[30:09] 那要去抢博通的市场
[30:10] 就代表说博通要去死吗
[30:11] 没有因为市场够大
[30:13] 大家都可以一起在里面去吃饱
[30:15] 所以我觉得你的判断
[30:17] 大致上是OK的
[30:18] 就是主攻CSP的混合资料中心
[30:21] 影响有限
[30:22] 这个应该是没有什么太大问题的
[30:24] 然后再来前面讲说
[30:26] 是不是会影响到他的需求
[30:27] 我觉得是不会
[30:29] 所以简单来讲
[30:30] 就是在过去一阵子
[30:31] 反正Astralab
[30:32] 就是一个仍然喊打的角色
[30:34] 其实在市场里面
[30:35] 一段时间就会有
[30:36] 这样子的标的产生
[30:37] 我们也不是说
[30:37] 怎么投铁硬要去跟市场对坐
[30:39] 因为这方面我也理解
[30:40] 市场现在就是要光通
[30:41] 所以跑去买光就真的很舒服
[30:43] 估值可以无限上修
[30:45] 反而是跟传统的传输
[30:47] 相关的东西一直被压缩
[30:49] 可是实际上我觉得
[30:50] 等到后来市场的环境去改变之后
[30:52] 市场的一些论述
[30:53] 也会跟着去改变
[30:54] 只是有时候
[30:54] 就是你要不要在里面去扛
[30:56] 这样的一个压力
[30:57] 或者说你就全都要
[30:58] 像我自己的话
[30:59] 反正光也去做配置
[31:01] 你甚至会发现说
[31:02] 就是你去配的时候
[31:03] 涨多的东西
[31:05] 他都可以去抵消
[31:06] 那些目前表现是
[31:07] 比较不好的underdog
[31:08] 那资金也要放到
[31:09] 更有效率的方向去
[31:10] 可是你说是不是
[31:11] 会直接去吃掉它
[31:12] 因为这样的东西
[31:13] 我在过去听太多了
[31:14] 那我觉得应该
[31:15] 不是这样的一个情形
[31:17] 下面一位
[31:18] Jack Lee
[31:19] 梦宫Chika
[31:20] 之前好像有个叫
[31:21] Jackie Lee的朋友
[31:22] 来留言经常被念
[31:23] combo那一种
[31:24] 名字又跟我很像
[31:25] 老婆还问说是不是我
[31:26] 想问是不是已经不用CD了
[31:28] 那另外想看着小孩长大
[31:30] 这件事情实在是有感
[31:31] 前几天梦到自己杀了一个人
[31:33] 挂号真的是梦
[31:33] 不用报警
[31:34] 要入狱服刑超过十年
[31:36] 尚在还未梦醒的那个真实感理
[31:40] 那想到没有办法陪着女儿长大
[31:41] 胸口就像是卡了一块石头一样
[31:43] 无法形容的悲痛
[31:44] 好险是梦
[31:45] 那各位捏软弟兄们
[31:47] 千万不要杀人知道吗
[31:48] 还没有捏的也不要
[31:49] 那祝梦宫大与大家身体健健康康平安
[31:54] 这位兄弟
[31:55] 他讲的梦境也是我会梦到的
[31:57] 所以呼应上一位
[31:58] 马桶上的五四三所提到
[32:00] 就是有什么噩梦
[32:00] 这个梦我也会梦到
[32:01] 我会梦到说
[32:02] 有时候做一些坏事
[32:03] 然后被抓去管
[32:04] 然后没有办法看到小孩
[32:05] 所以还是说
[32:06] 这是每个爸爸都会梦到的
[32:07] 一个共同的梦
[32:09] 因为这我确实也会梦到
[32:10] 然后就会吓到
[32:10] 所以仔细想
[32:11] 那个比当兵的
[32:12] 掉到水沟里面更加的恐怖
[32:14] 那对
[32:15] 就希望大家都不要做坏事
[32:16] 不要失去自由
[32:17] 这是非常恐怖的事情
[32:18] 下面一位
[32:19] Charles Hsu Chen
[32:20] 嗨
[32:21] 孟公听周董的女儿殿下了吗
[32:23] 歌词跟他女儿的声音
[32:24] 真的是有够可爱
[32:25] 相信为人父应该能够感同身受
[32:27] 忘记了你还没有女儿
[32:29] 希望孟公记得这个留言
[32:31] 因为多年后
[32:31] 我们会在同一个饭局上见面
[32:33] 到时候就用这个留言当作暗号
[32:35] OK好
[32:36] 周杰伦的专辑
[32:37] 因为在大家疯狂的推荐之下
[32:39] 我跑去听了
[32:40] 我的结论就是
[32:41] 我老了
[32:42] 周杰伦当然他也是一个
[32:44] 非常厉害的创作者
[32:45] 他真的带给我们超多的回忆
[32:47] 我真够说就是大家
[32:48] 弱水三千
[32:50] 各取一瓢饮
[32:51] 你有喝到就好
[32:52] 因为周杰伦以前的一些歌
[32:54] 不知道什么
[32:55] 剪一下颗灯
[32:56] 哪一天花落的
[32:57] 你听这个
[32:58] 我就整个情感就上来了
[33:00] 或是我听个歌前
[33:01] 我就真的是
[33:03] 不知道
[33:03] 我觉得灵魂都要满出去了
[33:05] 的感觉
[33:05] 可是你叫我听他新的歌
[33:07] 其实我可能从
[33:08] 不知道就几年前的专辑
[33:10] 我就没有什么感觉
[33:11] 我甚至是会有点不忍
[33:12] 去听他新的歌
[33:13] 因为我会觉得
[33:14] 他会影响到我对他的印象
[33:16] 我还是要强调
[33:17] 不是说我不喜欢周董
[33:18] 我还超级喜欢周董
[33:19] 这就类似说
[33:20] 像Radiohead的一个早期的专辑
[33:23] 我们也都是比较喜欢
[33:24] 或者说像Coplay
[33:25] 你知道很多人在抱怨
[33:27] Coplay以前的歌怎么多好听
[33:28] 然后后来太垫了
[33:29] 不是很多人都这样讲吗
[33:30] 听团仔
[33:31] 太垫了
[33:31] 我不要听太主流了
[33:33] 那我觉得这样
[33:34] 就是我们现在的儿孙辈
[33:36] 假设
[33:37] 但Coplay其实对他们来讲
[33:38] 已经是老人团
[33:39] 但我随便举例
[33:39] 假设他是喜欢听Coplay垫的这一环
[33:42] 等到Coplay之后
[33:43] 再进入下一个阶段
[33:44] 他可能不知道
[33:44] 用新的某种实验业去做的时候
[33:47] 那大家又会讲说
[33:48] 他跟以前电的co-play不一样
[33:49] 他已经变了或什么的
[33:51] 所以其实或许不是
[33:52] 这些歌手变了
[33:54] 他的创作变得不一样
[33:55] 或是不好听或什么
[33:56] 是我们老了啦
[33:57] 就类似说
[33:58] 你把阿玛玛为什么讲说
[33:59] 是谁在敲动我窗
[34:01] 不是啊
[34:01] 你叫他听别的东西
[34:03] 你叫他听饶舌
[34:04] 听顽童
[34:04] 他觉得你低能儿
[34:05] 可是他就想听那个东西
[34:07] 因为那个陪他长大
[34:08] 那个承载太多回忆了
[34:09] 所以因为大家
[34:10] 叫我去听周董的专辑
[34:11] 我听的时候
[34:12] 没有办法
[34:13] 我就是
[34:13] 我就是对
[34:14] 我还是希望他活在
[34:15] 我的回忆里面
[34:16] 下面一位
[34:17] 陈军
[34:18] 那有点类似
[34:19] 我们在打暗黑破坏神
[34:21] 我跟你讲
[34:21] 你去玩暗黑2
[34:22] 他后来是重制了
[34:24] 重制就还好
[34:24] 但还没有重制之前
[34:26] 有一次我为了情怀
[34:27] 回去玩暗黑2
[34:28] 直接毁掉了回忆
[34:29] 我记得他以前是超好玩的游戏
[34:31] 为什么我现在要去玩
[34:32] 他是这个破样
[34:33] 因为后来的东西都变得
[34:35] 你知道就时代有在变
[34:36] 我们可能也玩新的游戏
[34:37] 有什么
[34:37] 所以那不是创作者的问题
[34:39] 那是我们自己
[34:40] 年纪增长的一个问题
[34:41] 下面一位
[34:42] 陈军
[34:42] 淡水Hanson
[34:44] 感谢主委优质节目
[34:45] 我跟老婆都是忠实的听众
[34:46] 一直留言留不到
[34:47] 想搭配军旗的党旗
[34:49] 来留言给在战前军旗服务15年的
[34:52] 咨询师老婆小宇一个惊喜
[34:54] 你在医美圈的资历
[34:56] 简直就是传家宝等级
[34:57] 看着你多年来的事业坚持
[34:59] 真的由衷的佩服
[35:00] 老婆辛苦了
[35:01] 我和女儿以前会永远支持你
[35:04] 希望LISA跟广大听众
[35:05] 下次需要服务的时候
[35:06] 给内人一个机会服务
[35:08] 一定不会让您失望
[35:09] 也谢谢节目分享
[35:10] 让我女儿的6208绩效突破100%
[35:13] 那也祝主委全家平安
[35:15] 诺扬安哥健康长大
[35:16] 来自淡水的快乐宝贝Hanson进上
[35:19] 这是一个非常暖的老公
[35:21] 还趁机帮老婆拉一下生意
[35:23] 那大家有需要都可以去找这位小宇
[35:26] 小宇会好好的服务大家
[35:28] 那也希望你们全家平安快乐健康
[35:30] 那我觉得其实身为一个爸爸
[35:32] 像帮小朋友配置这样的一个
[35:34] 植株型的部位
[35:35] 就不是快乐宝贝
[35:36] 你看就是稳稳的
[35:37] 好像什么也没做
[35:38] 当然也不是说什么没做
[35:39] 因为做一个决定本身就不容易
[35:41] 你没有决定要把这笔钱拿去乱投
[35:43] 其他有的没有的东西
[35:44] 跑去跟什么标古老师
[35:46] 跑去买什么奇怪的课程
[35:47] 本身就代表说
[35:48] 你的选择是跟人家不一样了
[35:50] 所以并不是快乐宝贝
[35:51] 那也希望你们后面
[35:52] 可以平安健康顺利
[35:54] 下面一位
[35:54] 嗨 孟公安
[35:56] 我81年次
[35:57] 那在近几年
[35:58] 看到一些东吴的影片
[35:59] 或是人与人的真诚帮助
[36:01] 跟感情流露
[36:02] 都很容易的会眼眶泛红
[36:04] 是到这个年纪
[36:05] 就会变得特别感性吗
[36:06] 那想问孟公也会这样吗
[36:08] 那喜欢听孟公分享家人
[36:09] 爱秋口
[36:10] 爱大家的分享
[36:11] 那谢谢你无私的分享
[36:13] 以我自己的角度来看
[36:16] 我认为你年纪稍微变大之后
[36:19] 或者是说你被社会铁拳打过之后
[36:22] 你会对一些事情比较有同理心
[36:24] 就是以前你都会觉得说
[36:26] 像年轻的时候
[36:27] 我也曾经会讲过一些话
[36:28] 老人过某个年纪
[36:30] 就可以去红干
[36:31] 不要霸占什么社会资源
[36:32] 可是当你慢慢靠近那个年龄
[36:34] 或者说你的家人
[36:35] 你的朋友靠近那个年龄
[36:37] 你就知道说
[36:38] 这个社会上的每一个人
[36:39] 你看到的每一个人
[36:40] 他们都曾经为这个社会付出过
[36:42] 他们都有他们的一段故事
[36:43] 有时候你去看演唱会的时候
[36:44] 你不觉得很恐怖吗
[36:45] 就是里面可能有个四五万人
[36:47] 然后你每个人都有自己的家庭
[36:49] 每个人都有自己的工作
[36:51] 每个人都有自己的小孩跟梦想
[36:53] 你不觉得超级恐怖吗
[36:54] 就如果说我今天可以
[36:55] 时间停止器拿出来
[36:57] 然后再接一个什么neural link
[36:59] 接到你的脑袋
[36:59] 我可以看到你一生你的故事的话
[37:01] 不知道我会感动吧
[37:02] 或是有些会吓人吧
[37:03] 某个人的地下室
[37:05] 可能放了一个什么手术间
[37:06] 然后里面藏了三个人埋在里面
[37:08] 有的没有的
[37:08] 反正就是说这个世界上
[37:10] 每个人都有自己的一个故事
[37:11] 所以以前你会很容易的
[37:13] 就去论断说
[37:14] 反正就是什么
[37:15] 非A则B
[37:16] 弱P则Q
[37:18] 有的没有那种很稀反
[37:19] 但我觉得这样的贴标签的一些行为
[37:22] 对我们人类的发展来说
[37:23] 它可能某个程度上是必要的
[37:24] 因为它帮助你去
[37:25] 避开一些危险或什么的
[37:27] 可是你更能够去理解说
[37:29] 就是每个人其实都是不容易
[37:30] 特别是看到一些那种
[37:32] 没有办法帮助自己的东西
[37:34] 像是一些什么弱势的团体
[37:36] 一些动物
[37:37] 那确实就是会
[37:38] 你心中某个情绪会被挑起来
[37:40] 那我觉得你要去
[37:41] 让这个情绪好受的话
[37:43] 你就去多捐一点钱
[37:44] 或者去当个志工
[37:45] 我觉得会有很大的帮助
[37:46] 所以或许可以去解释说
[37:47] 为什么一些中年人
[37:49] 或者中老年人
[37:50] 他们开始跑去当志工
[37:51] 或什么的
[37:51] 不一定是说什么
[37:52] 他财富自由了啥小就是单纯的因为他可以感受到这些东西年轻的时候是感受不到的打炮就来不及了可是过了一点年纪可能就感受得到那感受得到你就去执行它所以希望这个可以有效的去帮你舒缓
[38:05] 下面一位
[38:06] Choco
[38:07] 诸位你好
[38:07] 最近这个袋鼠盘
[38:08] 真的是杀人诛心
[38:09] 我昨天超级想一箭出清池谷
[38:11] 觉得川普跟伊朗一定没完没了
[38:13] 但是自己越不舒服的时候
[38:15] 反而是好买点
[38:16] 我一张都没卖还加码
[38:17] 请问是不是跟自己反者
[38:18] 作战率很高
[38:20] 对就如果说你发现
[38:21] 你很常落赛的话
[38:22] 就试着跟自己反着做
[38:24] 但很难
[38:24] 因为你跟自己反着做
[38:25] 你会想要跟自己
[38:26] 反反反着做
[38:27] 跟反反反反反着做
[38:28] 所以
[38:28] 那个在人心上的掌握
[38:30] 其实没有这么简单
[38:31] 所以最简单的一个方式
[38:32] 我还是会建议大家
[38:33] 你要把你的交易
[38:34] 给记录下来
[38:35] 不管你是用什么
[38:36] 电脑
[38:37] 或是把它写下来
[38:38] 因为很多时候
[38:38] 你的感觉会骗你
[38:39] 只能够这样说
[38:40] 那再讲说
[38:41] 最近这个盘很难做
[38:42] 没错
[38:42] 像我自己在昨天
[38:44] 就是昨天的这个大沙盘
[38:45] 我自己本身
