[00:00] 歡迎收聽谷愛維生夢宮本期節目由米紅米紅生衣贊助
[18:49] 自己可以做出來的Intel
[18:51] 所以eMip就是因為這樣子
[18:53] 獲得了一些訂單
[18:54] 訂單是確實有獲得
[18:55] 只是說後面做出來
[18:57] 會不會出包會不會出事
[18:58] 然後導致全部要拉回來臺積電
[18:59] 這個就有待觀察
[19:00] 它的一個競爭的對手
[19:02] 可能就是臺積電後面
[19:03] 會退出的Corpus
[19:05] 所以其實市場反應真的非常快
[19:07] 因為本來我們在做這樣的一個
[19:09] 猜測跟猜想的時候
[19:10] 是去跟大家分享說
[19:12] 這個東西大概會落在
[19:13] 因為以E-MIL的話
[19:14] 就是Google TPU V9
[19:16] 臺灣圈那邊下的話
[19:16] 大概是2028到2029
[19:18] 可是最近已經有相關的標的
[19:20] 都先動起來了
[19:21] 所以意思就是說
[19:22] 反正市場有rumor的時候
[19:23] 就先動
[19:23] 可能第一波出生段拉完之後
[19:25] 有機會會先摔蠻重的
[19:27] 因為大家之間炒一個題材
[19:29] 然後等到營收真的進來的時候
[19:30] 就是快進來前半年左右
[19:32] 那一波可能就會是比較大
[19:33] 比較真實的
[19:34] 只是我自己跟身邊的一些朋友討論
[19:38] 我們就發現說
[19:38] 這個題材會比較難做的一個原因
[19:40] 是因為
[19:41] 好就如果你今天真的去壓住
[19:43] Intel的封裝跟後段相關的供應鏈的話
[19:47] 那你就是賭說這個東西可以放量
[19:50] 然後可以可能在後面找到更多的客戶
[19:52] 那他會去吃到臺積電的一些Market Share
[19:55] 才會導致這個東西
[19:57] 你認為有夠大的一個Upside
[19:58] 就是你應該是有這樣的想法
[19:59] 才會去做這樣的壓住
[20:01] 那可是問題是
[20:02] 我們其實同時也認為說
[20:03] 就如果說TSM它的產能是夠的話
[20:06] 或者說它的Corpus提前Pull in的話
[20:08] 那可能就代表
[20:09] 就是流失到Intel這邊的客戶
[20:11] 就不會這麼多
[20:12] 就是這本來就是他該吃的肉
[20:13] 只是因為他不願意
[20:15] 或者是說還沒有那麼快
[20:17] 然後導致有些客戶先跑到那邊去
[20:18] 那就會去形成一個矛盾
[20:21] 就是不知道
[20:22] 甚至我在想說
[20:23] 有點那種hedging的角度在
[20:24] 就如果你手上有一些TSM相關的持股
[20:26] 然後跟一些Intel相關的持股
[20:28] 理論上市場是會一起變大
[20:29] 只是他們可能某種程度上
[20:30] 會形成一種那種hedging的關係
[20:32] 那在我最後面的一個想法是認為說
[20:35] 這可能是偏向一個題材性的東西
[20:37] 就是我不太知道說
[20:39] EMIP到底最後面
[20:40] 可以貢獻Intel多少
[20:41] 而且我也不在意
[20:42] 就老實講我根本就不在意
[20:43] 但是我去做的一些壓住跟堵住
[20:45] 可能是去堵說
[20:46] 就市場沒有充分的瞭解到這件事情
[20:48] 他們沒有瞭解到說
[20:49] 其實目前Intel
[20:50] 只有拿到一些CSP的訂單
[20:52] 可能他們有聽到一些rumor
[20:53] 有什麼
[20:53] 可是大家其實在找的標題上
[20:55] 像我就去網路上海巡
[20:57] 去看一下大家找的相關的標題
[20:58] 發現說其實很多人是找錯的
[21:00] 就是那些公司
[21:01] 雖然他是做Intel
[21:02] 有機會會用到的裝置
[21:04] 可是他其實跟Intel的關係不好
[21:05] 所以他其實不會進去intel裡面
[21:07] 那所以就知道說
[21:07] 就是如果今天大家都還沒有辦法
[21:09] 找到正確的東西的話
[21:10] 那可能就還有漏尺
[21:11] 所以他比較偏向是一個
[21:12] 題材的做法
[21:13] 就是如果說
[21:14] 等到大家都已經充分的預期到這件事情
[21:17] 股價拉上去之後
[21:18] 可能就反手直接就送幸福給大家
[21:19] 因為你自己本質上
[21:21] 其實並不是特別看好
[21:22] 這個後端封裝的貢獻可以到很大
[21:25] 或者說他可以吃掉很多臺積電的市場
[21:27] 因為那只是臺積電
[21:28] 怎麼講
[21:29] 他有想到說
[21:29] 現在是在一個比較保守的狀態
[21:32] 如果他真的要放開跟他打的話
[21:34] 那些東西很高機率
[21:35] 都還是會跑在他的手上
[21:36] 所以會用這樣的角度去看待他
[21:38] 那我覺得像這種
[21:39] 也會算是比較高難度的地方
[21:42] 就是相對的難處理
[21:43] 甚至有時候會想說
[21:44] 還是乾脆把這個題材放掉
[21:45] 可是我不知道
[21:46] 我覺得像市場上
[21:47] 很多題材都是呈現到殺人的樣態
[21:50] 所以其實我比較偏向是
[21:52] 有些那種
[21:53] 即便看起來是可能
[21:54] 過於前瞻的東西
[21:56] 我還是願意去佈局
[21:57] 只要裡面不要太擁擠
[21:58] 因為我發現說
[21:58] 最近比較擁擠的標題
[21:59] 可能都會出事情
[22:01] 當然少部分例外
[22:02] 好像前次跟大家聊到
[22:03] 這個MCL的建設
[22:05] 他在前面一段時間
[22:07] 在盤疊的時候
[22:08] 還記得嗎
[22:08] 那時候市場上
[22:09] 就是有一些散熱廠
[22:09] 會跑出來打擊他
[22:10] 就說這個MCL
[22:11] 一定會避炎或什麼的
[22:12] 我們現在看
[22:13] 其實應該就是會避炎
[22:14] 可是還是回到當時候
[22:15] 我跟大家講的一個說法
[22:17] 就是他即便會避炎
[22:18] 是不改變他長期的故事的
[22:19] 因為晶片真的太熱了
[22:20] 所以你就是要用這個東西
[22:22] 他現在就噴信高
[22:24] 然後噴信高之後
[22:24] 你就注意到
[22:25] 有一家特別快
[22:26] 就是JPM
[22:27] 他是第一個去
[22:28] 做這個上修的
[22:30] 在大家都不相信的時候
[22:31] 所以我覺得還蠻屌的
[22:32] 然後後面就開始有注意到很多的外資
[22:34] 就基本上你會看到
[22:35] 在產業研究報告很多都長這樣
[22:37] 就他真的開始噴上去之後
[22:38] 大家就開始瘋狂的上修
[22:40] 但其實我不會去認為說他們是不好
[22:42] 反正就是一個股票要一直噴的話
[22:44] 就是要有人一直接力去上修它
[22:46] 然後現在我們開始看到這樣子的狀況
[22:47] 那個TP已經喊到4500
[22:49] 喊到5000去
[22:50] 那他的故事其實也是算是一個
[22:52] 就是相對遠的東西
[22:54] 那可能算是目前在市場上
[22:56] 我覺得比較為數不多
[22:58] 就是說可能市場非常有共識
[23:01] 然後他是一波順著就上去了
[23:03] 但等到報告發出來之後
[23:05] 會不會開始震盪
[23:05] 這我不確定
[23:06] 但他至少就拉出了
[23:07] 本來的一個區間
[23:08] 那有蠻多標的
[23:09] 其實他出現的狀況就是
[23:11] 當今天要突破攻擊
[23:12] 他可能就是攻擊個兩天
[23:14] 然後接著又直接殺回原點
[23:16] 他就是讓整個排面
[23:17] 變得相對的困難
[23:18] 所以在這樣的狀況之下
[23:19] 我認為說我先去找一些
[23:20] 比較沒有這麼競爭的地方
[23:22] 去做蹲點
[23:24] 可能是我會想做的事情
[23:25] 然後再二方面是因為
[23:27] 就下個禮拜去德國
[23:28] 然後接著一月我要回孃家
[23:30] 所以我自己自制的想法
[23:31] 因為我跟我老婆討論過
[23:32] 我發現說我體力已經沒有辦法
[23:34] 因為以前我可能去義大利
[23:36] 或者說回西班牙的時候
[23:37] 那兩三個月
[23:39] 其實我就是每天熬夜
[23:40] 我就是每天會盯盤
[23:42] 當然沒有像在臺灣這麼瘋狂
[23:43] 我可能就是在臺灣時間的開盤一小時
[23:47] 我在那邊可能凌晨
[23:48] 兩三點之類的
[23:49] 我會跟著看
[23:50] 然後接著我就去睡覺
[23:51] 然後睡到臺灣時間的收盤前半小時
[23:54] 我會起床
[23:55] 所以我等於一天就只睡三到四個小時
[23:57] 然後持續數個月這樣
[23:58] 然後每一年都這樣做
[24:00] 只是在現在我發現說
[24:02] 不知道就真的已經是
[24:04] 對於可能半夜要起床
[24:06] 是感覺到非常的抗拒
[24:07] 所以想法就是想變成是
[24:09] 可能在後續的規劃
[24:11] 因為其實今年也快結束了
[24:12] 然後就去做一些調整
[24:13] 現在可能趴進去指數的地方
[24:15] 就留在哪
[24:16] 就不會想說再把那些東西賣出來
[24:18] 然後去做一些動能股
[24:19] 特別是家動能股其實也不好做
[24:21] 然後再來就是在小矽谷的配置
[24:22] 雖然今年小矽谷的配置
[24:23] 整體來看是不太好
[24:25] 但現在新增了蠻多
[24:27] 新的這種小矽谷
[24:28] 小股股就是那種市值比較小
[24:30] 流動性比較差的東西
[24:31] 那去買它其實基本上就已經做好
[24:33] 比較多那種Fundamental的研究
[24:35] 所以比較不怕套
[24:36] 那這個部分可能就會去稍微的加大
[24:38] 所以它會長得有點像是
[24:40] 就是類似那種塔萊伯特槓鈴的做法
[24:41] 就是你一端是放檔案的東西那當然人家檔案的東西可能是現金定存或什麼的或是債券那檔案的東西就我認為是指數指數對我來說是OK然後可能另外一段就開始會去放一些就是那種比較
[24:54] 甚至有些人會認為是本夢比
[24:56] 稍微遠一點的東西
[24:57] 可是因為它目前在市場上的競爭是沒有這麼多
[24:59] 就是沒有這麼多人擠在上面
[25:01] 我覺得現在很多人擠的標記都很危險
[25:03] 就會去把錢往那個地方放
[25:05] 當然還會留一部分就去做
[25:07] 在中間這一段就偏向比較動能交易的東西
[25:10] 所以雖然我自己可能在動能的部分
[25:12] 在後面會去做顯著的減少
[25:15] 可是我們在節目上
[25:17] 因為畢竟我們跟大家分享的
[25:18] 大多數的東西都還是偏向
[25:19] 現在市場正在發生什麼事情
[25:21] 所以它還是偏向動能的東西
[25:23] 只是我自己會做的少一點
[25:24] 那沒有辦法
[25:25] 就等到可能二月多
[25:27] 我從歐洲回來之後
[25:28] 那我可能就可以
[25:29] 再次的加入這個戰鬥行列
[25:31] 那這陣子可能就先看大家戰鬥
[25:33] 那隻能我們還持續的幫大家觀察
[25:35] 就是上上什麼新的
[25:36] 那種比較偏向那種動能
[25:39] 或者說新的很酷的故事產生
[25:40] 可能都還是會有一些機會可以做
[25:43] 那只是就稍微的退出一下
[25:44] 那簡單跟大家分享
[25:45] 那接下來我們就來進入這個部分
[25:47] 第一位娃媽啦
[25:48] 好這集如如白
[25:49] 阿公你好娃媽啦
[25:51] 從前幾年聽你在節目上
[25:53] 乾乾罵逼逼叫
[25:54] 那到上一集竟然開始感謝管營
[25:56] 感覺果然生了個孩子病都好了
[25:58] 那在這邊祝福12月6號結婚的
[26:01] 中立大股詳評結婚順利
[26:03] 能夠找到一個讓你放下盔甲
[26:05] 做回原本溫柔細心感性自己真棒
[26:08] 祝愉快開心
[26:10] 那我們先祝中立大谷相平結婚順利
[26:13] 一切平安
[26:14] 下面一位大俠愛吃漢堡包
[26:16] 時愛吃糯米腸
[26:18] 還是那是伊林
[26:19] 伊林愛吃糯米腸
[26:20] 一年一度領口ASML
[26:22] 軟今天生日來了
[26:23] 青藏高原小藏湖
[26:25] 您好
[26:26] 括號超像
[26:27] 那去年有幸
[26:28] 不是大家去找一下
[26:29] 那個青藏高原藏湖
[26:31] 真的長得超靠北
[26:32] 然後老婆都長得很像我
[26:33] 那去年有幸留言
[26:35] 給男友的生日祝福被唸到
[26:37] 今年還在林口巧遇挨大喜
[26:40] 獲合影一張
[26:40] 那天男友開心到做夢都在笑
[26:43] 今年他出差到美國
[26:45] 於是又來留言隔空送祝福
[26:47] 希望您可以用猛男的聲音
[26:48] 祝林口ASML軟今天
[26:50] 兄弟生日快樂
[26:52] 在美國乖乖聽古埃
[26:54] 別偷喝羊奶
[26:56] 愛你
[26:56] 他的羊奶是那個水自養
[26:58] 那最後非常謝謝小藏狐
[27:01] 平日裡的podcast陪伴
[27:03] 百位前陣子推薦古埃給同事
[27:05] 結果同事反倒是迷上了
[27:07] Lisa的IG
[27:08] 那驚呼哀大的老婆也太漂亮了
[27:10] 然後一直傳你們發安哥或諾亞的動態給我
[27:14] 狂說很可愛
[27:14] 看了很療愈
[27:15] 那隻能說你們一家都是這世上美好的存在
[27:20] 造福眾生
[27:21] 那祝福觀音持續庇佑
[27:23] 戰狐全家平安健康快樂
[27:26] 好非常感謝這位很暖的聽眾
[27:28] 那我們祝他在這個美國出差的男朋友
[27:32] 乖乖的不要吸氧奶
[27:34] 那也希望這位聽眾
[27:36] 在臺灣一些健康平安
[27:37] 那再來講說我老婆的IG
[27:39] 對我老婆的IG下
[27:40] 基本上也都是在發
[27:41] 小朋友相關的東西
[27:42] 那其實我也是
[27:43] 就是我們兩個的
[27:43] 生活的重點呢
[27:45] 就是小孩子
[27:46] 那其實也會有些聽眾在講說
[27:48] 你那個小孩子都不用麻起來嗎
[27:50] 其實我們真的覺得還好啦
[27:51] 就像是我們自己非常喜歡的一些
[27:53] 好萊塢的big shots
[27:54] 他們的小朋友
[27:55] 也都是曝光的狀態
[27:56] 就是我是覺得這件事情是還好的
[27:58] 就是我不會覺得說什麼
[27:59] 小朋友應該麻起來或什麼
[28:00] 當然這個小朋友個人的意願
[28:01] 是非常重要啦
[28:02] 那有些人也會擔心說
[28:04] 你的兒子會不會
[28:05] 他什麼不想露臉
[28:06] 因為之前有人會跟我講說
[28:07] 會不會他其實不想被拍照
[28:08] 這個子飛於安之於之樂
[28:10] 你還要問一下我兒子
[28:11] 因為我兒子是那一種
[28:12] 像一些聽眾來跟我拍照
[28:14] 如果說我兒子
[28:15] 他沒有被邀請的話
[28:16] 他就會哭
[28:18] 就是他是很喜歡拍照
[28:19] 而且這個是我們後來才發現
[28:21] 就是他是喜歡拍照
[28:22] 然後或者說像
[28:23] 有些聽眾會覺得很屌
[28:24] 就逛街為什麼會帶著我的書
[28:26] 然後叫我籤
[28:26] 那如果說沒有給我兒子籤的話
[28:28] 他就會不開心
[28:28] 所以就是說特性可能不一樣
[28:30] 我們不知道
[28:31] 就有些小朋友
[28:32] 他可能是不喜歡
[28:33] 就是可能被人家關注
[28:35] 或什麼的
[28:36] 我大兒子相反
[28:37] 我大兒子是那種
[28:38] 有一點不知道
[28:39] 就是這方面
[28:40] 是那種社交牛逼的感覺
[28:41] 雖然他本身
[28:42] 也是一個偏內向的小朋友
[28:43] 可是他很喜歡拍照
[28:45] 他都會講說
[28:46] 爸爸上船
[28:47] 然後或者說
[28:47] 爸爸傳到學校
[28:48] 他會做一個
[28:49] 就是很詭異的事情
[28:50] 然後他覺得很帥
[28:51] 他就叫我拍下來
[28:52] 然後傳到
[28:53] 他們班級的那個照片分享
[28:55] 因為他們可能
[28:55] 每個禮拜都會看一下
[28:56] 說大家在家裡幹嘛
[28:57] 就整天都叫我爸爸拍照
[28:58] 所以就是我兒子
[28:59] 他也是非常喜歡拍照
[29:01] 所以這也是
[29:01] 另外一個原因
[29:03] 就是為什麼我們可能會傳蠻多小朋友的東西
[29:05] 因為兒子會講說
[29:06] 爸爸你趕快上傳
[29:07] 就是你趕快傳給大家看
[29:08] 他要大家看他這樣
[29:09] 所以蠻好笑的
[29:10] 那非常感謝你們的支援
[29:12] 那也非常謝謝觀音
[29:13] 就是自從帶我的小兒子去任觀音做爹之後
[29:17] 當然是到底觀音是男是女
[29:19] 我都不知道
[29:19] 但可能神明不知道
[29:20] 他要長屌的話也是可以
[29:22] 就他們可以自己做選擇
[29:23] 所以神明是這個法力無邊的
[29:25] 我們就沒有硬要把他套上一個二元性比
[29:27] 他當什麼都可以
[29:28] 那反正就任他做爹之後
[29:30] 我覺得就是整體的狀況都有變好了
[29:32] 當然也有可能是巧合
[29:33] 那當然我也不排除是
[29:35] 我們的醫生團隊
[29:36] 大家都非常厲害
[29:37] 就一定的
[29:37] 就是各方的人士都在幫忙
[29:39] 對我們來說就是
[29:40] 充滿感恩讚歎這樣而已
[29:42] 那現在就覺得說
[29:43] 這個我的小孩也保護夠了
[29:45] 所以我們讓我們的這個
[29:46] 肝硬大愛做後面的
[29:47] 就可以去保護
[29:48] 其他聽眾們的小朋友了
[29:50] 下面一位
[29:50] 太豬一亭感情歸零
[29:53] 喜歡是本能愛是選擇
[29:56] 年近30
[29:56] 身邊好友都在生小孩了
[29:58] 我還在講太豬一亭感情歸零的廢話
[30:00] 真受不了自己
[30:01] 在曼谷的聽眾
[30:03] 小心了
[30:03] 我下個月要飛
[30:04] 那遇到直接瘋狂愛愛
[30:06] 祝諸位一家上餐廳找車
[30:08] 我也不超過一分鐘
[30:09] 愛您
[30:09] 大家要小心
[30:10] 路上會遇到變態
[30:11] 下面一位
[30:12] 睡飽飽精神好
[30:13] 五星好評
[30:14] 留一名啊測試
[30:15] 我老公天母楊又寧
[30:17] 連續兩年留言
[30:18] 祝我生日快樂都沒有成功
[30:20] 換我來請來
[30:20] 大家用多愛我的聲音
[30:21] 跟博新說
[30:23] 等等等等
[30:23] 楊又寧愛你
[30:25] 不懂
[30:25] 我越學越覺得
[30:26] 就不像
[30:28] 就類似說
[30:28] 有時候我們看一個字
[30:29] 看久了之後
[30:30] 那個字就不像那個字了
[30:31] 不知道大家懂不懂意思
[30:32] 那反正大家喜歡就好
[30:34] 也希望跟挨大林口巧遇的那天
[30:37] 快點到來一定報警處理
[30:39] 那祝福挨大全家健康平安
[30:40] 非常感謝
[30:41] 睡飽飽精神好
[30:42] 那祝老公一切平安快樂
[30:45] 下面一位
[30:45] 帆輪臺顯
[30:47] 第一次留言希望被唸到
[30:49] 孟公我愛你
[30:49] 我有一個懶叫三根手指頭出的
[30:52] 巨根兄弟
[30:53] 12月6號生日
[30:54] 想請您用被他放進去的聲音
[30:57] 祝他生日快樂
[30:57] 愛你沒有
[30:58] 我是鋼鐵指南
[30:59] 我這輩子我屁眼一定會手掛
[31:00] 不會給任何人放進去
[31:01] 所以我無法模擬這樣的聲音
[31:02] 我只能夠跟他講說
[31:03] 生日快樂兄弟
[31:04] 另外說個笑話
[31:06] 小明上數學課的時候
[31:08] 老師教算67再68再69
[31:11] 再來是什麼
[31:12] 小明漱口
[31:12] 這個也是一個變態
[31:15] 下面一位
[31:16] 獲得白髮人送黑髮人成就
[31:19] 實習捏軟爸爸
[31:21] 孟公大您好
[31:21] 我10月3號正式加入捏軟陣線
[31:24] 但小朋友因為術後敗血症
[31:27] 在11月9號去當小天使了
[31:29] 想借您的金口告訴老婆的家人
[31:32] 還有中榮全體家務病房的護理醫師
[31:35] 感謝大家這一個多月來的照顧
[31:37] 幼軍這次缺了一些裝備
[31:39] 那最後笑著回去拿的喲
[31:42] 大家辛苦了
[31:43] 謝謝
[31:44] 好我們祝這個
[31:46] 我不知道該講什麼
[31:48] 我真的不知道該講什麼
[31:51] 好我們先幫他感謝這個
[31:53] 中榮的醫療團隊
[31:55] 因為我可以理解
[31:56] 像我自己的小孩在
[31:58] 這個在臺大
[32:00] 然後上一個是在桃園的核心
[32:02] 那個生完的當下
[32:04] 你對於
[32:04] 就是整個醫療團隊都充滿感恩
[32:07] 然後在月子中心也是
[32:08] 月子中心你看到這些護理師
[32:10] 把這個小朋友當自己的小孩在照顧
[32:11] 就非常細心的對待
[32:13] 你會覺得
[32:14] 就是有這些人真好啦
[32:15] 所以我才會講說
[32:16] 就是臺灣的醫護要去爭什麼福利
[32:18] 或啥小
[32:19] 我不管他到底什麼福不福的邏輯
[32:21] 我都瞎挺
[32:21] 因為我們在人家身上受惠的東西太多了
[32:25] 所以他們想要怎麼樣
[32:26] 我們都盡力的挺他們
[32:27] 我們叫飲料給他們喝之類的
[32:29] 那所以
[32:29] 可以懂他這種感謝
[32:31] 那只是
[32:31] 怎麼講
[32:34] 就我們是相對帶著
[32:35] 比較正向的結果
[32:37] 走出那個地方
[32:38] 所以會這樣想
[32:39] 那我可以
[32:40] 我可以完全去揣摩這位兄弟
[32:42] 就是
[32:42] 就即便發生很不好的事情
[32:44] 他一直要謝謝他們
[32:45] 那種感覺
[32:46] 就太難行
[32:47] 我覺得這個太痛了
[32:47] 所以
[32:48] 我們只能夠就是
[32:49] 大家一起祝福這位兄弟
[32:50] 然後就是他的
[32:51] 右軍
[32:53] 我覺得他回去拿裝備
[32:54] 他回去把裝備都補滿之後
[32:56] 那下次就是一定會再回來找你們
[32:58] 希望一切都順利
[32:59] 希望要好好看好這個老婆的身體
[33:02] 特別是我覺得懷胎本身是
[33:05] 很辛苦的事情
[33:07] 然後生小孩完全就是在戰鬥
[33:08] 其實生小孩就在戰鬥
[33:10] 那戰鬥之後呢
[33:11] 還要遭遇這樣子心靈上的一些痛苦
[33:14] 那個他們承受的東西
[33:16] 是人家無法想象的
[33:17] 所以這位老公就是他這樣子
[33:20] 怎麼講
[33:21] 他可以站出來
[33:22] 看起來還這樣正常講話
[33:23] 他本身已經是心理素質很強
[33:25] 是他還需要更強
[33:26] 因為他需要帶著老婆一起
[33:27] 所以希望他們都可以平安健康
[33:29] 下面一位小狐類流動性
[33:31] 諸位武安
[33:32] 我女友第一次買股票
[33:33] 看上一檔新貴PCB的裝置股
[33:36] 日成交值大概是80萬
[33:37] 買入的理由是剛入職的朋友說會漲
[33:41] 預計投入金額20到40萬
[33:43] 我勸他不要
[33:43] 因為買了不一定賣得出去
[33:45] 這不是他可以賺的錢
[33:47] 結果隔天漲了12%
[33:49] 成交量也放大了10倍以上
[33:51] 那因此我被翻了一個超大的白眼
[33:53] 請諸位救救我
[33:55] 先講那個小胡啦
[33:56] 因為小胡是大概
[33:58] 我不知道已經隔了兩三年
[33:59] 然後第一次有人讓我覺得說
[34:01] 就是媽我要把他挑出來搶
[34:03] 就那是在Telegram裡面
[34:04] 那反正前陣子不是跟大家講說
[34:06] 就在這個地方我開始買東西嗎
[34:08] 那我也同時在節目裡跟大家講說
[34:09] 其實我是不太喜歡去講
[34:11] 就是交易相關的東西
[34:12] 因為我知道我怎麼講都一定會
[34:14] 反正會被一些人挑出一些麻煩之類
[34:16] 覺得覺得很無聊
[34:17] 然後很很痛苦
[34:19] 所以怎麼講
[34:20] 但有時候我就還是會覺得說
[34:21] 奇怪了為什麼不可以去分享
[34:22] 所有我想要分享的東西
[34:23] 為什麼我要被一些白痴
[34:25] 搞到我自己幫自己射文字獄呢
[34:27] 所以我就還是跟大家講
[34:28] 那我們現在事後回頭看
[34:29] 不是啊
[34:29] 也不知道自吹自擂
[34:31] 那個抄底的時間點
[34:32] 真的媽媽漂亮
[34:33] 只是說那時候就是
[34:34] 反正抄完底之後
[34:35] 然後隔天先反彈大漲
[34:37] 然後大漲之後
[34:38] 不是在隔天又直接再跌回原點嗎
[34:40] 我就說我他媽就繼續買
[34:41] 然後就有一個叫小胡的人
[34:43] 就浮出來
[34:44] 就胡什麼
[34:45] 胡伊林還什麼的
[34:46] 他在TG就浮出來
[34:48] 然後就在講說什麼
[34:49] 我不是跟大家講說
[34:50] 可以抄底嗎
[34:51] 那現在怎麼樣
[34:51] 就開始嗆個隊友的沒有的
[34:53] 然後說哈哈
[34:53] 看你那個禮拜六的節目
[34:54] 要怎麼圓之類的
[34:56] 然後一般我會直接跳過這些白痴
[34:58] 只是那一天就真的他媽太不爽
[34:59] 我想說奇怪了
[35:00] 老子買股票跟你屌事
[35:01] 我要買股票
[35:02] 你覺得不爽
[35:03] 你就跟我對坐
[35:04] 你如果跟我對坐
[35:05] 你這波你就死了
[35:06] 所以我才會在節目有時候
[35:08] 其實也不是故意要用什麼
[35:10] 很有自信的方式去嗆人家
[35:11] 是因為
[35:12] 因為簡單來講就是說
[35:13] 我就是一個多軍
[35:14] 而且我們是有一些分析實力的
[35:16] 所以其實當然有時候
[35:18] 遇到一些不好的行情
[35:19] 還是會落篩或什麼
[35:21] 就長期都是會贏嘛
[35:22] 那你跟一個做多的對幹
[35:24] 我就不知道你想要幹嘛
[35:25] 就是你想要證明自己什麼東西
[35:27] 然後後來就職業就噴爛了
[35:28] 然後這小屋就不見了
[35:29] 所以你知道
[35:30] 真的有很多網路上這樣子的人
[35:31] 他跑出來在你家門口撒玩鳥
[35:33] 然後他對社會是零貢獻
[35:34] 像這種就一定是在社會上的邊角料
[35:37] 剪腳仔
[35:37] 就剪腳仔跑出來攻擊我
[35:39] 我也不知道說
[35:40] 自己對大家多重要或什麼的
[35:42] 可是你就在想
[35:43] 這就是一個真的很不對稱打擊
[35:45] 所以甚至你到後面
[35:45] 就為什麼我會講說
[35:46] 以前我是會覺得說
[35:47] 你知道網路可以匿名或什麼的
[35:49] 然後或者說什麼
[35:50] 投票就是要什麼
[35:51] 人人都平等啊什麼的
[35:53] 到後面我老實講
[35:54] 我自己內心的想法是說
[35:55] 網路就是要實名啊
[35:56] 就是你有多屌
[35:57] 你給大家看一下你這倆高就
[35:58] 然後再來就是
[35:59] 什麼票票平等
[36:01] 有時候會思考說
[36:02] 為什麼我的票
[36:03] 或者說我對社會貢獻
[36:04] 也不敢說多
[36:05] 當然我跟那些最頂端的人比
[36:07] 我們的貢獻也是很小
[36:08] 可是一定比一堆他媽渣子多
[36:09] 為什麼我們的票會是一樣的
[36:11] 憑什麼他意見跟我是等值的
[36:12] 就開始有這種想法
[36:13] 當然這個都在放在心裡啊
[36:14] 我們還是支援民主
[36:15] 我意思是說
[36:16] 你就開始產生一些
[36:17] 跟以前不一樣的想法
[36:18] 就以前你會覺得說
[36:19] 就是要怎麼樣怎麼樣
[36:20] 然後現在就會覺得說
[36:20] 沒有一對智障
[36:21] 他是沒有資格
[36:22] 在這種地球上
[36:23] 跟你在同一個地方呼吸之類的
[36:25] 就你會有這樣的想法
[36:26] 但反正總之
[36:26] 也不知道去證明
[36:27] 自己是對我傻小
[36:28] 就只是覺得說
[36:28] 奇怪了
[36:29] 我講我的意見
[36:30] 為什麼也會有人在那邊看
[36:31] 我唄
[36:31] 大家講這小胡的故事
[36:33] 那再講說
[36:33] 就是他買這個新貴股
[36:36] 然後其實因為他的勸阻
[36:38] 所以導致人家變成賺到錢
[36:39] 這就是為什麼
[36:39] 我一直跟大家強調
[36:40] 你千萬不要去幹涉
[36:41] 人家的投資舉動
[36:47] 那就算你是對的
[36:48] 就算說他這樣子做100次
[36:50] 其實他就是會賠錢
[36:51] 但是因為這次他應該要是賺錢的
[36:54] 然後他聽你的他沒有賺到錢
[36:55] 他就會只記得這一次
[36:56] 他不會記得之後的
[36:57] 所以你的建議其實本質上是還OK的
[37:00] 就是說你買進的理由
[37:02] 只是因為你朋友說會漲
[37:04] 然後你還要去買一個流動性超小的東西
[37:06] 那你放進去
[37:07] 老實講其實日成交值80萬你投20到40萬還OK這個在我看來並不是一個出不掉的狀況這個絕對是OK的像我自己買的東西像以前在買一些那種很小的
[37:18] 我也買過很小的那種裝置股
[37:19] 那一天可能只有10張
[37:21] 我一樣他媽的炒到800張去
[37:22] 那個我要分80天我才出得掉
[37:24] 但我就覺得OK
[37:25] 反正就是慢慢點
[37:26] 所以那個不一定
[37:27] 就是看看每個人怎麼樣出貨
[37:30] 那我會敢買這樣
[37:30] 因為我知道說有些標的
[37:33] 它其實是有量化在掛單
[37:35] 或者說造市商
[37:35] 就是簡單講說
[37:36] 你會去測試他
[37:37] 就知道說反正
[37:38] 即便你現在掛一個
[37:39] 很誇張的數字
[37:40] 五檔可能都是
[37:41] 很零零三三掛不滿
[37:42] 一張之類的兩張
[37:43] 突然間掛在
[37:45] 可能賣盤這邊掛五十張
[37:47] 可是你會注意到
[37:48] 他還是會跟著
[37:49] 好像有些會跟著貴買在動
[37:50] 有些會跟著加權在動
[37:51] 當今天加權突然間
[37:53] 拉一根的時候
[37:53] 這個標題會跟著往上跑
[37:54] 就代表說
[37:55] 可能是有人在那邊
[37:56] 造勢跟著弄之類的
[37:57] 我覺得我有觀察到
[37:58] 這樣的狀況
[37:58] 所以就知道說
[37:59] 就即便你掛一個大燈
[38:00] 他還是會被吃掉
[38:01] 所以還是有辦法出貨
[38:02] 當然這是比較境界的東西
[38:04] 可是以他的案例來說
[38:05] 日成交只有80萬
[38:07] 然後丟20到40萬還OK
[38:08] 這並不是一個難出貨的東西
[38:10] 可是勸退他是很合理的
[38:12] 因為他只是聽朋友講就要去買
[38:14] 然後又去買一個沒量的東西
[38:15] 所以正常人也會跟他講說你三思
[38:17] 可是你看就是因為你這樣講
[38:18] 然後他少賺他就會白贏你
[38:20] 可是你的建議其實是對的
[38:22] 因為他如果一直這樣子
