[00:00] 歡迎收聽谷外,我是聖夢宮,本期節目由NordVPN贊助
[19:45] 或像是IC宅版也是
[19:46] 營收開在高峰的時候
[19:48] 你後來回頭看才會知道
[19:49] 現在看都不準
[19:51] 然後可是呢
[19:51] 你就會注意到
[19:52] 最好的時候
[19:53] 其實股價早就已經過去了
[19:55] 股價早就已經掉下來
[19:56] 所以還是要跟大家去提醒一下
[19:59] 這一塊
[19:59] 就是千萬不要說
[20:00] 我相信孟公
[20:01] OK你可能在便宜的時候
[20:02] 相信孟公沒有問題
[20:03] 你在很貴的時候
[20:04] 然後你還要自己
[20:05] 幫自己打雞血撞膽
[20:06] 然後硬要抓我下來說
[20:08] 我是因為相信孟公才持有
[20:09] 這個我會超級怕你
[20:10] 我超級怕你
[20:11] 所以請你自己小心
[20:12] 特別是很多在車上的
[20:14] 這個記憶卡挖
[20:15] 這個他們可能
[20:16] 本身成本就已經是不高了
[20:18] 你是等到大家FOMO
[20:19] 才衝進去的
[20:20] 然後你要相信孟公
[20:21] 你不要相信我
[20:22] 拜託你自己相信自己的判斷
[20:23] 那可能就要稍微注意一下
[20:24] 也是潛在的一些風險
[20:26] 那都是有可能會發生的
[20:27] 總之我想要跟大家提醒的
[20:28] 就是說
[20:29] 如果說歷史有教會
[20:30] 我們什麼東西的話
[20:31] 那這些景氣玄廣股
[20:32] 在過往
[20:33] 每次在高檔的時候
[20:35] 就是當然你要事後
[20:35] 回頭看才知道
[20:36] 因為它可能可以
[20:37] 一直爬爬很久
[20:38] 可是就是那幾個月
[20:39] 或說最高檔的時候
[20:40] 你就會注意到
[20:41] 老闆的說法都會非常的昂瞎
[20:43] 就跟你講說
[20:43] 大家都在跟他搶貨
[20:45] 然後什麼這是不一樣
[20:46] 就幾乎都是一樣的狀態
[20:48] 就是說人性是重複的
[20:49] 所以股票算題材會不一樣
[20:50] 可是人性是重複的
[20:52] 然後再來就是股價往往會領先
[20:54] 報價或說營收
[20:56] 可能是數個月
[20:57] 甚至是快要一年
[20:58] 你去看過往的一些
[20:59] 捷運玄廣股的大潮
[21:00] 都可以注意到這樣的一個現象
[21:02] 當然這一波
[21:03] 如果我們是
[21:04] 純從產業的角度來看的話
[21:06] 還沒有結束
[21:07] 只是你也不知道會不會
[21:08] 就在說還沒有結束
[21:09] 然後股價在某個地方先亞然而止
[21:12] 然後接著半年之後
[21:13] 我們才發現說
[21:14] CSP突然停止拉貨了
[21:16] 所以營收可能還持續開了半年
[21:18] 然後接著後面就開始往下掉
[21:19] 開始迴歸正常
[21:20] 或者說產能開出來
[21:21] 或者說位元素上升
[21:23] 這個都是有可能的
[21:24] 所以還是要理性的判斷
[21:26] 因為我會去特別講這一段
[21:28] 就是我可以很如實的跟大家分享
[21:30] 說我們現在看到的一些領先指標
[21:31] 但如何把它套用在股價裡面去做實用的話
[21:35] 有時候是有一些藝術的成分在
[21:37] 那連我自己都不一定
[21:39] 可以百分之百掌握得很好
[21:40] 就是有些東西你可能很看好
[21:42] 那它沒有辦法漲到你要的目標價
[21:44] 或是它漲超過你預想的一個價格
[21:47] 然後你很扼腕
[21:48] 所以為什麼你沒有抱住
[21:49] 所以這個是比較困難的一個點
[21:51] 那這個大家自己要去做小心
[21:53] 那接下來我們稍微再聊一下聯發科
[21:56] 因為聯發科出了一個漲停
[21:57] 那這樣的一個大牛車
[21:58] 突然間的漲停
[21:59] 那到底代表的意涵是什麼
[22:00] 那首先當然就呼應到
[22:01] 因為市場的廣度變大
[22:03] 所以你注意到過往很多
[22:04] 在橫盤或是不太會動的東西
[22:06] 突然間都全部動起來了
[22:07] 這可能是一環
[22:09] 就市場選擇去關注一些
[22:11] 就是過去基本上是沒有漲到的東西
[22:13] 然後來做一個補漲
[22:14] 那又其他的可能性
[22:16] 目前我們稍微的跟身邊朋友討論之後
[22:18] 我們覺得有兩個可能性
[22:19] 一個可能性是有那種
[22:20] 就是常年都做聯發科
[22:22] 他們表示說
[22:22] 反正聯發科每次只要有晶片
[22:24] 開始要正式放量的時候
[22:25] 然後就跟臺積電量率拉上去一樣
[22:27] 就之前的什麼五奈米的時候
[22:29] 或是三奈米的時候
[22:30] 當這個量率開始要ramp up
[22:31] 量開始要上升的時候
[22:33] 很多時候市場就會去做一波
[22:34] 所以有可能是這樣的一個單純的事情
[22:37] 那也有可能就市場上有在傳一個rumor
[22:39] 一樣是那種小作文的形式
[22:41] 跟那個什麼三星漲價信一樣
[22:43] 小作文一個截圖
[22:44] 然後講說什麼
[22:45] 聯發科的TPU的部門
[22:47] 可能會spin off
[22:48] 然後可能要跟Google去做一個結合
[22:50] 那這個假設
[22:51] 用我自己的角度去猜的話
[22:52] 我覺得機率是很低
[22:54] 他們應該是不會去spin off
[22:56] 自己的一個經紀母
[22:57] 特別是公司有這麼多人力
[22:59] 都下去做這一塊
[23:00] 應該是不會有這種分拆的狀況產生
[23:02] 至少我自己是這樣子相信的
[23:04] 那在這個小作文的後半段是寫到說
[23:06] 因為現在我們都知道說
[23:07] TPU有對外銷售
[23:08] 前面跟大家講的時候
[23:10] 還會被一些粉專
[23:11] 或是有的沒有的吐槽說
[23:12] 不懂供應鏈
[23:13] 那一樣我們不要再抱老鼠怨了
[23:15] 是很多時候就是要跟大家分享一下
[23:18] 然後就是我們這邊
[23:19] 雖然很多時候也覺得很矛盾
[23:21] 就理論上不是有一個效率市場假說嗎
[23:23] 然後越來越多人聽的節目
[23:25] 或是很多人聽的節目
[23:26] 那他講的東西
[23:27] 應該就是市場要以反應或什麼的
[23:29] 可是如果你真的都把這邊當以反應的話
[23:31] 就是我們講的每個題材都當以反應
[23:33] 然後去空的話
[23:34] 你早就死了
[23:35] 我覺得臺積電很好
[23:37] 你去空臺積電
[23:37] 你去死
[23:38] 機體很好
[23:38] 你去空機體
[23:39] 你早就死了
[23:39] 你不知道被嘎幾個月
[23:40] 所以我都覺得這樣
[23:42] 就是那種市場的一些學說
[23:43] 大家就聽聽就好
[23:44] 但我們是很尊重
[23:46] 各個那種學術人員的研究
[23:47] 只是你會發現說
[23:48] 世界沒有這麼單純
[23:50] 如果說在學術做一做的
[23:52] 某一個研究
[23:52] 就可以很完整的
[23:53] 去了解世界的話
[23:54] 那這些做研究的人
[23:56] 全部都會是富豪
[23:57] 所以其實沒有這麼單純
[23:58] 那我們的節目
[24:00] 雖然有蠻多人在收聽
[24:01] 可是很多時候
[24:02] 都還是可以在這裡面找到許多的alpha
[24:04] 因為最簡單的一個印證就是
[24:06] 如果說我們講出來的東西都是以反應的話
[24:09] 我們過往覺得好的東西
[24:10] 你每個空你應該都要賺錢
[24:11] 可是你沒有辦法賺錢
[24:12] 所以這個是一個最直接明朗的事情
[24:15] 總之反正Google的TPU外銷
[24:18] 現在已經算是被市場給接受
[24:20] 就大家都已經知道
[24:21] 有這樣的一個共識會這樣發生
[24:23] 有一個說法就是說
[24:24] 因為反正在我們的認識裡面VTP
[24:26] 當然Google的代數比較複雜
[24:28] 我們先用我們一貫的說法
[24:29] VTP是BlockCon的
[24:30] 那V7是MTK的
[24:32] 有個說法說
[24:33] V7這個就MTK去做IO代
[24:35] 然後由這個Google本身
[24:37] 去做晶片設計的這一課
[24:39] 它會是外銷的一個主要核心
[24:41] 但這個東西老實說也不是新聞
[24:44] 甚至我們節目應該
[24:45] 也只有跟大家提過這件事情
[24:46] 我不太確定
[24:47] 但應該也只有提過
[24:48] 因為至少我自己心中是知道
[24:49] 就是它作為一個
[24:51] 外銷主力的可能性的這個事情
[24:53] 是成立的那所以我不太確定是不是市場要去反映這件事情但有時候我們其實也不太需要去針對股價短期的變化去做太多的琢磨因為有可能就是不知道
[25:04] 哪一個海外的hedge fund
[25:06] 或者說哪一個大資
[25:07] 什麼遊國的大頭
[25:08] 突然間覺得說
[25:09] 臺灣有一些這種便宜的股票
[25:10] 我要買一點
[25:11] 對他來講
[25:12] 他就只是買一點而已
[25:13] 然後就幫你鎖一個漲停
[25:14] 或者說有些人非收止之類的
[25:16] 因為之前聯發可以發生過漲停
[25:18] 然後隔天就直接大屌殺的
[25:19] 這種就鎖漲停失敗的事件
[25:22] 所以我們只是去救一個市場
[25:24] 因為有東西表態
[25:25] 所以表態就是說
[25:26] 它至少突破一個區間
[25:27] 我們就會立刻去調查
[25:28] 到底是發生什麼事情
[25:29] 後面如果說覺得
[25:31] 真的有機會就會上車
[25:31] 目前就我們來看
[25:33] 就是都算是已知的東西
[25:34] 那個spin off算是
[25:36] 如果它真的發生
[25:37] 就是未知的東西
[25:38] 只是就自己覺得機率是偏低
[25:40] 但是外銷的這一塊
[25:41] 然後跟它的晶片開始要起量
[25:44] 或說良率上來
[25:45] 這個都算是在掌握範圍內
[25:46] 所以不覺得市場可能會
[25:48] 特別去買單這個東西
[25:50] 也有可能真的就單純的
[25:51] 是大家開始注意到
[25:53] 這個市場的廣度開啟
[25:54] 所以去找一些
[25:55] 什麼講
[25:56] 就是過去沒有漲的東西拉抬之外
[25:57] 可能也把過去比較沒有動的
[26:00] 全資股也順便送上去
[26:01] 像臺達電也送上去
[26:03] 有可能是這樣的一個狀態
[26:04] 所以稍微的簡單去做一個拆解
[26:07] 大概這樣
[26:08] 這些就我們接下來進入Q的部分
[26:10] 第一位Rung from TW
[26:11] 故人希慈黃鶴樓
[26:13] 翻身後養家跳頭
[26:15] 請教幾個問題
[26:16] 臺灣未上市的股票
[26:17] 股價只有公司內可以交易
[26:19] 長期都在9到13元
[26:20] 沒有大變動
[26:21] 但20年來每年都發出了
[26:23] 7%的股票鼓勵
[26:24] 及8%的現金鼓勵
[26:25] 關於每年數字
[26:26] 有上有下平均線
[26:27] 還是這樣子
[26:28] 那這樣的資產要怎麼評估
[26:30] 如果有拿到公開市場
[26:31] 是怎麼樣等級的股票
[26:32] 擁有這樣的股票
[26:33] 可以跟公司要財報
[26:34] 來了解公司的營運狀況嗎
[26:36] 還是有什麼方式
[26:37] 可以評估這個資本
[26:38] 還要不要持有呢
[26:39] 謝謝國外分享
[26:40] 祝福平安喜得
[26:41] 非常感謝
[26:41] 那可不可以去要財報
[26:43] 理論上是可以
[26:44] 然後再講說
[26:45] 這個在公開市場是怎麼樣
[26:46] 這個太難講了
[26:47] 因為公開市場的股票
[26:48] 或者說刺激市場的股票
[26:50] 你看夠多就知道
[26:50] 有些根本沒有在賺錢的
[26:52] 可是他交易在一個
[26:54] 恨天高的估值
[26:55] 那兩家公司明明可能是
[26:57] 同樣的一個EPS
[26:58] 或甚至是同樣的成長性
[26:59] 可是為什麼有些估值是比較高
[27:01] 有些估值是比較低
[27:02] 那或者是有些可能
[27:04] 大家覺得說
[27:04] 他是在下漲的公司
[27:06] 然後最後發現說
[27:07] 其實只是大家比你早知道
[27:08] 他最後面就回歸到
[27:10] 這個應有的一個EPS表現
[27:12] 所以前面只是大家看不懂
[27:14] 或者是有些看起來
[27:15] 極度便宜的公司
[27:16] 然後兩年之後你才知道說
[27:18] 為什麼他股價都上不去
[27:19] 為什麼他會一直
[27:20] 便宜又可以再更便宜
[27:21] 因為他成長性不見了
[27:22] 所以其實要拿到公開市場去交易的話
[27:25] 我覺得他不是單純的
[27:26] 可以用什麼殖利率去推
[27:27] 或是用什麼
[27:28] 當然理論上大家都會講
[27:30] 什麼公司未來可以獲得的現金流
[27:33] 折算到現在
[27:34] 就是他應有的
[27:35] 可是你實際上要知道說
[27:37] 不一定是這樣子的一個情形
[27:38] 當然這個指標是好用
[27:40] 可是不一定可以
[27:41] 完全的適用於所有的股票
[27:43] 所以你沒有辦法很明確的去講述
[27:45] 說他到底該值多少錢
[27:46] 但是有一點你直接提出來了
[27:48] 他講說在公司內交易
[27:50] 然後長期都只有在9到13元
[27:52] 除非說這個公司內交易
[27:54] 是就是你跟老闆互相對敲
[27:56] 然後他給你喊這個實住價
[27:58] 那如果說這個
[27:59] 其實還是有一定程度的人
[28:00] 可以來參與競標的話
[28:01] 或者說買賣的話
[28:02] 那代表說這可能就是他的合理價格
[28:05] 就是他每年可能穩定配這樣
[28:06] 可是他的成長性也不高之類的
[28:08] 那如果說他成長性是很高
[28:09] 然後他每年都還是可以配這樣
[28:11] 每年越配越多的話
[28:12] 那就有可能他的價格是被低估了
[28:14] 所以沒有辦法這麼單純的去講它
[28:17] 就是一個東西
[28:18] 大家覺得很屌很好的
[28:19] 拿到公開市場去交易
[28:21] 有時候就會發現說
[28:22] 直接被打回原樣
[28:23] 反之有些東西
[28:25] 大家覺得說非常不可思議的
[28:27] 結果拿到公開市場去
[28:29] 然後就還可以再漲到更高
[28:30] 這個都是有
[28:31] 所以不能夠這麼單純的
[28:33] 用這種價格
[28:34] 殖利率
[28:35] 或者說什麼EPS
[28:37] 或者說現金流折算來做估計
[28:40] 因為最後面股票就是供需
[28:41] 反正人多的地方
[28:42] 大家想要的東西
[28:44] 那就是有可能會上去
[28:45] 會上的比較多
[28:46] 那下面一位
[28:47] Veronica
[28:49] PRGA
[28:51] GUE
[28:51] Pergaga
[28:53] Pergaga
[28:53] 不知道怎麼念
[28:55] 聽說這裡是集氣臺
[28:56] 每集聽到許多聽眾的心願
[28:58] 好多多成真
[28:59] 果然孟公跟觀音老大的祝福
[29:01] 和加持很給力
[29:02] 那目前待業快要一年
[29:04] 希望藉由這裡的好磁場許願
[29:06] 儘快找到工作
[29:07] 那之後也會將第一個月的收入
[29:09] 稅後25%捐款做善事
[29:12] 那謝謝孟公祝福
[29:13] 全家平安健康快樂友
[29:15] 那祝你儘早找到你的工作
[29:17] 下面一位
[29:17] Newchen721
[29:19] 在皮諾可可用餐的感覺
[29:21] 都是成功人士
[29:22] 謝謝大大
[29:23] 你好
[29:23] 我男友是你的忠實聽眾
[29:24] 之前我們有在平日去吃過皮諾可可
[29:26] 當下覺得餐廳用餐的人
[29:28] 感覺都是成功人士
[29:29] 食物很美味有特色
[29:31] 那希望可以祝福
[29:32] 1月23號生日的許比比生日快樂
[29:35] 身體健康
[29:35] 也祝謝大家一家平安快樂
[29:37] 那我們祝大家生日快樂
[29:38] 下面一位
[29:38] Picabalala
[29:41] 孟公一家平安
[29:42] 孟公您好
[29:43] 我有兩個小孩和諾牙安哥同歲
[29:45] 無後援
[29:46] 近期老公多次表示想要去海外工作
[29:48] 一去就是三年
[29:50] 我誠實說出不希望他去
[29:51] 但他卻說這樣的我很自私
[29:54] 因為他繼續留在臺灣
[29:55] 小孩永遠沒有進到下一個階級的機會
[29:58] 我承認我很自私
[30:00] 因為我不想要大富大貴
[30:01] 只希望他可以偶爾在我們睡覺前
[30:04] 回到家抱抱我們而已
[30:05] 難過自己無法成為支援他的人
[30:08] 首先我們先給這個
[30:10] 卡皮巴拉拉拍拍一下
[30:12] 因為我覺得這是一題非常難的題目
[30:14] 因為你說的說法就跟我老婆提過的說法一樣
[30:18] 我老婆跟我講過好幾次
[30:19] 她認為我們應該要搬回去西班牙住
[30:22] 那認為說就算我們只是在我們家門口的consum
[30:25] 去當一個收銀員
[30:26] 你看那些收銀員都還是可以在西班牙的那個小鎮
[30:30] 就是Torrevieja
[30:31] 還是可以買到房子
[30:32] 還是可以有不錯的生活
[30:33] 那每天就是曬曬太陽
[30:35] 工時也短
[30:36] 小朋友呢
[30:37] 兩點就下課
[30:38] 他覺得這樣的生活很不錯
[30:39] 那當然他每次跟我講這個
[30:41] 一開始我會跟他稍微的虛映一下
[30:43] 但後面就是有幾次我直接報戲
[30:46] 也跟大家分享過
[30:47] 就是剛剛說我絕對不要再窮回去
[30:49] 那我也不知道為什麼
[30:50] 我也對於就是比較匱乏
[30:52] 或是貧窮的自己充滿了厭惡
[30:54] 就至今我也不知道為什麼
[30:55] 可能就是我喜歡賺錢吧
[30:57] 那總之呢
[30:58] 我就是跟我老婆很明確的表示說
[31:00] 我們不可能去過那種
[31:01] 所謂的粗茶淡飯平淡的生活
[31:04] 因為我就是不想要那樣子的生活
[31:06] 所以我大概可以理解你
[31:07] 就是我想法可能跟你老公一樣
[31:09] 只是我沒有辦法做到像你老公這麼狠
[31:11] 就是說一方面說狠
[31:13] 一方面就是說很有決心
[31:14] 他可能真的就是為了孩子
[31:16] 他覺得他就是要去外面打拼
[31:17] 因為他識別到一個很好的機會
[31:19] 那我覺得任何一個有肩膀的男性
[31:22] 應該都會為了我們的
[31:23] 不管是另外一半
[31:24] 或是小孩付出一切
[31:26] 然後希望可以去
[31:27] 為他們找到一個最好的安排
[31:29] 只是那個取捨真的是很困難
[31:31] 那我只能夠說
[31:31] 有時候是這樣吧
[31:33] 就是你的物件
[31:33] 他可能覺得事業是稍微大於家人的
[31:36] 雖然說是為了家人
[31:38] 可是很多時候
[31:38] 就像我老婆那時候吐槽我的
[31:40] 他說我一直想說
[31:41] 賺錢是為了大家或什麼
[31:43] 可是老實講
[31:43] 我就是為了我自己
[31:44] 他這樣跟我講
[31:45] 可是我仔細想想
[31:46] 我覺得確實就是為了我自己
[31:47] 因為我自己就是想要有更多錢
[31:49] 你的家人其實他不一定感覺得到
[31:52] 隨著你的資產增加
[31:54] 他們的生活就是一定都是等比提升
[31:56] 不一定
[31:57] 而且我也跟大家分享過很多次
[31:59] 就像說你在臺灣生活的話
[32:01] 你大概就是過了
[32:02] 可能七八千萬一億之後
[32:04] 扣掉房地產
[32:04] 大家的生活都是一樣的
[32:06] 真的都是一樣的
[32:07] 就是你要隨便搭飛機飛來飛去
[32:09] 要去哪裡玩
[32:09] 要吃什麼板錢
[32:11] 貴貴的兩三千一頓
[32:12] 至少的或什麼的
[32:13] 都是隨便吃
[32:14] 基本上就是隨便吃
[32:15] 你只要有適當的規劃
[32:17] 你光是拿配息
[32:18] 你就可以過生活了
[32:19] 就是扣掉房地產
[32:20] 因為房地產上限可以到很高
[32:21] 所以要把房地產扣掉
[32:22] 生活費
[32:23] 你有個七八千萬以上
[32:25] 基本上大家都等於是人生畢業了
[32:27] 所以你說你在多賺的
[32:28] 你會為大家提升多少
[32:30] 可能也未必
[32:30] 而且那未必是你家人
[32:31] 跟你小孩要的
[32:32] 你覺得說我要送他去
[32:34] 最好的學校什麼
[32:34] 你小孩有說
[32:35] 他要去最好的學校嗎
[32:36] 他有這樣講嗎
[32:37] 或者說你送下去那個地方
[32:38] 他搞不好反而還不喜歡
[32:39] 他反而還討厭你之類的
[32:41] 所以那也是男生給自己一個壓力
[32:43] 那我只能夠說就是至少
[32:45] 我還蠻慶幸我最後的選擇
[32:48] 還是以家人為一個主體
[32:49] 就是我跟大家分享過
[32:51] 我覺得我可以在股票裡面做
[32:52] 第五名第六名第十名都沒有問題
[32:55] 我不用拼前三名
[32:56] 我只要可以穩定的
[32:57] 持續的成長就OK
[32:59] 我之前是有那個夢想
[33:00] 就是我要衝最前面
[33:01] 我會去看那些
[33:02] 可能市場表現最好的大哥
[33:04] 或是一些朋友
[33:04] 然後去試著要跟他們一樣
[33:07] 有時候就發現說
[33:08] 其實自己給自己的壓力太大
[33:10] 因為每年可能都換一個人不一樣
[33:11] 可是你每年都會跟最強的人比
[33:13] 所以你永遠都是在虐待自己
[33:15] 我最後就發現說
[33:16] 就是陪伴家人跟小孩子比較重要
[33:18] 或許你讓他聽看看我這一段的想法
[33:20] 看他怎麼想
[33:21] 可是我其實也明白這位兄弟
[33:23] 他可能真的已經識別到一個
[33:24] 很好的機會
[33:25] 他就覺得一定要拿下
[33:26] 可是同時這位兄弟自己要明白的是
[33:28] 你這樣子就等於說
[33:30] 你可能會錯過你小朋友的成長或什麼的
[33:32] 我不知道
[33:34] 就有些東西可能你瞎看會覺得說
[33:36] 我那邊就知道有錢可以賺
[33:37] 為什麼不賺
[33:38] 可是像我給大家的真摯的建議
[33:41] 就是小朋友成長真的只有一次
[33:43] 我現在都覺得說我兒子長太快
[33:44] 所以我很慶幸我自己有拉回來
[33:47] 有收回來
[33:48] 如果說我還是像以前那樣子去做的話
[33:50] 其實我會覺得
[33:51] 我應該會後悔
[33:52] 就是我應該會後悔
[33:53] 我可能會想辦法說服自己說
[33:55] 還不就是為了你們
[33:56] 還不是為了什麼小朋友的學費
[33:58] 或者希望他怎麼樣
[33:59] 翻轉階級
[34:00] 為什麼我才這樣子
[34:01] 可是你人生就只活一次
[34:03] 就是你不要說什麼
[34:04] 把所有東西都點在某一個東西上面
[34:06] 讓你忽略掉其他東西
[34:08] 特別是你的老婆都已經希望你留下來
[34:10] 可以三思
[34:10] 我覺得這題蠻難的
[34:12] 我可以理解他
[34:13] 我也可以理解你
[34:14] 那我就只能跟你分享
[34:15] 我的看法是這樣子
[34:16] 你們聽看看
[34:17] 下面一位
[34:18] 楊仔有Venti請教
[34:20] 你有Venti啊
[34:22] 請Ven吧
[34:22] 來啊你話啊
[34:24] MK好
[34:24] 我是哲豪
[34:25] 去年因為二寶出生
[34:26] 買了一間學區老房
[34:28] 大寶在上小班很皮
[34:29] 最近會在他的房間牆壁上作畫
[34:32] 如果是我小時候這樣幹
[34:33] 我爸媽一定會為我吃一頓粗飽
[34:34] 那換成現在的
[34:36] 我雖然先制止他繼續
[34:37] 但內心深處覺得
[34:38] 這也沒有什麼啊
[34:39] 但也怕如果放任下去
[34:41] 到什麼程度
[34:41] 未來會不妙
[34:42] 諾亞斷
[34:43] 應該有這樣搞過吧
[34:45] 你們那時候是怎麼處理的
[34:46] 以上感謝
[34:47] 說到這個
[34:48] 這個真的是有家庭教育的
[34:50] 一個傳承的味道在
[34:52] 因為我爸爸從小
[34:53] 也會讓我在家裡惡搞
[34:54] 所以包含說像我的
[34:55] 床底會有櫃子
[34:58] 那上面我現在回去看都很好笑
[34:59] 還有那個活力阿紅的貼紙
[35:01] 就以前我們那個
[35:02] 劉正宏他就是跟傅坤琪很像
[35:04] 他們會把自己變吉祥物
[35:05] 然後給你很多他的周邊
[35:06] 小朋友不懂
[35:07] 就把貼紙都隨便亂貼
[35:09] 所以我們家很多地方都有貼紙
[35:10] 然後像以前我們小時候長大的時候
[35:12] 爸爸還會在牆上去幫我們畫身高
[35:14] 所以他是會阻擋我們
[35:16] 可能亂畫或什麼的
[35:18] 但他是不介意這樣子做
[35:19] 所以我自然而然的也傳承到
[35:21] 我也覺得不介意
[35:22] 我只有跟我兒子講說
[35:23] 就是有些東西你不要把它貼得太密
[35:25] 就不好看
[35:26] 你還是要稍微的講究一下
[35:28] 就是他有時候拿到一本貼紙布
[35:29] 他可能就想一次把它
[35:30] 所有東西都貼完
[35:32] 跟他說這樣不好看
[35:32] 所以我會讓他貼
[35:34] 但是我會稍微管制
[35:35] 他會跟他講說
[35:35] 你重浴是不好的
[35:37] 你應該是要認真的想說
[35:39] 覺得這個水箭龜
[35:40] 就是應該貼在哪
[35:41] 因為你知道
[35:42] 寶寶喜歡蚊香蛙
[35:43] 所以你要貼一個蚊香蛙
[35:44] 是OK的
[35:44] 你要貼一個噴火龍是OK的
[35:45] 因為他還說我是噴火龍
[35:47] 可是你要隨便拿一堆
[35:48] 寶可夢貼紙
[35:49] 在我房間亂貼的話
[35:50] 你還是會被我制止
[35:51] 我就跟他說
[35:52] 你不要這樣亂貼
[35:52] 你還是要動腦想一下
[35:53] 所以我會跟他講這一塊
[35:55] 但是我是不建議
[35:56] 他在家裡去做彩繪或是貼貼紙
[35:59] 大概是這樣給你參考
[36:00] 下面一位
[36:00] 小巴基乙烏薩吉
[36:04] 1月22號我生日威
[36:06] 孟公你好
[36:07] 為什麼你在學閃電鳥的聲音
[36:08] 都可以不笑場呢
[36:09] 閃電閃電
[36:10] 我每次聽到都哈哈大笑
[36:12] 哈哈
[36:12] 那1月22號是我的生日
[36:16] 可以用蚊香磕抖的聲音
[36:17] 我記得他以前好像是
[36:19] 以前是別的聲音
[36:22] 然後現在變成是蚊香蚊香
[36:23] 反正他後來都把它變得很簡單
[36:25] 祝我生日快樂
[36:27] 生日快樂
[36:27] 文香文香
[36:28] 祝福1990年代出門的
[36:30] 我們都可以生活快樂
[36:32] 平安健康又暢通
[36:33] 又暢通現在還蠻重要的
[36:36] 希望大家都平安健康
[36:37] 也祝你生日快樂
[36:37] 下面一位
[36:38] 南侃Max
[36:39] 祈求順順利利
[36:41] 弟子的小女Oga
[36:42] 今年要高中會考
[36:44] 特別來領口協夢宮
[36:45] 跟觀音斷兒許願
[36:46] 第一志願捐30萬
[36:48] 第二志願20萬
[36:49] 第三志願10萬給慈善機構
[36:51] 還請觀音斷兒保佑考試
[36:53] 順順利利金榜提名
[36:54] 那也祝孟公全家平安健康
[36:56] 這個是一定會上的
[36:58] 下面一位
[36:58] 嘎姨
[37:00] 希希愛孟公
[37:01] 孟公你好
[37:02] 男友叫希希
[37:03] 他真的超愛你
[37:04] 每集收聽的那一種
[37:05] 他都會跟我分享
[37:06] 他的投資組合
[37:07] 跟你的觀念
[37:08] 如何幫助他沒有被割韭菜
[37:10] 他最近患新工作加感冒
[37:12] 希望你可以跟他說
[37:13] 加油早日康復
[37:14] 希希加油早日康復
[37:15] 然後說
[37:15] 然後想分享林孔三井
[37:17] 有新開一個地中海料理
[37:18] 叫土司利
[37:19] 可以帶寵物遛小孩
[37:20] 上次經過還發現
[37:21] 他們裡面會有臘腸狗聚會
[37:23] 那推薦給你們
[37:24] 祝福孟公一家幸福快樂身體健康這家餐廳超讚的我很喜歡吃它的牛舌然後跟它有一個好像什麼辣味章魚花椰菜面吧
[37:35] 然後我都會跟它叫
[37:36] 他們特製的一個綠色的辣醬
[37:39] 非常贊
[37:39] 然後這家公司的管理層
[37:42] 也對我們很好
[37:43] 應該是地方聽眾
[37:44] 就是每次去
[37:45] 感覺都會被他們招待到
[37:47] 就是特別的關心
[37:48] 非常感恩
[37:49] 然後再來
[37:50] 裡面有一位服務生弟弟
[37:51] 那個應該也是我們中食聽眾
[37:53] 他也是臺通的聽眾
[37:55] 然後他就還蠻幸運的
[37:56] 因為上次剛好就是請臺通的三人組
[37:58] 一起去那邊
[37:59] 稍微小吃小喝一下
[38:01] 帶他們來林口伸展一下
[38:02] 吃個東西
[38:03] 他說感覺好像去泰國玩的感覺
[38:05] 又有按摩又有東西可以吃
[38:07] 然後大家都覺得非常的開心
[38:08] 所以那一位地方聽眾
[38:10] 也是就是第一位
[38:11] 同時跟我跟臺通一起拍到照片
[38:13] 所以圖斯利亞真的是一個
[38:14] 非常棒的餐廳
[38:15] 感謝你的推薦
[38:16] 那我自己本身就蠻喜歡
[38:17] 我們已經吃好幾次了
[38:19] 下面一位米高玄師
[38:21] 拜天拜地拜夢宮
[38:22] 股票沒啥好求的
[38:23] 自動扣款報酬70%
[38:25] 7X%
[38:27] 然後他說
[38:28] 懇請各位聽眾
[38:29] 舉起你的雙手幫忙集氣
[38:31] 還有觀音鬥愛
[38:32] 跟隔壁的愛裡紅蓮
[38:34] 那當然還有老孟一起集氣
[38:36] 有幸今天被唸到這則留言
[38:38] 我就全部灌給我老婆
[38:39] 順利懷孕的話
[38:40] 我就找個基金會捐十萬愛你
[38:43] 不是啊
[38:43] 我們講話還是要稍微文雅一點
[38:45] 不要什麼灌給你老婆
[38:47] 很難聽
[38:48] 記得要道理
[38:49] 沒有幹又亂叫
[38:49] 反正總之就是非常感謝這位
[38:52] 兄弟的一個
[38:54] 我也不知道感覺怎麼又太尷尬了
[38:55] 剛剛不應該亂講話的
[38:56] 反正就是對啦
[38:57] 那個自動扣管就七十幾趴
[38:59] 沒錯
[38:59] 那他就
[39:00] 那下面一位
[39:01] 我要大調查他幣的稅
[39:04] 五星好評
[39:05] 還大好
[39:05] 我要考研了
[39:06] 不知道為什麼
[39:07] 準備了好久還是很緊張
[39:08] 可以幫我加油嗎
[39:09] 加油
[39:09] 下面一位千億銀
[39:11] 請用性感猛男的聲音說
[39:12] 祝你們行為愉快
[39:13] 那今天去公正的
[39:15] 雖然沒有什麼特別的花火跟感觸
[39:17] 但生活就是這樣
[39:18] 越淡越好
[39:18] 希望可以一直平安順利快樂
