[00:00] 欢迎收听谷爱,我是孙梦宫,本期节目由Raychen正级坐垫EX赞助
[19:19] 現在一定會有些人會看說什麼
[19:21] 他會回到季線或什麼的
[19:22] 那如果真的回去季線的話
[19:23] 就變成說我這部分就會被套到
[19:24] 但其實整體來看真的是沒差
[19:26] 因為這波真的拉太遠了
[19:27] 所以以我自己的角度就是
[19:29] 我不會想要去等到季線
[19:30] 就是我現在就已經開始
[19:31] 持續的去做一些買進
[19:33] 因為我覺得市場裡面
[19:33] 其實還是有蠻多的
[19:35] 故事跟题材可以持续的去看
[19:37] 那当然SpaceX有没有办法
[19:39] 再带动新一波的卫星
[19:41] 或是火箭相关的类股
[19:43] 这个是有待商榷
[19:44] 我们要稍微看一下
[19:45] 以美股的第一天的表现来看
[19:46] 应该是趁机拿来出货
[19:48] 那我们就来观察一下
[19:49] 下礼拜的台股会怎么样跑
[19:50] 那或许有机会卫星
[19:52] 也会变成是一个
[19:53] 就再拿出来的主权
[19:54] 但也有可能就到这边去做结束
[19:55] 因为毕竟其实像我们跟大家分享
[19:57] 它从一月多就已经开始
[19:58] 一路在做反应了
[20:00] 那些其实都是涨很多的东西
[20:02] 所以可能就是说
[20:03] 趁大家开始看到报纸
[20:05] 要去找卫星股的时候
[20:06] 预判你的预判
[20:07] 然后就给人家出货出到爆炸
[20:09] 这要再观察一下
[20:10] 再来被动元件在这个礼拜
[20:12] 也有新的一些消息传出来
[20:14] 去针对一些大型的ODM跟EMS
[20:17] 我们是有注意到说
[20:18] 有涨价成功的情形
[20:19] 所以其实也注意到
[20:21] 下下开始有蛮多的券商报告去写
[20:23] 不管像是什么花旗
[20:24] 或是JP
[20:26] 或是我记得好像GS也有写
[20:29] 听说在下个礼拜
[20:30] 还下个礼拜
[20:31] 某个A家的
[20:33] 也要进去写
[20:34] 就是喜欢去用数字当成是关键字的
[20:36] 那就是说联发科就是要目标价2454
[20:39] 台积电就是2330
[20:41] 那当然国际的目标价2327
[20:42] 我们看后面会不会有这样的情形发生
[20:45] 就是开始有越来越多人
[20:46] 把目标价持续的去做上修
[20:48] 其实以我们现在所看到的一个涨价状况来讲
[20:52] 我觉得有点超出我自己的预期
[20:54] 像我本来是有去算了一个剧本
[20:57] 就是如果说从现在开始
[20:59] 他就是去复制2018的行情
[21:01] 那2018的行情是怎么样
[21:02] 就是说可能营收是翻了两倍
[21:03] 可能毛利率也是上去了一倍
[21:05] 这样子的话
[21:06] EPS大概可以跑到怎样的一个数字
[21:08] 有去跟身边的一些朋友讨论
[21:09] 只是在最近的涨价里面
[21:12] 特别是我们看到
[21:12] 已经有那种确定涨成功的一些料号
[21:15] 看起来的一个情形是
[21:17] 如果按照这样的速度的话
[21:19] 我们本来是规划说
[21:20] 大概可能要涨6到7次
[21:22] 才会到我们的terminal的一个位置
[21:24] 照加这个速度的话
[21:26] 其实只要两次的涨价
[21:27] 就会直接达到terminal的数字
[21:29] 所以就是有机会还有上球的空间
[21:31] 然后现在讲的是这样子
[21:32] 那当然我们到这个节骨眼
[21:34] 已经不会再去针对股价
[21:35] 去做太多的评论
[21:36] 那天地良心
[21:37] 我们也不会在
[21:38] 这个股价已经涨很多
[21:39] 才开始讲
[21:40] 我们很早就跟大家讲
[21:41] 那只是那时候也是
[21:43] 怎么讲熬了一阵子
[21:44] 你也不知道这个东西
[21:44] 到底什么时候会喷
[21:46] 那只是现在就喷出去
[21:47] 那已经喷出去
[21:47] 我们就不去针对股价
[21:48] 去做太多的评论
[21:49] 但整体来说
[21:50] 我们去follow基本面的角度
[21:52] 持续跟大家分享
[21:53] 就是我们现在有注意到
[21:54] 它涨价是有成功的
[21:56] 而且涨的料号
[21:57] 不只是就是可能大家知道
[22:00] 那种最缺的AI的核心的料号
[22:02] 甚至一些那種周圍影響的
[22:04] 或是那種中小尺寸的小東西
[22:06] 也開始有一些漲價出現
[22:09] 這個其實有點像是說
[22:10] 不只是韓系日系
[22:12] 連台系現在有些也開始
[22:13] 扮演這種什麼樣
[22:15] 漲價領頭羊的一個角色
[22:17] 當他去針對一些料號去做漲價
[22:19] 然後他也成功漲價成功的話
[22:20] 那當然其他人就會跟著去漲價
[22:22] 所以這一波被動雲間
[22:24] 其實按照目前的角度看起來
[22:26] 特別是我們有注意到
[22:27] 在業內的一些比較大型的廠商
[22:30] 目前还没有太多大扩散的计划出来
[22:32] 所以有机会他会走一个
[22:34] 我们去类比记忆体
[22:36] 但我们不知道去形容说像记忆体这么大一波
[22:38] 我们知道去形容说就他会走的相对长
[22:40] 跟过往的一个循环的周期比起来会相对长一点
[22:45] 因为大家可能是比较不会这么的短时间离
[22:47] 像过去的一个大潮是
[22:49] 他甚至是很快就让大家去办公室里面去做竞标
[22:52] 你要买多少料你就进来用喊的
[22:54] 那你喊比较高你就可以把它买走
[22:56] 那这样子有点那种杀鸡取卵的行为
[22:58] 后来就是会导致说
[23:00] 可能在一些客户的影响之下
[23:01] 你的价东西就掉到很低
[23:02] 那在这一波
[23:04] 我们就有注意到说
[23:05] 大家都是相对节制的
[23:06] 在扩产或者说在涨价方面
[23:08] 其实都是比较小心的
[23:10] 那你看到一些那种
[23:11] 比较暴力的涨价
[23:12] 我们看到那种中位数到几十趴以上
[23:14] 那个应该是
[23:15] 也是建立过谈判之后
[23:17] 然后确定说就是有这样子的一个需求
[23:19] 才会导致的现象
[23:20] 那我们目前也注意到在
[23:21] 日系这边也是跟韩系一样
[23:24] 就是跟进了
[23:24] 开始有去做一些配货的操作
[23:26] 虽然我们自己有一些产业圈的朋友
[23:28] 就跟我讲说
[23:29] 因为我讲说
[23:29] 我听说某日系已经开始在做配货
[23:32] 他说可能在一两个月前
[23:33] 就已经有这样做
[23:34] 我说我们投资圈的
[23:35] 可能鸽子费比较慢
[23:36] 就是我们现在才听说到
[23:38] 有配货的情形
[23:39] 当配货的情形开始出来之后
[23:42] 当然就是会更加的去检验说
[23:44] 到底这个需求是真是假
[23:45] 因为前面可能是
[23:46] 大家FOMO在那边乱叫货
[23:48] 或者说可能是在反映成本的涨价
[23:51] 可是当开始要去做配货
[23:53] 开始要去厘清说
[23:54] 到底每个客户要多少
[23:55] 因为像是说那时候Invidia
[23:56] 那他也会去透过他的ODM OEM去厘清说
[23:59] 到底终端客户是谁
[24:00] 第一个就是因为这个东西不可以出给中国
[24:02] 然后第二个是我要知道说
[24:04] 里面有没有overbooking的一个现象产生
[24:06] 所以当全面配货的一个机制
[24:08] 把它run下去之后
[24:09] 我觉得很快就会实际的去反映说
[24:11] 目前的供需的状态到底是怎么样
[24:13] 那以现在来看
[24:15] 就是我们不评论股价
[24:16] 我们用产业的角度
[24:17] 我觉得价格可能都还在一个上涨的过程之中
[24:21] 所以后续再来做一些观察
[24:23] 那再来就是
[24:24] Enfarpi这边推出了Fable
[24:26] 那Fable的话
[24:27] 我在过去一阵子
[24:28] 有稍微就去做使用一下
[24:30] 我觉得还是一如往常
[24:31] Enfarpi的模型都是非常好用的
[24:33] 但是有趣的是
[24:34] Fable目前是在海外
[24:36] 是已经受到了
[24:37] 美国出口的一个管制
[24:39] 那大家如果想要去打开你的模型
[24:41] 一开始我自己在Perplexity上面
[24:43] 还是可以间接的去用到
[24:44] 然后只是我
[24:45] 刚刚在录节目前
[24:46] 我去测试就发现说
[24:47] 也被锁起来了
[24:48] 就是他认为说这个东西
[24:50] 有可能会帮助到一些
[24:51] 什么境外势力
[24:52] 或是可能就是像
[24:53] 这个Dario Amodi自己讲的
[24:56] 很危险
[24:56] 那对啊
[24:57] 就我前面说的嘛
[24:58] 你一直讲自己东西
[24:59] 很危险很恐怖
[25:00] 你就是会去吃监管铁拳
[25:02] 爽
[25:02] 就爽死了
[25:03] 但说不定这个就是他要的
[25:05] 就是呢
[25:05] 我自己也会吃到一点监管
[25:06] 可是你们就被监管给封死
[25:08] 爽
[25:08] 就是我还是不太知道
[25:10] 为什么他会这样说
[25:10] 那我这方面是蛮认同
[25:12] Pantheon那个Alex Carp讲的
[25:14] 就是呢
[25:15] OpenAI的Sam Altman
[25:16] 然后跟Emphrapic的Dario Amodi
[25:19] 他们不知道自己有多讨人厌
[25:21] 他们真的是非常讨人厌的
[25:22] 那种个性
[25:23] 当然现在已经注意到
[25:25] 他们两个的修持
[25:25] 都有去做一点调整
[25:27] 就是不像过去
[25:28] 是一昧的诉诸恐惧
[25:30] 但他诉诸恐惧的一个后果
[25:32] 现在就看到了
[25:33] 就是可能会开始
[25:34] 面临一些监管
[25:35] 现在是不给海外的人用
[25:37] 说不定后来还会再有
[25:38] 更多的监管铁拳打下来
[25:40] 那严重一点的话
[25:41] 这搞不好会影响到
[25:42] 他整体的市场的触及度
[25:45] 那搞不好也有可能
[25:46] 在某次的修正
[25:47] 就会被拿来当一个故事
[25:48] 所以就会不太明白
[25:50] 为什么前面一直要去
[25:51] 訴諸恐懼
[25:52] 反正我不知道
[25:54] 我看這兩個人的臉
[25:54] 我覺得這兩個人都怪怪
[25:55] 但是不能否認的是
[25:57] 他們的產品
[25:58] 真的都是非常的好用只是說在自己的那種感性上就像那時候我跟大家分享說我覺得all in pod里面那个Potty Habity以前我也是蛮喜欢他的之后后来就觉得干这个人怪怪的
[26:09] 其实有很多那种
[26:10] 什么investment hero
[26:11] 或者是很有声量的人
[26:14] 你后来就观察他们
[26:16] 都会注意到他们有点奇怪
[26:17] 蛮多时候我觉得
[26:19] 我们自己的直觉是还蛮准的
[26:20] 当我觉得你怪怪的时候
[26:21] 你可能真的拿来怪怪的
[26:22] 后面可能就会开始出现一些
[26:24] 就是我们认为说
[26:25] 你这样做会带来的一些代价
[26:27] 总之我目前去用的Fable的模型
[26:30] 虽然没有很长的一个使用时长
[26:33] 但是算是非常的全面
[26:35] 而且它的速度是相对快的
[26:36] 当然它的token也是烧得很快
[26:38] 所以就回到最经典的讨论
[26:40] 也就是未来可能是在一些前端的实验室
[26:44] 或是科学巨头
[26:45] 他们去做一些比较前沿项目的时候
[26:47] 会去用这些最高价的模型
[26:48] 后面会有一个市场
[26:50] 会有一些相对低价
[26:52] 相对便宜的模型去做满足
[26:54] 甚至是由地端模型直接去做满足
[26:56] 到时候Edge Computing
[26:57] 就会变成是一个很大的话题
[26:59] 我觉得那一天的到来
[27:00] 其实已经不远了
[27:01] 也就是在过去的两三年
[27:03] 我们认为说Edge Computing
[27:04] 是一个时间未到的东西
[27:06] 可是当今天你把前沿模型
[27:08] 拉到非常强大
[27:09] 然后在套之前有个听众讲
[27:11] 大概开放模型
[27:12] 是在这些闭锁模型后面的半年
[27:15] 所以如果说闭锁模型
[27:16] 在这些开放模型
[27:18] 已经是摸到一个新的结界之后
[27:20] 在后面也拉到了一个
[27:21] 相对强的水准的话
[27:23] 透过低端的算力
[27:24] 就可以完成绝大多数
[27:26] 大家可能在一两年前
[27:27] AI可以办到的事情
[27:28] 就我们现在讲一两年前
[27:29] 可能你已经觉得说
[27:31] 一两年前AI就不错了
[27:32] 那如果是在一两年前
[27:33] 去讲一两年前
[27:34] 就是说三四年前的话
[27:35] 那时候的AI是
[27:36] 就是威尔史密斯
[27:37] 一开始吃那个意大利面
[27:39] 就是会甚至有点那种恐怖股效应
[27:41] 很猥亵很恶心这样
[27:43] 那只是后来它的发展是越来越好
[27:45] 所以如果可以这样去推的话
[27:47] 我们不要抓半年
[27:48] 我们就抓一年
[27:48] 就是你等到
[27:50] 可能以现在你往回看一年
[27:52] 其实去年的模型就不错了
[27:53] 那如果今天是2028
[27:54] 你往回看一年
[27:55] 2027的模型
[27:56] 其实对我们绝大多数人来讲
[27:57] 一定就是非常够用
[27:58] 然后这些东西
[27:59] 可以直接完全的run在地端
[28:00] 到时候地端的装置
[28:02] 就是有机会去迎来一波爆发了
[28:04] 以及就是如果说
[28:06] 这些最前端的模型
[28:07] 后面开始会去吃到
[28:08] 一些监管铁拳的话
[28:09] 有可能市场的偏好
[28:10] 就会从去追求这些大模型
[28:13] 然后跟大cluster的运算
[28:14] 开始跑去AGE那边
[28:15] 所以有可能AMODI
[28:17] 这样的一系列的说法
[28:18] 会导致这样一个新的趋势的产生
[28:20] 当然下去call这个可能是太早
[28:21] 但是已经开始有闻到
[28:23] 这样子的一个味道
[28:24] 就当某些东西开始会出现一些利空去打击他的时候
[28:27] 那有可能大家就会把方向转去另外一个
[28:30] 可能成长性没有这么好
[28:31] 但是也不错
[28:32] 那同时呢可能是筹码干净
[28:34] 那就相对在低季期的地方
[28:35] 这就是有机会在后面会被大家注意到的东西
[28:38] 好大家这样
[28:38] 那这期节目先聊这我们接下来QQ的部分
[28:40] 第一位糖醋与股孟公午安
[28:42] 孟公还记得第一次搭商务舱的感觉吗
[28:45] 想象一下未来诺亚的同学跟他炫耀自己搭过经济舱
[28:48] 诺亚回来跟你抱怨说
[28:49] 为什么别人都有搭过经济舱就我没有
[28:52] 第一次搭商务舱的感觉
[28:55] 就是
[28:55] 蛮新鲜的啦
[28:57] 然后你就会想要去把
[28:58] 每个饮料都点一次这样
[29:00] 然后现在去搭商务舱的感觉
[29:02] 就是上去就直接睡觉
[29:04] 就是甚至有些餐我就不吃了
[29:06] 反正我就是上去睡觉
[29:07] 我只想要赶快到目的地
[29:08] 那也不会在意说什么
[29:09] 他旁边的那个小包里面
[29:11] 有什么东西
[29:11] 有乳液有拖鞋
[29:13] 就完全不掉
[29:13] 我只想要睡觉
[29:14] 目前是变成这样子一个情形
[29:16] 就是不会觉得
[29:16] 这是一个什么特别的东西
[29:18] 那孩子的话
[29:19] 有没有搭过竞技场
[29:19] 还是有搭过
[29:20] 就一些短程的话
[29:21] 还是会打经济厂
[29:22] 就是不会觉得说
[29:23] 什么每个都一定要买商务厂这样
[29:25] 那当然如果有商务厂的话
[29:26] 就会去选商务厂
[29:27] 那只是如果是一些比较短程的
[29:29] 甚至会觉得说
[29:30] 大家可以这样做一排
[29:31] 是蛮有趣的
[29:31] 所以是蛮有弹性的
[29:33] 就我很常跟大家讲的
[29:34] 就如果说你真的是一个
[29:35] 在资产上面是有余裕的人
[29:37] 其实你比较常见的样态
[29:39] 应该是至少以我观察身边的朋友
[29:41] 就是你是很自在的
[29:42] 你可以吃路边摊
[29:43] 你也可以吃贵的
[29:45] 你可以做商务厂
[29:46] 甚至你可以包机
[29:47] 已经蛮多人这样子做
[29:48] 你也可以去做经济厂
[29:50] 就只是看当下的感受是怎么样
[29:52] 那些会一昧去追求说
[29:53] 没有什么我不做
[29:54] 没有什么我不吃
[29:56] 没有什么我不喝
[29:57] 那个应该都是
[29:57] 才刚起来的那种爆发户
[29:59] 就有这样子一个现象
[30:00] 就自卑
[30:00] 自卑就会变这样子
[30:02] 下面一位
[30:02] 奇怪名字都有人用
[30:04] 爱阿公
[30:04] 猛公希望哪天可以遇到你
[30:06] 爱心
[30:07] 好爱你
[30:07] 下面一位
[30:08] 奈米小谷迷
[30:09] 谷癌节目优质一声推
[30:11] 梦工大大好
[30:12] 听到你说以后有可能会突然停播
[30:14] 就好像突然少了一个好朋友的感觉
[30:17] 虽然我们完全不认识
[30:18] 谢谢你每周两次分享产业最新动态
[30:20] 祝梦工一家平安
[30:21] 顺利安哥诺亚平安
[30:23] 长大爱你
[30:23] 我爱你
[30:24] 其实我并不是要去塑造一个
[30:26] 好像要跟大家分开的一个氛围
[30:28] 我只是就像以往
[30:30] 我也都一直都这样
[30:31] 我一直跟大家讲说
[30:32] 我不知道为什么会有人要跟我拍照
[30:34] 我也不知道这个节目可以到什么时候
[30:35] 其实我从以前到现在
[30:37] 十年如一日
[30:38] 没有到十年
[30:38] 四五年五六年
[30:39] 我觉得态度都是一样的
[30:41] 那对我自己来讲
[30:42] 我为此这样一个心态的好处是
[30:43] 我不太怕失去
[30:44] 我跟自己身边有一位朋友
[30:46] 那个比较极端
[30:47] 他是随时都做好
[30:49] 失去一切的准备
[30:50] 我不是做好
[30:50] 失去一切的准备
[30:51] 我是做好
[30:52] 随时可以抽身
[30:53] 不被影响的准备
[30:54] 那我觉得这个对我来讲
[30:55] 是在心理上比较健康的
[30:57] 不管是
[30:57] 可能节目有照一日
[30:58] 突然间就停掉
[30:59] 或者是呢
[31:00] 我的一些小投资
[31:01] 如果有照一日我不做的话
[31:02] 我也知道说
[31:03] 我可以找谁去做接手
[31:04] 帮我看着
[31:05] 或者说
[31:05] 节目有一天突然间觉得说
[31:07] 负担太大
[31:08] 想要休息一下之类的
[31:09] 那我可能随时可以离开
[31:11] 或者说我之后想回来的时候
[31:12] 搞不好还会有些人
[31:13] 要期待我回来
[31:14] 就我会去做好
[31:14] 这样子的各种心理准备
[31:16] 就是我不会觉得说
[31:17] 这个是我的节目
[31:18] 所以我一定要死抱着他
[31:20] 我要去维持他
[31:21] 我一定要让他很好什么的
[31:22] 我对所有东西的态度
[31:23] 都是我觉得他会来
[31:25] 他也可能会走
[31:26] 所以就是用这种
[31:28] 比较中性
[31:29] 比较像是过客的态度去看他
[31:31] 刚好在生日那一天
[31:32] 有这样一个感想发挥出来而已
[31:34] 大概是这样
[31:34] 不是说我们立刻
[31:35] 要跟大家说再见
[31:36] 但是一定会有说再见的一天
[31:38] 下面一位
[31:39] PVENRT
[31:41] 母体局限
[31:42] AI要怎么取代人类
[31:43] 他知识最大的限制
[31:44] 就是人为他的那些东西
[31:46] 目前来说是这样子没错
[31:49] 但是AI如果等到
[31:51] 他有够多的知识跟智慧
[31:53] 可以去自己去做训练
[31:54] 甚至提升的话
[31:55] 他就有可能不再需要
[31:57] 外面的资讯
[31:58] 他也可以去玩出
[31:59] 自己的一套东西
[32:00] 当然我们讲了
[32:00] 自己的一套东西
[32:01] 我自己会认为
[32:03] 比较偏向是工程
[32:04] 或者是coding这类的东西
[32:06] 如果你说这些人文的
[32:07] 什么东西
[32:07] 应该都还是要有
[32:08] 很多的input进去
[32:09] 要跟着时代去做变化
[32:11] 所以他不是一言以蔽之
[32:12] 可以用很简单的方法
[32:14] 就去把它分类的东西
[32:16] 大概这样
[32:16] 下面一位
[32:17] 不是美国店长的Captain
[32:19] 好久没有留言抽奖的气氛仔
[32:22] 去年没有被念叨再来一次
[32:23] 从麦克风装返时期
[32:24] 就一直听到现在的气氛仔
[32:26] 感谢每周持续的分享
[32:27] 最近都是听到跟观音大爷求祝福
[32:30] 先不管观音大爷
[32:32] 挂号诺亚音
[32:32] 单纯祝孟公大生日快乐
[32:34] 全家健康平安
[32:35] 611迈入不获的
[32:37] 我也生日快乐
[32:38] 我很想求抽奖
[32:39] 抽到我哈哈0分
[32:41] 下面一位
[32:41] 好久没有听到秋狗干你娘
[32:42] 忘了姓名的请跟我来
[32:44] 非常感谢这位
[32:45] 不是美国店长的
[32:46] Captain的祝福
[32:48] 那也希望你生日快乐
[32:49] 那下面一位
[32:50] Sam但不是Altman
[32:51] 我考上了超爽的
[32:53] 孟公大武安
[32:54] 曾在EP631留言
[32:56] 祈愿考上研究所
[32:57] 感谢孟公跟观音导来的保佑
[32:59] 很开心能够回来留言
[33:00] 考上交大之功了
[33:02] 交大之功是那个
[33:04] 交大巴瑟烤香肠那个吗
[33:06] 放进烤箱里滋滋滋
[33:07] 香味扑鼻又超好吃
[33:09] 是那个吗
[33:10] 那也以还愿捐出生活费并开始吃素
[33:14] 希望未来研究求职都顺利
[33:16] 今年和女友去纽西兰玩半个月
[33:18] 开露营车小环岛
[33:20] 沿途的风景真的很美
[33:21] 相信诺尔安哥会喜欢
[33:23] Queenstown的Sky Lodge的
[33:25] 还是Sky Lodge
[33:26] 那以及纽西兰的羊肉超好吃
[33:28] 推荐给孟公
[33:29] 祝孟公大全家健康平安
[33:32] 事事顺心
[33:32] 各位好
[33:33] 爱宝我们继续在股市探大钱
[33:35] 爱您好
[33:35] 我们也爱您
[33:36] 那希望这个Sam
[33:37] 但不是奥特曼在交大职工
[33:39] 可以过得快乐
[33:40] 平安顺利毕业
[33:41] 下面一位
[33:42] It's KMAR
[33:44] 第一次留言
[33:45] 应该要讲点快乐的事情吧
[33:46] MK您好
[33:47] 第三次留言希望被念到
[33:48] 感谢一路以来
[33:49] 分享生活大小事
[33:50] 跟产业观察
[33:51] 收获真的很多
[33:52] 我也藉由您的一些分享思路
[33:54] 去反思各种决策
[33:56] 真的是始料未及
[33:58] 会发生的体验
[33:59] 那最后希望可以
[34:00] 向背后的观音
[34:01] 许愿我家二宝快来临
[34:03] 我愿意加码半个月的薪水
[34:05] 捐给家福基金会
[34:06] 谢谢
[34:07] OK那我们希望你的二宝可以尽快的来临
[34:10] 他健康平安
[34:11] 下面一位
[34:11] 黑人给我闭嘴
[34:13] 他讲的不是我讲的
[34:14] 欧巴马
[34:14] 也是他讲的不是我讲的
[34:16] 但黑人给我闭嘴
[34:17] 欧巴马是GI Joe的一个梗
[34:19] 只是在下这个时代
[34:20] 我们不太好这样说话
[34:22] 会出事情
[34:23] 老公之前在金华城都放摇滚
[34:25] 那有follow到Foo Fighters的新歌吗
[34:28] 超久没有听这团
[34:29] 去打电波跟医师聊到
[34:31] 你也喜欢摇滚
[34:32] 才知道有新专辑
[34:33] 甚至有新的寻缘
[34:34] 那听一听热音色的回忆都回来
[34:37] 让最后祝我远方不曾磨面的兄弟
[34:39] 梦工持来的生日快乐平安健康
[34:41] To keep alive a moment at a time
[34:44] But still inside a whisper to a riot
[34:46] 它这个是那个
[34:47] I'm gonna walk again
[34:49] I'm waiting long enough
[34:52] 那一首歌
[34:52] Foo Fighters的歌真的是非常的热血
[34:54] 就是在那一种
[34:55] 不知道
[34:57] 你们今天突然间要决定去开启一个新的计划
[35:00] 还是要做什么事情的时候
[35:02] 把Foo Fighters的歌拿出来炸一下
[35:04] 我突然就觉得说
[35:05] 我们什么事情都一定会完成
[35:07] 什么事情都一定可以达成那种感觉
[35:09] 那时候我们有去放Full Fighters的歌
[35:11] 因为其实已经喜欢他们蛮长一段时间了
[35:14] 那Full Fighters的那个主唱
[35:16] 就是以前的Vana的鼓手
[35:18] 这应该蛮多人都知道
[35:20] 所以就是一脉单传
[35:21] 我也会持续这样子听过去
[35:23] 反正简单来讲就是说
[35:24] 大家去搞的一些side project
[35:26] 或是一些新的东西
[35:27] 我们都会去跟
[35:28] 那Full Fighters算是一个
[35:30] 我蛮喜欢的团
[35:31] 下面我也
[35:32] 用钻脚器看起来两光两光
[35:34] 聚焦的星星光芒
[35:36] 成为光芒耀眼的道路
[35:37] 不知道为啥
[35:38] 有种价值观崩坏的氛围
[35:40] 以前听到人家做生意
[35:41] 有赚钱是一件高兴的事情
[35:43] 现在但凡投资报酬率不高的生意
[35:46] 都会说不如放股票
[35:47] 万物费涨
[35:48] 连价值观也飞涨
[35:51] 万物飞涨
[35:52] 有时候在想
[35:53] 夭寿那些房子店面
[35:54] 到底谁花得起
[35:55] 没有想不到
[35:56] 只有花不起
[35:57] 知道比较会把快乐给赔掉
[35:59] 但不想跟别人比
[36:00] 还是会有人找你比较
[36:02] 莫名被找架打
[36:03] 好奇在这个世道下
[36:05] 何谓人情跟道德
[36:07] 我觉得现在还是一个赚钱的时间点
[36:10] 应该搞不好持续到2027 2028
[36:12] 都还是有机会
[36:13] 所以先持续的抠钱
[36:15] 等到市场开始进入空头的时候
[36:16] 我们就来逐零期闲
[36:18] 大家就来清谈
[36:19] 来聊一下什么叫做人情跟道德
[36:21] 但现在先努力的赚钱就好
[36:23] 那你讲的这个事情
[36:24] 其实是发生在很多地方
[36:26] 在创投界也有
[36:27] 就像听说在这个业界
[36:29] 最常被问的问题就是
[36:30] 为什么我要投你
[36:31] 我不要去买台积电
[36:32] 其实这种在我的角度
[36:34] 就觉得就叫干话了
[36:35] 那你就去投台积电
[36:36] 你做啥小创投
[36:37] 你就去投台积电
[36:38] 没有人阻挡你
[36:39] 你去投台积电
[36:40] 你自己要来做创投的
[36:41] 妈怪我
[36:42] 所以我也不会去问
[36:44] 我们可能校南投的团队
[36:45] 为什么不要投台积电
[36:46] 不是
[36:47] 我来这边
[36:48] 我就是来干大的
[36:48] 我就是来赌大的
[36:49] 我要就是要赌一个
[36:51] 我们做出什么世界级的游戏
[36:52] 我要就是go big
[36:54] 不然我就回家
[36:55] 不然我就去买台积电
[36:57] 我干嘛还要来这边赌
[36:58] 所以我敢来
[36:59] 我就是敢赌
[37:00] 所以我觉得
[37:00] 你在外面听到这种
[37:02] 去做比较的
[37:03] 就是说
[37:03] 我为什么不要去买股票
[37:04] 你去啊
[37:05] 但是你不要拿这个
[37:06] 去贬低人家
[37:07] 我觉得这是很下干的
[37:08] 就你也没有赚多少
[37:09] 老实讲是这样
[37:10] 就是说我们这种在股票
[37:12] 赚得不错的
[37:12] 我们不会这样子讲话
[37:14] 就是像我们刚才前面讲的
[37:15] 就是没有多少钱的
[37:17] 最喜欢去讲说
[37:17] 什么东西我不打
[37:18] 什么东西我不吃
[37:19] 好像自己很屌
[37:20] 然后什么
[37:21] 你这个东西我不要投
[37:22] 他一定是没有多少钱
[37:23] 在讲这种话
[37:23] 因为真的有钱的人
[37:24] 会想要去做一些分散
[37:26] 我不敢说每一个
[37:28] 但是蛮多都这样子
[37:29] 就是我有錢了我去做一點創投
[37:31] 他其實甚至是做一個理念的
[37:33] 或是他想去讀一個報紙
[37:34] 他覺得在次級市場他可以穩定高傾
[37:36] 可是他想要在一級市場去撈到一個大的
[37:39] 就好玩了
[37:40] 所以你不會用這樣子的話去羞辱
[37:42] 或者說去故意把人家壓低
[37:44] 我知道其實已經有蠻多Founder都有提到這樣子的東西
[37:47] 因為我有時候海巡會看到
[37:48] 就會提到說可能今天去募資的時候
[37:50] 對方去講這種話
[37:51] 對方就不是真心要來投你的
[37:53] 他只是想殺價
[37:54] 或者說他搞不好是真心的
[37:56] 但他就是希望價格可以再壓到更低一點
[37:58] 所以这就是他的一个话术
[37:59] 我觉得没有必要这样去讲话
[38:01] 去羞辱别人
[38:01] 人生不是只有股票
[38:03] 就是说你股票是因为现在很好
[38:05] 大家都这样看
[38:06] 就类似说之前可能房地产很好
[38:08] 大家也觉得说就是无脑买房交
[38:09] 反正只要每次哪个都很好的时候
[38:11] 就会有很多这样子的人出现
[38:13] 但是我们不要变成这样子讨人厌的人
[38:15] 然后再来讲说
[38:16] 会有人来找你比较
[38:18] 这就是我刚才前面讲
[38:19] 你要去mute掉这些人
[38:20] 就是你这样不要让这些人影响到你
[38:23] 因为现在确实有很多是那种
[38:25] 笑评不笑唱的这种价值观
[38:27] 在市面上去做流串
[38:29] 好像说就是要有钱
[38:30] 有钱就是要
[38:31] 让大家知道自己有钱
[38:33] 我有时候在想说
[38:33] 因为台湾的治安
[38:34] 是比较好一点
[38:35] 就是说
[38:36] 如果你知道你这样子
[38:37] 你知道
[38:38] 你去欧洲你这样子po
[38:39] 我会怕
[38:40] 因为我们自己
[38:41] 每年会在欧洲一段时间
[38:42] 老实讲
[38:43] 你真的不会想要去
[38:44] 做太flashy的事情
[38:45] 因为那真的是
[38:46] 会帮自己惹麻烦
[38:47] 可能台湾是一个
[38:47] 相对安全的地方
[38:49] 所以就很多人就
[38:49] 公为的就昂下
[38:50] 甚至里面有很多是假的
[38:52] 就要搞不好
[38:53] 根本就没有这个钱
[38:53] 他是混在里面
[38:55] 然后讲自己怎么样
[38:56] 所以就不要去受到
[38:57] 这些人的影响
[38:57] 我觉得还是专注自己
[38:59] 本身的价值然后跟自己过去的比较这个是比较重要的下面一位我是来自海外且今年刚听的小爱粉孟宫Chica怎么帅成这样补一个六月生日快乐一听就爱不释手想问孟宫刚入股市的小菜机
[39:11] 要怎么样收集到市场的资讯呢
[39:13] 也没有太多券商的报告
[39:14] 尤其是目前同时也在创业
[39:17] 现金流不稳定
[39:18] 只用部分的资金操作
[39:19] 但希望时间允许研究并操作
[39:21] 能够多一点主动配置的话
[39:23] 要怎么样进行比较好
[39:24] 虽然最近的盘动荡
[39:25] 但还是希望可以从这一部分
[39:27] 多一点参与市场
